X69n1352_001:0303c06	 白雲禪錄	 白 雲 禪 錄 
X69n1352_001:0304b14	靜雙収。則顢頇佛性。到者裡。直得窮天玄辯。竭世樞	靜 雙 収 則 顢 頇 佛 性 到 者 裡 直 得 窮 天 玄 辯 竭 世 樞 
X69n1352_001:0304b15	機。用一點不著。獨有山僧。今日幸遇太平世界。得路	機 用 一 點 不 著 獨 有 山 僧 今 日 幸 遇 太 平 世 界 得 路 
X69n1352_001:0304b16	便行。不懼他人笑怪。所以道。此事上在諸佛分上。不	便 行 不 懼 他 人 笑 怪 所 以 道 此 事 上 在 諸 佛 分 上 不 
X69n1352_001:0304b17	曾增一毫。下在一切含生分上。不曾減一毫。只為一	曾 增 一 毫 下 在 一 切 含 生 分 上 不 曾 減 一 毫 只 為 一 
X69n1352_001:0304b18	念迷妄。背覺合塵。輪轉三途。暫無休息。遂勞我竺乾	念 迷 妄 背 覺 合 塵 輪 轉 三 途 暫 無 休 息 遂 勞 我 竺 乾 
X69n1352_001:0304b19	本師。於大解脫海中。強湧玄波。三乘教外。直指人心。	本 師 於 大 解 脫 海 中 強 湧 玄 波 三 乘 教 外 直 指 人 心 
X69n1352_001:0304b20	見性成佛。且道今日如許多葛藤。阿那裏是直指處。	見 性 成 佛 且 道 今 日 如 許 多 葛 藤 阿 那 裏 是 直 指 處 
X69n1352_001:0304b21	若向長老口裏覓。大似貪觀天上月。忘却室中燈。若	若 向 長 老 口 裏 覓 大 似 貪 觀 天 上 月 忘 却 室 中 燈 若 
X69n1352_001:0304b22	向不言不語處會。直得盡大地。忘鋒結舌。只是箇無	向 不 言 不 語 處 會 直 得 盡 大 地 忘 鋒 結 舌 只 是 箇 無 
X69n1352_001:0304b23	孔鐵槌。有什麼用處。到者裏。還有知音者麼。良久云。	孔 鐵 槌 有 什 麼 用 處 到 者 裏 還 有 知 音 者 麼 良 久 云 
X69n1352_001:0304b24	只見白雲飛散盡。不知明月落誰家(謝辭不錄)。	只 見 白 雲 飛 散 盡 不 知 明 月 落 誰 家 謝 辭 不 錄 
X69n1352_001:0304c01	次日上堂。云雪竇和尚道。偶續靈峰照夜燈。遽泛鐵	次 日 上 堂 云 雪 竇 和 尚 道 偶 續 靈 峰 照 夜 燈 遽 泛 鐵 
X69n1352_001:0304c02	舡下滄海。承天此者。也隨例泛一隻鐵舡。文殊普賢。	舡 下 滄 海 承 天 此 者 也 隨 例 泛 一 隻 鐵 舡 文 殊 普 賢 
X69n1352_001:0304c03	為承天招頭把柂。觀音摩詰。為承天打篙搖櫓。承天	為 承 天 招 頭 把 柂 觀 音 摩 詰 為 承 天 打 篙 搖 櫓 承 天 
X69n1352_001:0304c04	只管坐地看楊州。既然如是。且道將什麼報答諸人。	只 管 坐 地 看 楊 州 既 然 如 是 且 道 將 什 麼 報 答 諸 人 
X69n1352_001:0304c05	良久云。誰知遠烟浪。別有好思量。	良 久 云 誰 知 遠 烟 浪 別 有 好 思 量 
X69n1352_001:0304c06	上堂。撫掌呵呵大笑云。大眾。得風流處且風流。	上 堂 撫 掌 呵 呵 大 笑 云 大 眾 得 風 流 處 且 風 流 
X69n1352_001:0304c07	到圓通上堂。僧問。二師相見。合談何事。師云六耳不	到 圓 通 上 堂 僧 問 二 師 相 見 合 談 何 事 師 云 六 耳 不 
X69n1352_001:0304c08	合謀。僧云謝師答話。師云聽事不真。喚鐘作甕。僧喝。	合 謀 僧 云 謝 師 答 話 師 云 聽 事 不 真 喚 鐘 作 甕 僧 喝 
X69n1352_001:0304c09	師云過　乃云。秋江清淺時。白鷺和煙島。良哉觀世	師 云 過 乃 云 秋 江 清 淺 時 白 鷺 和 煙 島 良 哉 觀 世 
X69n1352_001:0304c10	音。全身下荒草。大眾。承天未出世時。或有一箇半箇	音 全 身 下 荒 草 大 眾 承 天 未 出 世 時 或 有 一 箇 半 箇 
X69n1352_001:0304c11	衲子相疑著。誰知道。出世後。直得無言可說。無理可	衲 子 相 疑 著 誰 知 道 出 世 後 直 得 無 言 可 說 無 理 可 
X69n1352_001:0304c12	伸。然雖如是。猶賴得侯溪主人在。何謂如此。千古萬	伸 然 雖 如 是 猶 賴 得 侯 溪 主 人 在 何 謂 如 此 千 古 萬 
X69n1352_001:0304c13	古無人知。眼裏瞳兒看馬騎。	古 無 人 知 眼 裏 瞳 兒 看 馬 騎 
X69n1352_001:0304c14	到歸宗上堂云。真性心地藏。無頭亦無尾。應緣而化	到 歸 宗 上 堂 云 真 性 心 地 藏 無 頭 亦 無 尾 應 緣 而 化 
X69n1352_001:0304c15	物。方便呼為智。大眾。承天此者來。禮拜歸宗師叔。師	物 方 便 呼 為 智 大 眾 承 天 此 者 來 禮 拜 歸 宗 師 叔 師 
X69n1352_001:0304c16	叔。若行一丈。承天也行一丈。師叔若行一尺。承天也	叔 若 行 一 丈 承 天 也 行 一 丈 師 叔 若 行 一 尺 承 天 也 
X69n1352_001:0304c17	行一尺。何謂如此。得風流處且風流。有般漢到者裏	行 一 尺 何 謂 如 此 得 風 流 處 且 風 流 有 般 漢 到 者 裏 
X69n1352_001:0304c18	道。耶舍塔高。金輪峰峻。眨眼回頭。早是鷂子過新羅。	道 耶 舍 塔 高 金 輪 峰 峻 眨 眼 回 頭 早 是 鷂 子 過 新 羅 
X69n1352_001:0304c19	似恁麼。還稱得我師叔門風也無。不見道。打麵還他	似 恁 麼 還 稱 得 我 師 叔 門 風 也 無 不 見 道 打 麵 還 他 
X69n1352_001:0304c20	州土麥。唱歌須是帝鄉人。然雖如是。三十年後。清平	州 土 麥 唱 歌 須 是 帝 鄉 人 然 雖 如 是 三 十 年 後 清 平 
X69n1352_001:0304c21	過水。	過 水 
X69n1352_001:0304c22	到開先上堂。云古人道。莫行舊時路。莫掛本來衣。如	到 開 先 上 堂 云 古 人 道 莫 行 舊 時 路 莫 掛 本 來 衣 如 
X69n1352_001:0304c23	今有人。向鋒刃上橫身。火燄裏出手。盡是勞而無功。	今 有 人 向 鋒 刃 上 橫 身 火 燄 裏 出 手 盡 是 勞 而 無 功 
X69n1352_001:0304c24	豈可更擔水向河頭賣。雖然如是。若教姆母臨明鏡。	豈 可 更 擔 水 向 河 頭 賣 雖 然 如 是 若 教 姆 母 臨 明 鏡 
X69n1352_001:0305a01	也道不勞紅粉施。	也 道 不 勞 紅 粉 施 
X69n1352_001:0305a02	到萬杉上堂。云仰山道。東寺師叔若在。即慧寂不至	到 萬 杉 上 堂 云 仰 山 道 東 寺 師 叔 若 在 即 慧 寂 不 至 
X69n1352_001:0305a03	寂寞。承天此日。來見萬杉師叔。且一籌勝却仰山。何	寂 寞 承 天 此 日 來 見 萬 杉 師 叔 且 一 籌 勝 却 仰 山 何 
X69n1352_001:0305a04	謂如此。一手不獨拍。兩手鳴劃劃。然雖如是。且道。還	謂 如 此 一 手 不 獨 拍 兩 手 鳴 劃 劃 然 雖 如 是 且 道 還 
X69n1352_001:0305a05	鄉曲子。作麼生唱。莫是點眼知人意。看取令行時。又	鄉 曲 子 作 麼 生 唱 莫 是 點 眼 知 人 意 看 取 令 行 時 又 
X69n1352_001:0305a06	莫是邏羅哩邏羅哩若恁麼。自古自今。如麻似粟。要	莫 是 邏 羅 哩 邏 羅 哩 若 恁 麼 自 古 自 今 如 麻 似 粟 要 
X69n1352_001:0305a07	會麼。鴛鴦繡了從君看。莫把金針度與人。	會 麼 鴛 鴦 繡 了 從 君 看 莫 把 金 針 度 與 人 
X69n1352_001:0305a08	到棲賢上堂。云承天自開堂後。便安排些葛藤。來山	到 棲 賢 上 堂 云 承 天 自 開 堂 後 便 安 排 些 葛 藤 來 山 
X69n1352_001:0305a09	南東葛西葛。却為在歸宗開先萬杉。一時打揲却了	南 東 葛 西 葛 却 為 在 歸 宗 開 先 萬 杉 一 時 打 揲 却 了 
X69n1352_001:0305a10	也。今日到三峽會裏。大似臨嫁醫癭。卒著手脚不辦。	也 今 日 到 三 峽 會 裏 大 似 臨 嫁 醫 癭 卒 著 手 脚 不 辦 
X69n1352_001:0305a11	幸望大眾不怪。伏惟珍重。	幸 望 大 眾 不 怪 伏 惟 珍 重 
X69n1352_001:0305a12	到羅漢上堂。云昔日當山祖印。有打破虗空底鉗鎚。	到 羅 漢 上 堂 云 昔 日 當 山 祖 印 有 打 破 虗 空 底 鉗 鎚 
X69n1352_001:0305a13	喝散白雲底意氣。當時不妨被他使著。若以今之堂	喝 散 白 雲 底 意 氣 當 時 不 妨 被 他 使 著 若 以 今 之 堂 
X69n1352_001:0305a14	上坐致太平。猶淹大手。承天何故。今日得恁麼造次。	上 坐 致 太 平 猶 淹 大 手 承 天 何 故 今 日 得 恁 麼 造 次 
X69n1352_001:0305a15	不見道。不是對人誇潔白。大都緇素要分明。	不 見 道 不 是 對 人 誇 潔 白 大 都 緇 素 要 分 明 
X69n1352_001:0305a16	山南迴上堂。云運□□□來。何曾有間隔。承天數日	山 南 迴 上 堂 云 運 來 何 曾 有 間 隔 承 天 數 日 
X69n1352_001:0305a17	遶廬山行禮。每日折旋俯仰。謾諸人一點不得。諸人	遶 廬 山 行 禮 每 日 折 旋 俯 仰 謾 諸 人 一 點 不 得 諸 人 
X69n1352_001:0305a18	在院中折旋俯仰。也謾承天一點不得。承天為什麼	在 院 中 折 旋 俯 仰 也 謾 承 天 一 點 不 得 承 天 為 什 麼 
X69n1352_001:0305a19	見似不見。要會麼。是處有芳草。何山無白雲。	見 似 不 見 要 會 麼 是 處 有 芳 草 何 山 無 白 雲 
X69n1352_001:0305a20	上堂。僧問。先聖道。舉足無非道場。學人便恁麼去如	上 堂 僧 問 先 聖 道 舉 足 無 非 道 場 學 人 便 恁 麼 去 如 
X69n1352_001:0305a21	何。師云令人疑著。僧云學人未曉。乞師再指。師云和	何 師 云 令 人 疑 著 僧 云 學 人 未 曉 乞 師 再 指 師 云 和 
X69n1352_001:0305a22	我理會不得。僧禮拜。師云有甚分曉。乃云。君若隨緣	我 理 會 不 得 僧 禮 拜 師 云 有 甚 分 曉 乃 云 君 若 隨 緣 
X69n1352_001:0305a23	得似風。吹沙走石不乖空。但於事上通無事。拈起拄	得 似 風 吹 沙 走 石 不 乖 空 但 於 事 上 通 無 事 拈 起 拄 
X69n1352_001:0305a24	杖云。見色聞聲不要聾。乃卓拄杖一下。喝一喝。	杖 云 見 色 聞 聲 不 要 聾 乃 卓 拄 杖 一 下 喝 一 喝 
X69n1352_001:0305b01	上堂云。先師道。楊岐無旨的。種田博飯喫。說夢老瞿	上 堂 云 先 師 道 楊 岐 無 旨 的 種 田 博 飯 喫 說 夢 老 瞿 
X69n1352_001:0305b02	曇。何處覓蹤跡。大眾誰知道。承天今日之下。向城中	曇 何 處 覓 蹤 跡 大 眾 誰 知 道 承 天 今 日 之 下 向 城 中 
X69n1352_001:0305b03	住箇小院子。却勞他別人去種田。自己只解喫飯。可	住 箇 小 院 子 却 勞 他 別 人 去 種 田 自 己 只 解 喫 飯 可 
X69n1352_001:0305b04	謂養子不及父。家門一世貧。然雖如是。大樹大皮褁。	謂 養 子 不 及 父 家 門 一 世 貧 然 雖 如 是 大 樹 大 皮 褁 
X69n1352_001:0305b05	小樹小皮纏。	小 樹 小 皮 纏 
X69n1352_001:0305b06	上堂。僧問。舊歲已去。新歲復來。如何是不遷義。師云	上 堂 僧 問 舊 歲 已 去 新 歲 復 來 如 何 是 不 遷 義 師 云 
X69n1352_001:0305b07	眉在眼上。僧云恁麼則一氣不言含有象。萬靈何處	眉 在 眼 上 僧 云 恁 麼 則 一 氣 不 言 含 有 象 萬 靈 何 處 
X69n1352_001:0305b08	謝無私。師云未敢相許。僧云大眾證明。學人禮謝。師	謝 無 私 師 云 未 敢 相 許 僧 云 大 眾 證 明 學 人 禮 謝 師 
X69n1352_001:0305b09	云更須子細　乃云。今日普天之下。盡添一歲。且道。	云 更 須 子 細 乃 云 今 日 普 天 之 下 盡 添 一 歲 且 道 
X69n1352_001:0305b10	南泉水牯牛。還添也無。添與不添且致。且道水牯牛	南 泉 水 牯 牛 還 添 也 無 添 與 不 添 且 致 且 道 水 牯 牛 
X69n1352_001:0305b11	鼻孔重多少。若知得他斤兩。輕重分明。每日一任侵	鼻 孔 重 多 少 若 知 得 他 斤 兩 輕 重 分 明 每 日 一 任 侵 
X69n1352_001:0305b12	他人苗稼。若也未然。臈月三十日。莫道春來草自青。	他 人 苗 稼 若 也 未 然 臈 月 三 十 日 莫 道 春 來 草 自 青 
X69n1352_001:0305b13	上堂云。乾坤之內。宇宙之間。中有一寶。秘在形山。大	上 堂 云 乾 坤 之 內 宇 宙 之 間 中 有 一 寶 秘 在 形 山 大 
X69n1352_001:0305b14	眾。眼在鼻上。脚在肚下。且道寶在甚處。乃云。人面不	眾 眼 在 鼻 上 脚 在 肚 下 且 道 寶 在 甚 處 乃 云 人 面 不 
X69n1352_001:0305b15	知何處去。桃花依舊笑春風。	知 何 處 去 桃 花 依 舊 笑 春 風 
X69n1352_001:0305b16	上堂云。文殊起佛見法見。被世尊貶向鐵圍山　大	上 堂 云 文 殊 起 佛 見 法 見 被 世 尊 貶 向 鐵 圍 山 大 
X69n1352_001:0305b17	眾。世尊當時一期。也似爭小失大。有失大人之相。如	眾 世 尊 當 時 一 期 也 似 爭 小 失 大 有 失 大 人 之 相 如 
X69n1352_001:0305b18	今若有人。向承天者裏。起佛見法見。承天終不教動	今 若 有 人 向 承 天 者 裏 起 佛 見 法 見 承 天 終 不 教 動 
X69n1352_001:0305b19	著他。何謂如此。但得雪消去。自然春到來。	著 他 何 謂 如 此 但 得 雪 消 去 自 然 春 到 來 
X69n1352_001:0305b20	上堂云。昔日淨名大士。向毗耶城裏方丈中。為一切	上 堂 云 昔 日 淨 名 大 士 向 毗 耶 城 裏 方 丈 中 為 一 切 
X69n1352_001:0305b21	眾生病故。所以示病。大眾。看他古人恁麼。也似平地	眾 生 病 故 所 以 示 病 大 眾 看 他 古 人 恁 麼 也 似 平 地 
X69n1352_001:0305b22	上喫交。承天自半夏來。一月日患痢。兩月日將息。尚	上 喫 交 承 天 自 半 夏 來 一 月 日 患 痢 兩 月 日 將 息 尚 
X69n1352_001:0305b23	不能得蘇息。豈更有閒功夫。□□人病。何謂如此。知	不 能 得 蘇 息 豈 更 有 閒 功 夫 人 病 何 謂 如 此 知 
X69n1352_001:0305b24	時別宜。堪作闍梨。	時 別 宜 堪 作 闍 梨 
X69n1352_001:0305c01	上堂云。古者道。上士聞道。勤而行之。中士聞道。如存	上 堂 云 古 者 道 上 士 聞 道 勤 而 行 之 中 士 聞 道 如 存 
X69n1352_001:0305c02	如亡。下士聞道。大笑之。大眾。若約衲僧門下。却許他	如 亡 下 士 聞 道 大 笑 之 大 眾 若 約 衲 僧 門 下 却 許 他 
X69n1352_001:0305c03	大笑底。有些些骨氣。何謂如此。眾眼難謾。	大 笑 底 有 些 些 骨 氣 何 謂 如 此 眾 眼 難 謾 
X69n1352_001:0305c04	上堂云。一切有為法。如夢幻泡影。乃拍禪床一下云。	上 堂 云 一 切 有 為 法 如 夢 幻 泡 影 乃 拍 禪 床 一 下 云 
X69n1352_001:0305c05	幾度黑風吹大海。未嘗聞道釣舟傾。	幾 度 黑 風 吹 大 海 未 嘗 聞 道 釣 舟 傾 
X69n1352_001:0305c06	上堂。僧問。智不到處。切忌道著。道著時如何。師云風	上 堂 僧 問 智 不 到 處 切 忌 道 著 道 著 時 如 何 師 云 風 
X69n1352_001:0305c07	吹日炙。僧云恁麼則無處容身也。師云。碓搗磨磨。僧	吹 日 炙 僧 云 恁 麼 則 無 處 容 身 也 師 云 碓 搗 磨 磨 僧 
X69n1352_001:0305c08	云官不容針。私通車馬。師云可貴可賤。僧彈指一下。	云 官 不 容 針 私 通 車 馬 師 云 可 貴 可 賤 僧 彈 指 一 下 
X69n1352_001:0305c09	師云恰是。僧吐舌。師云家貧猶自可。路貧愁殺人。僧	師 云 恰 是 僧 吐 舌 師 云 家 貧 猶 自 可 路 貧 愁 殺 人 僧 
X69n1352_001:0305c10	呵呵大笑。師云放過著　乃云。智不到處。切忌道著。	呵 呵 大 笑 師 云 放 過 著 乃 云 智 不 到 處 切 忌 道 著 
X69n1352_001:0305c11	大眾。既是智不到處。又道箇什麼。拍禪牀一下云。相	大 眾 既 是 智 不 到 處 又 道 箇 什 麼 拍 禪 牀 一 下 云 相 
X69n1352_001:0305c12	逢只可三分語。未可全拋一片心。	逢 只 可 三 分 語 未 可 全 拋 一 片 心 
X69n1352_001:0305c13	上堂云。人情濃厚道情微。道用人情世豈知。且問諸	上 堂 云 人 情 濃 厚 道 情 微 道 用 人 情 世 豈 知 且 問 諸 
X69n1352_001:0305c14	人。每日區區地。為當是人情。是道用。直饒道得。也是	人 每 日 區 區 地 為 當 是 人 情 是 道 用 直 饒 道 得 也 是 
X69n1352_001:0305c15	人情。也不是道用。正是泥裏洗土塊。要得分明麼。良	人 情 也 不 是 道 用 正 是 泥 裏 洗 土 塊 要 得 分 明 麼 良 
X69n1352_001:0305c16	久云。千鈞之弩。不為鼷鼠而發機。	久 云 千 鈞 之 弩 不 為 鼷 鼠 而 發 機 
X69n1352_001:0305c17	懺法堂上堂。僧問。石霜之堂為枯木。鹿苑之座號金	懺 法 堂 上 堂 僧 問 石 霜 之 堂 為 枯 木 鹿 苑 之 座 號 金 
X69n1352_001:0305c18	剛。承天此日新堂座。名箇什麼。師云你出家也未。僧	剛 承 天 此 日 新 堂 座 名 箇 什 麼 師 云 你 出 家 也 未 僧 
X69n1352_001:0305c19	云畢竟如何名邈。師云面前有露柱。僧禮拜　師乃	云 畢 竟 如 何 名 邈 師 云 面 前 有 露 柱 僧 禮 拜 師 乃 
X69n1352_001:0305c20	云。古者道。此座高廣。吾不能昇。先須作禮須彌燈王。	云 古 者 道 此 座 高 廣 吾 不 能 昇 先 須 作 禮 須 彌 燈 王 
X69n1352_001:0305c21	然後可昇。大眾且道。承天此座。為復昇來久矣。為復	然 後 可 昇 大 眾 且 道 承 天 此 座 為 復 昇 來 久 矣 為 復 
X69n1352_001:0305c22	今日始昇。若是今日始昇。許多時在甚處。若是昇來	今 日 始 昇 若 是 今 日 始 昇 許 多 時 在 甚 處 若 是 昇 來 
X69n1352_001:0305c23	久矣。須彌燈王。只今在什麼處。乃拈起拄杖云。須彌	久 矣 須 彌 燈 王 只 今 在 什 麼 處 乃 拈 起 拄 杖 云 須 彌 
X69n1352_001:0305c24	燈王。在拄杖頭上證明。諸人各各有此座分。若也見	燈 王 在 拄 杖 頭 上 證 明 諸 人 各 各 有 此 座 分 若 也 見 
X69n1352_001:0306a01	得去。向東京城裏持鉢。江州城裏喫飯。入淫坊。穿酒	得 去 向 東 京 城 裏 持 鉢 江 州 城 裏 喫 飯 入 淫 坊 穿 酒 
X69n1352_001:0306a02	肆。看南頭買賤。北頭賣貴。未嘗絲髮離於此座。然雖	肆 看 南 頭 買 賤 北 頭 賣 貴 未 嘗 絲 髮 離 於 此 座 然 雖 
X69n1352_001:0306a03	如是。承天今日。赫日光中雷電轟。以拄杖擊禪牀一	如 是 承 天 今 日 赫 日 光 中 雷 電 轟 以 拄 杖 擊 禪 牀 一 
X69n1352_001:0306a04	下。	下 
X69n1352_001:0306a05	上堂云。觸目不會道。言中有響。運足焉知路。彩出齪	上 堂 云 觸 目 不 會 道 言 中 有 響 運 足 焉 知 路 彩 出 齪 
X69n1352_001:0306a06	家。所以向諸仁者道。誰敢錯悞諸仁者一毫子。還會	家 所 以 向 諸 仁 者 道 誰 敢 錯 悞 諸 仁 者 一 毫 子 還 會 
X69n1352_001:0306a07	麼。承天罪過已不少。	麼 承 天 罪 過 已 不 少 
X69n1352_001:0306a08	上堂。竪起拄杖云。鋒刃上[跳兆+孛]跳。却橫按拄杖云。微塵	上 堂 竪 起 拄 杖 云 鋒 刃 上 [跳兆孛] 跳 却 橫 按 拄 杖 云 微 塵 
X69n1352_001:0306a09	裏走馬。勞勞去復來。箇是醒醒者。遂擲下拄杖。下座。	裏 走 馬 勞 勞 去 復 來 箇 是 醒 醒 者 遂 擲 下 拄 杖 下 座 
X69n1352_001:0306a10	上堂云。戢玄機於未兆。藏冥運於即化。大眾。如今禪	上 堂 云 戢 玄 機 於 未 兆 藏 冥 運 於 即 化 大 眾 如 今 禪 
