T24n1460_001:0659a03	解脫戒經	解 脫 戒 經 
T24n1460_001:0659b01	漸滅，當一心精進，莫行放逸。所以者何？如來	漸 滅 當 一 心 精 進 莫 行 放 逸 所以者何 如 來 
T24n1460_001:0659b02	勤精進故，得阿耨多羅三藐三菩提，及餘	勤 精 進 故 得阿耨多羅三藐三菩提 及 餘 
T24n1460_001:0659b03	善法菩提分法。眾僧和合坐。未受具戒者	善 法 菩提分法 眾 僧 和 合 坐 未受具戒 者 
T24n1460_001:0659b04	出。」	出 
T24n1460_001:0659b05	「眾僧和合先作何事？不來諸比丘說欲清淨。	 眾 僧 和 合 先作何事 不 來 諸 比 丘 說 欲 清 淨 
T24n1460_001:0659b06	比丘尼遣誰來受教？」	比 丘 尼 遣 誰 來 受 教 
T24n1460_001:0659b07	「毘婆尸如來，　　六十八百千，	 毘 婆 尸 如 來 六 十 八 百 千 
T24n1460_001:0659b08	　阿羅漢眾中，　　說此解脫戒：	 阿 羅 漢 眾 中 說 此 解 脫 戒 
T24n1460_001:0659b09	　忍辱第一義，　　佛說涅槃最，	 忍 辱 第 一 義 佛 說 涅 槃 最 
T24n1460_001:0659b10	　出家惱他人，　　不名為沙門。	 出 家 惱 他 人 不 名 為 沙 門 
T24n1460_001:0659b11	　尸棄牟尼尊，　　金山無與等，	 尸 棄 牟 尼 尊 金 山 無 與 等 
T24n1460_001:0659b12	　三十六萬眾，　　說此解脫戒：	 三 十 六 萬 眾 說 此 解 脫 戒 
T24n1460_001:0659b13	　譬如明眼人，　　有足能避嶮，	 譬 如 明 眼 人 有 足 能 避 嶮 
T24n1460_001:0659b14	　世有聰明人，　　能遠離眾患。	 世 有 聰 明 人 能 遠 離 眾 患 
T24n1460_001:0659b15	　毘舍浮如來，　　永離諸煩惱，	 毘 舍 浮 如 來 永 離諸煩惱 
T24n1460_001:0659b16	　百千大眾中，　　說此解脫戒：	 百 千 大 眾 中 說 此 解 脫 戒 
T24n1460_001:0659b17	　不屏說人惡，　　不惱亂他人，	 不 屏 說 人 惡 不 惱 亂 他 人 
T24n1460_001:0659b18	　常奉行於戒，　　衣食知止足。	 常 奉 行 於 戒 衣 食 知 止 足 
T24n1460_001:0659b19	　拘留村陀佛，　　知見廣無畏，	 拘 留 村 陀 佛 知 見 廣 無 畏 
T24n1460_001:0659b20	　四十千眾中，　　說此解脫戒：	 四 十 千 眾 中 說 此 解 脫 戒 
T24n1460_001:0659b21	　譬如蜂採花，　　但取其香味，	 譬 如 蜂 採 花 但 取 其 香 味 
T24n1460_001:0659b22	　持至所住處；　　比丘入聚然，	 持 至 所 住 處 比 丘 入 聚 然 
T24n1460_001:0659b23	　不破壞他意，　　不觀作不作，	 不 破 壞 他 意 不 觀 作 不 作 
T24n1460_001:0659b24	　但自觀身行，　　若正若不正。	 但 自 觀 身 行 若 正 若 不 正 
T24n1460_001:0659b25	　迦那迦牟尼，　　三十千沙門，	 迦 那 迦 牟 尼 三 十 千 沙 門 
T24n1460_001:0659b26	　羅漢大眾中，　　說此解脫戒：	 羅 漢 大 眾 中 說 此 解 脫 戒 
T24n1460_001:0659b27	　正觀莫放逸，　　當學牟尼法，	 正 觀 莫 放 逸 當 學 牟 尼 法 
T24n1460_001:0659b28	　如是無憂愁，　　心寂入涅槃。	 如 是 無 憂 愁 心 寂 入 涅 槃 
T24n1460_001:0659b29	　迦葉波如來，　　大智大名稱，	 迦 葉 波 如 來 大 智 大 名 稱 
T24n1460_001:0659c01	　三十千眾中，　　說此解脫戒：	 三 十 千 眾 中 說 此 解 脫 戒 
T24n1460_001:0659c02	　一切惡莫作，　　當具足眾善，	 一切惡莫作 當 具 足 眾 善 
T24n1460_001:0659c03	　自調伏其心，　　此是諸佛教。	 自 調 伏 其 心 此 是 諸 佛 教 
T24n1460_001:0659c04	　世尊大智慧，　　釋法王牟尼，	 世 尊 大 智 慧 釋 法 王 牟 尼 
T24n1460_001:0659c05	　為尼羅浮眾，　　說此解脫戒：	 為 尼 羅 浮 眾 說 此 解 脫 戒 
T24n1460_001:0659c06	　善護於口業，　　自淨其心意，	 善 護 於 口 業 自 淨 其 心 意 
T24n1460_001:0659c07	　身莫作眾惡，　　此三業清淨。	 身 莫 作 眾 惡 此 三 業 清 淨 
T24n1460_001:0659c08	　僧眾甚廣大，　　說法亦無量，	 僧 眾 甚 廣 大 說 法 亦 無 量 
T24n1460_001:0659c09	　名聞大供養，　　說此解脫戒。」	 名 聞 大 供 養 說 此 解 脫 戒 
T24n1460_001:0659c10	「大德僧聽！僧今十五日布薩說解脫戒。若僧	 大德僧聽 僧 今 十 五 日 布 薩 說 解 脫 戒 若 僧 
T24n1460_001:0659c11	到時僧忍聽，僧作布薩說解脫戒。白如是。」	到 時 僧 忍 聽 僧 作 布 薩 說 解 脫 戒 白 如 是 
T24n1460_001:0659c12	「諸大德！今說解脫戒，眾集默然聽，善思念之。	 諸 大 德 今 說 解 脫 戒 眾 集 默 然 聽 善思念之 
T24n1460_001:0659c13	若有犯者當發露，無犯者默然。默然故，知眾	若 有 犯 者 當 發 露 無 犯 者 默 然 默 然 故 知 眾 
T24n1460_001:0659c14	清淨。如一一比丘問，如是比丘乃至三問，若	清 淨 如 一 一 比 丘 問 如 是 比 丘 乃 至 三 問 若 
T24n1460_001:0659c15	比丘如是眾中乃至三問，憶念有犯當發露，	比 丘 如 是 眾 中 乃 至 三 問 憶 念 有 犯 當 發 露 
T24n1460_001:0659c16	不發露得故妄語罪。諸大德，故妄語罪，佛說	不 發 露 得 故 妄 語 罪 諸 大 德 故 妄 語 罪 佛 說 
T24n1460_001:0659c17	障道法。彼比丘自憶知有犯，欲求清淨當	障 道 法 彼 比 丘 自 憶 知 有 犯 欲 求 清 淨 當 
T24n1460_001:0659c18	發露。發露則安隱，不發露罪益深。諸大德！	發 露 發 露 則 安 隱 不 發 露 罪 益 深 諸 大 德 
T24n1460_001:0659c19	我已說解脫戒經序。今問諸大德是中清淨	我 已 說 解 脫 戒 經 序 今 問 諸 大 德 是 中 清 淨 
T24n1460_001:0659c20	不？」(如是三說)	不 如是三說 
T24n1460_001:0659c21	「諸大德是中清淨，默然故，是事如是持。」	 諸 大 德 是 中 清 淨 默 然 故 是事如是持 
T24n1460_001:0659c22	「諸大德！此四波羅夷法，半月半月說解脫戒	 諸 大 德 此 四波羅夷 法 半月半月 說 解 脫 戒 
T24n1460_001:0659c23	經中來。	經 中 來 
T24n1460_001:0659c24	「若比丘，共比丘同入戒法，戒羸不捨戒，作	 若 比 丘 共 比 丘 同 入 戒 法 戒 羸 不 捨 戒 作 
T24n1460_001:0659c25	不淨行，習婬欲法，乃至共畜生，是比丘得波	不 淨 行 習 婬 欲 法 乃 至 共 畜 生 是 比 丘 得 波 
T24n1460_001:0659c26	羅夷不應共住。「若比丘，若在聚落、若空	羅 夷 不應共住 若 比 丘 若 在 聚 落 若 空 
T24n1460_001:0659c27	靜地，他物、不與，以盜心取。若王、若大臣，若捉、	靜 地 他 物 不 與 以 盜 心 取 若 王 若 大 臣 若 捉 
T24n1460_001:0659c28	若害、若縛、若罰財、若驅出國、若與種種苦：『咄！	若 害 若 縛 若 罰 財 若 驅 出 國 若 與 種 種 苦 咄 
T24n1460_001:0659c29	如是賊、汝無所知、汝癡、汝不與取。』是比丘得	如 是 賊 汝 無 所 知 汝 癡 汝 不 與 取 是 比 丘 得 
T24n1460_001:0660a01	波羅夷不應共住。「若比丘，若人、若似人，	波 羅 夷 不應共住 若 比 丘 若 人 若 似 人 
T24n1460_001:0660a02	故自手斷其命，若自持刀、或求持刀，教死讚	故 自 手 斷 其 命 若 自 持 刀 或 求 持 刀 教 死 讚 
T24n1460_001:0660a03	死，如是說：『咄男子！用此不善惡活為？死勝	死 如 是 說 咄 男 子 用 此 不 善 惡 活 為 死 勝 
T24n1460_001:0660a04	生。』隨彼所欲心所憶念，無量種種教死讚死，	生 隨 彼 所 欲 心 所 憶 念 無 量 種 種 教 死 讚 死 
T24n1460_001:0660a05	彼人因是事死，是比丘得波羅夷不應共住。	彼 人 因 是 事 死 是 比 丘 得 波 羅 夷 不應共住 
T24n1460_001:0660a06	「若比丘，不知不見上人法，無聖智見勝法，	 若 比 丘 不 知 不 見 上 人 法 無 聖 智 見 勝 法 
T24n1460_001:0660a07	自稱言：『我知我見。』彼於異時，若撿問、若不	自 稱 言 我 知 我 見 彼 於 異 時 若 撿 問 若 不 
T24n1460_001:0660a08	撿問，欲求清淨作如是說：『我實不知不見，言	撿 問 欲 求 清 淨 作如是說 我 實 不 知 不 見 言 
T24n1460_001:0660a09	知言見，虛誑妄語。』除增上慢，是比丘得波羅	知 言 見 虛 誑 妄 語 除 增 上 慢 是 比 丘 得 波 羅 
T24n1460_001:0660a10	夷不應共住。」「諸大德！我已說四波羅夷	夷 不應共住 諸 大 德 我 已 說 四波羅夷 
T24n1460_001:0660a11	法。若比丘犯一一法，不得與比丘共住，如前	法 若 比 丘 犯 一 一 法 不 得 與 比 丘 共 住 如 前 
T24n1460_001:0660a12	波羅夷不應共住。今問諸大德是中清淨不？」	波 羅 夷 不應共住 今 問 諸 大 德 是 中 清 淨 不 
T24n1460_001:0660a13	(如是三說)	 如是三說 
T24n1460_001:0660a14	「諸大德是中清淨，默然故，是事如是持。」	 諸 大 德 是 中 清 淨 默 然 故 是事如是持 
T24n1460_001:0660a15	「諸大德！此十三僧伽婆尸沙法，半月半月說	 諸 大 德 此 十 三 僧伽婆尸沙法 半月半月 說 
T24n1460_001:0660a16	解脫戒經中來。	解 脫 戒 經 中 來 
T24n1460_001:0660a17	「若比丘，憶念故出精，除夢中，僧伽婆尸沙。	 若 比 丘 憶 念 故 出 精 除 夢 中 僧伽婆尸沙 
T24n1460_001:0660a18	「若比丘，染污心共女人身相觸，若捉手、若	 若 比 丘 染 污 心 共 女 人 身 相 觸 若 捉 手 若 
T24n1460_001:0660a19	捉臂、若捉髮、若觸一一身分覺觸，僧伽婆	捉 臂 若 捉 髮 若 觸 一 一 身 分 覺 觸 僧 伽 婆 
T24n1460_001:0660a20	尸沙。「若比丘，染污心說麁惡婬欲語，如	尸 沙 若 比 丘 染 污 心 說 麁 惡 婬 欲 語 如 
T24n1460_001:0660a21	男子女人迭互說，僧伽婆尸沙。「若比丘，	男 子 女 人 迭 互 說 僧伽婆尸沙 若 比 丘 
T24n1460_001:0660a22	於女人前自讚身言：『姊妹！我等持戒善修梵	於 女 人 前 自 讚 身 言 姊 妹 我 等 持 戒 善 修 梵 
T24n1460_001:0660a23	行，應以婬欲供養我，此法供養最第一。』僧伽	行 應 以 婬 欲 供 養 我 此 法 供 養 最 第 一 僧 伽 
T24n1460_001:0660a24	婆尸沙。「若比丘，行媒法，持男意語女、持	婆 尸 沙 若 比 丘 行 媒 法 持 男 意 語 女 持 
T24n1460_001:0660a25	女意語男，若為婦事、若為私通，乃至須臾，僧	女 意 語 男 若 為 婦 事 若 為 私 通 乃 至 須 臾 僧 
T24n1460_001:0660a26	伽婆尸沙。「若比丘，自求作房，無主自為	伽 婆 尸 沙 若 比 丘 自 求 作 房 無 主 自 為 
T24n1460_001:0660a27	己，當應量作。是中量者，長佛十二手、內廣七	己 當 應 量 作 是 中 量 者 長 佛 十 二 手 內 廣 七 
T24n1460_001:0660a28	手。應將餘比丘往視處所，諸比丘應觀處所，	手 應 將 餘 比 丘 往 視 處 所 諸 比 丘 應 觀 處 所 
T24n1460_001:0660a29	無難處、無妨處。	無 難 處 無 妨 處 
T24n1460_001:0660b01	若比丘難處、妨處自求作房，無主自為己，不	若 比 丘 難 處 妨 處 自 求 作 房 無 主 自 為 己 不 
T24n1460_001:0660b02	將餘比丘往觀處所、若過量作，僧伽婆尸沙。	將 餘 比 丘 往 觀 處 所 若 過 量 作 僧伽婆尸沙 
T24n1460_001:0660b03	「若比丘欲作大房，有主為己作，應將餘比	 若 比 丘 欲 作 大 房 有 主 為 己 作 應 將 餘 比 
T24n1460_001:0660b04	丘往視住處。諸比丘應觀住處，無難無妨。比	丘 往 視 住 處 諸 比 丘 應 觀 住 處 無 難 無 妨 比 
T24n1460_001:0660b05	丘初治地作大房，有主為己作，不將餘比丘	丘 初 治 地 作 大 房 有 主 為 己 作 不 將 餘 比 丘 
T24n1460_001:0660b06	往視住處，僧伽婆尸沙。「若比丘，瞋恚故，	往 視 住 處 僧伽婆尸沙 若 比 丘 瞋 恚 故 
T24n1460_001:0660b07	於清淨無犯比丘以無根波羅夷法謗，欲破	於 清 淨 無 犯 比 丘 以 無 根 波羅夷法 謗 欲 破 
T24n1460_001:0660b08	彼比丘淨行。彼於異時，若撿問、若呵責、或	彼 比 丘 淨 行 彼 於 異 時 若 撿 問 若 呵 責 或 
T24n1460_001:0660b09	不撿問，便言：『此事無根說，我瞋恚故作是語。』	不 撿 問 便 言 此 事 無 根 說 我 瞋 恚 故 作 是 語 
T24n1460_001:0660b10	僧伽婆尸沙。「若比丘，瞋恚故，於清淨無	僧伽婆尸沙 若 比 丘 瞋 恚 故 於 清 淨 無 
T24n1460_001:0660b11	犯比丘以相似法無根波羅夷法謗，為破彼	犯 比 丘 以 相 似 法 無 根 波羅夷法 謗 為 破 彼 
T24n1460_001:0660b12	梵行。彼於異時，若撿問、若不撿問，知是異分	梵 行 彼 於 異 時 若 撿 問 若 不 撿 問 知 是 異 分 
T24n1460_001:0660b13	相似，比丘自說：『我瞋故妄語說。』僧伽婆尸沙。	相 似 比 丘 自 說 我 瞋 故 妄 語 說 僧伽婆尸沙 
T24n1460_001:0660b14	「若比丘，欲破和合僧，受破僧方便法，堅執	 若 比 丘 欲 破 和 合 僧 受 破 僧 方 便 法 堅 執 
T24n1460_001:0660b15	不捨。諸比丘應諫此比丘言：『大德！莫破和	不 捨 諸 比 丘 應 諫 此 比 丘 言 大 德 莫 破 和 
T24n1460_001:0660b16	合僧，莫受破僧法堅執不捨。大德共僧和	合 僧 莫 受 破 僧 法 堅 執 不 捨 大 德 共 僧 和 
T24n1460_001:0660b17	合，僧和合歡喜不諍，同一師學如水乳合，增	合 僧 和 合 歡 喜 不 諍 同 一 師 學 如 水 乳 合 增 
T24n1460_001:0660b18	益安樂住。大德！捨此破僧法。』諸比丘如是諫	益 安 樂 住 大 德 捨 此 破 僧 法 諸 比 丘 如 是 諫 
T24n1460_001:0660b19	時，捨者善；若不捨者，諸比丘應三諫，捨是	時 捨 者 善 若 不 捨 者 諸 比 丘 應 三 諫 捨 是 
T24n1460_001:0660b20	事故。乃至三諫，捨者善；若不捨，僧伽婆尸	事 故 乃 至 三 諫 捨 者 善 若 不 捨 僧 伽 婆 尸 
T24n1460_001:0660b21	沙。「若比丘，有餘同伴群黨比丘說隨順語，	沙 若 比 丘 有 餘 同 伴 群 黨 比 丘 說 隨 順 語 
T24n1460_001:0660b22	若二若三乃至眾多，語諸比丘言：『長老！莫	若二若三 乃 至 眾 多 語 諸 比 丘 言 長 老 莫 
T24n1460_001:0660b23	諫此比丘，此比丘非惡心。何以故？此比丘所	諫 此 比 丘 此 比 丘 非 惡 心 何 以 故 此 比 丘 所 
T24n1460_001:0660b24	說如法如律，此比丘知說非不知說，此比丘	說 如 法 如 律 此 比 丘 知 說 非 不 知 說 此 比 丘 
T24n1460_001:0660b25	所說我等心所欲喜樂忍可。此比丘所欲喜	所 說 我 等 心 所 欲 喜 樂 忍 可 此 比 丘 所 欲 喜 
T24n1460_001:0660b26	樂忍可，我亦如是喜樂忍可。』諸比丘言：『大	樂 忍 可 我 亦 如 是 喜 樂 忍 可 諸 比 丘 言 大 
T24n1460_001:0660b27	德！莫作是語言：「此比丘所說如法如律，此比	德 莫作是語 言 此 比 丘 所 說 如 法 如 律 此 比 
T24n1460_001:0660b28	丘知說非不知說。此比丘喜樂忍可，我亦如	丘 知 說 非 不 知 說 此 比 丘 喜 樂 忍 可 我 亦 如 
T24n1460_001:0660b29	是喜樂忍可。」何以故？此比丘所說非法非律，	是 喜 樂 忍 可 何 以 故 此 比 丘 所 說 非 法 非 律 
T24n1460_001:0660c01	此比丘非知說。大德！汝莫欲破和合僧。大	此 比 丘 非 知 說 大 德 汝 莫 欲 破 和 合 僧 大 
T24n1460_001:0660c02	德！當樂和合共僧和合。僧今和合歡喜不諍，	德 當 樂 和 合 共 僧 和 合 僧 今 和 合 歡 喜 不 諍 
T24n1460_001:0660c03	同一住同一師學，如水乳合，於佛法中增益	同 一 住 同 一 師 學 如 水 乳 合 於佛法中 增 益 
T24n1460_001:0660c04	安樂住。大德！捨是破僧諍事。』諸比丘如是	安 樂 住 大 德 捨 是 破 僧 諍 事 諸 比 丘 如 是 
T24n1460_001:0660c05	諫時，捨者善；若不捨者，諸比丘應三諫，捨是	諫 時 捨 者 善 若 不 捨 者 諸 比 丘 應 三 諫 捨 是 
T24n1460_001:0660c06	事故。乃至三諫，捨者善；若不捨，僧伽婆尸	事 故 乃 至 三 諫 捨 者 善 若 不 捨 僧 伽 婆 尸 
T24n1460_001:0660c07	沙。「若諸比丘，依聚落城邑住，污種姓、行	沙 若 諸 比 丘 依 聚 落 城 邑 住 污 種 姓 行 
T24n1460_001:0660c08	惡行。污種姓亦見亦聞亦知，行惡行亦見亦	惡 行 污 種 姓 亦 見 亦 聞 亦 知 行 惡 行 亦 見 亦 
T24n1460_001:0660c09	聞亦知。諸比丘語此比丘言：『長老！汝污種	聞 亦 知 諸 比 丘 語 此 比 丘 言 長 老 汝 污 種 
T24n1460_001:0660c10	姓、行惡行。汝污種姓亦見亦聞亦知，行惡	姓 行 惡 行 汝 污 種 姓 亦 見 亦 聞 亦 知 行 惡 
T24n1460_001:0660c11	行亦見亦聞亦知。長老！汝污種姓、行惡行。	行 亦 見 亦 聞 亦 知 長 老 汝 污 種 姓 行 惡 行 
T24n1460_001:0660c12	汝等出去，不應此中住。』彼比丘語諸比丘言：	汝 等 出 去 不 應 此 中 住 彼 比 丘 語 諸 比 丘 言 
T24n1460_001:0660c13	『諸比丘有愛、有恚、有癡、有怖。有餘同行比丘，	 諸 比 丘 有 愛 有 恚 有 癡 有 怖 有 餘 同 行 比 丘 
T24n1460_001:0660c14	有驅者、有不驅者。』諸比丘應語此比丘言：『長	有 驅 者 有 不 驅 者 諸 比 丘 應 語 此 比 丘 言 長 
T24n1460_001:0660c15	老！莫作是語言：「僧有愛、有恚、有癡、有怖。有餘	老 莫作是語 言 僧 有 愛 有 恚 有 癡 有 怖 有 餘 
T24n1460_001:0660c16	同行比丘，有驅者、有不驅者。」何以故？諸比	同 行 比 丘 有 驅 者 有 不 驅 者 何 以 故 諸 比 
T24n1460_001:0660c17	丘不愛、不恚、不癡、不怖。長老！汝污種姓、行惡	丘 不 愛 不 恚 不 癡 不 怖 長 老 汝 污 種 姓 行 惡 
T24n1460_001:0660c18	行。汝污種姓亦見亦聞亦知，行惡行亦見亦	行 汝 污 種 姓 亦 見 亦 聞 亦 知 行 惡 行 亦 見 亦 
T24n1460_001:0660c19	聞亦知。污種姓，行惡行，汝捨此有愛有恚	聞 亦 知 污 種 姓 行 惡 行 汝 捨 此 有 愛 有 恚 
T24n1460_001:0660c20	有癡有怖語。』是比丘如是諫時，捨者善；若	有 癡 有 怖 語 是 比 丘 如 是 諫 時 捨 者 善 若 
T24n1460_001:0660c21	不捨者，諸比丘應三諫，捨是事故。乃至三諫，	不 捨 者 諸 比 丘 應 三 諫 捨 是 事 故 乃 至 三 諫 
T24n1460_001:0660c22	捨者善；若不捨，僧伽婆尸沙。「若比丘，惡	捨 者 善 若 不 捨 僧伽婆尸沙 若 比 丘 惡 
T24n1460_001:0660c23	口，於戒律中學、如來法中如法如毘尼，自身	口 於 戒 律 中 學 如 來 法 中 如 法 如 毘 尼 自 身 
T24n1460_001:0660c24	不受諫，語諸比丘言：『長老！莫向我說若善	不 受 諫 語 諸 比 丘 言 長 老 莫 向 我 說 若 善 
T24n1460_001:0660c25	不善，我亦不向諸長老說若善不善。長老！	不 善 我 亦 不 向 諸 長 老 說 若 善 不 善 長 老 
T24n1460_001:0660c26	止，莫諫我。』諸比丘諫此比丘言：『大德！於佛	止 莫 諫 我 諸 比 丘 諫 此 比 丘 言 大 德 於 佛 
T24n1460_001:0660c27	戒法中學如法如律，自身當受諫，莫不受諫。	戒 法 中 學 如 法 如 律 自 身 當 受 諫 莫 不 受 諫 
T24n1460_001:0660c28	大德！如法如律諫諸比丘，諸比丘亦如法如	大 德 如 法 如 律 諫 諸 比 丘 諸 比 丘 亦 如 法 如 
T24n1460_001:0660c29	律諫大德。何以故？如是具足，如來、應供、等	律 諫 大 德 何 以 故 如 是 具 足 如 來 應 供 等 
T24n1460_001:0661a01	正覺弟子眾得增長。種種相諫展轉相教，各	正 覺 弟 子 眾 得 增 長 種 種 相 諫 展 轉 相 教 各 
T24n1460_001:0661a02	各悔過、各各共語。』彼比丘如是諫時，捨者善；	各 悔 過 各 各 共 語 彼 比 丘 如 是 諫 時 捨 者 善 
T24n1460_001:0661a03	若不捨，諸比丘應三諫，捨是事故。乃至三諫，	若 不 捨 諸 比 丘 應 三 諫 捨 是 事 故 乃 至 三 諫 
T24n1460_001:0661a04	捨者善；若不捨，僧伽婆尸沙。」「諸大德！	捨 者 善 若 不 捨 僧伽婆尸沙 諸 大 德 
T24n1460_001:0661a05	我已說十三僧伽婆尸沙法，九初犯、四乃至	我 已 說 十 三 僧伽婆尸沙法 九 初 犯 四 乃 至 
T24n1460_001:0661a06	三諫。若比丘犯一一法，隨知覆藏，應行別宿。	三 諫 若 比 丘 犯 一 一 法 隨 知 覆 藏 應 行 別 宿 
T24n1460_001:0661a07	行別宿竟，僧中六夜行摩那埵。卑下行淨意	行 別 宿 竟 僧 中 六 夜 行 摩 那 埵 卑 下 行 淨 意 
T24n1460_001:0661a08	竟，應與除罪，順法行二十僧中滅罪。若少一	竟 應 與 除 罪 順 法 行 二 十 僧 中 滅 罪 若 少 一 
T24n1460_001:0661a09	人不滿二十滅是比丘罪，是比丘罪不得	人 不 滿 二 十 滅 是 比 丘 罪 是 比 丘 罪 不 得 
T24n1460_001:0661a10	除。諸比丘亦有犯。此法如是。今問諸大德是	除 諸 比 丘 亦 有 犯 此 法 如 是 今 問 諸 大 德 是 
T24n1460_001:0661a11	中清淨不？」(如是三說)	中 清 淨 不 如是三說 
T24n1460_001:0661a12	「諸大德是中清淨，默然故，是事如是持。」	 諸 大 德 是 中 清 淨 默 然 故 是事如是持 
T24n1460_001:0661a13	「諸大德！此二不定法，半月半月說解脫戒經	 諸 大 德 此 二不定法 半月半月 說 解 脫 戒 經 
T24n1460_001:0661a14	中來。	中 來 
T24n1460_001:0661a15	「若比丘，共一女人獨在覆障處、無人見處坐	 若 比 丘 共 一 女 人 獨 在 覆 障 處 無 人 見 處 坐 
T24n1460_001:0661a16	說欲事。有信優婆夷，三法中一一法說，若	說 欲 事 有 信 優 婆 夷 三 法 中 一 一 法 說 若 
T24n1460_001:0661a17	波羅夷、若僧伽婆尸沙、若波逸提。是坐處	波 羅 夷 若 僧伽婆尸沙 若 波 逸 提 是 坐 處 
T24n1460_001:0661a18	比丘自言：『我犯是罪。』於三法中應一一治，	比 丘 自 言 我 犯 是 罪 於 三 法 中 應 一 一 治 
T24n1460_001:0661a19	若婆羅夷、若僧伽婆尸沙、若波夜提。如有	若 婆 羅 夷 若 僧伽婆尸沙 若 波 夜 提 如 有 
T24n1460_001:0661a20	信優婆夷所說，應如法治是比丘。是名不定	信 優 婆 夷 所 說 應 如 法 治 是 比 丘 是 名 不 定 
T24n1460_001:0661a21	法。「若比丘，共一女人不覆處坐。有信優	法 若 比 丘 共 一 女 人 不 覆 處 坐 有 信 優 
T24n1460_001:0661a22	婆夷，二法中一一法說，若僧伽婆尸沙、若	婆 夷 二 法 中 一 一 法 說 若 僧伽婆尸沙 若 
T24n1460_001:0661a23	波逸提。是坐比丘自言：『我犯是罪。』二法中應	波 逸 提 是 坐 比 丘 自 言 我 犯 是 罪 二 法 中 應 
T24n1460_001:0661a24	一一治，若僧伽婆尸沙、若波逸提。如有信	一 一 治 若 僧伽婆尸沙 若 波 逸 提 如 有 信 
T24n1460_001:0661a25	優婆夷所說，應如法治是比丘。是名不定	優 婆 夷 所 說 應 如 法 治 是 比 丘 是 名 不 定 
T24n1460_001:0661a26	法。」「諸大德！我已說二不定法。今問諸大	法 諸 大 德 我 已 說 二不定法 今 問 諸 大 
