T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_001:1025a09	廬山記卷第一	廬 山 記 卷 第 一 
T51n2095_001:1025a11	尚書屯田員外郎嘉禾	尚 書 屯 田 員 外 郎 嘉 禾 
T51n2095_001:1025a12	陳舜俞令舉　撰	陳 舜 俞 令 舉 撰 
T51n2095_001:1025a13	梕敘山水篇第一	梕 敘 山 水 篇 第 一 
T51n2095_001:1025a14	案太史公曰。余南登廬山。觀禹九江。前漢郊	案 太 史 公 曰 余 南 登 廬 山 觀 禹 九 江 前 漢 郊 
T51n2095_001:1025a15	祀志云。乾封中。武帝浮江。自尋陽出。樅楊過	祀 志 云 乾 封 中 武 帝 浮 江 自 尋 陽 出 樅 楊 過 
T51n2095_001:1025a16	彭蠡。禮其名山大川。桑欽水經云。廬江出三	彭 蠡 禮 其 名 山 大 川 桑 欽 水 經 云 廬 江 出 三 
T51n2095_001:1025a17	天子都。北過彭蠡縣。釋惠遠廬山略記曰。山	天 子 都 北 過 彭 蠡 縣 釋 惠 遠 廬 山 略 記 曰 山 
T51n2095_001:1025a18	在江州尋陽。南濱宮亭。北對九江。九江之	在 江 州 尋 陽 南 濱 宮 亭 北 對 九 江 九 江 之 
T51n2095_001:1025a19	南。江為小江。山去小江三十餘里。左挾彭蠡。	南 江 為 小 江 山 去 小 江 三 十 餘 里 左 挾 彭 蠡 
T51n2095_001:1025a20	右傍通川。引三江之流。而據其會。山海經云。	右 傍 通 川 引 三 江 之 流 而 據 其 會 山 海 經 云 
T51n2095_001:1025a21	廬江出三天子都。一日天子障故舊語。以所	廬 江 出 三 天 子 都 一 日 天 子 障 故 舊 語 以 所 
T51n2095_001:1025a22	濱為彭蠡。有匡俗先生者。出自殷周之際。遯	濱 為 彭 蠡 有 匡 俗 先 生 者 出 自 殷 周 之 際 遯 
T51n2095_001:1025a23	世隱時潛居其下。或云俗受道仙人。共遊此	世 隱 時 潛 居 其 下 或 云 俗 受 道 仙 人 共 遊 此 
T51n2095_001:1025a24	山。遂託空崖。即巖成館。故時人謂其所止為	山 遂 託 空 崖 即 巖 成 館 故 時 人 謂 其 所 止 為 
T51n2095_001:1025a25	神仙之廬。因以名山焉。其山大嶺凡有七重。	神 仙 之 廬 因 以 名 山 焉 其 山 大 嶺 凡 有 七 重 
T51n2095_001:1025a26	圓基周回垂五百里。風雲之所攄。江湖之所	圓 基 周 回 垂 五 百 里 風 雲 之 所 攄 江 湖 之 所 
T51n2095_001:1025a27	帶。高崖反宇。峭壁萬尋。幽岫窮巖。人獸兩絕	帶 高 崖 反 宇 峭 壁 萬 尋 幽 岫 窮 巖 人 獸 兩 絕 
T51n2095_001:1025a28	天將雨則有白氣先摶。而瓔珞於嶺下。及至	天 將 雨 則 有 白 氣 先 摶 而 瓔 珞 於 嶺 下 及 至 
T51n2095_001:1025a29	觸石吐雲。則倏忽而集。或大風振崖。逸響動	觸 石 吐 雲 則 倏 忽 而 集 或 大 風 振 崖 逸 響 動 
T51n2095_001:1025b01	谷。群籟競奏。奇聲駭人。此其變化不可測者	谷 群 籟 競 奏 奇 聲 駭 人 此 其 變 化 不 可 測 者 
T51n2095_001:1025b02	矣。眾嶺中第三嶺極高峻。人跡之所罕經也。	矣 眾 嶺 中 第 三 嶺 極 高 峻 人 跡 之 所 罕 經 也 
T51n2095_001:1025b03	昔太史公東游。登其峯而遐觀。南眺三湖。北	昔 太 史 公 東 游 登 其 峯 而 遐 觀 南 眺 三 湖 北 
T51n2095_001:1025b04	望九江。東西肆目。若涉天庭焉。其嶺下半里	望 九 江 東 西 肆 目 若 涉 天 庭 焉 其 嶺 下 半 里 
T51n2095_001:1025b05	許。有重巘。上有懸崖。傍有石室。即古仙之所	許 有 重 巘 上 有 懸 崖 傍 有 石 室 即 古 仙 之 所 
T51n2095_001:1025b06	居也。其後有巖。漢董奉館於巖下。常為人治	居 也 其 後 有 巖 漢 董 奉 館 於 巖 下 常 為 人 治 
T51n2095_001:1025b07	病。法多奇神。絕於俗醫。病愈者令栽杏五株。	病 法 多 奇 神 絕 於 俗 醫 病 愈 者 令 栽 杏 五 株 
T51n2095_001:1025b08	數年之中。蔚然成林。計奉在民間二百年。容	數 年 之 中 蔚 然 成 林 計 奉 在 民 間 二 百 年 容 
T51n2095_001:1025b09	狀常如二十時。俄而昇舉。遂絕迹於杏林。其	狀 常 如 二 十 時 俄 而 昇 舉 遂 絕 迹 於 杏 林 其 
T51n2095_001:1025b10	北嶺西崖常有懸流。淫霪激勢相趣百餘仞中	北 嶺 西 崖 常 有 懸 流 淫 霪 激 勢 相 趣 百 餘 仞 中 
T51n2095_001:1025b11	雲氣映天。望之若山在霄露焉。其南嶺臨宮	雲 氣 映 天 望 之 若 山 在 霄 露 焉 其 南 嶺 臨 宮 
T51n2095_001:1025b12	亭湖下有神廟。即以宮亭為號。安侯世高所	亭 湖 下 有 神 廟 即 以 宮 亭 為 號 安 侯 世 高 所 
T51n2095_001:1025b13	感化事在敘。山北篇七嶺同會。於東共成峯	感 化 事 在 敘 山 北 篇 七 嶺 同 會 於 東 共 成 峯 
T51n2095_001:1025b14	崿。其崖窮絕。莫有昇之者。有野夫見人著沙	崿 其 崖 窮 絕 莫 有 昇 之 者 有 野 夫 見 人 著 沙 
T51n2095_001:1025b15	門服。凌虛直上。既至則回身踞鞍。良久乃與	門 服 凌 虛 直 上 既 至 則 回 身 踞 鞍 良 久 乃 與 
T51n2095_001:1025b16	雲氣俱滅。此似得道者。當時能文之士。咸為	雲 氣 俱 滅 此 似 得 道 者 當 時 能 文 之 士 咸 為 
T51n2095_001:1025b17	之異。又所止多奇觸象有異。北背重阜。前帶	之 異 又 所 止 多 奇 觸 象 有 異 北 背 重 阜 前 帶 
T51n2095_001:1025b18	雙流。所背之山左有龍形。而石塔基焉。下有	雙 流 所 背 之 山 左 有 龍 形 而 石 塔 基 焉 下 有 
T51n2095_001:1025b19	甘泉涌出。冷暖與寒暑相變。盈減經水旱而	甘 泉 涌 出 冷 暖 與 寒 暑 相 變 盈 減 經 水 旱 而 
T51n2095_001:1025b20	不異。尋其源。似出於龍首也。南對高岑上有	不 異 尋 其 源 似 出 於 龍 首 也 南 對 高 岑 上 有 
T51n2095_001:1025b21	奇木。獨絕於林表數十丈。其下似一層佛浮	奇 木 獨 絕 於 林 表 數 十 丈 其 下 似 一 層 佛 浮 
T51n2095_001:1025b22	圖。白鶴之所翔。玄雲之所入也。東南有香爐	圖 白 鶴 之 所 翔 玄 雲 之 所 入 也 東 南 有 香 爐 
T51n2095_001:1025b23	山。孤峯秀起。遊氣籠其上。則氣若香煙。白雲	山 孤 峯 秀 起 遊 氣 籠 其 上 則 氣 若 香 煙 白 雲 
T51n2095_001:1025b24	映其外。則昺然與眾山殊別。天將雨。其下水	映 其 外 則 昺 然 與 眾 山 殊 別 天 將 雨 其 下 水 
T51n2095_001:1025b25	氣涌起。如車馬蓋。此即龍井之所吐。其左有	氣 涌 起 如 車 馬 蓋 此 即 龍 井 之 所 吐 其 左 有 
T51n2095_001:1025b26	翠林。青雀白猿之所憩。玄鳥之所蟄。西有石	翠 林 青 雀 白 猿 之 所 憩 玄 鳥 之 所 蟄 西 有 石 
T51n2095_001:1025b27	門。其前似雙闕。壁立千餘仞。而瀑布流焉。其	門 其 前 似 雙 闕 壁 立 千 餘 仞 而 瀑 布 流 焉 其 
T51n2095_001:1025b28	中鳥獸草木之美。靈藥方物之奇。焉可得勝	中 鳥 獸 草 木 之 美 靈 藥 方 物 之 奇 焉 可 得 勝 
T51n2095_001:1025b29	名哉。略舉其異。耳劉昭注續漢志酈道元注	名 哉 略 舉 其 異 耳 劉 昭 注 續 漢 志 酈 道 元 注 
T51n2095_001:1025c01	水經。並用惠遠語。又豫章舊志云。俗字君平。	水 經 並 用 惠 遠 語 又 豫 章 舊 志 云 俗 字 君 平 
T51n2095_001:1025c02	夏禹之苗裔也。或曰字君孝。父東野王與吳	夏 禹 之 苗 裔 也 或 曰 字 君 孝 父 東 野 王 與 吳 
T51n2095_001:1025c03	芮佐漢定天下。而亡漢封俗於酈陽。曰越廬	芮 佐 漢 定 天 下 而 亡 漢 封 俗 於 酈 陽 曰 越 廬 
T51n2095_001:1025c04	君。俗兄弟七人。皆好道術。遂寓精於洞庭之	君 俗 兄 弟 七 人 皆 好 道 術 遂 寓 精 於 洞 庭 之 
T51n2095_001:1025c05	山。故謂之廬山。張僧鑒尋陽記云。山南有三	山 故 謂 之 廬 山 張 僧 鑒 尋 陽 記 云 山 南 有 三 
T51n2095_001:1025c06	宮。所謂天子都也。廬宮溪水出焉。上宮人所	宮 所 謂 天 子 都 也 廬 宮 溪 水 出 焉 上 宮 人 所 
T51n2095_001:1025c07	不至。有三石梁。長十餘丈。閣纔盈赤。其下無	不 至 有 三 石 梁 長 十 餘 丈 閣 纔 盈 赤 其 下 無 
T51n2095_001:1025c08	底。其中宮在別巖。悉是文石。兩邊有小圓峯。	底 其 中 宮 在 別 巖 悉 是 文 石 兩 邊 有 小 圓 峯 
T51n2095_001:1025c09	奇特號為右障峯。石形若羊馬來道。相對下	奇 特 號 為 右 障 峯 石 形 若 羊 馬 來 道 相 對 下 
T51n2095_001:1025c10	宮。彭蠡湖際宮亭廟舊所也。山高二千三百	宮 彭 蠡 湖 際 宮 亭 廟 舊 所 也 山 高 二 千 三 百 
T51n2095_001:1025c11	六十丈。周回二百五十里。其山九疊。川亦九	六 十 丈 周 回 二百五十 里 其 山 九 疊 川 亦 九 
T51n2095_001:1025c12	派。郡國志曰。廬山疊障九層。崇高萬仞。懷靈	派 郡 國 志 曰 廬 山 疊 障 九 層 崇 高 萬 仞 懷 靈 
T51n2095_001:1025c13	抱異。包諸仙跡。尋陽記又云。秦始皇十七年。	抱 異 包 諸 仙 跡 尋 陽 記 又 云 秦 始 皇 十 七 年 
T51n2095_001:1025c14	東登廬山。以望九江。至上霄峯。以與霄漢相	東 登 廬 山 以 望 九 江 至 上 霄 峯 以 與 霄 漢 相 
T51n2095_001:1025c15	接。因命之。峯後有刻石云。是夏禹所刻。丈赤	接 因 命 之 峯 後 有 刻 石 云 是 夏 禹 所 刻 丈 赤 
T51n2095_001:1025c16	里數。文字不可辦。伏滔遊山序曰。廬山者江	里 數 文 字 不 可 辦 伏 滔 遊 山 序 曰 廬 山 者 江 
T51n2095_001:1025c17	陽之多獄。其大形也。背岷流面彭蠡。蟠根所	陽 之 多 獄 其 大 形 也 背 岷 流 面 彭 蠡 蟠 根 所 
T51n2095_001:1025c18	据。亘數百里。重嶺桀嶂。仰插雲日。俯瞰川湖	据 亘 數 百 里 重 嶺 桀 嶂 仰 插 雲 日 俯 瞰 川 湖 
T51n2095_001:1025c19	之流焉。王彪之山賦敘曰。廬山彭澤之山也。	之 流 焉 王 彪 之 山 賦 敘 曰 廬 山 彭 澤 之 山 也 
T51n2095_001:1025c20	雖非五嶽之數。穹隆嵯峨。實峻極之名山也。	雖 非 五 嶽 之 數 穹 隆 嵯 峨 實 峻 極 之 名 山 也 
T51n2095_001:1025c21	孫放山賦曰。尋陽南有廬山。九江之鎮也。臨	孫 放 山 賦 曰 尋 陽 南 有 廬 山 九 江 之 鎮 也 臨 
T51n2095_001:1025c22	彭蠡之澤。接平敞之原。張野記曰。天將雨。則	彭 蠡 之 澤 接 平 敞 之 原 張 野 記 曰 天 將 雨 則 
T51n2095_001:1025c23	有白雲。或冠峯巖。或亘中嶺。俗謂之山帶。不	有 白 雲 或 冠 峯 巖 或 亘 中 嶺 俗 謂 之 山 帶 不 
T51n2095_001:1025c24	出三日必雨。每雨其下成潦。而上猶皎日。峯	出 三 日 必 雨 每 雨 其 下 成 潦 而 上 猶 皎 日 峯 
T51n2095_001:1025c25	頭有大盤石。可坐數百人。以上皆述此山也。	頭 有 大 盤 石 可 坐 數 百 人 以 上 皆 述 此 山 也 
T51n2095_001:1025c26	宋支曇諦賦云。昔哉壯麗峻極。氤氳包靈奇。	宋 支 曇 諦 賦 云 昔 哉 壯 麗 峻 極 氤 氳 包 靈 奇 
T51n2095_001:1025c27	以藏器蘊絕峯乎青雲。景澄則巖岫開鏡。風	以 藏 器 蘊 絕 峯 乎 青 雲 景 澄 則 巖 岫 開 鏡 風 
T51n2095_001:1025c28	生則芳林流芬。嶺奇故神明鱗萃。略絕故人	生 則 芳 林 流 芬 嶺 奇 故 神 明 鱗 萃 略 絕 故 人 
T51n2095_001:1025c29	跡自分。嚴清升山。於玄崖世高垂化於[邱丘+共]亭。	跡 自 分 嚴 清 升 山 於 玄 崖 世 高 垂 化 於 [邱丘共] 亭 
T51n2095_001:1026a01	應真凌雲以踞峯。眇忽翳景而入宜。咸豫聞	應 真 凌 雲 以 踞 峯 眇 忽 翳 景 而 入 宜 咸 豫 聞 
T51n2095_001:1026a02	其清塵妙無得之稱名也。若其南面巍崛。北	其 清 塵 妙 無 得 之 稱 名 也 若 其 南 面 巍 崛 北 
T51n2095_001:1026a03	背芳蔕懸霤分流以飛湍。七嶺重[山*票]而疊勢映	背 芳 蔕 懸 霤 分 流 以 飛 湍 七 嶺 重 [山票] 而 疊 勢 映 
T51n2095_001:1026a04	以竹柏。蔚以檉松。縈以三湖。帶以九江。嗟四	以 竹 柏 蔚 以 檉 松 縈 以 三 湖 帶 以 九 江 嗟 四 
T51n2095_001:1026a05	物之蘭森爽獨秀於玄冬。美二流之潺湲。津	物 之 蘭 森 爽 獨 秀 於 玄 冬 美 二 流 之 潺 湲 津 
T51n2095_001:1026a06	百川之所衝。峭門百尋。峻闕千仞。香鑪吐雲	百 川 之 所 衝 峭 門 百 尋 峻 闕 千 仞 香 鑪 吐 雲 
T51n2095_001:1026a07	以像煙。甘泉涌霤而先潤。梁元帝序曰。夫日	以 像 煙 甘 泉 涌 霤 而 先 潤 梁 元 帝 序 曰 夫 日 
T51n2095_001:1026a08	月麗天皇穹。所以貞觀。川嶽帶地后土。所以	月 麗 天 皇 穹 所 以 貞 觀 川 嶽 帶 地 后 土 所 以 
T51n2095_001:1026a09	推寧。廬山者亦南國之德鎮。雖林石異勢。而	推 寧 廬 山 者 亦 南 國 之 德 鎮 雖 林 石 異 勢 而 
T51n2095_001:1026a10	雲霞共色。長風夜作則萬流俱響。晨鼯曉吟	雲 霞 共 色 長 風 夜 作 則 萬 流 俱 響 晨 鼯 曉 吟 
T51n2095_001:1026a11	則百嶺齊應。東瞻洪井識曳帛之在茲。西望	則 百 嶺 齊 應 東 瞻 洪 井 識 曳 帛 之 在 茲 西 望 
T51n2095_001:1026a12	石梁見捐寶之可拾。誠復慕類易悲。山中難	石 梁 見 捐 寶 之 可 拾 誠 復 慕 類 易 悲 山 中 難 
T51n2095_001:1026a13	久。攀蘿結桂多見淹流。其餘古今賦詠不可	久 攀 蘿 結 桂 多 見 淹 流 其 餘 古 今 賦 詠 不 可 
T51n2095_001:1026a14	備載。實天下之名山也。江州在山北二十里。	備 載 實 天 下 之 名 山 也 江 州 在 山 北 二 十 里 
T51n2095_001:1026a15	本在丈江之北尋水之陽。因名尋陽。今蘄州	本 在 丈 江 之 北 尋 水 之 陽 因 名 尋 陽 今 蘄 州 
T51n2095_001:1026a16	之蘭城即其故北咸和九年。刺史溫嶠。始自	之 蘭 城 即 其 故 北 咸 和 九 年 刺 史 溫 嶠 始 自 
T51n2095_001:1026a17	江北移於湓城之南。義熙元年。刺史郭昶移	江 北 移 於 湓 城 之 南 義 熙 元 年 刺 史 郭 昶 移 
T51n2095_001:1026a18	居江夏。八年孟懷玉還治尋陽。太清二年蕭	居 江 夏 八 年 孟 懷 玉 還 治 尋 陽 太 清 二 年 蕭 
T51n2095_001:1026a19	大心因侯景之辭欲依險固。乃移於湓口城。	大 心 因 侯 景 之 辭 欲 依 險 固 乃 移 於 湓 口 城 
T51n2095_001:1026a20	仍號懷玉舊城為故州。張僧鑒尋陽記云。湓	仍 號 懷 玉 舊 城 為 故 州 張 僧 鑒 尋 陽 記 云 湓 
T51n2095_001:1026a21	口城灌嬰所築。漢建平中。孫權經北城。命鑿	口 城 灌 嬰 所 築 漢 建 平 中 孫 權 經 北 城 命 鑿 
T51n2095_001:1026a22	井。適中古梵得。石函銘曰。漢六年。頴陰侯	井 適 中 古 梵 得 石 函 銘 曰 漢 六 年 頴 陰 侯 
T51n2095_001:1026a23	開卜云。三百年當塞。後不百年當為應運者	開 卜 云 三 百 年 當 塞 後 不 百 年 當 為 應 運 者 
T51n2095_001:1026a24	所開。權欣然以為己瑞井。極深。湓江有風浪。	所 開 權 欣 然 以 為 己 瑞 井 極 深 湓 江 有 風 浪 
T51n2095_001:1026a25	井水輒動。邦人因號浪井。故李白下尋陽城	井 水 輒 動 邦 人 因 號 浪 井 故 李 白 下 尋 陽 城 
T51n2095_001:1026a26	泛彭蠡詩云。浪動灌嬰井。尋陽江上風。今井	泛 彭 蠡 詩 云 浪 動 灌 嬰 井 尋 陽 江 上 風 今 井 
T51n2095_001:1026a27	在衙城內之西圃。城上有北樓。下臨湓江。憑	在 衙 城 內 之 西 圃 城 上 有 北 樓 下 臨 湓 江 憑 
T51n2095_001:1026a28	高眺遠。為一郡之勝。陳散騎常侍張正見湓	高 眺 遠 為 一 郡 之 勝 陳 散 騎 常 侍 張 正 見 湓 
T51n2095_001:1026a29	城詩云。匡山暖遠壑。灌壘屬中流。城花飛照	城 詩 云 匡 山 暖 遠 壑 灌 壘 屬 中 流 城 花 飛 照 
T51n2095_001:1026b01	水。江月上明樓。案晉書庾亮傳云。亮在武昌。	水 江 月 上 明 樓 案 晉 書 庾 亮 傳 云 亮 在 武 昌 
T51n2095_001:1026b02	諸佐吏殷。浩之徒。乘秋夜共登南樓。俄不覺	諸 佐 吏 殷 浩 之 徒 乘 秋 夜 共 登 南 樓 俄 不 覺 
T51n2095_001:1026b03	亮至。人將避之。亮曰。諸君少住。老子於此	亮 至 人 將 避 之 亮 曰 諸 君 少 住 老 子 於 此 
T51n2095_001:1026b04	處。興復不淺。便據胡床與浩等談詠竟坐。則	處 興 復 不 淺 便 據 胡 床 與 浩 等 談 詠 竟 坐 則 
T51n2095_001:1026b05	事在武昌之南樓也。後人以亮甞為江州刺	事 在 武 昌 之 南 樓 也 後 人 以 亮 甞 為 江 州 刺 
T51n2095_001:1026b06	史。因名此曰庾樓。實非當時秋夜所登之遺	史 因 名 此 曰 庾 樓 實 非 當 時 秋 夜 所 登 之 遺 
T51n2095_001:1026b07	此也。是郡前世或號九江。或號尋陽。唐襄楊	此 也 是 郡 前 世 或 號 九 江 或 號 尋 陽 唐 襄 楊 
T51n2095_001:1026b08	氏李氏代有其也。升為奉化軍節度。皇朝開	氏 李 氏 代 有 其 也 升 為 奉 化 軍 節 度 皇 朝 開 
T51n2095_001:1026b09	寶四年。平江南降為軍州事。太平興國三年。	寶 四 年 平 江 南 降 為 軍 州 事 太 平 興 國 三 年 
T51n2095_001:1026b10	升星子鎮為縣仍隷焉。七年割星子與建昌	升 星 子 鎮 為 縣 仍 隷 焉 七 年 割 星 子 與 建 昌 
T51n2095_001:1026b11	都昌三縣置南康軍。於是山南屬南康。山北	都 昌 三 縣 置 南 康 軍 於 是 山 南 屬 南 康 山 北 
T51n2095_001:1026b12	屬江州矣。	屬 江 州 矣 
T51n2095_001:1026b13	敘山北第二	敘 山 北 第 二 
T51n2095_001:1026b14	由江州之南出德化門五里。至延壽院。舊名	由 江 州 之 南 出 德 化 門 五 里 至 延 壽 院 舊 名 
T51n2095_001:1026b15	羅漢壇。過延壽院五里。至石塘橋。有濂溪。周	羅 漢 壇 過 延 壽 院 五 里 至 石 塘 橋 有 濂 溪 周 
T51n2095_001:1026b16	郎中之隱居。周名惇頤。字茂叔。道州人。仕官	郎 中 之 隱 居 周 名 惇 頤 字 茂 叔 道 州 人 仕 官 
T51n2095_001:1026b17	有才略。早慕高名。樂廬山之勝。因家尋陽之	有 才 略 早 慕 高 名 樂 廬 山 之 勝 因 家 尋 陽 之 
T51n2095_001:1026b18	別墅。于附郭自名曰濂溪。過濂溪東入寶嚴	別 墅 于 附 郭 自 名 曰 濂 溪 過 濂 溪 東 入 寶 嚴 
T51n2095_001:1026b19	禪院十里。北至太一觀亦十里。寶嚴舊曰雙	禪 院 十 里 北 至 太 一 觀 亦 十 里 寶 嚴 舊 曰 雙 
T51n2095_001:1026b20	溪。景德三年。賜今名。院當官道。吳乾貞二	溪 景 德 三 年 賜 今 名 院 當 官 道 吳 乾 貞 二 
T51n2095_001:1026b21	年。僧常真始基焉。常真荊南人。姓田氏。人謂	年 僧 常 真 始 基 焉 常 真 荊 南 人 姓 田 氏 人 謂 
T51n2095_001:1026b22	之田道者。勤身耕斸。以待四方遊者。二林僧	之 田 道 者 勤 身 耕 斸 以 待 四 方 遊 者 二 林 僧 
T51n2095_001:1026b23	脩睦號楚湘。東西二林監寺譚論。大德官命	脩 睦 號 楚 湘 東 西 二 林 監 寺 譚 論 大 德 官 命 
T51n2095_001:1026b24	廢省庵舍。睦謂之曰。今撤子所宇則何歸乎。	廢 省 庵 舍 睦 謂 之 曰 今 撤 子 所 宇 則 何 歸 乎 
T51n2095_001:1026b25	田曰。本是林下人。却歸林下去。睦異其言。因	田 曰 本 是 林 下 人 却 歸 林 下 去 睦 異 其 言 因 
T51n2095_001:1026b26	則敬待。贈之詩曰。入門空寂寂。真箇出家兒。	則 敬 待 贈 之 詩 曰 入 門 空 寂 寂 真 箇 出 家 兒 
T51n2095_001:1026b27	有行鬼不識。無心人謂癡。古巖寒柏對。流水	有 行 鬼 不 識 無 心 人 謂 癡 古 巖 寒 柏 對 流 水 
T51n2095_001:1026b28	落花隨。欲別一何懶。相逢所恨遲。由是歷南	落 花 隨 欲 別 一 何 懶 相 逢 所 恨 遲 由 是 歷 南 
T51n2095_001:1026b29	唐。為山中之表宇。顯德六年。元宗賜田使給	唐 為 山 中 之 表 宇 顯 德 六 年 元 宗 賜 田 使 給 
T51n2095_001:1026c01	諸庵巖。無田者歲取其糧者二十六庵巖。南	諸 庵 巖 無 田 者 歲 取 其 糧 者 二 十 六 庵 巖 南 
T51n2095_001:1026c02	柢吳章嶺五里。由嶺下北行一里。道西有雲	柢 吳 章 嶺 五 里 由 嶺 下 北 行 一 里 道 西 有 雲 
T51n2095_001:1026c03	慶庵。舊名雲鏡。因流泉為池。多畜魴鯉。歲	慶 庵 舊 名 雲 鏡 因 流 泉 為 池 多 畜 魴 鯉 歲 
T51n2095_001:1026c04	已久游泳甚狃。由雲慶西一里。至寶積庵。松	已 久 游 泳 甚 狃 由 雲 慶 西 一 里 至 寶 積 庵 松 
T51n2095_001:1026c05	竹蒙密。白雲亭在其上。北望湓江。盤石可坐	竹 蒙 密 白 雲 亭 在 其 上 北 望 湓 江 盤 石 可 坐 
T51n2095_001:1026c06	數人。鳴泉過其下。此山北僧庵之最佳者。雲	數 人 鳴 泉 過 其 下 此 山 北 僧 庵 之 最 佳 者 雲 
