X31n0610_001:0516a03	妙法蓮華經擊節	妙法蓮華 經 擊 節 
X31n0610_001:0516c04	者隨語生解。畢竟不能悟入今日之事。以化緣將畢。	者 隨 語 生 解 畢 竟 不 能 悟 入 今 日 之 事 以 化 緣 將 畢 
X31n0610_001:0516c05	涅槃時至。勢不容己。故如來極盡神力。而大發揚之。	涅 槃 時 至 勢 不 容 己 故 如 來 極 盡 神 力 而 大 發 揚 之 
X31n0610_001:0516c06	直欲眾生明見自心。了悟實相。見本法身。各各現證。	直 欲 眾 生 明 見 自 心 了 悟 實 相 見 本 法 身 各 各 現 證 
X31n0610_001:0516c07	盡捨如言之執。究竟自覺聖智離言之處。故始於一	盡 捨 如 言 之 執 究 竟 自覺聖智 離 言 之 處 故 始 於 一 
X31n0610_001:0516c08	光東照。顯法界之真機。終於四法成就。證普賢之常	光 東 照 顯 法 界 之 真 機 終 於 四 法 成 就 證 普 賢 之 常 
X31n0610_001:0516c09	德。由是觀之。則全經二十八品。通為發揮開示悟入	德 由 是 觀 之 則 全 經 二 十 八 品 通 為 發 揮 開 示 悟 入 
X31n0610_001:0516c10	佛之知見四字而所敷演者。皆光中境界而已。此外	佛 之 知 見 四 字 而 所 敷 演 者 皆 光 中 境 界 而 已 此 外 
X31n0610_001:0516c11	何有剩法耶。所以然者。由眾生本是佛之知見。奈何	何 有 剩 法 耶 所 以 然 者 由 眾 生 本 是 佛 之 知 見 奈 何 
X31n0610_001:0516c12	本有而不知。觸目而不見。今欲返妄歸真。必須先悟	本 有 而 不 知 觸 目 而 不 見 今 欲 返 妄 歸 真 必 須 先 悟 
X31n0610_001:0516c13	本妙明心。故先示理境。然後依理起行。淨治塵沙無	本 妙 明 心 故 先 示 理 境 然 後 依 理 起 行 淨 治 塵 沙 無 
X31n0610_001:0516c14	明之惑。方能證入。然此真理。非智莫照。故先依文殊	明 之 惑 方 能 證 入 然 此 真 理 非 智 莫 照 故 先 依 文 殊 
X31n0610_001:0516c15	大智以創始。非行莫證。故後以普賢妙行以成終。故	大 智 以 創 始 非 行 莫 證 故 後 以 普 賢 妙 行 以 成 終 故 
X31n0610_001:0516c16	前二十二品。皆顯示一乘圓理。意將依此圓理而為	前 二 十 二 品 皆 顯 示 一 乘 圓 理 意 將 依 此 圓 理 而 為 
X31n0610_001:0516c17	真因。後六品。皆顯示一乘妙行。意將依圓理而起妙	真 因 後 六 品 皆 顯 示 一 乘 妙 行 意 將 依 圓 理 而 起 妙 
X31n0610_001:0516c18	行。依妙行而成妙德。智行冥合。理智一如。方證妙果。	行 依 妙 行 而 成 妙 德 智 行 冥 合 理 智 一 如 方 證 妙 果 
X31n0610_001:0516c19	故以普賢四行以收功。所謂無不從此法界流。無不	故 以 普 賢 四 行 以 收 功 所 謂 無 不 從 此 法 界 流 無 不 
X31n0610_001:0516c20	還歸此法界。故華嚴以信解行證為成佛之基。此經	還 歸 此 法 界 故 華 嚴 以 信 解 行 證 為 成 佛 之 基 此 經 
X31n0610_001:0516c21	以開示悟入為成佛之本。由方便言說開示而發信。	以 開 示 悟 入 為 成 佛 之 本 由 方 便 言 說 開 示 而 發 信 
X31n0610_001:0516c22	從信而發解。依解而起行。行成解絕。方能證入。二經	從 信 而 發 解 依 解 而 起 行 行 成 解 絕 方 能 證 入 二 經 
X31n0610_001:0516c23	始終一貫。意實相符。由是觀之。其顯理之文。皆信解	始 終 一 貫 意 實 相 符 由 是 觀 之 其 顯 理 之 文 皆 信 解 
X31n0610_001:0516c24	之旨也。	之 旨 也 
X31n0610_001:0517a01	然顯理有二十二品。其序品者。乃總示法界之真機。	然 顯 理 有 二 十 二 品 其 序 品 者 乃 總 示 法 界 之 真 機 
X31n0610_001:0517a02	令其開悟而證入者也。其從方便至法師。九品經文。	令 其 開 悟 而 證 入 者 也 其 從 方 便 至 法 師 九 品 經 文 
X31n0610_001:0517a03	雖曰三周說法。授三根記。其實別為大開一切眾生	雖 曰 三 周 說 法 授 三 根 記 其 實 別 為 大 開 一 切 眾 生 
X31n0610_001:0517a04	平等佛慧也。以此佛慧各各具足。無欠無餘。但能知	平 等 佛 慧 也 以 此 佛 慧 各 各 具 足 無 欠 無 餘 但 能 知 
X31n0610_001:0517a05	此。無不頓證。故曰凡有聞法者。無一不成佛。若有以	此 無 不 頓 證 故 曰 凡 有 聞 法 者 無 一 不 成 佛 若 有 以 
X31n0610_001:0517a06	此法而教人者。即為大法師。意顯此事雖則人人具	此 法 而 教 人 者 即 為 大 法 師 意 顯 此 事 雖 則 人 人 具 
X31n0610_001:0517a07	足。故如高原。凡有鑿者無不得水。此但正因佛性耳。	足 故 如 高 原 凡 有 鑿 者 無 不 得 水 此 但 正 因 佛 性 耳 
X31n0610_001:0517a08	是須必藉緣因方能顯了。而法師者即緣因也。但能	是 須 必 藉 緣 因 方 能 顯 了 而 法 師 者 即 緣 因 也 但 能 
X31n0610_001:0517a09	心契佛心。行契佛行。所謂入如來室。著如來衣。坐如	心 契 佛 心 行 契 佛 行 所 謂 入 如 來 室 著 如 來 衣 坐 如 
X31n0610_001:0517a10	來座。意顯能信解受持此等法者。即是法師也。故曰。	來 座 意 顯 能 信 解 受 持 此 等 法 者 即 是 法 師 也 故 曰 
X31n0610_001:0517a11	隨順是師學。得見恒沙佛。是則緣緣之中。慧命不斷。	隨 順 是 師 學 得 見 恒 沙 佛 是 則 緣 緣 之 中 慧 命 不 斷 
X31n0610_001:0517a12	則可終期實證。至若譬喻因緣種種之說者。皆欲顯	則 可 終 期 實 證 至 若 譬 喻 因 緣 種 種 之 說 者 皆 欲 顯 
X31n0610_001:0517a13	此常住佛性。第一義諦。一心之妙。皆光中之境。吾人	此 常 住 佛 性 第一義諦 一 心 之 妙 皆 光 中 之 境 吾 人 
X31n0610_001:0517a14	日用之事耳。故但有能信此法者。即入法位。所以乃	日 用 之 事 耳 故 但 有 能 信 此 法 者 即 入 法 位 所 以 乃 
X31n0610_001:0517a15	至持一偈一句一念隨喜者。我亦與授菩提之記。故	至 持 一 偈 一 句 一 念 隨 喜 者 我 亦 與 授 菩 提 之 記 故 
X31n0610_001:0517a16	皆一一授記成佛。唯是但因方便開曉令生信耳。非	皆 一 一 授 記 成 佛 唯 是 但 因 方 便 開 曉 令 生 信 耳 非 
X31n0610_001:0517a17	由解行而證入也。故唯授記而已。然雖授記。而又經	由 解 行 而 證 入 也 故 唯 授 記 而 已 然 雖 授 記 而 又 經 
X31n0610_001:0517a18	多劫者。葢顯理則頓悟乘悟併消。事非頓除因次第	多 劫 者 葢 顯 理 則 頓 悟 乘 悟 併 消 事 非 頓 除 因 次 第 
X31n0610_001:0517a19	盡。所謂頓悟漸修者也。以一念頓悟自心與佛無二。	盡 所 謂 頓 悟 漸 修 者 也 以 一 念 頓 悟 自 心 與 佛 無 二 
X31n0610_001:0517a20	即名見性成佛。尚有無始以來歷劫塵沙煩惱無明。	即 名 見 性 成 佛 尚 有 無 始 以 來 歷 劫 塵 沙 煩 惱 無 明 
X31n0610_001:0517a21	未能頓淨。故須經歷多劫。方能究竟。苟能當下一念。	未 能 頓 淨 故 須 經 歷 多 劫 方 能 究 竟 苟 能 當 下 一 念 
X31n0610_001:0517a22	頓斷無始無明。即名歷多劫矣。所謂觀彼久遠猶若	頓 斷 無 始 無 明 即 名 歷 多 劫 矣 所 謂 觀 彼 久 遠 猶 若 
X31n0610_001:0517a23	今日。以此法中一念不生。三際頓斷。古今一際。凡聖	今 日 以 此 法 中 一 念 不 生 三 際 頓 斷 古 今 一 際 凡 聖 
X31n0610_001:0517a24	齊平。故法師已前十品經文。總為大開眾生佛之知	齊 平 故 法 師 已 前 十 品 經 文 總 為 大 開 眾 生 佛 之 知 
X31n0610_001:0517b01	見也。	見 也 
X31n0610_001:0517b02	然但以言開曉。聞者唯信其言而已。未能明見自心	然 但 以 言 開 曉 聞 者 唯 信 其 言 而 已 未 能 明 見 自 心 
X31n0610_001:0517b03	之妙。即有所悟。乃應化之跡耳。非見法身境界也。所	之 妙 即 有 所 悟 乃 應 化 之 跡 耳 非 見 法 身 境 界 也 所 
X31n0610_001:0517b04	謂猶處門外。止宿草菴。終滯權跡。故須宣示法身實	謂 猶 處 門 外 止 宿 草 菴 終 滯 權 跡 故 須 宣 示 法 身 實 
X31n0610_001:0517b05	報真境。使令頓見自心之妙。方為實證。是則現寶塔	報 真 境 使 令 頓 見 自 心 之 妙 方 為 實 證 是 則 現 寶 塔 
X31n0610_001:0517b06	品。乃頓示自心。以顯法身之象也。所謂開方便門。示	品 乃 頓 示 自 心 以 顯 法 身 之 象 也 所 謂 開 方 便 門 示 
X31n0610_001:0517b07	真實相。欲令眾生知此見此實相真境耳。吾人苟破	真 實 相 欲 令 眾 生 知 此 見 此 實 相 真 境 耳 吾 人 苟 破 
X31n0610_001:0517b08	無明。頓開心地。即此五蘊身心。便見法身真佛。故見	無 明 頓 開 心 地 即 此 五 蘊 身 心 便 見 法 身 真 佛 故 見 
X31n0610_001:0517b09	七寶妙塔。湧現其前。高五百由旬。此真實相妙法。乃	七寶妙塔 湧 現 其 前 高 五 百 由 旬 此 真 實 相 妙 法 乃 
X31n0610_001:0517b10	法身所演。以說無所說。故於塔中出大音聲。以妙契	法 身 所 演 以 說 無 所 說 故 於 塔 中 出 大 音 聲 以 妙 契 
X31n0610_001:0517b11	法身。故多寶印證。宗本無住故塔處虗空。聞無所聞。	法 身 故 多 寶 印 證 宗 本 無 住 故 塔 處 虗 空 聞 無 所 聞 
X31n0610_001:0517b12	故怪未曾有。以此佛性常住不滅。故塔中有如來全	故 怪 未 曾 有 以 此 佛 性 常 住 不 滅 故 塔 中 有 如 來 全 
X31n0610_001:0517b13	身。以體即無生。故凡有說此經處即皆現證。以淨智	身 以 體 即 無 生 故 凡 有 說 此 經 處 即 皆 現 證 以 淨 智 
X31n0610_001:0517b14	妙圓。故白毫光照十方。以此智性人人本具。各各不	妙 圓 故 白 毫 光 照 十 方 以 此 智 性 人 人 本 具 各 各 不 
X31n0610_001:0517b15	無。故分身諸佛一一蒙光照燭。以心心寂滅。故徹照	無 故 分 身 諸 佛 一 一 蒙 光 照 燭 以 心 心 寂 滅 故 徹 照 
X31n0610_001:0517b16	十方世界。盡是寂滅道場。以法法皆真。故三變八百	十方世界 盡 是 寂 滅 道 場 以 法 法 皆 真 故 三 變 八 百 
X31n0610_001:0517b17	萬億多國。通為一佛淨土。到此則根境雙亡。善惡齊	萬 億 多 國 通 為 一 佛 淨 土 到 此 則 根 境 雙 亡 善 惡 齊 
X31n0610_001:0517b18	泯。故三途頓空。天人不見。恒沙性德。本自圓成。依正	泯 故 三 途 頓 空 天 人 不 見 恒 沙 性 德 本 自 圓 成 依 正 
X31n0610_001:0517b19	互融。自他無礙。故十方分身諸佛。齊集其中。然雖如	互 融 自 他 無 礙 故 十 方 分 身 諸 佛 齊 集 其 中 然 雖 如 
X31n0610_001:0517b20	是。猶在半途。以生滅之見未忘。取捨之心未泯。此所	是 猶 在 半 途 以 生 滅 之 見 未 忘 取 捨 之 心 未 泯 此 所 
X31n0610_001:0517b21	以願見多寶而未及見也。此正古德所謂直饒做到	以 願 見 多 寶 而 未 及 見 也 此 正 古 德 所 謂 直 饒 做 到 
X31n0610_001:0517b22	如寒潭皎月。靜夜鍾聲。隨扣擊以無虧。逐波瀾而不	如 寒 潭 皎 月 靜 夜 鍾 聲 隨 扣 擊 以 無 虧 逐 波 瀾 而 不 
X31n0610_001:0517b23	散。猶是生死岸頭事。何以故。由生死幽關未能迸裂。	散 猶 是 生 死 岸 頭 事 何 以 故 由 生 死 幽 關 未 能 迸 裂 
X31n0610_001:0517b24	是須以無依智。隨順覺性而開發之。此所以釋迦住	是 須 以 無 依 智 隨 順 覺 性 而 開 發 之 此 所 以 釋 迦 住 
X31n0610_001:0517c01	虗空中以右手指開七寶塔戶也。直使無始無明一	虗 空 中 以 右 手 指 開 七 寶 塔 戶 也 直 使 無 始 無 明 一 
X31n0610_001:0517c02	念頓破。[囗@力]地一聲。虗空粉粹。故如却關鑰開大城門。	念 頓 破 [囗力] 地 一 聲 虗 空 粉 粹 故 如 却 關 鑰 開 大 城 門 
X31n0610_001:0517c03	如此。則本有法身。一念頓現。故多寶如來。全身不散。	如 此 則 本 有 法 身 一 念 頓 現 故 多 寶 如 來 全 身 不 散 
X31n0610_001:0517c04	如入禪定。以感應道交。故為聽是經而來至此。以生	如 入 禪 定 以 感 應 道 交 故 為 聽 是 經 而 來 至 此 以 生 
X31n0610_001:0517c05	滅情亡。真應不二。故釋迦多寶。共同一座。惟此因緣。	滅 情 亡 真 應 不 二 故 釋 迦 多 寶 共 同 一 座 惟 此 因 緣 
X31n0610_001:0517c06	人人本具。各各不無。故大眾願見多寶。第以生本無	人 人 本 具 各 各 不 無 故 大 眾 願 見 多 寶 第 以 生 本 無 
X31n0610_001:0517c07	生。非情識可到。故佛座高遠。以住本無住。故接大眾	生 非 情 識 可 到 故 佛 座 高 遠 以 住 本 無 住 故 接 大 眾 
X31n0610_001:0517c08	皆在虗空。此乃眾生之性德。故直示如此。令其共知	皆 在 虗 空 此 乃 眾 生 之 性 德 故 直 示 如 此 令 其 共 知 
X31n0610_001:0517c09	共見。現證不疑。斯則諸佛之本懷已露。利生之能事	共 見 現 證 不 疑 斯 則 諸 佛 之 本 懷 已 露 利 生 之 能 事 
X31n0610_001:0517c10	已畢。然雖如是。廼空華佛事。水月道場。豈實法耶。故	已 畢 然 雖 如 是 廼 空 華 佛 事 水 月 道 場 豈 實 法 耶 故 
X31n0610_001:0517c11	即便唱言如來不久當入涅槃。欲令此法常住。終古	即 便 唱 言 如 來 不 久 當 入 涅 槃 欲 令 此 法 常 住 終 古 
X31n0610_001:0517c12	同遵。意在得人。期慧命無窮。永永無盡。故曰。佛欲以	同 遵 意 在 得 人 期 慧 命 無 窮 永 永 無 盡 故 曰 佛 欲 以 
X31n0610_001:0517c13	此妙法。付囑有在。由是觀之。則現寶塔一品。正乃直	此 妙 法 付 囑 有 在 由 是 觀 之 則 現 寶 塔 一 品 正 乃 直 
X31n0610_001:0517c14	示一切眾生日用現前佛之知見也。	示 一 切 眾 生 日 用 現 前 佛 之 知 見 也 
X31n0610_001:0517c15	然此甚深妙法。乃諸佛自證境界無上第一秘密之	然 此 甚 深 妙 法 乃 諸 佛 自 證 境 界 無 上 第 一 秘 密 之 
X31n0610_001:0517c16	藏。所謂諸佛智慧甚深無量。其智慧門難解難入者	藏 所 謂 諸 佛 智 慧 甚 深 無 量 其 智 慧 門 難解難入 者 
X31n0610_001:0517c17	此也。故偈文廣讚此經。最為第一。若有持者。即得佛	此 也 故 偈 文 廣 讚 此 經 最 為 第 一 若 有 持 者 即 得 佛 
X31n0610_001:0517c18	道。方是真佛弟子。且曰能解其義者。則為人天眼目。	道 方 是 真 佛 弟 子 且 曰 能 解 其 義 者 則 為 人 天 眼 目 
X31n0610_001:0517c19	況實證乎。斯則由信發解。因開示而了悟此心。故此	況 實 證 乎 斯 則 由 信 發 解 因 開 示 而 了 悟 此 心 故 此 
X31n0610_001:0517c20	已下。從提婆達多。至如來壽量。五品經文。皆發悟自	已 下 從 提 婆 達 多 至 如 來 壽 量 五 品 經 文 皆 發 悟 自 
X31n0610_001:0517c21	心之象也。然其此法已蒙開示。人人本具。各各不無。	心 之 象 也 然 其 此 法 已 蒙 開 示 人 人 本 具 各 各 不 無 
X31n0610_001:0517c22	奈何迷之已久。煩惱根深。我法纏眠。頓難悟入。是必	奈 何 迷 之 已 久 煩 惱 根 深 我 法 纏 眠 頓 難 悟 入 是 必 
X31n0610_001:0517c23	借因緣而悟。苦求而得。是則提婆達多品。乃顯悟無	借 因 緣 而 悟 苦 求 而 得 是 則 提 婆 達 多 品 乃 顯 悟 無 
X31n0610_001:0517c24	易難。亦無愚智。至若如來大智。尚從多劫勤苦中來。	易 難 亦 無 愚 智 至 若 如 來 大 智 尚 從 多 劫 勤 苦 中 來 
X31n0610_001:0518a01	此悟之難也。若龍女八歲。當下頓證。又何易易。意顯	此 悟 之 難 也 若 龍 女 八 歲 當 下 頓 證 又 何 易 易 意 顯 
X31n0610_001:0518a02	有求者徒勞多劫。亡心者悟在剎那。只於生死海中	有 求 者 徒 勞 多 劫 亡 心 者 悟 在 剎 那 只 於 生 死 海 中 
X31n0610_001:0518a03	一念轉變之力耳。唯在法愛情忘。分別念息。自然了	一 念 轉 變 之 力 耳 唯 在 法 愛 情 忘 分 別 念 息 自 然 了 
X31n0610_001:0518a04	悟。便登不退。故龍女獻珠之頃。即往南方無垢世界。	悟 便 登 不 退 故 龍 女 獻 珠 之 頃 即 往 南 方 無 垢 世 界 
X31n0610_001:0518a05	坐寶蓮華。成等正覺也。若夫憎愛之念未忘。取捨之	坐 寶 蓮 華 成等正覺 也 若 夫 憎 愛 之 念 未 忘 取 捨 之 
X31n0610_001:0518a06	心未泯。斯皆法執未盡。我見未消。是故不能悟淨圓	心 未 泯 斯 皆 法 執 未 盡 我 見 未 消 是 故 不 能 悟 淨 圓 
X31n0610_001:0518a07	覺。此其鶖子智慧。難免懷疑。故說持品。以顯上乘不	覺 此 其 鶖 子 智 慧 難 免 懷 疑 故 說 持 品 以 顯 上 乘 不 
X31n0610_001:0518a08	堪受持此法。難於涉俗利生。意須上根利智。廣大悲	堪 受 持 此 法 難 於 涉 俗 利 生 意 須 上 根 利 智 廣 大 悲 
X31n0610_001:0518a09	心。難行能行。難忍能忍。妙契無生。不言而喻者。方堪	心 難行能行 難 忍 能 忍 妙 契 無 生 不 言 而 喻 者 方 堪 
X31n0610_001:0518a10	涉俗。故如來默視八十萬億那由佗菩薩。此正激發	涉 俗 故 如 來 默 視 八 十 萬 億 那 由 佗 菩 薩 此 正 激 發 
X31n0610_001:0518a11	小機。昭廓大見耳。而此菩薩頓契佛心。便師子吼。而	小 機 昭 廓 大 見 耳 而 此 菩 薩 頓 契 佛 心 便 師 子 吼 而 
X31n0610_001:0518a12	願往返十方世界。如法修行。種種苦行。皆當能忍。且	願 往 返 十方世界 如 法 修 行 種 種 苦 行 皆 當 能 忍 且 
X31n0610_001:0518a13	曰。佛自知我心。所謂師資雅合。水乳相投。是則已得	曰 佛 自 知 我 心 所 謂 師 資 雅 合 水 乳 相 投 是 則 已 得 
X31n0610_001:0518a14	其人矣。雖有堪荷之人。若求而不得其方。亦不能悟。	其 人 矣 雖 有 堪 荷 之 人 若 求 而 不 得 其 方 亦 不 能 悟 
X31n0610_001:0518a15	以煩惱根深。最難調伏。故說四安樂行。以示悟之之	以 煩 惱 根 深 最 難 調 伏 故 說 四安樂行 以 示 悟 之 之 
X31n0610_001:0518a16	方。意令悟此法者。先以三業清淨性戒為尊。必須心	方 意 令 悟 此 法 者 先 以 三 業 清 淨 性 戒 為 尊 必 須 心 
X31n0610_001:0518a17	契佛心。以大悲為首。故要入如來室。行合佛行。以忍	契 佛 心 以 大 悲 為 首 故 要 入 如 來 室 行 合 佛 行 以 忍 
X31n0610_001:0518a18	辱為先。故要著如來衣。然佛智如空無所依。是必住	辱 為 先 故 要 著 如 來 衣 然 佛 智 如 空 無 所 依 是 必 住 
X31n0610_001:0518a19	依佛住。安住法空。故欲坐如來座。方能頓悟此法。故	依 佛 住 安 住 法 空 故 欲 坐 如 來 座 方 能 頓 悟 此 法 故 
X31n0610_001:0518a20	涉俗無難。煩惱方能易破。故如戰勝有功。而得髻珠	涉 俗 無 難 煩 惱 方 能 易 破 故 如 戰 勝 有 功 而 得 髻 珠 
X31n0610_001:0518a21	之賞也。是須自信自心。自參自悟。方堪紹佛家風。故	之 賞 也 是 須 自 信 自 心 自 參 自 悟 方 堪 紹 佛 家 風 故 
