X25n0475_001:0071a03	 金剛鎞序	 金 剛 鎞 序 
X25n0475_001:0071c08	瓦解。是名金剛般若。而曰金剛般若波羅蜜者。即	瓦 解 是 名 金 剛 般 若 而 曰 金 剛 般 若 波 羅 蜜 者 即 
X25n0475_001:0071c09	此般若。壞迷悟聖凡之此岸。到非迷非悟廓然無	此 般 若 壞 迷 悟 聖 凡 之 此 岸 到 非 迷 非 悟 廓 然 無 
X25n0475_001:0071c10	聖之彼岸。壞空有中道之此岸。到非空非有中亦	聖 之 彼 岸 壞 空 有 中 道 之 此 岸 到 非 空 非 有 中 亦 
X25n0475_001:0071c11	不安之彼岸。壞生死涅槃之此岸。到生死涅槃如	不 安 之 彼 岸 壞 生死涅槃 之 此 岸 到 生死涅槃 如 
X25n0475_001:0071c12	夢．眾生本來成佛．諸法如義之彼岸。如經謂般若	夢 眾 生 本 來 成 佛 諸 法 如 義 之 彼 岸 如 經 謂 般 若 
X25n0475_001:0071c13	波羅蜜。遠有所離。遠有所到是也。然即此即彼。非	波 羅 蜜 遠 有 所 離 遠 有 所 到 是 也 然 即 此 即 彼 非 
X25n0475_001:0071c14	離此有彼。即離即到。非離後有到也。其說到者。從	離 此 有 彼 即 離 即 到 非 離 後 有 到 也 其 說 到 者 從 
X25n0475_001:0071c15	畢竟空中。建立一切言說。正說之時。非有說。非無	畢 竟 空 中 建 立 一 切 言 說 正 說 之 時 非 有 說 非 無 
X25n0475_001:0071c16	說。非可說。非不可說。無有定法可說。如尊者不見	說 非 可 說 非 不 可 說 無 有 定 法 可 說 如 尊 者 不 見 
X25n0475_001:0071c17	一法。名為轉教。如來不說一法。名為轉輪是也。其	一 法 名 為 轉 教 如 來 不 說 一 法 名 為 轉 輪 是 也 其 
X25n0475_001:0071c18	用到者。於絕思議內。得心應手。左右逢源。提得便	用 到 者 於 絕 思 議 內 得 心 應 手 左 右 逢 源 提 得 便 
X25n0475_001:0071c19	行。不存軌則。如德山用捧。臨濟行拳。道吾舞笏。石	行 不 存 軌 則 如 德 山 用 捧 臨 濟 行 拳 道 吾 舞 笏 石 
X25n0475_001:0071c20	鞏張弓是也。說不到。不可以為教。用不到。不可以	鞏 張 弓 是 也 說 不 到 不 可 以 為 教 用 不 到 不 可 以 
X25n0475_001:0071c21	為宗。說用雖殊。總之一柄金剛王寶劍。如永嘉云。	為 宗 說 用 雖 殊 總 之 一 柄 金 剛 王 寶 劍 如 永 嘉 云 
X25n0475_001:0071c22	大丈夫。秉慧劍。般若鋒兮金剛燄。非但空摧外道	大 丈 夫 秉 慧 劍 般 若 鋒 兮 金 剛 燄 非 但 空 摧 外 道 
X25n0475_001:0071c23	心。早曾落却天魔膽。故名金剛般若波羅蜜。良以	心 早 曾 落 却 天 魔 膽 故 名 金 剛 般 若 波 羅 蜜 良 以 
X25n0475_001:0071c24	即今方寸心中。金剛正眼。人人本具。各各不無。從	即 今 方 寸 心 中 金 剛 正 眼 人 人 本 具 各 各 不 無 從 
X25n0475_001:0072a01	本已來。離言說相。離名字相。離心緣相。非能離。非	本 已 來 離 言 說 相 離 名 字 相 離 心 緣 相 非 能 離 非 
X25n0475_001:0072a02	所離。性本離故。性既本離。離亦不立。離既不立。一	所 離 性 本 離 故 性 既 本 離 離 亦 不 立 離 既 不 立 一 
X25n0475_001:0072a03	切渾融。一切既融。則無一法可遣可立。亦無一法	切 渾 融 一 切 既 融 則 無 一 法 可 遣 可 立 亦 無 一 法 
X25n0475_001:0072a04	可住可得矣。孰此孰彼。孰離孰到。孰可壞孰不可	可 住 可 得 矣 孰 此 孰 彼 孰 離 孰 到 孰 可 壞 孰 不 可 
X25n0475_001:0072a05	壞。繁興大用。舉必全真。百草頭邊。光明爍爍。奈何	壞 繁 興 大 用 舉 必 全 真 百 草 頭 邊 光 明 爍 爍 奈 何 
X25n0475_001:0072a06	本起無明。為己主宰。凡所施為。動成窼臼。甘心苦	本 起 無 明 為 己 主 宰 凡 所 施 為 動 成 窼 臼 甘 心 苦 
X25n0475_001:0072a07	趣。與溺志偏乘者。置之無論。即備修萬行。廣度羣	趣 與 溺 志 偏 乘 者 置 之 無 論 即 備 修 萬 行 廣 度 羣 
X25n0475_001:0072a08	迷。期以疾證菩提。而有生可度。有行可修。有法可	迷 期 以 疾 證 菩 提 而 有 生 可 度 有 行 可 修 有 法 可 
X25n0475_001:0072a09	得。其於無住無得之本真。蓋不啻千里萬里矣。是	得 其 於 無 住 無 得 之 本 真 蓋 不 啻 千 里 萬 里 矣 是 
X25n0475_001:0072a10	以此經徹底掀翻。和盤托轉。一味鞭撻妄情。直下	以 此 經 徹 底 掀 翻 和 盤 托 轉 一 味 鞭 撻 妄 情 直 下 
X25n0475_001:0072a11	如迅雷杲日。古鏡太阿。無夢不驚。無幽不燭。無微	如 迅 雷 杲 日 古 鏡 太 阿 無 夢 不 驚 無 幽 不 燭 無 微 
X25n0475_001:0072a12	不照。無物不摧。直使法法皆無所得。頭頭始是家	不 照 無 物 不 摧 直 使 法 法 皆 無 所 得 頭 頭 始 是 家 
X25n0475_001:0072a13	珍。而本來清淨之體顯矣。至此。則何期自性。本自	珍 而 本 來 清 淨 之 體 顯 矣 至 此 則 何 期 自 性 本 自 
X25n0475_001:0072a14	清淨。何期自性。本自具足。彼此離到者。可得而名	清 淨 何 期 自 性 本 自 具 足 彼 此 離 到 者 可 得 而 名 
X25n0475_001:0072a15	言之哉。展鷲峯無作之機。啟少室不傳之妙。不歸	言 之 哉 展 鷲 峯 無 作 之 機 啟 少 室 不 傳 之 妙 不 歸 
X25n0475_001:0072a16	此經。將誰歸乎。黃梅般若。良有以也。經者。常義．法	此 經 將 誰 歸 乎 黃 梅 般 若 良 有 以 也 經 者 常 義 法 
X25n0475_001:0072a17	義。日可令冷。月可令熱。眾魔無能壞此真說。是之	義 日 可 令 冷 月 可 令 熱 眾 魔 無 能 壞 此 真 說 是 之 
X25n0475_001:0072a18	謂常。佛從此生。法從此出。萬德楷模。眾生軌則。是	謂 常 佛 從 此 生 法 從 此 出 萬 德 楷 模 眾 生 軌 則 是 
X25n0475_001:0072a19	之謂法。願以此常法之古教為明鏡。照見自心。即	之 謂 法 願 以 此 常 法 之 古 教 為 明 鏡 照 見 自 心 即 
X25n0475_001:0072a20	以此自心為智燈。燭經幽旨。庶幾乎昔日之在黃	以 此 自 心 為 智 燈 燭 經 幽 旨 庶 幾 乎 昔 日 之 在 黃 
X25n0475_001:0072a21	梅鷲嶺者。儼然今日於目前矣。有志於般若者。宜	梅 鷲 嶺 者 儼 然 今 日 於 目 前 矣 有 志 於 般 若 者 宜 
X25n0475_001:0072a22	盡心焉。△二譯人。	盡 心 焉 二 譯 人 
X25n0475_001:0072a23	姚秦三藏法師鳩摩羅什譯	姚 秦 三藏法師 鳩 摩 羅 什 譯 
X25n0475_001:0072a24	姚秦。代名。即後主姚興。必曰姚者。揀非周之嬴秦。	姚 秦 代 名 即 後 主 姚 興 必 曰 姚 者 揀 非 周 之 嬴 秦 
X25n0475_001:0072b01	南北朝之符秦也。三藏法師者。以通三藏之德。模	南 北 朝 之 符 秦 也 三藏法師 者 以 通 三 藏 之 德 模 
X25n0475_001:0072b02	範眾生也。鳩摩羅什者。具云鳩摩羅耆婆什。上五	範 眾 生 也 鳩 摩 羅 什 者 具 云 鳩 摩 羅 耆 婆 什 上 五 
X25n0475_001:0072b03	字。此云童壽。什者。深善此方文字之什。華梵合舉。	字 此 云 童 壽 什 者 深 善 此 方 文 字 之 什 華 梵 合 舉 
X25n0475_001:0072b04	稱羅什也。譯者。易梵成華也。周禮掌四方之語。各	稱 羅 什 也 譯 者 易 梵 成 華 也 周 禮 掌 四 方 之 語 各 
X25n0475_001:0072b05	有其官。北方曰譯。今經自西來而云譯者。以北方	有 其 官 北 方 曰 譯 今 經 自 西 來 而 云 譯 者 以 北 方 
X25n0475_001:0072b06	之官。兼善西語。摩騰始至。遂稱為譯。今仍之也。按	之 官 兼 善 西 語 摩 騰 始 至 遂 稱 為 譯 今 仍 之 也 按 
X25n0475_001:0072b07	師七歲。隨母入寺。見鐵鉢試取加頂。俄念此鉢甚	師 七 歲 隨 母 入 寺 見 鐵 鉢 試 取 加 頂 俄 念 此 鉢 甚 
X25n0475_001:0072b08	重。我何能舉。即不勝重。遂悟萬法唯心。博學強記。	重 我 何 能 舉 即 不 勝 重 遂 悟 萬 法 唯 心 博 學 強 記 
X25n0475_001:0072b09	人莫能及。以童年高德。故云童壽。後興主請師入	人 莫 能 及 以 童 年 高 德 故 云 童 壽 後 興 主 請 師 入 
X25n0475_001:0072b10	關。奉為國師。師閱舊經。義多紕僻。不與梵本相應。	關 奉 為 國 師 師 閱 舊 經 義 多 紕 僻 不 與 梵 本 相 應 
X25n0475_001:0072b11	乃集沙門八百餘人。新譯經論三百九十餘卷。並	乃 集 沙 門 八 百 餘 人 新 譯 經 論 三 百 九 十 餘 卷 並 
X25n0475_001:0072b12	暢神源。發揮幽旨。師未終少日。集眾謂曰。願所宣	暢 神 源 發 揮 幽 旨 師 未 終 少 日 集 眾 謂 曰 願 所 宣 
X25n0475_001:0072b13	譯。傳之後世。咸共流通。今於眾前。發誠實誓。若所	譯 傳 之 後 世 咸 共 流 通 今 於 眾 前 發 誠 實 誓 若 所 
X25n0475_001:0072b14	傳無謬。當使焚身之後。舌不焦爛。以弘始十一年	傳 無 謬 當 使 焚 身 之 後 舌 不 焦 爛 以 弘 始 十 一 年 
X25n0475_001:0072b15	八月二十一日。卒於長安。闍維。薪盡形滅。舌根儼	八 月 二 十 一 日 卒 於 長 安 闍 維 薪 盡 形 滅 舌 根 儼 
X25n0475_001:0072b16	然。今經譯於此師。當與如來真語實語。等無有異。	然 今 經 譯 於 此 師 當 與 如 來 真 語 實 語 等無有異 
X25n0475_001:0072b17	可弗信歟。	可 弗 信 歟 
X25n0475_001:0072b18	△三本文三。初序分。二正宗分。三流通分。初序分	 三 本 文 三 初 序 分 二 正 宗 分 三 流 通 分 初 序 分 
X25n0475_001:0072b19	二。初證信。二發起。初證信。	二 初 證 信 二 發 起 初 證 信 
X25n0475_001:0072b20	如是我聞。一時佛在舍衛國。祗樹給孤獨園。與大比	如是我聞 一 時 佛 在 舍 衛 國 祗 樹 給 孤 獨 園 與 大 比 
X25n0475_001:0072b21	丘眾千二百五十人俱。	丘 眾 千二百五十 人 俱 
X25n0475_001:0072b22	證信者。言如是之法。我從佛聞。彼一時釋迦在舍	證 信 者 言 如 是 之 法 我 從 佛 聞 彼 一 時 釋 迦 在 舍 
X25n0475_001:0072b23	衛國之祗園。與諸大眾同居而共聽者也。信聞時	衛 國 之 祗 園 與 諸 大 眾 同 居 而 共 聽 者 也 信 聞 時 
X25n0475_001:0072b24	主。歷然可徵。處及聞人。皎然足證。俾遐方異世。諦	主 歷 然 可 徵 處 及 聞 人 皎 然 足 證 俾 遐 方 異 世 諦 
X25n0475_001:0072c01	信無疑。故名證信。然亦名通序。以諸經通有故。若	信 無 疑 故 名 證 信 然 亦 名 通 序 以 諸 經 通 有 故 若 
X25n0475_001:0072c02	離釋之。則如是者。指法之辭。雖前此無法。而逆指	離 釋 之 則 如 是 者 指 法 之 辭 雖 前 此 無 法 而 逆 指 
X25n0475_001:0072c03	下文所說正宗之法也。我聞者。我自親聞。非轉聞	下 文 所 說 正 宗 之 法 也 我 聞 者 我 自 親 聞 非 轉 聞 
X25n0475_001:0072c04	於人。我自親聞。非讀古而聞。一時者。師資會合。說	於 人 我 自 親 聞 非 讀 古 而 聞 一 時 者 師 資 會 合 說 
X25n0475_001:0072c05	聽之一時也。不名某年日月者。以十方時分不一。	聽 之 一 時 也 不 名 某 年 日 月 者 以 十 方 時 分 不 一 
X25n0475_001:0072c06	兩土正朔不同故。又或聽者時長。說者時短。抑或	兩 土 正 朔 不 同 故 又 或 聽 者 時 長 說 者 時 短 抑 或 
X25n0475_001:0072c07	聽者時短。說者時長。故但言一時也。佛者。覺義。覺	聽 者 時 短 說 者 時 長 故 但 言 一 時 也 佛 者 覺 義 覺 
X25n0475_001:0072c08	自本性。覺人本性。覺自與人。皆盡其性故。舍衛。此	自 本 性 覺 人 本 性 覺 自 與 人 皆 盡 其 性 故 舍 衛 此 
X25n0475_001:0072c09	云聞物。以國豐四德。譽動五天。曰聞物也。祗樹給	云 聞 物 以 國 豐 四 德 譽 動 五 天 曰 聞 物 也 祗 樹 給 
X25n0475_001:0072c10	孤獨園者。梵語祗陀。此云戰勝。以交戰勝時而生。	孤 獨 園 者 梵 語 祗 陀 此 云 戰 勝 以 交 戰 勝 時 而 生 
X25n0475_001:0072c11	喜以為名也。今單言祗者。取文省故。給孤表德。即	喜 以 為 名 也 今 單 言 祗 者 取 文 省 故 給 孤 表 德 即 
X25n0475_001:0072c12	須達多。蓋祗陀施樹。給孤買園。兼二為名。故云祗	須 達 多 蓋 祗 陀 施 樹 給 孤 買 園 兼 二 為 名 故 云 祗 
X25n0475_001:0072c13	樹給孤獨園也。梵語比丘。此云乞士。乞食資身。乞	樹 給 孤 獨 園 也 梵 語 比 丘 此 云 乞 士 乞 食 資 身 乞 
X25n0475_001:0072c14	法資心故。亦云怖魔。離欲學道。與魔相反故。亦云	法 資 心 故 亦 云 怖 魔 離 欲 學 道 與 魔 相 反 故 亦 云 
X25n0475_001:0072c15	破惡。破煩惱惡。斷除結使故。而云大者。天王大人	破 惡 破 煩 惱 惡 斷 除 結 使 故 而 云 大 者 天 王 大 人 
X25n0475_001:0072c16	所共敬仰。非小德故。內外教典。無不博通。非寡解	所 共 敬 仰 非 小 德 故 內 外 教 典 無 不 博 通 非 寡 解 
X25n0475_001:0072c17	故。超出九十六種外道之上。非劣器故。總名大也。	故 超 出 九 十 六 種 外 道 之 上 非 劣 器 故 總 名 大 也 
X25n0475_001:0072c18	千二百五十人者。一優樓頻螺。於火龍窟有五百	千二百五十 人 者 一 優 樓 頻 螺 於 火 龍 窟 有 五 百 
X25n0475_001:0072c19	弟子。二迦耶。於象頭山有三百弟子。三那提。於希	弟 子 二 迦 耶 於 象 頭 山 有 三 百 弟 子 三 那 提 於 希 
X25n0475_001:0072c20	連河有二百弟子。後皆皈佛。故有千眾。目連舍利。	連 河 有 二 百 弟 子 後 皆 皈 佛 故 有 千 眾 目 連 舍 利 
X25n0475_001:0072c21	共有二百五十。亦來皈佛。成千二百五十也。問。佛	共 有 二百五十 亦 來 皈 佛 成 千二百五十 也 問 佛 
X25n0475_001:0072c22	度比丘甚多無量。何獨舉此。以此千二百五十者。	度 比 丘 甚 多 無 量 何 獨 舉 此 以 此 千二百五十 者 
X25n0475_001:0072c23	最先皈佛。又常不離佛。直至佛滅。其他散在四方。	最 先 皈 佛 又 常 不 離 佛 直 至 佛 滅 其 他 散 在 四 方 
X25n0475_001:0072c24	雖千里面談。而據迹成文。法自應爾。如仲尼之徒。	雖 千 里 面 談 而 據 迹 成 文 法 自 應 爾 如 仲 尼 之 徒 
X25n0475_001:0073a01	蓋三千焉。而獨舉七十子者。亦以久在泗濵。相依	蓋 三 千 焉 而 獨 舉 七 十 子 者 亦 以 久 在 泗 濵 相 依 
X25n0475_001:0073a02	陳蔡。亦常隨故。△二發起。	陳 蔡 亦 常 隨 故 二 發 起 
X25n0475_001:0073a03	爾時。世尊食時。著衣持鉢。入舍衛大城乞食。於其城	爾 時 世 尊 食 時 著衣持鉢 入 舍 衛 大 城 乞 食 於 其 城 
X25n0475_001:0073a04	中。次第乞已。還至本處。飯食訖。收衣鉢。洗足已。敷座	中 次 第 乞 已 還 至 本 處 飯 食 訖 收 衣 鉢 洗 足 已 敷 座 
X25n0475_001:0073a05	而坐。	而 坐 
X25n0475_001:0073a06	發起者。聖言殊非率爾。教起必藉由興。如法華放	發 起 者 聖 言 殊 非 率 爾 教 起 必 藉 由 興 如 法 華 放 
X25n0475_001:0073a07	光。啟一乘之教。維摩示疾。開不二之談。故名發起。	光 啟 一 乘 之 教 維 摩 示 疾 開 不 二 之 談 故 名 發 起 
X25n0475_001:0073a08	亦名別序。以諸經發起。有無各別。有仍別也。今以	亦 名 別 序 以 諸 經 發 起 有 無 各 別 有 仍 別 也 今 以 
X25n0475_001:0073a09	乞食為發起者。蓋顯色身偽跡。假飲食以生育。法	乞 食 為 發 起 者 蓋 顯 色 身 偽 跡 假 飲 食 以 生 育 法 
X25n0475_001:0073a10	身真理。由智慧以照成。羣生迷真保偽。諸佛假偽	身 真 理 由 智 慧 以 照 成 羣 生 迷 真 保 偽 諸 佛 假 偽 
X25n0475_001:0073a11	引真。故示乞食以資色身。發起智慧以生法身也。	引 真 故 示 乞 食 以 資 色 身 發 起 智 慧 以 生 法 身 也 
X25n0475_001:0073a12	色身無食則死。法身無智不生。故經云。一切諸佛。	色 身 無 食 則 死 法 身 無 智 不 生 故 經 云 一切諸佛 
X25n0475_001:0073a13	及諸佛阿耨多羅三藐三菩提。皆從此經出。食時	及 諸 佛 阿耨多羅三藐三菩提 皆 從 此 經 出 食 時 
X25n0475_001:0073a14	者。辰時也。以當日初分。乞食易施。歸園正當午前。	者 辰 時 也 以 當 日 初 分 乞 食 易 施 歸 園 正 當 午 前 
X25n0475_001:0073a15	如常齋法。著衣者。著九條至二十五條。福田衣也。	如 常 齋 法 著 衣 者 著 九 條 至 二 十 五 條 福 田 衣 也 
X25n0475_001:0073a16	以製像水田。見生福故。持鉢者。紺瑠璃鉢。乃四天	以 製 像 水 田 見 生 福 故 持 鉢 者 紺 瑠 璃 鉢 乃 四 天 
X25n0475_001:0073a17	王所奉維衛佛之遺鉢也。必持著者。以在家好尚	王 所 奉 維 衛 佛 之 遺 鉢 也 必 持 著 者 以 在 家 好 尚 
X25n0475_001:0073a18	華綺。太著於樂。出家外道躶形。太著於苦。今處中	華 綺 太 著 於 樂 出 家 外 道 躶 形 太 著 於 苦 今 處 中 
X25n0475_001:0073a19	行。離二邊也。且有威可畏。有儀可像。範我形軀。肅	行 離 二 邊 也 且 有 威 可 畏 有 儀 可 像 範 我 形 軀 肅 
X25n0475_001:0073a20	他敬信。豈徒為持著已哉。乞食。是頭陀行。頭陀。此	他 敬 信 豈 徒 為 持 著 已 哉 乞 食 是 頭 陀 行 頭 陀 此 
X25n0475_001:0073a21	云抖擻。以煩惱根心。未易卒遣。茲欲抖擻。必在躬	云 抖 擻 以 煩 惱 根 心 未 易 卒 遣 茲 欲 抖 擻 必 在 躬 
X25n0475_001:0073a22	行。行雖無量。攝以十二。曰藍若。曰樹下。抖擻居處	行 行 雖 無 量 攝 以 十 二 曰 藍 若 曰 樹 下 抖 擻 居 處 
X25n0475_001:0073a23	之煩惱也。曰繩牀。曰瓦鉢。抖擻器用之煩惱也。曰	之 煩 惱 也 曰 繩 牀 曰 瓦 鉢 抖 擻 器 用 之 煩 惱 也 曰 
X25n0475_001:0073a24	三衣。曰乞食。抖擻衣食之煩惱也。而乞食一行。不	三 衣 曰 乞 食 抖 擻 衣 食 之 煩 惱 也 而 乞 食 一 行 不 
X25n0475_001:0073b01	惟遠除貪慢。亦且生長福田。資斂身心。離四邪命。	惟 遠 除 貪 慢 亦 且 生 長 福 田 資 斂 身 心 離 四 邪 命 
X25n0475_001:0073b02	故如來示現。軌範後昆。使知佛尚且然。況其他乎。	故 如 來 示 現 軌 範 後 昆 使 知 佛 尚 且 然 況 其 他 乎 
X25n0475_001:0073b03	故嘗自謂。頭陀行存。我法則存。頭陀行滅。我法則	故 嘗 自 謂 頭 陀 行 存 我 法 則 存 頭 陀 行 滅 我 法 則 
X25n0475_001:0073b04	滅。誠重於此也。次第乞者。淨穢不分。貧富俱入。以	滅 誠 重 於 此 也 次 第 乞 者 淨 穢 不 分 貧 富 俱 入 以 
X25n0475_001:0073b05	內證平等之理。外忘差別之相故也。收衣鉢者。收	內 證 平 等 之 理 外 忘 差別之相 故 也 收 衣 鉢 者 收 
X25n0475_001:0073b06	大衣。著七條。息緣慮也。洗足者。淨身業。敷座而坐。	大 衣 著 七 條 息 緣 慮 也 洗 足 者 淨 身 業 敷 座 而 坐 
X25n0475_001:0073b07	正入定矣。敷座者。如來每說般若。皆自敷坐具。為	正 入 定 矣 敷 座 者 如 來 每 說 般 若 皆 自 敷 坐 具 為 
