T42n1827_001:0232a03	百論序疏	百 論 序 疏 
T42n1827_001:0233b05	諸部弘小令凡入小。龍樹破小令迴小悟大	諸 部 弘 小 令 凡 入 小 龍 樹 破 小 令 迴 小 悟 大 
T42n1827_001:0233b06	也。次八百年時有法勝等弘小。提婆申大。亦	也 次 八 百 年 時 有 法 勝 等 弘 小 提 婆 申 大 亦 
T42n1827_001:0233b07	具二義。但提婆出世正為外道盛興故出世	具 二 義 但 提 婆 出 世 正 為 外 道 盛 興 故 出 世 
T42n1827_001:0233b08	破斥。而兼除小迷及大乘有所得見也。文稱	破 斥 而 兼 除 小 迷 及 大 乘 有所得見 也 文 稱 
T42n1827_001:0233b09	泥曰者肇公云。泥曰泥洹涅槃並外國音不	泥 曰 者 肇 公 云 泥 曰 泥 洹 涅 槃 並 外 國 音 不 
T42n1827_001:0233b10	同。而以涅槃為正。又相傳云。涅槃通餘無餘。	同 而 以 涅 槃 為 正 又 相 傳 云 涅 槃 通 餘 無 餘 
T42n1827_001:0233b11	泥曰正是無餘之稱也。有出家大士第三嘆	泥 曰 正 是 無 餘 之 稱 也 有 出 家 大 士 第 三 嘆 
T42n1827_001:0233b12	造論人。文有四。初出家簡在家。二大士異小	造 論 人 文 有 四 初 出 家 簡 在 家 二 大 士 異 小 
T42n1827_001:0233b13	乘。三標名。四讚德。出家者。四依出世實大小	乘 三 標 名 四 讚 德 出 家 者 四 依 出 世 實 大 小 
T42n1827_001:0233b14	兼弘道俗俱化。必須出家。出家有四。一出形	兼 弘 道 俗 俱 化 必 須 出 家 出 家 有 四 一 出 形 
T42n1827_001:0233b15	家不出心家凡夫出家人也。二出心家不出形	家 不 出 心 家 凡 夫 出 家 人 也 二 出 心 家 不 出 形 
T42n1827_001:0233b16	家在家聖人也。三俱出家出家聖人。四俱不	家 在 家 聖 人 也 三 俱 出 家 出 家 聖 人 四 俱 不 
T42n1827_001:0233b17	出在家凡夫也。今是第三也。大士者。前雖出	出 在 家 凡 夫 也 今 是 第 三 也 大 士 者 前 雖 出 
T42n1827_001:0233b18	家恐濫小道。故明大士。又前明出家形同小	家 恐 濫 小 道 故 明 大 士 又 前 明 出 家 形 同 小 
T42n1827_001:0233b19	乘。今辨大士謂心是菩薩。問何故不明心形	乘 今 辨 大 士 謂 心 是 菩 薩 問 何 故 不 明 心 形 
T42n1827_001:0233b20	俱是菩薩。答釋迦法中無別出家菩薩僧。皆	俱 是 菩 薩 答 釋 迦 法 中 無 別 出 家 菩 薩 僧 皆 
T42n1827_001:0233b21	入聲聞眾攝故。文殊彌勒住在祇洹依聲聞	入 聲 聞 眾 攝 故 文 殊 彌 勒 住 在 祇 洹 依 聲 聞 
T42n1827_001:0233b22	高下次第也。又形是聲聞得弘小教引小義。	高 下 次 第 也 又 形 是 聲 聞 得 弘 小 教 引 小 義 
T42n1827_001:0233b23	便心為菩薩宣揚大乘。厥名提婆者第三出名	便 心 為 菩 薩 宣 揚 大 乘 厥 名 提 婆 者 第 三 出 名 
T42n1827_001:0233b24	簡異餘人。厥者其也。提婆者天也。故金光明	簡 異 餘 人 厥 者 其 也 提 婆 者 天 也 故 金 光 明 
T42n1827_001:0233b25	云。摩訶提婆名為大天。大品云。恒河提婆品	云 摩 訶 提 婆 名 為 大 天 大 品 云 恒 河 提 婆 品 
T42n1827_001:0233b26	亦云河天品。恒河者河也。提婆天也。蓋是其	亦 云 河 天 品 恒 河 者 河 也 提 婆 天 也 蓋 是 其 
T42n1827_001:0233b27	本名。末稱加那提婆。伽那者小一目。以一目	本 名 末 稱 加 那 提 婆 伽 那 者 小 一 目 以 一 目 
T42n1827_001:0233b28	施天神故以為名。復傳云。提婆曾乞食。有女	施 天 神 故 以 為 名 復 傳 云 提 婆 曾 乞 食 有 女 
T42n1827_001:0233b29	人應發道心。於提婆眼生愛。提婆出眼示之	人 應 發 道 心 於 提 婆 眼 生 愛 提 婆 出 眼 示 之 
T42n1827_001:0233c01	但是不淨。因以發心故小一目也。玄心獨悟	但 是 不 淨 因 以 發 心 故 小 一 目 也 玄 心 獨 悟 
T42n1827_001:0233c02	下第四讚德。有三歎。一歎天然德。二歎稟教	下 第 四 讚 德 有 三 歎 一 歎 天 然 德 二 歎 稟 教 
T42n1827_001:0233c03	德。三歎護法德。此三次第由有天然德故解	德 三 歎 護 法 德 此 三 次 第 由 有 天 然 德 故 解 
T42n1827_001:0233c04	教。由解教故護法也。玄心者玄妙之心即正	教 由 解 教 故 護 法 也 玄 心 者 玄 妙 之 心 即 正 
T42n1827_001:0233c05	觀也。獨悟二義。一八百年時群生皆迷。而提	觀 也 獨 悟 二 義 一 八 百 年 時 群 生 皆 迷 而 提 
T42n1827_001:0233c06	婆獨悟。二龍樹多有門人。而提婆最為標領。	婆 獨 悟 二 龍 樹 多 有 門 人 而 提 婆 最 為 標 領 
T42n1827_001:0233c07	故叡師云。提婆是龍樹上足弟子。德與知機	故 叡 師 云 提 婆 是 龍 樹 上 足 弟 子 德 與 知 機 
T42n1827_001:0233c08	諍行。才將玄師並照。道映當時者。照蓋於當	諍 行 才 將 玄 師 並 照 道 映 當 時 者 照 蓋 於 當 
T42n1827_001:0233c09	時亦現當時也。神超世表者。世以有所得為	時 亦 現 當 時 也 神 超 世 表 者 世 以 有 所 得 為 
T42n1827_001:0233c10	懷。提婆以無所得為悟。莊子雖超世表終日	懷 提 婆 以 無 所 得 為 悟 莊 子 雖 超 世 表 終 日 
T42n1827_001:0233c11	域中。與今何異。釋云。彼意聖人雖居無為不	域 中 與 今 何 異 釋 云 彼 意 聖 人 雖 居 無 為 不 
T42n1827_001:0233c12	捨域中。如佛雖超四流之外恒在三界之內	捨 域 中 如 佛 雖 超 四 流 之 外 恒 在 三 界 之 內 
T42n1827_001:0233c13	今正歎獨出物外。與彼為異。故能闢三藏下	今 正 歎 獨 出 物 外 與 彼 為 異 故 能 闢 三 藏 下 
T42n1827_001:0233c14	第二歎解教德。初歎解小乘三藏。次美通方	第 二 歎 解 教 德 初 歎 解 小 乘 三 藏 次 美 通 方 
T42n1827_001:0233c15	等十二。而三藏亦有十二。但明九部故直云	等 十 二 而 三 藏 亦 有 十 二 但 明 九 部 故 直 云 
T42n1827_001:0233c16	三藏也。三藏教關節難了。提婆並照達之故	三 藏 也 三 藏 教 關 節 難 了 提 婆 並 照 達 之 故 
T42n1827_001:0233c17	云闢。闢者開通之義也。又佛說三藏。為明不	云 闢 闢 者 開 通 之 義 也 又 佛 說 三 藏 為 明 不 
T42n1827_001:0233c18	三而方便說三。說三明不三。明權以開實。不	三 而 方 便 說 三 說 三 明 不 三 明 權 以 開 實 不 
T42n1827_001:0233c19	三而明三。從實以起權。提婆並開達此二義。	三 而 明 三 從 實 以 起 權 提 婆 並 開 達 此 二 義 
T42n1827_001:0233c20	故云重關。小乘人聞三作三解。不知三不三。	故 云 重 關 小 乘 人 聞 三 作 三 解 不 知 三 不 三 
T42n1827_001:0233c21	亦不知不三三。故失三藏意也。又于時有二	亦 不 知 不 三 三 故 失 三 藏 意 也 又 于 時 有 二 
T42n1827_001:0233c22	種關於三藏。一外道邪言。二小乘性執。今破	種 關 於 三 藏 一 外 道 邪 言 二 小 乘 性 執 今 破 
T42n1827_001:0233c23	此二執申明三藏。故開二關也。又小乘人二	此 二 執 申 明 三 藏 故 開 二 關 也 又 小 乘 人 二 
T42n1827_001:0233c24	關三藏。一得語失意。二語義俱失。今除此二	關 三 藏 一 得 語 失 意 二 語 義 俱 失 今 除 此 二 
T42n1827_001:0233c25	執故開兩關也。又三藏幽隱難明即是三關	執 故 開 兩 關 也 又 三 藏 幽 隱 難 明 即 是 三 關 
T42n1827_001:0233c26	故云重也。十二幽路者。于時外道邪言小乘	故 云 重 也 十 二 幽 路 者 于 時 外 道 邪 言 小 乘 
T42n1827_001:0233c27	異執及有所得大迷三種隱覆方等。今並坦	異 執 及 有 所 得 大 迷 三 種 隱 覆 方 等 今 並 坦 
T42n1827_001:0233c28	蕩之也。又十二文言皆是入理所由。故路也。	蕩 之 也 又 十 二 文 言 皆 是 入 理 所 由 故 路 也 
T42n1827_001:0233c29	而十二文言幽隱難了。今悉悟之故云坦也。	而 十 二 文 言 幽 隱 難 了 今 悉 悟 之 故 云 坦 也 
T42n1827_001:0234a01	有人言。闢三藏破聲聞坦十二除緣覺。為弘	有 人 言 闢 三 藏 破 聲 聞 坦 十 二 除 緣 覺 為 弘 
T42n1827_001:0234a02	一乘故也。今不同此釋。如向明之。檀步迦夷	一 乘 故 也 今 不 同 此 釋 如 向 明 之 檀 步 迦 夷 
T42n1827_001:0234a03	下第三歎護法德也。內由明達大小故外能	下 第 三 歎 護 法 德 也 內 由 明 達 大 小 故 外 能 
T42n1827_001:0234a04	弘護。檀者獨也。謂獨步迦夷羅。迦夷羅者云	弘 護 檀 者 獨 也 謂 獨 步 迦 夷 羅 迦 夷 羅 者 云 
T42n1827_001:0234a05	赤澤國也。所以作此歎者。佛處中天竺降天	赤 澤 國 也 所 以 作 此 歎 者 佛 處 中 天 竺 降 天 
T42n1827_001:0234a06	魔伏外道。提婆爾。作如佛而歎也。為法城塹	魔 伏 外 道 提 婆 爾 作 如 佛 而 歎 也 為 法 城 塹 
T42n1827_001:0234a07	者二義。一佛大小乘法如城。提婆出世降邪	者 二 義 一 佛 大 小 乘 法 如 城 提 婆 出 世 降 邪 
T42n1827_001:0234a08	護正。與城為深塹也。二者大小乘教法也。提	護 正 與 城 為 深 塹 也 二 者 大 小 乘 教 法 也 提 
T42n1827_001:0234a09	婆為法作於高城深塹。又二義。一令天魔外	婆 為 法 作 於 高 城 深 塹 又 二 義 一 令 天 魔 外 
T42n1827_001:0234a10	道不能[門@視]踰。二令大法弘顯如城塹。又二義。	道 不 能 [門視] 踰 二 令 大 法 弘 顯 如 城 塹 又 二 義 
T42n1827_001:0234a11	一防外難。二安王民。于時外道紛然下第四	一 防 外 難 二 安 王 民 于 時 外 道 紛 然 下 第 四 
T42n1827_001:0234a12	明邪興。即提婆所為緣。有邪故有正。邪去正	明 邪 興 即 提 婆 所 為 緣 有 邪 故 有 正 邪 去 正 
