T46n1927_001:0702c14	十不二門	十 不 二 門 
T46n1927_001:0703a08	之。本門已廣引誠證，此下但直申一理，使	之 本 門 已 廣 引 誠 證 此 下 但 直 申 一 理 使 
T46n1927_001:0703a09	一部經旨皎在目前。	一 部 經 旨 皎 在 目 前 
T46n1927_001:0703a10	一者、色心不二門，二者、內外不二門，三者、修	一 者 色 心 不 二 門 二 者 內 外 不 二 門 三 者 修 
T46n1927_001:0703a11	性不二門，四者、因果不二門，五者、染淨不二	性 不 二 門 四 者 因 果 不 二 門 五 者 染 淨 不 二 
T46n1927_001:0703a12	門，六者、依正不二門，七者、自他不二門，八者、	門 六 者 依 正 不 二 門 七 者 自 他 不 二 門 八 者 
T46n1927_001:0703a13	三業不二門，九者、權實不二門，十者、受潤不	三 業 不 二 門 九 者 權 實 不 二 門 十 者 受 潤 不 
T46n1927_001:0703a14	二門。是中第一，從境妙立名；第二第三，從智	二 門 是 中 第 一 從 境 妙 立 名 第二第三 從 智 
T46n1927_001:0703a15	行立名；第四，從位法立名；第五第六第七，從	行 立 名 第 四 從 位 法 立 名 第 五 第 六 第 七 從 
T46n1927_001:0703a16	感應神通立名；第八第九，從說法立名；第十，	感 應 神 通 立 名 第 八 第 九 從 說 法 立 名 第 十 
T46n1927_001:0703a17	從眷屬利益立名。一、色心不二門者，且十如	從 眷 屬 利 益 立 名 一 色 心 不 二 門 者 且 十 如 
T46n1927_001:0703a18	境乃至無諦，一一皆可總別二意，總在一	境 乃 至 無 諦 一 一 皆 可 總 別 二 意 總 在 一 
T46n1927_001:0703a19	念，別分色心。何者？初十如中，相唯在色，性唯	念 別 分 色 心 何 者 初 十 如 中 相 唯 在 色 性 唯 
T46n1927_001:0703a20	在心，體、力、作、緣義兼色心，因、果唯心，報唯約	在 心 體 力 作 緣 義 兼 色 心 因 果 唯 心 報 唯 約 
T46n1927_001:0703a21	色；十二因緣苦業兩兼，惑唯在心；四諦則三	色 十二因緣 苦 業 兩 兼 惑 唯 在 心 四 諦 則 三 
T46n1927_001:0703a22	兼色心，滅唯在心；二諦三諦皆俗具色心、真	兼 色 心 滅 唯 在 心 二 諦 三 諦 皆 俗 具 色 心 真 
T46n1927_001:0703a23	中唯心；一實及無，準此可見。既知別已，攝別	中 唯 心 一 實 及 無 準 此 可 見 既 知 別 已 攝 別 
T46n1927_001:0703a24	入總，一切諸法無非心性，一性無性三千宛	入 總 一切諸法 無 非 心 性 一 性 無 性 三 千 宛 
T46n1927_001:0703a25	然。當知心之色心即心名變，變名為造，造謂	然 當 知 心 之 色 心 即 心 名 變 變 名 為 造 造 謂 
T46n1927_001:0703a26	體用，是則非色非心而色而心，唯色唯心良	體 用 是 則 非 色 非 心 而 色 而 心 唯 色 唯 心 良 
T46n1927_001:0703a27	由於此。故知但識一念，遍見己他生佛。他生	由 於 此 故 知 但 識 一 念 遍 見 己 他 生 佛 他 生 
T46n1927_001:0703a28	他佛尚與心同，況己心生佛寧乖一念？故彼	他 佛 尚 與 心 同 況 己 心 生 佛 寧 乖 一 念 故 彼 
T46n1927_001:0703a29	彼境法，差差而不差。	彼 境 法 差 差 而 不 差 
T46n1927_001:0703b01	二、內外不二門者，凡所觀境不出內外，外謂	二 內 外 不 二 門 者 凡 所 觀 境 不 出 內 外 外 謂 
T46n1927_001:0703b02	託彼依正色心，即空假中，即空假中妙，故色	託 彼 依 正 色 心 即 空 假 中 即 空 假 中 妙 故 色 
T46n1927_001:0703b03	心體絕。唯一實性無空假中，色心宛然豁同	心 體 絕 唯 一 實 性 無 空 假 中 色 心 宛 然 豁 同 
T46n1927_001:0703b04	真淨，無復眾生七方便異，不見國土淨穢差	真 淨 無 復 眾 生 七 方 便 異 不 見 國 土 淨 穢 差 
T46n1927_001:0703b05	品，而帝網依正終自炳然。所言內者，先了外	品 而 帝 網 依 正 終 自 炳 然 所 言 內 者 先 了 外 
T46n1927_001:0703b06	色心一念無念，唯內體三千即空假中，是則	色 心 一 念 無 念 唯 內 體 三 千 即 空 假 中 是 則 
T46n1927_001:0703b07	外法全為心性。心性無外攝無不周，十方諸	外 法 全 為 心 性 心 性 無 外 攝 無 不 周 十 方 諸 
T46n1927_001:0703b08	佛法界有情，性體無殊一切咸遍，誰云內外、	佛 法 界 有 情 性 體 無 殊 一 切 咸 遍 誰 云 內 外 
T46n1927_001:0703b09	色心、己他？此即用向色心不二門成。	色 心 己 他 此 即 用 向 色 心 不 二 門 成 
T46n1927_001:0703b10	三、修性不二門者，性德秖是界如一念，此內	三 修 性 不 二 門 者 性 德 秖 是 界 如 一 念 此 內 
T46n1927_001:0703b11	界如三法具足，性雖本爾，藉智起修，由修照	界 如 三 法 具 足 性 雖 本 爾 藉 智 起 修 由 修 照 
T46n1927_001:0703b12	性，由性發修，存性則全修成性，起修則全性	性 由 性 發 修 存 性 則 全 修 成 性 起 修 則 全 性 
T46n1927_001:0703b13	成修，性無所移、修常宛爾。修又二種：順修、逆	成 修 性 無 所 移 修 常 宛 爾 修 又 二 種 順 修 逆 
T46n1927_001:0703b14	修。順謂了性為行，逆謂背性成迷。迷了二心，	修 順 謂 了 性 為 行 逆 謂 背 性 成 迷 迷 了 二 心 
T46n1927_001:0703b15	心雖不二，逆順二性，性事恒殊。可由事、不移	心 雖 不 二 逆 順 二 性 性 事 恒 殊 可 由 事 不 移 
T46n1927_001:0703b16	心，則令迷修成了，故須一期迷了，照性成修，	心 則 令 迷 修 成 了 故 須 一 期 迷 了 照 性 成 修 
T46n1927_001:0703b17	見性修心，二心俱泯。又了順修對性有離有	見 性 修 心 二 心 俱 泯 又 了 順 修 對 性 有 離 有 
T46n1927_001:0703b18	合，離謂修性各三，合謂修二性一。修二各三，	合 離 謂 修 性 各 三 合 謂 修 二 性 一 修 二 各 三 
T46n1927_001:0703b19	共發性三，是則修雖具九，九秖是三。為對性	共 發 性 三 是 則 修 雖 具 九 九 秖 是 三 為 對 性 
T46n1927_001:0703b20	明修故，合修為二，二與一性如水為波，二亦	明 修 故 合 修 為 二 二 與 一 性 如 水 為 波 二 亦 
T46n1927_001:0703b21	無二亦如波水。應知性指三障，是故具三，修	無 二 亦 如 波 水 應 知 性 指 三 障 是 故 具 三 修 
T46n1927_001:0703b22	從性成，成三法爾。達無修性、唯一妙乘，無所	從 性 成 成 三 法 爾 達 無 修 性 唯 一 妙 乘 無 所 
T46n1927_001:0703b23	分別，法界洞朗。此由內外不二門成。	分 別 法 界 洞 朗 此 由 內 外 不 二 門 成 
T46n1927_001:0703b24	四、因果不二門者，眾生心因既具三軌，此因	四 因 果 不 二 門 者 眾 生 心 因 既 具 三 軌 此 因 
T46n1927_001:0703b25	成果名三涅槃，因果無殊始終理一。若爾因	成 果 名 三 涅 槃 因 果 無 殊 始 終 理 一 若 爾 因 
T46n1927_001:0703b26	德已具，何不住因？但由迷因各自謂實。若了	德 已 具 何 不 住 因 但 由 迷 因 各 自 謂 實 若 了 
T46n1927_001:0703b27	迷性實，唯住因故，久研此因，因顯名果。秖緣	迷 性 實 唯 住 因 故 久 研 此 因 因 顯 名 果 秖 緣 
T46n1927_001:0703b28	因果理一，用此一理為因，理顯無復果名，豈	因 果 理 一 用 此 一 理 為 因 理 顯 無 復 果 名 豈 
T46n1927_001:0703b29	可仍存因號？因果既泯，理性自亡，秖由亡智	可 仍 存 因 號 因 果 既 泯 理 性 自 亡 秖 由 亡 智 
T46n1927_001:0703c01	親疎，致使迷成厚薄。迷厚薄故，強分三惑，義	親 疎 致 使 迷 成 厚 薄 迷 厚 薄 故 強 分 三 惑 義 
T46n1927_001:0703c02	開六即，名智淺深。故如夢勤加、空名惑絕，幻	開 六 即 名 智 淺 深 故 如 夢 勤 加 空 名 惑 絕 幻 
T46n1927_001:0703c03	因既滿鏡像果圓，空像雖即義同，而空虛像	因 既 滿 鏡 像 果 圓 空 像 雖 即 義 同 而 空 虛 像 
T46n1927_001:0703c04	實，像實故稱理本有，空虛故迷轉成性，是則	實 像 實 故 稱 理 本 有 空 虛 故 迷 轉 成 性 是 則 
T46n1927_001:0703c05	不二而二立因果殊，二而不二始終體一。若	不 二 而 二 立 因 果 殊 二 而 不 二 始 終 體 一 若 
T46n1927_001:0703c06	謂因異果，因亦非因，曉果從因，因方克果。所	謂 因 異 果 因 亦 非 因 曉 果 從 因 因 方 克 果 所 
T46n1927_001:0703c07	以三千在理同名無明，三千果成咸稱常樂。	以 三 千 在 理 同 名 無 明 三 千 果 成 咸 稱 常 樂 
T46n1927_001:0703c08	三千無改無明即明，三千並常俱體俱用。此	三 千 無 改 無 明 即 明 三 千 並 常 俱 體 俱 用 此 
T46n1927_001:0703c09	以修性不二門成。	以 修 性 不 二 門 成 
T46n1927_001:0703c10	五、染淨不二門者，若識無始，即法性為無明，	五 染 淨 不 二 門 者 若 識 無 始 即 法 性 為 無 明 
T46n1927_001:0703c11	故可了今即無明為法性。法性之與無明遍	故 可 了 今 即 無 明 為 法 性 法 性 之 與 無 明 遍 
T46n1927_001:0703c12	造諸法，名之為染，無明之與法性遍應眾緣，	造 諸 法 名 之 為 染 無 明 之 與 法 性 遍 應 眾 緣 
T46n1927_001:0703c13	號之為淨。濁水清水，波濕無殊，清濁雖即由	號 之 為 淨 濁 水 清 水 波 濕 無 殊 清 濁 雖 即 由 
T46n1927_001:0703c14	緣，而濁成本有，濁雖本有而全體是清，以二	緣 而 濁 成 本 有 濁 雖 本 有 而 全 體 是 清 以 二 
T46n1927_001:0703c15	波理通、舉體是用，故三千因果俱名緣起。迷	波 理 通 舉 體 是 用 故 三 千 因 果 俱 名 緣 起 迷 
T46n1927_001:0703c16	悟緣起不離剎那，剎那性常，緣起理一，一理	悟 緣 起 不 離 剎 那 剎 那 性 常 緣 起 理 一 一 理 
T46n1927_001:0703c17	之內而分淨穢，別則六穢四淨，通則十通淨	之 內 而 分 淨 穢 別 則 六 穢 四 淨 通 則 十 通 淨 
T46n1927_001:0703c18	穢。故知剎那染體悉淨，三千未顯驗體仍迷，	穢 故 知 剎 那 染 體 悉 淨 三 千 未 顯 驗 體 仍 迷 
T46n1927_001:0703c19	故相似位成六根遍照。照分十界，各俱灼然，	故 相 似 位 成 六 根 遍 照 照 分 十 界 各 俱 灼 然 
T46n1927_001:0703c20	豈六根淨人謂十定十？分真垂迹十界亦然，	豈 六 根 淨 人 謂 十 定 十 分 真 垂 迹 十 界 亦 然 
T46n1927_001:0703c21	乃至果成等彼百界。故須初心而遮而照，照	乃 至 果 成 等 彼 百 界 故 須 初 心 而 遮 而 照 照 
T46n1927_001:0703c22	故三千恒具，遮故法爾空中，終日雙亡終日	故 三 千 恒 具 遮 故 法 爾 空 中 終 日 雙 亡 終 日 
T46n1927_001:0703c23	雙照，不動此念遍應無方，隨感而施淨穢斯	雙 照 不 動 此 念 遍 應 無 方 隨 感 而 施 淨 穢 斯 
T46n1927_001:0703c24	泯。亡淨穢故以空以中，仍由空中轉染為淨。	泯 亡 淨 穢 故 以 空 以 中 仍 由 空 中 轉 染 為 淨 
T46n1927_001:0703c25	由了染淨空中自亡，此以因果不二門成。	由 了 染 淨 空 中 自 亡 此 以 因 果 不 二 門 成 
T46n1927_001:0703c26	六、依正不二門者，已證遮那一體不二，良由	六 依 正 不 二 門 者 已 證 遮 那 一 體 不 二 良 由 
T46n1927_001:0703c27	無始一念三千。以三千中生陰二千為正，國	無 始 一 念 三 千 以 三 千 中 生 陰 二 千 為 正 國 
T46n1927_001:0703c28	土一千屬依，依正既居一心，一心豈分能所？	土 一 千 屬 依 依 正 既 居 一 心 一 心 豈 分 能 所 
T46n1927_001:0703c29	雖無能所，依正宛然，是則理性、名字、觀行，已	雖 無 能 所 依 正 宛 然 是 則 理 性 名 字 觀 行 已 
T46n1927_001:0704a01	有不二依正之相，故使自他因果相攝。但眾	有 不 二 依 正 之 相 故 使 自 他 因 果 相 攝 但 眾 
T46n1927_001:0704a02	生在理，果雖未辦，一切莫非遮那妙境。然應	生 在 理 果 雖 未 辦 一 切 莫 非 遮 那 妙 境 然 應 
T46n1927_001:0704a03	復了，諸佛法體非遍而遍，眾生理性非局而	復 了 諸 佛 法 體 非 遍 而 遍 眾 生 理 性 非 局 而 
T46n1927_001:0704a04	局，始終不改、大小無妨，因果理同依正何別？	局 始 終 不 改 大 小 無 妨 因 果 理 同 依 正 何 別 
T46n1927_001:0704a05	故淨穢之土、勝劣之身，塵身與法身量同，塵	故 淨 穢 之 土 勝 劣 之 身 塵 身 與 法 身 量 同 塵 
T46n1927_001:0704a06	國與寂光無異，是則一一塵剎一切剎，一一	國 與 寂 光 無 異 是 則 一 一 塵 剎 一 切 剎 一 一 
T46n1927_001:0704a07	塵身一切身，廣狹勝劣難思議，淨穢方所無	塵 身 一 切 身 廣 狹 勝 劣 難 思 議 淨 穢 方 所 無 
T46n1927_001:0704a08	窮盡，若非三千空假中，安能成茲自在用。如	窮 盡 若 非 三 千 空 假 中 安 能 成 茲 自 在 用 如 
T46n1927_001:0704a09	是方知生佛等，彼此事理互相收。此以染淨	是 方 知 生 佛 等 彼 此 事 理 互 相 收 此 以 染 淨 
T46n1927_001:0704a10	不二門成。	不 二 門 成 
T46n1927_001:0704a11	七、自他不二門者，隨機利他，事乃憑本。本謂	七 自 他 不 二 門 者 隨 機 利 他 事 乃 憑 本 本 謂 
T46n1927_001:0704a12	一性具足自他，方至果位自即益他。如理性	一 性 具 足 自 他 方 至 果 位 自 即 益 他 如 理 性 
T46n1927_001:0704a13	三德、三諦三千，自行唯在空中，利他三千赴	三 德 三 諦 三 千 自 行 唯 在 空 中 利 他 三 千 赴 
T46n1927_001:0704a14	物。物機無量不出三千，能應雖多不出十界，	物 物 機 無 量 不 出 三 千 能 應 雖 多 不 出 十 界 
T46n1927_001:0704a15	界界轉現不出一念，土土互生不出寂光。眾	界 界 轉 現 不 出 一 念 土 土 互 生 不 出 寂 光 眾 
T46n1927_001:0704a16	生由理具三千故能感，諸佛由三千理滿故	生 由 理 具 三 千 故 能 感 諸 佛 由 三 千 理 滿 故 
T46n1927_001:0704a17	能應，應遍機遍欣赴不差。不然，豈能如鏡現	能 應 應 遍 機 遍 欣 赴 不 差 不 然 豈 能 如 鏡 現 
T46n1927_001:0704a18	像？鏡有現像之理，形有生像之性，若一形對	像 鏡 有 現 像 之 理 形 有 生 像 之 性 若 一 形 對 
T46n1927_001:0704a19	不能現像，則鏡理有窮、形事不通。若與鏡隔	不 能 現 像 則 鏡 理 有 窮 形 事 不 通 若 與 鏡 隔 
T46n1927_001:0704a20	則容有是理，無有形對而不像者。若鏡未現	則 容 有 是 理 無 有 形 對 而 不 像 者 若 鏡 未 現 
T46n1927_001:0704a21	像由塵所遮，去塵由人磨，現像非關磨者，以	像 由 塵 所 遮 去 塵 由 人 磨 現 像 非 關 磨 者 以 
T46n1927_001:0704a22	喻觀法大旨可知。應知理雖自他具足，必藉	喻 觀 法 大 旨 可 知 應 知 理 雖 自 他 具 足 必 藉 
T46n1927_001:0704a23	緣了為利他功。復由緣了與性一合，方能稱	緣 了 為 利 他 功 復 由 緣 了 與 性 一 合 方 能 稱 
T46n1927_001:0704a24	性施設萬端，則不起自性化無方所。此由依	性 施 設 萬 端 則 不 起 自 性 化 無 方 所 此 由 依 
T46n1927_001:0704a25	正不二門成。	正 不 二 門 成 
T46n1927_001:0704a26	八、三業不二門者，於化他門事分三密，隨順	八 三 業 不 二 門 者 於 化 他 門 事 分 三 密 隨 順 
T46n1927_001:0704a27	物理得名不同，心輪鑒機、二輪設化，現身說	物 理 得 名 不 同 心 輪 鑒 機 二 輪 設 化 現 身 說 
T46n1927_001:0704a28	法未曾毫差。在身分於真應，在法分於權實。	法 未 曾 毫 差 在 身 分 於 真 應 在 法 分 於 權 實 
T46n1927_001:0704a29	二身若異，何故乃云即是法身？二說若乖，何	二 身 若 異 何 故 乃 云 即 是 法 身 二 說 若 乖 何 
T46n1927_001:0704b01	故乃云皆成佛道？若唯法身，應無垂世；若唯	故 乃 云 皆 成 佛 道 若 唯 法 身 應 無 垂 世 若 唯 
T46n1927_001:0704b02	佛道，誰施三乘？身尚無身，說必非說，身口平	佛 道 誰 施 三 乘 身 尚 無 身 說 必 非 說 身 口 平 
T46n1927_001:0704b03	等，等彼意輪，心色一如不謀而化，常冥至極	等 等 彼 意 輪 心 色 一 如 不 謀 而 化 常 冥 至 極 
T46n1927_001:0704b04	稱物施為，豈非百界一心？界界無非三業，界	稱 物 施 為 豈 非 百 界 一 心 界 界 無 非 三 業 界 
T46n1927_001:0704b05	尚一念，三業豈殊？果用無虧，因必稱果，若信	尚 一 念 三 業 豈 殊 果 用 無 虧 因 必 稱 果 若 信 
T46n1927_001:0704b06	因果，方知三密有本。百界三業俱空假中，故	因 果 方 知 三 密 有 本 百 界 三 業 俱 空 假 中 故 
T46n1927_001:0704b07	使稱宜遍赴為果。一一應色、一一言音，無不	使 稱 宜 遍 赴 為 果 一 一 應 色 一 一 言 音 無 不 
T46n1927_001:0704b08	百界三業具足，化復作化斯之謂歟。故一念	百 界 三 業 具 足 化 復 作 化 斯 之 謂 歟 故 一 念 
T46n1927_001:0704b09	凡心已有理性三密相海，一塵報色同在本	凡 心 已 有 理 性 三 密 相 海 一 塵 報 色 同 在 本 
T46n1927_001:0704b10	理毘盧遮那，方乃名為三無差別。此以自他	理 毘 盧 遮 那 方 乃 名 為 三無差別 此 以 自 他 
T46n1927_001:0704b11	不二門成。	不 二 門 成 
T46n1927_001:0704b12	九、權實不二門者，平等太慧常鑒法界，亦由	九 權 實 不 二 門 者 平 等 太 慧 常 鑒 法 界 亦 由 
T46n1927_001:0704b13	理性九權一實，實復九界、權亦復然，權實相	理 性 九 權 一 實 實 復 九 界 權 亦 復 然 權 實 相 
T46n1927_001:0704b14	冥，百界一念，不可分別任運常然。至果乃由	冥 百 界 一 念 不可分別 任 運 常 然 至 果 乃 由 
T46n1927_001:0704b15	契本一理，非權非實而權而實，此即如前心	契 本 一 理 非 權 非 實 而 權 而 實 此 即 如 前 心 
T46n1927_001:0704b16	輪自在，致令身口赴權實機。三業一念無乖	輪 自 在 致 令 身 口 赴 權 實 機 三 業 一 念 無 乖 
T46n1927_001:0704b17	權實，不動而施豈應隔異？對說即以權實立	權 實 不 動 而 施 豈 應 隔 異 對 說 即 以 權 實 立 
T46n1927_001:0704b18	稱，在身即以真應為名，三業理同權實冥合。	稱 在 身 即 以 真 應 為 名 三 業 理 同 權 實 冥 合 
T46n1927_001:0704b19	此以三業不二門成。	此 以 三 業 不 二 門 成 
T46n1927_001:0704b20	十、受潤不二門者，物理本來性具權實，無始	十 受 潤 不 二 門 者 物 理 本 來 性 具 權 實 無 始 
T46n1927_001:0704b21	熏習或權或實，權實由熏理常平等，遇時成	熏 習 或 權 或 實 權 實 由 熏 理 常 平 等 遇 時 成 
T46n1927_001:0704b22	習行願所資，若無本因熏亦徒設，遇熏自異	習 行 願 所 資 若 無 本 因 熏 亦 徒 設 遇 熏 自 異 
T46n1927_001:0704b23	非由性殊。性雖無殊必藉幻發，幻機幻感幻	非 由 性 殊 性 雖 無 殊 必 藉 幻 發 幻 機 幻 感 幻 
T46n1927_001:0704b24	應幻赴，能應所化並非權實。然由生具非權	應 幻 赴 能 應 所 化 並 非 權 實 然 由 生 具 非 權 
T46n1927_001:0704b25	非實成權實機，佛亦果具非權非實為權實	非 實 成 權 實 機 佛 亦 果 具 非 權 非 實 為 權 實 
T46n1927_001:0704b26	應，物機應契身土無偏，同常寂光無非法界。	應 物 機 應 契 身 土 無 偏 同 常 寂 光 無 非 法 界 
T46n1927_001:0704b27	故知三千同在心地，與佛心地三千不殊，四	故 知 三 千 同 在 心 地 與 佛 心 地 三 千 不 殊 四 
T46n1927_001:0704b28	微體同權實益等。此以權實不二門成。	微 體 同 權 實 益 等 此 以 權 實 不 二 門 成 
T46n1927_001:0704b29	是故十門，門門通入，色心乃至受潤咸然。故	是 故 十 門 門 門 通 入 色 心 乃 至 受 潤 咸 然 故 
T46n1927_001:0704c01	使十妙始終理一，如境本來具三，依理生解	使 十 妙 始 終 理 一 如 境 本 來 具 三 依 理 生 解 
T46n1927_001:0704c02	故名為智，智解導行行解契理，三法相符不	故 名 為 智 智 解 導 行 行 解 契 理 三 法 相 符 不 
T46n1927_001:0704c03	異而異，而假立淺深設位簡濫。三法秖是證	異 而 異 而 假 立 淺 深 設 位 簡 濫 三 法 秖 是 證 
T46n1927_001:0704c04	彼三理，下之五章三法起用。既是一念三	彼 三 理 下 之 五 章 三 法 起 用 既 是 一 念 三 
T46n1927_001:0704c05	千，即空假中，成故有用。若了一念，十方三世	千 即 空 假 中 成 故 有 用 若 了 一 念 十 方 三 世 
T46n1927_001:0704c06	諸佛之法本迹非遙。故重述十門，令觀行可	諸 佛 之 法 本 迹 非 遙 故 重 述 十 門 令 觀 行 可 
T46n1927_001:0704c07	識。首題既爾，覽別為總，符文可知。	識 首 題 既 爾 覽 別 為 總 符 文 可 知 
T46n1927_001:0704c08	十不二門(竟)	十 不 二 門 竟 
