T47n1963_001:0083b03	淨土論序	淨 土 論 序 
T47n1963_001:0083b29	　見聞甞嗅觸滅罪　　我願往生頭面禮	 見 聞 甞 嗅 觸 滅 罪 我 願 往 生 頭 面 禮 
T47n1963_001:0083c01	　水鳥林管發清歌　　其音演說甚深法	 水 鳥 林 管 發 清 歌 其 音 演 說 甚 深 法 
T47n1963_001:0083c02	　眾生聞者獲不退　　我願往生頭面禮	 眾 生 聞 者 獲 不 退 我 願 往 生 頭 面 禮 
T47n1963_001:0083c03	　觀音菩薩大慈悲　　等視眾生同一子	 觀 音 菩 薩 大 慈 悲 等 視 眾 生 同 一 子 
T47n1963_001:0083c04	　寶手接引如慈母　　我願往生頭面禮	 寶 手 接 引 如 慈 母 我 願 往 生 頭 面 禮 
T47n1963_001:0083c05	　勢至菩薩大自在　　行坐傾動大千界	 勢 至 菩 薩 大 自 在 行 坐 傾 動 大 千 界 
T47n1963_001:0083c06	　化佛菩薩皆雲集　　我願往生頭面禮	 化 佛 菩 薩 皆 雲 集 我 願 往 生 頭 面 禮 
T47n1963_001:0083c07	　佛子眾集量如海　　猶如眾星拱北辰	 佛 子 眾 集 量 如 海 猶 如 眾 星 拱 北 辰 
T47n1963_001:0083c08	　等觀三界救諸苦　　我願往生頭面禮	 等觀三界 救 諸 苦 我 願 往 生 頭 面 禮 
T47n1963_001:0083c09	　我今披閱佛大藏　　總集句義為九章	 我 今 披 閱 佛 大 藏 總 集 句 義 為 九 章 
T47n1963_001:0083c10	　讀者皆發菩提心　　普願往生安樂國	 讀 者 皆 發菩提心 普 願 往 生 安 樂 國 
T47n1963_001:0083c13	淨土論卷上	淨 土 論 卷 上 
T47n1963_001:0083c15	帝京弘法寺釋迦才撰	帝 京 弘 法 寺 釋 迦 才 撰 
T47n1963_001:0083c16	有滯俗公子。問淨土先生曰。蓋聞佛教沖虛。	有 滯 俗 公 子 問 淨 土 先 生 曰 蓋 聞 佛 教 沖 虛 
T47n1963_001:0083c17	語言路斷。法門幽簡。心行處滅。此則言語出	語 言 路 斷 法 門 幽 簡 心行處滅 此 則 言 語 出 
T47n1963_001:0083c18	自妄情。心行無非倒想。今乃欲寄西境專讚	自 妄 情 心 行 無 非 倒 想 今 乃 欲 寄 西 境 專 讚 
T47n1963_001:0083c19	彌陀。路斷之語容非。處滅之言罕是。但情近	彌 陀 路 斷 之 語 容 非 處 滅 之 言 罕 是 但 情 近 
T47n1963_001:0083c20	滯未達大方。請扣雷門。發斯蟄戶。然域內非	滯 未 達 大 方 請 扣 雷 門 發 斯 蟄 戶 然 域 內 非 
T47n1963_001:0083c21	穢。淨自是心。注想西方。曉所未曉。十方咸	穢 淨 自 是 心 注 想 西 方 曉 所 未 曉 十 方 咸 
T47n1963_001:0083c22	淨。偏觖一隅。用此纏情。願為開決。	淨 偏 觖 一 隅 用 此 纏 情 願 為 開 決 
T47n1963_001:0083c23	先生曰。快哉子之問也。非夫哲士熟能示乎。	先 生 曰 快 哉 子 之 問 也 非 夫 哲 士 熟 能 示 乎 
T47n1963_001:0083c24	然法門幽[阜*責]。誠如來旨。終慚不敏。試復論	然 法 門 幽 [阜責] 誠 如 來 旨 終 慚 不 敏 試 復 論 
T47n1963_001:0083c25	之。夫達人利見。寓目皆是。凡夫智淺。觸途生	之 夫 達 人 利 見 寓 目 皆 是 凡 夫 智 淺 觸 途 生 
T47n1963_001:0083c26	滯。但聖教弘規。位階八萬。要而論之。無過理	滯 但 聖 教 弘 規 位 階 八 萬 要 而 論 之 無 過 理 
T47n1963_001:0083c27	事。此之二門。其猶車有兩輪鳥有二翼。若闕	事 此 之 二 門 其 猶 車 有 兩 輪 鳥 有 二 翼 若 闕 
T47n1963_001:0083c28	其一則不能沖虛遠逝。如起信論。有止觀二	其 一 則 不 能 沖 虛 遠 逝 如 起 信 論 有 止 觀 二 
T47n1963_001:0083c29	門。止則緣理。觀則緣事。如未達此二。則搆虛	門 止 則 緣 理 觀 則 緣 事 如 未 達 此 二 則 搆 虛 
T47n1963_001:0084a01	生滯耳。而語斷心滅者理也。期西念佛者事	生 滯 耳 而 語 斷 心 滅 者 理 也 期 西 念 佛 者 事 
T47n1963_001:0084a02	也。然三界唯心。域內非穢。若未階十地。且將	也 然 三界唯心 域 內 非 穢 若 未 階 十 地 且 將 
T47n1963_001:0084a03	境淨心。雖十方咸淨。而境界普散。欲令專	境 淨 心 雖 十 方 咸 淨 而 境 界 普 散 欲 令 專 
T47n1963_001:0084a04	想往生。所以偏觖一隅矣。	想 往 生 所 以 偏 觖 一 隅 矣 
T47n1963_001:0084a05	第一定土體性(一明體性二明三界攝不攝)	第 一 定 土 體 性 一 明 體 性 二 明 三 界 攝 不 攝 
T47n1963_001:0084a06	問曰。其土之門。凡聖同踐。彌陀寶界。十念可	問 曰 其 土 之 門 凡 聖 同 踐 彌 陀 寶 界 十 念 可 
T47n1963_001:0084a07	登。既許大小俱遊庶類齊往。未知土之體性	登 既 許 大 小 俱 遊 庶 類 齊 往 未 知 土 之 體 性 
T47n1963_001:0084a08	狀類如何。	狀 類 如 何 
T47n1963_001:0084a09	答曰。夫綺色眩目。巧言翳理。今欲令愚智同	答 曰 夫 綺 色 眩 目 巧 言 翳 理 今 欲 令 愚 智 同 
T47n1963_001:0084a10	解。所以且消去浮辭。指陳而說也。一明體性	解 所 以 且 消 去 浮 辭 指 陳 而 說 也 一 明 體 性 
T47n1963_001:0084a11	者。自有三門。一法身淨土。二報身淨土。三化	者 自 有 三 門 一 法 身 淨 土 二 報 身 淨 土 三 化 
T47n1963_001:0084a12	身淨土。法身淨土者。有其二義。一出能住人	身 淨 土 法 身 淨 土 者 有 其 二 義 一 出 能 住 人 
T47n1963_001:0084a13	體。二出所住土體。能住人者。依起信論。釋如	體 二 出 所 住 土 體 能 住 人 者 依 起 信 論 釋 如 
T47n1963_001:0084a14	來藏。體具三大義。一者體大義。謂一切法。真	來 藏 體 具 三 大 義 一 者 體 大 義 謂 一 切 法 真 
T47n1963_001:0084a15	如平等不增減故。此即是一味真如。此體何	如 平 等 不 增 減 故 此 即 是 一 味 真 如 此 體 何 
T47n1963_001:0084a16	但非包含內外。亦乃貫通凡聖也。二者相大	但 非 包 含 內 外 亦 乃 貫 通 凡 聖 也 二 者 相 大 
T47n1963_001:0084a17	義。謂如來藏具足無漏性功德故。此即是恒	義 謂 如 來 藏 具 足 無 漏 性 功 德 故 此 即 是 恒 
T47n1963_001:0084a18	沙萬德差別義也。此即有情處有。無情處無	沙 萬 德 差 別 義 也 此 即 有 情 處 有 無 情 處 無 
T47n1963_001:0084a19	也。故涅槃經云。非佛性者。謂牆壁瓦礫無情	也 故 涅 槃 經 云 非 佛 性 者 謂 牆 壁 瓦 礫 無 情 
T47n1963_001:0084a20	之物也。三者用大義。謂能生世間出世間善	之 物 也 三 者 用 大 義 謂 能 生 世間出世間 善 
T47n1963_001:0084a21	因果故。此即是前相處用也。今既相用二大	因 果 故 此 即 是 前 相 處 用 也 今 既 相 用 二 大 
T47n1963_001:0084a22	義為能住人體。論差別。依一味而存故也。二	義 為 能 住 人 體 論 差 別 依 一 味 而 存 故 也 二 
T47n1963_001:0084a23	出所住土體者。即取前一味真如體大義。為	出 所 住 土 體 者 即 取 前 一 味 真 如 體 大 義 為 
T47n1963_001:0084a24	所住土體。謂與恒沙萬德。為依止故。此即人	所 住 土 體 謂 與 恒 沙 萬 德 為 依 止 故 此 即 人 
T47n1963_001:0084a25	土同體義分二也。報身淨土者。有其二種。一	土 同 體 義 分 二 也 報 身 淨 土 者 有 其 二 種 一 
T47n1963_001:0084a26	者實報土。二者事用土。實報土者。亦人土同	者 實 報 土 二 者 事 用 土 實 報 土 者 亦 人 土 同 
T47n1963_001:0084a27	體。謂始起萬德。為其土體。如攝大乘論十八	體 謂 始 起 萬 德 為 其 土 體 如 攝 大 乘 論 十 八 
T47n1963_001:0084a28	圓淨中云。大空無相等為門。三慧為路也。及	圓 淨 中 云 大 空 無 相 等 為 門 三 慧 為 路 也 及 
T47n1963_001:0084a29	維摩經中。總持之園苑。無漏法林樹等也。若	維 摩 經 中 總 持 之 園 苑 無 漏 法 林 樹 等 也 若 
T47n1963_001:0084b01	論能住人者。即總攬萬德。成一佛人也。此人	論 能 住 人 者 即 總 攬 萬 德 成 一 佛 人 也 此 人 
T47n1963_001:0084b02	及土。一切下位乃至金剛心菩薩。亦不得見。	及 土 一 切 下 位 乃 至 金 剛 心 菩 薩 亦 不 得 見 
T47n1963_001:0084b03	唯佛與佛自相見耳。言事用土者。此即人土	唯 佛 與 佛 自 相 見 耳 言 事 用 土 者 此 即 人 土 
T47n1963_001:0084b04	別體。謂頗梨柯蓮華藏世界等。為所住土	別 體 謂 頗 梨 柯 蓮華藏世界 等 為 所 住 土 
T47n1963_001:0084b05	體。故攝大乘論云。淨土以蓮華王。為依止也。	體 故 攝 大 乘 論 云 淨 土 以 蓮 華 王 為 依 止 也 
T47n1963_001:0084b06	大定大悲妙色相好等。為能住人體。故攝大	大 定 大 悲 妙 色 相 好 等 為 能 住 人 體 故 攝 大 
T47n1963_001:0084b07	乘論云。應身以大定大悲。為體也。此人及土。	乘 論 云 應 身 以 大 定 大 悲 為 體 也 此 人 及 土 
T47n1963_001:0084b08	初地已上菩薩。隨分得見。乃至十地。見皆不	初 地 已 上 菩 薩 隨 分 得 見 乃 至 十 地 見 皆 不 
T47n1963_001:0084b09	同。謂地即上下之別。見亦麁妙之異也。故攝	同 謂 地 即 上 下 之 別 見 亦 麁 妙 之 異 也 故 攝 
T47n1963_001:0084b10	論云。若離應身初地已上菩薩。菩提資糧即	論 云 若 離 應 身 初 地 已 上 菩 薩 菩提資糧 即 
T47n1963_001:0084b11	不具足。此或名報身。或名受用身。或名應身。	不 具 足 此 或 名 報 身 或 名 受 用 身 或 名 應 身 
T47n1963_001:0084b12	酬還曰報。答理名應。為他飡味。稱為受用。或	酬 還 曰 報 答 理 名 應 為 他 飡 味 稱 為 受 用 或 
T47n1963_001:0084b13	名食身。與受用相似。化身淨土者。亦有二種。	名 食 身 與 受 用 相 似 化 身 淨 土 者 亦 有 二 種 
T47n1963_001:0084b14	一者將三大僧祇利他行。盛即是常隨之化。	一 者 將 三 大 僧 祇 利 他 行 盛 即 是 常 隨 之 化 
T47n1963_001:0084b15	此身及土。此界他方恒現不絕。或一劫或百	此 身 及 土 此 界 他 方 恒 現 不 絕 或 一 劫 或 百 
T47n1963_001:0084b16	年。三十二相八十隨形好等。謂新新生世。數	年 三十二相 八十隨形好 等 謂 新 新 生 世 數 
T47n1963_001:0084b17	數涅槃也。二者無而忽有化。謂依此化身。更	數 涅 槃 也 二 者 無 而 忽 有 化 謂 依 此 化 身 更 
T47n1963_001:0084b18	起多化。如釋迦如來。即是常隨化。更起分身。	起 多 化 如 釋 迦 如 來 即 是 常 隨 化 更 起 分 身 
T47n1963_001:0084b19	即是無而忽有化也。或現猨猴鹿馬等形。不	即 是 無 而 忽 有 化 也 或 現 猨 猴 鹿 馬 等 形 不 
T47n1963_001:0084b20	必唯現佛也。身既有二。土亦然也。如妙喜世	必 唯 現 佛 也 身 既 有 二 土 亦 然 也 如 妙 喜 世 
T47n1963_001:0084b21	界諸妙蓮華。即是常隨化淨土。如維摩經中。	界 諸 妙 蓮 華 即 是 常 隨 化 淨 土 如 維 摩 經 中 
T47n1963_001:0084b22	如來足指案地。三千皆淨。即是無而忽有化	如 來 足 指 案 地 三 千 皆 淨 即 是 無 而 忽 有 化 
T47n1963_001:0084b23	淨土也。此兩身二土。唯是地前菩薩。二乘凡	淨 土 也 此 兩 身 二 土 唯 是 地 前 菩 薩 二 乘 凡 
T47n1963_001:0084b24	夫得見。故攝大乘論云。若離化身。聲聞瘦澁。	夫 得 見 故 攝 大 乘 論 云 若 離 化 身 聲 聞 瘦 澁 
T47n1963_001:0084b25	及願樂位初發心修行。皆不成就也。法身及	及 願 樂 位 初 發 心 修 行 皆 不 成 就 也 法 身 及 
T47n1963_001:0084b26	土。即五眼中慧眼法眼佛眼得見。報化身土。	土 即 五 眼 中 慧 眼 法 眼 佛 眼 得 見 報 化 身 土 
T47n1963_001:0084b27	即肉眼天眼見也。	即 肉 眼 天 眼 見 也 
T47n1963_001:0084b28	問曰。土既有三者。未知西方是何土也。	問 曰 土 既 有 三 者 未 知 西 方 是 何 土 也 
T47n1963_001:0084b29	答曰。亦具三種。若入初地已去菩薩正體智	答 曰 亦 具 三 種 若 入 初 地 已 去 菩 薩 正 體 智 
T47n1963_001:0084c01	見者。即是法身淨土。若加行後得智見者。即	見 者 即 是 法 身 淨 土 若 加 行 後 得 智 見 者 即 
T47n1963_001:0084c02	是報身淨土。若是地前菩薩二乘凡夫見者。	是 報 身 淨 土 若 是 地 前 菩 薩 二 乘 凡 夫 見 者 
T47n1963_001:0084c03	即是化身淨土也。如龍樹等菩薩往生。具見	即 是 化 身 淨 土 也 如 龍 樹 等 菩 薩 往 生 具 見 
T47n1963_001:0084c04	法報化三種淨土。由上得見下故。由此義故。	法 報 化 三 種 淨 土 由 上 得 見 下 故 由 此 義 故 
T47n1963_001:0084c05	諸經論中。或判為報。或判為化。皆不失旨	諸 經 論 中 或 判 為 報 或 判 為 化 皆 不 失 旨 
T47n1963_001:0084c06	也。	也 
T47n1963_001:0084c07	問曰。已知西方具有三土。未知即今凡夫念	問 曰 已 知 西 方 具 有 三 土 未 知 即 今 凡 夫 念 
T47n1963_001:0084c08	佛願生得何土也。	佛 願 生 得 何 土 也 
T47n1963_001:0084c09	答曰。依如攝論。唯生化土。不見法報土也。	答 曰 依 如 攝 論 唯 生 化 土 不 見 法 報 土 也 
T47n1963_001:0084c10	就化土中有其二種。一是胎生。二是化生。胎	就 化 土 中 有 其 二 種 一 是 胎 生 二 是 化 生 胎 
T47n1963_001:0084c11	生土者。復有二種。一狐疑人。生極樂邊城七	生 土 者 復 有 二 種 一 狐 疑 人 生 極 樂 邊 城 七 
T47n1963_001:0084c12	寶宮殿中。五百歲不見佛。名之為胎。此是	寶 宮 殿 中 五 百 歲 不 見 佛 名 之 為 胎 此 是 
T47n1963_001:0084c13	(無量壽經說)二者實有父母。名之為胎。如鼓音聲王	 無 量 壽 經 說 二 者 實 有 父 母 名 之 為 胎 如 鼓 音 聲 王 
T47n1963_001:0084c14	陀羅尼經說。此即阿彌陀佛亦有父母等。經	陀 羅 尼 經 說 此 即 阿 彌 陀 佛 亦 有 父 母 等 經 
T47n1963_001:0084c15	云。城名清泰。十千由旬。於中充滿剎利之種。	云 城 名 清 泰 十 千 由 旬 於 中 充 滿 剎 利 之 種 
T47n1963_001:0084c16	父名月上轉輪聖王。母名殊勝妙顏。子名月	父 名 月 上 轉輪聖王 母 名 殊 勝 妙 顏 子 名 月 
T47n1963_001:0084c17	明。奉事弟子。名無垢稱。智慧弟子名攬光。神	明 奉 事 弟 子 名 無 垢 稱 智 慧 弟 子 名 攬 光 神 
T47n1963_001:0084c18	足弟子名主化。魔名無勝。提婆達多名寂也	足 弟 子 名 主 化 魔 名 無 勝 提 婆 達 多 名 寂 也 
T47n1963_001:0084c19	(此自別化一切眾生。非今念佛往生者也。此即處一。見有異也)化生土者。依如	 此 自 別 化 一 切 眾 生 非 今 念 佛 往 生 者 也 此 即 處 一 見 有 異 也 化 生 土 者 依 如 
T47n1963_001:0084c20	經論。具有三種。一者純是大乘土。二者純是	經 論 具 有 三 種 一 者 純 是 大 乘 土 二 者 純 是 
T47n1963_001:0084c21	小乘土。三者大小乘雜土。純大乘土者。此處	小 乘 土 三 者 大 小 乘 雜 土 純 大 乘 土 者 此 處 
T47n1963_001:0084c22	眾生。純學大乘。即生彼土。如九品生中上輩	眾 生 純 學 大 乘 即 生 彼 土 如 九 品 生 中 上 輩 
T47n1963_001:0084c23	三品人是也。故往生論云。大乘善根界。等無	三 品 人 是 也 故 往 生 論 云 大 乘 善 根 界 等 無 
T47n1963_001:0084c24	譏謙名。女人及根缺。二乘種不生也。純小乘	譏 謙 名 女 人 及 根 缺 二 乘 種 不 生 也 純 小 乘 
T47n1963_001:0084c25	土者。此處眾生。純學小乘。即生彼土。如九品	土 者 此 處 眾 生 純 學 小 乘 即 生 彼 土 如 九 品 
T47n1963_001:0084c26	生中中輩二品生者是也。故智度論中云。有	生 中 中 輩 二 品 生 者 是 也 故 智 度 論 中 云 有 
T47n1963_001:0084c27	妙淨土。出過三界。諸阿羅漢。當生其中。大小	妙 淨 土 出 過 三 界 諸 阿 羅 漢 當 生 其 中 大 小 
T47n1963_001:0084c28	乘雜土者。此處眾生。雜學大小乘。即生彼土。	乘 雜 土 者 此 處 眾 生 雜 學 大 小 乘 即 生 彼 土 
T47n1963_001:0084c29	如九品生中中輩下生。及下輩三品生者是	如 九 品 生 中 中 輩 下 生 及 下 輩 三 品 生 者 是 
T47n1963_001:0085a01	也。如中品下生經云。孝養父母。行世仁慈。遇	也 如 中 品 下 生 經 云 孝 養 父 母 行 世 仁 慈 遇 
T47n1963_001:0085a02	善知識。為說四十八大願等。於此願中。雜聞	善 知 識 為 說 四 十 八 大 願 等 於 此 願 中 雜 聞 
T47n1963_001:0085a03	大小乘。至彼雖悟阿羅漢果。後乃迴心向大	大 小 乘 至 彼 雖 悟 阿羅漢果 後 乃 迴心向大 
T47n1963_001:0085a04	乘也。下輩三人。亦聞四十八大願。或聞十二	乘 也 下 輩 三 人 亦 聞 四 十 八 大 願 或 聞 十 二 
T47n1963_001:0085a05	部經。或念阿彌陀佛。生到彼土。皆發菩提心	部 經 或 念 阿 彌 陀 佛 生 到 彼 土 皆 發菩提心 
T47n1963_001:0085a06	也。麁論有此三土。若委曲分別者。眾生起行。	也 麁 論 有 此 三 土 若 委 曲 分 別 者 眾 生 起 行 
T47n1963_001:0085a07	既有千殊。往生見土。亦有萬別也。若作此解	既 有 千 殊 往 生 見 土 亦 有 萬 別 也 若 作 此 解 
T47n1963_001:0085a08	者。諸經論中。或判為報。或判為化。皆無妨	者 諸 經 論 中 或 判 為 報 或 判 為 化 皆 無 妨 
T47n1963_001:0085a09	難也。但知諸佛修行。具感報化二土也。如攝	難 也 但 知 諸 佛 修 行 具 感 報 化 二 土 也 如 攝 
T47n1963_001:0085a10	論。加行感化。正體感報。若報若化。皆欲成就	論 加 行 感 化 正 體 感 報 若 報 若 化 皆 欲 成 就 
T47n1963_001:0085a11	眾生。此則土不虛設。行不空修。但信佛語。	眾 生 此 則 土 不 虛 設 行 不 空 修 但 信 佛 語 
T47n1963_001:0085a12	依經專念。即得往生。亦不須圖度報之與化	依 經 專 念 即 得 往 生 亦 不 須 圖 度 報 之 與 化 
T47n1963_001:0085a13	也。	也 
T47n1963_001:0085a14	問曰。法身淨土。理遍可知。報化二土。應有封	問 曰 法 身 淨 土 理 遍 可 知 報 化 二 土 應 有 封 
T47n1963_001:0085a15	疆。西方既具有報化土。據何文證。	疆 西 方 既 具 有 報 化 土 據 何 文 證 
T47n1963_001:0085a16	答曰。報化二土。或有封疆。或無封疆。如報土	答 曰 報 化 二 土 或 有 封 疆 或 無 封 疆 如 報 土 
T47n1963_001:0085a17	中實報土者。即無封疆。謂如來行圓八萬。時	中 實 報 土 者 即 無 封 疆 謂 如 來 行 圓 八 萬 時 
T47n1963_001:0085a18	滿三僧祇。二教獨備。五分明顯。相窮海渧。好	滿 三 僧 祇 二 教 獨 備 五 分 明 顯 相 窮 海 渧 好 
T47n1963_001:0085a19	盡岳塵。三明既朗。二智雙照。其猶龍吟雲應	盡 岳 塵 三 明 既 朗 二 智 雙 照 其 猶 龍 吟 雲 應 
T47n1963_001:0085a20	虎嘯風隨。寧得以殊寶飾。不可以封疆限。此	虎 嘯 風 隨 寧 得 以 殊 寶 飾 不 可 以 封 疆 限 此 
T47n1963_001:0085a21	土唯佛自矚其美。菩薩未之寓目也。事報土	土 唯 佛 自 矚 其 美 菩 薩 未 之 寓 目 也 事 報 土 
T47n1963_001:0085a22	者。謂下擎金剛之柱。上瑩瑠璃之地。外圍七	者 謂 下 擎 金 剛 之 柱 上 瑩 瑠 璃 之 地 外 圍 七 
T47n1963_001:0085a23	寶欄楯。內盈八德清池。珠寶筏於翠林。寶網	寶 欄 楯 內 盈 八 德 清 池 珠 寶 筏 於 翠 林 寶 網 
T47n1963_001:0085a24	絡於綺殿。既是身充萬德。亦乃土盈眾美。如	絡 於 綺 殿 既 是 身 充 萬 德 亦 乃 土 盈 眾 美 如 
T47n1963_001:0085a25	此土者。即有封疆也。化土之中。據大悲願力。	此 土 者 即 有 封 疆 也 化 土 之 中 據 大 悲 願 力 
T47n1963_001:0085a26	等眾生界。無所不遍。則無封疆。若據身為化	等 眾 生 界 無 所 不 遍 則 無 封 疆 若 據 身 為 化 
T47n1963_001:0085a27	眾生。新新生世。數數涅槃。則有封疆也。而西	眾 生 新 新 生 世 數 數 涅 槃 則 有 封 疆 也 而 西 
T47n1963_001:0085a28	方是報土者。出大乘同性經。經云。智通菩薩	方 是 報 土 者 出 大 乘 同 性 經 經 云 智 通 菩 薩 
T47n1963_001:0085a29	問佛世尊。何等是如來報身。佛言。如汝現見	問 佛 世 尊 何 等 是 如 來 報 身 佛 言 如 汝 現 見 
T47n1963_001:0085b01	我者。此是如來報身。復有清淨剎中。取正覺。	我 者 此 是 如 來 報 身 復 有 清 淨 剎 中 取 正 覺 
T47n1963_001:0085b02	及當成正覺者。彼等一切皆是報身。釋曰。淨	及 當 成 正 覺 者 彼 等 一 切 皆 是 報 身 釋 曰 淨 
T47n1963_001:0085b03	土中成佛。作判為報者。是受用身。非實報身	土 中 成 佛 作 判 為 報 者 是 受 用 身 非 實 報 身 
T47n1963_001:0085b04	也。若作化身。即是細化身也。經云。汝現見我	也 若 作 化 身 即 是 細 化 身 也 經 云 汝 現 見 我 
T47n1963_001:0085b05	者。是報身者。即穢土中亦見報也。即此經云。	者 是 報 身 者 即 穢 土 中 亦 見 報 也 即 此 經 云 
T47n1963_001:0085b06	五濁中成佛。有正法像法末法。是應化身也。	五 濁 中 成 佛 有 正 法 像 法 末 法 是 應 化 身 也 
T47n1963_001:0085b07	經判穢土中成佛皆是化身。而復言汝現見	經 判 穢 土 中 成 佛 皆 是 化 身 而 復 言 汝 現 見 
T47n1963_001:0085b08	我者。是報身。既穢土中得見報身者。何故淨	我 者 是 報 身 既 穢 土 中 得 見 報 身 者 何 故 淨 
T47n1963_001:0085b09	土中不得見化身也。故知淨穢二土皆具兩	土 中 不 得 見 化 身 也 故 知 淨 穢 二 土 皆 具 兩 
T47n1963_001:0085b10	身也。言是化土者。出觀世音受記經。經云。善	身 也 言 是 化 土 者 出 觀 世 音 受 記 經 經 云 善 
T47n1963_001:0085b11	男子。阿彌陀佛壽命無量。百千億劫當有終	男 子 阿 彌 陀 佛 壽 命 無 量 百 千 億 劫 當 有 終 
T47n1963_001:0085b12	極。佛涅槃後。正法住世。等佛壽命。善男子。	極 佛 涅 槃 後 正法住世 等 佛 壽 命 善 男 子 
T47n1963_001:0085b13	阿彌陀佛正法滅後。過中夜分。明相出時。觀	阿 彌 陀 佛 正 法 滅 後 過 中 夜 分 明 相 出 時 觀 
T47n1963_001:0085b14	世音菩薩。於菩提樹下。成等正覺。號普光功	世 音 菩 薩 於 菩提樹下 成等正覺 號 普 光 功 
T47n1963_001:0085b15	德山王如來。其佛國土無有聲聞緣覺之名。	德 山 王 如 來 其 佛 國 土 無 有 聲 聞 緣 覺 之 名 
T47n1963_001:0085b16	其佛國土號眾寶普集莊嚴。普光功德如來	其 佛 國 土 號 眾 寶 普 集 莊 嚴 普 光 功 德 如 來 
T47n1963_001:0085b17	涅槃正法滅後。大勢至菩薩。即於其國成佛。	涅 槃 正 法 滅 後 大 勢 至 菩 薩 即 於 其 國 成 佛 
T47n1963_001:0085b18	號善住寶王如來。國土光明壽命。乃至法住。	號 善 住 寶 王 如 來 國 土 光 明 壽 命 乃 至 法 住 
T47n1963_001:0085b19	等無有異。又出鼓音聲王陀羅尼經。阿彌陀	等無有異 又 出 鼓 音 聲 王 陀 羅 尼 經 阿 彌 陀 
