T18n0900_001:0781c22	十八契印	十 八 契 印 
T18n0900_001:0782a27	由結此印及誦真言故。即警覺觀自在菩薩	由 結 此 印 及 誦 真 言 故 即 警 覺 觀 自 在 菩 薩 
T18n0900_001:0782a28	等持蓮華部聖眾。悉皆歡喜加持護念。一切	等 持 蓮 華 部 聖 眾 悉 皆 歡 喜 加 持 護 念 一 切 
T18n0900_001:0782a29	菩薩光明照觸。所有業障皆得除滅。一切菩	菩薩光明 照 觸 所 有 業 障 皆 得 除 滅 一 切 菩 
T18n0900_001:0782b01	薩常為善友。	薩 常 為 善 友 
T18n0900_001:0782b02	次結金剛部三昧耶印　以左手翻掌向外。	次 結 金 剛 部 三 昧 耶 印 以 左 手 翻 掌 向 外 
T18n0900_001:0782b03	以右手掌背安左手背。用左右大指小指。互	以 右 手 掌 背 安 左 手 背 用 左 右 大 指 小 指 互 
T18n0900_001:0782b04	相鉤如金剛杵形。安置於當心想金剛手菩	相 鉤 如 金 剛 杵 形 安 置 於 當 心 想 金 剛 手 菩 
T18n0900_001:0782b05	薩。誦真言七遍。頂上左散之。真言曰。唵嚩	薩 誦 真 言 七 遍 頂 上 左 散 之 真 言 曰 唵 嚩 
T18n0900_001:0782b06	日盧(二合)納婆(二合)嚩(引)也娑嚩(二合)訶(引)	日 盧 二 合 納 婆 二 合 嚩 引 也 娑 嚩 二 合 訶 引 
T18n0900_001:0782b07	由結此印及誦真言故。即警覺一切金剛部	由 結 此 印 及 誦 真 言 故 即 警 覺 一 切 金 剛 部 
T18n0900_001:0782b08	聖眾。加持擁護。所有罪障皆悉除滅。一切	聖 眾 加 持 擁 護 所 有 罪 障 皆 悉 除 滅 一 切 
T18n0900_001:0782b09	病苦痛不著身。當得金剛堅固之體。	病 苦 痛 不 著 身 當 得 金剛堅固 之 體 
T18n0900_001:0782b10	次結護身三昧耶　以二手內相叉右押左。	次 結 護 身 三 昧 耶 以 二 手 內 相 叉 右 押 左 
T18n0900_001:0782b11	竪二手中指。屈二頭指如鉤形。於中指背勿	竪 二 手 中 指 屈 二 頭 指 如 鉤 形 於 中 指 背 勿 
T18n0900_001:0782b12	令相著。並二大指押無名指即成。印身五處。	令 相 著 並 二 大 指 押 無 名 指 即 成 印 身 五 處 
T18n0900_001:0782b13	所謂額。次右肩。次左肩。次心。次喉。於頂上	所 謂 額 次 右 肩 次 左 肩 次 心 次 喉 於 頂 上 
T18n0900_001:0782b14	散。各誦真言一遍。真言曰。	散 各 誦 真 言 一 遍 真 言 曰 
T18n0900_001:0782b15	唵嚩日羅(二合)銀儞(二合)鉢囉(二合引)捻跛跢(二合引)	唵 嚩 日 羅 二 合 銀 儞 二 合 鉢 囉 二 合 引 捻 跛 跢 二 合 引 
T18n0900_001:0782b16	也娑嚩(二合)訶(引)	也 娑 嚩 二 合 訶 引 
T18n0900_001:0782b17	由結此印及誦真言加持故即成被金剛甲	由 結 此 印 及 誦 真 言 加 持 故 即 成 被 金 剛 甲 
T18n0900_001:0782b18	冑。所有毘那夜迦及諸天魔。作障礙者退散	冑 所 有 毘 那 夜 迦 及 諸 天 魔 作 障 礙 者 退 散 
T18n0900_001:0782b19	馳走。悉是見行者光明被身威德自在。若居	馳 走 悉 是 見 行 者 光 明 被 身 威德自在 若 居 
T18n0900_001:0782b20	山林及在險難皆悉無畏。水火等災一切厄	山 林 及 在 險 難 皆 悉 無 畏 水 火 等 災 一 切 厄 
T18n0900_001:0782b21	難。虎狼獅子刀杖枷鎖如是等事皆悉消滅。	難 虎 狼 獅 子 刀 杖 枷 鎖 如 是 等 事 皆 悉 消 滅 
T18n0900_001:0782b22	見者歡喜命終已後不墮惡趣。當生諸佛淨	見 者 歡 喜 命 終 已 後 不 墮 惡 趣 當 生 諸 佛 淨 
T18n0900_001:0782b23	妙國土。	妙 國 土 
T18n0900_001:0782b24	次結地界真言印　右無名指入左無名指小	次 結 地 界 真 言 印 右 無 名 指 入 左 無 名 指 小 
T18n0900_001:0782b25	指內。右中指入左中指頭指內。左亦如之。	指 內 右 中 指 入 左 中 指 頭 指 內 左 亦 如 之 
T18n0900_001:0782b26	餘指並頭相拄。即想印成火焰金剛杵形。以	餘 指 並 頭 相 拄 即 想 印 成 火 焰 金 剛 杵 形 以 
T18n0900_001:0782b27	大指著地掣之。一掣一誦至三便止。隨意大	大 指 著 地 掣 之 一 掣 一 誦 至 三 便 止 隨 意 大 
T18n0900_001:0782b28	小標心。即成堅固地界。真言曰。	小 標 心 即 成 堅 固 地 界 真 言 曰 
T18n0900_001:0782b29	唵枳里枳里縛日羅(二合引)縛日里(二合)部律(二合半音)	唵 枳 里 枳 里 縛 日 羅 二 合 引 縛 日 里 二 合 部 律 二 合 半 音 
T18n0900_001:0782c01	滿馱滿駄吽發吒(半音)	滿 馱 滿 駄 吽 發 吒 半 音 
T18n0900_001:0782c02	由結此印及誦真言加持地界故。下至水際	由 結 此 印 及 誦 真 言 加 持 地 界 故 下 至 水 際 
T18n0900_001:0782c03	如金剛座。天魔及諸障者不為惱害。少加功	如 金 剛 座 天 魔 及 諸 障 者 不 為 惱 害 少 加 功 
T18n0900_001:0782c04	力速得成就。	力 速 得 成 就 
T18n0900_001:0782c05	次結方隅金剛牆真言印　準前地界印。開	次 結 方 隅 金 剛 牆 真 言 印 準 前 地 界 印 開 
T18n0900_001:0782c06	二大指竪之側如牆形。想印如金剛杵形。右	二 大 指 竪 之 側 如 牆 形 想 印 如 金 剛 杵 形 右 
T18n0900_001:0782c07	遶身三轉標心大小。即成金剛堅固之城。諸	遶 身 三 轉 標 心 大 小 即 成 金剛堅固 之 城 諸 
T18n0900_001:0782c08	佛菩薩尚不違越。何況諸餘難調伏者。毘那	佛 菩 薩 尚 不 違 越 何 況 諸 餘 難 調 伏 者 毘 那 
T18n0900_001:0782c09	夜迦。及毒蟲利牙爪者不能輔近。真言曰。	夜 迦 及 毒 蟲 利 牙 爪 者 不 能 輔 近 真 言 曰 
T18n0900_001:0782c10	唵薩羅薩羅縛日羅(二合)鉢羅(二合)迦(引)羅吽(引)	唵 薩 羅 薩 羅 縛 日 羅 二 合 鉢 羅 二 合 迦 引 羅 吽 引 
T18n0900_001:0782c11	發吒(半音)行者次應想。於壇中八葉大蓮華	發 吒 半 音 行 者 次 應 想 於 壇 中 八 葉 大 蓮 華 
T18n0900_001:0782c12	上有獅子座。座上有七寶樓閣。垂諸瓔珞繒	上 有 獅 子 座 座 上 有 七 寶 樓 閣 垂 諸 瓔 珞 繒 
T18n0900_001:0782c13	綵幡蓋寶柱行列。垂妙天衣周布香雲。普雨	綵 幡 蓋 寶 柱 行 列 垂 妙 天 衣 周 布 香 雲 普 雨 
T18n0900_001:0782c14	雜花奏諸音樂。寶瓶閼伽天妙飲食摩尼為	雜 花 奏 諸 音 樂 寶 瓶 閼 伽 天 妙 飲 食 摩 尼 為 
T18n0900_001:0782c15	燈作此觀已而誦此偈。	燈 作 此 觀 已 而 誦 此 偈 
T18n0900_001:0782c16	　以我功德力　　如來加持力	 以 我 功 德 力 如 來 加 持 力 
T18n0900_001:0782c17	　及以法界力　　普供養而住	 及 以 法 界 力 普 供 養 而 住 
T18n0900_001:0782c18	說此偈已。	說 此 偈 已 
T18n0900_001:0782c19	次結大虛空藏普通供養印　以二手合掌。	次 結 大 虛 空 藏 普 通 供 養 印 以 二 手 合 掌 
T18n0900_001:0782c20	以二中指外相叉。以二頭指相柱。反蹙如寶	以 二 中 指 外 相 叉 以 二 頭 指 相 柱 反 蹙 如 寶 
T18n0900_001:0782c21	形。結印成已誦真言四遍。普通供養真言曰。	形 結 印 成 已 誦 真 言 四 遍 普 通 供 養 真 言 曰 
T18n0900_001:0782c22	唵誐誐曩三(去)婆(去)	唵 誐 誐 曩 三 去 婆 去 
T18n0900_001:0782c23	由誦此真言加持故。所想供養供具真實無	由 誦 此 真 言 加 持 故 所 想 供 養 供 具 真 實 無 
T18n0900_001:0782c24	異。一切賢聖眾皆得受用。	異 一 切 賢 聖 眾 皆 得 受 用 
T18n0900_001:0782c25	次應結寶車輅印　二手內相叉仰掌。頭指	次 應 結 寶 車 輅 印 二 手 內 相 叉 仰 掌 頭 指 
T18n0900_001:0782c26	橫相柱。以二大指各捻頭指根下。想七寶車	橫 相 柱 以 二 大 指 各 捻 頭 指 根 下 想 七 寶 車 
T18n0900_001:0782c27	輅金剛駕御寶車。乘空而去至於本尊極	輅 金 剛 駕 御 寶 車 乘 空 而 去 至 於 本 尊 極 
T18n0900_001:0782c28	樂世界。誦真言三遍。真言曰。唵都嚕都嚕	樂 世 界 誦 真 言 三 遍 真 言 曰 唵 都 嚕 都 嚕 
T18n0900_001:0782c29	吽	吽 
T18n0900_001:0783a01	由此真言印加持故。七寶車輅至本尊國土。	由 此 真 言 印 加 持 故 七 寶 車 輅 至 本 尊 國 土 
T18n0900_001:0783a02	想本尊及諸聖眾眷屬圍繞乘寶車輅。至於	想 本 尊 及 諸 聖 眾 眷 屬 圍 繞 乘 寶 車 輅 至 於 
T18n0900_001:0783a03	道場虛空而住。	道 場 虛 空 而 住 
T18n0900_001:0783a04	次結請車輅印　準前印。以大指向身。撥中	次 結 請 車 輅 印 準 前 印 以 大 指 向 身 撥 中 
T18n0900_001:0783a05	指頭。誦真言三遍。真言曰。娜麼悉底羅野	指 頭 誦 真 言 三 遍 真 言 曰 娜 麼 悉 底 羅 野 
T18n0900_001:0783a06	(四合)地尾(二合)迦(引)喃(引)(一)怛他(引)蘖多(引)南(引)(二)	 四 合 地 尾 二 合 迦 引 喃 引 一 怛 他 引 蘖 多 引 南 引 二 
T18n0900_001:0783a07	唵嚩日朗(二合)銀儞野(二合引)羯利沙(二合)也娑嚩	唵 嚩 日 朗 二 合 銀 儞 野 二 合 引 羯 利 沙 二 合 也 娑 嚩 
T18n0900_001:0783a08	(二合引)訶(引)	 二 合 引 訶 引 
T18n0900_001:0783a09	由結此真言印加持故。聖眾從本土來至道	由 結 此 真 言 印 加 持 故 聖 眾 從 本 土 來 至 道 
T18n0900_001:0783a10	場空中而住。	場 空 中 而 住 
T18n0900_001:0783a11	次結請本尊三昧耶降至於道場印。二手內	次 結 請 本 尊 三 昧 耶 降 至 於 道 場 印 二 手 內 
T18n0900_001:0783a12	相叉作拳。左大母指入掌。次右大母指向身	相 叉 作 拳 左 大 母 指 入 掌 次 右 大 母 指 向 身 
T18n0900_001:0783a13	招之真言曰。	招 之 真 言 曰 
T18n0900_001:0783a14	唵爾曩爾迦(半音)唵阿盧力迦(半音)唵嚩日羅特	唵 爾 曩 爾 迦 半 音 唵 阿 盧 力 迦 半 音 唵 嚩 日 羅 特 
T18n0900_001:0783a15	勒迦(半音)阿蘖車阿蘖車娑嚩(二合)訶	勒 迦 半 音 阿 蘖 車 阿 蘖 車 娑 嚩 二 合 訶 
T18n0900_001:0783a16	由此真言印加持故。本尊不越本誓故。即赴	由 此 真 言 印 加 持 故 本 尊 不 越 本 誓 故 即 赴 
T18n0900_001:0783a17	集於道場。	集 於 道 場 
T18n0900_001:0783a18	次應辟除諸作障者。結蓮華部明王馬頭觀	次 應 辟 除 諸 作 障 者 結 蓮 華 部 明 王 馬 頭 觀 
T18n0900_001:0783a19	自在菩薩真言印。二手合掌。屈二頭指二無	自 在 菩 薩 真 言 印 二 手 合 掌 屈 二 頭 指 二 無 
T18n0900_001:0783a20	名指。於掌內甲相背。竪開二大指。以印左轉	名 指 於 掌 內 甲 相 背 竪 開 二 大 指 以 印 左 轉 
T18n0900_001:0783a21	三匝。心想辟除諸作障者。一切諸魔見此印	三 匝 心 想 辟 除 諸 作 障 者 一 切 諸 魔 見 此 印 
T18n0900_001:0783a22	已。退散馳走。以印右旋三匝。即成堅固火界。	已 退 散 馳 走 以 印 右 旋 三 匝 即 成 堅 固 火 界 
T18n0900_001:0783a23	真言曰。	真 言 曰 
T18n0900_001:0783a24	唵阿蜜里(二合)都納皤(二合)嚩吽發吒(半音)娑嚩	唵 阿 蜜 里 二 合 都 納 皤 二 合 嚩 吽 發 吒 半 音 娑 嚩 
T18n0900_001:0783a25	(二合)訶	 二 合 訶 
T18n0900_001:0783a26	次結上方金剛網印　準前牆印二大指捻	次 結 上 方 金 剛 網 印 準 前 牆 印 二 大 指 捻 
T18n0900_001:0783a27	二頭指下節。誦真言三遍。頭上右轉三匝便	二 頭 指 下 節 誦 真 言 三 遍 頭 上 右 轉 三 匝 便 
T18n0900_001:0783a28	止。真言曰。	止 真 言 曰 
T18n0900_001:0783a29	唵尾娑普(二合)羅捺落(二合)乞叉(二合)嚩日羅(二合)	唵 尾 娑 普 二 合 羅 捺 落 二 合 乞 叉 二 合 嚩 日 羅 二 合 
T18n0900_001:0783b01	半惹羅吽發吒	半 惹 羅 吽 發 吒 
T18n0900_001:0783b02	由此網印真言加持故。即成金剛堅固不壞	由 此 網 印 真 言 加 持 故 即 成 金剛堅固 不 壞 
T18n0900_001:0783b03	之網。	之 網 
T18n0900_001:0783b04	次結火院密縫印　以左手掩右手背。竪二	次 結 火 院 密 縫 印 以 左 手 掩 右 手 背 竪 二 
T18n0900_001:0783b05	大指誦真言三遍。右繞身三匝。想金剛牆外	大 指 誦 真 言 三 遍 右 繞 身 三 匝 想 金 剛 牆 外 
T18n0900_001:0783b06	火院圍繞。真言曰。	火 院 圍 繞 真 言 曰 
T18n0900_001:0783b07	唵阿三莽擬儞(二合)吽發吒	唵 阿 三 莽 擬 儞 二 合 吽 發 吒 
T18n0900_001:0783b08	次獻閼伽香水真言印　二手捧器。想浴聖	次 獻 閼 伽 香 水 真 言 印 二 手 捧 器 想 浴 聖 
T18n0900_001:0783b09	眾足。誦真言三遍。真言曰。	眾 足 誦 真 言 三 遍 真 言 曰 
T18n0900_001:0783b10	曩莫三滿多沒馱(引)南(引)誐誐曩娑莽(引)娑	曩 莫 三 滿 多 沒 馱 引 南 引 誐 誐 曩 娑 莽 引 娑 
T18n0900_001:0783b11	莽娑嚩(二合引)訶(引)由獻閼伽香水故。行者三	莽 娑 嚩 二 合 引 訶 引 由 獻 閼 伽 香 水 故 行 者 三 
T18n0900_001:0783b12	業清淨洗滌煩惱垢。	業 清 淨 洗 滌 煩 惱 垢 
T18n0900_001:0783b13	次結獻蓮華座印　二手虛心合掌。舒開左	次 結 獻 蓮 華 座 印 二 手 虛 心 合 掌 舒 開 左 
T18n0900_001:0783b14	右無名指中指頭指屈如微敷蓮華形。在寶	右 無 名 指 中 指 頭 指 屈 如 微 敷 蓮 華 形 在 寶 
T18n0900_001:0783b15	樓閣內。想諸聖眾及本尊各坐本位。眷屬圍	樓 閣 內 想 諸 聖 眾 及 本 尊 各 坐 本 位 眷 屬 圍 
T18n0900_001:0783b16	繞了了分明。誦真言三遍。真言曰。唵迦麼	繞 了 了 分 明 誦 真 言 三 遍 真 言 曰 唵 迦 麼 
T18n0900_001:0783b17	攞娑嚩(二合引)訶(引)	攞 娑 嚩 二 合 引 訶 引 
T18n0900_001:0783b18	由結花座印誦真言故。行者當得十地滿足。	由 結 花 座 印 誦 真 言 故 行 者 當 得 十 地 滿 足 
T18n0900_001:0783b19	當得金剛之座。	當 得 金 剛 之 座 
T18n0900_001:0783b20	次結普供養印　二手合掌。以右押左交指	次 結 普 供 養 印 二 手 合 掌 以 右 押 左 交 指 
T18n0900_001:0783b21	即成。誦真言三遍。想無量無邊塗香雲海花	即 成 誦 真 言 三 遍 想 無量無邊 塗 香 雲 海 花 
T18n0900_001:0783b22	鬘雲海燒香雲海飲食燈明等雲海。皆成清	鬘 雲 海 燒 香 雲 海 飲 食 燈 明 等 雲 海 皆 成 清 
T18n0900_001:0783b23	淨廣多供養普供養。真言曰。	淨 廣 多 供 養 普 供 養 真 言 曰 
T18n0900_001:0783b24	曩莫三滿多沒馱(引)南薩縛他(引)欠搵娜蘖底	曩 莫 三 滿 多 沒 馱 引 南 薩 縛 他 引 欠 搵 娜 蘖 底 
T18n0900_001:0783b25	娑頗(二合)羅呬[牟*含]誐誐曩(引)劍娑嚩(二合)訶(引)	娑 頗 二 合 羅 呬 [牟含] 誐 誐 曩 引 劍 娑 嚩 二 合 訶 引 
T18n0900_001:0783b26	十八契印者。傳云惠果和尚製。或云弘法大	十 八 契 印 者 傳 云 惠 果 和 尚 製 或 云 弘 法 大 
T18n0900_001:0783b27	師作。今按三十帖冊子目錄云。大聖歡喜天	師 作 今 按 三 十 帖 冊 子 目 錄 云 大聖歡喜天 
T18n0900_001:0783b28	經一卷(不空譯末有十八道頸次第)。又云。梵字十八道真言。以	經 一 卷 不 空 譯 末 有 十 八 道 頸 次 第 又 云 梵 字 十 八 道 真 言 以 
T18n0900_001:0783b29	此思之。大師據件二本記之乎。	此 思 之 大 師 據 件 二 本 記 之 乎 
T18n0900_001:0783c01	十八契印生起略頌(就生起意)。	十 八 契 印 生 起 略 頌 就 生 起 意 
T18n0900_001:0783c02	　一莊嚴行者五種　　淨佛蓮金及被甲	 一 莊 嚴 行 者 五 種 淨 佛 蓮 金 及 被 甲 
T18n0900_001:0783c03	　二者結界法二種　　一地結二金剛牆	 二 者 結 界 法 二 種 一 地 結 二 金 剛 牆 
T18n0900_001:0783c04	　三者莊嚴道場二　　道場虛空普供養	 三 者 莊 嚴 道 場 二 道 場 虛 空 普 供 養 
T18n0900_001:0783c05	　四者勸請法三種　　送車請車亦奉請	 四 者 勸 請 法 三 種 送 車 請 車 亦 奉 請 
T18n0900_001:0783c06	　五者結護法三種　　當部明王網火院	 五 者 結 護 法 三 種 當 部 明 王 網 火 院 
T18n0900_001:0783c07	　六者供養法三種　　閼伽花座普供養	 六 者 供 養 法 三 種 閼 伽 花 座 普 供 養 
T18n0900_001:0783c08	　初二供養別供也　　唯別奉獻本尊供	 初 二 供 養 別 供 也 唯 別 奉 獻 本 尊 供 
T18n0900_001:0783c09	　後一供養總供也　　獻本尊及諸聖眾	 後 一 供 養 總 供 也 獻 本 尊 及 諸 聖 眾 
T18n0900_001:0783c10	　總六別十八軌則　　是名十八契印耳	 總 六 別 十 八 軌 則 是 名 十 八 契 印 耳 
T18n0900_001:0783c11	　生起次第如何者　　欲入祕密總持門	 生 起 次 第 如 何 者 欲 入 祕 密 總 持 門 
T18n0900_001:0783c12	　先須調淨莊嚴身　　既身調淨莊嚴者	 先 須 調 淨 莊 嚴 身 既 身 調 淨 莊 嚴 者 
T18n0900_001:0783c13	　亦應加持淨界地　　既界地加持事修者	 亦 應 加 持 淨 界 地 既 界 地 加 持 事 修 者 
T18n0900_001:0783c14	　當須莊嚴於道場　　既亦道場莊嚴者	 當 須 莊 嚴 於 道 場 既 亦 道 場 莊 嚴 者 
T18n0900_001:0783c15	　應請本尊大聖尊　　既得奉請聖尊者	 應 請 本 尊 大 聖 尊 既 得 奉 請 聖 尊 者 
T18n0900_001:0783c16	　勇猛精進結護法　　結護內外無障礙	 勇猛精進 結 護 法 結 護 內 外 無 障 礙 
