T34n1725_001:0870c07	法華宗要	法 華 宗 要 
T34n1725_001:0871a15	作是念。一切世界中少智眾生愚癡瘖瘂無	作 是 念 一切世界 中 少 智 眾 生 愚 癡 瘖 瘂 無 
T34n1725_001:0871a16	涅槃分不生信心者。□□菩薩之所棄捨。如	涅 槃 分 不生信心 者 菩 薩 之 所 棄 捨 如 
T34n1725_001:0871a17	是眾生我皆調伏乃至坐於道場得阿耨菩	是 眾 生 我 皆 調 伏 乃 至 坐 於 道 場 得 阿 耨 菩 
T34n1725_001:0871a18	提。發此心時。魔宮震動。又言。菩薩成佛眾願	提 發 此 心 時 魔 宮 震 動 又 言 菩 薩 成 佛 眾 願 
T34n1725_001:0871a19	滿足。方便品說。三世諸佛但教化菩薩。譬喻	滿 足 方 便 品 說 三世諸佛 但 教 化 菩 薩 譬 喻 
T34n1725_001:0871a20	品云。一切眾生皆是吾子故。又言。諸法從本	品 云 一 切 眾 生 皆 是 吾 子 故 又 言 諸 法 從 本 
T34n1725_001:0871a21	來常自寂滅相。佛子□道已。來世得作佛。斯	來 常 自 寂 滅 相 佛 子 道 已 來 世 得 作 佛 斯 
T34n1725_001:0871a22	則無一眾生而非佛子。所以廣大。此眾生界	則 無 一 眾 生 而 非 佛 子 所 以 廣 大 此 眾 生 界 
T34n1725_001:0871a23	即涅槃界。是故甚深。如論說言。三界相者。謂	即 涅 槃 界 是 故 甚 深 如 論 說 言 三 界 相 者 謂 
T34n1725_001:0871a24	眾生界即涅槃界。不離眾生界有如來藏故。	眾 生 界 即 涅 槃 界 不 離 眾 生 界 有 如 來 藏 故 
T34n1725_001:0871a25	是謂能乘一佛乘人也。此一乘人所乘之法。	是 謂 能 乘 一 佛 乘 人 也 此 一 乘 人 所 乘 之 法 
T34n1725_001:0871a26	略而說之有四種。一謂一乘理及一乘教。一	略而說之 有 四 種 一 謂 一 乘 理 及 一 乘 教 一 
T34n1725_001:0871a27	乘之因一乘之果。一乘理者。謂一法界。亦名	乘 之 因 一 乘 之 果 一 乘 理 者 謂 一 法 界 亦 名 
T34n1725_001:0871a28	法身。名如來藏。如薩遮尼揵子經云。文殊師	法 身 名 如 來 藏 如 薩 遮 尼 揵 子 經 云 文 殊 師 
T34n1725_001:0871a29	利白佛言。若無三乘差別性者。何故如來說	利 白 佛 言 若 無 三 乘 差 別 性 者 何 故 如 來 說 
T34n1725_001:0871b01	三乘法。佛言。諸佛如來說三乘者。示地差別。	三 乘 法 佛 言 諸佛如來 說 三 乘 者 示 地 差 別 
T34n1725_001:0871b02	非乘差別。說人差別。非。乘差別諸佛如來說	非 乘 差 別 說 人 差 別 非 乘 差 別 諸佛如來 說 
T34n1725_001:0871b03	三乘者。示小功德知多功德。而佛法中無乘	三 乘 者 示 小 功 德 知 多 功 德 而 佛 法 中 無 乘 
T34n1725_001:0871b04	差別。何以故。以法界法無差別故。金光明經	差 別 何 以 故 以 法 界 法 無 差 別 故 金 光 明 經 
T34n1725_001:0871b05	言。法界無分別。是故無異乘。為度眾生故分	言 法 界 無 分 別 是 故 無 異 乘 為 度 眾 生 故 分 
T34n1725_001:0871b06	別說三乘。又此經言。諸佛如來能知彼法究	別 說 三 乘 又 此 經 言 諸佛如來 能 知 彼 法 究 
T34n1725_001:0871b07	竟實相。論釋此云。實相者。謂如來藏。法身之	竟 實 相 論 釋 此 云 實 相 者 謂 如 來 藏 法 身 之 
T34n1725_001:0871b08	體。不變相故。又下文言。同者。示諸佛如來法	體 不 變 相 故 又 下 文 言 同 者 示 諸佛如來 法 
T34n1725_001:0871b09	身之性同諸凡夫聲聞辟支佛等。法身平等	身 之 性 同 諸 凡 夫 聲 聞 辟 支 佛 等 法 身 平 等 
T34n1725_001:0871b10	無有差別故。案云。如來法身如來藏性。一切	無有差別 故 案 云 如來法身 如 來 藏 性 一 切 
T34n1725_001:0871b11	眾生平等所有。能運一切同歸本原。由是道	眾 生 平 等 所 有 能 運 一 切 同 歸 本 原 由 是 道 
T34n1725_001:0871b12	理無有異乘。故說此法為一乘性。如是名為	理 無 有 異 乘 故 說 此 法 為 一 乘 性 如 是 名 為 
T34n1725_001:0871b13	一乘理也。一乘教者。十方三世一切諸佛。從	一 乘 理 也 一 乘 教 者 十 方 三 世 一切諸佛 從 
T34n1725_001:0871b14	初成道乃至涅槃。其間所說一切言教。莫不	初 成 道 乃至涅槃 其 間 所 說 一 切 言 教 莫 不 
T34n1725_001:0871b15	令至一切智地。是故皆名為一乘教。如方便	令 至 一切智地 是 故 皆 名 為 一 乘 教 如 方 便 
T34n1725_001:0871b16	品言。是諸佛亦以無量無數方便。種種因緣	品 言 是 諸 佛 亦 以 無量無數 方 便 種種因緣 
T34n1725_001:0871b17	譬喻言辭。而為眾生演說諸法。是法皆為一	譬 喻 言 辭 而 為 眾 生 演 說 諸 法 是 法 皆 為 一 
T34n1725_001:0871b18	佛乘故。是諸眾生從佛聞法。究竟皆得一切	佛 乘 故 是 諸 眾 生 從 佛 聞 法 究 竟 皆 得 一 切 
T34n1725_001:0871b19	種智故。是教遍通十方三世。無量無邊。所以	種 智 故 是 教 遍 通 十 方 三 世 無量無邊 所 以 
T34n1725_001:0871b20	廣大。故一言一句皆為佛乘。一相一味。是故	廣 大 故 一 言 一 句 皆 為 佛 乘 一 相 一 味 是 故 
T34n1725_001:0871b21	甚深。如是名為一乘教也。一乘因者。總說有	甚 深 如 是 名 為 一 乘 教 也 一 乘 因 者 總 說 有 
T34n1725_001:0871b22	二。一者性因。二者作因。言性因者。一切眾生	二 一 者 性 因 二 者 作 因 言 性 因 者 一 切 眾 生 
T34n1725_001:0871b23	所有佛性為三身果而作因故。如常不輕菩	所 有 佛 性 為 三 身 果 而 作 因 故 如 常 不 輕 菩 
T34n1725_001:0871b24	薩品云。我不輕汝。汝等皆當作佛。論釋此言。	薩 品 云 我 不 輕 汝 汝 等 皆 當 作 佛 論 釋 此 言 
T34n1725_001:0871b25	示諸眾生皆有佛性故。又言。決定增上慢二	示 諸 眾 生 皆 有 佛 性 故 又 言 決 定 增 上 慢 二 
T34n1725_001:0871b26	種聲聞。根未熟故。佛不與授記。菩薩與授	種 聲 聞 根 未 熟 故 佛 不 與 授 記 菩 薩 與 授 
T34n1725_001:0871b27	記。菩薩與授記者。方便令發心故。當知依此	記 菩 薩 與 授 記 者 方 便 令 發 心 故 當 知 依 此 
T34n1725_001:0871b28	經意而說趣寂二乘無性有情皆有佛性悉當	經 意 而 說 趣 寂 二 乘 無 性 有 情 皆 有 佛 性 悉 當 
T34n1725_001:0871b29	作佛。言作因者。若聖若凡內道外道道分福	作 佛 言 作 因 者 若 聖 若 凡 內 道 外 道 道 分 福 
T34n1725_001:0871c01	分一切善根。莫不同至無上菩提。如下文言。	分 一 切 善 根 莫 不 同 至 無上菩提 如 下 文 言 
T34n1725_001:0871c02	或有人禮拜。或復但合掌。乃至舉一手。或復	或 有 人 禮 拜 或 復 但 合 掌 乃 至 舉 一 手 或 復 
T34n1725_001:0871c03	少傾頭。若人散亂心入於塔廟中一稱□無	少 傾 頭 若 人 散 亂 心 入 於 塔 廟 中 一 稱 無 
T34n1725_001:0871c04	佛皆已成佛道乃至廣說。本乘經言。凡聖一	佛 皆 已 成 佛 道 乃至廣說 本 乘 經 言 凡 聖 一 
T34n1725_001:0871c05	切善不受有漏果。唯受常住之果。大悲經言。	切 善 不 受 有 漏 果 唯 受 常 住 之 果 大 悲 經 言 
T34n1725_001:0871c06	佛告阿難。若人樂着三有果報。於佛福田若	佛 告 阿 難 若 人 樂 着 三 有 果 報 於 佛 福 田 若 
T34n1725_001:0871c07	行布施諸餘善根。願我世世莫入涅槃。以此	行 布 施 諸 餘 善 根 願 我 世 世 莫 入 涅 槃 以 此 
T34n1725_001:0871c08	善根不入涅槃。無有是處。是人雖不樂求涅	善 根 不入涅槃 無 有 是 處 是 人 雖 不 樂 求 涅 
T34n1725_001:0871c09	槃。然於佛所種諸善根。我說是人必入涅槃。	槃 然 於 佛 所 種 諸 善 根 我 說 是 人 必 入 涅 槃 
T34n1725_001:0871c10	尼健子經一乘品言。佛語文殊。我佛國□所	尼 健 子 經 一 乘 品 言 佛 語 文 殊 我 佛 國 所 
T34n1725_001:0871c11	有僧伽尼乾子等。皆是如來住持力故方便	有 僧 伽 尼 乾 子 等 皆 是 如 來 住 持 力 故 方 便 
T34n1725_001:0871c12	示現此諸外道。善男子等。雖行種種諸異學	示 現 此 諸 外 道 善 男 子 等 雖 行 種 種 諸 異 學 
T34n1725_001:0871c13	相。皆同佛法一橋梁度。更無餘度故。案云。依	相 皆 同 佛 法 一 橋 梁 度 更 無 餘 度 故 案 云 依 
T34n1725_001:0871c14	此等文。當知佛法五乘諸善及與外道種種	此 等 文 當 知 佛 法 五 乘 諸 善 及 與 外 道 種 種 
T34n1725_001:0871c15	異善。如是一切皆是一乘。皆依佛性無異體	異 善 如是一切 皆 是 一 乘 皆 依 佛 性 無 異 體 
T34n1725_001:0871c16	故。如法花論顯此義。云何體法者。謂理無二	故 如 法 花 論 顯 此 義 云 何 體 法 者 謂 理 無 二 
T34n1725_001:0871c17	體。無二體者。謂無量乘皆是一乘故。而下文	體 無 二 體 者 謂 無 量 乘 皆 是 一 乘 故 而 下 文 
T34n1725_001:0871c18	言汝等所行是菩薩道者。謂發菩提心退已	言 汝 等 所 行 是 菩 薩 道 者 謂 發菩提心 退 已 
T34n1725_001:0871c19	還發者前所修行善根不滅同後得果故。者	還 發 者 前 所 修 行 善 根 不 滅 同 後 得 果 故 者 
T34n1725_001:0871c20	為顯種子無上義故。旦約發心善根而說。非	為 顯 種 子 無 上 義 故 旦 約 發 心 善 根 而 說 非 
T34n1725_001:0871c21	謂餘善不得佛果。是故□違前所引文。由是	謂 餘 善 不 得 佛 果 是 故 違 前 所 引 文 由 是 
T34n1725_001:0871c22	言之。若凡若聖一切眾生內道外道一切善	言 之 若 凡 若 聖 一 切 眾 生 內 道 外 道 一 切 善 
T34n1725_001:0871c23	根。皆出佛性同歸本原。如是本來唯佛所窮。	根 皆 出 佛 性 同 歸 本 原 如 是 本 來 唯 佛 所 窮 
T34n1725_001:0871c24	以是義故廣大甚深。如是名為一乘因也。一	以是義故 廣大甚深 如 是 名 為 一 乘 因 也 一 
T34n1725_001:0871c25	乘果者。略說有二種。謂本有果及始起果。本	乘 果 者 略 說 有 二 種 謂 本 有 果 及 始 起 果 本 
T34n1725_001:0871c26	有果者。謂法佛菩提。如壽量品云。如來如實	有 果 者 謂 法 佛 菩 提 如 壽 量 品 云 如 來 如 實 
T34n1725_001:0871c27	知見。三界之相無有生死若退若出。亦無在	知 見 三 界 之 相 無 有 生 死 若 退 若 出 亦 無 在 
T34n1725_001:0871c28	世及滅度者。非實非虛非如非異。案云。此文	世 及 滅 度 者 非 實 非 虛 非 如 非 異 案 云 此 文 
T34n1725_001:0871c29	就一法界顯一果體。非有體故非實。非無體	就 一 法 界 顯 一 果 體 非 有 體 故 非 實 非 無 體 
T34n1725_001:0872a01	故非虛。非真諦故非如。非俗諦故非異。如本	故 非 虛 非 真 諦 故 非 如 非 俗 諦 故 非 異 如 本 
T34n1725_001:0872a02	乘經云。果體圓滿無德不備。無理不周。無名	乘 經 云 果 體 圓 滿 無 德 不 備 無 理 不 周 無 名 
T34n1725_001:0872a03	無相。非一切法可得。非有體非無體。乃至廣	無 相 非 一 切 法 可 得 非 有 體 非 無 體 乃 至 廣 
T34n1725_001:0872a04	說。又言。二體之外獨在無二故。是明法佛菩	說 又 言 二 體 之 外 獨 在 無 二 故 是 明 法 佛 菩 
T34n1725_001:0872a05	提果體。始起果者。謂餘二身。如論說言。報佛	提 果 體 始 起 果 者 謂 餘 二 身 如 論 說 言 報 佛 
T34n1725_001:0872a06	菩提者。十地行滿足得常涅槃證故。如經言。	菩 提 者 十 地 行 滿 足 得 常 涅 槃 證 故 如 經 言 
T34n1725_001:0872a07	我實成佛已來。無量無邊百千萬億那由他	我 實 成佛已來 無量無邊 百 千 萬 億 那 由 他 
T34n1725_001:0872a08	劫故。應化菩提者。隨所應見而為示現。謂出	劫 故 應 化 菩 提 者 隨 所 應 見 而 為 示 現 謂 出 
T34n1725_001:0872a09	釋宮樹下成道及與十方分身諸佛。如寶塔	釋 宮 樹 下 成 道 及 與 十 方 分 身 諸 佛 如 寶 塔 
T34n1725_001:0872a10	品之所廣明。總而言之。一切眾生皆修萬行	品 之 所 廣 明 總 而 言 之 一 切 眾 生 皆 修 萬 行 
T34n1725_001:0872a11	同得如是。□菩提果。是謂一乘一乘果也。如	同 得 如 是 菩 提 果 是 謂 一 乘 一 乘 果 也 如 
T34n1725_001:0872a12	方便品云。舍利弗當知。我本立誓願。欲令一	方 便 品 云 舍 利 弗 當 知 我 本 立 誓 願 欲 令 一 
T34n1725_001:0872a13	切眾如我等無異。如我昔所願。今者已滿足。	切 眾 如 我 等 無 異 如 我 昔 所 願 今 者 已 滿 足 
T34n1725_001:0872a14	化一切眾生皆令入佛道。案云。此文正明如	化 一 切 眾 生 皆 令 入 佛 道 案 云 此 文 正 明 如 
T34n1725_001:0872a15	來所願滿足。所以然者。遍化三世一切眾生。	來 所 願 滿 足 所 以 然 者 遍 化 三 世 一 切 眾 生 
T34n1725_001:0872a16	如應皆令得佛道故。如寶雲經云。譬如油鉢	如 應 皆 令 得 佛 道 故 如 寶 雲 經 云 譬 如 油 鉢 
T34n1725_001:0872a17	若已平滿更投一渧終不復受。菩薩成佛眾	若 已 平 滿 更 投 一 渧 終 不 復 受 菩 薩 成 佛 眾 
T34n1725_001:0872a18	願滿足亦復如是。更無減少一塵之願。大雲	願 滿 足 亦復如是 更 無 減 少 一 塵 之 願 大 雲 
T34n1725_001:0872a19	密藏藏經云。大雲密藏菩薩曰言世尊。唯願	密 藏 藏 經 云 大 雲 密 藏 菩 薩 曰 言 世 尊 唯 願 
T34n1725_001:0872a20	如來。為未來世薄福眾生。演說如是深進大	如 來 為 未 來 世 薄 福 眾 生 演 說 如 是 深 進 大 
T34n1725_001:0872a21	海水潮三昧。佛言。善男子。莫作是言。何以	海 水 潮 三 昧 佛 言 善 男 子 莫 作 是 言 何 以 
T34n1725_001:0872a22	故。佛出世難。此大雲經聞者亦難。云何偏為	故 佛 出 世 難 此 大 雲 經 聞 者 亦 難 云 何 偏 為 
T34n1725_001:0872a23	未來之。吾當遍為三世眾生廣門分別。花嚴	未 來 之 吾 當 遍 為 三 世 眾 生 廣 門 分 別 花 嚴 
T34n1725_001:0872a24	經云。如來轉法輪。於三世無不至。依此等文。	經 云 如 來 轉 法 輪 於 三 世 無 不 至 依 此 等 文 
T34n1725_001:0872a25	當知諸佛初成正覺。一念之頂遍化三世一	當 知 諸 佛 初 成 正 覺 一 念 之 頂 遍 化 三 世 一 
T34n1725_001:0872a26	切眾生。無一不成無上菩提。如昔所願已滿	切 眾 生 無 一 不 成 無上菩提 如 昔 所 願 已 滿 
T34n1725_001:0872a27	足故。設有一人不成菩提。如昔所願即不滿	足 故 設 有 一 人 不 成 菩 提 如 昔 所 願 即 不 滿 
T34n1725_001:0872a28	故。雖實皆度而無盡際。雖實無際而無不度。	故 雖 實 皆 度 而 無 盡 際 雖 實 無 際 而 無 不 度 
T34n1725_001:0872a29	以無限智力度無限眾生故。而此經下文言。	以 無 限 智 力 度 無 限 眾 生 故 而 此 經 下 文 言 
T34n1725_001:0872b01	我本行菩薩道所成壽命。今猶未盡復倍上	我 本 行菩薩道 所 成 壽 命 今 猶 未 盡 復 倍 上 
T34n1725_001:0872b02	數。論釋此云。我本行菩薩道今猶未滿者。以	數 論 釋 此 云 我 本 行菩薩道 今 猶 未 滿 者 以 
T34n1725_001:0872b03	本願故。眾生界未盡願非究竟。故言未滿。非	本 願 故 眾 生 界 未 盡 願 非 究 竟 故 言 未 滿 非 
T34n1725_001:0872b04	謂菩提不滿足故。所成壽命復位上數者。示	謂 菩 提 不 滿 足 故 所 成 壽 命 復 位 上 數 者 示 
T34n1725_001:0872b05	現如來常命方便。顯多過上數量不可數知	現 如 來 常 命 方 便 顯 多 過 上 數 量 不 可 數 知 
T34n1725_001:0872b06	故。此論意者。為明約今眾生未盡□如是時	故 此 論 意 者 為 明 約 今 眾 生 未 盡 如 是 時 
T34n1725_001:0872b07	本願未滿。非謂菩提已滿。而其本願未滿亦	本 願 未 滿 非 謂 菩 提 已 滿 而 其 本 願 未 滿 亦 
T34n1725_001:0872b08	非本願未滿。而說佛法已足。如花嚴經云。一	非 本 願 未 滿 而 說 佛 法 已 足 如 花 嚴 經 云 一 
T34n1725_001:0872b09	切眾生未成菩提。佛法未足。本願未滿。是故	切 眾 生 未 成 菩 提 佛 法 未 足 本 願 未 滿 是 故 
T34n1725_001:0872b10	當知願與菩提不滿。等則已滿則等滿。如是	當 知 願 與 菩 提 不 滿 等 則 已 滿 則 等 滿 如 是 
T34n1725_001:0872b11	名為一乘果也。合而言之。理教因果如是四	名 為 一 乘 果 也 合 而 言 之 理 教 因 果 如 是 四 
T34n1725_001:0872b12	法。更互相應共運一人到薩婆若。故說此四	法 更互相應 共 運 一 人 到 薩 婆 若 故 說 此 四 
T34n1725_001:0872b13	名一乘法。猶如四馬更互相應共作一運故	名 一 乘 法 猶 如 四 馬 更互相應 共 作 一 運 故 
T34n1725_001:0872b14	說四馬名為一乘。當知此中道理亦爾。問理	說 四 馬 名 為 一 乘 當 知 此 中 道 理 亦 爾 問 理 
T34n1725_001:0872b15	教及因共運眾生到薩婆若。此事可爾。果既	教 及 因 共 運 眾 生 到 薩 婆 若 此 事 可 爾 果 既 
T34n1725_001:0872b16	到究竟之處。云何與三共運眾生。解云。此有	到 究 竟 之 處 云 何 與 三 共 運 眾 生 解 云 此 有 
T34n1725_001:0872b17	四義。一者由未來世有佛果力。冥資眾生令	四 義 一 者 由 未 來 世 有 佛 果 力 冥 資 眾 生 令 
T34n1725_001:0872b18	生善心。如是展轉令至佛地。如涅槃經云以	生 善 心 如 是 展 轉 令 至 佛 地 如 涅 槃 經 云 以 
T34n1725_001:0872b19	現在世煩惱因緣能斷善根。未來佛性力因	現 在 世 煩 惱 因 緣 能 斷 善 根 未 來 佛 性 力 因 
T34n1725_001:0872b20	緣故還生善根故。二者當果報佛現諸應化化	緣 故 還 生 善 根 故 二 者 當 果 報 佛 現 諸 應 化 化 
T34n1725_001:0872b21	今眾生令得增進。如本乘經云。自見己身當	今 眾 生 令 得 增 進 如 本 乘 經 云 自 見 己 身 當 
T34n1725_001:0872b22	果。諸佛摩頂說法身心別行不可思議故。三	果 諸 佛 摩 頂 說 法 身 心 別 行 不可思議 故 三 
T34n1725_001:0872b23	者此經六處授記。記當得成阿耨菩提。由得	者 此 經 六 處 授 記 記 當 得 成 阿耨菩提 由 得 
T34n1725_001:0872b24	此記。策心進修當果屬彼□得運彼故。下文	此 記 策 心 進 修 當 果 屬 彼 得 運 彼 故 下 文 
T34n1725_001:0872b25	言。各賜諸子等一大車。四者此經中說一切	言 各 賜 諸 子 等 一 大 車 四 者 此 經 中 說 一 切 
T34n1725_001:0872b26	種智。無□不盡。無德不備。一切眾生同到此	種 智 無 不 盡 無 德 不 備 一 切 眾 生 同 到 此 
T34n1725_001:0872b27	果。眾生緣此能詮所詮發心。勝進逕四十心	果 眾 生 緣 此 能 詮 所 詮 發 心 勝 進 逕 四 十 心 
T34n1725_001:0872b28	遊戲神通化四生類。故說眾生乘於果乘。乘	遊戲神通 化 四 生 類 故 說 眾 生 乘 於 果 乘 乘 
T34n1725_001:0872b29	乘能運因地眾生。如下頌諸子是時歡喜踊	乘 能 運 因 地 眾 生 如 下 頌 諸 子 是 時 歡 喜 踊 
T34n1725_001:0872c01	躍乘是寶車遊於四方。由方是四義當知果	躍 乘 是 寶 車 遊 於 四 方 由 方 是 四 義 當 知 果 
T34n1725_001:0872c02	乘與餘三法共運一人。人人四法因緣和合	乘 與 餘 三 法 共 運 一 人 人 人 四 法 因緣和合 
T34n1725_001:0872c03	遠離諸邊不可破壞。除此更無若過若增。如	遠 離 諸 邊 不可破壞 除 此 更 無 若 過 若 增 如 
T34n1725_001:0872c04	是名為廣大甚深究竟一乘真實相也。所詮	是 名 為 廣大甚深 究 竟 一 乘 真 實 相 也 所 詮 
T34n1725_001:0872c05	之宗略述如是。	之 宗 略 述 如 是 
T34n1725_001:0872c06	第三明能詮用者。如法師品云。一切菩薩阿	第 三 明 能 詮 用 者 如 法 師 品 云 一切菩薩 阿 
T34n1725_001:0872c07	耨菩提皆屬此經。開方便門示真實相。此文	耨 菩 提 皆 屬 此 經 開 方 便 門 示 真 實 相 此 文 
T34n1725_001:0872c08	正明是經勝用。用有二種。謂開及示。開者開	正 明 是 經 勝 用 用 有 二 種 謂 開 及 示 開 者 開 
T34n1725_001:0872c09	於三乘方便之門。示者示於一乘真實之相。	於 三 乘 方 便 之 門 示 者 示 於 一 乘 真 實 之 相 
T34n1725_001:0872c10	總說雖然。於中有三。先開次示。第三合明開	總 說 雖 然 於 中 有 三 先 開 次 示 第 三 合 明 開 
T34n1725_001:0872c11	示之用。先明開義即有二種。謂所開之門及	示 之 用 先 明 開 義 即 有 二 種 謂 所 開 之 門 及 
T34n1725_001:0872c12	能開之用。所開之門即三乘教。此名方便略	能 開 之 用 所 開 之 門 即 三 乘 教 此 名 方 便 略 
T34n1725_001:0872c13	有四義。一者佛方便智之所說教。依主立名	有 四 義 一 者 佛 方 便 智 之 所 說 教 依 主 立 名 
T34n1725_001:0872c14	名方便教。二者即三乘教巧順三機。持乘作	名 方 便 教 二 者 即 三 乘 教 巧 順 三 機 持 乘 作 
T34n1725_001:0872c15	名名方便教。三者為一乘教作前方便。因是	名 名 方 便 教 三 者 為 一 乘 教 作 前 方 便 因 是 
T34n1725_001:0872c16	後說一乘正教。對後正教名為方便。四者於	後 說 一 乘 正 教 對 後 正 教 名 為 方 便 四 者 於 
T34n1725_001:0872c17	一乘理權說方便非真實說。是方便義對真	一 乘 理 權 說 方 便 非 真 實 說 是 方 便 義 對 真 
T34n1725_001:0872c18	實說名為方便。依此四義故名方便。此名為	實 說 名 為 方 便 依 此 四 義 故 名 方 便 此 名 為 
T34n1725_001:0872c19	門。有其二義。一者出義。諸子依此出三界故。	門 有 其 二 義 一 者 出 義 諸 子 依 此 出 三 界 故 
T34n1725_001:0872c20	二者入義。又依此教入一乘故。然門有二名。	二 者 入 義 又 依 此 教 入 一 乘 故 然 門 有 二 名 
