T48n2011_001:0377a15	最上乘論	最 上 乘 論 
T48n2011_001:0377c01	生死故則諸苦自現。心王經云。真如佛性沒	生 死 故 則 諸 苦 自 現 心 王 經 云 真 如 佛 性 沒 
T48n2011_001:0377c02	在知見六識海中。沈淪生死不得解脫。努力	在 知 見 六 識 海 中 沈 淪 生 死 不得解脫 努 力 
T48n2011_001:0377c03	會是。守本真心妄念不生。我所心滅自然與	會 是 守 本 真 心 妄 念 不 生 我 所 心 滅 自 然 與 
T48n2011_001:0377c04	佛平等無二。	佛 平 等 無 二 
T48n2011_001:0377c05	問曰。真如法性同一無二。迷應俱迷。悟應俱	問 曰 真 如 法 性 同 一 無 二 迷 應 俱 迷 悟 應 俱 
T48n2011_001:0377c06	悟。何故佛覺性。眾生昏迷因何故然。答曰。自	悟 何 故 佛 覺 性 眾 生 昏 迷 因 何 故 然 答 曰 自 
T48n2011_001:0377c07	此已上入不思識分。非凡所及。識心故悟。	此 已 上 入 不 思 識 分 非 凡 所 及 識 心 故 悟 
T48n2011_001:0377c08	失性故迷。緣合即合說不可定。但信真諦守	失 性 故 迷 緣 合 即 合 說 不 可 定 但 信 真 諦 守 
T48n2011_001:0377c09	自本心。故維摩經云。無自性無他性。法本無	自 本 心 故 維 摩 經 云 無 自 性 無 他 性 法 本 無 
T48n2011_001:0377c10	生今即無滅。此悟即離二邊入無分別智。若	生 今 即 無 滅 此 悟 即 離 二 邊 入 無分別智 若 
T48n2011_001:0377c11	解此義但於行知法要。守心第一。此守心者。	解 此 義 但 於 行 知 法 要 守 心 第 一 此 守 心 者 
T48n2011_001:0377c12	乃是涅槃之根本入道之要門。十二部經之	乃 是 涅 槃 之 根 本 入 道 之 要 門 十二部經 之 
T48n2011_001:0377c13	宗三世諸佛之祖。	宗 三世諸佛 之 祖 
T48n2011_001:0377c14	問曰。何知守本真心是涅槃之根本。答曰。涅	問 曰 何 知 守 本 真 心 是 涅 槃 之 根 本 答 曰 涅 
T48n2011_001:0377c15	槃者體是寂滅無為安樂。我心既是真心。妄	槃 者 體 是 寂 滅 無 為 安 樂 我 心 既 是 真 心 妄 
T48n2011_001:0377c16	想則斷。妄想斷故則具正念。正念具故寂照	想 則 斷 妄 想 斷 故 則 具 正 念 正 念 具 故 寂 照 
T48n2011_001:0377c17	智生。寂照智生故窮達法性。窮達法性故則	智 生 寂 照 智 生 故 窮 達 法 性 窮 達 法 性 故 則 
T48n2011_001:0377c18	得涅槃。故知守本真心是涅槃之根本。	得 涅 槃 故 知 守 本 真 心 是 涅 槃 之 根 本 
T48n2011_001:0377c19	問曰。何知守本真心是入道之要門。答曰。乃	問 曰 何 知 守 本 真 心 是 入 道 之 要 門 答 曰 乃 
T48n2011_001:0377c20	至舉一手爪畫佛形像。或造恒沙功德者。只	至 舉 一 手 爪 畫 佛 形 像 或 造 恒 沙 功 德 者 只 
T48n2011_001:0377c21	是佛。為教導無智慧眾生作當來勝報之業	是 佛 為 教 導 無 智 慧 眾 生 作 當 來 勝 報 之 業 
T48n2011_001:0377c22	及見佛之因。若願自早成佛者會是守本真	及 見 佛 之 因 若 願 自 早 成 佛 者 會 是 守 本 真 
T48n2011_001:0377c23	心。三世諸佛無量無邊。若有一人不守真心	心 三世諸佛 無量無邊 若 有 一 人 不 守 真 心 
T48n2011_001:0377c24	得成佛者。無有是處。故經云。制心一處無事	得 成 佛 者 無 有 是 處 故 經 云 制 心 一 處 無 事 
T48n2011_001:0377c25	不辦。故知守本真心是入道之要門也。	不 辦 故 知 守 本 真 心 是 入 道 之 要 門 也 
T48n2011_001:0377c26	問曰。何知守本真心是十二部經之宗。答曰。	問 曰 何 知 守 本 真 心 是 十二部經 之 宗 答 曰 
T48n2011_001:0377c27	如來於一切經中。說一切罪福一切因緣果	如 來 於 一 切 經 中 說 一 切 罪 福 一切因緣 果 
T48n2011_001:0377c28	報。成引一切山河大地草木等種種雜物起	報 成 引 一 切 山 河 大 地 草 木 等 種 種 雜 物 起 
T48n2011_001:0377c29	無量無邊譬喻。或現無量神通種種變化者	無量無邊 譬 喻 或 現 無 量 神 通 種 種 變 化 者 
T48n2011_001:0378a01	只是佛。為教導無智慧眾生有種種欲心心	只 是 佛 為 教 導 無 智 慧 眾 生 有 種 種 欲 心 心 
T48n2011_001:0378a02	行萬差。是故如來隨其心門引入一乘。我既	行 萬 差 是 故 如 來 隨 其 心 門 引 入 一 乘 我 既 
T48n2011_001:0378a03	體知眾生佛性本來清淨如雲底日。但了然	體 知 眾 生 佛 性 本 來 清 淨 如 雲 底 日 但 了 然 
T48n2011_001:0378a04	守本真心。妄念雲盡慧日即現。何須更多學	守 本 真 心 妄 念 雲 盡 慧 日 即 現 何 須 更 多 學 
T48n2011_001:0378a05	知見所生死苦一切義理及三世之事。譬如	知 見 所 生 死 苦 一 切 義 理 及 三 世 之 事 譬 如 
T48n2011_001:0378a06	磨鏡塵盡明自然現。則今於無明心中。學得	磨 鏡 塵 盡 明 自 然 現 則 今 於 無 明 心 中 學 得 
T48n2011_001:0378a07	者終是不堪。若能了然不失正念。無為心中	者 終 是 不 堪 若 能 了 然 不 失 正 念 無 為 心 中 
T48n2011_001:0378a08	學得者此是真學。雖言真學竟無所學。何以	學 得 者 此 是 真 學 雖 言 真 學 竟 無 所 學 何 以 
T48n2011_001:0378a09	故。我及涅槃二皆空故。更無二無一。故無所	故 我 及 涅 槃 二 皆 空 故 更 無 二 無 一 故 無 所 
T48n2011_001:0378a10	學。法性雖空要須了然守本真心。妄念不生。	學 法 性 雖 空 要 須 了 然 守 本 真 心 妄 念 不 生 
T48n2011_001:0378a11	我所心滅故。涅槃經云。知佛不說法者。是名	我 所 心 滅 故 涅 槃 經 云 知 佛 不 說 法 者 是 名 
T48n2011_001:0378a12	具足多聞。故知守本真心。是十二部經之宗	具 足 多 聞 故 知 守 本 真 心 是 十二部經 之 宗 
T48n2011_001:0378a13	也。	也 
T48n2011_001:0378a14	問曰。何知守本真心是三世諸佛之祖。答曰。	問 曰 何 知 守 本 真 心 是 三世諸佛 之 祖 答 曰 
T48n2011_001:0378a15	三世諸佛皆從心性中生。先守真心妄念不	三世諸佛 皆 從 心 性 中 生 先 守 真 心 妄 念 不 
T48n2011_001:0378a16	生。我所心滅後得成佛。故知守本真心是三	生 我 所 心 滅 後 得 成 佛 故 知 守 本 真 心 是 三 
T48n2011_001:0378a17	世諸佛之祖也。上來四種問答。若欲廣說何	世 諸 佛 之 祖 也 上 來 四 種 問 答 若 欲 廣 說 何 
T48n2011_001:0378a18	窮。吾今望。得汝自識本心是佛。是故慇懃勸	窮 吾 今 望 得 汝 自 識 本 心 是 佛 是 故 慇 懃 勸 
T48n2011_001:0378a19	汝。千經萬論莫過守本真心。是要也。吾今努	汝 千 經 萬 論 莫 過 守 本 真 心 是 要 也 吾 今 努 
T48n2011_001:0378a20	力。按法華經示汝。大車寶藏明珠妙藥等物	力 按 法 華 經 示 汝 大 車 寶 藏 明 珠 妙 藥 等 物 
T48n2011_001:0378a21	汝自不取不服。窮苦奈何會是。妄念不生。我	汝 自 不 取 不 服 窮 苦 奈 何 會 是 妄 念 不 生 我 
T48n2011_001:0378a22	所心滅一切功德自然圓滿。不假外求歸生	所 心 滅 一切功德 自 然 圓 滿 不 假 外 求 歸 生 
T48n2011_001:0378a23	死苦。於一切處正念察心。莫愛現在樂種未	死 苦 於 一 切 處 正 念 察 心 莫 愛 現 在 樂 種 未 
T48n2011_001:0378a24	來苦。自誑誑他。不脫生死。努力努力。今雖無	來 苦 自 誑 誑 他 不 脫 生 死 努 力 努 力 今 雖 無 
T48n2011_001:0378a25	常共作當來成佛之因。莫使三世虛度狂喪	常 共 作 當來成佛 之 因 莫 使 三 世 虛 度 狂 喪 
T48n2011_001:0378a26	功夫。經云。常處地獄如遊園觀。在餘惡道如	功 夫 經 云 常 處 地 獄 如 遊 園 觀 在 餘 惡 道 如 
T48n2011_001:0378a27	己舍宅。我等眾生今現如此。不覺不知驚怖	己 舍 宅 我 等 眾 生 今 現 如 此 不 覺 不 知 驚 怖 
T48n2011_001:0378a28	殺人了無出心。奇哉苦哉。若有初心學坐禪	殺 人 了 無 出 心 奇 哉 苦 哉 若 有 初 心 學 坐 禪 
T48n2011_001:0378a29	者。依觀無量壽經端坐正念。閉目合口。心前	者 依 觀 無 量 壽 經 端 坐 正 念 閉 目 合 口 心 前 
T48n2011_001:0378b01	平視隨意近遠。作一日想守真心。念念莫住。	平 視 隨 意 近 遠 作 一 日 想 守 真 心 念 念 莫 住 
T48n2011_001:0378b02	即善調氣息。莫使乍麁乍細。則令人成病苦。	即 善 調 氣 息 莫 使 乍 麁 乍 細 則 令 人 成 病 苦 
T48n2011_001:0378b03	夜坐禪時或見一切善惡境界。或入青黃赤	夜 坐 禪 時 或 見 一 切 善 惡 境 界 或 入 青 黃 赤 
T48n2011_001:0378b04	白等諸三昧。或見身出大光明。或見如來身	白 等 諸 三 昧 或 見 身 出 大 光 明 或 見 如 來 身 
T48n2011_001:0378b05	相。或見種種變化。但知攝心莫著並皆是空。	相 或 見 種 種 變 化 但 知 攝 心 莫 著 並 皆 是 空 
T48n2011_001:0378b06	妄想而見也。經云。十方國土皆如虛空。三界	妄 想 而 見 也 經 云 十 方 國 土 皆 如 虛 空 三 界 
T48n2011_001:0378b07	虛幻唯是一心作。若不得定不見一切境界	虛 幻 唯 是 一 心 作 若 不 得 定 不 見 一切境界 
T48n2011_001:0378b08	者亦不須怪。但於行住坐臥中常了然守本	者 亦 不 須 怪 但 於 行住坐臥 中 常 了 然 守 本 
T48n2011_001:0378b09	真心。會是妄念不生。我所心滅一切萬法不	真 心 會 是 妄 念 不 生 我 所 心 滅 一切萬法 不 
T48n2011_001:0378b10	出自心。所以諸佛廣說。如許多言教譬喻者。	出 自 心 所 以 諸 佛 廣 說 如 許 多 言 教 譬 喻 者 
T48n2011_001:0378b11	只為眾生行行不同。遂使教門差別。其實八	只 為 眾 生 行 行 不 同 遂 使 教 門 差 別 其 實 八 
T48n2011_001:0378b12	萬四千法門。三乘八道位體七十二賢行宗。	萬 四 千 法 門 三 乘 八 道 位 體 七 十 二 賢 行 宗 
T48n2011_001:0378b13	莫過自心是本也。若能自識本心。念念磨鍊	莫 過 自 心 是 本 也 若 能 自 識 本 心 念 念 磨 鍊 
T48n2011_001:0378b14	莫住者即自見佛性也。於念念中常供養十	莫 住 者 即 自 見 佛 性 也 於念念中 常 供 養 十 
T48n2011_001:0378b15	方恒沙諸佛。十二部經念念常轉。若了此心	方 恒 沙 諸 佛 十二部經 念 念 常 轉 若 了 此 心 
T48n2011_001:0378b16	源者一切心義自現。一切願具足一切行滿	源 者 一 切 心 義 自 現 一 切 願 具 足 一 切 行 滿 
T48n2011_001:0378b17	一切皆辦不受後有。會是妄念不生。我所心	一 切 皆 辦 不 受 後 有 會 是 妄 念 不 生 我 所 心 
T48n2011_001:0378b18	滅。捨此身已定得無生不可思議。努力莫造	滅 捨 此 身 已 定 得 無 生 不可思議 努 力 莫 造 
T48n2011_001:0378b19	大。如此真實不妄語難可得聞。聞而能行者	大 如 此 真 實 不 妄 語 難 可 得 聞 聞 而 能 行 者 
T48n2011_001:0378b20	恒沙眾中莫過有一。行而能到者億叉劫中	恒 沙 眾 中 莫 過 有 一 行 而 能 到 者 億 叉 劫 中 
T48n2011_001:0378b21	希有一人。好好自安自靜。善調諸根。就視心	希 有 一 人 好 好 自 安 自 靜 善 調 諸 根 就 視 心 
T48n2011_001:0378b22	源。恒令照燎清淨。勿令無記心生。	源 恒 令 照 燎 清 淨 勿 令 無 記 心 生 
T48n2011_001:0378b23	問曰。何名無記心。答曰。諸攝心人為緣外境	問 曰 何 名 無 記 心 答 曰 諸 攝 心 人 為 緣 外 境 
T48n2011_001:0378b24	麁心小息。內鍊真心心未清淨時。於行住坐	麁 心 小 息 內 鍊 真 心 心 未 清 淨 時 於 行 住 坐 
T48n2011_001:0378b25	臥中恒懲意看心。猶未能了了清淨獨照心	臥 中 恒 懲 意 看 心 猶 未 能 了 了 清 淨 獨 照 心 
T48n2011_001:0378b26	源。是名無記心也。亦是漏心猶不免生死大	源 是 名 無 記 心 也 亦 是 漏 心 猶 不 免 生 死 大 
T48n2011_001:0378b27	病。況復總不守真心者。是人沈沒生死苦海。	病 況 復 總 不 守 真 心 者 是 人 沈 沒 生 死 苦 海 
T48n2011_001:0378b28	何日得出。可憐。努力努力。經云。眾生若情誠	何 日 得 出 可 憐 努 力 努 力 經 云 眾 生 若 情 誠 
T48n2011_001:0378b29	不內發者。於三世縱值恒沙諸佛無所能為。	不 內 發 者 於 三 世 縱 值 恒 沙 諸 佛 無 所 能 為 
T48n2011_001:0378c01	經云。眾生識心自度。佛不能度眾生。若佛能	經 云 眾 生 識 心 自 度 佛 不 能 度 眾 生 若 佛 能 
T48n2011_001:0378c02	度眾生者。過去諸佛恒沙無量。何故我等不	度 眾 生 者 過去諸佛 恒 沙 無 量 何 故 我 等 不 
T48n2011_001:0378c03	成佛也。只是情誠不自內發。是故沈沒苦海。	成 佛 也 只 是 情 誠 不 自 內 發 是 故 沈 沒 苦 海 
T48n2011_001:0378c04	努力努力。勤求本心勿令妄漏。過去不知。已	努 力 努 力 勤 求 本 心 勿 令 妄 漏 過 去 不 知 已 
T48n2011_001:0378c05	過亦不及。今身現在有遇得聞妙法。分明相	過 亦 不 及 今 身 現 在 有 遇 得 聞 妙 法 分 明 相 
T48n2011_001:0378c06	勸決解此語。了知守心。是第一道。不肯發至	勸 決 解 此 語 了 知 守 心 是 第 一 道 不 肯 發 至 
T48n2011_001:0378c07	誠心求願成佛受無量自在快樂。乃始轟轟	誠 心 求 願 成 佛 受 無 量 自 在 快 樂 乃 始 轟 轟 
T48n2011_001:0378c08	隨俗貪求名利。當來墮大地獄中。受種種苦	隨 俗 貪 求 名 利 當 來 墮 大 地 獄 中 受 種 種 苦 
T48n2011_001:0378c09	惱。將何所及。奈何奈何。努力努力。但能著破	惱 將 何 所 及 奈 何 奈 何 努 力 努 力 但 能 著 破 
T48n2011_001:0378c10	衣飱麁食。了然守本真心。佯癡不解語。最省	衣 飱 麁 食 了 然 守 本 真 心 佯 癡 不 解 語 最 省 
T48n2011_001:0378c11	氣力而能有功。是大精進人也。世間迷人不	氣 力 而 能 有 功 是 大 精 進 人 也 世 間 迷 人 不 
T48n2011_001:0378c12	解此理。於無明心中。多涉艱辛廣修相善。望	解 此 理 於 無 明 心 中 多 涉 艱 辛 廣 修 相 善 望 
T48n2011_001:0378c13	得解脫。乃歸生死。若了然不失正念而度眾	得 解 脫 乃 歸 生 死 若 了 然 不 失 正 念 而 度 眾 
T48n2011_001:0378c14	生者。是有力菩薩。分明語汝等守心第一。若	生 者 是 有 力 菩 薩 分 明 語 汝 等 守 心 第 一 若 
T48n2011_001:0378c15	不勤守者甚癡人也。不肯現在一生忍苦。欲	不 勤 守 者 甚 癡 人 也 不 肯 現 在 一 生 忍 苦 欲 
T48n2011_001:0378c16	得當來萬劫受殃。聽汝更不知何囑。八風吹	得 當 來 萬 劫 受 殃 聽 汝 更 不 知 何 囑 八 風 吹 
T48n2011_001:0378c17	不動者真是珍寶山也。若知果體者但對於	不 動 者 真 是 珍 寶 山 也 若 知 果 體 者 但 對 於 
T48n2011_001:0378c18	萬境。起恒沙作用巧辯若流。應病與藥。而能	萬 境 起 恒 沙 作 用 巧 辯 若 流 應 病 與 藥 而 能 
T48n2011_001:0378c19	妄念不生。我所心滅者真是出世丈夫。如來	妄 念 不 生 我 所 心 滅 者 真 是 出 世 丈 夫 如 來 
T48n2011_001:0378c20	在日歎何可盡。吾說此言者至心勸汝。不生	在 日 歎 何 可 盡 吾 說 此 言 者 至 心 勸 汝 不 生 
T48n2011_001:0378c21	妄念。我所心滅則是出世之士。	妄 念 我 所 心 滅 則 是 出 世 之 士 
T48n2011_001:0378c22	問曰。云何是我所心滅。答曰。為有小許勝他	問 曰 云 何 是 我 所 心 滅 答 曰 為 有 小 許 勝 他 
T48n2011_001:0378c23	之心。自念我能如此者。是我所心涅槃中病	之 心 自 念 我 能 如 此 者 是 我 所 心 涅 槃 中 病 
T48n2011_001:0378c24	故。涅槃經曰。譬如虛空能容萬物。而此虛空	故 涅 槃 經 曰 譬 如 虛 空 能 容 萬 物 而 此 虛 空 
T48n2011_001:0378c25	不自念言我能含容如是。此喻我所心滅趣	不 自 念 言 我 能 含 容 如 是 此 喻 我 所 心 滅 趣 
T48n2011_001:0378c26	金剛三昧。	金 剛 三 昧 
T48n2011_001:0378c27	問曰。諸行人求真常寂者。只樂世間無常麁	問 曰 諸 行 人 求 真 常 寂 者 只 樂 世 間 無 常 麁 
T48n2011_001:0378c28	善。不樂第一義諦。真常妙善其理未見。只欲	善 不 樂 第一義諦 真 常 妙 善 其 理 未 見 只 欲 
T48n2011_001:0378c29	發心緣義遂思。覺心起則是漏心。只欲亡心	發 心 緣 義 遂 思 覺 心 起 則 是 漏 心 只 欲 亡 心 
T48n2011_001:0379a01	則是無明昏住。又不當理。只欲不止心不緣	則 是 無 明 昏 住 又 不 當 理 只 欲 不 止 心 不 緣 
T48n2011_001:0379a02	義即惡取空。雖受人身行畜生行。爾時無有	義 即 惡 取 空 雖 受 人 身 行 畜 生 行 爾 時 無 有 
T48n2011_001:0379a03	定慧方便。而不能解了明見佛性。只是行人	定 慧 方 便 而 不 能 解 了 明 見 佛 性 只 是 行 人 
T48n2011_001:0379a04	沈沒之處。若為超得到無餘涅槃。願示真心。	沈 沒 之 處 若 為 超 得 到 無餘涅槃 願 示 真 心 
T48n2011_001:0379a05	答曰。會是信心具足志願成就緩緩靜心。更	答 曰 會 是 信 心 具 足 志 願 成 就 緩 緩 靜 心 更 
T48n2011_001:0379a06	重教汝。好自閑靜身心。一切無所攀緣。端坐	重 教 汝 好 自 閑 靜 身 心 一 切 無 所 攀 緣 端 坐 
T48n2011_001:0379a07	正念善調氣息。懲其心不在內不在外不在	正 念 善 調 氣 息 懲 其 心 不 在 內 不 在 外 不 在 
T48n2011_001:0379a08	中間。好好如如穩看看熟則了見此心識流	中 間 好 好 如 如 穩 看 看 熟 則 了 見 此 心 識 流 
T48n2011_001:0379a09	動。猶如水流陽焰曄曄不住。既見此識時唯	動 猶 如 水 流 陽 焰 曄 曄 不 住 既 見 此 識 時 唯 
T48n2011_001:0379a10	是不內不外。緩緩如如穩看看熟則返覆銷	是 不 內 不 外 緩 緩 如 如 穩 看 看 熟 則 返 覆 銷 
T48n2011_001:0379a11	融虛凝湛住。其此流動之識颯然自滅。滅此	融 虛 凝 湛 住 其 此 流 動 之 識 颯 然 自 滅 滅 此 
T48n2011_001:0379a12	識者乃是滅十地菩薩眾中障惑。此識滅已	識 者 乃 是 滅 十地菩薩 眾 中 障 惑 此 識 滅 已 
T48n2011_001:0379a13	其心即虛凝寂淡泊皎潔泰然。吾更不能說	其 心 即 虛 凝 寂 淡 泊 皎 潔 泰 然 吾 更 不 能 說 
T48n2011_001:0379a14	其形狀。汝若欲得者。取涅槃經第三卷中金	其 形 狀 汝 若 欲 得 者 取 涅 槃 經 第 三 卷 中 金 
T48n2011_001:0379a15	剛身品及維摩經第三卷見阿閦佛品。緩緩	剛 身 品 及 維 摩 經 第 三 卷 見 阿 閦 佛 品 緩 緩 
T48n2011_001:0379a16	尋思細心搜撿熟看。若此經熟實得能於行	尋 思 細 心 搜 撿 熟 看 若 此 經 熟 實 得 能 於 行 
T48n2011_001:0379a17	住坐臥及對五欲八風不失此心者。是人梵	住 坐 臥 及 對 五 欲 八 風 不 失 此 心 者 是 人 梵 
T48n2011_001:0379a18	行已立所作已辦。究竟不受生死之身。五欲	行 已 立 所 作 已 辦 究 竟 不 受 生 死 之 身 五 欲 
T48n2011_001:0379a19	者色聲香味觸。八風者利衰毀譽稱譏苦樂。	者 色聲香味觸 八 風 者 利 衰 毀 譽 稱 譏 苦 樂 
T48n2011_001:0379a20	此是行人磨鍊佛性處。甚莫怪今身不得自	此 是 行 人 磨 鍊 佛 性 處 甚 莫 怪 今 身 不 得 自 
T48n2011_001:0379a21	在。經曰。世間無佛住處菩薩不得現用。要脫	在 經 曰 世 間 無 佛 住 處 菩 薩 不 得 現 用 要 脫 
T48n2011_001:0379a22	此報身。眾生過去根有利鈍不可判。上者一	此 報 身 眾 生 過 去 根 有 利 鈍 不 可 判 上 者 一 
T48n2011_001:0379a23	念間。下者無量劫。若有力時隨眾生性起菩	念 間 下 者 無 量 劫 若 有 力 時 隨 眾 生 性 起 菩 
T48n2011_001:0379a24	薩善根。自利利他莊嚴佛土。要須了四依乃	薩 善 根 自利利他 莊 嚴 佛 土 要 須 了 四 依 乃 
T48n2011_001:0379a25	窮實相。若依文執則失真宗。諸比丘等汝學	窮 實 相 若 依 文 執 則 失 真 宗 諸 比 丘 等 汝 學 
T48n2011_001:0379a26	他出家修道。此是出家出生死枷。是名出家。	他 出 家 修 道 此 是 出 家 出 生 死 枷 是 名 出 家 
T48n2011_001:0379a27	正念具足修道得成。乃至解身支節。臨命終	正 念 具 足 修 道 得 成 乃 至 解 身 支 節 臨 命 終 
T48n2011_001:0379a28	時不失正念。即得成佛。弟子上來集此論者。	時 不 失 正 念 即 得 成 佛 弟 子 上 來 集 此 論 者 
T48n2011_001:0379a29	直以信心依文取義作如是說。實非了了證	直 以 信 心 依 文 取 義 作如是說 實 非 了 了 證 
T48n2011_001:0379b01	知。若乖聖理者。願懺悔除滅。若當聖道者。迴	知 若 乖 聖 理 者 願 懺 悔 除 滅 若 當 聖 道 者 迴 
T48n2011_001:0379b02	施眾生。願皆識本心。一時成佛。聞者努力當	施 眾 生 願 皆 識 本 心 一 時 成 佛 聞 者 努 力 當 
