T85n2755_001:0217b16	華嚴經疏	華 嚴 經 疏 
T85n2755_001:0217c02	位菩提心故。令剎純淨也。上來明染淨轉變。	位 菩 提 心 故 令 剎 純 淨 也 上 來 明 染 淨 轉 變 
T85n2755_001:0217c03	五如下文。菩薩將下生時。先嚴此世界等。六	五 如 下 文 菩 薩 將 下 生 時 先 嚴 此 世 界 等 六 
T85n2755_001:0217c04	多菩薩遊現多嚴等。七如來入滅莊嚴隨謝。	多 菩 薩 遊 現 多 嚴 等 七 如 來 入 滅 莊 嚴 隨 謝 
T85n2755_001:0217c05	八如來出現嚴淨斯出。九神力無染不淨。頌	八 如 來 出 現 嚴 淨 斯 出 九 神 力 無 染 不 淨 頌 
T85n2755_001:0217c06	中亦十。一頌總句。二頌染眾生。三頌福眾	中 亦 十 一 頌 總 句 二 頌 染 眾 生 三 頌 福 眾 
T85n2755_001:0217c07	生。四頌信解。五頌發心。六頌菩薩遊剎。七頌	生 四 頌 信 解 五 頌 發 心 六 頌 菩 薩 遊 剎 七 頌 
T85n2755_001:0217c08	菩薩雲集。八頌佛滅。九頌佛興。十頌神力。	菩 薩 雲 集 八 頌 佛 滅 九 頌 佛 興 十 頌 神 力 
T85n2755_001:0217c09	准釋可知。	准 釋 可 知 
T85n2755_001:0217c10	第十明世界海無差別。十列名中。一明一世	第 十 明 世 界 海 無 差 別 十 列 名 中 一 明 一 世 
T85n2755_001:0217c11	界海中所含世界數如一世界海塵等。並積	界 海 中 所 含 世 界 數 如 一 世 界 海 塵 等 並 積 
T85n2755_001:0217c12	在其中諸世界海皆同此數。故云一一無無	在 其 中 諸 世 界 海 皆 同 此 數 故 云 一 一 無 無 
T85n2755_001:0217c13	差別。二佛威力。三道場處。謂遍微塵中處故	差 別 二 佛 威 力 三 道 場 處 謂 遍 微 塵 中 處 故 
T85n2755_001:0217c14	云法界也。四大眾會。五佛放光。六現神變。	云 法 界 也 四 大 眾 會 五 佛 放 光 六 現 神 變 
T85n2755_001:0217c15	七圓音遍。八轉法輪。九剎入塵。十塵中佛	七 圓 音 遍 八 轉 法 輪 九 剎 入 塵 十 塵 中 佛 
T85n2755_001:0217c16	並諸剎海中。同有此事故云無差別。頌中亦	並 諸 剎 海 中 同 有 此 事 故 云 無 差 別 頌 中 亦 
T85n2755_001:0217c17	十次第。頌前十法。但前平漫普遍。今塵內重	十 次 第 頌 前 十 法 但 前 平 漫 普 遍 今 塵 內 重 
T85n2755_001:0217c18	疊。初中明塵內多剎復互相十而不離亂。二	疊 初 中 明 塵 內 多 剎 復 互 相 十 而 不 離 亂 二 
T85n2755_001:0217c19	頌佛興。三頌道場。四頌眾會。五頌佛光。六	頌 佛 興 三 頌 道 場 四 頌 眾 會 五 頌 佛 光 六 
T85n2755_001:0217c20	頌神變。七頌法輪。八頌佛音。九頌塵中剎出	頌 神 變 七 頌 法 輪 八 頌 佛 音 九 頌 塵 中 剎 出 
T85n2755_001:0217c21	二因。一佛力。二業力。十頌塵內佛亦出二因。	二 因 一 佛 力 二 業 力 十 頌 塵 內 佛 亦 出 二 因 
T85n2755_001:0217c22	一性通。二願力。並可知。上來明世界海成就	一 性 通 二 願 力 並 可 知 上 來 明 世 界 海 成 就 
T85n2755_001:0217c23	品竟。	品 竟 
T85n2755_001:0217c24	花嚴藏世界品第五	花 嚴 藏 世 界 品 第 五 
T85n2755_001:0217c25	將釋此品四門同前。初釋名者。梵本具言花。	將 釋 此 品 四 門 同 前 初 釋 名 者 梵 本 具 言 花 
T85n2755_001:0217c26	謂蓮花。藏即。含藏。謂花臺之上積諸世界布	謂 蓮 花 藏 即 含 藏 謂 花 臺 之 上 積 諸 世 界 布 
T85n2755_001:0217c27	列校飾名曰莊嚴。數多繁奧故稱為海有釋	列 校 飾 名 曰 莊 嚴 數 多 繁 奧 故 稱 為 海 有 釋 
T85n2755_001:0217c28	世界。	世 界 
T85n2755_001:0217c29	發光地。世親釋云。由此地中。與三摩地三摩	發 光 地 世 親 釋 云 由 此 地 中 與 三 摩 地 三 摩 
T85n2755_001:0218a01	鉢底常不相離。無退轉故。於大乘法能作光	鉢 底 常 不 相 離 無 退 轉 故 於 大 乘 法 能 作 光 
T85n2755_001:0218a02	明名發光地。無性釋靜慮名等持。無色名等	明 名 發 光 地 無 性 釋 靜 慮 名 等 持 無 色 名 等 
T85n2755_001:0218a03	至。或等持者心一境相。等至正受現前大法	至 或 等 持 者 心 一 境 相 等 至 正 受 現 前 大 法 
T85n2755_001:0218a04	光明所依止者。於大乘教得智光明。此地是	光 明 所 依 止 者 於 大 乘 教 得 智 光 明 此 地 是 
T85n2755_001:0218a05	彼所依因故名為發光。解云。地從所發果法	彼 所 依 因 故 名 為 發 光 解 云 地 從 所 發 果 法 
T85n2755_001:0218a06	為名。解深密經及瑜伽論意同攝論。顯揚論	為 名 解 深 密 經 及 瑜 伽 論 意 同 攝 論 顯 揚 論 
T85n2755_001:0218a07	云。證得靜慮三摩地蘊大智光明之所依止。	云 證 得 靜 慮 三 摩 地 蘊 大 智 光 明 之 所 依 止 
T85n2755_001:0218a08	智論四十九名為光地。十住論云。廣博多學	智 論 四 十 九 名 為 光 地 十 住 論 云 廣 博 多 學 
T85n2755_001:0218a09	為眾說法。能作照明故名明地。人王經名明	為 眾 說 法 能 作 照 明 故 名 明 地 人 王 經 名 明 
T85n2755_001:0218a10	慧地。地論等並如前辨　第二來意者有三。	慧 地 地 論 等 並 如 前 辨 第 二 來 意 者 有 三 
T85n2755_001:0218a11	一前戒次定義次第故。是故須來。二前位能	一 前 戒 次 定 義 次 第 故 是 故 須 來 二 前 位 能 
T85n2755_001:0218a12	持微細戒品。未得圓滿世間等持等至。及圓	持 微 細 戒 品 未 得 圓 滿 世 間 等持等至 及 圓 
T85n2755_001:0218a13	滿聞法總持為令得。此因說此地令勤修學。	滿 聞 法 總 持 為 令 得 此 因 說 此 地 令 勤 修 學 
T85n2755_001:0218a14	此依深密經。三者初之三地。總寄世間施戒	此 依 深 密 經 三 者 初 之 三 地 總 寄 世 間 施 戒 
T85n2755_001:0218a15	修法。前二施戒。今此顯修。是故來耳　第三	修 法 前 二 施 戒 今 此 顯 修 是 故 來 耳 第 三 
T85n2755_001:0218a16	所離障者。依十地論離闇相。於聞思修諸法	所 離 障 者 依 十 地 論 離 闇 相 於 聞 思 修 諸 法 
T85n2755_001:0218a17	忘障解云。此與所得地法。敵對相翻故立斯	忘 障 解 云 此 與 所 得 地 法 敵 對 相 翻 故 立 斯 
T85n2755_001:0218a18	號。唯識論第九名闇鈍障。謂所知障中俱生	號 唯 識 論 第 九 名 闇 鈍 障 謂 所 知 障 中 俱 生 
T85n2755_001:0218a19	一分。令聞思修法忘失。彼障三地勝定總持。	一 分 令 聞 思 修 法 忘 失 彼 障 三 地 勝 定 總 持 
T85n2755_001:0218a20	及彼所發殊勝三慧入三地時。便能永斷。由	及 彼 所 發 殊 勝 三 慧 入 三 地 時 便 能 永 斷 由 
T85n2755_001:0218a21	斯三地說斷二愚及彼麁重。一欲貪愚。即是	斯 三 地 說 斷 二 愚 及 彼 麁 重 一 欲 貪 愚 即 是 
T85n2755_001:0218a22	此中能障勝定及修慧者。彼昔受與貪欲俱	此 中 能 障 勝 定 及 修 慧 者 彼 昔 受 與 貪 欲 俱 
T85n2755_001:0218a23	故名欲貪愚。今得勝定及修所成。彼既永斷	故 名 欲 貪 愚 今 得 勝 定 及 修 所 成 彼 既 永 斷 
T85n2755_001:0218a24	欲貪隨伏。此無始來依彼轉故。二圓滿陀羅	欲 貪 隨 伏 此 無 始 來 依 彼 轉 故 二 圓 滿 陀 羅 
T85n2755_001:0218a25	尼愚。即是此中能障總持聞思慧者。解云。此	尼 愚 即 是 此 中 能 障 總 持 聞 思 慧 者 解 云 此 
T85n2755_001:0218a26	實是所知障。與欲貪同體故名欲貪愚。以貪	實 是 所 知 障 與 欲 貪 同 體 故 名 欲 貪 愚 以 貪 
T85n2755_001:0218a27	妙欲掉重散亂障定發修慧聞持等者。從所	妙 欲 掉 重 散 亂 障 定 發 修 慧 聞 持 等 者 從 所 
T85n2755_001:0218a28	障因法以立名。以親障聞思二慧。是彼總持	障 因 法 以 立 名 以 親 障 聞 思 二 慧 是 彼 總 持 
T85n2755_001:0218a29	所起果故。此是忘念不正知等同體所知障。	所 起 果 故 此 是 忘 念 不 正 知 等 同 體 所 知 障 
T85n2755_001:0218b01	解深密經及瑜伽金光明經及梁攝論等。各	解 深 密 經 及 瑜 伽 金 光 明 經 及 梁 攝 論 等 各 
T85n2755_001:0218b02	有二愚。大同此說。又有離業障及報障。准前	有 二 愚 大 同 此 說 又 有 離 業 障 及 報 障 准 前 
T85n2755_001:0218b03	知之　第四所證者。唯識論云。勝流真如。謂	知 之 第 四 所 證 者 唯 識 論 云 勝 流 真 如 謂 
T85n2755_001:0218b04	此真如所流教法。於餘教法極為勝故。攝論	此 真 如 所 流 教 法 於 餘 教 法 極 為 勝 故 攝 論 
T85n2755_001:0218b05	第七無性釋云。謂此所流教法最勝故。捨身	第 七 無 性 釋 云 謂 此 所 流 教 法 最 勝 故 捨 身 
T85n2755_001:0218b06	命求此善說。不以為難。梁論釋云。從真如流	命 求 此 善 說 不 以 為 難 梁 論 釋 云 從 真 如 流 
T85n2755_001:0218b07	出正體智。正體智流出後諸智。後諸智流	出 正 體 智 正 體 智 流 出 後 諸 智 後 諸 智 流 
T85n2755_001:0218b08	出大悲。大悲流出十二部經。是故名為勝流	出 大 悲 大 悲 流 出 十二部經 是 故 名 為 勝 流 
T85n2755_001:0218b09	法界　第五所成行者。略有三種。一十度中	法 界 第 五 所 成 行 者 略 有 三 種 一 十 度 中 
T85n2755_001:0218b10	成忍度行。二成禪定行。三成求法行。莊嚴論	成 忍 度 行 二 成 禪 定 行 三 成 求 法 行 莊 嚴 論 
T85n2755_001:0218b11	云。第三住能生欲界而不退禪故。餘行如下	云 第 三 住 能 生 欲 界 而 不 退 禪 故 餘 行 如 下 
T85n2755_001:0218b12	辨　第六所得別果者。亦有三種。一依梁論	辨 第 六 所 得 別 果 者 亦 有 三 種 一 依 梁 論 
T85n2755_001:0218b13	通達勝流法界得無邊法音果。二當位行果。	通 達 勝 流 法 界 得 無 邊 法 音 果 二 當 位 行 果 
T85n2755_001:0218b14	金光明云　三地發心得難動三昧果。又下文	金 光 明 云 三 地 發 心 得 難 動 三 昧 果 又 下 文 
T85n2755_001:0218b15	曰。無量五神通。亦是當位所得之果。三顯	曰 無 量 五 神 通 亦 是 當 位 所 得 之 果 三 顯 
T85n2755_001:0218b16	分位果。謂忉利天王等四果。如下文說　第	分 位 果 謂 忉 利 天 王 等 四 果 如 下 文 說 第 
T85n2755_001:0218b17	七釋文中亦三。初讚請分。二正說分。三重頌	七 釋 文 中 亦 三 初 讚 請 分 二 正 說 分 三 重 頌 
T85n2755_001:0218b18	分。初中十頌分二。初六度聞前地餘四請說。	分 初 中 十 頌 分 二 初 六 度 聞 前 地 餘 四 請 說 
T85n2755_001:0218b19	後地前中。初一慶聞心喜。次一身業兩花餘	後 地 前 中 初 一 慶 聞 心 喜 次 一 身 業 兩 花 餘 
T85n2755_001:0218b20	四語業讚述。於中初一總歎。次一別歎說法	四 語 業 讚 述 於 中 初 一 總 歎 次 一 別 歎 說 法 
T85n2755_001:0218b21	心。次一別歎所說法。後一歎為機結說。就	心 次 一 別 歎 所 說 法 後 一 歎 為 機 結 說 就 
T85n2755_001:0218b22	請後四頌中。初三大眾請。後一上首請。前中	請 後 四 頌 中 初 三 大 眾 請 後 一 上 首 請 前 中 
T85n2755_001:0218b23	初一總請三地行。後二別請十度行。	初 一 總 請 三 地 行 後 二 別 請 十 度 行 
T85n2755_001:0218b24	就第二正說中論為四分。一起厭行分。二厭	就 第 二 正 說 中 論 為 四 分 一 起 厭 行 分 二 厭 
T85n2755_001:0218b25	行分。三厭分。四厭果分。此地修禪厭伏煩惱	行 分 三 厭 分 四 厭 果 分 此 地 修 禪 厭 伏 煩 惱 
T85n2755_001:0218b26	名為厭地。初入地心修起彼厭名為厭行。趣	名 為 厭 地 初 入 地 心 修 起 彼 厭 名 為 厭 行 趣 
T85n2755_001:0218b27	地加行起彼厭行名起厭行分。所起地初名	地 加 行 起 彼 厭 行 名 起 厭 行 分 所 起 地 初 名 
T85n2755_001:0218b28	厭行分。正住地中修八禪等名為厭分。地滿	厭 行 分 正 住 地 中 修 八 禪 等 名 為 厭 分 地 滿 
T85n2755_001:0218b29	足故名厭果分。又釋此四分。如其次第。即是	足 故 名 厭 果 分 又 釋 此 四 分 如 其 次 第 即 是 
T85n2755_001:0218c01	加行道無間道解脫道勝進道可知。就初分	加 行 道 無 間 道 解 脫 道 勝 進 道 可 知 就 初 分 
T85n2755_001:0218c02	中三。初結前起後。二何等下正明十心。三	中 三 初 結 前 起 後 二 何 等 下 正 明 十 心 三 
T85n2755_001:0218c03	菩薩以是下結行入地。就十心中。初二一對。	菩 薩 以 是 下 結 行 入 地 就 十 心 中 初 二 一 對 
T85n2755_001:0218c04	一離過心。謂依前淨戒起此深念趣禪淨心。	一 離 過 心 謂 依 前 淨 戒 起 此 深 念 趣 禪 淨 心 
T85n2755_001:0218c05	二位善心。謂依自所住大乘之法堅心不動	二 位 善 心 謂 依 自 所 住 大 乘 之 法 堅 心 不 動 
T85n2755_001:0218c06	故名猛利。次三一對。於中初二離過後一造	故 名 猛 利 次 三 一 對 於 中 初 二 離 過 後 一 造 
T85n2755_001:0218c07	行。離過中初一厭當來欲故名厭心。二捨現	行 離 過 中 初 一 厭 當 來 欲 故 名 厭 心 二 捨 現 
T85n2755_001:0218c08	在欲故名離欲心。當來未起。但可懸厭現在	在 欲 故 名 離 欲 心 當 來 未 起 但 可 懸 厭 現 在 
T85n2755_001:0218c09	交捨論名不貪。造行中謂不捨前地自分所	交 捨 論 名 不 貪 造 行 中 謂 不 捨 前 地 自 分 所 
T85n2755_001:0218c10	修進起。此地勝進之行故名不退心。次三一	修 進 起 此 地 勝 進 之 行 故 名 不 退 心 次 三 一 
T85n2755_001:0218c11	對。於中初一離過後二成善。離過中謂此加	對 於 中 初 一 離 過 後 二 成 善 離 過 中 謂 此 加 
T85n2755_001:0218c12	行深伏三地所斷煩惱。不令彼惑成。於過患	行 深 伏 三 地 所 斷 煩 惱 不 令 彼 惑 成 於 過 患 
T85n2755_001:0218c13	論釋云。自地煩惱不能破壞名為堅心。遠師	論 釋 云 自 地 煩 惱 不 能 破 壞 名 為 堅 心 遠 師 
T85n2755_001:0218c14	釋前二地為自地。辨師釋四禪四空為自地。	釋 前 二 地 為 自 地 辨 師 釋 四 禪 四 空 為 自 地 
T85n2755_001:0218c15	皆恐不當。後二成善中。初成善體。後成善用。	皆 恐 不 當 後 二 成 善 中 初 成 善 體 後 成 善 用 
T85n2755_001:0218c16	體成故出入自在名明盛心。謂淨之極也。三	體 成 故 出 入 自 在 名 明 盛 心 謂 淨 之 極 也 三 
T85n2755_001:0218c17	摩跋提此云等至。即入定之名後用成故。受	摩 跋 提 此 云 等 至 即 入 定 之 名 後 用 成 故 受 
T85n2755_001:0218c18	生自在。雖生下地不失定用。由此淳厚名為	生 自 在 雖 生 下 地 不 失 定 用 由 此 淳 厚 名 為 
T85n2755_001:0218c19	無足。此二種心。至下地滿中究竟成就。下云。	無 足 此 二 種 心 至 下 地 滿 中 究 竟 成 就 下 云 
T85n2755_001:0218c20	於禪能入能出。是明盛心成不隨禪解脫力	於 禪 能 入 能 出 是 明 盛 心 成 不 隨 禪 解 脫 力 
T85n2755_001:0218c21	生。即此淳厚心也。下論云。彼淳厚心。此處現	生 即 此 淳 厚 心 也 下 論 云 彼 淳 厚 心 此 處 現 
T85n2755_001:0218c22	成故。末後二心為一對。初一離過。論名依彼	成 故 末 後 二 心 為 一 對 初 一 離 過 論 名 依 彼 
T85n2755_001:0218c23	生者。依欲界生也。以大智故。煩惱不污故名	生 者 依 欲 界 生 也 以 大 智 故 煩 惱 不 污 故 名 
T85n2755_001:0218c24	勝心。後一利生以大悲攝化。不斷諸有故名	勝 心 後 一 利 生 以 大 悲 攝 化 不 斷 諸 有 故 名 
T85n2755_001:0218c25	大心。加行分竟　第二厭行分中論分三。初	大 心 加 行 分 竟 第 二 厭 行 分 中 論 分 三 初 
T85n2755_001:0218c26	明厭離有為名護煩惱行。二捨狹劣心名護	明 厭 離 有 為 名 護 煩 惱 行 二 捨 狹 劣 心 名 護 
T85n2755_001:0218c27	小乘行。三上求廣大名方便攝行。又由善巧	小 乘 行 三 上 求 廣 大 名 方 便 攝 行 又 由 善 巧 
T85n2755_001:0218c28	攝起入禪等行故。名方便攝行。就初中有二	攝 起 入 禪 等 行 故 名 方 便 攝 行 就 初 中 有 二 
T85n2755_001:0218c29	十句。先十句明無常觀。後十明無有救者。約	十 句 先 十 句 明 無 常 觀 後 十 明 無 有 救 者 約 
T85n2755_001:0219a01	人顯失。就初中先一句總謂如實相者。有為	人 顯 失 就 初 中 先 一 句 總 謂 如 實 相 者 有 為 
T85n2755_001:0219a02	之法理實無常故名實相。論名命行不住者。	之 法 理 實 無 常 故 名 實 相 論 名 命 行 不 住 者 
T85n2755_001:0219a03	有為諸法相續名命。遷流稱行。即此不住名	有 為 諸 法 相 續 名 命 遷 流 稱 行 即 此 不 住 名 
T85n2755_001:0219a04	曰無常。別中分二。初云何此無常者。問彼有	曰 無 常 別 中 分 二 初 云 何 此 無 常 者 問 彼 有 
T85n2755_001:0219a05	為所無常法。二何者是無常。問彼法上無常	為 所 無 常 法 二 何 者 是 無 常 問 彼 法 上 無 常 
T85n2755_001:0219a06	之義。前中經有六句。於中初四約內正報。後	之 義 前 中 經 有 六 句 於 中 初 四 約 內 正 報 後 
T85n2755_001:0219a07	二約外依報。前中一約苦無常者。論釋依身	二 約 外 依 報 前 中 一 約 苦 無 常 者 論 釋 依 身 
T85n2755_001:0219a08	轉時力生三苦者。內報遷流名身轉時轉能	轉 時 力 生 三 苦 者 內 報 遷 流 名 身 轉 時 轉 能 
T85n2755_001:0219a09	生苦。說轉為力。苦由轉生故名為依。又以其	生 苦 說 轉 為 力 苦 由 轉 生 故 名 為 依 又 以 其 
T85n2755_001:0219a10	苦故。性是無常二無我無常者。論經無此謂。	苦 故 性 是 無 常 二 無 我 無 常 者 論 經 無 此 謂 
T85n2755_001:0219a11	過違緣而便損壽。不自在故無我。無我即	過 違 緣 而 便 損 壽 不 自 在 故 無 我 無 我 即 
T85n2755_001:0219a12	無常也。三不淨無常者。依於飲食好惡之力。	無 常 也 三 不 淨 無 常 者 依 於 飲 食 好 惡 之 力 
T85n2755_001:0219a13	令其形色不淨。有增有損。增損不定。是無常	令 其 形 色 不 淨 有 增 有 損 增 損 不 定 是 無 常 
T85n2755_001:0219a14	也。四不亦無常者。論經名無常。此乃以麁無	也 四 不 亦 無 常 者 論 經 名 無 常 此 乃 以 麁 無 
T85n2755_001:0219a15	常顯細無常。謂依不護諸惡力者。履嶮飡毒	常 顯 細 無 常 謂 依 不 護 諸 惡 力 者 履 嶮 飡 毒 
T85n2755_001:0219a16	名為不護。依此力故令身夭壽。下二約依報	名 為 不 護 依 此 力 故 令 身 夭 壽 下 二 約 依 報 
T85n2755_001:0219a17	中。初約世界。後約資財。初中依世成力者。	中 初 約 世 界 後 約 資 財 初 中 依 世 成 力 者 
T85n2755_001:0219a18	由依成力有此滅壞故。名敗壞無常。後一由	由 依 成 力 有 此 滅 壞 故 名 敗 壞 無 常 後 一 由 
T85n2755_001:0219a19	財無定主之力一處不住故。名不可信相。二	財 無 定 主 之 力 一 處 不 住 故 名 不 可 信 相 二 
T85n2755_001:0219a20	何者是無常者。明無常之義。或以生滅流轉	何 者 是 無 常 者 明 無 常 之 義 或 以 生 滅 流 轉 
T85n2755_001:0219a21	為無常義。通大小乘如餘處說。或以不生不	為 無 常 義 通 大 小 乘 如 餘 處 說 或 以 不 生 不 
T85n2755_001:0219a22	滅為無常義。此唯大乘如維摩說。或說二種	滅 為 無 常 義 此 唯 大 乘 如 維 摩 說 或 說 二 種 
T85n2755_001:0219a23	如此文。或說三種。一無物無常。約遍計性。	如 此 文 或 說 三 種 一 無 物 無 常 約 遍 計 性 
T85n2755_001:0219a24	二生滅無常。約依他性。三離不離無常。約	二 生 滅 無 常 約 依 他 性 三 離 不 離 無 常 約 
T85n2755_001:0219a25	圓成性。以在纏時名不離垢。出障離時名為	圓 成 性 以 在 纏 時 名 不 離 垢 出 障 離 時 名 為 
T85n2755_001:0219a26	離垢。約斯不定名為無常。具如中邊論及佛	離 垢 約 斯 不 定 名 為 無 常 具 如 中 邊 論 及 佛 
T85n2755_001:0219a27	性論等說。上二並大乘終教說。言少時無常	性 論 等 說 上 二 並 大 乘 終 教 說 言 少 時 無 常 
T85n2755_001:0219a28	者。以念念生滅無暫時停故。此中名不生不	者 以 念念生滅 無 暫 時 停 故 此 中 名 不 生 不 
T85n2755_001:0219a29	滅者。謂不定生故速滅。不定滅故還生。是故	滅 者 謂 不 定 生 故 速 滅 不 定 滅 故 還 生 是 故 
T85n2755_001:0219b01	約俱不定。亦名不生滅也。二自性不成實無	約 俱 不 定 亦 名 不 生 滅 也 二 自 性 不 成 實 無 
T85n2755_001:0219b02	常者。謂三世中法無自性故。不從前際中來	常 者 謂 三 世 中 法無自性 故 不 從 前 際 中 來 
T85n2755_001:0219b03	名為不生。不去至後際名為不轉。現在不住。	名 為 不 生 不 去 至 後 際 名 為 不 轉 現 在 不 住 
T85n2755_001:0219b04	此中三世約相續門說。若約生滅門。則應說	此 中 三 世 約 相 續 門 說 若 約 生 滅 門 則 應 說 
T85n2755_001:0219b05	當來名來。過去稱去。由有此二門故。與餘處	當 來 名 來 過 去 稱 去 由 有 此 二 門 故 與 餘 處 
T85n2755_001:0219b06	不相違也　第二無救者。初牒前無常是實	不 相 違 也 第 二 無 救 者 初 牒 前 無 常 是 實 
T85n2755_001:0219b07	也。知諸下正顯無救。初言知無作無起者。於	也 知 諸 下 正 顯 無 救 初 言 知 無 作 無 起 者 於 
T85n2755_001:0219b08	無常法中無能為。其起作救護。論經名無有	無 常 法 中 無 能 為 其 起 作 救 護 論 經 名 無 有 
T85n2755_001:0219b09	救者。此是總句。言無來下別辨。於中初四。就	救 者 此 是 總 句 言 無 來 下 別 辨 於 中 初 四 就 
T85n2755_001:0219b10	死明無救。一於少壯時無常未至。望於後死	死 明 無 救 一 於 少 壯 時 無 常 未 至 望 於 後 死 
T85n2755_001:0219b11	無所依。告使其得免故名無所依止。此中名	無 所 依 告 使 其 得 免 故 名 無所依止 此 中 名 
T85n2755_001:0219b12	無來無去者。無有依怙。來能令無常去故云	無 來 無 去 者 無 有 依 怙 來 能 令 無 常 去 故 云 
T85n2755_001:0219b13	也。二於年衰將死名無常至時。無能救者。以	也 二 於 年 衰 將 死 名 無 常 至 時 無 能 救 者 以 
T85n2755_001:0219b14	無常死臨多共憂故名憂。謂憂念相續曰多。	無 常 死 臨 多 共 憂 故 名 憂 謂 憂 念 相 續 曰 多 
T85n2755_001:0219b15	與心俱起曰共。三於生蘊壞時死相現前。中	與 心 俱 起 曰 共 三 於 生 蘊 壞 時 死 相 現 前 中 
T85n2755_001:0219b16	間憂念轉憎名悲。四於四大分時生諸苦惱。	間 憂 念 轉 憎 名 悲 四 於 四 大 分 時 生 諸 苦 惱 
T85n2755_001:0219b17	上四死時無救相顯故。於先辨也。次二句於	上 四 死 時 無 救 相 顯 故 於 先 辨 也 次 二 句 於 
T85n2755_001:0219b18	外受求事中過患無救。初憎愛繫者。謂追求	外 受 求 事 中 過 患 無 救 初 憎 愛 繫 者 謂 追 求 
T85n2755_001:0219b19	時謂貪其所欲增。其不欲於順違境愛憎妄	時 謂 貪 其 所 欲 增 其 不 欲 於 順 違 境 愛 憎 妄 
T85n2755_001:0219b20	想常縛。不捨對治不入故名無救。二論經名	想 常 縛 不 捨 對 治 不 入 故 名 無 救 二 論 經 名 
T85n2755_001:0219b21	憂惱轉多者。於受用時樂少苦多。謂於資財	憂 惱 轉 多 者 於 受 用 時 樂 少 苦 多 謂 於 資 財 
T85n2755_001:0219b22	守護致怨。乃至失命苦惱多於貧窮苦也。此	守 護 致 怨 乃 至 失 命 苦 惱 多 於 貧 窮 苦 也 此 
T85n2755_001:0219b23	經略無此句。下四句約身苦無救。於中初無	經 略 無 此 句 下 四 句 約 身 苦 無 救 於 中 初 無 
T85n2755_001:0219b24	停積者。明身老時少壯不可復集故名無救。	停 積 者 明 身 老 時 少 壯 不 可 復 集 故 名 無 救 
T85n2755_001:0219b25	二無定生處者。明設命盡時不能定知生。於	二 無 定 生 處 者 明 設 命 盡 時 不 能 定 知 生 於 
T85n2755_001:0219b26	何道論經略無此句。三但為貪等者。明少壯	何 道 論 經 略 無 此 句 三 但 為 貪 等 者 明 少 壯 
T85n2755_001:0219b27	時。依三受起三毒自燒善根。亦是衰損自身	時 依 三 受 起 三 毒 自 燒 善 根 亦 是 衰 損 自 身 
T85n2755_001:0219b28	故名無救。四增長後世者。於年衰時無量病	故 名 無 救 四 增 長 後 世 者 於 年 衰 時 無 量 病 
T85n2755_001:0219b29	苦不增長也。病通始終老時多故。又釋因病	苦 不 增 長 也 病 通 始 終 老 時 多 故 又 釋 因 病 
T85n2755_001:0219c01	造業增後世苦。無實如幻者。明虛妄也。論中	造 業 增 後 世 苦 無 實 如 幻 者 明 虛 妄 也 論 中 
T85n2755_001:0219c02	重釋後三句。與初四俱是身患事。何不在初	重 釋 後 三 句 與 初 四 俱 是 身 患 事 何 不 在 初 
T85n2755_001:0219c03	一處同說示。身數數過患事者。顯身患多故。	一 處 同 說 示 身 數 數 過 患 事 者 顯 身 患 多 故 
