T85n2773_001:0423c07	維摩經抄	維 摩 經 抄 
T85n2773_001:0425b07	毀譽不動如須彌　述曰。歎佛平等八風不	毀 譽 不 動 如 須 彌 述 曰 歎 佛 平 等 八 風 不 
T85n2773_001:0425b08	動如須彌山。言八風者。一利。二襄。三毀。四	動 如須彌山 言 八 風 者 一 利 二 襄 三 毀 四 
T85n2773_001:0425b09	譽。五稱。六識。七苦。八樂。此之八法搖動人	譽 五 稱 六 識 七 苦 八 樂 此 之 八 法 搖 動 人 
T85n2773_001:0425b10	心。如世八風吹動諸物。經中舉二攝餘六也。	心 如 世 八 風 吹 動 諸 物 經 中 舉 二 攝 餘 六 也 
T85n2773_001:0425b11	經曰。孰聞人寶不敬承　述曰。佛為人中之	經 曰 孰 聞 人 寶 不 敬 承 述 曰 佛 為 人 中 之 
T85n2773_001:0425b12	寶。希有難見。故喻之寶。孰是誰也。誰聞人	寶 希 有 難 見 故 喻 之 寶 孰 是 誰 也 誰 聞 人 
T85n2773_001:0425b13	寶之名而不敬重修承　經曰。各見世尊在	寶 之 名 而 不 敬 重 修 承 經 曰 各 見 世 尊 在 
T85n2773_001:0425b14	其前　述曰。此歎佛身功德不共凡小。法身	其 前 述 曰 此 歎 佛 身 功 德 不 共 凡 小 法 身 
T85n2773_001:0425b15	圓應猶一月昇天故云各見佛身平等。不背	圓 應 猶 一 月 昇 天 故 云 各 見 佛 身 平 等 不 背 
T85n2773_001:0425b16	眾生故云在其前也。一音說法眾生各解理	眾 生 故 云 在 其 前 也 一 音 說 法 眾 生 各 解 理 
T85n2773_001:0425b17	亦同此　經曰。不著世聞如蓮華□常善入	亦 同 此 經 曰 不 著 世 聞 如 蓮 華 常 善 入 
T85n2773_001:0425b18	於空寂行　述曰。此歎如來即染成淨。此以	於 空 寂 行 述 曰 此 歎 如 來 即 染 成 淨 此 以 
T85n2773_001:0425b19	下句釋上句。常觀諸法空而且寂遊世間。而	下 句 釋 上 句 常 觀 諸 法 空 而 且 寂 遊 世 間 而 
T85n2773_001:0425b20	不染處淤泥而恒淨　經曰。達諸法相無罣	不 染 處 淤 泥 而 恒 淨 經 曰 達 諸 法 相 無 罣 
T85n2773_001:0425b21	礙。稽首如空無所依　述曰。真俗俱空故云	礙 稽 首 如 空 無 所 依 述 曰 真 俗 俱 空 故 云 
T85n2773_001:0425b22	無得。萬物依虛空。虛空無所依。諸法依實相。	無 得 萬 物 依 虛 空 虛 空 無 所 依 諸 法 依 實 相 
T85n2773_001:0425b23	實性無所依　經曰。眾生之類是菩薩佛土	實 性 無 所 依 經 曰 眾 生 之 類 是 菩 薩 佛 土 
T85n2773_001:0425b24	述曰。眾生是佛土之緣。緣中說土故以眾生	述 曰 眾 生 是 佛 土 之 緣 緣 中 說 土 故 以 眾 生 
T85n2773_001:0425b25	而為佛土。道理如何。土本由悲。悲由生起。	而 為 佛 土 道 理 如 何 土 本 由 悲 悲 由 生 起 
T85n2773_001:0425b26	要有眾生悲心始起。要因悲心方得淨土。推	要 有 眾 生 悲 心 始 起 要 因 悲 心 方 得 淨 土 推 
T85n2773_001:0425b27	末就本。眾生是土不亦宜乎。又因生起悲得	末 就 本 眾 生 是 土 不 亦 宜 乎 又 因 生 起 悲 得 
T85n2773_001:0425b28	淨土。一向觀空終不得土。故下喻云。要於空	淨 土 一 向 觀 空 終 不 得 土 故 下 喻 云 要 於 空 
T85n2773_001:0425b29	地造立宮室。隨意無礙。若於虛空終不能成	地 造 立 宮 室 隨 意 無 礙 若 於 虛 空 終 不 能 成 
T85n2773_001:0425c01	人喻菩薩空。喻二空地。喻於有造立宮室。喻	人 喻 菩 薩 空 喻 二 空 地 喻 於 有 造 立 宮 室 喻 
T85n2773_001:0425c02	於修淨土。是則依空依地宮室始成。兼有兼	於 修 淨 土 是 則 依 空 依 地 宮 室 始 成 兼 有 兼 
T85n2773_001:0425c03	空方修淨土。有悲故涉有而廣度眾生。有智	空 方 修 淨 土 有 悲 故 涉 有 而 廣 度 眾 生 有 智 
T85n2773_001:0425c04	故觀空而不著。諸有空有不滯悲智雙行契。	故 觀 空 而 不 著 諸 有 空 有 不 滯 悲 智 雙 行 契 
T85n2773_001:0425c05	此通途淨土。斯得乃至直心。是淨土等其理	此 通 途 淨 土 斯 得 乃 至 直 心 是 淨 土 等 其 理 
T85n2773_001:0425c06	皆然。離空離有即是直心。著有著空皆成偏	皆 然 離 空 離 有 即 是 直 心 著 有 著 空 皆 成 偏 
T85n2773_001:0425c07	曲。乃至下文云。隨其心淨則佛土淨。皆同	曲 乃 至 下 文 云 隨 其 心 淨 則 佛 土 淨 皆 同 
T85n2773_001:0425c08	此義。則知一念直心十方頓淨。剎那偏曲垢	此 義 則 知 一 念 直 心 十 方 頓 淨 剎 那 偏 曲 垢 
T85n2773_001:0425c09	穢斯興淨土。一章大綱如是　經曰。於是佛	穢 斯 興 淨 土 一 章 大 綱 如 是 經 曰 於 是 佛 
T85n2773_001:0425c10	以足指按地即時三千大千世界。若干百千	以 足 指 按 地 即 時 三千大千世界 若 干 百 千 
T85n2773_001:0425c11	珍寶嚴飾。譬如寶莊嚴佛。無量功德寶莊嚴	珍 寶 嚴 飾 譬 如 寶 莊 嚴 佛 無量功德 寶 莊 嚴 
T85n2773_001:0425c12	土　述曰。此明淨穢二土非一非二。非即非	土 述 曰 此 明 淨 穢 二 土 非 一 非 二 非 即 非 
T85n2773_001:0425c13	離心淨故即穢見淨。心垢故即淨見穢。尅實	離 心 淨 故 即 穢 見 淨 心 垢 故 即 淨 見 穢 尅 實 
T85n2773_001:0425c14	而論以佛眼觀佛土常淨。凡夫眼見佛土恒	而 論 以 佛 眼 觀 佛 土 常 淨 凡 夫 眼 見 佛 土 恒 
T85n2773_001:0425c15	穢。今欲變穢成淨。託以按地為緣。亦明妄從	穢 今 欲 變 穢 成 淨 託 以 按 地 為 緣 亦 明 妄 從 
T85n2773_001:0425c16	真生穢從淨起。故下經云。從無住本立一切	真 生 穢 從 淨 起 故 下 經 云 從 無 住 本 立 一 切 
T85n2773_001:0425c17	法。問曰。淨穢兩土為當同體異見。為當別體	法 問 曰 淨 穢 兩 土 為 當 同 體 異 見 為 當 別 體 
T85n2773_001:0425c18	異見。為當無體妄見。有古德安法師釋曰淨	異 見 為 當 無 體 妄 見 有 古 德 安 法 師 釋 曰 淨 
T85n2773_001:0425c19	穢二土一質不成。異質不成。無質不成。故淨	穢 二 土 一 質 不 成 異 質 不 成 無 質 不 成 故 淨 
