X58n1023_001:0623c06	華嚴大意	華 嚴 大 意 
X58n1023_001:0623c21	一答。如常人說話。又不曾作機會。又不曾作禪道佛	一 答 如 常 人 說 話 又 不 曾 作 機 會 又 不 曾 作 禪 道 佛 
X58n1023_001:0623c22	法會。爾之江南。我之湖北。爾之天上。我之人間。四方	法 會 爾 之 江 南 我 之 湖 北 爾 之 天 上 我 之 人 間 四 方 
X58n1023_001:0623c23	八面。無不相應。若不到與麼田地。縱將一大藏教一	八 面 無 不 相 應 若 不 到 與 麼 田 地 縱 將 一 大 藏 教 一 
X58n1023_001:0623c24	口吐出。堆山塞海。總無用處。世尊未陞座。文殊未白	口 吐 出 堆 山 塞 海 總 無 用 處 世 尊 未 陞 座 文 殊 未 白 
X58n1023_001:0624a01	槌。趙州投子未相見。已將全機交付了。盡華嚴法界	槌 趙 州 投 子 未 相 見 已 將 全 機 交 付 了 盡 華 嚴 法 界 
X58n1023_001:0624a02	香水海一切諸佛諸善知識。却無措手脚處。經云。如	香 水 海 一切諸佛 諸 善 知 識 却 無 措 手 脚 處 經 云 如 
X58n1023_001:0624a03	來深境界。其量等虗空。一切眾生入。而實無所入。既	來 深 境 界 其 量 等 虗 空 一 切 眾 生 入 而 實 無 所 入 既 
X58n1023_001:0624a04	無所入。安有所說。此外不可為儞別加方便。古人云。	無 所 入 安 有 所 說 此 外 不 可 為 儞 別 加 方 便 古 人 云 
X58n1023_001:0624a05	參須實參。悟須實悟。如懶融未見四祖。馬祖未見南	參 須 實 參 悟 須 實 悟 如 懶 融 未 見 四 祖 馬 祖 未 見 南 
X58n1023_001:0624a06	嶽。他何曾似。今學者東卜西卜。個個死心榻地。學者	嶽 他 何 曾 似 今 學 者 東 卜 西 卜 個 個 死 心 榻 地 學 者 
X58n1023_001:0624a07	只知開口處。將謂容易安身著脚。不知未開口時。縱	只 知 開 口 處 將 謂 容 易 安 身 著 脚 不 知 未 開 口 時 縱 
X58n1023_001:0624a08	是佛祖也難近傍。僧問雲門。如何是一代時教。門云。	是 佛 祖 也 難 近 傍 僧 問 雲 門 如 何 是 一 代 時 教 門 云 
X58n1023_001:0624a09	對一說一。且道與世尊陞座。文殊白槌。差別多少。僧	對 一 說 一 且 道 與 世 尊 陞 座 文 殊 白 槌 差 別 多 少 僧 
X58n1023_001:0624a10	問趙州。萬法歸一。一歸何處。州云。我在青州做領布	問 趙 州 萬 法 歸 一 一 歸 何 處 州 云 我 在 青 州 做 領 布 
X58n1023_001:0624a11	衫重七觔。這等說話。前後遠近。宛爾一般。古人行到	衫 重 七 觔 這 等 說 話 前 後 遠 近 宛 爾 一 般 古 人 行 到 
X58n1023_001:0624a12	說到。一一皆在大不思議海。昔香嚴和尚。在溈山。問	說 到 一 一 皆 在 大 不 思 議 海 昔 香 嚴 和 尚 在 溈 山 問 
X58n1023_001:0624a13	一答十。問十答百。溈山向真參實悟處。痛與一劄。嚴	一 答 十 問 十 答 百 溈 山 向 真 參 實 悟 處 痛 與 一 劄 嚴 
X58n1023_001:0624a14	不知所以。于是入南陽卓菴。擊竹有省。後出世曰。老	不 知 所 以 于 是 入 南 陽 卓 菴 擊 竹 有 省 後 出 世 曰 老 
X58n1023_001:0624a15	僧四十年方打成一片。趙州和尚二十餘年。除粥飯	僧 四 十 年 方 打 成 一 片 趙 州 和 尚 二 十 餘 年 除 粥 飯 
X58n1023_001:0624a16	屎尿。是雜用心處。高峯三十年不出死關。先師四十	屎 尿 是 雜 用 心 處 高 峯 三 十 年 不 出 死 關 先 師 四 十 
X58n1023_001:0624a17	年惟一念。長慶稜公。坐破蒲團七箇。山僧做工夫十	年 惟 一 念 長 慶 稜 公 坐 破 蒲 團 七 箇 山 僧 做 工 夫 十 
X58n1023_001:0624a18	三年。身不放倒。今年七十餘。猶念死生。未敢離于正	三 年 身 不 放 倒 今 年 七 十 餘 猶 念 死 生 未 敢 離 于 正 
X58n1023_001:0624a19	念。古人念念在定。于生死不亂。今人念念在亂。于生	念 古 人 念 念 在 定 于 生 死 不 亂 今 人 念 念 在 亂 于 生 
X58n1023_001:0624a20	死不定。學者還知正念麼。如前所說。乃如來深境界	死 不 定 學 者 還 知 正 念 麼 如前所說 乃 如 來 深 境 界 
X58n1023_001:0624a21	是也。山僧昔年到先師處。徵問到無結角下手處。不	是 也 山 僧 昔 年 到 先 師 處 徵 問 到 無 結 角 下 手 處 不 
X58n1023_001:0624a22	免盡力掀倒。先師說箇是字。如今勘來多少錯。任緣	免 盡 力 掀 倒 先 師 說 箇 是 字 如 今 勘 來 多 少 錯 任 緣 
X58n1023_001:0624a23	隨分。且待命根子斷。山僧每于華嚴留心。據我所見。	隨 分 且 待 命 根 子 斷 山 僧 每 于 華 嚴 留 心 據 我 所 見 
X58n1023_001:0624a24	善財參五十三善知識。未嘗動步。五十三善知識教	善 財 參 五 十 三 善 知 識 未 嘗 動 步 五 十 三 善 知 識 教 
X58n1023_001:0624b01	授善財。未嘗開口。我毗盧舍那如來雜華藏海。一字	授 善 財 未 嘗 開 口 我 毗 盧 舍 那 如 來 雜 華 藏 海 一 字 
X58n1023_001:0624b02	一句。一切字一切句。一一具足四天下微塵數不可	一 句 一 切 字 一 切 句 一 一 具 足 四 天 下 微 塵 數 不 可 
X58n1023_001:0624b03	說。轉轉不可說。一一三昧。一一語言。一一香水海。一	說 轉 轉 不 可 說 一 一 三 昧 一 一 語 言 一 一 香 水 海 一 
X58n1023_001:0624b04	一輪圍山。一一毗盧華藏。一一彌勒樓閣。一一諸佛	一 輪 圍 山 一 一 毗 盧 華 藏 一 一 彌 勒 樓 閣 一 一 諸 佛 
X58n1023_001:0624b05	菩薩。一一大善知識。一一觀彼所說諸佛華藏。一一	菩 薩 一 一 大 善 知 識 一 一 觀 彼 所 說 諸 佛 華 藏 一 一 
X58n1023_001:0624b06	語言三昧。一一辨才三昧。一一神通無礙。一一佛神	語 言 三 昧 一 一 辨 才 三 昧 一 一 神 通 無 礙 一 一 佛 神 
X58n1023_001:0624b07	力莊嚴佛剎微塵數諸佛世界。一一諸佛世尊所演	力 莊 嚴 佛 剎 微 塵 數 諸 佛 世 界 一 一 諸佛世尊 所 演 
X58n1023_001:0624b08	佛剎微塵數三昧門。不可思議。微細微細。極微細處。	佛 剎 微 塵 數 三 昧 門 不可思議 微 細 微 細 極 微 細 處 
X58n1023_001:0624b09	則知諸佛菩薩。及五十三知識所說佛剎微塵數。諸	則 知 諸佛菩薩 及 五 十 三 知 識 所 說 佛 剎 微 塵 數 諸 
X58n1023_001:0624b10	佛藏海一一三昧。于我自受用一真三昧。遮那如來。	佛 藏 海 一 一 三 昧 于 我 自 受 用 一 真 三 昧 遮 那 如 來 
X58n1023_001:0624b11	無增無減。無彼無此。華嚴藏海諸佛菩薩。諸善知識。	無增無減 無 彼 無 此 華 嚴 藏 海 諸佛菩薩 諸 善 知 識 
X58n1023_001:0624b12	各各盡彼神通三昧。向我遮那諸佛佛剎微塵數。三	各 各 盡 彼 神 通 三 昧 向 我 遮 那 諸 佛 佛 剎 微 塵 數 三 
X58n1023_001:0624b13	昧大不思議海。轉不可說三昧。一一莊嚴。一一文字。	昧 大 不 思 議 海 轉 不 可 說 三 昧 一 一 莊 嚴 一 一 文 字 
X58n1023_001:0624b14	一一摩尼寶光明。一一佛剎微塵數寶牀寶座。寶帳	一 一 摩 尼 寶 光 明 一 一 佛 剎 微 塵 數 寶 牀 寶 座 寶 帳 
X58n1023_001:0624b15	寶綱。寶樹寶雲。寶蓮華。寶瓔珞。一一佛剎微塵數獅	寶 綱 寶 樹 寶 雲 寶 蓮 華 寶 瓔 珞 一 一 佛 剎 微 塵 數 獅 
X58n1023_001:0624b16	子幢雲。摩尼幢雲。燈雲燄雲。華燄雲。香燄雲。一一佛	子 幢 雲 摩 尼 幢 雲 燈 雲 燄 雲 華 燄 雲 香 燄 雲 一 一 佛 
X58n1023_001:0624b17	剎微塵數摩尼寶光聚。一一佛剎微塵數諸佛變化	剎 微 塵 數 摩 尼 寶 光 聚 一 一 佛 剎 微 塵 數 諸 佛 變 化 
X58n1023_001:0624b18	莊嚴身。一一佛剎微塵數國城善知識。與夫目前山	莊 嚴 身 一 一 佛 剎 微 塵 數 國 城 善 知 識 與 夫 目 前 山 
X58n1023_001:0624b19	河大地萬象森羅。種種差別聲音。差別幻化。差別相	河 大 地 萬 象 森 羅 種種差別 聲 音 差 別 幻 化 差 別 相 
X58n1023_001:0624b20	好。乃至諸大地獄。八寒八熱。萬死萬生。及彼忉利諸	好 乃 至 諸 大 地 獄 八 寒 八 熱 萬 死 萬 生 及 彼 忉 利 諸 
X58n1023_001:0624b21	天天樂。一一佛剎微塵數不可說。不可說。轉不可說。	天 天 樂 一 一 佛 剎 微 塵 數 不 可 說 不 可 說 轉 不 可 說 
X58n1023_001:0624b22	轉轉不可說。總是箇華嚴藏海。一真三昧。與麼則佛	轉 轉 不 可 說 總 是 箇 華 嚴 藏 海 一 真 三 昧 與 麼 則 佛 
X58n1023_001:0624b23	剎微塵數華嚴藏海。諸佛諸菩薩。諸善知識。諸天人	剎 微 塵 數 華 嚴 藏 海 諸 佛 諸 菩 薩 諸 善 知 識 諸 天 人 
X58n1023_001:0624b24	非人等。而又一一佛剎微塵數不可說。不可說。轉不	非 人 等 而 又 一 一 佛 剎 微 塵 數 不 可 說 不 可 說 轉 不 
X58n1023_001:0624c01	可說。轉轉不可說。一一四生六道。蠢動含靈。有情無	可 說 轉 轉 不 可 說 一 一 四 生 六 道 蠢 動 含 靈 有 情 無 
X58n1023_001:0624c02	情。一一皆總在我佛剎微塵數極微塵數。華嚴藏海。	情 一 一 皆 總 在 我 佛 剎 微 塵 數 極 微 塵 數 華 嚴 藏 海 
X58n1023_001:0624c03	一一混融無礙。山僧如是說。汝等如是聞。諸佛如是	一 一 混 融 無 礙 山 僧 如 是 說 汝 等 如 是 聞 諸 佛 如 是 
X58n1023_001:0624c04	住。一切眾生如是見。眾生如是見。諸佛如是住。汝等	住 一 切 眾 生 如 是 見 眾 生 如 是 見 諸 佛 如 是 住 汝 等 
X58n1023_001:0624c05	如是聞。山僧如是說。而又各各一一聞見住說。一一	如 是 聞 山 僧 如 是 說 而 又 各 各 一 一 聞 見 住 說 一 一 
X58n1023_001:0624c06	塵沙艸葉。則有佛剎微塵數諸佛世界。一一塵。一一	塵 沙 艸 葉 則 有 佛 剎 微 塵 數 諸 佛 世 界 一 一 塵 一 一 
X58n1023_001:0624c07	沙。一一艸。一一葉。佛剎微塵數諸佛世界。一一經歷	沙 一 一 艸 一 一 葉 佛 剎 微 塵 數 諸 佛 世 界 一 一 經 歷 
X58n1023_001:0624c08	諸佛世界三昧。一一諸佛三昧佛剎微塵數世界。了	諸 佛 世 界 三 昧 一 一 諸 佛 三 昧 佛 剎 微 塵 數 世 界 了 
X58n1023_001:0624c09	不可得。而我了知一一諸佛世界。種種差別。一切幻	不 可 得 而 我 了 知 一 一 諸 佛 世 界 種種差別 一 切 幻 
X58n1023_001:0624c10	化。一一皆不可得。皆不可了。而我知其不可了。不可	化 一 一 皆 不 可 得 皆 不 可 了 而 我 知 其 不 可 了 不 可 
X58n1023_001:0624c11	見。不可得。我常一念恒處于寂滅定。求寂滅法。實無	見 不 可 得 我 常 一 念 恒 處 于 寂 滅 定 求 寂 滅 法 實 無 
X58n1023_001:0624c12	所有。如是則寂滅念中。一切諸佛。一切佛剎微塵諸	所 有 如 是 則 寂 滅 念 中 一切諸佛 一 切 佛 剎 微 塵 諸 
X58n1023_001:0624c13	三昧海。種種莊嚴。種種世界。種種差別。種種供養。諸	三 昧 海 種 種 莊 嚴 種 種 世 界 種種差別 種種供養 諸 
X58n1023_001:0624c14	佛幻化。我亦無念。以茲無念諸佛幻化。念念具足。念	佛 幻 化 我 亦 無 念 以 茲 無 念 諸 佛 幻 化 念 念 具 足 念 
X58n1023_001:0624c15	念不違。謂之華嚴法界大意。幻有之說。而幻有如是	念 不 違 謂 之 華 嚴 法 界 大 意 幻 有 之 說 而 幻 有 如 是 
X58n1023_001:0624c16	三昧。況八十一軸之文。及十法界品之說。不可思。不	三 昧 況 八 十 一 軸 之 文 及 十 法 界 品 之 說 不 可 思 不 
X58n1023_001:0624c17	可議書而盡為一軸。卷之放之而更収之。與麼則八	可 議 書 而 盡 為 一 軸 卷 之 放 之 而 更 収 之 與 麼 則 八 
X58n1023_001:0624c18	十一軸百城烟水。總是外事。諸佛菩薩。諸善知識。皆	十 一 軸 百 城 烟 水 總 是 外 事 諸佛菩薩 諸 善 知 識 皆 
X58n1023_001:0624c19	為客塵。不妨逆行順行。橫說竪說。塵說剎說。所以經	為 客 塵 不 妨 逆 行 順 行 橫 說 竪 說 塵 說 剎 說 所 以 經 
X58n1023_001:0624c20	中道。由親近善知識。能勇猛勤修一切智道。由親近	中 道 由 親近善知識 能 勇 猛 勤 修 一 切 智 道 由 親 近 
X58n1023_001:0624c21	善知識。能速疾出生諸大願海。由親近善知識。能于	善 知 識 能 速 疾 出 生 諸 大 願 海 由 親近善知識 能 于 
X58n1023_001:0624c22	一微塵中說法□徧法界。由親近善知識。于念念行。	一 微 塵 中 說 法 徧 法 界 由 親近善知識 于 念 念 行 
X58n1023_001:0624c23	究竟安住一切智地。由親近善知識。而能往十方國	究 竟 安 住 一切智地 由 親近善知識 而 能 往 十 方 國 
X58n1023_001:0624c24	土。見善知識心不散亂。見善知識破障山。見善知識	土 見 善 知 識 心 不 散 亂 見 善 知 識 破 障 山 見 善 知 識 
X58n1023_001:0625a01	入大悲海。救護眾生。見善知識得智慧光。普照法界。	入 大 悲 海 救 護 眾 生 見 善 知 識 得 智 慧 光 普 照 法 界 
X58n1023_001:0625a02	見善知識普能覩見十方佛海。見善知識得見諸佛	見 善 知 識 普 能 覩 見 十 方 佛 海 見 善 知 識 得 見 諸 佛 
X58n1023_001:0625a03	轉于法輪。與麼則佛剎微塵數善知識。正好逐位參	轉 于 法 輪 與 麼 則 佛 剎 微 塵 數 善 知 識 正 好 逐 位 參 
X58n1023_001:0625a04	求。佛剎微塵數諸佛三昧。不妨從頭請問。善知識者。	求 佛 剎 微 塵 數 諸 佛 三 昧 不 妨 從 頭 請 問 善 知 識 者 
X58n1023_001:0625a05	有如是不可思議。不可說。無量無邊清淨三昧。欲親	有 如 是 不可思議 不 可 說 無量無邊 清 淨 三 昧 欲 親 
X58n1023_001:0625a06	近善知識者。必具大因緣。具無上智。發無上心。經百	近 善 知 識 者 必 具 大 因 緣 具 無 上 智 發 無 上 心 經 百 
X58n1023_001:0625a07	千劫。久遠不退。始得如是相應。首座只如文殊大士。	千 劫 久 遠 不 退 始 得 如 是 相 應 首 座 只 如 文 殊 大 士 
X58n1023_001:0625a08	伸一臂過佛剎微塵數諸佛世界。摩善財頂。山僧不	伸 一 臂 過 佛 剎 微 塵 數 諸 佛 世 界 摩 善 財 頂 山 僧 不 
X58n1023_001:0625a09	動本座。過佛剎微塵數諸佛世界。將華藏海遮那如	動 本 座 過 佛 剎 微 塵 數 諸 佛 世 界 將 華 藏 海 遮 那 如 
X58n1023_001:0625a10	來。不可思議三昧。向一毫頭滔滔說出。且道與文殊	來 不可思議 三 昧 向 一 毫 頭 滔 滔 說 出 且 道 與 文 殊 
X58n1023_001:0625a11	是同是別。非同非別。總同總別。師擲去筆云。紙盡矣。	是 同 是 別 非 同 非 別 總 同 總 別 師 擲 去 筆 云 紙 盡 矣 
X58n1023_001:0625a12	卷之。	卷 之 
X58n1023_001:0625a14	華嚴大意(終)	華 嚴 大 意 終 
