T51n2091_001:0997c03	燉煌錄	燉 煌 錄 
T51n2091_001:0997c17	神祠。壁畫吐蕃贊普部從。其山西壁南北二	神 祠 壁 畫 吐 蕃 贊 普 部 從 其 山 西 壁 南 北 二 
T51n2091_001:0997c18	里。並是鐫鑿高大沙窟。塑畫佛像。每窟動計	里 並 是 鐫 鑿 高 大 沙 窟 塑 畫 佛 像 每 窟 動 計 
T51n2091_001:0997c19	費稅百萬。前設樓閣數層。有大像堂殿。其像	費 稅 百 萬 前 設 樓 閣 數 層 有 大 像 堂 殿 其 像 
T51n2091_001:0997c20	長一百六十尺。其小龕無數。悉有虛檻通。連	長 一 百 六 十 尺 其 小 龕 無 數 悉 有 虛 檻 通 連 
T51n2091_001:0997c21	巡禮遊覽之景。次南山有觀音菩薩會現之	巡 禮 遊 覽 之 景 次 南 山 有 觀 音 菩 薩 會 現 之 
T51n2091_001:0997c22	處。郡人每詣彼。必徒行來往。其恭敬如是。鳴	處 郡 人 每 詣 彼 必 徒 行 來 往 其 恭 敬 如 是 鳴 
T51n2091_001:0997c23	沙山去州十里。其山東西八十里。南北四十	沙 山 去 州 十 里 其 山 東 西 八 十 里 南 北 四 十 
T51n2091_001:0997c24	里。高處五百尺。悉純沙聚起。此山神異。峯如	里 高 處 五 百 尺 悉 純 沙 聚 起 此 山 神 異 峯 如 
T51n2091_001:0997c25	削成。其間有井。沙不能蔽。盛夏自鳴。人馬踐	削 成 其 間 有 井 沙 不 能 蔽 盛 夏 自 鳴 人 馬 踐 
T51n2091_001:0997c26	之聲振數十里。風俗端午日。城中子女皆躋	之 聲 振 數 十 里 風 俗 端 午 日 城 中 子 女 皆 躋 
T51n2091_001:0997c27	高峯。一齊蹙下。其沙聲吼如雷。至曉看之。峭	高 峯 一 齊 蹙 下 其 沙 聲 吼 如 雷 至 曉 看 之 峭 
T51n2091_001:0997c28	崿如舊。古號鳴沙。神沙而祠焉。近南有甘泉。	崿 如 舊 古 號 鳴 沙 神 沙 而 祠 焉 近 南 有 甘 泉 
T51n2091_001:0997c29	自沙山南。其上源出大雪山。於西南壽昌縣	自 沙 山 南 其 上 源 出 大 雪 山 於 西 南 壽 昌 縣 
T51n2091_001:0998a01	界入燉煌。以其沃潤之功俗號甘泉。	界 入 燉 煌 以 其 沃 潤 之 功 俗 號 甘 泉 
T51n2091_001:0998a02	金鞍山在沙山西南。經夏常有雪。山中有神	金 鞍 山 在 沙 山 西 南 經 夏 常 有 雪 山 中 有 神 
T51n2091_001:0998a03	祠。甚靈。人不敢近。每歲土主望祀獻駿馬。驅	祠 甚 靈 人 不 敢 近 每 歲 土 主 望 祀 獻 駿 馬 驅 
T51n2091_001:0998a04	入山中。稍近立致雷電風雹之患。州西南有	入 山 中 稍 近 立 致 雷 電 風 雹 之 患 州 西 南 有 
T51n2091_001:0998a05	李先王廟。即西涼昭王先世之廟。乾封年。廟	李 先 王 廟 即 西 涼 昭 王 先 世 之 廟 乾 封 年 廟 
T51n2091_001:0998a06	側得瑞石。其色翠碧。有赤文古字云。卜世三	側 得 瑞 石 其 色 翠 碧 有 赤 文 古 字 云 卜 世 三 
T51n2091_001:0998a07	十。卜年七百。今人呼為李廟。	十 卜 年 七 百 今 人 呼 為 李 廟 
T51n2091_001:0998a08	州西有陽關。即故玉門關。因沙州刺史陽明	州 西 有 陽 關 即 故 玉 門 關 因 沙 州 刺 史 陽 明 
T51n2091_001:0998a09	詔追拒命奔出此關。後人呼為陽關。接鄯善	詔 追 拒 命 奔 出 此 關 後 人 呼 為 陽 關 接 鄯 善 
T51n2091_001:0998a10	城。險阻乏水草。不通人行。其關後移州東。城	城 險 阻 乏 水 草 不 通 人 行 其 關 後 移 州 東 城 
T51n2091_001:0998a11	西八十五里。有玉女泉。人傳頗有虛。每歲	西 八 十 五 里 有 玉 女 泉 人 傳 頗 有 虛 每 歲 
T51n2091_001:0998a12	此郡率童男女各一人。充祭湫神。年則順成。	此 郡 率 童 男 女 各 一 人 充 祭 湫 神 年 則 順 成 
T51n2091_001:0998a13	不爾損苗。父母雖苦生離兒女。為神所錄。歡	不 爾 損 苗 父 母 雖 苦 生 離 兒 女 為 神 所 錄 歡 
T51n2091_001:0998a14	然携手而沒神龍中。刺史張孝嵩下車求。郡	然 携 手 而 沒 神 龍 中 刺 史 張 孝 嵩 下 車 求 郡 
T51n2091_001:0998a15	人告之。大守怒曰。豈有川源妖怪害我生靈。	人 告 之 大 守 怒 曰 豈 有 川 源 妖 怪 害 我 生 靈 
T51n2091_001:0998a16	遂設壇備性泉側曰。願見本身。欲親享。神乃	遂 設 壇 備 性 泉 側 曰 願 見 本 身 欲 親 享 神 乃 
T51n2091_001:0998a17	化為一龍從水而出。太守應弦中喉。拔劍斬	化 為 一 龍 從 水 而 出 太 守 應 弦 中 喉 拔 劍 斬 
T51n2091_001:0998a18	首。親詣闕進上。玄宗嘉稱再三。遂賜龍舌。勅	首 親 詣 闕 進 上 玄 宗 嘉 稱 再 三 遂 賜 龍 舌 勅 
T51n2091_001:0998a19	號龍舌。張氏編在簡書。郡城西北一里有寺。	號 龍 舌 張 氏 編 在 簡 書 郡 城 西 北 一 里 有 寺 
T51n2091_001:0998a20	古木陰森。中有小堡。上設廊殿。具體而徵。先	古 木 陰 森 中 有 小 堡 上 設 廊 殿 具 體 而 徵 先 
T51n2091_001:0998a21	有沙倅張球。已邁從心。寓止于此。雖非博學。	有 沙 倅 張 球 已 邁 從 心 寓 止 于 此 雖 非 博 學 
T51n2091_001:0998a22	亦甚苦心。蓋經亂年多。習業人少。遂集後進。	亦 甚 苦 心 蓋 經 亂 年 多 習 業 人 少 遂 集 後 進 
T51n2091_001:0998a23	以闡大猷。天不愍遺。民受其賜。	以 闡 大 猷 天 不 愍 遺 民 受 其 賜 
T51n2091_001:0998a24	石膏山在州北二百五十六里。烏山烽山石	石 膏 山 在 州 北 二百五十 六 里 烏 山 烽 山 石 
T51n2091_001:0998a25	間出其膏。開皇十九年。烏山變白。中驗不虛	間 出 其 膏 開 皇 十 九 年 烏 山 變 白 中 驗 不 虛 
T51n2091_001:0998a26	遣道士皇甫德琮等七人。祭醮。自後望如雪	遣 道 士 皇 甫 德 琮 等 七 人 祭 醮 自 後 望 如 雪 
T51n2091_001:0998a27	峯。	峯 
T51n2091_001:0998a28	河倉城州西北二百三十里。古時軍儲在彼。	河 倉 城 州 西 北 二 百 三 十 里 古 時 軍 儲 在 彼 
T51n2091_001:0998a29	長城在州北。其城六十三里。正西入磧。前漢	長 城 在 州 北 其 城 六 十 三 里 正 西 入 磧 前 漢 
T51n2091_001:0998b01	所卜置。北入伊州界。	所 卜 置 北 入 伊 州 界 
T51n2091_001:0998b02	燉煌錄一卷	燉 煌 錄 一 卷 
