X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_001:0276a23	前進。若等多劫以半日。現大千於一身。龍女之成佛	前 進 若 等 多 劫 以 半 日 現 大 千 於 一 身 龍 女 之 成 佛 
X30n0602_001:0276a24	不輕之徧記。藥王之然身。觀音之隨應。淨藏之轉邪。	不 輕 之 徧 記 藥 王 之 然 身 觀 音 之 隨 應 淨 藏 之 轉 邪 
X30n0602_001:0276b01	普賢之勸發。凡以是也。不明此事則滿目陳言。開佛	普 賢 之 勸 發 凡 以 是 也 不 明 此 事 則 滿 目 陳 言 開 佛 
X30n0602_001:0276b02	知見則孰非妙法。竊觀一期之問答。見全經之述作	知 見 則 孰 非 妙 法 竊 觀 一 期 之 問 答 見 全 經 之 述 作 
X30n0602_001:0276b03	矣。儻沿披味深造而自得。遂可跏趺無量義處。反照	矣 儻 沿 披 味 深 造 而 自 得 遂 可 跏 趺 無 量 義 處 反 照 
X30n0602_001:0276b04	白毫相光。開方便門示真實相。直拋糞器長御白牛。	白毫相光 開 方 便 門 示 真 實 相 直 拋 糞 器 長 御 白 牛 
X30n0602_001:0276b05	則一乘妙法備在我而不在佛。備在心而不在經矣。	則 一 乘 妙 法 備 在 我 而 不 在 佛 備 在 心 而 不 在 經 矣 
X30n0602_001:0276b06	譬如琴瑟箜篌雖有妙音。若無妙指終不能發。則夫	譬 如 琴 瑟 箜 篌 雖 有 妙 音 若 無 妙 指 終 不 能 發 則 夫 
X30n0602_001:0276b07	欲發明是事。當以斯解為妙指也。	欲 發 明 是 事 當 以 斯 解 為 妙 指 也 
X30n0602_001:0276b08	靖康丁未春暮中澣日謹序	靖 康 丁 未 春 暮 中 澣 日 謹 序 
X30n0602_001:0276c04	法華經要解目次	法 華 經 要 解 目 次 
X30n0602_001:0276c06	卷首	卷 首 
X30n0602_001:0276c07	科	科 
X30n0602_001:0276c08	卷第一之一	卷 第 一 之 一 
X30n0602_001:0276c09	序祥邁註弘傳序	序 祥 邁 註 弘 傳 序 
X30n0602_001:0276c10	序品第一	序 品 第 一 
X30n0602_001:0276c11	卷第一之二	卷 第 一 之 二 
X30n0602_001:0276c12	序品之餘方便品第二	序 品 之 餘 方 便 品 第 二 
X30n0602_001:0276c13	卷第一之三	卷 第 一 之 三 
X30n0602_001:0276c14	方便品之餘	方 便 品 之 餘 
X30n0602_001:0276c15	卷第二之一	卷 第 二 之 一 
X30n0602_001:0276c16	譬喻品第三	譬 喻 品 第 三 
X30n0602_001:0276c17	卷第二之二	卷 第 二 之 二 
X30n0602_001:0276c18	譬喻品之餘	譬 喻 品 之 餘 
X30n0602_001:0276c19	卷第二之三	卷 第 二 之 三 
X30n0602_001:0276c20	信解品第四	信 解 品 第 四 
X30n0602_001:0276c21	卷第三之一	卷 第 三 之 一 
X30n0602_001:0276c22	藥草喻品第五授記品第六	藥 草 喻 品 第 五 授 記 品 第 六 
X30n0602_001:0276c23	卷第三之二	卷 第 三 之 二 
X30n0602_001:0276c24	化城喻品第七	化 城 喻 品 第 七 
X30n0602_001:0277a01	卷第三之三	卷 第 三 之 三 
X30n0602_001:0277a02	化城喻品之餘	化 城 喻 品 之 餘 
X30n0602_001:0277a03	卷第四之一	卷 第 四 之 一 
X30n0602_001:0277a04	五百弟子品第八人記品第九	五 百 弟 子 品 第 八 人 記 品 第 九 
X30n0602_001:0277a05	卷第四之二	卷 第 四 之 二 
X30n0602_001:0277a06	法師品第十寶塔品第十一	法 師 品 第 十 寶 塔 品 第 十 一 
X30n0602_001:0277a07	卷第四之三	卷 第 四 之 三 
X30n0602_001:0277a08	提婆達多品第十二持品第十三	提 婆 達 多 品 第 十 二 持 品 第 十 三 
X30n0602_001:0277a09	卷第五之一	卷 第 五 之 一 
X30n0602_001:0277a10	安樂行品第十四	安樂行品 第 十 四 
X30n0602_001:0277a11	卷第五之二	卷 第 五 之 二 
X30n0602_001:0277a12	涌出品第十五壽量品第十六	涌 出 品 第 十 五 壽 量 品 第 十 六 
X30n0602_001:0277a13	卷第五之三	卷 第 五 之 三 
X30n0602_001:0277a14	分別功德品第十七	分 別 功 德 品 第 十 七 
X30n0602_001:0277a15	卷第六之一	卷 第 六 之 一 
X30n0602_001:0277a16	隨喜功德品第十八法師功德品第十九	隨 喜 功 德 品 第 十 八 法 師 功 德 品 第 十 九 
X30n0602_001:0277a17	卷第六之二	卷 第 六 之 二 
X30n0602_001:0277a18	不輕品第二十神力品第二十一	不 輕 品 第 二 十 神 力 品 第 二 十 一 
X30n0602_001:0277a19	囑累品第二十二	囑 累 品 第 二 十 二 
X30n0602_001:0277a20	卷第六之三	卷 第 六 之 三 
X30n0602_001:0277a21	藥王品第二十二	藥 王 品 第 二 十 二 
X30n0602_001:0277a22	卷第七之一	卷 第 七 之 一 
X30n0602_001:0277a23	妙音品第二十四普門品第二十五	妙 音 品 第 二 十 四 普 門 品 第 二 十 五 
X30n0602_001:0277a24	卷第七之二	卷 第 七 之 二 
X30n0602_001:0277b01	陀羅尼品第二十六莊嚴品第二十七	陀 羅 尼 品 第 二 十 六 莊 嚴 品 第 二 十 七 
X30n0602_001:0277b02	勸發品第二十八	勸 發 品 第 二 十 八 
X30n0602_001:0277b04	法華經要解目次(終)	法 華 經 要 解 目 次 終 
X30n0602_001:0277c03	 妙法蓮華經弘傳序	 妙法蓮華 經 弘 傳 序 
X30n0602_001:0277c05	道者山如意野老　祥邁　註	道 者 山 如 意 野 老 祥 邁 註 
X30n0602_001:0277c06	妙法。	妙 法 
X30n0602_001:0277c07	注曰。梵云薩達磨。此云妙法。或云正法。葢薩字之	注 曰 梵 云 薩 達 磨 此 云 妙 法 或 云 正 法 葢 薩 字 之 
X30n0602_001:0277c08	中含攝二義。故秦本妙法晉本正法皆無失也。具	中 含 攝 二 義 故 秦 本 妙 法 晉 本 正 法 皆 無 失 也 具 
X30n0602_001:0277c09	十妙義獨勝餘經。故云妙也。一乘真宗中道了義。	十 妙 義 獨 勝 餘 經 故 云 妙 也 一 乘 真 宗 中 道 了 義 
X30n0602_001:0277c10	故云正也。住持真理為物軌範。故云法也。天台玄	故 云 正 也 住 持 真 理 為 物 軌 範 故 云 法 也 天 台 玄 
X30n0602_001:0277c11	義慈恩玄贊廣陳義門。此不具錄。	義 慈 恩 玄 贊 廣 陳 義 門 此 不 具 錄 
X30n0602_001:0277c12	蓮華。	蓮 華 
X30n0602_001:0277c13	注曰。梵云奔茶利迦。此云白蓮華。白為眾色之本。	注 曰 梵 云 奔 茶 利 迦 此 云 白 蓮 華 白 為 眾 色 之 本 
X30n0602_001:0277c14	一乘為餘乘之宗。故取喻之。如下經中初放白毫	一 乘 為 餘 乘 之 宗 故 取 喻 之 如 下 經 中 初 放 白 毫 
X30n0602_001:0277c15	之光。終賜白牛之駕。是此義也。蓮華者。居泥不染	之 光 終 賜 白 牛 之 駕 是 此 義 也 蓮 華 者 居 泥 不 染 
X30n0602_001:0277c16	因果齊彰。喻前妙法開權顯實會三歸一。明佛知	因 果 齊 彰 喻 前 妙 法 開 權 顯 實 會 三 歸 一 明 佛 知 
X30n0602_001:0277c17	見不同餘經。法喻雙題。故云妙法蓮華。	見 不 同 餘 經 法 喻 雙 題 故 云 妙法蓮華 
X30n0602_001:0277c18	經序。	經 序 
X30n0602_001:0277c19	注曰。梵云素呾纜。此云契經。契謂契理契機。經謂	注 曰 梵 云 素 呾 纜 此 云 契 經 契 謂 契 理 契 機 經 謂 
X30n0602_001:0277c20	貫攝常法。即契理合機之教。故云契經。今略契字	貫 攝 常 法 即 契 理 合 機 之 教 故 云 契 經 今 略 契 字 
X30n0602_001:0277c21	務從簡也。述經奧旨敘列源由。名為序也。故天台	務 從 簡 也 述 經 奧 旨 敘 列 源 由 名 為 序 也 故 天 台 
X30n0602_001:0277c22	曰。發祕密之奧藏。稱之為妙。示權實之正軌。故號	曰 發 祕 密 之 奧 藏 稱 之 為 妙 示 權 實 之 正 軌 故 號 
X30n0602_001:0277c23	為法。指久遠之本果。喻之以蓮。會不二之圓道。譬	為 法 指 久 遠 之 本 果 喻 之 以 蓮 會 不 二 之 圓 道 譬 
X30n0602_001:0277c24	之以華。聲為佛事稱之為經。圓詮之初目之為序。	之 以 華 聲 為 佛 事 稱 之 為 經 圓 詮 之 初 目 之 為 序 
X30n0602_001:0278a01	此經蕩化城之執教。廢草菴之滯情。開方便之權	此 經 蕩 化 城 之 執 教 廢 草 菴 之 滯 情 開 方 便 之 權 
X30n0602_001:0278a02	門。示真實之妙理。會眾善之小行。歸廣大之一乘。	門 示 真 實 之 妙 理 會 眾 善 之 小 行 歸 廣 大 之 一 乘 
X30n0602_001:0278a03	文愽義深餘經莫及。若廣說者。妙有十妙。法有三	文 愽 義 深 餘 經 莫 及 若 廣 說 者 妙 有 十 妙 法 有 三 
X30n0602_001:0278a04	軌。蓮華六義。經有六釋。具如玄義中說。更有光宅	軌 蓮 華 六 義 經 有 六 釋 具 如 玄 義 中 說 更 有 光 宅 
X30n0602_001:0278a05	疏文慈恩玄贊。學者知之。	疏 文 慈 恩 玄 贊 學 者 知 之 
X30n0602_001:0278a06	終南山釋道宣述	終 南 山 釋 道 宣 述 
X30n0602_001:0278a07	注曰。終南山名。在長安城南。與秦嶺太白太一皆	注 曰 終 南 山 名 在 長 安 城 南 與 秦 嶺 太 白 太 一 皆 
X30n0602_001:0278a08	連接也。在扶風武功縣。關中記云。終南一名中南。	連 接 也 在 扶 風 武 功 縣 關 中 記 云 終 南 一 名 中 南 
X30n0602_001:0278a09	在天之中居都之南。故曰中南。三秦記云。終南一	在 天 之 中 居 都 之 南 故 曰 中 南 三 秦 記 云 終 南 一 
X30n0602_001:0278a10	名地[月*弟]可避洪水。道宣律師名也。姓錢氏。彭祖之	名 地 [月弟] 可 避 洪 水 道 宣 律 師 名 也 姓 錢 氏 彭 祖 之 
X30n0602_001:0278a11	後。湖洲長城縣人。隋吏部尚書錢申之子。生於隋	後 湖 洲 長 城 縣 人 隋 吏 部 尚 書 錢 申 之 子 生 於 隋 
X30n0602_001:0278a12	開皇之間。大作佛事。於唐太宗高宗之代。文采照	開 皇 之 間 大 作 佛 事 於 唐 太 宗 高 宗 之 代 文 采 照 
X30n0602_001:0278a13	灼戒德不群。製四分律鈔弘贊毗尼。又述弘明僧	灼 戒 德 不 群 製 四 分 律 鈔 弘 贊 毗 尼 又 述 弘 明 僧 
X30n0602_001:0278a14	傳等百有餘卷。有時行道失跌感韋將軍捧足。錯	傳 等 百 有 餘 卷 有 時 行 道 失 跌 感 韋 將 軍 捧 足 錯 
X30n0602_001:0278a15	裁座具致黃瓊天人指授。借得天上舍利流布人	裁 座 具 致 黃 瓊 天 人 指 授 借 得 天 上 舍 利 流 布 人 
X30n0602_001:0278a16	間。別有感通傳具詳異事。諡號澄照大師。法華要	間 別 有 感 通 傳 具 詳 異 事 諡 號 澄 照 大 師 法 華 要 
X30n0602_001:0278a17	覽云。師述序時韋天以法華尊上未易冠言。遂稟	覽 云 師 述 序 時 韋 天 以 法 華 尊 上 未 易 冠 言 遂 稟 
X30n0602_001:0278a18	報十方諸佛。佛皆許肯。即今法華經之序也。故慈	報 十方諸佛 佛 皆 許 肯 即 今 法 華 經 之 序 也 故 慈 
X30n0602_001:0278a19	照頌云。南山大士最幽玄。撮成樞要在經前。韋駄	照 頌 云 南 山 大 士 最 幽 玄 撮 成 樞 要 在 經 前 韋 駄 
X30n0602_001:0278a20	天將親垂報。十方諸佛許師言。	天 將 親 垂 報 十方諸佛 許 師 言 
X30n0602_001:0278a21	妙法蓮華經者。統諸佛降靈之本致也。	妙法蓮華 經 者 統 諸 佛 降 靈 之 本 致 也 
X30n0602_001:0278a22	注曰。致意也。諸佛出世本說此經。開方便門示真	注 曰 致 意 也 諸佛出世 本 說 此 經 開 方 便 門 示 真 
X30n0602_001:0278a23	實相。誘火宅之癡子。指衣下之明珠。悟諸法空入	實 相 誘 火 宅 之 癡 子 指 衣 下 之 明 珠 悟 諸 法 空 入 
X30n0602_001:0278a24	佛知見。故下經云。諸佛世尊唯以一大事因緣故。	佛 知 見 故 下 經 云 諸佛世尊 唯 以 一 大 事 因 緣 故 
X30n0602_001:0278b01	出現於世。所謂欲令眾生開佛知見。使得清淨故	出 現 於 世 所 謂 欲 令 眾 生 開 佛 知 見 使 得 清 淨 故 
X30n0602_001:0278b02	出現於世。欲示眾生佛之知見故出現於世。欲令	出 現 於 世 欲 示 眾 生 佛 之 知 見 故 出 現 於 世 欲 令 
X30n0602_001:0278b03	眾生悟佛知見故出現於世。欲令眾生入佛知見	眾 生 悟 佛 知 見 故 出 現 於 世 欲 令 眾 生 入 佛 知 見 
X30n0602_001:0278b04	道故出現於世。是為諸佛以一大事因緣故出現	道 故 出 現 於 世 是 為 諸 佛 以 一 大 事 因 緣 故 出 現 
X30n0602_001:0278b05	於世。天台師云。一即法身大即般若事即解脫。此	於 世 天 台 師 云 一 即 法 身 大 即 般 若 事 即 解 脫 此 
X30n0602_001:0278b06	之三法眾生本具為因。諸佛顯示為緣。出世元意	之 三 法 眾 生 本 具 為 因 諸 佛 顯 示 為 緣 出 世 元 意 
X30n0602_001:0278b07	秪為此矣。此釋一大事因緣。四種知見以四義釋。	秪 為 此 矣 此 釋 一 大 事 因 緣 四 種 知 見 以 四 義 釋 
X30n0602_001:0278b08	一約四位。二約四智。三約四門。四約觀心。皆言佛	一 約 四 位 二 約 四 智 三 約 四 門 四 約 觀 心 皆 言 佛 
X30n0602_001:0278b09	知見者。謂分真之初。三智五眼一時開發。同入一	知 見 者 謂 分 真 之 初 三 智 五 眼 一 時 開 發 同 入 一 
X30n0602_001:0278b10	乘諸佛實相也。天長釋云。非三非五故云一。廣博	乘 諸 佛 實 相 也 天 長 釋 云 非 三 非 五 故 云 一 廣 博 
X30n0602_001:0278b11	包含故稱大。說此化生故曰事。機能感佛為因。佛	包 含 故 稱 大 說 此 化 生 故 曰 事 機 能 感 佛 為 因 佛 
X30n0602_001:0278b12	隨彼應名緣。有此一大事之因緣。所以出現於世	隨 彼 應 名 緣 有 此 一 大 事 之 因 緣 所 以 出 現 於 世 
X30n0602_001:0278b13	也。開示悟入者。上二即能化。謂大開而曲示。下二	也 開 示 悟 入 者 上 二 即 能 化 謂 大 開 而 曲 示 下 二 
X30n0602_001:0278b14	即所化。謂始悟而終入。知即根本智。見即後得智。	即 所 化 謂 始 悟 而 終 入 知 即 根 本 智 見 即 後 得 智 
X30n0602_001:0278b15	亦名一切智智。南嶽思大師云。開佛知見是十住	亦 名 一切智智 南 嶽 思 大 師 云 開 佛 知 見 是 十 住 
X30n0602_001:0278b16	位。示佛知見是十行位。悟佛知見是十迴向位。入	位 示 佛 知 見 是 十 行 位 悟 佛 知 見 是 十 迴 向 位 入 
X30n0602_001:0278b17	佛知見是十地位及等覺位。皆言佛知者。得一切	佛 知 見 是 十 地 位 及 等 覺 位 皆 言 佛 知 者 得 一 切 
X30n0602_001:0278b18	種智也。皆言佛見者。悉得佛眼也。此約位釋。谷響	種 智 也 皆 言 佛 見 者 悉 得 佛 眼 也 此 約 位 釋 谷 響 
X30n0602_001:0278b19	鈔云。三智圓觀名佛知。五眼圓覺名佛見。	鈔 云 三 智 圓 觀 名 佛 知 五 眼 圓 覺 名 佛 見 
X30n0602_001:0278b20	蘊結大廈出彼千齡。東傳震旦三百餘載。	蘊 結 大 廈 出 彼 千 齡 東 傳 震 旦 三 百 餘 載 
X30n0602_001:0278b21	注曰。蘊結積聚也。大廈西域也。震旦東國也。佛滅	注 曰 蘊 結 積 聚 也 大 廈 西 域 也 震 旦 東 國 也 佛 滅 
X30n0602_001:0278b22	度後千年之外教流東方。故積聚西域出於千年	度 後 千 年 之 外 教 流 東 方 故 積 聚 西 域 出 於 千 年 
X30n0602_001:0278b23	也。自西晉法護創傳此經。至於唐國三百餘年也。	也 自 西 晉 法 護 創 傳 此 經 至 於 唐 國 三 百 餘 年 也 
X30n0602_001:0278b24	西晉惠帝永康年中。長安青門燉煌菩薩竺法護者。	西 晉 惠 帝 永 康 年 中 長 安 青 門 燉 煌 菩 薩 竺 法 護 者 
X30n0602_001:0278c01	初翻此經名正法華。	初 翻 此 經 名 正 法 華 
X30n0602_001:0278c02	注曰。晉司馬氏都於洛陽。望於東晉故云西晉。惠	注 曰 晉 司 馬 氏 都 於 洛 陽 望 於 東 晉 故 云 西 晉 惠 
X30n0602_001:0278c03	帝世祖之子。永康惠帝年號。青門長安東門。本長	帝 世 祖 之 子 永 康 惠 帝 年 號 青 門 長 安 東 門 本 長 
X30n0602_001:0278c04	安覇城門。俗呼為青門。竺法護本月氏國人。後移	安 覇 城 門 俗 呼 為 青 門 竺 法 護 本 月 氏 國 人 後 移 
X30n0602_001:0278c05	居燉煌。故又為燉煌郡人也。少出家傳道為懷。以	居 燉 煌 故 又 為 燉 煌 郡 人 也 少 出 家 傳 道 為 懷 以 
X30n0602_001:0278c06	西晉之代來化洛陽。立寺於長安青門外。設像行	西 晉 之 代 來 化 洛 陽 立 寺 於 長 安 青 門 外 設 像 行 
X30n0602_001:0278c07	道助誘後徒。譯出眾經光揚像法。人美其德號為	道 助 誘 後 徒 譯 出 眾 經 光 揚 像 法 人 美 其 德 號 為 
X30n0602_001:0278c08	菩薩。初翻此經名正法華經。勒成十卷。其真言字	菩 薩 初 翻 此 經 名 正 法 華 經 勒 成 十 卷 其 真 言 字 
X30n0602_001:0278c09	句皆作晉言。	句 皆 作 晉 言 
X30n0602_001:0278c10	東晉安帝隆安年中。後秦弘始龜茲沙門鳩摩羅什。	東 晉 安 帝 隆 安 年 中 後 秦 弘 始 龜 茲 沙 門 鳩 摩 羅 什 
X30n0602_001:0278c11	次翻此經。名妙法蓮華。	次 翻 此 經 名 妙法蓮華 
X30n0602_001:0278c12	注曰。西晉遭亂。元帝渡江建都江東。故云東晉。安	注 曰 西 晉 遭 亂 元 帝 渡 江 建 都 江 東 故 云 東 晉 安 
X30n0602_001:0278c13	帝孝武之子。隆安安帝年號。後秦姚興也。弘始姚	帝 孝 武 之 子 隆 安 安 帝 年 號 後 秦 姚 興 也 弘 始 姚 
X30n0602_001:0278c14	興年號。晉居正位。秦為旁僭。故先舉晉而後秦也。	興 年 號 晉 居 正 位 秦 為 旁 僭 故 先 舉 晉 而 後 秦 也 
X30n0602_001:0278c15	鳩摩羅什龜茲國人。傳教秦邦大弘佛法。譯出般	鳩 摩 羅 什 龜 茲 國 人 傳 教 秦 邦 大 弘 佛 法 譯 出 般 
X30n0602_001:0278c16	若維摩等經智度中百等論。再翻前經名妙法蓮	若 維 摩 等 經 智 度 中 百 等 論 再 翻 前 經 名 妙 法 蓮 
X30n0602_001:0278c17	華經。文成七卷。今所行者。	華 經 文 成 七 卷 今 所 行 者 
X30n0602_001:0278c18	隋氏仁壽。大興善寺北天竺沙門闍那笈多。後所翻	隋 氏 仁 壽 大 興 善 寺 北 天 竺 沙 門 闍 那 笈 多 後 所 翻 
X30n0602_001:0278c19	者同名妙法。	者 同 名 妙 法 
X30n0602_001:0278c20	注曰。隋氏謂隋文帝也。仁壽文帝年號。闍那笈多	注 曰 隋 氏 謂 隋 文 帝 也 仁 壽 文 帝 年 號 闍 那 笈 多 
X30n0602_001:0278c21	三藏法師名也。笈多與師那連提梨耶舍同來此	三藏法師 名 也 笈 多 與 師 那 連 提 梨 耶 舍 同 來 此 
X30n0602_001:0278c22	土。文帝禮重安置於大興善寺。官給所須。譯出眾	土 文 帝 禮 重 安 置 於 大 興 善 寺 官 給 所 須 譯 出 眾 
X30n0602_001:0278c23	經。後翻此經名添品妙法蓮華經八卷。但於藥艸	經 後 翻 此 經 名 添 品 妙法蓮華 經 八 卷 但 於 藥 艸 
X30n0602_001:0278c24	喻後加千餘字。外者皆與羅什本同。	喻 後 加 千 餘 字 外 者 皆 與 羅 什 本 同 
X30n0602_001:0279a01	三經重沓文旨互陳。時所宗尚皆弘秦本。	三 經 重 沓 文 旨 互 陳 時 所 宗 尚 皆 弘 秦 本 
X30n0602_001:0279a02	注曰。上之三譯本是一經故。文詞意旨重沓互有。	注 曰 上 之 三 譯 本 是 一 經 故 文 詞 意 旨 重 沓 互 有 
X30n0602_001:0279a03	世人傳讀皆弘什譯。	世 人 傳 讀 皆 弘 什 譯 
X30n0602_001:0279a04	自餘支品別偈不無其流。具如序歷故所非述。	自 餘 支 品 別 偈 不 無 其 流 具 如 序 歷 故 所 非 述 
X30n0602_001:0279a05	注曰。宣公作大唐內典錄十卷。備括眾經該論本	注 曰 宣 公 作 大 唐 內 典 錄 十 卷 備 括 眾 經 該 論 本 
X30n0602_001:0279a06	末。今言三本之外。更有支流別行品偈。具如所撰	末 今 言 三 本 之 外 更 有 支 流 別 行 品 偈 具 如 所 撰 
X30n0602_001:0279a07	內典錄中。事多冗襍故此不述也。已上序翻譯源	內 典 錄 中 事 多 冗 襍 故 此 不 述 也 已 上 序 翻 譯 源 
X30n0602_001:0279a08	流。已下述本經旨趣。	流 已 下 述 本 經 旨 趣 
X30n0602_001:0279a09	夫以靈嶽降靈。非大聖無由開化。	夫 以 靈 嶽 降 靈 非 大 聖 無 由 開 化 
X30n0602_001:0279a10	注曰。靈嶽降靈。謂山嶽蘊英靈之秀。生此靈明之	注 曰 靈 嶽 降 靈 謂 山 嶽 蘊 英 靈 之 秀 生 此 靈 明 之 
X30n0602_001:0279a11	大聖。開化世間。意借詩中惟岳降神生甫及申之	大 聖 開 化 世 間 意 借 詩 中 惟 岳 降 神 生 甫 及 申 之 
X30n0602_001:0279a12	文也。靈神也。彼美賢臣降生。此歎聖人現化降神	文 也 靈 神 也 彼 美 賢 臣 降 生 此 歎 聖 人 現 化 降 神 
X30n0602_001:0279a13	也。	也 
X30n0602_001:0279a14	適化所及。非昔緣無以導心。	適 化 所 及 非 昔 緣 無 以 導 心 
X30n0602_001:0279a15	注曰。佛雖大聖。不化無緣之人。故適化所及皆有	注 曰 佛 雖 大 聖 不 化 無 緣 之 人 故 適 化 所 及 皆 有 
X30n0602_001:0279a16	昔緣開導其心。故聞今所說。方能信受也。	昔 緣 開 導 其 心 故 聞 今 所 說 方 能 信 受 也 
X30n0602_001:0279a17	所以仙苑告成。機分小大之別。	所 以 仙 苑 告 成 機 分 小 大 之 別 
X30n0602_001:0279a18	注曰。仙苑即波羅奈國鹿野苑也。是昔五通仙人	注 曰 仙 苑 即 波 羅 奈 國 鹿 野 苑 也 是 昔 五 通 仙 人 
X30n0602_001:0279a19	聞宮女音墮落之處。故又號仙人苑也。如來世尊	聞 宮 女 音 墮 落 之 處 故 又 號 仙 人 苑 也 如 來 世 尊 
X30n0602_001:0279a20	初成佛後。向此苑中三轉法輪。諸聞法者有登大	初 成 佛 後 向 此 苑 中 三轉法輪 諸 聞 法 者 有 登 大 
X30n0602_001:0279a21	乘位者。有證小乘果者。從此世間有大小乘。葢隨	乘 位 者 有 證 小 乘 果 者 從 此 世 間 有 大 小 乘 葢 隨 
X30n0602_001:0279a22	機器分也。	機 器 分 也 
X30n0602_001:0279a23	金河顧命。道殊半滿之科。	金 河 顧 命 道 殊 半 滿 之 科 
X30n0602_001:0279a24	注曰。金河即拘尸那城北阿利羅跋提河。此譯為	注 曰 金 河 即 拘 尸 那 城 北 阿 利 羅 跋 提 河 此 譯 為 
X30n0602_001:0279b01	有金河。河畔有娑羅林。如來於此娑羅林中入於	有 金 河 河 畔 有 娑 羅 林 如 來 於 此 娑 羅 林 中 入 於 
X30n0602_001:0279b02	涅槃。顧命謂命將欲終而垂言教。謂之顧命。昔成	涅 槃 顧 命 謂 命 將 欲 終 而 垂 言 教 謂 之 顧 命 昔 成 
X30n0602_001:0279b03	王將終。作顧命之書。今佛將終。說涅槃之經。殊分	王 將 終 作 顧 命 之 書 今 佛 將 終 說 涅 槃 之 經 殊 分 
X30n0602_001:0279b04	也。如來於彼涅槃經中。說半滿二字。分大小二乘。	也 如 來 於 彼 涅 槃 經 中 說 半 滿 二 字 分 大 小 二 乘 
X30n0602_001:0279b05	豈非教被乘時。無足覈其高會。	豈 非 教 被 乘 時 無 足 覈 其 高 會 
X30n0602_001:0279b06	注曰。仙苑初唱。金河終談。道分大小者。豈非教被	注 曰 仙 苑 初 唱 金 河 終 談 道 分 大 小 者 豈 非 教 被 
X30n0602_001:0279b07	隨根乘時設化。但愧無足得預考覈於高會也。	隨 根 乘 時 設 化 但 愧 無 足 得 預 考 覈 於 高 會 也 
X30n0602_001:0279b08	是知五千退席。為進增慢之儔。	是 知 五 千 退 席 為 進 增 慢 之 儔 
X30n0602_001:0279b09	注曰。如來將說法華一乘。五千比丘禮佛而退者。	注 曰 如 來 將 說 法 華 一 乘 五 千 比 丘 禮 佛 而 退 者 
X30n0602_001:0279b10	欲顯今經甚深。令增上慢人進求大乘爾。	欲 顯 今 經 甚 深 令 增上慢人 進 求 大 乘 爾 
X30n0602_001:0279b11	五百授記。俱崇密化之迹。	五 百 授 記 俱 崇 密 化 之 迹 
