X15n0301_001:0218a04	 釋教總論	 釋 教 總 論 
X15n0301_001:0218c13	埵自覺覺眾生也。文殊師利妙德也。邲輪跋陀	埵 自 覺 覺 眾 生 也 文 殊 師 利 妙 德 也 邲 輪 跋 陀 
X15n0301_001:0218c14	普賢也。阿那婆羅吉低輸觀世音也。摩訶那鉢	普 賢 也 阿 那 婆 羅 吉 低 輸 觀 世 音 也 摩 訶 那 鉢 
X15n0301_001:0218c15	大勢至也。迦陀妙義也。阿迦雲藥王也。達磨	大 勢 至 也 迦 陀 妙 義 也 阿 迦 雲 藥 王 也 達 磨 
X15n0301_001:0218c16	法也。乾陀訶提不休息也。維摩羅詰淨名也。	法 也 乾 陀 訶 提 不 休 息 也 維 摩 羅 詰 淨 名 也 
X15n0301_001:0218c17	彌勒燕氏也。提婆達多天授也。阿差末無盡意	彌 勒 燕 氏 也 提 婆 達 多 天 授 也 阿 差 末 無 盡 意 
X15n0301_001:0218c18	也。般若拘羅智積也。那羅延金剛也。阿羅漢	也 般 若 拘 羅 智 積 也 那 羅 延 金 剛 也 阿 羅 漢 
X15n0301_001:0218c19	總名殺煩惱。遠離諸惡。堪總供養。不受三界生也。	總 名 殺 煩 惱 遠 離 諸 惡 堪 總 供 養 不 受 三 界 生 也 
X15n0301_001:0218c20	舍利弗身子也。又曰鶖子。摩訶迦葉波大龜氏也。	舍 利 弗 身 子 也 又 曰 鶖 子 摩 訶 迦 葉 波 大 龜 氏 也 
X15n0301_001:0218c21	阿那律無滅也。須菩提善吉也。又無染。賓頭	阿 那 律 無 滅 也 須 菩 提 善 吉 也 又 無 染 賓 頭 
X15n0301_001:0218c22	盧不動也。難陀善歡喜也。離婆多星宿也。拘	盧 不 動 也 難 陀 善 歡 喜 也 離 婆 多 星 宿 也 拘 
X15n0301_001:0218c23	絺羅大膝也。提婆犀那天軍也。嗢呾羅上也。	絺 羅 大 膝 也 提 婆 犀 那 天 軍 也 嗢 呾 羅 上 也 
X15n0301_001:0218c24	迦留陀夷無光也。優陀夷出現也。須跋陀羅好	迦 留 陀 夷 無 光 也 優 陀 夷 出 現 也 須 跋 陀 羅 好 
X15n0301_001:0219a01	賢也。耶輸陀羅華色也。阿濕縛窶生馬鳴也。	賢 也 耶 輸 陀 羅 華 色 也 阿 濕 縛 窶 生 馬 鳴 也 
X15n0301_001:0219a02	那伽曷樹那龍猛也(言龍樹誤)。訶梨跋摩師子鎧也。求	那 伽 曷 樹 那 龍 猛 也 言 龍 樹 誤 訶 梨 跋 摩 師 子 鎧 也 求 
X15n0301_001:0219a03	那跋摩功德鎧也。阿僧伽無着也。婆藪盤世親	那 跋 摩 功 德 鎧 也 阿 僧 伽 無 着 也 婆 藪 盤 世 親 
X15n0301_001:0219a04	也(言天親誤)。賓伽羅青目也。及毗吠伽清辨也。達	也 言 天 親 誤 賓 伽 羅 青 目 也 及 毗 吠 伽 清 辨 也 達 
X15n0301_001:0219a05	磨波羅護法也。達磨法也。尹濕伐邏自在也。那	磨 波 羅 護 法 也 達 磨 法 也 尹 濕 伐 邏 自 在 也 那 
X15n0301_001:0219a06	剌拏圓滿也。尸羅跋陀羅戒賢也。曷利他如意	剌 拏 圓 滿 也 尸 羅 跋 陀 羅 戒 賢 也 曷 利 他 如 意 
X15n0301_001:0219a07	也。鳩摩羅什婆童壽也。佛陀耶舍覺明也。曇	也 鳩 摩 羅 什 婆 童 壽 也 佛 陀 耶 舍 覺 明 也 曇 
X15n0301_001:0219a08	摩耶舍法稱也。曇摩讖法豐也。曇無竭法勇也。	摩 耶 舍 法 稱 也 曇 摩 讖 法 豐 也 曇 無 竭 法 勇 也 
X15n0301_001:0219a09	菩提流支覺孝也。波羅末陀真諦也。波頗智	菩 提 流 支 覺 孝 也 波 羅 末 陀 真 諦 也 波 頗 智 
X15n0301_001:0219a10	光也。地婆訶羅日照也。多羅救也。波利護也。	光 也 地 婆 訶 羅 日 照 也 多 羅 救 也 波 利 護 也 
X15n0301_001:0219a11	宣灑弟子也。比丘乞士也。上乞法。下乞食也。	宣 灑 弟 子 也 比 丘 乞 士 也 上 乞 法 下 乞 食 也 
X15n0301_001:0219a12	芘蒭香草。以喻僧也。沙彌息慈也。優婆塞優婆	芘 蒭 香 草 以 喻 僧 也 沙 彌 息 慈 也 優 婆 塞 優 婆 
X15n0301_001:0219a13	夷清淨士女也。僧伽眾多也。又和合也。沙門本名。	夷 清 淨 士 女 也 僧 伽 眾 多 也 又 和 合 也 沙 門 本 名 
X15n0301_001:0219a14	宣摩那拏功勞也。和尚本名即波遮迦于闐翻	宣 摩 那 拏 功 勞 也 和 尚 本 名 即 波 遮 迦 于 闐 翻 
X15n0301_001:0219a15	為和尚。此去生。又近誦也。闍梨本名。阿遮梨邪軌	為 和 尚 此 去 生 又 近 誦 也 闍 梨 本 名 阿 遮 梨 邪 軌 
X15n0301_001:0219a16	範也。頭陀抖數也。又修治也。羯磨事也。鐸曷	範 也 頭 陀 抖 數 也 又 修 治 也 羯 磨 事 也 鐸 曷 
X15n0301_001:0219a17	攞小師也。阿夷怡新學也。提多羅咤治國主也。	攞 小 師 也 阿 夷 怡 新 學 也 提 多 羅 咤 治 國 主 也 
X15n0301_001:0219a18	忉利本名。多羅夜大梵西音。此名離欲。又淨行	忉 利 本 名 多 羅 夜 大 梵 西 音 此 名 離 欲 又 淨 行 
X15n0301_001:0219a19	也。尸棄火也。首陀羅淨居也。摩利支陽炎	也 尸 棄 火 也 首 陀 羅 淨 居 也 摩 利 支 陽 炎 
X15n0301_001:0219a20	也。耆婆命也。蘇利耶日神也。蘇摩月神也。	也 耆 婆 命 也 蘇 利 耶 日 神 也 蘇 摩 月 神 也 
X15n0301_001:0219a21	印度日月也。盎我羅迦火星也。部陀水星也。	印 度 日 月 也 盎 我 羅 迦 火 星 也 部 陀 水 星 也 
X15n0301_001:0219a22	勿哩訶婆跋底木星也。沙乃以宣折囉土星也。	勿 哩 訶 婆 跋 底 木 星 也 沙 乃 以 宣 折 囉 土 星 也 
X15n0301_001:0219a23	戌羯羅金星也。阿那婆達多無熱也。夜叉勇健	戌 羯 羅 金 星 也 阿 那 婆 達 多 無 熱 也 夜 叉 勇 健 
X15n0301_001:0219a24	也。伊羅息氣也。羅剎連疫鬼也。乾闥婆香陰	也 伊 羅 息 氣 也 羅 剎 連 疫 鬼 也 乾 闥 婆 香 陰 
X15n0301_001:0219b01	也。天樂神。阿脩羅無端正也。又非天。迦樓羅金	也 天 樂 神 阿 脩 羅 無 端 正 也 又 非 天 迦 樓 羅 金 
X15n0301_001:0219b02	翅也。緊那羅疑神也。波旬本名波卑夜惡也。	翅 也 緊 那 羅 疑 神 也 波 旬 本 名 波 卑 夜 惡 也 
X15n0301_001:0219b03	魔登伽本性也。阿斯陀無比也。又端正。羼提忍	魔 登 伽 本 性 也 阿 斯 陀 無 比 也 又 端 正 羼 提 忍 
X15n0301_001:0219b04	辱也。婆藪天慧也。魔[少/兔]舍喃人也。摩菟賖意	辱 也 婆 藪 天 慧 也 魔 [少兔] 舍 喃 人 也 摩 菟 賖 意 
X15n0301_001:0219b05	也。僕呼繕那。眾生也。逋沙丈夫也。迦羅越居	也 僕 呼 繕 那 眾 生 也 逋 沙 丈 夫 也 迦 羅 越 居 
X15n0301_001:0219b06	士也。婆羅毛道也。鄔婆弟鑠父母也。波帝夫	士 也 婆 羅 毛 道 也 鄔 婆 弟 鑠 父 母 也 波 帝 夫 
X15n0301_001:0219b07	也。婆棃耶婦也。鳩那羅惡人也。拘摩羅童子	也 婆 棃 耶 婦 也 鳩 那 羅 惡 人 也 拘 摩 羅 童 子 
X15n0301_001:0219b08	也。般咤黃門也。扇提羅石女也。馱索迦奴也	也 般 咤 黃 門 也 扇 提 羅 石 女 也 馱 索 迦 奴 也 
X15n0301_001:0219b09	旃陀羅。嚴熾也。即屠者。羯恥那煑拘人也。須達	旃 陀 羅 嚴 熾 也 即 屠 者 羯 恥 那 煑 拘 人 也 須 達 
X15n0301_001:0219b10	多善施也。耆婆能活也。婆羅門淨行也。梵志	多 善 施 也 耆 婆 能 活 也 婆 羅 門 淨 行 也 梵 志 
X15n0301_001:0219b11	淨裔也。娑毗迦羅金頭也。又黃髮。蘇氣怛羅善	淨 裔 也 娑 毗 迦 羅 金 頭 也 又 黃 髮 蘇 氣 怛 羅 善 
X15n0301_001:0219b12	星也。彌戾車惡見也。薩遮尼乾離繫也。琰魔	星 也 彌 戾 車 惡 見 也 薩 遮 尼 乾 離 繫 也 琰 魔 
X15n0301_001:0219b13	亦曰閻羅。靜息也。又雙生。闍黎哆祖父也。鳩槃	亦 曰 閻 羅 靜 息 也 又 雙 生 闍 黎 哆 祖 父 也 鳩 槃 
X15n0301_001:0219b14	茶甕形也。是魘鬼。毗舍闍顛鬼也。烏芻瑟摩火	茶 甕 形 也 是 魘 鬼 毗 舍 闍 顛 鬼 也 烏 芻 瑟 摩 火 
X15n0301_001:0219b15	頭也。惡祖尼火神也。婆庾風神也。鉢健提堅固	頭 也 惡 祖 尼 火 神 也 婆 庾 風 神 也 鉢 健 提 堅 固 
X15n0301_001:0219b16	也。婆里旱力士也。地[口*栗]伽長大也。兮那柯滿	也 婆 里 旱 力 士 也 地 [口栗] 伽 長 大 也 兮 那 柯 滿 
X15n0301_001:0219b17	也。底栗車畜也。那伽龍也。宮毗羅蛟也。叔	也 底 栗 車 畜 也 那 伽 龍 也 宮 毗 羅 蛟 也 叔 
X15n0301_001:0219b18	叔邏虬也。僧伽彼獅子也。迦耶象也。瞿摩帝	叔 邏 虬 也 僧 伽 彼 獅 子 也 迦 耶 象 也 瞿 摩 帝 
X15n0301_001:0219b19	牛也。婆蹉富羅犢子也。朅伽犀也。阿濕婆馬	牛 也 婆 蹉 富 羅 犢 子 也 朅 伽 犀 也 阿 濕 婆 馬 
X15n0301_001:0219b20	也。蜜利迦羅鹿也。悉伽羅野干也。摩斯咤稱	也 蜜 利 迦 羅 鹿 也 悉 伽 羅 野 干 也 摩 斯 咤 稱 
X15n0301_001:0219b21	猴也。舍舍迦兔也。迦陵頻伽妙聲鳥也。嘶那	猴 也 舍 舍 迦 兔 也 迦陵頻伽 妙 聲 鳥 也 嘶 那 
X15n0301_001:0219b22	夜鷹也。臊陀鸚鵡也。僧娑鴈也。迦頻闍羅雉	夜 鷹 也 臊 陀 鸚 鵡 也 僧 娑 鴈 也 迦頻闍羅 雉 
X15n0301_001:0219b23	也。鳩鳩咤鷄也。所迦羅婆鴛鴦也。舍羅百舌	也 鳩 鳩 咤 鷄 也 所 迦 羅 婆 鴛 鴦 也 舍 羅 百 舌 
X15n0301_001:0219b24	也。迦布德迦鴿也。摩由邏孔雀也。阿棃耶鴟	也 迦 布 德 迦 鴿 也 摩 由 邏 孔 雀 也 阿 棃 耶 鴟 
X15n0301_001:0219c01	也。姑栗陀鷲也。揭羅闍雕也。毗囉拏羯車婆	也 姑 栗 陀 鷲 也 揭 羅 闍 雕 也 毗 囉 拏 羯 車 婆 
X15n0301_001:0219c02	龜也。摩竭鯨也。失収摩羅鰐也。泥犁耶無有	龜 也 摩 竭 鯨 也 失 収 摩 羅 鰐 也 泥 犁 耶 無 有 
X15n0301_001:0219c03	也(地獄名)。阿鼻無間也。三摩耶假時也。因陀羅	也 地 獄 名 阿 鼻 無 間 也 三 摩 耶 假 時 也 因 陀 羅 
X15n0301_001:0219c04	天主也。帝也。遮閱那王也。摩訶三摩阿羅遮太	天 主 也 帝 也 遮 閱 那 王 也 摩 訶 三 摩 阿 羅 遮 太 
X15n0301_001:0219c05	平寺王也。薩縛達一切施也。尼毗也與也。[骨*欠]	平 寺 王 也 薩 縛 達 一 切 施 也 尼 毗 也 與 也 [骨欠] 
X15n0301_001:0219c06	剎惡也。波斯匿和悅也。阿闍世未生也。阿育	剎 惡 也 波 斯 匿 和 悅 也 阿 闍 世 未 生 也 阿 育 
X15n0301_001:0219c07	無憂也。尸羅阿迭多戒日也。祇陀戰勝也。摩	無 憂 也 尸 羅 阿 迭 多 戒 日 也 祇 陀 戰 勝 也 摩 
X15n0301_001:0219c08	訶摩耶大術也。末提希思惟也。索訶一曰娑婆。	訶 摩 耶 大 術 也 末 提 希 思 惟 也 索 訶 一 曰 娑 婆 
X15n0301_001:0219c09	能忍也。閻浮提勝金也。鬱單越勝處也。羅閱	能 忍 也 閻 浮 提 勝 金 也 鬱 單 越 勝 處 也 羅 閱 
X15n0301_001:0219c10	祇伽羅王舍城也。拘尸那角城也。伽耶山城也。	祇 伽 羅 王 舍 城 也 拘 尸 那 角 城 也 伽 耶 山 城 也 
X15n0301_001:0219c11	罽賓賤種也。烏仗那苑也。赭時石國也。颯	罽 賓 賤 種 也 烏 仗 那 苑 也 赭 時 石 國 也 颯 
X15n0301_001:0219c12	秼建康國也。屈霜你迦何國也(史有何國人)。弭秼賀	秼 建 康 國 也 屈 霜 你 迦 何 國 也 史 有 何 國 人 弭 秼 賀 
X15n0301_001:0219c13	米國也。屈支龜茲也。脂那一云支那。文物國也。	米 國 也 屈 支 龜 茲 也 脂 那 一 云 支 那 文 物 國 也 
X15n0301_001:0219c14	蔑戾車邊地也。蘇迷慮即須彌。妙高也。耆闍	蔑 戾 車 邊 地 也 蘇 迷 慮 即 須 彌 妙 高 也 耆 闍 
X15n0301_001:0219c15	崛鷲頭也。屈屈咤播陀鷄足也。補陀落迦海島	崛 鷲 頭 也 屈 屈 咤 播 陀 鷄 足 也 補 陀 落 迦 海 島 
X15n0301_001:0219c16	也(今定海中山有此名)。優留曼陀大醍醐也。蘇達梨舍那	也 今 定 海 中 山 有 此 名 優 留 曼 陀 大 醍 醐 也 蘇 達 梨 舍 那 
X15n0301_001:0219c17	善見也。額溫縛拏篤耳也。阿濕麼石也。阿迦	善 見 也 額 溫 縛 拏 篤 耳 也 阿 濕 麼 石 也 阿 迦 
X15n0301_001:0219c18	水也。阿耨達無熱惱也。殑伽天堂也。婆竭羅	水 也 阿 耨 達 無 熱 惱 也 殑 伽 天 堂 也 婆 竭 羅 
X15n0301_001:0219c19	城海也。賀邏駄池也。提洲也。婆那林也。畢	城 海 也 賀 邏 駄 池 也 提 洲 也 婆 那 林 也 畢 
X15n0301_001:0219c20	利叉高顯也。阿輸迦無憂花樹也。娑力叉樹也。	利 叉 高 顯 也 阿 輸 迦 無 憂 花 樹 也 娑 力 叉 樹 也 
X15n0301_001:0219c21	軻梨羅苦梗木也。多羅舊名息多。岸也。尸多	軻 梨 羅 苦 梗 木 也 多 羅 舊 名 息 多 岸 也 尸 多 
X15n0301_001:0219c22	婆那一名尸陀。寒林也。鞞鐸佉嚼楊枝也。頗羅	婆 那 一 名 尸 陀 寒 林 也 鞞 鐸 佉 嚼 楊 枝 也 頗 羅 
X15n0301_001:0219c23	果也。菴羅柰也。頻婆相思也。訶梨勒天主持	果 也 菴 羅 柰 也 頻 婆 相 思 也 訶 梨 勒 天 主 持 
X15n0301_001:0219c24	來也。播囉師胡祧也。鎮頭迦柿也。篤迦栗也。	來 也 播 囉 師 胡 祧 也 鎮 頭 迦 柿 也 篤 迦 栗 也 
X15n0301_001:0220a01	居陵迦李也。布瑟波花也。弗把提天花也。	居 陵 迦 李 也 布 瑟 波 花 也 弗 把 提 天 花 也 
X15n0301_001:0220a02	末利花柰花也。曼陀羅雜色也。優鉢羅黃白色	末 利 花 柰 花 也 曼 陀 羅 雜 色 也 優 鉢 羅 黃 白 色 
X15n0301_001:0220a03	花也。婆羅羅重生也。分陀利白蓮也。漚鉢羅	花 也 婆 羅 羅 重 生 也 分 陀 利 白 蓮 也 漚 鉢 羅 
X15n0301_001:0220a04	青蓮也。鉢特摩赤蓮也。拘某陀黃蓮也。乾陀	青 蓮 也 鉢 特 摩 赤 蓮 也 拘 某 陀 黃 蓮 也 乾 陀 
X15n0301_001:0220a05	羅耶香也。栴檀離垢也。瞻博一曰瞻蔔。黃色香	羅 耶 香 也 栴 檀 離 垢 也 瞻 博 一 曰 瞻 蔔 黃 色 香 
X15n0301_001:0220a06	花也。迦箄藿□也。咄嚕瑟劍蘇合也。杜嚕薰	花 也 迦 箄 藿 也 咄 嚕 瑟 劍 蘇 合 也 杜 嚕 薰 
X15n0301_001:0220a07	陸也。突婆茅香也。羯布羅龍腦也。薩闍羅婆	陸 也 突 婆 茅 香 也 羯 布 羅 龍 腦 也 薩 闍 羅 婆 
X15n0301_001:0220a08	白膠也。莫莫訶婆伽麝香也。多揭羅芸香也。	白 膠 也 莫 莫 訶 婆 伽 麝 香 也 多 揭 羅 芸 香 也 
X15n0301_001:0220a09	阿伽嚧沉香也。拙具羅安息也。茶矩磨鬱金也。	阿 伽 嚧 沉 香 也 拙 具 羅 安 息 也 茶 矩 磨 鬱 金 也 
X15n0301_001:0220a10	蘇伐羅金也。跋折羅金剛也。阿路巴銀也。	蘇 伐 羅 金 也 跋 折 羅 金 剛 也 阿 路 巴 銀 也 
X15n0301_001:0220a11	鉢擺娑福羅珊瑚也。阿濕摩揭婆琥珀也。牟婆	鉢 擺 娑 福 羅 珊 瑚 也 阿 濕 摩 揭 婆 琥 珀 也 牟 婆 
X15n0301_001:0220a12	洛揭拉婆車渠也。摩羅伽隷瑪瑙也。牟尼珠名。	洛 揭 拉 婆 車 渠 也 摩 羅 伽 隷 瑪 瑙 也 牟 尼 珠 名 
X15n0301_001:0220a13	離垢也。鉢摩羅伽赤色珠也。甄叔迦赤寶也。	離 垢 也 鉢 摩 羅 伽 赤 色 珠 也 甄 叔 迦 赤 寶 也 
X15n0301_001:0220a14	吉由羅瓔珞也。彌訶金帶也。曷剌怛那揭婆寶	吉 由 羅 瓔 珞 也 彌 訶 金 帶 也 曷 剌 怛 那 揭 婆 寶 
X15n0301_001:0220a15	臺也。洛叉十萬也。俱胝百億也。那由它萬億	臺 也 洛 叉 十 萬 也 俱 胝 百 億 也 那 由 它 萬 億 
X15n0301_001:0220a16	也。阿僧祇無央數也。佉梨斛也。婆訶篅也。受	也 阿 僧 祇 無 央 數 也 佉 梨 斛 也 婆 訶 篅 也 受 
X15n0301_001:0220a17	二十斛。摩偷又宰唎。翻酒也。毗嵐迅猛風也。	二 十 斛 摩 偷 又 宰 唎 翻 酒 也 毗 嵐 迅 猛 風 也 
X15n0301_001:0220a18	差羅波尼灰水也。朱利草賊也。薩裒煞地蛇藥	差羅波尼 灰 水 也 朱 利 草 賊 也 薩裒煞地 蛇 藥 
X15n0301_001:0220a19	也。優檀那印也。婆利曲鈎也。亟縛屣[革*葉]也。	也 優 檀 那 印 也 婆 利 曲 鈎 也 亟 縛 屣 [革葉] 也 
X15n0301_001:0220a20	舍樓伽藕根也。俱蘭吒色也。伊尼延金色也。	舍 樓 伽 藕 根 也 俱 蘭 吒 色 也 伊 尼 延 金 色 也 
X15n0301_001:0220a21	蘇樓波妙色也。尼羅青也。阿羅那赤也。盧醯	蘇 樓 波 妙 色 也 尼 羅 青 也 阿 羅 那 赤 也 盧 醯 
