X72n1441_001:0674b06	 法會錄序	 法 會 錄 序 
X72n1441_001:0674c17	世尊以同體大悲。深生愍念。乘願出現。華嚴經云。爾	世 尊 以 同 體 大 悲 深 生 愍 念 乘 願 出 現 華 嚴 經 云 爾 
X72n1441_001:0674c18	時世尊以無障礙清淨智眼。普觀法界眾生。皆具有	時 世 尊 以 無 障 礙 清 淨 智 眼 普 觀 法 界 眾 生 皆 具 有 
X72n1441_001:0674c19	如來智慧德相。但以妄想顛倒執著而不證得。若離	如來智慧 德 相 但 以 妄 想 顛 倒 執 著 而 不 證 得 若 離 
X72n1441_001:0674c20	妄想。一切智。自然智。無礙智。即得現前。我當教以聖	妄 想 一 切 智 自 然 智 無 礙 智 即 得 現 前 我 當 教 以 聖 
X72n1441_001:0674c21	道。令離妄想。于自身中。得見如來廣大智慧。與佛無	道 令 離 妄 想 于 自 身 中 得 見 如來廣大智 慧 與 佛 無 
X72n1441_001:0674c22	異。於是於菩提場。示成正覺。為諸根熟大士。及天龍	異 於 是 於 菩 提 場 示 成 正 覺 為 諸 根 熟 大 士 及 天 龍 
X72n1441_001:0674c23	八部。稱法界性。說華嚴經。又為一類聲聞緣覺。雖在	八 部 稱 法 界 性 說 華 嚴 經 又 為 一 類 聲 聞 緣 覺 雖 在 
X72n1441_001:0674c24	法會。如聾如瞽。不見不聞。乃脫珍著獘。示釋迦丈六	法 會 如 聾 如 瞽 不 見 不 聞 乃 脫 珍 著 獘 示 釋 迦 丈 六 
X72n1441_001:0675a01	之身。於鹿野苑。為諸根劣者。於一佛乘。分別說三。所	之 身 於 鹿 野 苑 為 諸 根 劣 者 於 一 佛 乘 分 別 說 三 所 
X72n1441_001:0675a02	謂為聲聞乘說四諦法。為緣覺乘說十二因緣法。為	謂 為 聲 聞 乘 說 四 諦 法 為 緣 覺 乘 說 十二因緣 法 為 
X72n1441_001:0675a03	權乘菩薩說事六度。至方等。則為諸菩薩廣說大乘	權 乘 菩 薩 說 事 六 度 至 方 等 則 為 諸 菩 薩 廣 說 大 乘 
X72n1441_001:0675a04	諸經。以誘引小乘。入于大乘。又以般若多方淘汰。蕩	諸 經 以 誘 引 小 乘 入 于 大 乘 又 以 般 若 多 方 淘 汰 蕩 
X72n1441_001:0675a05	其法執。直至法華會上。開權顯實。會三歸一。所謂十	其 法 執 直 至 法 華 會 上 開 權 顯 實 會 三 歸 一 所 謂 十 
X72n1441_001:0675a06	方佛土中。唯有一乘法。無二亦無三。為諸聲聞弟子	方 佛 土 中 唯 有 一 乘 法 無 二 亦 無 三 為 諸 聲聞弟子 
X72n1441_001:0675a07	授記作佛。至今日。但有信解之者。亦在授記之內。至	授 記 作 佛 至 今 日 但 有 信 解 之 者 亦 在 授 記 之 內 至 
X72n1441_001:0675a08	此出世事畢。乃唱入無餘涅槃。以此觀之。如來從始	此 出 世 事 畢 乃 唱 入無餘涅槃 以 此 觀 之 如 來 從 始 
X72n1441_001:0675a09	至終。種種方便。權實偏圓。說無量法。無非為諸眾生	至 終 種 種 方 便 權 實 偏 圓 說 無 量 法 無 非 為 諸 眾 生 
X72n1441_001:0675a10	破諸妄想。令見佛性。不為別事也。然身心世界一切	破 諸 妄 想 令 見 佛 性 不 為 別 事 也 然 身 心 世 界 一 切 
X72n1441_001:0675a11	諸法。無非是妄。若能達妄本空。非使之空。知真本有。	諸 法 無 非 是 妄 若 能 達 妄 本 空 非 使 之 空 知 真 本 有 
X72n1441_001:0675a12	非是新得。則入佛法也。其庶幾乎。	非 是 新 得 則 入 佛 法 也 其 庶 幾 乎 
X72n1441_001:0675a13	師云。世尊一日陞座。拈一枝金色波羅花示眾。百萬	師 云 世 尊 一 日 陞 座 拈 一 枝 金 色 波 羅 花 示 眾 百 萬 
X72n1441_001:0675a14	人天。悉皆罔測。唯迦葉尊者一人。破顏微笑。世尊云。	人 天 悉 皆 罔 測 唯 迦 葉 尊 者 一 人 破 顏 微 笑 世 尊 云 
X72n1441_001:0675a15	吾有正法眼藏。涅槃妙心。實相無相。微妙法門。不立	吾 有 正 法 眼 藏 涅 槃 妙 心 實 相 無 相 微 妙 法 門 不 立 
X72n1441_001:0675a16	文字。教外別傳。付囑摩訶迦葉。傳化將來。毋令斷絕。	文 字 教 外 別 傳 付 囑 摩 訶 迦 葉 傳 化 將 來 毋 令 斷 絕 
X72n1441_001:0675a17	宗門不立文字。直指人心。見性成佛。其源始此。葢世	宗 門 不 立 文 字 直 指 人 心 見 性 成 佛 其 源 始 此 葢 世 
X72n1441_001:0675a18	尊四十九年。以語言文字。權實頓漸。逐機演說。未暢	尊 四 十 九 年 以 語 言 文 字 權 實 頓 漸 逐 機 演 說 未 暢 
X72n1441_001:0675a19	本懷。至此覿面拈出。全體現前。唯上根利智。頓見頓	本 懷 至 此 覿 面 拈 出 全 體 現 前 唯 上 根 利 智 頓 見 頓 
X72n1441_001:0675a20	證。始堪領荷。迦葉傳二祖阿難。阿難傳三祖商那和	證 始 堪 領 荷 迦 葉 傳 二 祖 阿 難 阿 難 傳 三 祖 商 那 和 
X72n1441_001:0675a21	修。三祖傳四祖優波毱多。乃至第二十八祖菩提達	修 三 祖 傳 四 祖 優 波 毱 多 乃 至 第 二 十 八 祖 菩 提 達 
X72n1441_001:0675a22	摩。見我東土有大乘法器。乃特航海而來。是為東土	摩 見 我 東 土 有 大 乘 法 器 乃 特 航 海 而 來 是 為 東 土 
X72n1441_001:0675a23	初祖。始見梁武帝。問以有為之事。不契。遂潛渡江至	初 祖 始 見 梁 武 帝 問 以 有 為 之 事 不 契 遂 潛 渡 江 至 
X72n1441_001:0675a24	魏。居止少林。凡九年。終日面壁而坐。後得二祖神光。	魏 居 止 少 林 凡 九 年 終 日 面 壁 而 坐 後 得 二 祖 神 光 
X72n1441_001:0675b01	斷臂安心。禮拜得髓。遂付衣法。有偈云。吾本來茲土。	斷 臂 安 心 禮 拜 得 髓 遂 付 衣 法 有 偈 云 吾 本 來 茲 土 
X72n1441_001:0675b02	傳法救迷情。一花開五葉。結果自然成。所云傳法者。	傳 法 救 迷 情 一 花 開 五 葉 結 果 自 然 成 所 云 傳 法 者 
X72n1441_001:0675b03	乃傳一心之法。非自心外別有法可傳。唯為人解粘	乃 傳 一 心 之 法 非 自 心 外 別 有 法 可 傳 唯 為 人 解 粘 
X72n1441_001:0675b04	去縳。反迷就悟。令見自性。是為傳耳。二祖傳三祖僧	去 縳 反 迷 就 悟 令 見 自 性 是 為 傳 耳 二 祖 傳 三 祖 僧 
X72n1441_001:0675b05	璨大師。三祖傳四祖道信大師。四祖傳五祖弘忍大	璨 大 師 三 祖 傳 四 祖 道 信 大 師 四 祖 傳 五 祖 弘 忍 大 
X72n1441_001:0675b06	師。五祖傳六祖慧能大師。六祖八十生為善知識。示	師 五 祖 傳 六 祖 慧 能 大 師 六 祖 八 十 生 為 善 知 識 示 
X72n1441_001:0675b07	不識文字。唯開見性法門。其道大振。永嘉云。六代傳	不 識 文 字 唯 開 見 性 法 門 其 道 大 振 永 嘉 云 六 代 傳 
X72n1441_001:0675b08	衣天下聞。後人得道無窮數。曹溪門下。得道如林。先	衣 天 下 聞 後 人 得 道 無 窮 數 曹 溪 門 下 得 道 如 林 先 
X72n1441_001:0675b09	是達摩以來。唯人傳一人。至六祖止其衣鉢。其法普	是 達 摩 以 來 唯 人 傳 一 人 至 六 祖 止 其 衣 鉢 其 法 普 
X72n1441_001:0675b10	傳。大弟子二人。一曰青原思。一曰南嶽讓。讓出馬祖	傳 大 弟 子 二 人 一 曰 青 原 思 一 曰 南 嶽 讓 讓 出 馬 祖 
X72n1441_001:0675b11	一。馬祖出八十餘員善知識。大弟子曰百丈海。海出	一 馬 祖 出 八 十 餘 員 善 知 識 大 弟 子 曰 百 丈 海 海 出 
X72n1441_001:0675b12	二人。一曰溈山祐。一日黃蘗運。運出臨濟玄。是為臨	二 人 一 曰 溈 山 祐 一 日 黃 蘗 運 運 出 臨 濟 玄 是 為 臨 
X72n1441_001:0675b13	濟宗。祐出仰山寂。是為溈仰宗。青原出石頭遷。遷大	濟 宗 祐 出 仰 山 寂 是 為 溈 仰 宗 青 原 出 石 頭 遷 遷 大 
X72n1441_001:0675b14	弟子二人。一曰天皇道悟。一曰藥山惟儼。儼出雲巖	弟 子 二 人 一 曰 天 皇 道 悟 一 曰 藥 山 惟 儼 儼 出 雲 巖 
X72n1441_001:0675b15	晟。晟出洞山价。价出曹山寂。是為曹洞宗。天皇出龍	晟 晟 出 洞 山 价 价 出 曹 山 寂 是 為 曹 洞 宗 天 皇 出 龍 
X72n1441_001:0675b16	潭信。信出德山鑒。鑒出雪峯存。存大弟子二人。一曰	潭 信 信 出 德 山 鑒 鑒 出 雪 峯 存 存 大 弟 子 二 人 一 曰 
X72n1441_001:0675b17	雲門偃。是為雲門宗。一曰玄沙備。備出地藏琛。琛出	雲 門 偃 是 為 雲 門 宗 一 曰 玄 沙 備 備 出 地 藏 琛 琛 出 
X72n1441_001:0675b18	法眼益。是為法眼宗。雖五宗接人機用不同。無非發	法 眼 益 是 為 法 眼 宗 雖 五 宗 接 人 機 用 不 同 無 非 發 
X72n1441_001:0675b19	明世尊拈花一著子。直指人心。見性成佛而已。其溈	明 世 尊 拈 花 一 著 子 直 指 人 心 見 性 成 佛 而 已 其 溈 
X72n1441_001:0675b20	仰。雲門。法眼三宗。與宋運俱終。傳至今日唯臨濟曹	仰 雲 門 法 眼 三 宗 與 宋 運 俱 終 傳 至 今 日 唯 臨 濟 曹 
X72n1441_001:0675b21	洞二宗。時當末法。人根下劣。學人既無真實為生死	洞 二 宗 時 當 末 法 人 根 下 劣 學 人 既 無 真 實 為 生 死 
X72n1441_001:0675b22	之心。又少真正師承。唯以拂子名利居懷。人我闘諍	之 心 又 少 真 正 師 承 唯 以 拂 子 名 利 居 懷 人 我 闘 諍 
X72n1441_001:0675b23	為事。充塞閭閻。成風成俗。先師甞言。今日臨濟不成	為 事 充 塞 閭 閻 成 風 成 俗 先 師 甞 言 今 日 臨 濟 不 成 
X72n1441_001:0675b24	臨濟。不待曹洞非之也。曹洞不成曹洞。不待臨濟非	臨 濟 不 待 曹 洞 非 之 也 曹 洞 不 成 曹 洞 不 待 臨 濟 非 
X72n1441_001:0675c01	之也。此言盡之矣。有志之士。一聞此言。痛心疾首孰	之 也 此 言 盡 之 矣 有 志 之 士 一 聞 此 言 痛 心 疾 首 孰 
X72n1441_001:0675c02	肯受之。唯望法門有越格道流。向釋迦未現西乾。達	肯 受 之 唯 望 法 門 有 越 格 道 流 向 釋 迦 未 現 西 乾 達 
X72n1441_001:0675c03	摩未來東土。自己未入父母胞胎已前。一覷覷破。釋	摩 未 來 東 土 自 己 未 入 父 母 胞 胎 已 前 一 覷 覷 破 釋 
X72n1441_001:0675c04	迦。達摩。自己。是什麼。陽燄空花。始好向這裏赤身擔	迦 達 摩 自 己 是 什 麼 陽 燄 空 花 始 好 向 這 裏 赤 身 擔 
X72n1441_001:0675c05	荷。庶幾挽回末法獘惡之風。苟無其人。則所謂宗門	荷 庶 幾 挽 回 末 法 獘 惡 之 風 苟 無 其 人 則 所 謂 宗 門 
X72n1441_001:0675c06	者。掃地盡矣。尚何言哉。又云。學佛法者。學出世法也。	者 掃 地 盡 矣 尚 何 言 哉 又 云 學 佛 法 者 學 出 世 法 也 
X72n1441_001:0675c07	苟夾襍一念世法之心。則雖勤苦修持。談玄說妙[糸*息]	苟 夾 襍 一 念 世 法 之 心 則 雖 勤 苦 修 持 談 玄 說 妙 [糸息] 
X72n1441_001:0675c08	在世法上著倒。與佛法沒交涉。須信得這一件是出	在 世 法 上 著 倒 與 佛 法 沒 交 涉 須 信 得 這 一 件 是 出 
X72n1441_001:0675c09	世大事因緣。須辦得一副出世心行。始堪入門。如今	世 大 事 因 緣 須 辦 得 一 副 出 世 心 行 始 堪 入 門 如 今 
X72n1441_001:0675c10	日與諸大眾。焚香靜坐。講論片時。乃是世人所無者。	日 與 諸 大 眾 焚 香 靜 坐 講 論 片 時 乃 是 世 人 所 無 者 
X72n1441_001:0675c11	傅大士云。世人愛黃金。我愛剎那靜。金多亂人心。心	傅 大 士 云 世 人 愛 黃 金 我 愛 剎 那 靜 金 多 亂 人 心 心 
X72n1441_001:0675c12	靜入正定。唯杜絕諸緣。堅凝正念。使靜慧發生。方能	靜 入 正 定 唯 杜 絕 諸 緣 堅 凝 正 念 使 靜 慧 發 生 方 能 
X72n1441_001:0675c13	明理。不然。雖終日談宗說教。畢竟法不入心也。	明 理 不 然 雖 終 日 談 宗 說 教 畢 竟 法 不 入 心 也 
X72n1441_001:0675c14	隱和尚曰。大珠禪師云。身口意清淨。是名佛出世。身	隱 和 尚 曰 大 珠 禪 師 云 身 口 意 清 淨 是 名 佛 出 世 身 
X72n1441_001:0675c15	口意不清淨。是名佛滅度。所謂佛者。非外有相佛。乃	口 意 不 清 淨 是 名 佛 滅 度 所 謂 佛 者 非 外 有 相 佛 乃 
X72n1441_001:0675c16	當人本有靈覺之性也。三業清淨則現。不清淨則隱。	當 人 本 有 靈 覺 之 性 也 三 業 清 淨 則 現 不 清 淨 則 隱 
X72n1441_001:0675c17	不清淨者。以三業具于十惡。身有三惡。謂殺盜婬。口	不 清 淨 者 以 三 業 具 于 十 惡 身 有 三 惡 謂 殺 盜 婬 口 
X72n1441_001:0675c18	有四惡。謂妄言。綺語。惡口。兩舌。意有三惡。謂貪嗔痴。	有 四 惡 謂 妄 言 綺 語 惡 口 兩 舌 意 有 三 惡 謂 貪 嗔 痴 
X72n1441_001:0675c19	是惡若止。即名十善。以惡有逆性之用。故佛性隨之	是 惡 若 止 即 名 十 善 以 惡 有 逆 性 之 用 故 佛 性 隨 之 
X72n1441_001:0675c20	而隱。義說為滅度耳。善有順性之功。故佛性隨之而	而 隱 義 說 為 滅 度 耳 善 有 順 性 之 功 故 佛 性 隨 之 而 
X72n1441_001:0675c21	現。義說為出世耳。所以學道之士。當時時檢較三業。	現 義 說 為 出 世 耳 所 以 學 道 之 士 當 時 時 檢 較 三 業 
X72n1441_001:0675c22	諸惡莫作。眾善奉行。自淨其心。是諸佛意也。	諸 惡 莫 作 眾 善 奉 行 自 淨 其 心 是 諸 佛 意 也 
X72n1441_001:0675c23	士雲居士問曰。此心難制。晝夜不住。行坐紛馳。為之	士 雲 居 士 問 曰 此 心 難 制 晝 夜 不 住 行 坐 紛 馳 為 之 
X72n1441_001:0675c24	柰何。師曰。此心意識作祟。正當以佛知見治之。永嘉	柰 何 師 曰 此 心 意 識 作 祟 正 當 以 佛 知 見 治 之 永 嘉 
X72n1441_001:0676a01	云。損法財。滅功德。莫不繇茲心意識。是以禪門了却	云 損 法 財 滅 功 德 莫 不 繇 茲 心 意 識 是 以 禪 門 了 却 
X72n1441_001:0676a02	心。頓入無生知見力。唯知見力。為能了心而入無生	心 頓 入 無 生 知 見 力 唯 知 見 力 為 能 了 心 而 入 無 生 
X72n1441_001:0676a03	也。眾生無始劫來未曾離念。若無佛知見力。則永無	也 眾 生 無 始 劫 來 未 曾 離 念 若 無 佛 知 見 力 則 永 無 
X72n1441_001:0676a04	止息之時。此佛知見。真伐煩惱根之利斧。渡生死海	止 息 之 時 此 佛 知 見 真 伐 煩 惱 根 之 利 斧 渡 生 死 海 
X72n1441_001:0676a05	之迅航。不可須臾離者也。	之 迅 航 不 可 須 臾 離 者 也 
X72n1441_001:0676a06	師云。眾生妄想無量。其最轇轕難解者。不出身心二	師 云 眾 生 妄 想 無 量 其 最 轇 轕 難 解 者 不 出 身 心 二 
X72n1441_001:0676a07	見。圓覺經云。一切眾生。妄認四大為自身相。六塵緣	見 圓 覺 經 云 一 切 眾 生 妄 認 四 大 為 自 身 相 六 塵 緣 
X72n1441_001:0676a08	影為自心相。譬彼病目。見空中花。然空實無花。病目	影 為 自 心 相 譬 彼 病 目 見 空 中 花 然 空 實 無 花 病 目 
X72n1441_001:0676a09	者妄見有花。圓覺自性本無身心。迷圓覺者。妄認四	者 妄 見 有 花 圓 覺 自 性 本 無 身 心 迷 圓 覺 者 妄 認 四 
X72n1441_001:0676a10	大六塵為身心。所以千經萬論。廣破身心二見。二見	大 六 塵 為 身 心 所 以 千 經 萬 論 廣 破 身 心 二 見 二 見 
X72n1441_001:0676a11	既破。佛性自現。身見破。則幻身即是法身。心見破。則	既 破 佛 性 自 現 身 見 破 則 幻 身 即 是 法 身 心 見 破 則 
X72n1441_001:0676a12	幻心即是靈明佛性。所謂無明實性即佛性。幻化空	幻 心 即 是 靈 明 佛 性 所 謂 無 明 實 性 即 佛 性 幻 化 空 
X72n1441_001:0676a13	身即法身是也。七佛世尊。各以一偈傳法。而偈偈皆	身 即 法 身 是 也 七 佛 世 尊 各 以 一 偈 傳 法 而 偈 偈 皆 
X72n1441_001:0676a14	破身心二見。如毗婆尸佛偈云。身從無相中受生。猶	破 身 心 二 見 如 毗 婆 尸 佛 偈 云 身 從 無 相 中 受 生 猶 
X72n1441_001:0676a15	如幻出諸形象。幻人心識本來無。罪福皆空無所住。	如 幻 出 諸 形 象 幻 人 心 識 本 來 無 罪 福 皆 空 無 所 住 
X72n1441_001:0676a16	無相者。實相也。以非心意識所緣之境。故云無相。此	無 相 者 實 相 也 以 非 心 意識所緣 之 境 故 云 無 相 此 
X72n1441_001:0676a17	身於無相中仗因託緣而生。猶如幻出。既如幻出。則	身 於 無 相 中 仗 因 託 緣 而 生 猶 如 幻 出 既 如 幻 出 則 
X72n1441_001:0676a18	幻人之心意識。本來自無。非使之無也。心意識既無。	幻 人 之 心 意 識 本 來 自 無 非 使 之 無 也 心 意 識 既 無 
X72n1441_001:0676a19	則所造之善惡罪福。但如浮雲度空。來無所從。去無	則 所 造 之 善 惡 罪 福 但 如 浮 雲 度 空 來 無 所 從 去 無 
X72n1441_001:0676a20	所至。安有所住著之處乎。其毗舍浮佛偈曰。假借四	所 至 安 有 所 住 著 之 處 乎 其 毗 舍 浮 佛 偈 曰 假 借 四 
X72n1441_001:0676a21	大以為身。心本無生因境有。前境若無心亦無。罪福	大 以 為 身 心 本 無 生 因 境 有 前 境 若 無 心 亦 無 罪 福 
X72n1441_001:0676a22	如幻起亦滅。四大者。地水火風也。圓覺經云。我今此	如 幻 起 亦 滅 四 大 者 地水火風 也 圓 覺 經 云 我 今 此 
X72n1441_001:0676a23	身。四大和合。所謂髮毛爪齒。皮肉筋骨。髓腦垢色。皆	身 四 大 和 合 所 謂 髮毛爪齒 皮 肉 筋 骨 髓 腦 垢 色 皆 
X72n1441_001:0676a24	歸於地。唾涕膿血。津液涎沫。痰淚精氣。大小便利。皆	歸 於 地 唾 涕 膿 血 津 液 涎 沫 痰 淚 精 氣 大小便利 皆 
X72n1441_001:0676b01	歸於水。暖氣歸火。動轉歸風。四大各離。今者妄身。當	歸 於 水 暖 氣 歸 火 動 轉 歸 風 四 大 各 離 今 者 妄 身 當 
X72n1441_001:0676b02	在何處。即如此身。畢竟無體。和合為相。實同幻化。四	在 何 處 即 如 此 身 畢 竟 無 體 和 合 為 相 實 同 幻 化 四 
X72n1441_001:0676b03	緣假合。妄有六根。六根四大。中外合成。妄有緣氣。於	緣 假 合 妄 有 六 根 六 根 四 大 中 外 合 成 妄 有 緣 氣 於 
X72n1441_001:0676b04	中積聚。似有緣相。假名為心。此虗妄心。若無六塵。則	中 積 聚 似 有 緣 相 假 名 為 心 此 虗 妄 心 若 無 六 塵 則 
X72n1441_001:0676b05	不能有。以此觀之。前佛後佛。同一舌頭。同一音吼。身	不 能 有 以 此 觀 之 前 佛 後 佛 同 一 舌 頭 同 一 音 吼 身 
X72n1441_001:0676b06	本無身。唯假借四大以為身。心本無生。唯因前境而	本 無 身 唯 假 借 四 大 以 為 身 心 本 無 生 唯 因 前 境 而 
X72n1441_001:0676b07	妄生。前境若無。則心亦不可得。心不可得。而所起之	妄 生 前 境 若 無 則 心 亦 不 可 得 心 不 可 得 而 所 起 之 
X72n1441_001:0676b08	善惡罪福。又豈可得乎。故云無所住。以無法可住也。	善 惡 罪 福 又 豈 可 得 乎 故 云 無 所 住 以 無 法 可 住 也 
X72n1441_001:0676b09	萬曆間達觀老人。一生說法接人。唯此一偈。且曰。老	萬 曆 間 達 觀 老 人 一 生 說 法 接 人 唯 此 一 偈 且 曰 老 
X72n1441_001:0676b10	漢只持得前兩句熟。若後兩句總熟。則生死二字。不	漢 只 持 得 前 兩 句 熟 若 後 兩 句 總 熟 則 生 死 二 字 不 
X72n1441_001:0676b11	柰我何矣。甞令人離四大觀身。則此身乃龜毛兔角。	柰 我 何 矣 甞 令 人 離 四 大 觀 身 則 此 身 乃 龜 毛 兔 角 
X72n1441_001:0676b12	離前境觀心。則此心乃陽燄空花。此言尤為痛切。不	離 前 境 觀 心 則 此 心 乃 陽 燄 空 花 此 言 尤 為 痛 切 不 
X72n1441_001:0676b13	可不審知也。迦葉佛偈曰。一切眾生性清淨。從本無	可 不 審 知 也 迦 葉 佛 偈 曰 一 切 眾 生 性 清 淨 從 本 無 
X72n1441_001:0676b14	生無可滅。即此身心是幻生。幻化之中無罪福。此偈	生 無 可 滅 即 此 身 心 是 幻 生 幻 化 之 中 無 罪 福 此 偈 
X72n1441_001:0676b15	直提出清淨之性。本無生滅。身心但是幻生。而幻化	直 提 出 清 淨 之 性 本 無 生 滅 身 心 但 是 幻 生 而 幻 化 
X72n1441_001:0676b16	之中罪福不可得。較前後諸偈。更痛切明白也。	之 中 罪 福 不 可 得 較 前 後 諸 偈 更 痛 切 明 白 也 
X72n1441_001:0676b17	師云。博地凡夫。未階聖位。孰能無過。但知非改悔。則	師 云 博 地 凡 夫 未 階 聖 位 孰 能 無 過 但 知 非 改 悔 則 
X72n1441_001:0676b18	善莫大焉。苟不知非。則永無改悔之日。而恣情造業。	善 莫 大 焉 苟 不 知 非 則 永 無 改 悔 之 日 而 恣 情 造 業 
X72n1441_001:0676b19	不至泥犁不止也。	不 至 泥 犁 不 止 也 
X72n1441_001:0676b20	師云。一部楞嚴經。最初開口。便曰一切眾生。生死相	師 云 一 部 楞 嚴 經 最 初 開 口 便 曰 一 切 眾 生 生 死 相 
X72n1441_001:0676b21	續。皆由不知常住真心。性淨明體。用諸妄想。此想不	續 皆 由 不 知 常 住 真 心 性 淨 明 體 用 諸 妄 想 此 想 不 
X72n1441_001:0676b22	真。故有輪轉。意云。若知有常住真心。則不用諸妄想。	真 故 有 輪 轉 意 云 若 知 有 常 住 真 心 則 不 用 諸 妄 想 
X72n1441_001:0676b23	而無生死輪轉。以常住真心。是人人本有底。只為不	而 無 生 死 輪 轉 以 常 住 真 心 是 人 人 本 有 底 只 為 不 
X72n1441_001:0676b24	知。以不知故。反認妄為真。造生死業。永無出苦之日	知 以 不 知 故 反 認 妄 為 真 造 生 死 業 永 無 出 苦 之 日 
X72n1441_001:0676c01	耳。如僧問古德。如何是頭。古德答曰。只須知有。僧曰。	耳 如 僧 問 古 德 如 何 是 頭 古 德 答 曰 只 須 知 有 僧 曰 
X72n1441_001:0676c02	如何是尾。古德曰。盡却今時。蓋有頭方有尾。直得頭	如 何 是 尾 古 德 曰 盡 却 今 時 蓋 有 頭 方 有 尾 直 得 頭 
X72n1441_001:0676c03	尾完全。更須知有向上一著。	尾 完 全 更 須 知 有 向 上 一 著 
X72n1441_001:0676c04	師云。佛祖出世。建立無量法門。別無他事。只是要人	師 云 佛 祖 出 世 建 立 無 量 法 門 別 無 他 事 只 是 要 人 
X72n1441_001:0676c05	知有。如達摩祖師西來。最初見梁武帝。帝問如何是	知 有 如 達 摩 祖 師 西 來 最 初 見 梁 武 帝 帝 問 如 何 是 
X72n1441_001:0676c06	聖諦第一義。祖曰。廓然無聖。達祖可謂劈腹剜心了	聖 諦 第 一 義 祖 曰 廓 然 無 聖 達 祖 可 謂 劈 腹 剜 心 了 
X72n1441_001:0676c07	也。無柰武帝不領。猶存人我之見。乃曰。對朕者誰。祖	也 無 柰 武 帝 不 領 猶 存 人 我 之 見 乃 曰 對 朕 者 誰 祖 
