X26n0545_001:0836a03	心經槩論	心 經 槩 論 
X26n0545_001:0836c19	無我人眾生壽者。一切現成也。故皈依佛者。皈依此	無 我 人 眾 生 壽 者 一 切 現 成 也 故 皈 依 佛 者 皈 依 此 
X26n0545_001:0836c20	彼岸實地中而覺也。皈依法者。皈依此彼岸實地中	彼 岸 實 地 中 而 覺 也 皈 依 法 者 皈 依 此 彼 岸 實 地 中 
X26n0545_001:0836c21	而正也。皈依僧者。皈依此彼岸實地中而淨也。若舍	而 正 也 皈 依 僧 者 皈 依 此 彼 岸 實 地 中 而 淨 也 若 舍 
X26n0545_001:0836c22	實地。而求真心。若離彼岸。而觀自在菩薩。失之遠矣。	實 地 而 求 真 心 若 離 彼 岸 而 觀 自 在 菩 薩 失 之 遠 矣 
X26n0545_001:0836c23	然所謂真心者。自性也。而真心之實地者。心地也。故	然 所 謂 真 心 者 自 性 也 而 真 心 之 實 地 者 心 地 也 故 
X26n0545_001:0836c24	曰心地無非自性戒。心地無癡自性慧。心地無亂自	曰 心 地 無 非 自 性 戒 心 地 無 癡 自 性 慧 心 地 無 亂 自 
X26n0545_001:0837a01	性定。真心實地。一切現成。三世諸佛。皆由此中出也。	性 定 真 心 實 地 一 切 現 成 三世諸佛 皆 由 此 中 出 也 
X26n0545_001:0837a02	無上正等正覺。皆由此中出也。夫彼岸實地中之妙	無 上 正 等 正 覺 皆 由 此 中 出 也 夫 彼 岸 實 地 中 之 妙 
X26n0545_001:0837a03	義。而無上甚深如此。而親到彼岸者。當自知之。	義 而 無 上 甚 深 如 此 而 親 到 彼 岸 者 當 自 知 之 
X26n0545_001:0837a04	陳生問曰。若所云五蘊皆空者。豈曰色空之空乎。抑	陳 生 問 曰 若 所 云 五 蘊 皆 空 者 豈 曰 色 空 之 空 乎 抑 
X26n0545_001:0837a05	其空中之空也。林子曰。此所謂空。乃空中之空。而無	其 空 中 之 空 也 林 子 曰 此 所 謂 空 乃 空 中 之 空 而 無 
X26n0545_001:0837a06	有法。而無有相。無所待於空而空之。一切現成。本體	有 法 而 無 有 相 無 所 待 於 空 而 空 之 一 切 現 成 本 體 
X26n0545_001:0837a07	之自然也。又恐其未明乎照無所照之旨。以法空之。	之 自 然 也 又 恐 其 未 明 乎 照 無 所 照 之 旨 以 法 空 之 
X26n0545_001:0837a08	而落於空相也。故下文又兩呼舍利子。而警之以色	而 落 於 空 相 也 故 下 文 又 兩 呼 舍 利 子 而 警 之 以 色 
X26n0545_001:0837a09	不異空等語。又曰。是諸法空相。豈不以色相相耶。空	不 異 空 等 語 又 曰 是 諸 法 空 相 豈 不 以 色 相 相 耶 空 
X26n0545_001:0837a10	相相耶。夫色相固非空矣。而以諸法之空以空之。則	相 相 耶 夫 色 相 固 非 空 矣 而 以 諸 法 之 空 以 空 之 則 
X26n0545_001:0837a11	亦不離乎法。不離乎相。有所待於空而空之。豈曰現	亦 不 離 乎 法 不 離 乎 相 有 所 待 於 空 而 空 之 豈 曰 現 
X26n0545_001:0837a12	成公案。本體之自然乎。	成 公 案 本 體 之 自 然 乎 
X26n0545_001:0837a13	壇經曰。善知識。莫聞吾說空便即著空。第一莫著空。	壇 經 曰 善 知 識 莫 聞 吾 說 空 便 即 著 空 第 一 莫 著 空 
X26n0545_001:0837a14	若空心靜坐。即著無記空。又曰。又有迷人。空心靜坐。	若 空 心 靜 坐 即 著 無 記 空 又 曰 又 有 迷 人 空 心 靜 坐 
X26n0545_001:0837a15	百無所思。自稱為大。此一等人。不可與語。為邪見故。	百 無 所 思 自 稱 為 大 此 一 等 人 不 可 與 語 為 邪 見 故 
X26n0545_001:0837a16	此所謂空。乃是空相之空。豈曰空中之空。	此 所 謂 空 乃 是 空 相 之 空 豈 曰 空 中 之 空 
X26n0545_001:0837a17	道教大通經三章。其一真空章曰。先天而生。生而無	道 教 大 通 經 三 章 其 一 真 空 章 曰 先 天 而 生 生 而 無 
X26n0545_001:0837a18	形。後天而存。存而無體。然而無體未嘗存也。故曰不	形 後 天 而 存 存 而 無 體 然 而 無 體 未 嘗 存 也 故 曰 不 
X26n0545_001:0837a19	可思議。夫曰無形。而有生乎哉。夫曰無體。而有存乎	可 思 議 夫 曰 無 形 而 有 生 乎 哉 夫 曰 無 體 而 有 存 乎 
X26n0545_001:0837a20	哉。生於無生。無所生而生也。存於無存。無所存而存	哉 生 於 無 生 無 所 生 而 生 也 存 於 無 存 無 所 存 而 存 
X26n0545_001:0837a21	也。形於無形。無所形而形也。體於無體。無所體而體	也 形 於 無 形 無 所 形 而 形 也 體 於 無 體 無 所 體 而 體 
X26n0545_001:0837a22	也。知此。則知真空之妙義。其殆不可以擬議而致思	也 知 此 則 知 真 空 之 妙 義 其 殆 不 可 以 擬 議 而 致 思 
X26n0545_001:0837a23	乎。其二玄理章曰。如空無相。湛然圓滿。其三玄妙章	乎 其 二 玄 理 章 曰 如 空 無 相 湛 然 圓 滿 其 三 玄 妙 章 
X26n0545_001:0837a24	曰。如如自然。廣無邊際。由此觀之。其曰空相。則非空	曰 如 如 自 然 廣 無 邊 際 由 此 觀 之 其 曰 空 相 則 非 空 
X26n0545_001:0837b01	中之真空也明矣。有相斯有見。有見斯有著。豈不落	中 之 真 空 也 明 矣 有 相 斯 有 見 有 見 斯 有 著 豈 不 落 
X26n0545_001:0837b02	於邊際。而曰湛然圓滿如如之自然哉。故欲識真空。	於 邊 際 而 曰 湛 然 圓 滿 如 如 之 自 然 哉 故 欲 識 真 空 
X26n0545_001:0837b03	無空可識。既無可識。安識是空。是空非空。非空是空。	無 空 可 識 既 無 可 識 安 識 是 空 是 空 非 空 非 空 是 空 
X26n0545_001:0837b04	若言是空。若言非空。皆有空相。不名真空。真空無空。	若 言 是 空 若 言 非 空 皆 有 空 相 不 名 真 空 真 空 無 空 
X26n0545_001:0837b05	無空真空。然道教亦有之。曰。無空有空。又曰。不空中	無 空 真 空 然 道 教 亦 有 之 曰 無 空 有 空 又 曰 不 空 中 
X26n0545_001:0837b06	空。又曰。空無定空。又曰。知空不空。又曰。識無空法。又	空 又 曰 空 無 定 空 又 曰 知 空 不 空 又 曰 識 無 空 法 又 
X26n0545_001:0837b07	曰。不著空見。是皆空中之真空。真空之妙義也。	曰 不 著 空 見 是 皆 空 中 之 真 空 真 空 之 妙 義 也 
X26n0545_001:0837b08	蘇生問曰。何以謂之空中。林子曰。汝獨不聞中庸所	蘇 生 問 曰 何 以 謂 之 空 中 林 子 曰 汝 獨 不 聞 中 庸 所 
X26n0545_001:0837b09	謂喜怒哀樂未發之中乎。未發之中者。空中也。現成	謂 喜 怒 哀 樂 未 發 之 中 乎 未 發 之 中 者 空 中 也 現 成 
X26n0545_001:0837b10	公案。不色不空之謂也。惟其不色不空。故其不生不	公 案 不 色 不 空 之 謂 也 惟 其 不 色 不 空 故 其 不 生 不 
X26n0545_001:0837b11	滅。不垢不淨。不增不減。而為實地之本體者。未發之	滅 不垢不淨 不增不減 而 為 實 地 之 本 體 者 未 發 之 
X26n0545_001:0837b12	中也。	中 也 
X26n0545_001:0837b13	中庸曰。夫焉有所倚。豈惟空無其色。而不倚於塵生	中 庸 曰 夫 焉 有 所 倚 豈 惟 空 無 其 色 而 不 倚 於 塵 生 
X26n0545_001:0837b14	之色哉。而亦且空無其空。而不倚於塵滅之空也。若	之 色 哉 而 亦 且 空 無 其 空 而 不 倚 於 塵 滅 之 空 也 若 
X26n0545_001:0837b15	曰我空也。而稍倚於空焉。便是有所著於塵滅之空。	曰 我 空 也 而 稍 倚 於 空 焉 便 是 有 所 著 於 塵 滅 之 空 
X26n0545_001:0837b16	而非空矣。	而 非 空 矣 
X26n0545_001:0837b17	林子曰。喜怒哀樂未發之中者。余之所謂色空所不	林 子 曰 喜 怒 哀 樂 未 發 之 中 者 余 之 所 謂 色 空 所 不 
X26n0545_001:0837b18	到處。我之本體。我之太虗也。我而致其中焉。以復還	到 處 我 之 本 體 我 之 太 虗 也 我 而 致 其 中 焉 以 復 還 
X26n0545_001:0837b19	我之本體。我之太虗也。我之本體。既太虗而中矣。則	我 之 本 體 我 之 太 虗 也 我 之 本 體 既 太 虗 而 中 矣 則 
X26n0545_001:0837b20	和自生。和既生矣。而天地其有不位乎。萬物其有不	和 自 生 和 既 生 矣 而 天 地 其 有 不 位 乎 萬 物 其 有 不 
X26n0545_001:0837b21	育乎。而位而育。皆由此出。一切現成。豈其有所於倚	育 乎 而 位 而 育 皆 由 此 出 一 切 現 成 豈 其 有 所 於 倚 
X26n0545_001:0837b22	而為之者乎。	而 為 之 者 乎 
X26n0545_001:0837b23	林生問曰。未發之中。豈非詩之所謂無聲無臭耶。林	林 生 問 曰 未 發 之 中 豈 非 詩 之 所 謂 無 聲 無 臭 耶 林 
X26n0545_001:0837b24	子曰。然。然而色空不到處之空。固曰無聲無臭而無	子 曰 然 然 而 色 空 不 到 處 之 空 固 曰 無 聲 無 臭 而 無 
X26n0545_001:0837c01	塵矣。而色空對待之空。夫豈其有聲有臭而有塵耶。	塵 矣 而 色 空 對 待 之 空 夫 豈 其 有 聲 有 臭 而 有 塵 耶 
X26n0545_001:0837c02	林子曰。色空之空。雖曰無聲臭之塵矣。然而揚其聲	林 子 曰 色 空 之 空 雖 曰 無 聲 臭 之 塵 矣 然 而 揚 其 聲 
X26n0545_001:0837c03	於色空之空焉。則色空之空。抑亦可得以聲而塵之	於 色 空 之 空 焉 則 色 空 之 空 抑 亦 可 得 以 聲 而 塵 之 
X26n0545_001:0837c04	矣。置其臭於色空之空焉。則色空之空。抑亦可得以	矣 置 其 臭 於 色 空 之 空 焉 則 色 空 之 空 抑 亦 可 得 以 
X26n0545_001:0837c05	臭而塵之矣。若天色空之所不到處。其可得而聲之	臭 而 塵 之 矣 若 天 色 空 之 所 不 到 處 其 可 得 而 聲 之 
X26n0545_001:0837c06	乎。其可得而臭之乎。其可得而塵之乎。是乃聲臭之	乎 其 可 得 而 臭 之 乎 其 可 得 而 塵 之 乎 是 乃 聲 臭 之 
X26n0545_001:0837c07	塵之所不到處。一切之現成也。而親到彼岸者。當自	塵 之 所 不 到 處 一 切 之 現 成 也 而 親 到 彼 岸 者 當 自 
X26n0545_001:0837c08	知之。	知 之 
X26n0545_001:0837c09	中庸曰。肫肫其仁。淵淵其淵。浩浩其天。皆我真心之	中 庸 曰 肫 肫 其 仁 淵 淵 其 淵 浩 浩 其 天 皆 我 真 心 之 
X26n0545_001:0837c10	實地。一切而現成也。而天下之大經。於此而經綸之	實 地 一 切 而 現 成 也 而 天 下 之 大 經 於 此 而 經 綸 之 
X26n0545_001:0837c11	矣。天下之大本。於此而立之矣。天地之化育。於此而	矣 天 下 之 大 本 於 此 而 立 之 矣 天 地 之 化 育 於 此 而 
X26n0545_001:0837c12	知之矣。凡有血氣。於此而尊之親之矣。而我之性。而	知 之 矣 凡 有 血 氣 於 此 而 尊 之 親 之 矣 而 我 之 性 而 
X26n0545_001:0837c13	人之性。而物之性。而天地之性。於此而盡之參之贊	人 之 性 而 物 之 性 而 天 地 之 性 於 此 而 盡 之 參 之 贊 
X26n0545_001:0837c14	之矣。此其天地之所以為大。而文王之所以為文乎。	之 矣 此 其 天 地 之 所 以 為 大 而 文 王 之 所 以 為 文 乎 
X26n0545_001:0837c15	而親到彼岸者。當自知之。	而 親 到 彼 岸 者 當 自 知 之 
X26n0545_001:0837c16	鄭生問曰。何者謂之真心。何者謂之實地。林子曰。未	鄭 生 問 曰 何 者 謂 之 真 心 何 者 謂 之 實 地 林 子 曰 未 
X26n0545_001:0837c17	發之中者。真心之實地也。而發而中節。不謂之實地	發 之 中 者 真 心 之 實 地 也 而 發 而 中 節 不 謂 之 實 地 
X26n0545_001:0837c18	之真心乎。寂然不動者。真心之實地也。而感而遂通	之 真 心 乎 寂 然 不 動 者 真 心 之 實 地 也 而 感 而 遂 通 
X26n0545_001:0837c19	不謂之實地之真心乎。	不 謂 之 實 地 之 真 心 乎 
X26n0545_001:0837c20	林子曰真心之實地。一河圖也。本無聲臭之可言。實	林 子 曰 真 心 之 實 地 一 河 圖 也 本 無 聲 臭 之 可 言 實 
X26n0545_001:0837c21	地之真心。一洛書也。即有端倪之可見。	地 之 真 心 一 洛 書 也 即 有 端 倪 之 可 見 
X26n0545_001:0837c22	林子曰。色可反而空者。塵而空也。空可反而色者。塵	林 子 曰 色 可 反 而 空 者 塵 而 空 也 空 可 反 而 色 者 塵 
X26n0545_001:0837c23	而色也。譬之器。本空也。實之則色矣。實之色也。而去	而 色 也 譬 之 器 本 空 也 實 之 則 色 矣 實 之 色 也 而 去 
X26n0545_001:0837c24	其實焉。則又空矣。此空之所以有去有來者。塵生塵	其 實 焉 則 又 空 矣 此 空 之 所 以 有 去 有 來 者 塵 生 塵 
X26n0545_001:0838a01	滅之謂。而非本來之無物矣。	滅 之 謂 而 非 本 來 之 無 物 矣 
X26n0545_001:0838a02	林子曰。知色之空。而以為空者。固未可以為空矣。而	林 子 曰 知 色 之 空 而 以 為 空 者 固 未 可 以 為 空 矣 而 
X26n0545_001:0838a03	知空之空。而以為空者。則亦未可以為空也。知空之	知 空 之 空 而 以 為 空 者 則 亦 未 可 以 為 空 也 知 空 之 
X26n0545_001:0838a04	空。而以為空者。固未可以為空矣。而知色空之不到	空 而 以 為 空 者 固 未 可 以 為 空 矣 而 知 色 空 之 不 到 
X26n0545_001:0838a05	處而以為空者。則亦未可以為空也。林生問曰。夫知	處 而 以 為 空 者 則 亦 未 可 以 為 空 也 林 生 問 曰 夫 知 
X26n0545_001:0838a06	色空之不到處而以為空者。豈其未可以為空歟。林	色 空 之 不 到 處 而 以 為 空 者 豈 其 未 可 以 為 空 歟 林 
X26n0545_001:0838a07	子。曰以其猶有知之者在焉。而況曰自以為空乎。林	子 曰 以 其 猶 有 知 之 者 在 焉 而 況 曰 自 以 為 空 乎 林 
X26n0545_001:0838a08	子曰。夫色空之所不到。而曰處者。其有處乎。其無處	子 曰 夫 色 空 之 所 不 到 而 曰 處 者 其 有 處 乎 其 無 處 
X26n0545_001:0838a09	乎。其在於吾身之內乎。其在於吾身之外乎。其在天	乎 其 在 於 吾 身 之 內 乎 其 在 於 吾 身 之 外 乎 其 在 天 
X26n0545_001:0838a10	地之內乎。其在天地之外乎。其可得而古之。可得而	地 之 內 乎 其 在 天 地 之 外 乎 其 可 得 而 古 之 可 得 而 
X26n0545_001:0838a11	今之乎。其不可得而古之。不可得而今之乎。要而言	今 之 乎 其 不 可 得 而 古 之 不 可 得 而 今 之 乎 要 而 言 
X26n0545_001:0838a12	之。何處而非我之實地乎。何處而非非我之實地乎。	之 何 處 而 非 我 之 實 地 乎 何 處 而 非 非 我 之 實 地 乎 
X26n0545_001:0838a13	何處而非我之真心乎。何處而非非我之真心乎。而	何 處 而 非 我 之 真 心 乎 何 處 而 非 非 我 之 真 心 乎 而 
X26n0545_001:0838a14	親到彼岸者。當自知之。	親 到 彼 岸 者 當 自 知 之 
X26n0545_001:0838a15	林子曰。色空之所不到處者。其有自在菩薩乎。其得	林 子 曰 色 空 之 所 不 到 處 者 其 有 自 在 菩 薩 乎 其 得 
X26n0545_001:0838a16	而觀之乎。無自在菩薩。無無自在菩薩。無觀。無無觀。	而 觀 之 乎 無 自 在 菩 薩 無 無 自 在 菩 薩 無 觀 無 無 觀 
X26n0545_001:0838a17	其有彼岸乎。其得而到之乎。無彼岸。無無彼岸。無到。	其 有 彼 岸 乎 其 得 而 到 之 乎 無 彼 岸 無 無 彼 岸 無 到 
X26n0545_001:0838a18	無無到。	無 無 到 
X26n0545_001:0838a19	林子曰。心經一書。皆所以接最上一乘者。故觀也者。	林 子 曰 心 經 一 書 皆 所 以 接 最 上 一 乘 者 故 觀 也 者 
X26n0545_001:0838a20	觀之也。觀雖有法。而無所為也。蓋有為則有相。有相	觀 之 也 觀 雖 有 法 而 無 所 為 也 蓋 有 為 則 有 相 有 相 
X26n0545_001:0838a21	則有著。有相有著。便不自在。而謂之觀自在菩薩可	則 有 著 有 相 有 著 便 不 自 在 而 謂 之 觀 自 在 菩 薩 可 
X26n0545_001:0838a22	乎。	乎 
X26n0545_001:0838a23	四祖道信。年始十四。來禮三祖僧璨曰。願和尚慈悲	四 祖 道 信 年 始 十 四 來 禮 三 祖 僧 璨 曰 願 和 尚 慈 悲 
X26n0545_001:0838a24	乞與解脫。三祖曰。誰縛汝。曰。無人縛。三祖曰。何更求	乞 與 解 脫 三 祖 曰 誰 縛 汝 曰 無 人 縛 三 祖 曰 何 更 求 
X26n0545_001:0838b01	解脫。豈非所謂自在菩薩一切之現成耶。而親到彼	解 脫 豈 非 所 謂 自 在 菩 薩 一 切 之 現 成 耶 而 親 到 彼 
X26n0545_001:0838b02	岸者。當自知之。	岸 者 當 自 知 之 
X26n0545_001:0838b03	林子曰。釋氏極則之教。既曰性門。又曰空門者。何也。	林 子 曰 釋 氏 極 則 之 教 既 曰 性 門 又 曰 空 門 者 何 也 
X26n0545_001:0838b04	蓋性本空者。真空也。故人法。塵也。而空其塵焉。空之	蓋 性 本 空 者 真 空 也 故 人 法 塵 也 而 空 其 塵 焉 空 之 
X26n0545_001:0838b05	者亦塵也。知見。塵也。而空其塵焉。空之者亦塵也。起	者 亦 塵 也 知 見 塵 也 而 空 其 塵 焉 空 之 者 亦 塵 也 起 
