T39n1789_001:0343a04	欽錄	欽 錄 
T39n1789_001:0343c29	云。五法自性等眾妙法門。是一切諸佛菩薩。	云 五 法 自 性 等 眾 妙 法 門 是 一切諸佛 菩 薩 
T39n1789_001:0344a01	入自心境離所行相稱真實義。諸佛教心也。	入 自 心 境 離 所 行 相 稱 真 實 義 諸 佛 教 心 也 
T39n1789_001:0344a02	如是我聞。一時佛住南海濱楞伽山頂。種種	如是我聞 一 時 佛 住 南 海 濱 楞 伽 山 頂 種 種 
T39n1789_001:0344a03	寶華以為莊嚴。與大比丘僧及大菩薩眾俱。	寶 華 以 為 莊 嚴 與 大 比 丘 僧 及 大 菩 薩 眾 俱 
T39n1789_001:0344a04	從彼種種異佛剎來。是諸菩薩摩訶薩。無量	從 彼 種 種 異 佛 剎 來 是 諸 菩薩摩訶薩 無 量 
T39n1789_001:0344a05	三昧自在之力神通遊戲。大慧菩薩摩訶薩	三昧自在 之 力 神通遊戲 大 慧 菩薩摩訶薩 
T39n1789_001:0344a06	而為上首。一切諸佛手灌其頂。自心現境界	而 為 上 首 一切諸佛 手 灌 其 頂 自 心 現 境 界 
T39n1789_001:0344a07	善解其義。種種眾生種種心色無量度門隨	善 解 其 義 種 種 眾 生 種 種 心 色 無 量 度 門 隨 
T39n1789_001:0344a08	類普現。於五法自性識二種無我究竟通達	類 普 現 於 五 法 自 性 識 二 種 無 我 究 竟 通 達 
T39n1789_001:0344a09	　此通序分也。如是者指所聞之法。亦信順之	 此 通 序 分 也 如 是 者 指 所 聞 之 法 亦 信 順 之 
T39n1789_001:0344a10	辭。我聞者阿難從佛聞持是法也。一時者教	辭 我 聞 者 阿 難 從 佛 聞 持 是 法 也 一 時 者 教 
T39n1789_001:0344a11	主徒眾嘉會之時也。佛者覺也。謂覺道既成	主 徒 眾 嘉 會 之 時 也 佛 者 覺 也 謂 覺 道 既 成 
T39n1789_001:0344a12	乘機說法導利群生也。住南海濱楞伽山頂	乘 機 說 法 導 利 群 生 也 住 南 海 濱 楞 伽 山 頂 
T39n1789_001:0344a13	者。說法之處也。寶華莊嚴者是其處勝也。大	者 說 法 之 處 也 寶 華 莊 嚴 者 是 其 處 勝 也 大 
T39n1789_001:0344a14	比丘菩薩眾者。列同聞之眾也。從彼異佛剎	比 丘 菩 薩 眾 者 列 同 聞 之 眾 也 從 彼 異 佛 剎 
T39n1789_001:0344a15	來者。舉遠知近以顯眾多也。無量三昧等者。	來 者 舉 遠 知 近 以 顯 眾 多 也 無量三昧 等 者 
T39n1789_001:0344a16	讚菩薩之德也。自大慧下別讚大慧之德。諸	讚 菩 薩 之 德 也 自 大 慧 下 別 讚 大 慧 之 德 諸 
T39n1789_001:0344a17	佛手灌其頂者。明其位居等覺。當授佛位故	佛 手 灌 其 頂 者 明 其 位 居 等 覺 當 授 佛 位 故 
T39n1789_001:0344a18	為灌頂。自心現境界者。一切善惡境界。皆由	為 灌 頂 自 心 現 境 界 者 一 切 善 惡 境 界 皆 由 
T39n1789_001:0344a19	自心發現。大慧善解其智超勝也。種種眾生	自 心 發 現 大 慧 善 解 其 智 超 勝 也 種 種 眾 生 
T39n1789_001:0344a20	心色者。謂一切有情五蘊種種不同。大慧以	心 色 者 謂 一切有情 五 蘊 種種不同 大 慧 以 
T39n1789_001:0344a21	無量度門而普應之。則法門深廣也。五法者。	無 量 度 門 而 普 應 之 則 法 門 深 廣 也 五 法 者 
T39n1789_001:0344a22	曰名曰相曰妄想曰正智曰如如也。三自性	曰 名 曰 相 曰 妄 想 曰 正 智 曰 如 如 也 三 自 性 
T39n1789_001:0344a23	者曰妄想曰緣起曰成也。識即八識也。二無	者 曰 妄 想 曰 緣 起 曰 成 也 識 即 八 識 也 二 無 
T39n1789_001:0344a24	我者即人無我法無我也。已上諸法大慧皆	我 者 即 人 無 我 法 無 我 也 已 上 諸 法 大 慧 皆 
T39n1789_001:0344a25	能究竟通達。為眾作發起之人。此佛所以深	能 究 竟 通 達 為 眾 作 發 起 之 人 此 佛 所 以 深 
T39n1789_001:0344a26	讚之也。	讚 之 也 
T39n1789_001:0344a27	爾時大慧菩薩與摩帝菩薩。俱遊一切諸佛	爾 時 大 慧 菩 薩 與 摩 帝 菩 薩 俱 遊 一切諸佛 
T39n1789_001:0344a28	剎土。承佛神力從座而起偏袒右肩。右膝著	剎 土 承佛神力 從座而起 偏袒右肩 右 膝 著 
T39n1789_001:0344a29	地合掌恭敬以偈讚佛　此下別序分也。摩	地 合掌恭敬 以 偈 讚 佛 此 下 別 序 分 也 摩 
T39n1789_001:0344b01	帝華言慧也。自偏袒至恭敬。天竺之敬儀	帝 華 言 慧 也 自 偏 袒 至 恭 敬 天 竺 之 敬 儀 
T39n1789_001:0344b02	也。	也 
T39n1789_001:0344b03	　世間離生滅　　猶如虛空華	 世 間 離 生 滅 猶如虛空 華 
T39n1789_001:0344b04	　智不得有無　　而興大悲心	 智 不 得 有 無 而 興 大 悲 心 
T39n1789_001:0344b05	　一切法如幻　　遠離於心識	 一切法如 幻 遠 離 於 心 識 
T39n1789_001:0344b06	　智不得有無　　而興大悲心	 智 不 得 有 無 而 興 大 悲 心 
T39n1789_001:0344b07	　遠離於斷常　　世間恒如夢	 遠 離 於 斷 常 世 間 恒 如 夢 
T39n1789_001:0344b08	　智不得有無　　而興大悲心	 智 不 得 有 無 而 興 大 悲 心 
T39n1789_001:0344b09	一切世間眾生背覺合塵流轉生死。而起妄	一切世間 眾 生 背 覺 合 塵 流轉生死 而 起 妄 
T39n1789_001:0344b10	想心識。復計斷常二見無由出離。如來以妙	想 心 識 復 計 斷 常 二 見 無 由 出 離 如 來 以 妙 
T39n1789_001:0344b11	智。觀察了達生滅等一切諸法。如空華如幻	智 觀 察 了 達 生 滅 等 一切諸法 如 空 華 如 幻 
T39n1789_001:0344b12	如夢不有不無故。興大悲心而度脫之。使	如 夢 不 有 不 無 故 興 大 悲 心 而 度 脫 之 使 
T39n1789_001:0344b13	其皆得遠離也。	其 皆 得 遠 離 也 
T39n1789_001:0344b14	　知人法無我　　煩惱及爾焰	 知 人法無我 煩 惱 及 爾 焰 
T39n1789_001:0344b15	　常清淨無相　　而興大悲心	 常 清 淨 無 相 而 興 大 悲 心 
T39n1789_001:0344b16	此離惑智二障煩惱惑障也。爾焰乃梵語智	此 離 惑 智 二 障 煩 惱 惑 障 也 爾 焰 乃 梵 語 智 
T39n1789_001:0344b17	障也。智本破惑惑即人法二執。無我者無此	障 也 智 本 破 惑 惑 即 人 法 二 執 無 我 者 無 此 
T39n1789_001:0344b18	二執也。若於智生著智亦成障。如來了知人	二 執 也 若 於 智 生 著 智 亦 成 障 如 來 了 知 人 
T39n1789_001:0344b19	法惑智本空。故云常清淨無相。眾生在迷受	法 惑 智 本 空 故 云 常 清 淨 無 相 眾 生 在 迷 受 
T39n1789_001:0344b20	苦。故起悲心而拔濟之。	苦 故 起 悲 心 而 拔 濟 之 
T39n1789_001:0344b21	　一切無涅槃　　無有涅槃佛	 一 切 無 涅 槃 無 有 涅 槃 佛 
T39n1789_001:0344b22	　無有佛涅槃　　遠離覺所覺	 無 有 佛 涅 槃 遠 離 覺 所 覺 
T39n1789_001:0344b23	　若有若無有　　是二悉俱離	 若有若無 有 是 二 悉 俱 離 
T39n1789_001:0344b24	一切者一切眾生也。涅槃者不生不滅之理	一 切 者 一 切 眾 生 也 涅 槃 者 不生不滅 之 理 
T39n1789_001:0344b25	也。佛與眾生同具此理。尚無生死可斷。焉有	也 佛 與 眾 生 同 具 此 理 尚 無 生 死 可 斷 焉 有 
T39n1789_001:0344b26	涅槃可證。故云一切無涅槃。然非證而證證	涅 槃 可 證 故 云 一 切 無 涅 槃 然 非 證 而 證 證 
T39n1789_001:0344b27	此涅槃。是則佛為能證之人。涅槃是所證之	此 涅 槃 是 則 佛 為 能 證 之 人 涅 槃 是 所 證 之 
T39n1789_001:0344b28	法。離法無人。故云無有涅槃佛。離人無法故	法 離 法 無 人 故 云 無 有 涅 槃 佛 離 人 無 法 故 
T39n1789_001:0344b29	云無有佛涅槃。入楞伽云。佛不住涅槃涅槃	云 無 有 佛 涅 槃 入 楞 伽 云 佛 不住涅槃 涅 槃 
T39n1789_001:0344c01	不住佛。辭異而義同也。覺即佛所覺。即涅槃	不 住 佛 辭 異 而 義 同 也 覺 即 佛 所 覺 即 涅 槃 
T39n1789_001:0344c02	人法俱泯。故云遠離覺所覺。然人法俱泯。	人 法 俱 泯 故 云 遠 離 覺 所 覺 然 人 法 俱 泯 
T39n1789_001:0344c03	是亡有而未亡無故云若有若無有是二悉俱	是 亡 有 而 未 亡 無 故 云 若有若無 有 是 二 悉 俱 
T39n1789_001:0344c04	離也。	離 也 
T39n1789_001:0344c05	　牟尼寂靜觀　　是則遠離生	 牟 尼 寂 靜 觀 是 則 遠 離 生 
T39n1789_001:0344c06	　是名為不取　　今世後世淨	 是 名 為 不 取 今 世 後 世 淨 
T39n1789_001:0344c07	牟尼是梵語。華言寂默。佛之名也。此言人	牟 尼 是 梵 語 華 言 寂 默 佛 之 名 也 此 言 人 
T39n1789_001:0344c08	能如是觀佛寂靜之體。從遠離而生。是則於	能 如 是 觀 佛 寂 靜 之 體 從 遠 離 而 生 是 則 於 
T39n1789_001:0344c09	佛不生取著。故今世後世皆得清淨。入楞	佛 不 生 取 著 故 今 世 後 世 皆 得 清 淨 入 楞 
T39n1789_001:0344c10	伽云。若見於牟尼寂靜遠離生。是人今後世	伽 云 若 見 於 牟 尼 寂 靜 遠 離 生 是 人 今 後 世 
T39n1789_001:0344c11	離著無所取。辭義尤顯。已上諸偈讚佛。皆言	離 著 無 所 取 辭 義 尤 顯 已 上 諸 偈 讚 佛 皆 言 
T39n1789_001:0344c12	離著者。蓋讚佛生善。若不離著生善不深故	離 著 者 蓋 讚 佛 生 善 若 不 離 著 生 善 不 深 故 
T39n1789_001:0344c13	也。	也 
T39n1789_001:0344c14	爾時大慧菩薩。偈讚佛已。自說姓名。	爾 時 大 慧 菩 薩 偈 讚 佛 已 自 說 姓 名 
T39n1789_001:0344c15	　我名為大慧　　通達於大乘	 我 名 為 大 慧 通 達 於 大 乘 
T39n1789_001:0344c16	　今以百八義　　仰諮尊中上	 今 以 百 八 義 仰 諮 尊 中 上 
T39n1789_001:0344c17	此下正宗分也。大慧自言是大乘機為眾	此 下 正 宗 分 也 大 慧 自 言 是 大 乘 機 為 眾 
T39n1789_001:0344c18	發起。	發 起 
T39n1789_001:0344c19	　世間解之士　　聞彼所說偈	 世 間 解 之 士 聞 彼 所 說 偈 
T39n1789_001:0344c20	　觀察一切眾　　告諸佛子言	 觀 察 一 切 眾 告 諸 佛 子 言 
T39n1789_001:0344c21	　汝等諸佛子　　今皆恣所問	 汝 等 諸 佛 子 今 皆 恣 所 問 
T39n1789_001:0344c22	　我當為汝說　　自覺之境界	 我 當 為 汝 說 自 覺 之 境 界 
T39n1789_001:0344c23	世間解者如來十號之一也。大慧所問百	世 間 解 者 如 來 十 號 之 一 也 大 慧 所 問 百 
T39n1789_001:0344c24	八義。皆如來親證之法。故云自覺之境界。	八 義 皆 如 來 親 證 之 法 故 云 自 覺 之 境 界 
T39n1789_001:0344c25	爾時大慧菩薩摩訶薩承佛所聽頂禮佛足。	爾 時 大 慧 菩薩摩訶薩 承 佛 所 聽 頂禮佛足 
T39n1789_001:0344c26	合掌恭敬以偈問曰　寶臣註入楞伽云。此	合掌恭敬 以 偈 問 曰 寶 臣 註 入 楞 伽 云 此 
T39n1789_001:0344c27	後諸偈問百八句義。或一句為一問。或二句	後 諸 偈 問 百 八 句 義 或 一 句 為 一 問 或 二 句 
T39n1789_001:0344c28	為一問。或三句為一問。乃至十句為一問。或	為 一 問 或 三 句 為 一 問 乃 至 十 句 為 一 問 或 
T39n1789_001:0344c29	一句為兩問。然此百八句。正問五法三自性	一 句 為 兩 問 然 此 百 八 句 正 問 五 法 三 自 性 
T39n1789_001:0345a01	八識二無我。度眾生對治法門。是故大慧舉	八 識 二 無 我 度 眾 生 對 治 法 門 是 故 大 慧 舉 
T39n1789_001:0345a02	上與摩帝遊諸佛剎所見之事。故下問山海	上 與 摩 帝 遊 諸 佛 剎 所 見 之 事 故 下 問 山 海 
T39n1789_001:0345a03	日月等。即五法中名相妄想。下問諸禪解脫	日 月 等 即 五 法 中 名 相 妄 想 下 問 諸 禪 解 脫 
T39n1789_001:0345a04	等。即五法中正智如如也。	等 即 五 法 中 正 智 如 如 也 
T39n1789_001:0345a05	云何淨其念　問淨其妄念。而生正念。	云 何 淨 其 念 問 淨 其 妄 念 而 生 正 念 
T39n1789_001:0345a06	云何念增長　問增淨念。	云 何 念 增 長 問 增 淨 念 
T39n1789_001:0345a07	云何見癡惑　問起見惑。	云 何 見 癡 惑 問 起 見 惑 
T39n1789_001:0345a08	云何惑增長　問增長見惑。	云 何 惑 增 長 問 增 長 見 惑 
T39n1789_001:0345a09	何故剎土化相及諸外道　問如來於剎土	何 故 剎 土 化 相 及 諸 外 道 問 如 來 於 剎 土 
T39n1789_001:0345a10	中。示現身相化眾生及諸外道。	中 示 現 身 相 化 眾 生 及 諸 外 道 
T39n1789_001:0345a11	云何無受次　入楞伽云。及無影次第謂問	云 何 無 受 次 入 楞 伽 云 及 無 影 次 第 謂 問 
T39n1789_001:0345a12	無相法中因何有次第。	無 相 法 中 因 何 有 次 第 
T39n1789_001:0345a13	何故名無受　承上問。若有次第。何名無相	何 故 名 無 受 承 上 問 若 有 次 第 何 名 無 相 
T39n1789_001:0345a14	法。無受即無相義。	法 無 受 即 無 相 義 
T39n1789_001:0345a15	何故名佛子　問菩薩何名佛子。	何 故 名 佛 子 問 菩 薩 何 名 佛 子 
T39n1789_001:0345a16	解脫至何所　問行人既得解脫復能往至	解 脫 至 何 所 問 行 人 既 得 解 脫 復 能 往 至 
T39n1789_001:0345a17	何所。	何 所 
T39n1789_001:0345a18	誰縛誰解脫　問迷時誰縛悟時誰解。	誰 縛 誰 解 脫 問 迷 時 誰 縛 悟 時 誰 解 
T39n1789_001:0345a19	何等禪境界　問諸禪定以何為境界。	何 等 禪 境 界 問 諸 禪 定 以 何 為 境 界 
T39n1789_001:0345a20	云何有三乘。惟願為解說　問何故有聲聞緣	云 何 有 三 乘 惟 願 為 解 說 問 何 故 有 聲 聞 緣 
T39n1789_001:0345a21	覺菩薩三乘。	覺 菩 薩 三 乘 
T39n1789_001:0345a22	緣起何所生。云何作所作　問善惡緣起及所	緣 起 何 所 生 云 何 作 所 作 問 善 惡 緣 起 及 所 
T39n1789_001:0345a23	作業果。	作 業 果 
T39n1789_001:0345a24	云何俱異說　問外道邪見何有俱異之說。	云 何 俱 異 說 問 外道邪見 何 有 俱 異 之 說 
T39n1789_001:0345a25	云何為增長　入楞伽云。云何諸有起謂起	云 何 為 增 長 入 楞 伽 云 云 何 諸 有 起 謂 起 
T39n1789_001:0345a26	三有也。	三 有 也 
T39n1789_001:0345a27	云何無色定　問無色界四空定。	云 何 無 色 定 問 無 色 界 四 空 定 
T39n1789_001:0345a28	及與滅正受　問滅盡定之正受。	及 與 滅 正 受 問 滅 盡 定 之 正 受 
T39n1789_001:0345a29	云何為想滅何因從定覺　問受想心滅為定	云 何 為 想 滅 何 因 從 定 覺 問 受 想 心 滅 為 定 
T39n1789_001:0345b01	何得從定起覺。	何 得 從 定 起 覺 
T39n1789_001:0345b02	云何所作生進去及持身　問從定起用。凡	云 何 所 作 生 進 去 及 持 身 問 從 定 起 用 凡 
T39n1789_001:0345b03	所作為是身去住得大自在。	所 作 為 是 身 去 住 得 大 自 在 
T39n1789_001:0345b04	云何現分別　問現身說法分別諸法種相差	云 何 現 分 別 問 現 身 說 法 分別諸法 種 相 差 
T39n1789_001:0345b05	別。	別 
T39n1789_001:0345b06	云何生諸地　問得悟入諸地位。入楞伽云。	云 何 生 諸 地 問 得 悟 入 諸 地 位 入 楞 伽 云 
T39n1789_001:0345b07	云何入諸地。	云 何 入 諸 地 
T39n1789_001:0345b08	破三有者誰何處身云何　問能破諸有出三	破 三 有 者 誰 何 處 身 云 何 問 能 破 諸 有 出 三 
T39n1789_001:0345b09	界。是何佛子。入楞伽云。云何有佛子而能	界 是 何 佛 子 入 楞 伽 云 云 何 有 佛 子 而 能 
T39n1789_001:0345b10	破三有。	破 三 有 
T39n1789_001:0345b11	往生何所至　問既破三有往生何處。	往 生 何 所 至 問 既 破 三 有 往 生 何 處 
T39n1789_001:0345b12	云何最勝子　問弟子之中誰為第一。	云 何 最 勝 子 問 弟 子 之 中 誰 為 第 一 
T39n1789_001:0345b13	何因得神通及自在三昧　問神通三昧修何	何 因 得 神 通 及 自 在 三 昧 問 神 通 三 昧 修 何 
T39n1789_001:0345b14	行而得。	行 而 得 
T39n1789_001:0345b15	云何三昧心最勝為我說　問三昧之心何者	云 何 三 昧 心 最 勝 為 我 說 問 三 昧 之 心 何 者 
T39n1789_001:0345b16	為勝。	為 勝 
T39n1789_001:0345b17	云何名為藏　問第八藏識。	云 何 名 為 藏 問 第 八 藏 識 
