X26n0562_001:0905b03	心經解	心 經 解 
X26n0562_001:0905b23	也。時者。能所雙忘。智理俱泯之時也。此般若。無形	也 時 者 能 所 雙 忘 智 理 俱 泯 之 時 也 此 般 若 無 形 
X26n0562_001:0905b24	無相。無方無所。無內無外。無邊無表。無容擬議。故	無 相 無 方 無 所 無 內 無 外 無 邊 無 表 無 容 擬 議 故 
X26n0562_001:0905c01	曰深。時字。追指曠劫以前而言。從此一得相應。則	曰 深 時 字 追 指 曠 劫 以 前 而 言 從 此 一 得 相 應 則 
X26n0562_001:0905c02	直至未來際。始終不離深般若矣。	直 至 未 來 際 始 終 不 離 深 般 若 矣 
X26n0562_001:0905c03	照見五蘊皆空。度一切苦厄。	照 見 五 蘊 皆 空 度 一 切 苦 厄 
X26n0562_001:0905c04	此釋前菩薩。契入甚深般若。何由致耶。以一念中。	此 釋 前 菩 薩 契 入 甚 深 般 若 何 由 致 耶 以 一 念 中 
X26n0562_001:0905c05	見之所及。即名色蘊。領納所見。即名受蘊。思惟不	見 之 所 及 即 名 色 蘊 領 納 所 見 即 名 受 蘊 思 惟 不 
X26n0562_001:0905c06	已。即名想蘊。遷變流動。即名行蘊。了別剖斷。即名	已 即 名 想 蘊 遷 變 流 動 即 名 行 蘊 了 別 剖 斷 即 名 
X26n0562_001:0905c07	識蘊。五者陰隱沉淪。纏縛人心。故謂之蘊。一切苦	識 蘊 五 者 陰 隱 沉 淪 纏 縛 人 心 故 謂 之 蘊 一 切 苦 
X26n0562_001:0905c08	厄。指眾生也。言能修般若之菩薩。自心清淨圓融。	厄 指 眾 生 也 言 能 修 般 若 之 菩 薩 自 心 清 淨 圓 融 
X26n0562_001:0905c09	略無一點罣礙。便能度世間眾生之有罣有礙。而	略 無 一 點 罣 礙 便 能 度 世 間 眾 生 之 有 罣 有 礙 而 
X26n0562_001:0905c10	有苦厄者。和盤邈出心字。而不顯明心字。所以為	有 苦 厄 者 和 盤 邈 出 心 字 而 不 顯 明 心 字 所 以 為 
X26n0562_001:0905c11	妙。	妙 
X26n0562_001:0905c12	一切五蘊。本來清淨。常住一心。原是如來藏之真	一 切 五 蘊 本 來 清 淨 常 住 一 心 原 是 如 來 藏 之 真 
X26n0562_001:0905c13	空。○守口。攝意。身莫犯。亦度世法也。出世三乘。亦	空 守 口 攝 意 身 莫 犯 亦 度 世 法 也 出 世 三 乘 亦 
X26n0562_001:0905c14	不過依五蘊。破除深淺建立。離五蘊。亦無三乘諸	不 過 依 五 蘊 破 除 深 淺 建 立 離 五 蘊 亦 無 三 乘 諸 
X26n0562_001:0905c15	法也。	法 也 
X26n0562_001:0905c16	凡夫無智。為五蘊所縛。二乘智淺。為斷空所縛。深	凡 夫 無 智 為 五 蘊 所 縛 二 乘 智 淺 為 斷 空 所 縛 深 
X26n0562_001:0905c17	般若。照見五蘊本來自空。即五蘊離五蘊不必屏	般 若 照 見 五 蘊 本 來 自 空 即 五 蘊 離 五 蘊 不 必 屏 
X26n0562_001:0905c18	除五蘊而後見其空也。這五蘊就是苦。五蘊既空。	除 五 蘊 而 後 見 其 空 也 這 五 蘊 就 是 苦 五 蘊 既 空 
X26n0562_001:0905c19	誰為苦者。	誰 為 苦 者 
X26n0562_001:0905c20	舍利子。色不異空。空不異色。色即是空。空即是色。	舍 利 子 色不異空 空不異色 色 即 是 空 空 即 是 色 
X26n0562_001:0905c21	梵語舍利。此云鶖。葢此尊者。其母目利。如鶖鳥之	梵 語 舍 利 此 云 鶖 葢 此 尊 者 其 母 目 利 如 鶖 鳥 之 
X26n0562_001:0905c22	目。時人借以贊稱也。尊者因母得名。故呼為舍利	目 時 人 借 以 贊 稱 也 尊 者 因 母 得 名 故 呼 為 舍 利 
X26n0562_001:0905c23	子。此尊者。聲聞中。智慧第一。以智慧堪入般若。故	子 此 尊 者 聲 聞 中 智慧第一 以 智 慧 堪 入 般 若 故 
X26n0562_001:0905c24	世尊特召告之。	世 尊 特 召 告 之 
X26n0562_001:0906a01	觀自在菩薩。照見五蘊皆空。這不是蘊自為蘊。空	觀 自 在 菩 薩 照 見 五 蘊 皆 空 這 不 是 蘊 自 為 蘊 空 
X26n0562_001:0906a02	自為空。乃一體而即是的色是法相之首。五蘊之	自 為 空 乃 一 體 而 即 是 的 色 是 法 相 之 首 五 蘊 之 
X26n0562_001:0906a03	初。故諸經欲釋空義。皆約色說。一則以色是堅固	初 故 諸 經 欲 釋 空 義 皆 約 色 說 一 則 以 色 是 堅 固 
X26n0562_001:0906a04	妄想。凝結而成。是眾生最易執著處。二則與虗空	妄 想 凝 結 而 成 是 眾 生 最 易 執 著 處 二 則 與 虗 空 
X26n0562_001:0906a05	體相。敵對角立。是最難和會處。若於此勘破。則其	體 相 敵 對 角 立 是 最 難 和 會 處 若 於 此 勘 破 則 其 
X26n0562_001:0906a06	餘四蘊。瓦解氷消。所謂一根既返源。六根成解脫	餘 四 蘊 瓦 解 氷 消 所 謂 一 根 既 返 源 六 根 成 解 脫 
X26n0562_001:0906a07	也。	也 
X26n0562_001:0906a08	小乘。認色為實。有異於空之虗無。遂見色能障空。	小 乘 認 色 為 實 有 異 於 空 之 虗 無 遂 見 色 能 障 空 
X26n0562_001:0906a09	而空為色礙。菩薩見一切色俱無自性。此無性之	而 空 為 色 礙 菩 薩 見 一 切 色 俱 無 自 性 此 無 性 之 
X26n0562_001:0906a10	色。即是無我空理。初不見有一絲毫。可以點染得	色 即 是 無 我 空 理 初 不 見 有 一 絲 毫 可 以 點 染 得 
X26n0562_001:0906a11	空。亦不見一絲毫。可以夾雜得空。色相與空相。初	空 亦 不 見 一 絲 毫 可 以 夾 雜 得 空 色 相 與 空 相 初 
X26n0562_001:0906a12	無差別。故云不異。	無 差 別 故 云 不 異 
X26n0562_001:0906a13	二乘與初心菩薩。見空為斷滅。異於色之染污。遂	二 乘 與 初 心 菩 薩 見 空 為 斷 滅 異 於 色 之 染 污 遂 
X26n0562_001:0906a14	致滅色證空。而色為空礙。菩薩見自性空為真空。	致 滅 色 證 空 而 色 為 空 礙 菩 薩 見 自 性 空 為 真 空 
X26n0562_001:0906a15	周遍法界。此無我空理。徧在一切色中。不見空外	周 遍 法 界 此 無 我 空 理 徧 在 一 切 色 中 不 見 空 外 
X26n0562_001:0906a16	有個染污的色相。亦不見空中有可斷滅的色相。	有 個 染 污 的 色 相 亦 不 見 空 中 有 可 斷 滅 的 色 相 
X26n0562_001:0906a17	空體與色體。了無變動。故云即是。	空 體 與 色 體 了 無 變 動 故 云 即 是 
X26n0562_001:0906a18	受想行識。亦復如是。	受 想 行 識 亦復如是 
X26n0562_001:0906a19	此以四蘊。例推前之色蘊。皆從緣生也。所言受者。	此 以 四 蘊 例 推 前 之 色 蘊 皆 從 緣 生 也 所 言 受 者 
X26n0562_001:0906a20	領納為性。領順違俱非之三境。皆無實體。若領納	領 納 為 性 領 順 違 俱 非 之 三 境 皆 無 實 體 若 領 納 
X26n0562_001:0906a21	于順。終有順性。遇違境時。理不應起。是知受即是	于 順 終 有 順 性 遇 違 境 時 理 不 應 起 是 知 受 即 是 
X26n0562_001:0906a22	空。所言想蘊。亦無實體。若想前境。前境有體。不復	空 所 言 想 蘊 亦 無 實 體 若 想 前 境 前 境 有 體 不 復 
X26n0562_001:0906a23	想後。既復想後。則知無體。非空而何。所言行蘊。念	想 後 既 復 想 後 則 知 無 體 非 空 而 何 所 言 行 蘊 念 
X26n0562_001:0906a24	念遷謝。無有寔性。若性在內。不應遷外。性若在外。	念 遷 謝 無 有 寔 性 若 性 在 內 不 應 遷 外 性 若 在 外 
X26n0562_001:0906b01	不應遷內。是知內外無得。非空而何。所言識蘊。識	不 應 遷 內 是 知 內 外 無 得 非 空 而 何 所 言 識 蘊 識 
X26n0562_001:0906b02	有其三。一曰阿賴耶。二曰末耶。三曰了境。此三識	有 其 三 一 曰 阿 賴 耶 二 曰 末 耶 三 曰 了 境 此 三 識 
X26n0562_001:0906b03	其性元虗。互起互滅。本無可得。非空而何。所謂五	其 性 元 虗 互 起 互 滅 本 無 可 得 非 空 而 何 所 謂 五 
X26n0562_001:0906b04	蘊皆空者如此。不離五蘊而空五蘊。非行深般若	蘊 皆 空 者 如 此 不 離 五 蘊 而 空 五 蘊 非 行 深 般 若 
X26n0562_001:0906b05	到彼岸之菩薩。能如是乎。	到 彼 岸 之 菩 薩 能 如 是 乎 
X26n0562_001:0906b06	舍利子。是諸法空相。不生不滅。不垢不淨。不增不減。	舍 利 子 是 諸 法 空 相 不生不滅 不垢不淨 不增不減 
X26n0562_001:0906b07	前推空蘊。緣起無體。此直會歸自心。顯此經。以心	前 推 空 蘊 緣 起 無 體 此 直 會 歸 自 心 顯 此 經 以 心 
X26n0562_001:0906b08	為主。而亦未涉心字。	為 主 而 亦 未 涉 心 字 
X26n0562_001:0906b09	上文已說明五蘊皆空。恐人不能領略。認作觀照	上 文 已 說 明 五 蘊 皆 空 恐 人 不 能 領 略 認 作 觀 照 
X26n0562_001:0906b10	功夫邊事。信不及實相本然。所以就諸法中。指出	功 夫 邊 事 信 不 及 實 相 本 然 所 以 就 諸 法 中 指 出 
X26n0562_001:0906b11	空相來。使知本來實相。	空 相 來 使 知 本 來 實 相 
X26n0562_001:0906b12	尋常看色空。是個相反的。那知便是真如自相。故	尋 常 看 色 空 是 個 相 反 的 那 知 便 是 真 如 自 相 故 
X26n0562_001:0906b13	復呼舍利弗而告之曰。五蘊即空。其實不獨五蘊。	復 呼 舍 利 弗 而 告 之 曰 五 蘊 即 空 其 實 不 獨 五 蘊 
X26n0562_001:0906b14	一切諸法。都是即空的。諸法從緣而生。緣生無性。	一切諸法 都 是 即 空 的 諸 法 從 緣 而 生 緣 生 無 性 
X26n0562_001:0906b15	其實法本無生。諸法緣離則滅。滅惟緣滅。其實法	其 實 法 本 無 生 諸 法 緣 離 則 滅 滅 惟 緣 滅 其 實 法 
X26n0562_001:0906b16	本無滅。是不生不滅的。雖在有漏色中。而體空不	本 無 滅 是 不生不滅 的 雖 在 有 漏 色 中 而 體 空 不 
X26n0562_001:0906b17	染。雖在無漏色內。而空體如故。是不垢不淨的。此	染 雖 在 無 漏 色 內 而 空 體 如 故 是 不垢不淨 的 此 
X26n0562_001:0906b18	諸法空相。從來修證不到。德滿不增。本來變壞不	諸 法 空 相 從 來 修 證 不 到 德 滿 不 增 本 來 變 壞 不 
X26n0562_001:0906b19	得。障盡非滅。是不增不減的。	得 障 盡 非 滅 是 不增不減 的 
X26n0562_001:0906b20	是故空中無色。無受想行識。無眼耳鼻舌身意。無色	是 故 空 中 無 色 無 受 想 行 識 無 眼 耳 鼻 舌 身 意 無 色 
X26n0562_001:0906b21	聲香味觸法。無眼界。乃至無意識界。	聲香味觸 法 無 眼 界 乃 至 無 意 識 界 
X26n0562_001:0906b22	此以五蘊。六根。六塵。十二處。而顯真空也。葢將萬	此 以 五 蘊 六 根 六 塵 十 二 處 而 顯 真 空 也 葢 將 萬 
X26n0562_001:0906b23	法緣起。結歸自心。而亦未顯言心。	法 緣 起 結 歸 自 心 而 亦 未 顯 言 心 
X26n0562_001:0906b24	眼根。由明暗二塵。相牽相引。除其妄見。還其本明。	眼 根 由 明 暗 二 塵 相 牽 相 引 除 其 妄 見 還 其 本 明 
X26n0562_001:0906c01	都無所有。耳根。由動靜二塵。相攝相援。除其妄聽。	都無所有 耳 根 由 動 靜 二 塵 相 攝 相 援 除 其 妄 聽 
X26n0562_001:0906c02	還其本聰。都無所有。鼻根。舌根。身根。俱由生滅諸	還 其 本 聰 都無所有 鼻 根 舌 根 身 根 俱 由 生 滅 諸 
X26n0562_001:0906c03	塵。自離自合。除其妄知。還其本分。都無所有。意根。	塵 自 離 自 合 除 其 妄 知 還 其 本 分 都無所有 意 根 
X26n0562_001:0906c04	由出入二塵。相起相伏。除其妄想。還其本覺。都無	由 出 入 二 塵 相 起 相 伏 除 其 妄 想 還 其 本 覺 都 無 
X26n0562_001:0906c05	所有。六塵。又從根與識。分別而有。所謂若從耳聽	所 有 六 塵 又 從 根 與 識 分 別 而 有 所 謂 若 從 耳 聽 
X26n0562_001:0906c06	終難會。眼裏聞聲始得知。身安意肯。觸處皆恬。根	終 難 會 眼 裏 聞 聲 始 得 知 身 安 意 肯 觸 處 皆 恬 根 
X26n0562_001:0906c07	塵識俱無。界從奚立。總為迷心重者。說五蘊。為迷	塵 識 俱 無 界 從 奚 立 總 為 迷 心 重 者 說 五 蘊 為 迷 
X26n0562_001:0906c08	色重者。說十二入。為色心俱迷者。說十八界。此三	色 重 者 說 十 二 入 為 色 心 俱 迷 者 說 十 八 界 此 三 
X26n0562_001:0906c09	科。有則為三有業障。無則為萬象俱空。三有者。三	科 有 則 為 三 有 業 障 無 則 為 萬 象 俱 空 三 有 者 三 
X26n0562_001:0906c10	世也。亦三界也。即欲界。色界。無色界。五蘊。只是色	世 也 亦 三 界 也 即 欲 界 色 界 無 色 界 五 蘊 只 是 色 
X26n0562_001:0906c11	心二字。眼耳鼻舌身。色聲香味觸。為色法。意為心	心 二 字 眼 耳 鼻 舌 身 色聲香味觸 為 色 法 意 為 心 
X26n0562_001:0906c12	法。佛性真空。有二種用。一自性用。一隨緣用。譬如	法 佛 性 真 空 有 二 種 用 一 自 性 用 一 隨 緣 用 譬 如 
X26n0562_001:0906c13	明鏡空懸。不問物之來否。鏡光具能現之功。曰自	明 鏡 空 懸 不 問 物 之 來 否 鏡 光 具 能 現 之 功 曰 自 
X26n0562_001:0906c14	性用。忽有物至。隨物現形。曰隨緣用。十二處。以內	性 用 忽 有 物 至 隨 物 現 形 曰 隨 緣 用 十 二 處 以 內 
X26n0562_001:0906c15	根外塵。各有處所。故六識分別六塵。執妄成差。各	根 外 塵 各 有 處 所 故 六 識 分 別 六 塵 執 妄 成 差 各 
X26n0562_001:0906c16	有界限。名十八界。雖三六並舉。重在六識。六識本	有 界 限 名 十 八 界 雖 三 六 並 舉 重 在 六 識 六 識 本 
X26n0562_001:0906c17	唯一識。	唯 一 識 
X26n0562_001:0906c18	無無明。亦無無明盡。乃至無老死。亦無老死盡。	無 無 明 亦 無 無 明 盡 乃 至 無 老 死 亦 無 老 死 盡 
X26n0562_001:0906c19	承上言。凡人有明有不明。皆眼界為之累耳。眼界	承 上 言 凡 人 有 明 有 不 明 皆 眼 界 為 之 累 耳 眼 界 
X26n0562_001:0906c20	既空。明到盡處。何無無明。不抵于盡。到此纔是眼	既 空 明 到 盡 處 何 無 無 明 不 抵 于 盡 到 此 纔 是 眼 
X26n0562_001:0906c21	之真空本相。生老病死。極是意中牽纏。不能忘情	之 真 空 本 相 生老病死 極 是 意 中 牽 纏 不 能 忘 情 
X26n0562_001:0906c22	處。意識界既空。生到盡處。何無老死不抵於盡。到	處 意 識 界 既 空 生 到 盡 處 何 無 老 死 不 抵 於 盡 到 
X26n0562_001:0906c23	此纔是意之真空本相。	此 纔 是 意 之 真 空 本 相 
X26n0562_001:0906c24	真空中。本來常覺。覺則不動。當其動時。原是堪然	真 空 中 本 來 常 覺 覺 則 不 動 當 其 動 時 原 是 堪 然 
X26n0562_001:0907a01	不動。純一大光明藏。何從而有無明。自行識以至	不 動 純 一 大 光 明 藏 何 從 而 有 無 明 自 行 識 以 至 
X26n0562_001:0907a02	老死。當處發生。隨處滅盡。緣無可緣。起原無起。本	老 死 當 處 發 生 隨 處 滅 盡 緣 無 可 緣 起 原 無 起 本 
X26n0562_001:0907a03	性空。六根之身且無。將甚的為老死。而謂有老死	性 空 六 根 之 身 且 無 將 甚 的 為 老 死 而 謂 有 老 死 
X26n0562_001:0907a04	盡耶。	盡 耶 
X26n0562_001:0907a05	無苦集滅道。	無 苦集滅道 
X26n0562_001:0907a06	苦集。屬世間因果也。滅道。出世間因果也。世間因	苦 集 屬 世 間 因 果 也 滅 道 出 世 間 因 果 也 世 間 因 
X26n0562_001:0907a07	果者。集是招感性。苦是逼迫性。以貪嗔癡。招感報	果 者 集 是 招 感 性 苦 是 逼 迫 性 以 貪 嗔 癡 招 感 報 
X26n0562_001:0907a08	業。而逼迫也。此逼迫性。不出八苦。唯聲聞人。知此	業 而 逼 迫 也 此 逼 迫 性 不 出 八 苦 唯 聲 聞 人 知 此 
X26n0562_001:0907a09	苦。便修戒定慧道。而入寂滅涅槃。	苦 便 修 戒 定 慧 道 而 入 寂 滅 涅 槃 
X26n0562_001:0907a10	十二緣。既是大光明藏。那有流轉還滅。種種差別	十 二 緣 既 是 大 光 明 藏 那 有 流 轉 還 滅 種種差別 
X26n0562_001:0907a11	次第耶。中下根。則須說苦方畏。說滅方忻。說集方	次 第 耶 中 下 根 則 須 說 苦 方 畏 說 滅 方 忻 說 集 方 
X26n0562_001:0907a12	厭。說道方修。故說四諦法。此方便中之方便。若是	厭 說 道 方 修 故 說 四 諦 法 此 方 便 中 之 方 便 若 是 
X26n0562_001:0907a13	真性空中。生死即法身。結業即解脫。煩惱即般若。	真 性 空 中 生 死 即 法 身 結 業 即 解 脫 煩 惱 即 般 若 
X26n0562_001:0907a14	有何苦集。可以厭離。亦無滅道。可以修證。四諦亦	有 何 苦 集 可 以 厭 離 亦 無 滅 道 可 以 修 證 四 諦 亦 
X26n0562_001:0907a15	是無有的。	是 無 有 的 
X26n0562_001:0907a16	四皆名諦者。以如來實語。永無變易故也。說此四	四 皆 名 諦 者 以 如 來 實 語 永 無 變 易 故 也 說 此 四 
X26n0562_001:0907a17	諦。而先果後因者。欲令眾生。知苦而斷集。樂滅而	諦 而 先 果 後 因 者 欲 令 眾 生 知 苦 而 斷 集 樂 滅 而 
X26n0562_001:0907a18	慕道。始可離苦得樂也。	慕 道 始 可 離 苦 得 樂 也 
X26n0562_001:0907a19	無智。亦無得。	無 智 亦 無 得 
X26n0562_001:0907a20	此世尊。直以無智無得。統結上意。始焉以蘊與空。	此 世 尊 直 以 無 智 無 得 統 結 上 意 始 焉 以 蘊 與 空 
X26n0562_001:0907a21	參觀著力。猶知有法有相。至於根塵識界都斷。而	參 觀 著 力 猶 知 有 法 有 相 至 於 根 塵 識 界 都 斷 而 
X26n0562_001:0907a22	苦集滅道盡消。渾身世兩忘。心境俱融。真空真理。	苦集滅道 盡 消 渾 身 世 兩 忘 心 境 俱 融 真 空 真 理 
X26n0562_001:0907a23	妙應無窮。又烏知夫般若而有智。與度一切苦厄	妙 應 無 窮 又 烏 知 夫 般 若 而 有 智 與 度 一 切 苦 厄 
X26n0562_001:0907a24	而有得哉。	而 有 得 哉 
X26n0562_001:0907b01	知空智。與所知空理。皆不可得。曰無智無得。	知 空 智 與 所 知 空 理 皆 不 可 得 曰 無 智 無 得 
X26n0562_001:0907b02	以無所得故。	以 無 所 得 故 
X26n0562_001:0907b03	承上起下。	承 上 起 下 
X26n0562_001:0907b04	菩提薩埵。依般若波羅蜜多故。心無罣礙。無罣礙故。	菩 提 薩 埵 依 般 若 波羅蜜多 故 心 無 罣 礙 無 罣 礙 故 
X26n0562_001:0907b05	無有恐怖。遠離顛倒夢想。究竟涅槃。	無 有 恐 怖 遠 離 顛 倒 夢 想 究竟涅槃 
X26n0562_001:0907b06	至此纔揭出一個心字。所謂結歸自心也。葢前廣	至 此 纔 揭 出 一 個 心 字 所 謂 結 歸 自 心 也 葢 前 廣 
X26n0562_001:0907b07	顯緣生。即是性空般若。一無所得。故曰以無所得	顯 緣 生 即 是 性 空 般 若 一 無 所 得 故 曰 以 無 所 得 
X26n0562_001:0907b08	故。菩薩依此性空般若。圓證自心。了無遺餘。故曰	故 菩 薩 依 此 性 空 般 若 圓 證 自 心 了 無 遺 餘 故 曰 
X26n0562_001:0907b09	依般若波羅蜜多故。心無罣礙。且此心。剎那不住。	依 般 若 波羅蜜多 故 心 無 罣 礙 且 此 心 剎 那 不 住 
X26n0562_001:0907b10	如大寶聚。纖毫不存。如閃電光。無容擬議。更無一	如 大 寶 聚 纖 毫 不 存 如 閃 電 光 無 容 擬 議 更 無 一 
X26n0562_001:0907b11	物可作障礙。心法如是之淨。何恐怖而不除。何顛	物 可 作 障 礙 心 法 如 是 之 淨 何 恐 怖 而 不 除 何 顛 
X26n0562_001:0907b12	倒之不遠。何夢想之可亂。何涅槃之不得。其自在	倒 之 不 遠 何 夢 想 之 可 亂 何 涅 槃 之 不 得 其 自 在 
X26n0562_001:0907b13	為何如。菩提薩埵者。能依之人也。般若波羅蜜多	為 何 如 菩 提 薩 埵 者 能 依 之 人 也 般 若 波羅蜜多 
X26n0562_001:0907b14	者。所依之法也。	者 所 依 之 法 也 
X26n0562_001:0907b15	菩薩於此無所得的真空。著個依字。色空生滅。淨	菩 薩 於 此 無 所 得 的 真 空 著 個 依 字 色 空 生 滅 淨 
X26n0562_001:0907b16	垢增減。蘊界處入。緣諦智得。種種都是罣礙人心	垢 增 減 蘊 界 處 入 緣 諦 智 得 種 種 都 是 罣 礙 人 心 
X26n0562_001:0907b17	的法相。惟般若照見真空。到無所得處。則蕩然一	的 法 相 惟 般 若 照 見 真 空 到 無 所 得 處 則 蕩 然 一 
X26n0562_001:0907b18	無罣礙。何等自在。觀至此。業性都亡。一切所作。無	無 罣 礙 何 等 自 在 觀 至 此 業 性 都 亡 一 切 所 作 無 
X26n0562_001:0907b19	有作者。依而無依。盡十方世界。在自己光明裏。安	有 作 者 依 而 無 依 盡 十方世界 在 自 己 光 明 裏 安 
X26n0562_001:0907b20	有一法與我為緣為對。正智既明。顛倒自息。無端	有 一 法 與 我 為 緣 為 對 正 智 既 明 顛 倒 自 息 無 端 
X26n0562_001:0907b21	夢想。消歸淨盡。所謂眼若不睡。諸夢自除。心若不	夢 想 消 歸 淨 盡 所 謂 眼 若 不 睡 諸 夢 自 除 心 若 不 
X26n0562_001:0907b22	異。萬法一如也。無恐怖。則出息不涉眾緣。無夢想。	異 萬 法 一 如 也 無 恐 怖 則 出 息 不 涉 眾 緣 無 夢 想 
X26n0562_001:0907b23	則入息不居陰界。生滅既滅。寂滅現前。無餘涅槃。	則 入 息 不 居 陰 界 生 滅 既 滅 寂 滅 現 前 無餘涅槃 
X26n0562_001:0907b24	方得究竟。	方 得 究 竟 
X26n0562_001:0907c01	三世諸佛。依般若波羅蜜多故。得阿耨多羅三藐三	三世諸佛 依 般 若 波羅蜜多 故 得 阿 耨 多 羅 三 藐 三 
X26n0562_001:0907c02	菩提。	菩 提 
X26n0562_001:0907c03	此顯諸佛。亦依般若性空。而圓證自心。葢阿耨多	此 顯 諸 佛 亦 依 般 若 性 空 而 圓 證 自 心 葢 阿 耨 多 
X26n0562_001:0907c04	羅。雖然果稱。亦實自心之別名也。萬法至心而極。	羅 雖 然 果 稱 亦 實 自 心 之 別 名 也 萬 法 至 心 而 極 
X26n0562_001:0907c05	名曰無上。更無邪正等差。名曰正等。無法不了。名	名 曰 無 上 更 無 邪 正 等 差 名 曰 正 等 無 法 不 了 名 
X26n0562_001:0907c06	曰正覺。實覺昏迷之識性。能照萬法之重衢。是知	曰 正 覺 實 覺 昏 迷 之 識 性 能 照 萬 法 之 重 衢 是 知 
X26n0562_001:0907c07	三界無別法。惟是一心造。不惟菩薩如是修證。三	三 界 無 別 法 惟 是 一 心 造 不 惟 菩 薩 如 是 修 證 三 
X26n0562_001:0907c08	世諸佛。莫不皆依般若得成正覺。	世 諸 佛 莫 不 皆 依 般 若 得 成 正 覺 
X26n0562_001:0907c09	故知般若波羅蜜多。是大神呪。是大明呪。是無上呪。	故 知 般 若 波羅蜜多 是 大 神 呪 是 大 明 呪 是 無 上 呪 
X26n0562_001:0907c10	是無等等呪。能除一切苦。真實不虗。	是 無 等 等 呪 能 除 一 切 苦 真 實 不 虗 
X26n0562_001:0907c11	故字。緊接上文。可見般若波羅蜜多。是諸佛菩薩	故 字 緊 接 上 文 可 見 般 若 波羅蜜多 是 諸佛菩薩 
X26n0562_001:0907c12	之托命。而六百卷之真諦也。其妙義豈易言哉。慧	之 托 命 而 六 百 卷 之 真 諦 也 其 妙 義 豈 易 言 哉 慧 
X26n0562_001:0907c13	性降魔。是大神呪。心燈破暗。是大明呪。莫可踰越。	性 降 魔 是 大 神 呪 心 燈 破 暗 是 大 明 呪 莫 可 踰 越 
X26n0562_001:0907c14	是無上呪。無可等倫。是無等等呪。其神通廣大。果	是 無 上 呪 無 可 等 倫 是 無 等 等 呪 其 神 通 廣 大 果 
X26n0562_001:0907c15	報無邊。此結般若功用廣大。除苦得樂。決定無疑。	報 無 邊 此 結 般 若 功 用 廣 大 除 苦 得 樂 決 定 無 疑 
X26n0562_001:0907c16	故說般若波羅蜜多呪。即說呪曰。揭諦。揭諦。波羅揭	故 說 般 若 波羅蜜多 呪 即 說 呪 曰 揭 諦 揭 諦 波 羅 揭 
X26n0562_001:0907c17	諦。波羅僧揭諦。菩提薩婆訶	諦 波 羅 僧 揭 諦 菩 提 薩 婆 訶 
X26n0562_001:0907c18	揭。去也。度也。重言揭諦者。自度而普度他也。波羅	揭 去 也 度 也 重 言 揭 諦 者 自 度 而 普 度 他 也 波 羅 
X26n0562_001:0907c19	揭諦者。慧筏也。波羅僧揭諦者。普願同登彼岸也。	揭 諦 者 慧 筏 也 波 羅 僧 揭 諦 者 普 願 同 登 彼 岸 也 
