T85n2771_001:0364b27	維摩經疏	維 摩 經 疏 
T85n2771_001:0365b27	來。故來相亦不可得。第二理無性者。緣和故	來 故 來 相 亦 不 可 得 第 二 理 無 性 者 緣 和 故 
T85n2771_001:0365b28	有。是以說來。無性故空故說不來。即是諸法	有 是 以 說 來 無 性 故 空 故 說 不 來 即 是 諸 法 
T85n2771_001:0365b29	不自來。亦不從他來。亦不共因來。亦不□	不 自 來 亦 不 從 他 來 亦 不 共 因 來 亦 不 
T85n2771_001:0365c01	□來。互相破遣義如上說。第三真俗二諦分	 來 互 相 破 遣 義 如 上 說 第 三 真 俗 二 諦 分 
T85n2771_001:0365c02	別。真諦凝□故說不來。俗諦隨化是以說來。	別 真 諦 凝 故 說 不 來 俗 諦 隨 化 是 以 說 來 
T85n2771_001:0365c03	然真諦不來者。俗諦來家之不來。俗諦來者	然 真 諦 不 來 者 俗 諦 來 家 之 不 來 俗 諦 來 者 
T85n2771_001:0365c04	真諦不來家之來。故知真俗二諦來與不來	真 諦 不 來 家 之 來 故 知 真 俗 二 諦 來 與 不 來 
T85n2771_001:0365c05	並不可得。第四真應兩身分別者。真身平等	並 不 可 得 第 四 真 應 兩 身 分 別 者 真 身 平 等 
T85n2771_001:0365c06	不可說來及以不來。應身隨物示有去來。此	不 可 說 來 及 以 不 來 應 身 隨 物 示 有 去 來 此 
T85n2771_001:0365c07	即述文殊訖。不見相而見者。述彼文殊入舍	即 述 文 殊 訖 不 見 相 而 見 者 述 彼 文 殊 入 舍 
T85n2771_001:0365c08	見空。文殊見我室中空者。斯乃不見也。見既	見 空 文 殊 見 我 室 中 空 者 斯 乃 不 見 也 見 既 
T85n2771_001:0365c09	是不見。見空亦是不空。空廣欲解釋。不異	是 不 見 見 空 亦 是 不 空 空 廣 欲 解 釋 不 異 
T85n2771_001:0365c10	前來不來中說也。上來維摩先言訖。	前 來 不 來 中 說 也 上 來 維 摩 先 言 訖 
T85n2771_001:0365c11	自下文殊後述。述中有二。先正述所以下釋。	自 下 文 殊 後 述 述 中 有 二 先 正 述 所 以 下 釋 
T85n2771_001:0365c12	正述之中前維摩但言來。今文殊更帖去。何	正 述 之 中 前 維 摩 但 言 來 今 文 殊 更 帖 去 何 
T85n2771_001:0365c13	故如此所望不同。維摩望文殊但見文殊來	故 如 此 所 望 不 同 維 摩 望 文 殊 但 見 文 殊 來 
T85n2771_001:0365c14	向我家。故唯說來。文殊望維摩即來向維摩	向 我 家 故 唯 說 來 文 殊 望 維 摩 即 來 向 維 摩 
T85n2771_001:0365c15	家。二即背彼菴羅去故兼說去也。文殊師利	家 二 即 背 彼 菴 羅 去 故 兼 說 去 也 文 殊 師 利 
T85n2771_001:0365c16	言如是居士。若來已更不來。若去已更不去。	言 如 是 居 士 若 來 已 更 不 來 若 去 已 更 不 去 
T85n2771_001:0365c17	述上來也。前者維摩先說不來後說來。今者	述 上 來 也 前 者 維 摩 先 說 不 來 後 說 來 今 者 
T85n2771_001:0365c18	文殊先說來後說不來。何意如此。一解言。此	文 殊 先 說 來 後 說 不 來 何 意 如 此 一 解 言 此 
T85n2771_001:0365c19	乃隨其語便即說何定所以。第二義者。維摩	乃 隨 其 語 便 即 說 何 定 所 以 第 二 義 者 維 摩 
T85n2771_001:0365c20	是俗文殊是道。維摩俗故顯即真以明俗。所	是 俗 文 殊 是 道 維 摩 俗 故 顯 即 真 以 明 俗 所 
T85n2771_001:0365c21	以先說不來後說來。文殊道故欲明攝俗以	以 先 說 不 來 後 說 來 文 殊 道 故 欲 明 攝 俗 以 
T85n2771_001:0365c22	歸真。所以先說來後說不來。又復維摩先言	歸 真 所 以 先 說 來 後 說 不 來 又 復 維 摩 先 言 
T85n2771_001:0365c23	不來後明來欲明不來來。文殊先言來後不	不 來 後 明 來 欲 明 不 來 來 文 殊 先 言 來 後 不 
T85n2771_001:0365c24	來欲明來不來。故知來與不來並皆無相。去	來 欲 明 來 不 來 故 知 來 與 不 來 並 皆 無 相 去 
T85n2771_001:0365c25	亦如是。此中釋者不異前四門也。自下釋。所	亦 如 是 此 中 釋 者 不 異 前 四 門 也 自 下 釋 所 
T85n2771_001:0365c26	以者何徵問。我見文殊背彼菴羅去來向維	以 者 何 徵 問 我 見 文 殊 背 彼 菴 羅 去 來 向 維 
T85n2771_001:0365c27	摩家。所以言來不來去不去□何。自下對問	摩 家 所 以 言 來 不 來 去 不 去 何 自 下 對 問 
T85n2771_001:0365c28	解釋。來者無所從來。去者無所至。前際空故	解 釋 來 者 無所從來 去 者 無 所 至 前 際 空 故 
T85n2771_001:0365c29	來無所從。後際空故去無所至。又菴羅薗空	來 無 所 從 後 際 空 故 去 無 所 至 又 菴 羅 薗 空 
T85n2771_001:0366a01	故來無所從。維摩室空故去無所至。此則述	故 來 無 所 從 維 摩 室 空 故 去 無 所 至 此 則 述 
T85n2771_001:0366a02	上來訖。所可見者更不可見。此述上見。夫論	上 來 訖 所 可 見 者 更 不 可 見 此 述 上 見 夫 論 
T85n2771_001:0366a03	見者。如眼見色要具五緣。一根不壞。二識不	見 者 如 眼 見 色 要 具 五 緣 一 根 不 壞 二 識 不 
T85n2771_001:0366a04	辭。三有可見之境。四無隔障。五起覺觀。具	辭 三 有 可 見 之 境 四 無 隔 障 五 起 覺 觀 具 
T85n2771_001:0366a05	此五緣方能見色。五緣闕一色不可見。今者	此 五 緣 方 能 見 色 五 緣 闕 一 色 不 可 見 今 者 
T85n2771_001:0366a06	嘖之。此見為在何緣中。若隨在一緣中。應不	嘖 之 此 見 為 在 何 緣 中 若 隨 在 一 緣 中 應 不 
T85n2771_001:0366a07	藉餘四。若五緣各非見和合方能見者。五盲	藉 餘 四 若 五 緣 各 非 見 和 合 方 能 見 者 五 盲 
T85n2771_001:0366a08	不見色和合應得見。若使五中各有見。豈可	不 見 色 和 合 應 得 見 若 使 五 中 各 有 見 豈 可 
T85n2771_001:0366a09	剎那得生五自性。故知見者更不見者更不	剎 那 得 生 五 自 性 故 知 見 者 更 不 見 者 更 不 
T85n2771_001:0366a10	可見。餘義如上。上來問答拂遣來去相訖。	可 見 餘 義 如 上 上 來 問 答 拂 遣 來 去 相 訖 
T85n2771_001:0366a11	自下第二問答辨法。先置前言。次□□疾。	自 下 第 二 問 答 辨 法 先 置 前 言 次 疾 
T85n2771_001:0366a12	且置是事者。置前言也。問曰。何須置前言。答	且 置 是 事 者 置 前 言 也 問 曰 何 須 置 前 言 答 
T85n2771_001:0366a13	曰。世尊遣來之欲問疾。未宣佛教乃事餘言。	曰 世 尊 遣 來 之 欲 問 疾 未 宣 佛 教 乃 事 餘 言 
T85n2771_001:0366a14	於禮有乖。是故須置。又復如此義者。言中	於 禮 有 乖 是 故 須 置 又 復 如 此 義 者 言 中 
T85n2771_001:0366a15	尋究終不可盡。準是證者方能了知。是故須	尋 究 終 不 可 盡 準 是 證 者 方 能 了 知 是 故 須 
T85n2771_001:0366a16	置。	置 
T85n2771_001:0366a17	自下正明問疾顯法。從此已下所辨法相莫	自 下 正 明 問 疾 顯 法 從 此 已 下 所 辨 法 相 莫 
T85n2771_001:0366a18	不皆用。現疾空室以為發起。論其空室興後	不 皆 用 現 疾 空 室 以 為 發 起 論 其 空 室 興 後 
T85n2771_001:0366a19	十事。語其現病空室以為發起。論其空室興	十 事 語 其 現 病 空 室 以 為 發 起 論 其 空 室 興 
T85n2771_001:0366a20	後十事。語其現病興後十問。現病十者即如	後 十 事 語 其 現 病 興 後 十 問 現 病 十 者 即 如 
T85n2771_001:0366a21	文辨。居士所疾寧可忍不一。療治有損不至	文 辨 居 士 所 疾 寧 可 忍 不 一 療 治 有 損 不 至 
T85n2771_001:0366a22	增乎二。何所因起三。其生久如四。當云何滅	增 乎 二 何 所 因 起 三 其 生 久 如 四 當 云 何 滅 
T85n2771_001:0366a23	五。所疾為何等相六。身心合耶七。四大之中	五 所 疾 為 何 等 相 六 身 心 合 耶 七 四 大 之 中 
T85n2771_001:0366a24	何大之病八。云何慰喻九。云何調伏十。此之	何 大 之 病 八 云 何 慰 喻 九 云 何 調 伏 十 此 之 
T85n2771_001:0366a25	十問並由現病故興。空室十者。如經文中。此	十 問 並 由 現 病 故 興 空 室 十 者 如 經 文 中 此 
T85n2771_001:0366a26	室何以空一。何以無侍二。身子念座三。室中	室 何 以 空 一 何 以 無 侍 二 身 子 念 座 三 室 中 
T85n2771_001:0366a27	天女四。八未曾有五。普現色身問諸眷屬六。	天 女 四 八 未 曾 有 五 普 現 色 身 問 諸 眷 屬 六 
T85n2771_001:0366a28	身子念食作九七。疏家但說有此七事。今更	身 子 念 食 作 九 七 疏 家 但 說 有 此 七 事 今 更 
T85n2771_001:0366a29	添三。維摩命眾取食八。化作菩薩九。化作	添 三 維 摩 命 眾 取 食 八 化 作 菩 薩 九 化 作 
T85n2771_001:0366b01	九百萬師子座十。此後三事亦由空室故興。	九 百 萬 師 子 座 十 此 後 三 事 亦 由 空 室 故 興 
T85n2771_001:0366b02	是故空室興此十事。	是 故 空 室 興 此 十 事 
T85n2771_001:0366b03	今就文中通問現病及以空室。有十二問。次	今 就 文 中 通 問 現 病 及 以 空 室 有 十 二 問 次 
T85n2771_001:0366b04	第一處前有二問。是世尊問。後有十問。是文	第 一 處 前 有 二 問 是 世 尊 問 後 有 十 問 是 文 
T85n2771_001:0366b05	殊自問。先明文殊通世尊二問。居士是疾寧	殊 自 問 先 明 文 殊 通 世 尊 二 問 居 士 是 疾 寧 
T85n2771_001:0366b06	可忍不此即第一問。問病輕重。療治有損不	可 忍 不 此 即 第 一 問 問 病 輕 重 療 治 有 損 不 
T85n2771_001:0366b07	至增乎此是第二問。病差劇世尊慇懃致問。	至 增 乎 此 是 第 二 問 病 差 劇 世 尊 慇 懃 致 問 
T85n2771_001:0366b08	無量者通其問人。自下文殊自問。問中有十。	無 量 者 通 其 問 人 自 下 文 殊 自 問 問 中 有 十 
T85n2771_001:0366b09	前有八問。問彼維摩當身□□後之二問問	前 有 八 問 問 彼 維 摩 當 身 後 之 二 問 問 
T85n2771_001:0366b10	彼維摩所化眾生。問曰。文殊來意但為問彼	彼 維 摩 所 化 眾 生 問 曰 文 殊 來 意 但 為 問 彼 
T85n2771_001:0366b11	維摩之病。何不直問維摩身事及問眾生。答	維 摩 之 病 何 不 直 問 維 摩 身 事 及 問 眾 生 答 
T85n2771_001:0366b12	曰。由維摩言從癡愛則我病生以眾生病故	曰 由 維 摩 言 從 癡 愛 則 我 病 生 以 眾 生 病 故 
T85n2771_001:0366b13	我現病。是故文殊問彼維摩為現病者實病	我 現 病 是 故 文 殊 問 彼 維 摩 為 現 病 者 實 病 
T85n2771_001:0366b14	眾生云何慰喻其心云何調伏其病。就前八	眾 生 云 何 慰 喻 其 心 云 何 調 伏 其 病 就 前 八 
T85n2771_001:0366b15	問之中分為三別。前有三問。明其大悲方便。	問 之 中 分 為 三 別 前 有 三 問 明 其 大 悲 方 便 
T85n2771_001:0366b16	中間兩問。明其大悲所依。悲依空成故問室	中 間 兩 問 明 其 大 悲 所 依 悲 依 空 成 故 問 室 
T85n2771_001:0366b17	空。悲依有就故問無侍。後之三問正明病應	空 悲 依 有 就 故 問 無 侍 後 之 三 問 正 明 病 應 
T85n2771_001:0366b18	非真。復次前之三問唯明方便。中間二問通	非 真 復 次 前 之 三 問 唯 明 方 便 中 間 二 問 通 
T85n2771_001:0366b19	明實惠及以方便。問其室空即是實惠。問其	明 實 惠 及 以 方 便 問 其 室 空 即 是 實 惠 問 其 
T85n2771_001:0366b20	無侍即是方便。後之三問唯明實惠也。	無 侍 即 是 方 便 後 之 三 問 唯 明 實 惠 也 
T85n2771_001:0366b21	就前三問之中先明文殊問。次明維摩答。問	就 前 三 問 之 中 先 明 文 殊 問 次 明 維 摩 答 問 
T85n2771_001:0366b22	言居士是疾何所因起。第一問其病因。其生	言 居 士 是 疾 何 所 因 起 第 一 問 其 病 因 其 生 
T85n2771_001:0366b23	久如。第二問問病久近。當云何滅。第三問問	久 如 第 二 問 問 病 久 近 當 云 何 滅 第 三 問 問 
T85n2771_001:0366b24	療病法。自下明維摩答。答中先答後兩問。又	療 病 法 自 下 明 維 摩 答 答 中 先 答 後 兩 問 又 
T85n2771_001:0366b25	言已下却答第一問。就前兩中問文別有四。	言 已 下 却 答 第 一 問 就 前 兩 中 問 文 別 有 四 
T85n2771_001:0366b26	第一正答。第二所以已下釋答。第三譬如已	第 一 正 答 第 二 所 以 已 下 釋 答 第 三 譬 如 已 
T85n2771_001:0366b27	下喻況。第四菩薩如是已下合喻。就前正答	下 喻 況 第 四 菩 薩 如 是 已 下 合 喻 就 前 正 答 
T85n2771_001:0366b28	之中。先答其生如。若一切眾生已下答當云	之 中 先 答 其 生 如 若 一 切 眾 生 已 下 答 當 云 
T85n2771_001:0366b29	何滅。維摩詰言從癡有愛則我病生者。癡者	何 滅 維 摩 詰 言 從 癡 有 愛 則 我 病 生 者 癡 者 
T85n2771_001:0366c01	界內見道所斷煩惱發業惑也。愛者界內修	界 內 見道所斷 煩 惱 發 業 惑 也 愛 者 界 內 修 
T85n2771_001:0366c02	道所斷煩惱潤生惑也。何故唯舉此二者。此	道 所 斷 煩 惱 潤 生 惑 也 何 故 唯 舉 此 二 者 此 
T85n2771_001:0366c03	發業潤生二種煩攝彼界內一切惑盡。是故	發 業 潤 生 二 種 煩 攝 彼 界 內 一 切 惑 盡 是 故 
T85n2771_001:0366c04	舉之。維摩詰言一切眾生從有癡愛煩惱已	舉 之 維 摩 詰 言 一 切 眾 生 從 有 癡 愛 煩 惱 已 
T85n2771_001:0366c05	來我之大悲常為現病說法教化。故言從癡	來 我 之 大 悲 常 為 現 病 說 法 教 化 故 言 從 癡 
T85n2771_001:0366c06	有愛則我病生。問曰。眾生癡愛幾時來有。答	有 愛 則 我 病 生 問 曰 眾 生 癡 愛 幾 時 來 有 答 
T85n2771_001:0366c07	曰。無始來有。若如此者。一切眾生癡愛煩惱	曰 無 始 來 有 若 如 此 者 一 切 眾 生 癡 愛 煩 惱 
T85n2771_001:0366c08	有來無始。維摩大悲初地方得。何故乃言從	有 來 無 始 維 摩 大 悲 初 地 方 得 何 故 乃 言 從 
T85n2771_001:0366c09	有癡愛煩惱已來維摩大悲常為現病。答曰。	有 癡 愛 煩 惱 已 來 維 摩 大 悲 常 為 現 病 答 曰 
T85n2771_001:0366c10	此據分分眾生為論。如有眾生由癡愛故造	此 據 分 分 眾 生 為 論 如 有 眾 生 由 癡 愛 故 造 
T85n2771_001:0366c11	諸惡業招感生死。維摩大悲即隨逐之為其	諸 惡 業 招 感 生 死 維 摩 大 悲 即 隨 逐 之 為 其 
T85n2771_001:0366c12	現病說法教化隨分說。故言從有愛則我病	現 病 說 法 教 化 隨 分 說 故 言 從 有 愛 則 我 病 
T85n2771_001:0366c13	生。然眾生病有三種。一者病因。癡愛煩惱。	生 然 眾 生 病 有 三 種 一 者 病 因 癡 愛 煩 惱 
T85n2771_001:0366c14	二者病果。五陰報身。三者病事。頭痛腹痛。	二 者 病 果 五 陰 報 身 三 者 病 事 頭 痛 腹 痛 
T85n2771_001:0366c15	菩薩病亦有三。一者病因。所謂大悲。二者	菩 薩 病 亦 有 三 一 者 病 因 所 謂 大 悲 二 者 
T85n2771_001:0366c16	病果。六道化身。三者病事。亦有頭痛腹痛。	病 果 六 道 化 身 三 者 病 事 亦 有 頭 痛 腹 痛 
T85n2771_001:0366c17	今言從癡有愛者。由彼眾生有此病因能招	今 言 從 癡 有 愛 者 由 彼 眾 生 有 此 病 因 能 招 
T85n2771_001:0366c18	病果及以病事。則我病生者。菩薩大悲為現	病 果 及 以 病 事 則 我 病 生 者 菩薩大悲 為 現 
T85n2771_001:0366c19	病果及以病事而教化之。以一切眾生病是	病 果 及 以 病 事 而 教 化 之 以 一 切 眾 生 病 是 
T85n2771_001:0366c20	故我病者。義如上說。上來答上第二問其生	故 我 病 者 義 如 上 說 上 來 答 上 第 二 問 其 生 
T85n2771_001:0366c21	久如訖。自下答第三問當云何滅。若一切眾	久 如 訖 自 下 答 第 三 問 當 云 何 滅 若 一 切 眾 
T85n2771_001:0366c22	生病滅則我病者正答也。若一切眾生斷却	生 病 滅 則 我 病 者 正 答 也 若 一 切 眾 生 斷 却 
T85n2771_001:0366c23	癡病因不起病果病事。維摩大悲不復現病。	癡 病 因 不 起 病 果 病 事 維 摩 大 悲 不 復 現 病 
T85n2771_001:0366c24	故言則我病滅。問曰。眾生之病何時可滅。答	故 言 則 我 病 滅 問 曰 眾 生 之 病 何 時 可 滅 答 
