T45n1852_001:0001a03	三論玄義	三 論 玄 義 
T45n1852_001:0001c29	四術既是外言。震旦三玄應為內教。答釋僧	四 術 既 是 外 言 震 旦 三 玄 應 為 內 教 答 釋 僧 
T45n1852_001:0002a01	肇云。每讀老子莊周之書。因而歎曰。美即	肇 云 每 讀 老 子 莊 周 之 書 因 而 歎 曰 美 即 
T45n1852_001:0002a02	美矣。然棲神冥累之方猶未盡也。後見淨	美 矣 然 棲 神 冥 累 之 方 猶 未 盡 也 後 見 淨 
T45n1852_001:0002a03	名經。欣然頂戴謂親友曰。吾知所歸極矣。	名 經 欣 然 頂 戴 謂 親 友 曰 吾 知 所 歸 極 矣 
T45n1852_001:0002a04	遂棄俗出家。羅什昔聞三玄與九部同極。	遂 棄 俗 出 家 羅 什 昔 聞 三 玄 與 九 部 同 極 
T45n1852_001:0002a05	伯陽與牟尼抗行。乃喟然歎曰。老莊入玄	伯 陽 與 牟 尼 抗 行 乃 喟 然 歎 曰 老 莊 入 玄 
T45n1852_001:0002a06	故。應易惑耳目。凡夫之智。孟浪之言。言之	故 應 易 惑 耳 目 凡 夫 之 智 孟 浪 之 言 言 之 
T45n1852_001:0002a07	似極。而未始詣也。推之似盡。而未誰至	似 極 而 未 始 詣 也 推 之 似 盡 而 未 誰 至 
T45n1852_001:0002a08	也。略陳六義明其優劣。外但辨乎一形。內	也 略 陳 六 義 明 其 優 劣 外 但 辨 乎 一 形 內 
T45n1852_001:0002a09	則朗鑒三世。外則五情未達。內則說六通	則 朗 鑒 三 世 外 則 五 情 未 達 內 則 說 六 通 
T45n1852_001:0002a10	窮微。外未即萬有而為太虛。內說不壞	窮 微 外 未 即 萬 有 而 為 太 虛 內 說 不 壞 
T45n1852_001:0002a11	假名而演實相。外未能即無為而遊萬有。	假 名 而 演 實 相 外 未 能 即 無 為 而 遊 萬 有 
T45n1852_001:0002a12	內說不動真際建立諸法。外存得失之門。	內 說 不 動 真 際 建 立 諸 法 外 存 得 失 之 門 
T45n1852_001:0002a13	內冥二際於絕句之理。外未境智兩泯。內則	內 冥 二 際 於 絕 句 之 理 外 未 境 智 兩 泯 內 則 
T45n1852_001:0002a14	緣觀俱寂。以此詳之。短羽之於鵬翼。坎井	緣 觀 俱 寂 以 此 詳 之 短 羽 之 於 鵬 翼 坎 井 
T45n1852_001:0002a15	之於天池。未足喻其懸矣。秦人疑其極。吾	之 於 天 池 未 足 喻 其 懸 矣 秦 人 疑 其 極 吾 
T45n1852_001:0002a16	復何言哉。問伯陽之道道曰太虛。牟尼之道	復 何 言 哉 問 伯 陽 之 道 道 曰 太 虛 牟 尼 之 道 
T45n1852_001:0002a17	道稱無相。理源既一則萬流並同。什肇抑揚	道 稱 無 相 理 源 既 一 則 萬 流 並 同 什 肇 抑 揚 
T45n1852_001:0002a18	乃諂於佛(此王弼舊疏以無為為道體)。答伯陽之道道指虛	乃 諂 於 佛 此 王 弼 舊 疏 以 無 為 為 道 體 答 伯 陽 之 道 道 指 虛 
T45n1852_001:0002a19	無。牟尼之道道超四句。淺深既懸。體何由	無 牟 尼 之 道 道 超 四 句 淺 深 既 懸 體 何 由 
T45n1852_001:0002a20	一。蓋是子佞於道。非余諂佛。問牟尼之道	一 蓋 是 子 佞 於 道 非 余 諂 佛 問 牟 尼 之 道 
T45n1852_001:0002a21	道為真諦。而體絕百非。伯陽之道道曰杳	道 為 真 諦 而 體 絕 百 非 伯 陽 之 道 道 曰 杳 
T45n1852_001:0002a22	冥。理超四句。彌驗體一。奚有淺深(此梁武帝新義。用	冥 理 超 四 句 彌 驗 體 一 奚 有 淺 深 此 梁 武 帝 新 義 用 
T45n1852_001:0002a23	佛經以真空為道體)。答九流統攝。七略該含。唯辨有	佛 經 以 真 空 為 道 體 答 九 流 統 攝 七 略 該 含 唯 辨 有 
T45n1852_001:0002a24	無。未明絕四。若言老教亦辨雙非。蓋以砂	無 未 明 絕 四 若 言 老 教 亦 辨 雙 非 蓋 以 砂 
T45n1852_001:0002a25	糅金。同盜牛之論(周弘政張機並斥老有雙非之義也)。	糅 金 同 盜 牛 之 論 周 弘 政 張 機 並 斥 老 有 雙 非 之 義 也 
T45n1852_001:0002a26	覈人第二。問佛名大覺。老曰天尊。人同上	覈 人 第 二 問 佛 名 大 覺 老 曰 天 尊 人 同 上 
T45n1852_001:0002a27	聖。法俱妙極。苟欲存異。將非杜不二之玄	聖 法 俱 妙 極 苟 欲 存 異 將 非 杜 不 二 之 玄 
T45n1852_001:0002a28	門傷得一之淵府哉(蓋是道士用三洞靈寶等經立義)。答悉達	門 傷 得 一 之 淵 府 哉 蓋 是 道 士 用 三 洞 靈 寶 等 經 立 義 答 悉 達 
T45n1852_001:0002a29	處宮方紹金輪聖帝。能仁出俗遂為三界	處 宮 方 紹 金 輪 聖 帝 能 仁 出 俗 遂 為 三 界 
T45n1852_001:0002b01	法王。老為周朝之柱史。清虛是九流之派。子	法 王 老 為 周 朝 之 柱 史 清 虛 是 九 流 之 派 子 
T45n1852_001:0002b02	若欲令人一法同。何異堆阜共安明等高。	若 欲 令 人 一 法 同 何 異 堆 阜 共 安 明 等 高 
T45n1852_001:0002b03	螢燭與日月齊照。問同人者之五情。異人	螢 燭 與 日 月 齊 照 問 同 人 者 之 五 情 異 人 
T45n1852_001:0002b04	者之神明。迹為柱史。本實天尊。據實而談。	者 之 神 明 迹 為 柱 史 本 實 天 尊 據 實 而 談 
T45n1852_001:0002b05	齊之一貫。答漢書亦顯品類。以伯陽為賢。	齊 之 一 貫 答 漢 書 亦 顯 品 類 以 伯 陽 為 賢 
T45n1852_001:0002b06	何晏王弼稱老未及聖。設令孔是儒童。老	何 晏 王 弼 稱 老 未 及 聖 設 令 孔 是 儒 童 老 
T45n1852_001:0002b07	為迦葉。雖同聖迹。聖迹不同。若圓應十方	為 迦 葉 雖 同 聖 迹 聖 迹 不 同 若 圓 應 十 方 
T45n1852_001:0002b08	八相成佛。人稱大覺。法名出世。小利即生	八 相 成 佛 人 稱 大 覺 法 名 出 世 小 利 即 生 
T45n1852_001:0002b09	人天福善。大益即有三乘賢聖。如斯之流	人 天 福 善 大 益 即 有 三 乘 賢 聖 如 斯 之 流 
T45n1852_001:0002b10	為上迹也。至如孔稱素王說有名儒。老	為 上 迹 也 至 如 孔 稱 素 王 說 有 名 儒 老 
T45n1852_001:0002b11	居柱史談無曰道。辨益即無人得聖。明	居 柱 史 談 無 曰 道 辨 益 即 無 人 得 聖 明 
T45n1852_001:0002b12	利即止在世間。如此之類為次迹矣。	利 即 止 在 世 間 如 此 之 類 為 次 迹 矣 
T45n1852_001:0002b13	折毘曇第二。一立宗。二破斥。有薩衛門人。	折 毘 曇 第 二 一 立 宗 二 破 斥 有 薩 衛 門 人 
T45n1852_001:0002b14	序其宗曰。阿毘曇者名無比法。無漏慧根	序 其 宗 曰 阿 毘 曇 者 名 無 比 法 無 漏 慧 根 
T45n1852_001:0002b15	會理隔凡。其功冠絕。故云無比。超四執之	會 理 隔 凡 其 功 冠 絕 故 云 無 比 超 四 執 之 
T45n1852_001:0002b16	外。越三界之表。群聖之所讚歎。六道之所	外 越 三 界 之 表 群 聖 之 所 讚 歎 六 道 之 所 
T45n1852_001:0002b17	歸崇。敢有抗言。當屈之以理。問夫欲立	歸 崇 敢 有 抗 言 當 屈 之 以 理 問 夫 欲 立 
T45n1852_001:0002b18	理。先須序宗源。未知毘曇凡有幾種。答部	理 先 須 序 宗 源 未 知 毘 曇 凡 有 幾 種 答 部 
T45n1852_001:0002b19	類甚多。略明其六。一者如來自說法相毘曇。	類 甚 多 略 明 其 六 一 者 如 來 自 說 法 相 毘 曇 
T45n1852_001:0002b20	盛行天竺不傳震旦。二者隣極亞聖名舍	盛 行 天 竺 不 傳 震 旦 二 者 隣 極 亞 聖 名 舍 
T45n1852_001:0002b21	利弗。解佛語故造阿毘曇。凡二十卷。傳來	利 弗 解 佛 語 故 造 阿 毘 曇 凡 二 十 卷 傳 來 
T45n1852_001:0002b22	此土。三者佛滅度後三百餘年。有三明六通	此 土 三 者 佛 滅 度 後 三 百 餘 年 有 三 明 六 通 
T45n1852_001:0002b23	大阿羅漢。姓迦旃延。造八犍度。凡二十卷。	大阿羅漢 姓 迦 旃 延 造 八 犍 度 凡 二 十 卷 
T45n1852_001:0002b24	傳來此土。所言八者。一雜。二使。三智。四業。	傳 來 此 土 所 言 八 者 一 雜 二 使 三 智 四 業 
T45n1852_001:0002b25	五大。六根。七定。八見。言犍度者。翻之	五 大 六 根 七 定 八 見 言 犍 度 者 翻 之 
T45n1852_001:0002b26	為聚。以其八義各有部類。因之為聚也。	為 聚 以 其 八 義 各 有 部 類 因 之 為 聚 也 
T45n1852_001:0002b27	四者六百年間有五百羅漢。是旃延弟子。於	四 者 六 百 年 間 有 五 百 羅 漢 是 旃 延 弟 子 於 
T45n1852_001:0002b28	北天竺共造毘婆沙釋八犍度。毘婆沙者。	北 天 竺 共 造 毘 婆 沙 釋 八 犍 度 毘 婆 沙 者 
T45n1852_001:0002b29	此云廣解。於西涼州譯出。凡有百卷。值兵	此 云 廣 解 於 西 涼 州 譯 出 凡 有 百 卷 值 兵 
T45n1852_001:0002c01	火燒之。唯六十卷現在。止解三犍度也。五	火 燒 之 唯 六 十 卷 現 在 止 解 三 犍 度 也 五 
T45n1852_001:0002c02	者七百餘年有法勝羅漢。嫌婆沙太博。略	者 七 百 餘 年 有 法 勝 羅 漢 嫌 婆 沙 太 博 略 
T45n1852_001:0002c03	撰要義作二百五十偈。名阿毘曇心。凡有	撰 要 義 作 二百五十 偈 名 阿 毘 曇 心 凡 有 
T45n1852_001:0002c04	四卷。亦傳此土。六者千年之間有達磨多羅。	四 卷 亦 傳 此 土 六 者 千 年 之 間 有 達 磨 多 羅 
T45n1852_001:0002c05	以婆沙太博四卷極略。更撰三百五十偈。	以 婆 沙 太 博 四 卷 極 略 更 撰 三 百 五 十 偈 
T45n1852_001:0002c06	足四卷合六百偈。名為雜心也。其間復有	足 四 卷 合 六 百 偈 名 為 雜 心 也 其 間 復 有 
T45n1852_001:0002c07	六分毘曇。釋論云。目連和須密及餘論師共	六 分 毘 曇 釋 論 云 目 連 和 須 密 及 餘 論 師 共 
T45n1852_001:0002c08	造。並不傳此土。唯眾事分毘曇是六內之	造 並 不 傳 此 土 唯 眾 事 分 毘 曇 是 六 內 之 
T45n1852_001:0002c09	一。此土有之。復有甘露味毘曇二卷。未詳	一 此 土 有 之 復 有 甘 露 味 毘 曇 二 卷 未 詳 
T45n1852_001:0002c10	作者。並傳此土。毘曇雖部類不同。大宗明	作 者 並 傳 此 土 毘 曇 雖 部 類 不 同 大 宗 明 
T45n1852_001:0002c11	見有得道也。	見 有 得 道 也 
T45n1852_001:0002c12	破斥第二凡有十門。一乖至道。二扶眾見。	破 斥 第 二 凡 有 十 門 一 乖 至 道 二 扶 眾 見 
T45n1852_001:0002c13	三違大教。四守小筌。五迷自宗。六無本信。	三 違 大 教 四 守 小 筌 五 迷 自 宗 六 無 本 信 
T45n1852_001:0002c14	七有偏執。八非學本。九弊真言。十喪圓	七 有 偏 執 八 非 學 本 九 弊 真 言 十 喪 圓 
T45n1852_001:0002c15	旨。蓋無比之名有餘。所明之理不足。非但	旨 蓋 無 比 之 名 有 餘 所 明 之 理 不 足 非 但 
T45n1852_001:0002c16	遠乖方等。亦近迷三藏。略舉十門顯其虛	遠 乖 方 等 亦 近 迷 三 藏 略 舉 十 門 顯 其 虛 
T45n1852_001:0002c17	實。乖至道者。夫道之為狀也。體絕百非。理	實 乖 至 道 者 夫 道 之 為 狀 也 體 絕 百 非 理 
T45n1852_001:0002c18	超四句。言之者失其真。知之者反其愚。有	超 四 句 言 之 者 失 其 真 知 之 者 反 其 愚 有 
T45n1852_001:0002c19	之者乖其性。無之者傷其體。故七辨輟音。	之 者 乖 其 性 無 之 者 傷 其 體 故 七 辨 輟 音 
T45n1852_001:0002c20	五眼冥照。釋迦掩室。淨名杜口。豈可以有	五 眼 冥 照 釋 迦 掩 室 淨 名 杜 口 豈 可 以 有 
T45n1852_001:0002c21	而為道哉。第二扶眾見。然道實非有。遂言	而 為 道 哉 第 二 扶 眾 見 然 道 實 非 有 遂 言 
T45n1852_001:0002c22	見有得道。乃是見有。非見道也。故淨名	見 有 得 道 乃 是 見 有 非 見 道 也 故 淨 名 
T45n1852_001:0002c23	云。法名無染。若染於法。乃是染著。非求法	云 法 名 無 染 若 染 於 法 乃 是 染 著 非 求 法 
T45n1852_001:0002c24	也。又夫見有者名為有見。非見道矣。故法	也 又 夫 見 有 者 名 為 有 見 非 見 道 矣 故 法 
T45n1852_001:0002c25	華云。入邪見稠林若有若無等。依止此諸	華 云 入 邪 見 稠 林 若有若無 等 依 止 此 諸 
T45n1852_001:0002c26	見具足六十二。問若執有無。此有何失。答	見 具 足 六 十 二 問 若 執 有 無 此 有 何 失 答 
T45n1852_001:0002c27	正觀論云。淺智見諸法若有若無等。是則不	正 觀 論 云 淺 智 見 諸 法 若有若無 等 是 則 不 
T45n1852_001:0002c28	能見滅見安隱法。於彼有大過矣。第三	能 見 滅 見 安 隱 法 於 彼 有 大 過 矣 第 三 
T45n1852_001:0002c29	違大教。思益經云。於未來世有惡比丘。說	違 大 教 思 益 經 云 於未來世 有 惡 比 丘 說 
T45n1852_001:0003a01	有相法得成聖道。佛垂此勅懸誡將來。既	有 相 法 得 成 聖 道 佛 垂 此 勅 懸 誡 將 來 既 
T45n1852_001:0003a02	曰惡人。理是邪說。違背大教。宜須破之。	曰 惡 人 理 是 邪 說 違 背 大 教 宜 須 破 之 
T45n1852_001:0003a03	第四守小筌。夫為未識源者。示之以流。	第 四 守 小 筌 夫 為 未 識 源 者 示 之 以 流 
T45n1852_001:0003a04	令尋流以得源。未見月者。示之以指。令	令 尋 流 以 得 源 未 見 月 者 示 之 以 指 令 
T45n1852_001:0003a05	因指以得月。窮流則唯是一源。亡指則但	因 指 以 得 月 窮 流 則 唯 是 一 源 亡 指 則 但 
T45n1852_001:0003a06	是一月。蓋是如來說小之意也。而毘曇之徒	是 一 月 蓋 是 如 來 說 小 之 意 也 而 毘 曇 之 徒 
T45n1852_001:0003a07	執固小宗不趣大道。守筌喪實。故造論	執 固 小 宗 不 趣 大 道 守 筌 喪 實 故 造 論 
T45n1852_001:0003a08	破之。第五迷自宗。諸聖弟子有所述作。本	破 之 第 五 迷 自 宗 諸 聖 弟 子 有 所 述 作 本 
T45n1852_001:0003a09	為通經。而阿含之文親說無相。故善吉觀	為 通 經 而 阿 含 之 文 親 說 無 相 故 善 吉 觀 
T45n1852_001:0003a10	法空而悟道。身子入空定而佛歎。阿毘曇	法 空 而 悟 道 身 子 入 空 定 而 佛 歎 阿 毘 曇 
T45n1852_001:0003a11	人但明見有。故自迷本宗。第六無本信。文	人 但 明 見 有 故 自 迷 本 宗 第 六 無 本 信 文 
T45n1852_001:0003a12	殊問經云。十八及本二皆從大乘出。無是	殊 問 經 云 十 八 及 本 二 皆 從 大 乘 出 無 是 
T45n1852_001:0003a13	亦無非。我說未來起。十八者。謂十八部異	亦 無 非 我 說 未 來 起 十 八 者 謂 十 八 部 異 
T45n1852_001:0003a14	執也。及本二者。根本唯二部。一大眾部。二上	執 也 及 本 二 者 根 本 唯 二 部 一 大 眾 部 二 上 
T45n1852_001:0003a15	座部。而阿毘曇是十八部內薩婆多部。從大	座 部 而 阿 毘 曇 是 十 八 部 內 薩 婆 多 部 從 大 
T45n1852_001:0003a16	乘出。即大為小本。而執小之流聞大乘不	乘 出 即 大 為 小 本 而 執 小 之 流 聞 大 乘 不 
T45n1852_001:0003a17	信。是以破之。問何以知執小之人不信大	信 是 以 破 之 問 何 以 知 執 小 之 人 不 信 大 
