X88n1641_001:0022b06	見聞錄	見 聞 錄 
X88n1641_001:0023b04	天啟初年。吳江桑葉大貴。有居民養蠶數筐。因計成	天 啟 初 年 吳 江 桑 葉 大 貴 有 居 民 養 蠶 數 筐 因 計 成 
X88n1641_001:0023b05	繭所得之利。不如賣葉利多。遂埋蠶載葉至湖州鬻	繭 所 得 之 利 不 如 賣 葉 利 多 遂 埋 蠶 載 葉 至 湖 州 鬻 
X88n1641_001:0023b06	之。舟過太湖。有大鯉躍入舟中。民取而藏之頭艙。既	之 舟 過 太 湖 有 大 鯉 躍 入 舟 中 民 取 而 藏 之 頭 艙 既 
X88n1641_001:0023b07	至葉店。主人見葉上有血。詰問其故。答曰此魚血也。	至 葉 店 主 人 見 葉 上 有 血 詰 問 其 故 答 曰 此 魚 血 也 
X88n1641_001:0023b08	魚尚在頭艙。試取看之。則儼然一人頭矣。共相驚駭。	魚 尚 在 頭 艙 試 取 看 之 則 儼 然 一 人 頭 矣 共 相 驚 駭 
X88n1641_001:0023b09	更迫問之。答曰。實無他故。我自埋蠶賣葉。欲多取利	更 迫 問 之 答 曰 實 無 他 故 我 自 埋 蠶 賣 葉 欲 多 取 利 
X88n1641_001:0023b10	耳。因同眾人至埋蠶處。掘地視之。復得一死屍。與頭	耳 因 同 眾 人 至 埋 蠶 處 掘 地 視 之 復 得 一 死 屍 與 頭 
X88n1641_001:0023b11	相合。廼鳴於官。竟擬死罪。嗟乎。業報為蠶。不免煑繭	相 合 廼 鳴 於 官 竟 擬 死 罪 嗟 乎 業 報 為 蠶 不 免 煑 繭 
X88n1641_001:0023b12	之苦。亦甚慘矣。況為微利而活埋之。并使不得盡一	之 苦 亦 甚 慘 矣 況 為 微 利 而 活 埋 之 并 使 不 得 盡 一 
X88n1641_001:0023b13	期之生。人心安在。宜其報應之甚速也。	期 之 生 人 心 安 在 宜 其 報 應 之 甚 速 也 
X88n1641_001:0023b14	余母舅金赤城守贑州。因入覲歸家。夏感瘧症。隱几	余 母 舅 金 赤 城 守 贑 州 因 入 覲 歸 家 夏 感 瘧 症 隱 几 
X88n1641_001:0023b15	假寐。夢公署役人環列其左。出家緇流環列其右。復	假 寐 夢 公 署 役 人 環 列 其 左 出 家 緇 流 環 列 其 右 復 
X88n1641_001:0023b16	一老人語曰。若本從出家中來。今能回頭仍向此道	一 老 人 語 曰 若 本 從 出 家 中 來 今 能 回 頭 仍 向 此 道 
X88n1641_001:0023b17	乎。能則尚可送汝老母。不能則老母反送汝矣。舅因	乎 能 則 尚 可 送 汝 老 母 不 能 則 老 母 反 送 汝 矣 舅 因 
X88n1641_001:0023b18	思。吾母已年八十有四。豈當反令其送我耶。即應聲	思 吾 母 已 年 八 十 有 四 豈 當 反 令 其 送 我 耶 即 應 聲 
X88n1641_001:0023b19	曰。我當回頭。聲未訖。役人遂散。乃隨緇眾梵唄而行。	曰 我 當 回 頭 聲 未 訖 役 人 遂 散 乃 隨 緇 眾 梵 唄 而 行 
X88n1641_001:0023b20	忽動孤寂之感。悲悔而醒。異時在陽山墓廬。為余言	忽 動 孤 寂 之 感 悲 悔 而 醒 異 時 在 陽 山 墓 廬 為 余 言 
X88n1641_001:0023b21	之。但以宦情甚熱。仍蒞贑州。未幾陞兖東兵道。歸家	之 但 以 宦 情 甚 熱 仍 蒞 贑 州 未 幾 陞 兖 東 兵 道 歸 家 
X88n1641_001:0023b22	病三四日而卒。竟使八旬餘之老母淚眼欲枯。嗚呼。	病 三 四 日 而 卒 竟 使 八 旬 餘 之 老 母 淚 眼 欲 枯 嗚 呼 
X88n1641_001:0023b23	蠅頭蝸角。迷人心志如此。世出世法。兩皆負墮。亦可	蠅 頭 蝸 角 迷 人 心 志 如 此 世 出 世 法 兩 皆 負 墮 亦 可 
X88n1641_001:0023b24	為青雲路上人作永鑒也。	為 青 雲 路 上 人 作 永 鑒 也 
X88n1641_001:0023c01	姑蘇南濠街有一人。常作陰隷。每數日輒往直班。鄰	姑 蘇 南 濠 街 有 一 人 常 作 陰 隷 每 數 日 輒 往 直 班 鄰 
X88n1641_001:0023c02	有一人語曰。能帶我至陰間遊戲乎。隷曰。可。汝但靜	有 一 人 語 曰 能 帶 我 至 陰 間 遊 戲 乎 隷 曰 可 汝 但 靜 
X88n1641_001:0023c03	臥室中。勅家人勿開戶。我當帶汝去。仍送汝回。隣人	臥 室 中 勅 家 人 勿 開 戶 我 當 帶 汝 去 仍 送 汝 回 隣 人 
X88n1641_001:0023c04	如命臥室中。隷即攝其魂同至府城隍廟前。囑令住	如 命 臥 室 中 隷 即 攝 其 魂 同 至 府 城 隍 廟 前 囑 令 住 
X88n1641_001:0023c05	石牌樓下相待。自乃持文書入中庭去。鄰人待久生	石 牌 樓 下 相 待 自 乃 持 文 書 入 中 庭 去 鄰 人 待 久 生 
X88n1641_001:0023c06	厭倦心。見一大車從西過東。載四娼女并二男子。中	厭 倦 心 見 一 大 車 從 西 過 東 載 四 娼 女 并 二 男 子 中 
X88n1641_001:0023c07	一娼女原有舊情。以手招之遂登車同去。隷出廟覓	一 娼 女 原 有 舊 情 以 手 招 之 遂 登 車 同 去 隷 出 廟 覓 
X88n1641_001:0023c08	鄰人不見。轉問旁人。知登車去。乃回陽急至傅門外	鄰 人 不 見 轉 問 旁 人 知 登 車 去 乃 回 陽 急 至 傅 門 外 
X88n1641_001:0023c09	一居民。家見有新產小猪七頭。其一即鄰人也。以手	一 居 民 家 見 有 新 產 小 猪 七 頭 其 一 即 鄰 人 也 以 手 
X88n1641_001:0023c10	擲之。猪斃而魂忽不見。次於田岸見大赤蛇仰臥。即	擲 之 猪 斃 而 魂 忽 不 見 次 於 田 岸 見 大 赤 蛇 仰 臥 即 
X88n1641_001:0023c11	知鄰人所變。乃打殺之。揑其魂歸房。擲醒因問曰。汝	知 鄰 人 所 變 乃 打 殺 之 揑 其 魂 歸 房 擲 醒 因 問 曰 汝 
X88n1641_001:0023c12	同我遊陰府頗適意乎。答曰。汝初置我於廟前石牌	同 我 遊 陰 府 頗 適 意 乎 答 曰 汝 初 置 我 於 廟 前 石 牌 
X88n1641_001:0023c13	樓下。入廟經久不出。我方厭倦。幸舊識娼女邀我出	樓 下 入 廟 經 久 不 出 我 方 厭 倦 幸 舊 識 娼 女 邀 我 出 
X88n1641_001:0023c14	傅門外。同至一舍相與飲食歡樂。忽有人奪我食。打	傅 門 外 同 至 一 舍 相 與 飲 食 歡 樂 忽 有 人 奪 我 食 打 
X88n1641_001:0023c15	我項。我怒而出。外困而偃息。復聞人呼曰。赤蛇赤蛇。	我 項 我 怒 而 出 外 困 而 偃 息 復 聞 人 呼 曰 赤 蛇 赤 蛇 
X88n1641_001:0023c16	以手攫我。我便驚醒。有何樂乎。隸笑語其故。黃洪江	以 手 攫 我 我 便 驚 醒 有 何 樂 乎 隸 笑 語 其 故 黃 洪 江 
X88n1641_001:0023c17	親聞其事。乃發心學道(洪江亦予在家時善友)。	親 聞 其 事 乃 發 心 學 道 洪 江 亦 予 在 家 時 善 友 
X88n1641_001:0023c18	泉州莊奇顯。癸丑科榜眼。年少嗜酒。忽一日飲於承	泉 州 莊 奇 顯 癸 丑 科 榜 眼 年 少 嗜 酒 忽 一 日 飲 於 承 
X88n1641_001:0023c19	天寺。醉後往藏經所。見有法師講大佛頂經。遂大怒	天 寺 醉 後 往 藏 經 所 見 有 法 師 講 大 佛 頂 經 遂 大 怒 
X88n1641_001:0023c20	取案上經擲地。以脚踏之。又仆韋馱像於地。後數月	取 案 上 經 擲 地 以 脚 踏 之 又 仆 韋 馱 像 於 地 後 數 月 
X88n1641_001:0023c21	以脚踢一廝。誤中柱上。脚指破裂成異瘡。漸腫至身。	以 脚 踢 一 廝 誤 中 柱 上 脚 指 破 裂 成 異 瘡 漸 腫 至 身 
X88n1641_001:0023c22	楚痛異常。見韋駄詰責而死。	楚 痛 異 常 見 韋 駄 詰 責 而 死 
X88n1641_001:0023c23	泉州張翰冲。丙辰進士也。任金壇知縣。將行取一日	泉 州 張 翰 冲 丙 辰 進 士 也 任 金 壇 知 縣 將 行 取 一 日 
X88n1641_001:0023c24	坐堂。忽有緇流徑詣公堂語曰。我與汝前生道友。見	坐 堂 忽 有 緇 流 徑 詣 公 堂 語 曰 我 與 汝 前 生 道 友 見 
X88n1641_001:0024a01	汝有難。特來救汝。汝可罷官同入山學道。不唯免難	汝 有 難 特 來 救 汝 汝 可 罷 官 同 入 山 學 道 不 唯 免 難 
X88n1641_001:0024a02	且出生死。張以為誕。緇遂歷指其少時事數種。皆妻	且 出 生 死 張 以 為 誕 緇 遂 歷 指 其 少 時 事 數 種 皆 妻 
X88n1641_001:0024a03	拏所不知者。張乃駭諤。欲如其言。竟為妻子所阻。緇	拏 所 不 知 者 張 乃 駭 諤 欲 如 其 言 竟 為 妻 子 所 阻 緇 
X88n1641_001:0024a04	尋別去。張赴京考選。甫至都門。脚忽生異癰。著靴不	尋 別 去 張 赴 京 考 選 甫 至 都 門 脚 忽 生 異 癰 著 靴 不 
X88n1641_001:0024a05	能脫。割靴調理。不愈而死。	能 脫 割 靴 調 理 不 愈 而 死 
X88n1641_001:0024a06	晉江許兆馨。戊午舉人。往福寧州謁本房座師。偶過	晉 江 許 兆 馨 戊 午 舉 人 往 福 寧 州 謁 本 房 座 師 偶 過 
X88n1641_001:0024a07	尼菴。悅一少尼。遂以官勢脅之強汙焉。次日忽自嚙	尼 菴 悅 一 少 尼 遂 以 官 勢 脅 之 強 汙 焉 次 日 忽 自 嚙 
X88n1641_001:0024a08	舌兩斷而死。	舌 兩 斷 而 死 
X88n1641_001:0024a09	晉江王某。以文名諸生間。擕酒飲承天寺。入藏經堂。	晉 江 王 某 以 文 名 諸 生 間 擕 酒 飲 承 天 寺 入 藏 經 堂 
X88n1641_001:0024a10	見少年沙彌某端坐閱經。強令飲酒。沙彌不從。復摟	見 少 年 沙 彌 某 端 坐 閱 經 強 令 飲 酒 沙 彌 不 從 復 摟 
X88n1641_001:0024a11	抱調弄之。歸家三日。忽掌口自罵。家人不知所謂。半	抱 調 弄 之 歸 家 三 日 忽 掌 口 自 罵 家 人 不 知 所 謂 半 
X88n1641_001:0024a12	日嚙舌而死。	日 嚙 舌 而 死 
X88n1641_001:0024a13	孝豐縣監生楊龔。所買鳥銃八把。養獵狗數隻。隨處	孝 豐 縣 監 生 楊 龔 所 買 鳥 銃 八 把 養 獵 狗 數 隻 隨 處 
X88n1641_001:0024a14	損傷物命。一日欲往庄取稻。合家人俱得夢云。十年	損 傷 物 命 一 日 欲 往 庄 取 稻 合 家 人 俱 得 夢 云 十 年 
X88n1641_001:0024a15	造業。惡報至矣。楊不信。復帶銃到庄。見野雞。以銃打	造 業 惡 報 至 矣 楊 不 信 復 帶 銃 到 庄 見 野 雞 以 銃 打 
X88n1641_001:0024a16	之。誤中己頭。破腦而死。	之 誤 中 己 頭 破 腦 而 死 
X88n1641_001:0024a17	泉州徐氏女。名三姐。年十六未嫁。忽得病。父母為覓	泉 州 徐 氏 女 名 三 姐 年 十 六 未 嫁 忽 得 病 父 母 為 覓 
X88n1641_001:0024a18	醫。女垂淚告父母曰。吾必死。無用醫矣。蓋吾前生為	醫 女 垂 淚 告 父 母 曰 吾 必 死 無 用 醫 矣 蓋 吾 前 生 為 
X88n1641_001:0024a19	某家婦。夫寵一婢。吾以妬故謀殺之。今在冥官處訴。	某 家 婦 夫 寵 一 婢 吾 以 妬 故 謀 殺 之 今 在 冥 官 處 訴 
X88n1641_001:0024a20	我當往償之。不得逭也。翼日遂死。	我 當 往 償 之 不 得 逭 也 翼 日 遂 死 
X88n1641_001:0024a21	泉州徐氏女。名悌姐。嫁後生數子。產中多食鷄。所殺	泉 州 徐 氏 女 名 悌 姐 嫁 後 生 數 子 產 中 多 食 鷄 所 殺 
X88n1641_001:0024a22	鷄頗眾。後仍於產時得病。見羣鷄索命而死。	鷄 頗 眾 後 仍 於 產 時 得 病 見 羣 鷄 索 命 而 死 
X88n1641_001:0024a23	晉江姚某。其表兄徐肖浯。因年荒捐百金賑饑。托姚	晉 江 姚 某 其 表 兄 徐 肖 浯 因 年 荒 捐 百 金 賑 饑 托 姚 
X88n1641_001:0024a24	經理其事。姚匿十數金肥己。後數日得病。自罵曰。徐	經 理 其 事 姚 匿 十 數 金 肥 己 後 數 日 得 病 自 罵 曰 徐 
X88n1641_001:0024b01	托汝賑饑。安得侵匿。致餓死者不少。今取汝償命。遂	托 汝 賑 饑 安 得 侵 匿 致 餓 死 者 不 少 今 取 汝 償 命 遂 
X88n1641_001:0024b02	斃。後二子亦皆餓死。	斃 後 二 子 亦 皆 餓 死 
X88n1641_001:0024b03	泉州徐氏女。名細嬰。年七歲。得疳積病埀死。其父雨	泉 州 徐 氏 女 名 細 嬰 年 七 歲 得 疳 積 病 埀 死 其 父 雨 
X88n1641_001:0024b04	海為鳴磬高聲念佛送之。息已絕。忽再甦。因為延尼	海 為 鳴 磬 高 聲 念 佛 送 之 息 已 絕 忽 再 甦 因 為 延 尼 
X88n1641_001:0024b05	僧誦金剛般若經百二十卷。女安隱若無病者。舉家	僧 誦 金 剛 般 若 經 百 二 十 卷 女 安 隱 若 無 病 者 舉 家 
X88n1641_001:0024b06	皆謂病愈。女獨向父曰。兒暫假數日。聽經完去耳。經	皆 謂 病 愈 女 獨 向 父 曰 兒 暫 假 數 日 聽 經 完 去 耳 經 
X88n1641_001:0024b07	完乃逝。	完 乃 逝 
X88n1641_001:0024b08	泉州有賴姓者。家巨富。喜害生命。家中開一小池。以	泉 州 有 賴 姓 者 家 巨 富 喜 害 生 命 家 中 開 一 小 池 以 
X88n1641_001:0024b09	鐵網羅其上下。養鰍鱔魚鼈之類。用供不時飲食。後	鐵 網 羅 其 上 下 養 鰍 鱔 魚 鼈 之 類 用 供 不 時 飲 食 後 
X88n1641_001:0024b10	得病將死。諸子羅列牀前。賴忽不見。徧索不得。乃見	得 病 將 死 諸 子 羅 列 牀 前 賴 忽 不 見 徧 索 不 得 乃 見 
X88n1641_001:0024b11	在小池鐵網中。則已死矣。	在 小 池 鐵 網 中 則 已 死 矣 
X88n1641_001:0024b12	晉江有一無賴。忘其名。恒以殺狗為業。在興泉道街	晉 江 有 一 無 賴 忘 其 名 恒 以 殺 狗 為 業 在 興 泉 道 街 
X88n1641_001:0024b13	門邊溝側屠狗無數。忽一日自伏溝側作狗鳴。數日	門 邊 溝 側 屠 狗 無 數 忽 一 日 自 伏 溝 側 作 狗 鳴 數 日 
X88n1641_001:0024b14	乃斃。	乃 斃 
X88n1641_001:0024b15	神宗時有一南道名王萬祚。管下巡江。居官最清廉。	神 宗 時 有 一 南 道 名 王 萬 祚 管 下 巡 江 居 官 最 清 廉 
X88n1641_001:0024b16	而性頗嚴急。捶楚之下傷命良多。忽得病。衙中冤鬼	而 性 頗 嚴 急 捶 楚 之 下 傷 命 良 多 忽 得 病 衙 中 冤 鬼 
X88n1641_001:0024b17	數百前後呼叫。同僚諸御史往問之。無不見聞者。五	數 百 前 後 呼 叫 同 僚 諸 御 史 往 問 之 無 不 見 聞 者 五 
X88n1641_001:0024b18	皷。王竟不起。	皷 王 竟 不 起 
X88n1641_001:0024b19	南安縣山間有居民。夜起見鄰舍有一人驅一人入	南 安 縣 山 間 有 居 民 夜 起 見 鄰 舍 有 一 人 驅 一 人 入 
X88n1641_001:0024b20	其門。其人不肯入。且曰。吾僅欠渠銀三分。何得便入。	其 門 其 人 不 肯 入 且 曰 吾 僅 欠 渠 銀 三 分 何 得 便 入 
X88n1641_001:0024b21	驅者以杖打之。遂入。居民頗以為怪。明早詢之。則鄰	驅 者 以 杖 打 之 遂 入 居 民 頗 以 為 怪 明 早 詢 之 則 鄰 
