X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0043b01	是日晚參。僧問。法不孤起。仗境方生。學人上來。請師	是 日 晚 參 僧 問 法 不 孤 起 仗 境 方 生 學 人 上 來 請 師 
X73n1447_001:0043b02	垂示　師云。金剛草鞋。進云。恁麼則退後三步　師	垂 示 師 云 金 剛 草 鞋 進 云 恁 麼 則 退 後 三 步 師 
X73n1447_001:0043b03	云。酌然千萬里。問。人天交集。四眾臻臨。如何是和尚	云 酌 然 千 萬 里 問 人 天 交 集 四 眾 臻 臨 如 何 是 和 尚 
X73n1447_001:0043b04	為人底句　師云。淥水泛清波。學云點　師云過。學	為 人 底 句 師 云 淥 水 泛 清 波 學 云 點 師 云 過 學 
X73n1447_001:0043b05	人撫掌　師云退。問。一喝分賓主。照用一時行。此意	人 撫 掌 師 云 退 問 一 喝 分 賓 主 照 用 一 時 行 此 意 
X73n1447_001:0043b06	如何　師云。乾柴濕筊。學人便喝　師云。紅焰炎天。	如 何 師 云 乾 柴 濕 筊 學 人 便 喝 師 云 紅 焰 炎 天 
X73n1447_001:0043b07	復云。衲僧相見。不涉言詮。爭奈俗士在筵。又須開一	復 云 衲 僧 相 見 不 涉 言 詮 爭 奈 俗 士 在 筵 又 須 開 一 
X73n1447_001:0043b08	線道。然雖如是。且作麼生辨明。直饒見得諦當分明。	線 道 然 雖 如 是 且 作 麼 生 辨 明 直 饒 見 得 諦 當 分 明 
X73n1447_001:0043b09	在俗士分上即得。衲僧分上天地懸殊。大眾。作麼生	在 俗 士 分 上 即 得 衲 僧 分 上 天 地 懸 殊 大 眾 作 麼 生 
X73n1447_001:0043b10	是衲僧分上事。試道看。莫道錢是足陌。莫道地肥茄	是 衲 僧 分 上 事 試 道 看 莫 道 錢 是 足 陌 莫 道 地 肥 茄 
X73n1447_001:0043b11	子嬾。若作此見解。與俗何殊。若不然者。且作麼生是	子 嬾 若 作 此 見 解 與 俗 何 殊 若 不 然 者 且 作 麼 生 是 
X73n1447_001:0043b12	衲僧分上事。久參先德。不在言之。後學初機。直須子	衲 僧 分 上 事 久 參 先 德 不 在 言 之 後 學 初 機 直 須 子 
X73n1447_001:0043b13	細。不勞久立。珍重。	細 不 勞 久 立 珍 重 
X73n1447_001:0043b14	檀越請晚參。僧問。青青翠竹。盡是真如。鬱鬱黃花。無	檀 越 請 晚 參 僧 問 青 青 翠 竹 盡 是 真 如 鬱 鬱 黃 花 無 
X73n1447_001:0043b15	非般若。如何是般若　師云。黃泉無老少　進云。春	非 般 若 如 何 是 般 若 師 云 黃 泉 無 老 少 進 云 春 
X73n1447_001:0043b16	來草自青　師云。聲名不朽。進云。若然者。碧眼胡僧	來 草 自 青 師 云 聲 名 不 朽 進 云 若 然 者 碧 眼 胡 僧 
X73n1447_001:0043b17	也皺眉　師云。退後三步　學云苦　師云吽吽	也 皺 眉 師 云 退 後 三 步 學 云 苦 師 云 吽 吽 
X73n1447_001:0043b18	　問。人天普集。佇聽雷音。學人上來。請師垂下　師云。	 問 人 天 普 集 佇 聽 雷 音 學 人 上 來 請 師 垂 下 師 云 
X73n1447_001:0043b19	光陰似箭　進云。一言纔剖人皆委。香煙起處盡沾	光 陰 似 箭 進 云 一 言 纔 剖 人 皆 委 香 煙 起 處 盡 沾 
X73n1447_001:0043b20	恩　師云。古人有言。學人便喝　師云瞎　學云。放	恩 師 云 古 人 有 言 學 人 便 喝 師 云 瞎 學 云 放 
X73n1447_001:0043b21	過一著　師云。人天大眾前。放你三十棒　師乃云。	過 一 著 師 云 人 天 大 眾 前 放 你 三 十 棒 師 乃 云 
X73n1447_001:0043b22	自從行脚以來。未曾似今歲被人逼令住院開堂作	自 從 行 脚 以 來 未 曾 似 今 歲 被 人 逼 令 住 院 開 堂 作 
X73n1447_001:0043b23	長老。此是衲僧第一不著便處。從今以去。被人喚作	長 老 此 是 衲 僧 第 一 不 著 便 處 從 今 以 去 被 人 喚 作 
X73n1447_001:0043b24	長老。或喚作善知識。大似被他劈面唾相似。又被俗	長 老 或 喚 作 善 知 識 大 似 被 他 劈 面 唾 相 似 又 被 俗 
X73n1447_001:0043c01	士請令晚參。不免為佗說佛說法。或則毀佛謗法。可	士 請 令 晚 參 不 免 為 佗 說 佛 說 法 或 則 毀 佛 謗 法 可 
X73n1447_001:0043c02	謂剜肉作瘡。笑破衲僧口。諸多俗士。也須抖擻精神。	謂 剜 肉 作 瘡 笑 破 衲 僧 口 諸 多 俗 士 也 須 抖 擻 精 神 
X73n1447_001:0043c03	莫受塗糊指註。日晚。各請歸家。珍重。	莫 受 塗 糊 指 註 日 晚 各 請 歸 家 珍 重 
X73n1447_001:0043c04	上堂。僧問。一人探頭。一人下喝。此二人相去幾何	上 堂 僧 問 一 人 探 頭 一 人 下 喝 此 二 人 相 去 幾 何 
X73n1447_001:0043c05	　師云。三更半夜　進云。龍歸滄海。鳳反丹山　師云。	 師 云 三 更 半 夜 進 云 龍 歸 滄 海 鳳 反 丹 山 師 云 
X73n1447_001:0043c06	北斗下燒香　問。臨濟竪拂。學人起拳。是同是別	北 斗 下 燒 香 問 臨 濟 竪 拂 學 人 起 拳 是 同 是 別 
X73n1447_001:0043c07	　師云。訛言亂眾　進云。恁麼則據令而行也　師云。	 師 云 訛 言 亂 眾 進 云 恁 麼 則 據 令 而 行 也 師 云 
X73n1447_001:0043c08	天涯海角　學人便喝　師云吽吽　問。曲調已成。	天 涯 海 角 學 人 便 喝 師 云 吽 吽 問 曲 調 已 成 
X73n1447_001:0043c09	還許學人斷和也無　師云。官不容針　進云。果是	還 許 學 人 斷 和 也 無 師 云 官 不 容 針 進 云 果 是 
X73n1447_001:0043c10	伯牙才　師云。自家看取　學人撫掌三下　師云。	伯 牙 才 師 云 自 家 看 取 學 人 撫 掌 三 下 師 云 
X73n1447_001:0043c11	三十棒　師云。衲僧面前。難為啟口。假饒發一言。直	三 十 棒 師 云 衲 僧 面 前 難 為 啟 口 假 饒 發 一 言 直 
X73n1447_001:0043c12	得天雨四花。地搖六震。須彌倒卓。海水沸騰。猶是野	得 天 雨 四 花 地 搖 六 震 須 彌 倒 卓 海 水 沸 騰 猶 是 野 
X73n1447_001:0043c13	狐精業。然雖如是。也須見到始得。若也於此不明。便	狐 精 業 然 雖 如 是 也 須 見 到 始 得 若 也 於 此 不 明 便 
X73n1447_001:0043c14	見物類千差。自佗能所。愛憎嗔喜。生死遷流。所以古	見 物 類 千 差 自 佗 能 所 愛 憎 嗔 喜 生 死 遷 流 所 以 古 
X73n1447_001:0043c15	德云。努力今生須了却。莫教永劫受餘殃。	德 云 努 力 今 生 須 了 却 莫 教 永 劫 受 餘 殃 
X73n1447_001:0043c16	至初九日開堂。范公自作請疏云。	至 初 九 日 開 堂 范 公 自 作 請 疏 云 
X73n1447_001:0043c17	伏以。無心為宗。非一毫之可立。有言即病。徒萬法之	伏 以 無 心 為 宗 非 一 毫 之 可 立 有 言 即 病 徒 萬 法 之 
X73n1447_001:0043c18	強名。然則病非醫而曷求。宗因師而乃證。	強 名 然 則 病 非 醫 而 曷 求 宗 因 師 而 乃 證 
X73n1447_001:0043c19	古師和尚。淨行無垢。孤風絕攀。法皷一鳴。有聞皆聳。	古 師 和 尚 淨 行 無 垢 孤 風 絕 攀 法 皷 一 鳴 有 聞 皆 聳 
X73n1447_001:0043c20	神珠四照。無隱不彰。群願斯歸。正乘可示。大眾瞻仰。	神 珠 四 照 無 隱 不 彰 群 願 斯 歸 正 乘 可 示 大 眾 瞻 仰 
X73n1447_001:0043c21	即同如來。謹疏。	即 同 如 來 謹 疏 
X73n1447_001:0043c22	龍圖閣待制知饒州軍州事范仲淹疏。	龍 圖 閣 待 制 知 饒 州 軍 州 事 范 仲 淹 疏 
X73n1447_001:0043c23	讀疏畢。師告眾云。山僧蒙郡侯堅命。此日可謂脫珍	讀 疏 畢 師 告 眾 云 山 僧 蒙 郡 侯 堅 命 此 日 可 謂 脫 珍 
X73n1447_001:0043c24	御服。著弊垢衣。大似國家兵器。不得已而用之。便陞	御 服 著 弊 垢 衣 大 似 國 家 兵 器 不 得 已 而 用 之 便 陞 
X73n1447_001:0044a01	座。拈香云。且道。這一瓣香。為甚麼人。山僧初行脚時。	座 拈 香 云 且 道 這 一 瓣 香 為 甚 麼 人 山 僧 初 行 脚 時 
X73n1447_001:0044a02	先參見大光敬玄和尚。這和尚。坐在荒艸裏。後參見	先 參 見 大 光 敬 玄 和 尚 這 和 尚 坐 在 荒 艸 裏 後 參 見 
X73n1447_001:0044a03	南岳福嚴寺良雅和尚。這和尚。又只是箇脫灑底衲	南 岳 福 嚴 寺 良 雅 和 尚 這 和 尚 又 只 是 箇 脫 灑 底 衲 
X73n1447_001:0044a04	僧。這一瓣香。不為大光和尚。亦不為福嚴和尚。大眾	僧 這 一 瓣 香 不 為 大 光 和 尚 亦 不 為 福 嚴 和 尚 大 眾 
X73n1447_001:0044a05	記取。唯有韶州雲門山匡真大師。稍較[此/且]子。這一瓣	記 取 唯 有 韶 州 雲 門 山 匡 真 大 師 稍 較 [此且] 子 這 一 瓣 
X73n1447_001:0044a06	香。且為雲門山匡真大師燒也。於是趺坐。維那白槌	香 且 為 雲 門 山 匡 真 大 師 燒 也 於 是 趺 坐 維 那 白 槌 
X73n1447_001:0044a07	云。法筵龍象眾。當觀第一義　師云。大眾。維那如是	云 法 筵 龍 象 眾 當 觀 第 一 義 師 云 大 眾 維 那 如 是 
X73n1447_001:0044a08	咨白。大眾還甘也無。何以。若據大眾分上。假饒諸佛	咨 白 大 眾 還 甘 也 無 何 以 若 據 大 眾 分 上 假 饒 諸 佛 
X73n1447_001:0044a09	出世。猶是自謾。祖師西來。誑惑庸小。自餘之輩不在	出 世 猶 是 自 謾 祖 師 西 來 誑 惑 庸 小 自 餘 之 輩 不 在 
X73n1447_001:0044a10	形言。若也談玄說要。大似含血噀人。問答往還。如同	形 言 若 也 談 玄 說 要 大 似 含 血 噀 人 問 答 往 還 如 同 
X73n1447_001:0044a11	魔嬈。禪德。大眾面前。作麼生下口。然雖如是。事無一	魔 嬈 禪 德 大 眾 面 前 作 麼 生 下 口 然 雖 如 是 事 無 一 
X73n1447_001:0044a12	向。理出百途。曲為下機。有疑請問　僧問。猿抱子歸	向 理 出 百 途 曲 為 下 機 有 疑 請 問 僧 問 猿 抱 子 歸 
X73n1447_001:0044a13	青嶂後。鳥銜花落碧岩前。此是夾山境。那个是薦福	青 嶂 後 鳥 銜 花 落 碧 岩 前 此 是 夾 山 境 那 个 是 薦 福 
X73n1447_001:0044a14	境　師云莫　進云。如何是境中人　師云莫　問。	境 師 云 莫 進 云 如 何 是 境 中 人 師 云 莫 問 
X73n1447_001:0044a15	知師久蘊囊中寶。今日當筵略借看　師云莫　進	知 師 久 蘊 囊 中 寶 今 日 當 筵 略 借 看 師 云 莫 進 
X73n1447_001:0044a16	云。豈無方便　師云莫　問。大善知識出世。將何為	云 豈 無 方 便 師 云 莫 問 大 善 知 識 出 世 將 何 為 
X73n1447_001:0044a17	人　師云莫　進云。恁麼則有問有答去也　師云	人 師 云 莫 進 云 恁 麼 則 有 問 有 答 去 也 師 云 
X73n1447_001:0044a18	莫　有僧纔擬伸問　師云。問話且止。直饒問得答	莫 有 僧 纔 擬 伸 問 師 云 問 話 且 止 直 饒 問 得 答 
X73n1447_001:0044a19	得。與道懸殊。大眾。似此問話數箇闍黎。總未有箇出	得 與 道 懸 殊 大 眾 似 此 問 話 數 箇 闍 黎 總 未 有 箇 出 
X73n1447_001:0044a20	家眼目在。若有出家眼目。一萬里外。聞有善知識出	家 眼 目 在 若 有 出 家 眼 目 一 萬 里 外 聞 有 善 知 識 出 
X73n1447_001:0044a21	世。洗耳攢眉。拂袖遠去。爭肯來這裡。五體投地。問箇	世 洗 耳 攢 眉 拂 袖 遠 去 爭 肯 來 這 裡 五體投地 問 箇 
X73n1447_001:0044a22	如何若何。仁者還知道。大眾各各自己分上。是箇甚	如 何 若 何 仁 者 還 知 道 大 眾 各 各 自 己 分 上 是 箇 甚 
X73n1447_001:0044a23	麼門風。是箇甚麼體格。直得諸佛仰望不及。天下祖	麼 門 風 是 箇 甚 麼 體 格 直 得 諸 佛 仰 望 不 及 天 下 祖 
X73n1447_001:0044a24	師鎖口有分。若能如是明見得。佛之與祖。如同夢幻	師 鎖 口 有 分 若 能 如 是 明 見 得 佛 之 與 祖 如 同 夢 幻 
X73n1447_001:0044b01	空花。聞甚深法門。也似風聲谷響。自己頴脫獨拔。猶	空 花 聞 甚 深 法 門 也 似 風 聲 谷 響 自 己 頴 脫 獨 拔 猶 
X73n1447_001:0044b02	閑法界有情齊成正覺。豈不是大丈夫漢。豈不是真	閑 法 界 有 情 齊 成 正 覺 豈 不 是 大 丈 夫 漢 豈 不 是 真 
X73n1447_001:0044b03	出家兒。是事且置。以某累德不高。向道非遠。雲山遁	出 家 兒 是 事 且 置 以 某 累 德 不 高 向 道 非 遠 雲 山 遁 
X73n1447_001:0044b04	迹。歲月隳顏。伏承	迹 歲 月 隳 顏 伏 承 
X73n1447_001:0044b05	知郡待制。　提點度支。諸位官僚。寵錫文疏。令開堂	知 郡 待 制 提 點 度 支 諸 位 官 僚 寵 錫 文 疏 令 開 堂 
X73n1447_001:0044b06	演法。所生均祉。上祝	演 法 所 生 均 祉 上 祝 
X73n1447_001:0044b07	今聖皇帝。山嶽為壽。日月齊明。文武官僚。高登祿位。	今 聖 皇 帝 山 嶽 為 壽 日 月 齊 明 文 武 官 僚 高 登 祿 位 
X73n1447_001:0044b08	諸院尊宿。僧正名員。洎諸檀信。元相輔會。敢緩敷宣。	諸 院 尊 宿 僧 正 名 員 洎 諸 檀 信 元 相 輔 會 敢 緩 敷 宣 
X73n1447_001:0044b09	久抑尊官。伏惟珍重。	久 抑 尊 官 伏 惟 珍 重 
X73n1447_001:0044b10	上堂。自從入院。諸多俗士。請令晚參。只可隨時施設。	上 堂 自 從 入 院 諸 多 俗 士 請 令 晚 參 只 可 隨 時 施 設 
X73n1447_001:0044b11	俯就機緣。若據山僧見處。自是一家。何以。為早歲遊	俯 就 機 緣 若 據 山 僧 見 處 自 是 一 家 何 以 為 早 歲 遊 
X73n1447_001:0044b12	方。參見第一等尊宿。或則舉經舉論。說色說空。三界	方 參 見 第 一 等 尊 宿 或 則 舉 經 舉 論 說 色 說 空 三 界 
X73n1447_001:0044b13	唯心。萬法唯識。乃得天地同根。萬法一體。卷舒萬象。	唯 心 萬 法 唯 識 乃 得 天 地 同 根 萬 法 一 體 卷 舒 萬 象 
X73n1447_001:0044b14	縱奪森羅。諸事摐然。一切成現。或說向上關棙。透過	縱 奪 森 羅 諸 事 摐 然 一 切 成 現 或 說 向 上 關 棙 透 過 
X73n1447_001:0044b15	法身。言無展事。語不投機。承言者喪。滯句者迷。於斯	法 身 言 無 展 事 語 不 投 機 承 言 者 喪 滯 句 者 迷 於 斯 
X73n1447_001:0044b16	明得。便是箇灑灑地衲僧。不依倚一切。純說乾嚗嚗	明 得 便 是 箇 灑 灑 地 衲 僧 不 依 倚 一 切 純 說 乾 嚗 嚗 
X73n1447_001:0044b17	地禪。凡有問來。更不答話。或說全體作用。法令雙行。	地 禪 凡 有 問 來 更 不 答 話 或 說 全 體 作 用 法 令 雙 行 
X73n1447_001:0044b18	主賓縱奪。照用縱橫。三年內一時被老僧參得。以為	主 賓 縱 奪 照 用 縱 橫 三 年 內 一 時 被 老 僧 參 得 以 為 
X73n1447_001:0044b19	祖道真規。後來自家覷破。總是鬼解螢光。上祖門中	祖 道 真 規 後 來 自 家 覷 破 總 是 鬼 解 螢 光 上 祖 門 中 
X73n1447_001:0044b20	以為毒藥。如今四海大行。所以祖席荒凉。道流閴爾。	以 為 毒 藥 如 今 四 海 大 行 所 以 祖 席 荒 凉 道 流 閴 爾 
X73n1447_001:0044b21	仁者直須著忖。莫受塗糊。但據當人事。是何道理。珍	仁 者 直 須 著 忖 莫 受 塗 糊 但 據 當 人 事 是 何 道 理 珍 
X73n1447_001:0044b22	重。	重 
X73n1447_001:0044b23	上堂。口是招禍之門。舌是伐身之斧。若有衲僧出來。	上 堂 口 是 招 禍 之 門 舌 是 伐 身 之 斧 若 有 衲 僧 出 來 
X73n1447_001:0044b24	將老僧拕下禪床。爛毆一頓。豈不是與眾雪耻。也許	將 老 僧 拕 下 禪 床 爛 毆 一 頓 豈 不 是 與 眾 雪 耻 也 許 
X73n1447_001:0044c01	你具一隻眼。如今擬在這裡。叉手立地。遞相鈍置。有	你 具 一 隻 眼 如 今 擬 在 這 裡 叉 手 立 地 遞 相 鈍 置 有 
X73n1447_001:0044c02	甚麼了期。珍重。	甚 麼 了 期 珍 重 
X73n1447_001:0044c03	眾會齋上堂。如來正法眼藏。涅槃妙心。祖祖相傳。佛	眾 會 齋 上 堂 如 來 正 法 眼 藏 涅 槃 妙 心 祖 祖 相 傳 佛 
X73n1447_001:0044c04	佛授手。凡聖平等。不假外求。萬德圓明。豈勞修證。山	佛 授 手 凡 聖 平 等 不 假 外 求 萬 德 圓 明 豈 勞 修 證 山 
X73n1447_001:0044c05	僧此日覿面相呈。悟之便登佛地。不歷階梯。迷之背	僧 此 日 覿 面 相 呈 悟 之 便 登 佛 地 不 歷 階 梯 迷 之 背 
X73n1447_001:0044c06	覺合塵。枉入諸趣。迷悟自有差殊。此法本無增減。久	覺 合 塵 枉 入 諸 趣 迷 悟 自 有 差 殊 此 法 本 無 增 減 久 
X73n1447_001:0044c07	參達士。同共證明。後學初機。有疑請問　僧問。承和	參 達 士 同 共 證 明 後 學 初 機 有 疑 請 問 僧 問 承 和 
X73n1447_001:0044c08	尚有言。覿面相呈。如何是覿面相呈事　師云。莫	尚 有 言 覿 面 相 呈 如 何 是 覿 面 相 呈 事 師 云 莫 
X73n1447_001:0044c09	　進云喏　師云莫　進云喏喏　師云莫莫　有僧	 進 云 喏 師 云 莫 進 云 喏 喏 師 云 莫 莫 有 僧 
X73n1447_001:0044c10	纔擬伸問　師云。問話且止。與道懸殊。若據諸人分	纔 擬 伸 問 師 云 問 話 且 止 與 道 懸 殊 若 據 諸 人 分 
X73n1447_001:0044c11	上。具無礙辯。尚沒奈何。擬心則差。豈況更形言語。眾	上 具 無 礙 辯 尚 沒 奈 何 擬 心 則 差 豈 況 更 形 言 語 眾 
X73n1447_001:0044c12	生流轉不息。葢為有心。若得一念心不生。與佛齊肩	生 流 轉 不 息 葢 為 有 心 若 得 一 念 心 不 生 與 佛 齊 肩 
X73n1447_001:0044c13	定矣。天上天下。絕是最尊。巍巍堂堂。十方獨步。隨機	定 矣 天 上 天 下 絕 是 最 尊 巍 巍 堂 堂 十 方 獨 步 隨 機 
X73n1447_001:0044c14	赴感。靡所不周。故號無緣之慈。亦云不請之友。未得	赴 感 靡 所 不 周 故 號 無 緣 之 慈 亦 云 不請之友 未 得 
X73n1447_001:0044c15	如此。墮在邪途。珍重。	如 此 墮 在 邪 途 珍 重 
X73n1447_001:0044c16	上堂。皷聲纔動。大眾已集。却令山僧無下口處。莫怪	上 堂 皷 聲 纔 動 大 眾 已 集 却 令 山 僧 無 下 口 處 莫 怪 
X73n1447_001:0044c17	古人道。十度擬發言。九度却休去。何以。假饒說得擲	古 人 道 十 度 擬 發 言 九 度 却 休 去 何 以 假 饒 說 得 擲 
X73n1447_001:0044c18	地作金聲。在諸人分上。了無交涉。大眾。欲得親切麼。	地 作 金 聲 在 諸 人 分 上 了 無 交 涉 大 眾 欲 得 親 切 麼 
X73n1447_001:0044c19	自家道取。諸人作麼生道。未開口以前。却較[此/且]子。纔	自 家 道 取 諸 人 作 麼 生 道 未 開 口 以 前 却 較 [此且] 子 纔 
X73n1447_001:0044c20	開口皆是自謾。莫見恁麼說了。便出頭來禮三拜。或	開 口 皆 是 自 謾 莫 見 恁 麼 說 了 便 出 頭 來 禮 三 拜 或 
X73n1447_001:0044c21	揚眉瞬目。拂袖出去。或則下棒下喝。轉沒交涉。除此	揚 眉 瞬 目 拂 袖 出 去 或 則 下 棒 下 喝 轉 沒 交 涉 除 此 
X73n1447_001:0044c22	外。作麼生道。這裡若道得。亦不虗出家行脚。方能紹	外 作 麼 生 道 這 裡 若 道 得 亦 不 虗 出 家 行 脚 方 能 紹 
X73n1447_001:0044c23	隆三寶。若道不得。直須出家。珍重。	隆 三 寶 若 道 不 得 直 須 出 家 珍 重 
X73n1447_001:0044c24	師早參示眾云。大眾。霜寒不勞久立。珍重。	師 早 參 示 眾 云 大 眾 霜 寒 不 勞 久 立 珍 重 
X73n1447_001:0045a01	結夏日上堂。止持作犯為初機。禁足規繩則可知。若	結 夏 日 上 堂 止 持 作 犯 為 初 機 禁 足 規 繩 則 可 知 若 
X73n1447_001:0045a02	是吾曹門下客。林間相見不揚眉。	是 吾 曹 門 下 客 林 間 相 見 不 揚 眉 
X73n1447_001:0045a03	上堂。大眾。雲門匡真大師。如今現在。諸人還見麼。若	上 堂 大 眾 雲 門 匡 真 大 師 如 今 現 在 諸 人 還 見 麼 若 
X73n1447_001:0045a04	也見得。便是山僧同參。見麼見麼。此事。直須諦當始	也 見 得 便 是 山 僧 同 參 見 麼 見 麼 此 事 直 須 諦 當 始 
X73n1447_001:0045a05	得。不可自謾。且如往古黃蘗。聞百丈和尚舉馬大師	得 不 可 自 謾 且 如 往 古 黃 蘗 聞 百 丈 和 尚 舉 馬 大 師 
X73n1447_001:0045a06	下喝因緣。佗因茲大省。百丈問。子向後莫承嗣大師	下 喝 因 緣 佗 因 茲 大 省 百 丈 問 子 向 後 莫 承 嗣 大 師 
X73n1447_001:0045a07	否。黃蘗曰。某雖識大師。要且不見大師。若承嗣大師。	否 黃 蘗 曰 某 雖 識 大 師 要 且 不 見 大 師 若 承 嗣 大 師 
X73n1447_001:0045a08	恐喪我兒孫。大眾。當時馬大師遷化。未得五年。黃蘗	恐 喪 我 兒 孫 大 眾 當 時 馬 大 師 遷 化 未 得 五 年 黃 蘗 
X73n1447_001:0045a09	自言不見。當知黃蘗見處不圓。要且只具一隻眼。山	自 言 不 見 當 知 黃 蘗 見 處 不 圓 要 且 只 具 一 隻 眼 山 
X73n1447_001:0045a10	僧即不然。識得雲門大師。亦見得雲門大師。方可承	僧 即 不 然 識 得 雲 門 大 師 亦 見 得 雲 門 大 師 方 可 承 
X73n1447_001:0045a11	嗣雲門大師。只如雲門入滅。已得一百餘年。如今作	嗣 雲 門 大 師 只 如 雲 門 入 滅 已 得 一 百 餘 年 如 今 作 
