X60n1112_001:0080a03	蓬折箴	蓬 折 箴 
X60n1112_001:0080b12	殊律儀不異會同三聚圓契一乘為道受隨非同世	殊 律 儀 不 異 會 同 三 聚 圓 契 一 乘 為 道 受 隨 非 同 世 
X60n1112_001:0080b13	善所以疏鈔兩文開大乘解緣法界境發上品心納	善 所 以 疏 鈔 兩 文 開 大 乘 解 緣 法 界 境 發 上 品 心 納 
X60n1112_001:0080b14	善種體起菩薩行趣涅槃果盡用圓實大乘教受聲	善 種 體 起 菩 薩 行 趣 涅 槃 果 盡 用 圓 實 大 乘 教 受 聲 
X60n1112_001:0080b15	聞小戒不分兩分即權取實始終一貫令成究竟業	聞 小 戒 不 分 兩 分 即 權 取 實 始 終 一 貫 令 成 究 竟 業 
X60n1112_001:0080b16	疏圓宗戒體章中敘述次第無不明顯故文云智知	疏 圓 宗 戒 體 章 中 敘 述 次 第 無 不 明 顯 故 文 云 智 知 
X60n1112_001:0080b17	境緣本是心作不妄緣境但唯一識隨緣轉變有彼	境 緣 本 是 心 作 不 妄 緣 境 但 唯 一 識 隨緣轉變 有 彼 
X60n1112_001:0080b18	有此(文)先示境緣令開大解又云欲了妄情須知妄	有 此 文 先 示 境 緣 令 開 大 解 又 云 欲 了 妄 情 須 知 妄 
X60n1112_001:0080b19	業故作法受還熏妄心(文)依解緣境發心受戒又云	業 故 作 法 受 還 熏 妄 心 文 依 解 緣 境 發 心 受 戒 又 云 
X60n1112_001:0080b20	於本藏識成善種子此戒體也(文)正示圓宗所發戒	於 本 藏 識 成 善 種 子 此 戒 體 也 文 正 示 圓 宗 所 發 戒 
X60n1112_001:0080b21	體已上同鈔我今發心受戒一句又用以己要期之	體 已 上 同 鈔 我 今 發 心 受 戒 一 句 又 用 以 己 要 期 之 
X60n1112_001:0080b22	心與彼妙法相應於彼法上有緣起之義領納在心	心 與 彼 妙 法 相 應 於 彼 法 上 有 緣 起 之 義 領 納 在 心 
X60n1112_001:0080b23	名為戒體又用未受戒前惡遍法界今欲進受翻前	名 為 戒 體 又 用 未 受 戒 前 惡 遍 法 界 今 欲 進 受 翻 前 
X60n1112_001:0080b24	惡境並起善心故戒發所因還遍法界(文)又云猶有	惡 境 並 起 善 心 故 戒 發 所 因 還 遍 法 界 文 又 云 猶 有 
X60n1112_001:0080c01	本種量心故力有常乃至下云成化身佛等(文)明隨	本 種 量 心 故 力 有 常 乃 至 下 云 成 化 身 佛 等 文 明 隨 
X60n1112_001:0080c02	行持犯囑令常思遠期大乘因果同鈔為成三聚戒	行 持 犯 囑 令 常 思 遠 期 大 乘 因 果 同 鈔 為 成 三 聚 戒 
X60n1112_001:0080c03	故趣三解脫求泥洹果又以此法引導眾生等兩文	故 趣 三 解 脫 求 泥 洹 果 又 以 此 法 引 導 眾 生 等 兩 文 
X60n1112_001:0080c04	相照如合符節於但三聚有後受前思之異自非濟	相 照 如 合 符 節 於 但 三 聚 有 後 受 前 思 之 異 自 非 濟 
X60n1112_001:0080c05	緣同答雖識圓宗遠致此之二部所明大乘因果皆	緣 同 答 雖 識 圓 宗 遠 致 此 之 二 部 所 明 大 乘 因 果 皆 
X60n1112_001:0080c06	是三誓而納具戒所發無作業體中具令依修行今	是 三 誓 而 納 具 戒 所 發 無 作 業 體 中 具 令 依 修 行 今 
X60n1112_001:0080c07	文決顯故濟緣云今此直以大乘圓義以決前體故	文 決 顯 故 濟 緣 云 今 此 直 以 大 乘 圓 義 以 決 前 體 故 
X60n1112_001:0080c08	羯磨經引薩婆多論為正量教論云凡欲受戒先為	羯 磨 經 引 薩 婆 多 論 為 正 量 教 論 云 凡 欲 受 戒 先 為 
X60n1112_001:0080c09	說法開導令於一切境起慈悲心便得增上戒業疏	說 法 開 導 令 於 一 切 境 起 慈 悲 心 便 得 增 上 戒 業 疏 
X60n1112_001:0080c10	云此之戒法出家本務素非懷大定難容納除有由	云 此 之 戒 法 出 家 本 務 素 非 懷 大 定 難 容 納 除 有 由 
X60n1112_001:0080c11	矣(文)律本家業甚實在此若使外求去道轉遠濟緣	矣 文 律 本 家 業 甚 實 在 此 若 使 外 求 去 道 轉 遠 濟 緣 
X60n1112_001:0080c12	因釋教源云教即律藏律由戒生故戒為律本(文)三	因 釋 教 源 云 教 即 律 藏 律 由 戒 生 故 戒 為 律 本 文 三 
X60n1112_001:0080c13	種理觀隨律之經祖教觀宜用之有處戒觀兩門須	種 理 觀 隨 律 之 經 祖 教 觀 宜 用 之 有 處 戒 觀 兩 門 須 
X60n1112_001:0080c14	分心境戒以防禁為心罪惡為境觀以契會為心寂	分 心 境 戒 以 防 禁 為 心 罪 惡 為 境 觀 以 契 會 為 心 寂 
X60n1112_001:0080c15	理為境雖有觀事生滅之句此是事境如智論因緣	理 為 境 雖 有 觀 事 生 滅 之 句 此 是 事 境 如 智 論 因 緣 
X60n1112_001:0080c16	所生法也非謂諦境若約兩重能所對拾諦觀乃屬	所 生 法 也 非 謂 諦 境 若 約 兩 重 能 所 對 拾 諦 觀 乃 屬 
X60n1112_001:0080c17	所破諦觀相宜如器諸淳朴方名妙觀又復須知修	所 破 諦 觀 相 宜 如 器 諸 淳 朴 方 名 妙 觀 又 復 須 知 修 
X60n1112_001:0080c18	觀之法的指一境不容異念如記主觀經新疏通將	觀 之 法 的 指 一 境 不 容 異 念 如 記 主 觀 經 新 疏 通 將 
X60n1112_001:0080c19	三法從寬至狹約心約佛的揀所觀所觀赴四成功	三 法 從 寬 至 狹 約 心 約 佛 的 揀 所 觀 所 觀 赴 四 成 功 
X60n1112_001:0080c20	豈宜通慢使見十六觀門雖本一經亦非文至觀觀	豈 宜 通 慢 使 見 十 六 觀 門 雖 本 一 經 亦 非 文 至 觀 觀 
X60n1112_001:0080c21	之後皆結部正天台大約四三昧判攝一代經教所	之 後 皆 結 部 正 天 台 大 約 四 三 昧 判 攝 一 代 經 教 所 
X60n1112_001:0080c22	詮明從行觀三大部中心觀屬行其餘二部皆是開	詮 明 從 行 觀 三 大 部 中 心 觀 屬 行 其 餘 二 部 皆 是 開 
X60n1112_001:0080c23	解雖只用觀托事附法也及心觀中前之六章猶屬	解 雖 只 用 觀 托 事 附 法 也 及 心 觀 中 前 之 六 章 猶 屬 
X60n1112_001:0080c24	妙解於正明境的指事中一念為所觀境專以三千	妙 解 於 正 明 境 的 指 事 中 一 念 為 所 觀 境 專 以 三 千 
X60n1112_001:0081a01	而作指南依經建立方便正修立定日限破妄顯真	而 作 指 南 依 經 建 立 方 便 正 修 立 定 日 限 破 妄 顯 真 
X60n1112_001:0081a02	慮境觀鑽境觀鑽研所發疑悞須明十境以別邪正	慮 境 觀 鑽 境 觀 鑽 研 所 發 疑 悞 須 明 十 境 以 別 邪 正 
X60n1112_001:0081a03	修觀大約鄭重如此又復三藏分宗經詮定學專明	修 觀 大 約 鄭 重 如 此 又 復 三 藏 分 宗 經 詮 定 學 專 明 
X60n1112_001:0081a04	三昧律詮戒學唯論持犯論詮慧學開二智明不無	三 昧 律 詮 戒 學 唯 論 持 犯 論 詮 慧 學 開 二 智 明 不 無 
X60n1112_001:0081a05	交至皆名隨說戒學到家究竟三聚定學到家究竟	交 至 皆 名 隨 說 戒 學 到 家 究 竟 三 聚 定 學 到 家 究 竟 
X60n1112_001:0081a06	唯識(且約今宗)皆能至果同成佛慧戒無慧解但是利使	唯 識 且 約 今 宗 皆 能 至 果 同 成 佛 慧 戒 無 慧 解 但 是 利 使 
X60n1112_001:0081a07	觀無慧解乃屬事禪戒是能防業是所防觀是能修	觀 無 慧 解 乃 屬 事 禪 戒 是 能 防 業 是 所 防 觀 是 能 修 
X60n1112_001:0081a08	定屬所修猶智度故若戒若業若觀若禪無有一法	定 屬 所 修 猶 智 度 故 若 戒 若 業 若 觀 若 禪 無 有 一 法 
X60n1112_001:0081a09	不至果位今部文中或明解慧及示理觀成就圓宗	不 至 果 位 今 部 文 中 或 明 解 慧 及 示 理 觀 成 就 圓 宗 
X60n1112_001:0081a10	受隨妙戒是以疏鈔或約聖位淺深或約根性利鈍	受 隨 妙 戒 是 以 疏 鈔 或 約 聖 位 淺 深 或 約 根 性 利 鈍 
X60n1112_001:0081a11	三乘三學相比相比相決想屬開解為出家本務期	三 乘 三 學 相 比 相 比 相 決 想 屬 開 解 為 出 家 本 務 期 
X60n1112_001:0081a12	成聖道出家之言須約人約行始修論之非約戒約	成 聖 道 出 家 之 言 須 約 人 約 行 始 修 論 之 非 約 戒 約 
X60n1112_001:0081a13	位局初心即斷故受戒篇及沙彌篇言聖道行元始	位 局 初 心 即 斷 故 受 戒 篇 及 沙 彌 篇 言 聖 道 行 元 始 
X60n1112_001:0081a14	未曾今是入道初步須知趣向要令進學若懺篇中	未 曾 今 是 入 道 初 步 須 知 趣 向 要 令 進 學 若 懺 篇 中 
X60n1112_001:0081a15	列三種理觀令任智觀緣化制雙行為除業本又復	列 三 種 理 觀 令 任 智 觀 緣 化 制 雙 行 為 除 業 本 又 復 
X60n1112_001:0081a16	所滅乃至成罪當須融導成無生懺不同戒行遮未	所 滅 乃 至 成 罪 當 須 融 導 成 無 生 懺 不 同 戒 行 遮 未 
X60n1112_001:0081a17	起非恒須防禁不可妄情戒觀兩分當如此知吾祖	起 非 恒 須 防 禁 不 可 妄 情 戒 觀 兩 分 當 如 此 知 吾 祖 
X60n1112_001:0081a18	設教令開大乘解慧專依小乘受隨無不盡善四儀	設 教 令 開 大 乘 解 慧 專 依 小 乘 受 隨 無 不 盡 善 四 儀 
X60n1112_001:0081a19	動用嚴切護持明知於唯識理上縱妄成業欲返妄	動 用 嚴 切 護 持 明 知 於 唯 識 理 上 縱 妄 成 業 欲 返 妄 
X60n1112_001:0081a20	源作法受具所破既除嚴禁愈切是戒勝行何言妙	源 作 法 受 具 所 破 既 除 嚴 禁 愈 切 是 戒 勝 行 何 言 妙 
X60n1112_001:0081a21	觀故業疏云成善種子此戒體也以凡夫妄念執着	觀 故 業 疏 云 成 善 種 子 此 戒 體 也 以 凡 夫 妄 念 執 着 
X60n1112_001:0081a22	妄境若非戒解無由得脫故律序云縛着由此解圓	妄 境 若 非 戒 解 無 由 得 脫 故 律 序 云 縛 着 由 此 解 圓 
X60n1112_001:0081a23	妙理觀佛地未妄今令初心為本持戒如何操趣了	妙 理 觀 佛 地 未 妄 今 令 初 心 為 本 持 戒 如 何 操 趣 了 
X60n1112_001:0081a24	妄全真不可不知也元始未曾誠哉是言若使鐵翁	妄 全 真 不 可 不 知 也 元 始 未 曾 誠 哉 是 言 若 使 鐵 翁 
X60n1112_001:0081b01	曾於戒觀留心試採終不有此元稽妄說不識分量	曾 於 戒 觀 留 心 試 採 終 不 有 此 元 稽 妄 說 不 識 分 量 
X60n1112_001:0081b02	誇憚狂言下文至教臨時指示會源列門諸門觀法	誇 憚 狂 言 下 文 至 教 臨 時 指 示 會 源 列 門 諸 門 觀 法 
X60n1112_001:0081b03	題下註字急宜去之恐悞新學以致妄戒正文誦習	題 下 註 字 急 宜 去 之 恐 悞 新 學 以 致 妄 戒 正 文 誦 習 
X60n1112_001:0081b04	甚益初機弘立標科及諸子註多順己見未可全依	甚 益 初 機 弘 立 標 科 及 諸 子 註 多 順 己 見 未 可 全 依 
X60n1112_001:0081b05	余年老灰懶無心細讀加我數年可為絆正推功觀	余 年 老 灰 懶 無 心 細 讀 加 我 數 年 可 為 絆 正 推 功 觀 
X60n1112_001:0081b06	行埋沒律宗祖道全真妄本吾祖著撰自有準繩然	行 埋 沒 律 宗 祖 道 全 真 妄 本 吾 祖 著 撰 自 有 準 繩 然 
X60n1112_001:0081b07	歸敬儀淨心觀等解慧通被行業圓宗化制雙弘真	歸 敬 儀 淨 心 觀 等 解 慧 通 被 行 業 圓 宗 化 制 雙 弘 真 
X60n1112_001:0081b08	俗並運雖許凡學通攝觀機此屬化門無混制教部	俗 並 運 雖 許 凡 學 通 攝 觀 機 此 屬 化 門 無 混 制 教 部 
X60n1112_001:0081b09	流布祖意可知孟浪故來不稱正量摘其過濫何可	流 布 祖 意 可 知 孟 浪 故 來 不 稱 正 量 摘 其 過 濫 何 可 
X60n1112_001:0081b10	勝言一則律學無本二乃化制不分三三學失次四	勝 言 一 則 律 學 無 本 二 乃 化 制 不 分 三 三 學 失 次 四 
X60n1112_001:0081b11	使後昆越學五攝機不盡六不識所宗七玷辱祖師	使 後 昆 越 學 五 攝 機 不 盡 六 不 識 所 宗 七 玷 辱 祖 師 
X60n1112_001:0081b12	八全迷戒相九暗托觀門十矯異常途略提此十其	八 全 迷 戒 相 九 暗 托 觀 門 十 矯 異 常 途 略 提 此 十 其 
X60n1112_001:0081b13	失尚多因此忤心餘不忍看歲晚赴壇忽聞祖教持	失 尚 多 因 此 忤 心 餘 不 忍 看 歲 晚 赴 壇 忽 聞 祖 教 持 
X60n1112_001:0081b14	癈善戒受大之說既乖所學甚不入耳下壇歸寺偶	癈 善 戒 受 大 之 說 既 乖 所 學 甚 不 入 耳 下 壇 歸 寺 偶 
X60n1112_001:0081b15	得重圓亂道讀主揭倒四重樓閣豁開其義圓門之	得 重 圓 亂 道 讀 主 揭 倒 四 重 樓 閣 豁 開 其 義 圓 門 之 
X60n1112_001:0081b16	句不勝傷嘆毀滅大乘謗讟祖教泥梨苦報略無畏	句 不 勝 傷 嘆 毀 滅 大 乘 謗 讟 祖 教 泥 梨 苦 報 略 無 畏 
X60n1112_001:0081b17	忌若謂法花開顯白四須大善戒漸次故為揭倒既	忌 若 謂 法 花 開 顯 白 四 須 大 善 戒 漸 次 故 為 揭 倒 既 
X60n1112_001:0081b18	開五義圓門何獨不至四重樓閣不知開顯正為於	開 五 義 圓 門 何 獨 不 至 四 重 樓 閣 不 知 開 顯 正 為 於 
X60n1112_001:0081b19	此。	此 
X60n1112_001:0081b20	敢問法花開顯唯開聲聞開菩薩否聲聞多種開何	敢 問 法 花 開 顯 唯 開 聲 聞 開 菩 薩 否 聲 聞 多 種 開 何 
X60n1112_001:0081b21	聲聞而得作佛開顯當機如何破顯開顯之旨切在	聲 聞 而 得 作 佛 開 顯 當 機 如 何 破 顯 開 顯 之 旨 切 在 
X60n1112_001:0081b22	於何吾祖今家如何建立開顯之後有聲聞法可修	於 何 吾 祖 今 家 如 何 建 立 開 顯 之 後 有 聲 聞 法 可 修 
X60n1112_001:0081b23	學否如上諸事彼皆冥然誑謼閭閻巧弄唇舌部風	學 否 如 上 諸 事 彼 皆 冥 然 誑 謼 閭 閻 巧 弄 唇 舌 部 風 
X60n1112_001:0081b24	一皷滿座生疑善戒正經無人敢道滅法謗祖盲瞽	一 皷 滿 座 生 疑 善 戒 正 經 無 人 敢 道 滅 法 謗 祖 盲 瞽 
X60n1112_001:0081c01	來蒙是可忍也孰不可忍便力破以救祖乘緣彼新	來 蒙 是 可 忍 也 孰 不 可 忍 便 力 破 以 救 祖 乘 緣 彼 新 
X60n1112_001:0081c02	學多所艶慕有訪訓蒙但作一書具禮設諫問答享	學 多 所 艶 慕 有 訪 訓 蒙 但 作 一 書 具 禮 設 諫 問 答 享 
X60n1112_001:0081c03	略彼所為故不介意後每相見略無擊節自謂聞義	略 彼 所 為 故 不 介 意 後 每 相 見 略 無 擊 節 自 謂 聞 義 
X60n1112_001:0081c04	能徙宗中之耄後聞有折蓬之作欲見無由近因所	能 徙 宗 中 之 耄 後 聞 有 折 蓬 之 作 欲 見 無 由 近 因 所 
X60n1112_001:0081c05	見引之盲修習為徒殊非靜子自無見解任拘牽行	見 引 之 盲 修 習 為 徒 殊 非 靜 子 自 無 見 解 任 拘 牽 行 
X60n1112_001:0081c06	廣印流通偶得一家本初讀之甚令人疑次讀之可	廣 印 流 通 偶 得 一 家 本 初 讀 之 甚 令 人 疑 次 讀 之 可 
X60n1112_001:0081c07	令人笑再讀之極令人憂據彼折說何足為破明眼	令 人 笑 再 讀 之 極 令 人 憂 據 彼 折 說 何 足 為 破 明 眼 
X60n1112_001:0081c08	人前自為笑具但慮末代新學生知者少因此愚迷	人 前 自 為 笑 具 但 慮 末 代 新 學 生 知 者 少 因 此 愚 迷 
X60n1112_001:0081c09	不極究源流浸成部種若不指斥漸翳祖乘傳布後	不 極 究 源 流 浸 成 部 種 若 不 指 斥 漸 翳 祖 乘 傳 布 後 
X60n1112_001:0081c10	昆恐成重害未免饒舌聊述所知以示將來非余所	昆 恐 成 重 害 未 免 饒 舌 聊 述 所 知 以 示 將 來 非 余 所 
X60n1112_001:0081c11	好。	好 
X60n1112_001:0081c12	欲明此意先定本須知今是依四分律受具足戒但	欲 明 此 意 先 定 本 須 知 今 是 依 四 分 律 受具足戒 但 
X60n1112_001:0081c13	能除用圓實教旨遠取如來本懷緣境契唯識宗乘	能 除 用 圓 實 教 旨 遠 取 如 來 本 懷 緣 境 契 唯 識 宗 乘 
X60n1112_001:0081c14	發心起大慈勝行開明心境融導發門要誓無遺期	發 心 起 大 慈 勝 行 開 明 心 境 融 導 發 門 要 誓 無 遺 期 
X60n1112_001:0081c15	向遠大所發無作義具三聚所成業體同大乘體故	向 遠 大 所 發 無 作 義 具 三 聚 所 成 業 體 同 大 乘 體 故 
X60n1112_001:0081c16	鈔云我令發心受戒為成三聚戒故趣三解脫門正	鈔 云 我 令 發 心 受 戒 為 成 三 聚 戒 故 趣 三解脫門 正 
X60n1112_001:0081c17	求泥洹果業疏云是故行人常思此行即是三聚良	求 泥 洹 果 業 疏 云 是 故 行 人 常 思 此 行 即 是 三 聚 良 
X60n1112_001:0081c18	以解心既妙發限莫物願行相扶域心有處論其名	以 解 心 既 妙 發 限 莫 物 願 行 相 扶 域 心 有 處 論 其 名 
X60n1112_001:0081c19	位是聲聞人有大聲聞氣分只可謂新發意菩薩正	位 是 聲 聞 人 有 大 聲 聞 氣 分 只 可 謂 新發意菩薩 正 
X60n1112_001:0081c20	如普明菩薩經云如剎利王縱與賤通所懷者貴即	如 普 明 菩 薩 經 云 如 剎 利 王 縱 與 賤 通 所 懷 者 貴 即 
X60n1112_001:0081c21	名王子無上發法縱與眾生賤之人合生菩提心名	名 王 子 無 上 發 法 縱 與 眾 生 賤 之 人 合 生 菩 提 心 名 
X60n1112_001:0081c22	佛其子(經文)眾生之言說九界所謂人天小善部見嚴	佛 其 子 經 文 眾 生 之 言 說 九 界 所 謂 人 天 小 善 部 見 嚴 
X60n1112_001:0081c23	王惡逆調達等咸開作佛今是無上發法與賊聲聞	王 惡 逆 調 達 等 咸 開 作 佛 今 是 無 上 發 法 與 賊 聲 聞 
X60n1112_001:0081c24	夫人合所發業種成佛有分由圓理含容包攝無外	夫 人 合 所 發 業 種 成 佛 有 分 由 圓 理 含 容 包 攝 無 外 
X60n1112_001:0082a01	即此小戒當處究竟乃至佛果成名體不轉若將此	即 此 小 戒 當 處 究 竟 乃 至 佛 果 成 名 體 不 轉 若 將 此 
X60n1112_001:0082a02	體為菩薩體返見聲聞無此圓體所以說主恐迷此	體 為 菩 薩 體 返 見 聲 聞 無 此 圓 體 所 以 說 主 恐 迷 此 
X60n1112_001:0082a03	於諸文中節節發問此與菩薩戒體為同為異必有	於 諸 文 中 節 節 發 問 此 與 菩 薩 戒 體 為 同 為 異 必 有 
X60n1112_001:0082a04	異同學者尋之或云體同緣異但言其同已是二體	異 同 學 者 尋 之 或 云 體 同 緣 異 但 言 其 同 已 是 二 體 
X60n1112_001:0082a05	況云緣異古德云所言體同乃據體性若約體相亦	況 云 緣 異 古 德 云 所 言 體 同 乃 據 體 性 若 約 體 相 亦 
X60n1112_001:0082a06	所不同圓理具法法全同法無濫若混為一何為具法	所 不 同 圓 理 具 法 法 全 同 法 無 濫 若 混 為 一 何 為 具 法 
X60n1112_001:0082a07	經云七寶大車其數無量人問既得此體還用受菩	經 云 七 寶 大 車 其 數 無 量 人 問 既 得 此 體 還 用 受 菩 
X60n1112_001:0082a08	薩戒否若不須受約大判持犯耶答云須受無作業	薩 戒 否 若 不 須 受 約 大 判 持 犯 耶 答 云 須 受 無 作 業 
X60n1112_001:0082a09	重發否若如汝說既得此體後不須受何不約大准	重 發 否 若 如 汝 說 既 得 此 體 後 不 須 受 何 不 約 大 准 
X60n1112_001:0082a10	梵網等經依行相奉持却自甘心而犯諸戒汝云曾	梵 網 等 經 依 行 相 奉 持 却 自 甘 心 而 犯 諸 戒 汝 云 曾 
X60n1112_001:0082a11	釋還看經否若據汝所妄解祖文無可不可無作重	釋 還 看 經 否 若 據 汝 所 妄 解 祖 文 無 可 不 可 無 作 重 
X60n1112_001:0082a12	否正汝愚迷瞥爾起心殃墜無間具緣受大豈無無	否 正 汝 愚 迷 瞥 爾 起 心 殃 墜 無 間 具 緣 受 大 豈 無 無 
X60n1112_001:0082a13	作既本圓極約義已具只一三聚無二三聚為稟大	作 既 本 圓 極 約 義 已 具 只 一 三 聚 無 二 三 聚 為 稟 大 
X60n1112_001:0082a14	先容其義在此如投水海中若風中皷囊雖有大聖	先 容 其 義 在 此 如 投 水 海 中 若 風 中 皷 囊 雖 有 大 聖 
X60n1112_001:0082a15	智只不能分別至納大時無別三聚自非記主具擇	智 只 不 能 分 別 至 納 大 時 無 別 三 聚 自 非 記 主 具 擇 
X60n1112_001:0082a16	法眼深窮化制誰能曉此折蓬愚執正知經中有田	法 眼 深 窮 化 制 誰 能 曉 此 折 蓬 愚 執 正 知 經 中 有 田 
X60n1112_001:0082a17	舍子見貴人以鹽着食中問云何以故爾貴人答云	舍 子 見 貴 人 以 鹽 着 食 中 問 云 何 以 故 爾 貴 人 答 云 
X60n1112_001:0082a18	此鹽能美彼即自謂尚美初自未必多遂滿口食為	此 鹽 能 美 彼 即 自 謂 尚 美 初 自 未 必 多 遂 滿 口 食 為 
X60n1112_001:0082a19	鹹所苦返責貴人貴人曰癡人調和可也如何純食	鹹 所 苦 返 責 貴 人 貴 人 曰 癡 人 調 和 可 也 如 何 純 食 
X60n1112_001:0082a20	彼亦如是一味貪圓樂勝不知所以圓勝吾祖聖智	彼 亦 如 是 一 味 貪 圓 樂 勝 不 知 所 以 圓 勝 吾 祖 聖 智 
X60n1112_001:0082a21	若依當分小乘而受隨者猶在半途未為究竟或令	若 依 當 分 小 乘 而 受 隨 者 猶 在 半 途 未 為 究 竟 或 令 
X60n1112_001:0082a22	初步直造大方依大乘經受菩薩戒時長行遠力量	初 步 直 造 大 方 依 大 乘 經 受 菩 薩 戒 時 長 行 遠 力 量 
