T14n0450_001:0404c11	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0450_001:0404c27	願功德，為拔業障所纏有情，利益安樂	願 功 德 為 拔 業 障 所 纏 有 情 利益安樂 
T14n0450_001:0404c28	像法轉時諸有情故。汝今諦聽，極善思惟，當	像 法 轉 時 諸 有 情 故 汝 今 諦 聽 極 善 思 惟 當 
T14n0450_001:0404c29	為汝說。」曼殊室利言：「唯然！願說，我等樂聞。」	為 汝 說 曼 殊 室 利 言 唯 然 願 說 我 等 樂 聞 
T14n0450_001:0405a01	佛告曼殊室利：「東方去此過十殑伽沙等佛	佛 告 曼 殊 室 利 東 方 去 此 過 十 殑 伽 沙 等 佛 
T14n0450_001:0405a02	土，有世界名淨琉璃，佛號藥師琉璃光如	土 有 世 界 名 淨 琉 璃 佛 號 藥師琉璃光 如 
T14n0450_001:0405a03	來、應、正等覺、明行圓滿、善逝、世間解、無上丈	來 應 正 等 覺 明行圓滿 善 逝 世 間 解 無 上 丈 
T14n0450_001:0405a04	夫、調御士、天人師、佛、薄伽梵。曼殊室利！彼佛	夫 調 御 士 天 人 師 佛 薄 伽 梵 曼 殊 室 利 彼 佛 
T14n0450_001:0405a05	世尊藥師琉璃光如來，本行菩薩道時，發	世 尊 藥師琉璃光 如 來 本 行菩薩道 時 發 
T14n0450_001:0405a06	十二大願，令諸有情，所求皆得。	十 二 大 願 令 諸 有 情 所 求 皆 得 
T14n0450_001:0405a07	「第一大願：願我來世得阿耨多羅三藐三菩	 第 一 大 願 願 我 來 世 得 阿 耨 多 羅 三 藐 三 菩 
T14n0450_001:0405a08	提時，自身光明，熾然照曜無量無數無邊世	提 時 自 身 光 明 熾 然 照 曜 無量無數 無 邊 世 
T14n0450_001:0405a09	界，以三十二大丈夫相、八十隨好，莊嚴其	界 以 三十二大丈夫相 八十隨好 莊 嚴 其 
T14n0450_001:0405a10	身；令一切有情，如我無異。	身 令 一切有情 如 我 無 異 
T14n0450_001:0405a11	「第二大願：願我來世得菩提時，身如琉璃，	 第 二 大 願 願 我 來 世 得 菩 提 時 身 如 琉 璃 
T14n0450_001:0405a12	內外明徹，淨無瑕穢，光明廣大，功德巍巍，身	內 外 明 徹 淨 無 瑕 穢 光 明 廣 大 功 德 巍 巍 身 
T14n0450_001:0405a13	善安住，焰網莊嚴，過於日月；幽冥眾生，悉蒙	善 安 住 焰 網 莊 嚴 過 於 日 月 幽 冥 眾 生 悉 蒙 
T14n0450_001:0405a14	開曉，隨意所趣，作諸事業。	開 曉 隨 意 所 趣 作 諸 事 業 
T14n0450_001:0405a15	「第三大願：願我來世得菩提時，以無量無	 第 三 大 願 願 我 來 世 得 菩 提 時 以 無 量 無 
T14n0450_001:0405a16	邊智慧方便，令諸有情，皆得無盡所受用	邊 智慧方便 令 諸 有 情 皆 得 無 盡 所 受 用 
T14n0450_001:0405a17	物，莫令眾生有所乏少。	物 莫 令 眾 生 有 所 乏 少 
T14n0450_001:0405a18	「第四大願：願我來世得菩提時，若諸有情	 第 四 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0450_001:0405a19	行邪道者，悉令安住菩提道中；若行聲聞	行 邪 道 者 悉 令 安 住 菩 提 道 中 若 行 聲 聞 
T14n0450_001:0405a20	獨覺乘者，皆以大乘而安立之。	獨 覺 乘 者 皆 以 大 乘 而 安 立 之 
T14n0450_001:0405a21	「第五大願：願我來世得菩提時，若有無量	 第 五 大 願 願 我 來 世 得 菩 提 時 若 有 無 量 
T14n0450_001:0405a22	無邊有情，於我法中修行梵行，一切皆令	無 邊 有 情 於 我 法 中 修行梵行 一 切 皆 令 
T14n0450_001:0405a23	得不缺戒，具三聚戒。設有毀犯，聞我名	得 不 缺 戒 具 三 聚 戒 設 有 毀 犯 聞 我 名 
T14n0450_001:0405a24	已，還得清淨，不墮惡趣。	已 還 得 清 淨 不 墮 惡 趣 
T14n0450_001:0405a25	「第六大願：願我來世得菩提時，若諸有情，	 第 六 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0450_001:0405a26	其身下劣，諸根不具，醜陋、頑愚、盲、聾、瘖、瘂、攣、	其 身 下 劣 諸根不具 醜 陋 頑 愚 盲 聾 瘖 瘂 攣 
T14n0450_001:0405a27	躄、背僂、白癩、癲狂、種種病苦；聞我名已，一切	躄 背 僂 白 癩 癲 狂 種 種 病 苦 聞 我 名 已 一 切 
T14n0450_001:0405a28	皆得端正黠慧。諸根完具，無諸疾苦。	皆 得 端 正 黠 慧 諸 根 完 具 無 諸 疾 苦 
T14n0450_001:0405a29	「第七大願：願我來世得菩提時，若諸有情，	 第 七 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0450_001:0405b01	眾病逼切，無救無歸，無醫無藥，無親無家，	眾 病 逼 切 無 救 無 歸 無 醫 無 藥 無 親 無 家 
T14n0450_001:0405b02	貧窮多苦，我之名號，一經其耳，病悉得	貧 窮 多 苦 我 之 名 號 一 經 其 耳 病 悉 得 
T14n0450_001:0405b03	除，身心安樂，家屬資具，悉皆豐足，乃至證得	除 身 心 安 樂 家 屬 資 具 悉 皆 豐 足 乃 至 證 得 
T14n0450_001:0405b04	無上菩提。	無上菩提 
T14n0450_001:0405b05	「第八大願：願我來世得菩提時，若有女人，	 第 八 大 願 願 我 來 世 得 菩 提 時 若 有 女 人 
T14n0450_001:0405b06	為女百惡之所逼惱，極生厭離，願捨女身；	為 女 百 惡 之 所 逼 惱 極 生 厭 離 願 捨 女 身 
T14n0450_001:0405b07	聞我名已，一切皆得轉女成男，具丈夫相，	聞 我 名 已 一 切 皆 得 轉 女 成 男 具 丈 夫 相 
T14n0450_001:0405b08	乃至證得無上菩提。	乃 至 證 得 無上菩提 
T14n0450_001:0405b09	「第九大願：願我來世得菩提時，令諸有情，	 第 九 大 願 願 我 來 世 得 菩 提 時 令 諸 有 情 
T14n0450_001:0405b10	出魔羂網，解脫一切外道纏縛；若墮種種	出 魔 羂 網 解 脫 一 切 外 道 纏 縛 若 墮 種 種 
T14n0450_001:0405b11	惡見稠林，皆當引攝置於正見，漸令修習	惡 見 稠 林 皆 當 引 攝 置 於 正 見 漸 令 修 習 
T14n0450_001:0405b12	諸菩薩行，速證無上正等菩提。	諸 菩 薩 行 速 證無上正等菩提 
T14n0450_001:0405b13	「第十大願：願我來世得菩提時，若諸有情，	 第 十 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0450_001:0405b14	王法所錄，縲縛鞭撻，繫閉牢獄，或當刑戮，	王 法 所 錄 縲 縛 鞭 撻 繫 閉 牢 獄 或 當 刑 戮 
T14n0450_001:0405b15	及餘無量災難凌辱，悲愁煎迫，身心受苦；	及 餘 無 量 災 難 凌 辱 悲 愁 煎 迫 身 心 受 苦 
T14n0450_001:0405b16	若聞我名，以我福德威神力故，皆得解脫	若 聞 我 名 以 我 福 德 威 神 力 故 皆 得 解 脫 
T14n0450_001:0405b17	一切憂苦。	一切憂苦 
T14n0450_001:0405b18	「第十一大願：願我來世得菩提時，若諸有	 第 十 一 大 願 願 我 來 世 得 菩 提 時 若 諸 有 
T14n0450_001:0405b19	情，飢渴所惱，為求食故造諸惡業；得聞	情 飢 渴 所 惱 為 求 食 故 造 諸 惡 業 得 聞 
T14n0450_001:0405b20	我名，專念受持，我當先以上妙飲食，飽足	我 名 專 念 受 持 我 當 先 以 上 妙 飲 食 飽 足 
T14n0450_001:0405b21	其身；後以法味，畢竟安樂而建立之。	其 身 後 以 法 味 畢 竟 安 樂 而 建 立 之 
T14n0450_001:0405b22	「第十二大願：願我來世得菩提時，若諸有	 第 十 二 大 願 願 我 來 世 得 菩 提 時 若 諸 有 
T14n0450_001:0405b23	情，貧無衣服，蚊虻寒熱，晝夜逼惱；若聞我	情 貧 無 衣 服 蚊 虻 寒 熱 晝 夜 逼 惱 若 聞 我 
T14n0450_001:0405b24	名，專念受持，如其所好，即得種種上妙衣	名 專 念 受 持 如 其 所 好 即 得 種 種 上 妙 衣 
T14n0450_001:0405b25	服，亦得一切寶莊嚴具，華鬘塗香，鼓樂眾伎，	服 亦 得 一 切 寶 莊 嚴 具 華 鬘 塗 香 鼓 樂 眾 伎 
T14n0450_001:0405b26	隨心所翫，皆令滿足。	隨 心 所 翫 皆 令 滿 足 
T14n0450_001:0405b27	「曼殊室利！是為彼世尊藥師琉璃光如來、應、	 曼 殊 室 利 是 為 彼 世 尊 藥師琉璃光 如 來 應 
T14n0450_001:0405b28	正等覺，行菩薩道時，所發十二微妙上願。	正 等 覺 行菩薩道 時 所 發 十 二 微 妙 上 願 
T14n0450_001:0405b29	「復次，曼殊室利！彼世尊藥師琉璃光如來，行	 復 次 曼 殊 室 利 彼 世 尊 藥師琉璃光 如 來 行 
T14n0450_001:0405c01	菩薩道時所發大願，及彼佛土功德莊嚴，我	菩 薩 道 時 所 發 大 願 及 彼 佛 土 功德莊嚴 我 
T14n0450_001:0405c02	若一劫，若一劫餘，說不能盡。然彼佛土，一向	若 一 劫 若 一 劫 餘 說 不 能 盡 然 彼 佛 土 一 向 
T14n0450_001:0405c03	清淨，無有女人，亦無惡趣，及苦音聲。琉璃	清 淨 無 有 女 人 亦 無 惡 趣 及 苦 音 聲 琉 璃 
T14n0450_001:0405c04	為地，金繩界道，城、闕、宮、閣、軒、窓、羅網，皆七寶	為 地 金 繩 界 道 城 闕 宮 閣 軒 窓 羅 網 皆 七 寶 
T14n0450_001:0405c05	成。亦如西方極樂世界，功德莊嚴，等無差	成 亦 如 西方極樂 世 界 功德莊嚴 等 無 差 
T14n0450_001:0405c06	別。於其國中，有二菩薩摩訶薩：一名日光	別 於 其 國 中 有 二 菩薩摩訶薩 一 名 日 光 
T14n0450_001:0405c07	遍照，二名月光遍照，是彼無量無數菩薩眾	遍 照 二 名 月 光 遍 照 是 彼 無量無數 菩 薩 眾 
T14n0450_001:0405c08	之上首，悉能持彼世尊藥師琉璃光如來正	之 上 首 悉 能 持 彼 世 尊 藥師琉璃光 如 來 正 
T14n0450_001:0405c09	法寶藏。是故，曼殊室利！諸有信心善男子、善	法 寶 藏 是 故 曼 殊 室 利 諸 有 信 心 善 男 子 善 
T14n0450_001:0405c10	女人等，應當願生彼佛世界。」	女 人 等 應 當 願 生 彼 佛 世 界 
T14n0450_001:0405c11	爾時，世尊復告曼殊室利童子言：「曼殊室利！	爾 時 世 尊 復 告 曼 殊 室 利 童 子 言 曼 殊 室 利 
T14n0450_001:0405c12	有諸眾生，不識善惡，唯懷貪悋，不知布	有 諸 眾 生 不 識 善 惡 唯 懷 貪 悋 不 知 布 
T14n0450_001:0405c13	施及施果報，愚癡無智，闕於信根，多聚財	施 及 施 果 報 愚 癡 無 智 闕 於 信 根 多 聚 財 
T14n0450_001:0405c14	寶，勤加守護；見乞者來，其心不喜，設不獲	寶 勤加守護 見 乞 者 來 其 心 不 喜 設 不 獲 
T14n0450_001:0405c15	已而行施時，如割身肉，深生痛惜。復有	已 而 行 施 時 如 割 身 肉 深 生 痛 惜 復 有 
T14n0450_001:0405c16	無量慳貪有情，積集資財，於其自身尚	無 量 慳 貪 有 情 積 集 資 財 於 其 自 身 尚 
T14n0450_001:0405c17	不受用，何況能與父母、妻子、奴婢、作使，及來	不 受 用 何 況 能 與 父 母 妻 子 奴 婢 作 使 及 來 
T14n0450_001:0405c18	乞者？彼諸有情，從此命終，生餓鬼界，或傍	乞 者 彼 諸 有 情 從 此 命 終 生 餓 鬼 界 或 傍 
T14n0450_001:0405c19	生趣。由昔人間，曾得暫聞藥師琉璃光如來	生 趣 由 昔 人 間 曾 得 暫 聞 藥師琉璃光 如 來 
T14n0450_001:0405c20	名故，今在惡趣，暫得憶念彼如來名，即	名 故 今 在 惡 趣 暫 得 憶 念 彼 如 來 名 即 
T14n0450_001:0405c21	於念時，從彼處沒，還生人中，得宿命念，	於 念 時 從 彼 處 沒 還 生 人 中 得 宿 命 念 
T14n0450_001:0405c22	畏惡趣苦，不樂欲樂，好行惠施，讚歎施	畏 惡 趣 苦 不 樂 欲 樂 好 行 惠 施 讚 歎 施 
T14n0450_001:0405c23	者，一切所有悉無貪惜，漸次尚能以頭目手	者 一 切 所 有 悉 無 貪 惜 漸 次 尚 能 以 頭 目 手 
T14n0450_001:0405c24	足，血肉身分，施來求者，況餘財物。	足 血 肉 身 分 施 來 求 者 況 餘 財 物 
T14n0450_001:0405c25	「復次，曼殊室利，若諸有情，雖於如來受諸	 復 次 曼 殊 室 利 若 諸 有 情 雖 於 如 來 受 諸 
T14n0450_001:0405c26	學處，而破尸羅；有雖不破尸羅，而破軌	學 處 而 破 尸 羅 有 雖 不 破 尸 羅 而 破 軌 
T14n0450_001:0405c27	則；有於尸羅、軌則，雖得不壞，然毀正見；	則 有 於 尸 羅 軌 則 雖 得 不 壞 然 毀 正 見 
T14n0450_001:0405c28	有雖不毀正見，而棄多聞，於佛所說契	有 雖 不 毀 正 見 而 棄 多 聞 於 佛 所 說 契 
T14n0450_001:0405c29	經深義不能解了；有雖多聞而增上慢，	經 深 義 不 能 解 了 有 雖 多 聞 而 增 上 慢 
T14n0450_001:0406a01	由增上慢覆蔽心故，自是非他，嫌謗正法，	由 增 上 慢 覆 蔽 心 故 自 是 非 他 嫌 謗 正 法 
T14n0450_001:0406a02	為魔伴黨。如是愚人，自行邪見，復令無量	為 魔 伴 黨 如 是 愚 人 自 行 邪 見 復 令 無 量 
T14n0450_001:0406a03	俱胝有情，墮大險坑。此諸有情，應於地獄、	俱 胝 有 情 墮 大 險 坑 此 諸 有 情 應 於 地 獄 
T14n0450_001:0406a04	傍生、鬼趣，流轉無窮。若得聞此藥師琉璃	傍 生 鬼 趣 流 轉 無 窮 若 得 聞 此 藥 師 琉 璃 
T14n0450_001:0406a05	光如來名號，便捨惡行，修諸善法，不墮惡	光 如 來 名 號 便 捨 惡 行 修 諸 善 法 不 墮 惡 
T14n0450_001:0406a06	趣，設有不能捨諸惡行，修行善法，墮惡	趣 設 有 不 能 捨 諸 惡 行 修 行 善 法 墮 惡 
T14n0450_001:0406a07	趣者，以彼如來本願威力，令其現前暫聞	趣 者 以 彼 如 來 本 願 威 力 令 其 現 前 暫 聞 
T14n0450_001:0406a08	名號，從彼命終還生人趣，得正見精進，善	名 號 從 彼 命 終 還 生 人 趣 得 正 見 精 進 善 
T14n0450_001:0406a09	調意樂，便能捨家趣於非家，如來法中，受	調 意 樂 便 能 捨 家 趣 於 非 家 如 來 法 中 受 
T14n0450_001:0406a10	持學處，無有毀犯；正見多聞，解甚深義，離	持 學 處 無 有 毀 犯 正 見 多 聞 解 甚 深 義 離 
T14n0450_001:0406a11	增上慢，不謗正法，不為魔伴，漸次修行	增 上 慢 不 謗 正 法 不 為 魔 伴 漸 次 修 行 
T14n0450_001:0406a12	諸菩薩行，速得圓滿。	諸 菩 薩 行 速 得 圓 滿 
T14n0450_001:0406a13	「復次，曼殊室利！若諸有情，慳貪嫉妬，自讚毀	 復 次 曼 殊 室 利 若 諸 有 情 慳 貪 嫉 妬 自 讚 毀 
T14n0450_001:0406a14	他，當墮三惡趣中，無量千歲受諸劇苦；受	他 當 墮 三 惡 趣 中 無 量 千 歲 受 諸 劇 苦 受 
T14n0450_001:0406a15	劇苦已，從彼命終，來生人間，作牛、馬、駝、驢，	劇 苦 已 從 彼 命 終 來 生 人 間 作 牛 馬 駝 驢 
T14n0450_001:0406a16	恒被鞭撻，飢渴逼惱；又常負重，隨路而行。	恒 被 鞭 撻 飢 渴 逼 惱 又 常 負 重 隨 路 而 行 
T14n0450_001:0406a17	或得為人，生居下賤，作人奴婢，受他驅	或 得 為 人 生 居 下 賤 作 人 奴 婢 受 他 驅 
T14n0450_001:0406a18	役，恒不自在。若昔人中，曾聞世尊藥師琉	役 恒 不 自 在 若 昔 人 中 曾 聞 世 尊 藥 師 琉 
T14n0450_001:0406a19	璃光如來名號，由此善因，今復憶念，至心	璃 光 如 來 名 號 由 此 善 因 今 復 憶 念 至 心 
T14n0450_001:0406a20	歸依。以佛神力，眾苦解脫，諸根聰利，智慧多	歸 依 以佛神力 眾 苦 解 脫 諸 根 聰 利 智 慧 多 
T14n0450_001:0406a21	聞，恒求勝法，常遇善友，永斷魔羂，破無明	聞 恒 求 勝 法 常 遇 善 友 永 斷 魔 羂 破 無 明 
T14n0450_001:0406a22	[穀禾+卵]，竭煩惱河，解脫一切生、老、病、死，憂悲、苦	[穀禾卵] 竭 煩 惱 河 解 脫 一 切 生 老 病 死 憂 悲 苦 
T14n0450_001:0406a23	惱。	惱 
T14n0450_001:0406a24	「復次，曼殊室利！若諸有情，好憙乖離，更相鬪	 復 次 曼 殊 室 利 若 諸 有 情 好 憙 乖 離 更 相 鬪 
T14n0450_001:0406a25	訟，惱亂自他，以身語意，造作增長種種惡	訟 惱 亂 自 他 以 身 語 意 造 作 增 長 種 種 惡 
T14n0450_001:0406a26	業，展轉常為不饒益事，互相謀害。告召山	業 展 轉 常 為 不饒益事 互 相 謀 害 告 召 山 
T14n0450_001:0406a27	林樹塚等神；殺諸眾生，取其血肉，祭祀藥	林 樹 塚 等 神 殺 諸 眾 生 取 其 血 肉 祭 祀 藥 
T14n0450_001:0406a28	叉羅剎娑等；書怨人名，作其形像，以惡	叉 羅 剎 娑 等 書 怨 人 名 作 其 形 像 以 惡 
T14n0450_001:0406a29	呪術而呪詛之；厭媚蠱道，呪起屍鬼，令斷	呪 術 而 呪 詛 之 厭 媚 蠱 道 呪 起 屍 鬼 令 斷 
T14n0450_001:0406b01	彼命，及壞其身。是諸有情，若得聞此藥師	彼 命 及 壞 其 身 是 諸 有 情 若 得 聞 此 藥 師 
T14n0450_001:0406b02	琉璃光如來名號，彼諸惡事，悉不能害。一切	琉 璃 光 如 來 名 號 彼 諸 惡 事 悉 不 能 害 一 切 
T14n0450_001:0406b03	展轉皆起慈心，利益安樂，無損惱意及嫌恨	展 轉 皆 起 慈 心 利益安樂 無 損 惱 意 及 嫌 恨 
T14n0450_001:0406b04	心；各各歡悅，於自所受生於喜足，不相侵	心 各 各 歡 悅 於 自 所 受 生 於 喜 足 不 相 侵 
T14n0450_001:0406b05	凌，互為饒益。	凌 互 為 饒 益 
T14n0450_001:0406b06	「復次，曼殊室利！若有四眾：苾芻、苾芻尼、鄔波	 復 次 曼 殊 室 利 若 有 四 眾 苾 芻 苾 芻 尼 鄔 波 
T14n0450_001:0406b07	索迦、鄔波斯迦，及餘淨信善男子、善女人等，	索 迦 鄔波斯迦 及 餘 淨 信 善 男 子 善 女 人 等 
T14n0450_001:0406b08	有能受持八分齋戒，或經一年，或復三月，	有 能 受 持 八 分 齋 戒 或 經 一 年 或 復 三 月 
T14n0450_001:0406b09	受持學處，以此善根，願生西方極樂世界	受 持 學 處 以 此 善 根 願 生 西方極樂 世 界 
T14n0450_001:0406b10	無量壽佛所，聽聞正法，而未定者。若聞世	無 量 壽 佛 所 聽聞正法 而 未 定 者 若 聞 世 
T14n0450_001:0406b11	尊藥師琉璃光如來名號，臨命終時，有八	尊 藥師琉璃光 如 來 名 號 臨命終時 有 八 
T14n0450_001:0406b12	菩薩，乘神通來，示其道路，即於彼界	菩 薩 乘 神 通 來 示 其 道 路 即 於 彼 界 
T14n0450_001:0406b13	種種雜色眾寶華中，自然化生。或有因此	種 種 雜 色 眾 寶 華 中 自然化生 或 有 因 此 
T14n0450_001:0406b14	生於天上，雖生天中，而本善根亦未窮盡，	生 於 天 上 雖 生 天 中 而 本 善 根 亦 未 窮 盡 
T14n0450_001:0406b15	不復更生諸餘惡趣。天上壽盡，還生人間，	不復更生 諸 餘 惡 趣 天 上 壽 盡 還 生 人 間 
T14n0450_001:0406b16	或為輪王，統攝四洲，威德自在，安立無量	或 為 輪 王 統 攝 四 洲 威德自在 安 立 無 量 
T14n0450_001:0406b17	百千有情於十善道；或生剎帝利、婆羅門、居	百 千 有 情 於 十 善 道 或 生 剎 帝 利 婆 羅 門 居 
T14n0450_001:0406b18	士大家，多饒財寶，倉庫盈溢，形相端嚴，眷屬	士 大 家 多 饒 財 寶 倉 庫 盈 溢 形 相 端 嚴 眷 屬 
T14n0450_001:0406b19	具足，聰明智慧，勇健威猛，如大力士。若是女	具 足 聰 明 智 慧 勇 健 威 猛 如 大 力 士 若 是 女 
T14n0450_001:0406b20	人，得聞世尊藥師如來名號，至心受持，於	人 得 聞 世 尊 藥 師 如 來 名 號 至 心 受 持 於 
T14n0450_001:0406b21	後不復更受女身。」	後 不 復 更 受 女 身 
T14n0450_001:0406b22	爾時，曼殊室利童子白佛言：「世尊！我當誓	爾 時 曼 殊 室 利 童 子 白 佛 言 世 尊 我 當 誓 
T14n0450_001:0406b23	於像法轉時，以種種方便，令諸淨信善男	於 像 法 轉 時 以 種 種 方 便 令 諸 淨 信 善 男 
T14n0450_001:0406b24	子、善女人等，得聞世尊藥師琉璃光如來名	子 善 女 人 等 得 聞 世 尊 藥師琉璃光 如 來 名 
T14n0450_001:0406b25	號，乃至睡中亦以佛名覺悟其耳。世尊！若	號 乃 至 睡 中 亦 以 佛 名 覺 悟 其 耳 世 尊 若 
T14n0450_001:0406b26	於此經受持讀誦，或復為他演說開示；若	於 此 經 受持讀誦 或 復 為 他 演 說 開 示 若 
T14n0450_001:0406b27	自書，若教人書；恭敬尊重，以種種花香、塗	自 書 若 教 人 書 恭 敬 尊 重 以 種 種 花 香 塗 
T14n0450_001:0406b28	香、末香、燒香、花鬘、瓔珞、幡蓋、伎樂，而為供養；	香 末 香 燒 香 花 鬘 瓔 珞 幡 蓋 伎 樂 而 為 供 養 
T14n0450_001:0406b29	以五色綵，作囊盛之；掃灑淨處，敷設高座，	以 五 色 綵 作 囊 盛 之 掃 灑 淨 處 敷 設 高 座 
T14n0450_001:0406c01	而用安處。爾時，四大天王與其眷屬，及餘無	而 用 安 處 爾 時 四大天王 與 其 眷 屬 及 餘 無 
T14n0450_001:0406c02	量百千天眾，皆詣其所，供養守護。世尊！若此	量 百 千 天 眾 皆 詣 其 所 供 養 守 護 世 尊 若 此 
T14n0450_001:0406c03	經寶流行之處，有能受持，以彼世尊藥師琉	經 寶 流 行 之 處 有 能 受 持 以 彼 世 尊 藥 師 琉 
T14n0450_001:0406c04	璃光如來本願功德，及聞名號，當知是處無	璃 光 如 來 本 願 功 德 及 聞 名 號 當 知 是 處 無 
T14n0450_001:0406c05	復橫死；亦復不為諸惡鬼神，奪其精氣；設	復 橫 死 亦 復 不 為 諸 惡 鬼 神 奪其精氣 設 
T14n0450_001:0406c06	已奪者，還得如故，身心安樂。」	已 奪 者 還 得 如 故 身 心 安 樂 
T14n0450_001:0406c07	佛告曼殊室利：「如是！如是！如汝所說。曼殊	佛 告 曼 殊 室 利 如 是 如 是 如 汝 所 說 曼 殊 
T14n0450_001:0406c08	室利！若有淨信善男子、善女人等，欲供養	室 利 若 有 淨 信 善 男 子 善 女 人 等 欲 供 養 
T14n0450_001:0406c09	彼世尊藥師琉璃光如來者，應先造立彼佛	彼 世 尊 藥師琉璃光 如 來 者 應 先 造 立 彼 佛 
T14n0450_001:0406c10	形像，敷清淨座而安處之；散種種花，燒種	形 像 敷 清 淨 座 而 安 處 之 散 種 種 花 燒 種 
T14n0450_001:0406c11	種香，以種種幢幡莊嚴其處；七日七夜，受	種 香 以 種 種 幢 幡 莊 嚴 其 處 七日七夜 受 
T14n0450_001:0406c12	持八分齋戒，食清淨食，澡浴香潔，著新淨	持 八 分 齋 戒 食 清 淨 食 澡 浴 香 潔 著 新 淨 
T14n0450_001:0406c13	衣，應生無垢濁心，無怒害心，於一切有情，	衣 應 生 無 垢 濁 心 無 怒 害 心 於 一切有情 
T14n0450_001:0406c14	起利益安樂，慈、悲、喜、捨，平等之心，鼓樂歌讚，	起 利益安樂 慈 悲 喜 捨 平 等 之 心 鼓 樂 歌 讚 
T14n0450_001:0406c15	右繞佛像。復應念彼如來本願功德，讀誦	右 繞 佛 像 復 應 念 彼 如 來 本 願 功 德 讀 誦 
T14n0450_001:0406c16	此經，思惟其義，演說開示。隨所樂願，一	此 經 思 惟 其 義 演 說 開 示 隨 所 樂 願 一 
T14n0450_001:0406c17	切皆遂：求長壽得長壽，求富饒得富饒，	切 皆 遂 求 長 壽 得 長 壽 求 富 饒 得 富 饒 
T14n0450_001:0406c18	求官位得官位，求男女得男女。若復有	求 官 位 得 官 位 求 男 女 得 男 女 若 復 有 
T14n0450_001:0406c19	人，忽得惡夢，見諸惡相，或怪鳥來集，或於	人 忽 得 惡 夢 見 諸 惡 相 或 怪 鳥 來 集 或 於 
T14n0450_001:0406c20	住處，百怪出現；此人若以眾妙資具，恭敬	住 處 百 怪 出 現 此 人 若 以 眾 妙 資 具 恭 敬 
T14n0450_001:0407a01	供養彼世尊藥師琉璃光如來者，惡夢惡相，	供 養 彼 世 尊 藥師琉璃光 如 來 者 惡 夢 惡 相 
T14n0450_001:0407a02	諸不吉祥，皆悉隱沒，不能為患。或有水、火、	諸 不 吉 祥 皆 悉 隱 沒 不 能 為 患 或 有 水 火 
T14n0450_001:0407a03	刀、毒、懸嶮、惡象、師子、虎、狼、熊、羆、毒蛇、惡蠍、蜈蚣、	刀 毒 懸 嶮 惡 象 師 子 虎 狼 熊 羆 毒 蛇 惡 蠍 蜈 蚣 
T14n0450_001:0407a04	蚰蜒、蚊虻等怖；若能至心憶念彼佛，恭敬	蚰 蜒 蚊 虻 等 怖 若 能 至 心 憶 念 彼 佛 恭 敬 
T14n0450_001:0407a05	供養，一切怖畏皆得解脫。若他國侵擾，盜賊	供 養 一 切 怖 畏 皆 得 解 脫 若 他 國 侵 擾 盜 賊 
