T85n2789_001:0644c17	律戒本疏	律 戒 本 疏 
T85n2789_001:0645a18	人邊國人不相解　□□□□□□□□□□	人 邊 國 人 不 相 解 
T85n2789_001:0645a19	□□□□□□□□靜想靜作不靜想者實	 靜 想 靜 作 不 靜 想 者 實 
T85n2789_001:0645a20	足　□□□□□□□□□□□□□□□□	足 
T85n2789_001:0645a21	□□瘂者雖復解語不能出言□□□□□	 瘂 者 雖 復 解 語 不 能 出 言 
T85n2789_001:0645a22	□□□□□□□□□□□□□　初訖至非	 初 訖 至 非 
T85n2789_001:0645a23	裸種子以來明直□□□□□□□□□□□	裸 種 子 以 來 明 直 
T85n2789_001:0645a24	□□□□□□□兩相捨。第三從若復作餘	 兩 相 捨 第 三 從 若 復 作 餘 
T85n2789_001:0645a25	語以下訖至是名已來。明毀呰三寶捨就直	語 以 下 訖 至 是 名 已 來 明 毀 呰 三 寶 捨 就 直 
T85n2789_001:0645a26	□□□□□□□□□□□□□□□□□□	 
T85n2789_001:0645a27	厭道。第一從貧樂在家□□□□□□□□	厭 道 第 一 從 貧 樂 在 家 
T85n2789_001:0645a28	□□□□□□□□□□如足語以下訖未正	 如 足 語 以 下 訖 未 正 
T85n2789_001:0645b01	明捨戒□□□□□□□□□□□□□	明 捨 戒 
T85n2789_001:0645b02	□□□□□以下訖畜生界二處亦如是□	 以 下 訖 畜 生 界 二 處 亦 如 是 
T85n2789_001:0645b03	□□□□□□□□□□□□□□□□□	 
T85n2789_001:0645b04	　廣說乃至男子亦如是已來　□□□□□□	 廣說乃至 男 子 亦 如 是 已 來 
T85n2789_001:0645b05	□□□□□□□□□□□□有隔無隔亦如	 有 隔 無 隔 亦 如 
T85n2789_001:0645b06	是已來□□□□□□□□□□□□□□□	是 已 來 
T85n2789_001:0645b07	□□□未明結罪輕重就如之	 未 明 結 罪 輕 重 就 如 之 
T85n2789_001:0645b08	□□□□□□□□□□□□□　境界中有	 境 界 中 有 
T85n2789_001:0645b09	四子句。第一明總列三趣為境。第二從復有	四 子 句 第 一 明 總 列 三 趣 為 境 第 二 從 復 有 
T85n2789_001:0645b10	五種以下。訖於此五處行不淨行得波羅夷	五 種 以 下 訖 於 此 五 處 行 不 淨 行 得 波 羅 夷 
T85n2789_001:0645b11	已來。明一趣中有五者。第三從復有五種以	已 來 明 一 趣 中 有 五 者 第 三 從 復 有 五 種 以 
T85n2789_001:0645b12	下。訖於於三種婦以下訖三種男子。於此行	下 訖 於 於 三 種 婦 以 下 訖 三 種 男 子 於 此 行 
T85n2789_001:0645b13	不淨行波羅夷亦如是已來。明其并列。第四	不 淨 行 波 羅 夷 亦 如 是 已 來 明 其 并 列 第 四 
T85n2789_001:0645b14	從犯人婦三處已下。訖畜生男二處亦如是	從 犯 人 婦 三 處 已 下 訖 畜 生 男 二 處 亦 如 是 
T85n2789_001:0645b15	已來。明行非處所就自造境。行非中有六百	已 來 明 行 非 處 所 就 自 造 境 行 非 中 有 六 百 
T85n2789_001:0645b16	二十四句。人婦非人婦畜生婦。人同女非	二 十 四 句 人 婦 非 人 婦 畜 生 婦 人 同 女 非 
T85n2789_001:0645b17	人同女畜生同女。人二形非人二形畜生二	人 同 女 畜 生 同 女 人 二 形 非 人 二 形 畜 生 二 
T85n2789_001:0645b18	形。一箇有三創門。一創門中有裏隔四句。三	形 一 箇 有 三 創 門 一 創 門 中 有 裏 隔 四 句 三 
T85n2789_001:0645b19	創門三四十二。九箇上九箇十二句。計合一	創 門 三 四 十 二 九 箇 上 九 箇 十 二 句 計 合 一 
T85n2789_001:0645b20	百八句。人黃門非人黃門畜生黃門。人男子	百 八 句 人 黃 門 非 人 黃 門 畜 生 黃 門 人 男 子 
T85n2789_001:0645b21	非人男子。人黃門上有二創門。一創門中有	非 人 男 子 人 黃 門 上 有 二 創 門 一 創 門 中 有 
T85n2789_001:0645b22	裏隔四句。二創門中有八句。便有六箇八句。	裏 隔 四 句 二 創 門 中 有 八 句 便 有 六 箇 八 句 
T85n2789_001:0645b23	合有四十八句。計前一百八句。都合有一百	合 有 四 十 八 句 計 前 一 百 八 句 都 合 有 一 百 
T85n2789_001:0645b24	五十六句。覺中有一百五十六。眠中有一百	五 十 六 句 覺 中 有 一 百 五 十 六 眠 中 有 一 百 
T85n2789_001:0645b25	五十六。始死一百五十六。多分未壞。一有	五 十 六 始 死 一 百 五 十 六 多 分 未 壞 一 有 
T85n2789_001:0645b26	一百五十六。都合計有六百二十四句　就	一 百 五 十 六 都 合 計 有 六 百 二 十 四 句 就 
T85n2789_001:0645b27	怨家強逼中。從人婦乃至畜生二形一者。一	怨 家 強 逼 中 從 人 婦 乃 至 畜 生 二 形 一 者 一 
T85n2789_001:0645b28	者九。一者上有三創門。一創門中有三時受	者 九 一 者 上 有 三 創 門 一 創 門 中 有 三 時 受 
T85n2789_001:0645b29	樂七句。三創門三七二十一句。一句上有裏	樂 七 句 三 創 門 三 七 二 十 一 句 一 句 上 有 裏 
T85n2789_001:0645c01	隔四句。合有八十四句。一者有八十四句　九	隔 四 句 合 有 八 十 四 句 一 者 有 八 十 四 句 九 
T85n2789_001:0645c02	者有九箇八十四句。八九七十二。即是七百	者 有 九 箇 八 十 四 句 八 九 七 十 二 即 是 七 百 
T85n2789_001:0645c03	二十句。四九三十六句。合計七百五十六句。	二 十 句 四 九 三 十 六 句 合 計 七 百 五 十 六 句 
T85n2789_001:0645c04	人黃門乃至畜生黃門合有六者。一者上有	人 黃 門 乃 至 畜 生 黃 門 合 有 六 者 一 者 上 有 
T85n2789_001:0645c05	二創門。一創中有三時受樂不樂七句。二創	二 創 門 一 創 中 有 三 時 受 樂 不 樂 七 句 二 創 
T85n2789_001:0645c06	門有二七十四句。一句上有裏隔四句。合有	門 有 二 七 十 四 句 一 句 上 有 裏 隔 四 句 合 有 
T85n2789_001:0645c07	十六句。六者者有五十六句。五六三十六。合	十 六 句 六 者 者 有 五 十 六 句 五 六 三 十 六 合 
T85n2789_001:0645c08	有三百三十六句。三根二根合計有一千九	有 三 百 三 十 六 句 三 根 二 根 合 計 有 一 千 九 
T85n2789_001:0645c09	十二句。覺中有一千九十二。眠中有一千	十 二 句 覺 中 有 一 千 九 十 二 眠 中 有 一 千 
T85n2789_001:0645c10	九十二。始死多分未壞。各有一千九十二句。	九 十 二 始 死 多 分 未 壞 各 有 一 千 九 十 二 句 
T85n2789_001:0645c11	都合有四千三百六十八句。怨家自捉比丘	都 合 有 四 千 三 百 六 十 八 句 怨 家 自 捉 比 丘 
T85n2789_001:0645c12	作境。比丘有二創門。一創門中有三時樂不	作 境 比 丘 有 二 創 門 一 創 門 中 有 三 時 樂 不 
T85n2789_001:0645c13	樂七句。二七十四句。一句上有裏隔四句。合	樂 七 句 二 七 十 四 句 一 句 上 有 裏 隔 四 句 合 
T85n2789_001:0645c14	有五十六句。怨家強逼中都合有四千四百	有 五 十 六 句 怨 家 強 逼 中 都 合 有 四 千 四 百 
T85n2789_001:0645c15	二十四句。就結罪中。或有究竟方便。或有	二 十 四 句 就 結 罪 中 或 有 究竟方便 或 有 
T85n2789_001:0645c16	輕重不同。如人內有愛染發。彼調慧思心欲	輕 重 不 同 如 人 內 有 愛 染 發 彼 調 慧 思 心 欲 
T85n2789_001:0645c17	犯美色動威儀。未離本處。若緣差心止。即以	犯 美 色 動 威 儀 未 離 本 處 若 緣 差 心 止 即 以 
T85n2789_001:0645c18	此思成方便突吉羅。對手三悔。若心不息離	此 思 成 方 便 突 吉 羅 對 手 三 悔 若 心 不 息 離 
T85n2789_001:0645c19	本處。至彼身手相捉以來。若緣差心差攬前	本 處 至 彼 身 手 相 捉 以 來 若 緣 差 心 差 攬 前 
T85n2789_001:0645c20	突吉羅。成方便輕偷蘭。小眾中悔。若復心	突 吉 羅 成 方 便 輕 偷 蘭 小 眾 中 悔 若 復 心 
T85n2789_001:0645c21	未止。男女二形相觸未入身內。若還息心犯	未 止 男 女 二 形 相 觸 未 入 身 內 若 還 息 心 犯 
T85n2789_001:0645c22	方便重偷蘭。界內大眾中悔。若復心不息。二	方 便 重 偷 蘭 界 內 大 眾 中 悔 若 復 心 不 息 二 
T85n2789_001:0645c23	形相偏攬前輕重偷蘭。業思成一究竟重罪。	形 相 偏 攬 前 輕 重 偷 蘭 業 思 成 一 究 竟 重 罪 
T85n2789_001:0645c24	更無所趣。稱為究竟。為他作因。稱為方便。	更 無 所 趣 稱 為 究 竟 為 他 作 因 稱 為 方 便 
T85n2789_001:0645c25	若非道道想。若疑。此二犯方便偷蘭。小眾中	若 非 道 道 想 若 疑 此 二 犯 方 便 偷 蘭 小 眾 中 
T85n2789_001:0645c26	悔。若死屍半壞以下乃至骨間。若耳鼻乃軍	悔 若 死 屍 半 壞 以 下 乃 至 骨 間 若 耳 鼻 乃 軍 
T85n2789_001:0645c27	持口中。若假作道想。犯究竟輕偷蘭。若心謂	持 口 中 若 假 作 道 想 犯 究 竟 輕 偷 蘭 若 心 謂 
T85n2789_001:0645c28	是實境。若疑是實境。犯方便輕偷蘭。七聚	是 實 境 若 疑 是 實 境 犯 方 便 輕 偷 蘭 七 聚 
T85n2789_001:0645c29	中偷蘭突吉羅。此二名通究竟方便但偷。雖	中 偷 蘭 突 吉 羅 此 二 名 通 究竟方便 但 偷 雖 
T85n2789_001:0646a01	方便正與初二遍作因不還。與究竟偷蘭作	方 便 正 與 初 二 遍 作 因 不 還 與 究 竟 偷 蘭 作 
T85n2789_001:0646a02	因。以因果名同故耳。偷蘭遮因悉是突吉羅。	因 以 因 果 名 同 故 耳 偷 蘭 遮 因 悉 是 突 吉 羅 
T85n2789_001:0646a03	何以得知。偷蘭遮不相成。第二遍四諫一戒。	何 以 得 知 偷 蘭 遮 不 相 成 第 二 遍 四 諫 一 戒 
T85n2789_001:0646a04	一白二羯磨竟捨者。數三偷蘭遮懺。更不說	一 白二羯磨 竟 捨 者 數 三 偷 蘭 遮 懺 更 不 說 
T85n2789_001:0646a05	有突吉羅列須懺。若作白未竟捨者。言有	有 突 吉 羅 列 須 懺 若 作 白 未 竟 捨 者 言 有 
T85n2789_001:0646a06	突吉羅須懺。以是驗知。成偷蘭時無突吉羅	突 吉 羅 須 懺 以 是 驗 知 成 偷 蘭 時 無 突 吉 羅 
T85n2789_001:0646a07	可懺。故知相成作白二羯磨竟捨者。數三偷	可 懺 故 知 相 成 作 白二羯磨 竟 捨 者 數 三 偷 
T85n2789_001:0646a08	蘭遮懺。故知偷蘭遮不相成也。突吉羅一名	蘭 遮 懺 故 知 偷 蘭 遮 不 相 成 也 突 吉 羅 一 名 
T85n2789_001:0646a09	亦通因果。何故攬因成果突吉。是極下罪。自	亦 通 因 果 何 故 攬 因 成 果 突 吉 是 極 下 罪 自 
T85n2789_001:0646a10	下更無異罪名。是故得攬因成果不犯。以下	下 更 無 異 罪 名 是 故 得 攬 因 成 果 不 犯 以 下 
T85n2789_001:0646a11	第五開通不犯。婬戒有此五段文。自餘下一	第 五 開 通 不 犯 婬 戒 有 此 五 段 文 自 餘 下 一 
T85n2789_001:0646a12	切戒皆有此五段文。	切 戒 皆 有 此 五 段 文 
T85n2789_001:0646a13	盜戒第二　律二。劫奪盜禍不與取。此三名	盜 戒 第 二 律 二 劫 奪 盜 禍 不 與 取 此 三 名 
T85n2789_001:0646a14	者劫以強奪為名。盜竊畏覺之稱。不與取者	者 劫 以 強 奪 為 名 盜 竊 畏 覺 之 稱 不 與 取 者 
T85n2789_001:0646a15	論主不捨結成上罪也。僧祇云。瞋心壞他物	論 主 不 捨 結 成 上 罪 也 僧 祇 云 瞋 心 壞 他 物 
T85n2789_001:0646a16	得突吉羅。四分得重罪者欲明。僧祇但論始	得 突 吉 羅 四 分 得 重 罪 者 欲 明 僧 祇 但 論 始 
T85n2789_001:0646a17	心故得輕罪。此律論其終處故得重罪。皆是	心 故 得 輕 罪 此 律 論 其 終 處 故 得 重 罪 皆 是 
T85n2789_001:0646a18	二部互明有異若具解釋。二部盡應有兩罪。	二 部 互 明 有 異 若 具 解 釋 二 部 盡 應 有 兩 罪 
T85n2789_001:0646a19	僧祇云。盜三寶物皆得重罪。餘律戒犯偷蘭。	僧 祇 云 盜 三 寶 物 皆 得 重 罪 餘 律 戒 犯 偷 蘭 
T85n2789_001:0646a20	戒犯重罪。所以不同者。意謂。僧祇犯重者。	戒 犯 重 罪 所 以 不 同 者 意 謂 僧 祇 犯 重 者 
T85n2789_001:0646a21	佛法物時於守護人遍得重罪。餘律盜佛法	佛 法 物 時 於 守 護 人 遍 得 重 罪 餘 律 盜 佛 法 
T85n2789_001:0646a22	物犯偷蘭遮者。直論佛法於物無戒所心盜	物 犯 偷 蘭 遮 者 直 論 佛 法 於 物 無 戒 所 心 盜 
T85n2789_001:0646a23	之但得偷蘭。不論守護人邊得罪。若欲廣解	之 但 得 偷 蘭 不 論 守 護 人 邊 得 罪 若 欲 廣 解 
T85n2789_001:0646a24	二部。盡應有兩罪。盜僧物有二重。一四方僧	二 部 盡 應 有 兩 罪 盜 僧 物 有 二 重 一 四 方 僧 
T85n2789_001:0646a25	物　不可分盜滿五錢。諸律盡同皆應犯兩重	物 不 可 分 盜 滿 五 錢 諸 律 盡 同 皆 應 犯 兩 重 
T85n2789_001:0646a26	罪。於假名僧邊犯一重。於寺守護人邊復得	罪 於 假 名 僧 邊 犯 一 重 於 寺 守 護 人 邊 復 得 
T85n2789_001:0646a27	一重罪。若盜現前僧物亦犯兩罪。但於守護	一 重 罪 若 盜 現前僧物 亦 犯 兩 罪 但 於 守 護 
T85n2789_001:0646a28	人邊滿五錢得一重罪。既云現前所分物。計	人 邊 滿 五 錢 得 一 重 罪 既 云 現 前 所 分 物 計 
T85n2789_001:0646a29	一人難滿復得一偷蘭。盜戒亦有五段文。第	一 人 難 滿 復 得 一 偷 蘭 盜 戒 亦 有 五 段 文 第 
T85n2789_001:0646b01	一從初訖正法久住已來。明起過因緣。第二	一 從 初 訖 正法久住 已 來 明 起 過 因 緣 第 二 
T85n2789_001:0646b02	從欲說戒者以下訖不共住已來。明正制戒	從 欲 說 戒 者 以 下 訖 不 共 住 已 來 明 正 制 戒 
T85n2789_001:0646b03	本。第三從比丘義如上以下訖無主物減五	本 第 三 從 比 丘 義 如 上 以 下 訖 無 主 物 減 五 
T85n2789_001:0646b04	錢已來。明廣解。第四從比丘尼以下訖足謂	錢 已 來 明 廣 解 第 四 從 比 丘 尼 以 下 訖 足 謂 
T85n2789_001:0646b05	為犯已來。正明通結五眾。第五從不犯者以	為 犯 已 來 正 明 通 結 五 眾 第 五 從 不 犯 者 以 
T85n2789_001:0646b06	下訖未明。開通不犯。就因緣中有三子段。第	下 訖 未 明 開 通 不 犯 就 因 緣 中 有 三 子 段 第 
T85n2789_001:0646b07	一從初訖破戒屋持歸已來。明作草屋因緣。	一 從 初 訖 破 戒 屋 持 歸 已 來 明 作 草 屋 因 緣 
T85n2789_001:0646b08	第二從我今自有伎契以下訖正是其宜已	第 二 從 我 今 自 有 伎 契 以 下 訖 正 是 其 宜 已 
T85n2789_001:0646b09	來。明作瓦屋因緣。第三從爾時摩竭國以下	來 明 作 瓦 屋 因 緣 第 三 從 爾 時 摩 竭 國 以 下 
T85n2789_001:0646b10	訖正法久住已來。明盜王財因緣。就第三廣	訖 正法久住 已 來 明 盜 王 財 因 緣 就 第 三 廣 
T85n2789_001:0646b11	解中有二段。第一從初訖不共住者如上說	解 中 有 二 段 第 一 從 初 訖 不 共 住 者 如 上 說 
T85n2789_001:0646b12	已來。明略解戒本。第二從有三種不與取以	已 來 明 略 解 戒 本 第 二 從 有 三 種 不 與 取 以 
T85n2789_001:0646b13	下訖無主物取減五錢已來。廣明不與取。就	下 訖 無 主 物 取 減 五 錢 已 來 廣 明 不 與 取 就 
T85n2789_001:0646b14	第二廣明不與取中有三子段。第一從初訖	第 二 廣 明 不 與 取 中 有 三 子 段 第 一 從 初 訖 
T85n2789_001:0646b15	是為六種取得波羅夷已來。略明不與取。第	是 為 六 種 取 得 波 羅 夷 已 來 略 明 不 與 取 第 
T85n2789_001:0646b16	二從處者以下訖看者我當看道已來。廣逐	二 從 處 者 以 下 訖 看 者 我 當 看 道 已 來 廣 逐 
T85n2789_001:0646b17	事明不與取。第三從方便求過五錢以下訖	事 明 不 與 取 第 三 從 方 便 求 過 五 錢 以 下 訖 
T85n2789_001:0646b18	末。明不與取剋心。就一略明不與取中有三	末 明 不 與 取 剋 心 就 一 略 明 不 與 取 中 有 三 
T85n2789_001:0646b19	子句。第一三句明盜業。第二非己物想三句	子 句 第 一 三 句 明 盜 業 第 二 非 己 物 想 三 句 
T85n2789_001:0646b20	明盜心。第三有三種取。他物他物想已下訖	明 盜 心 第 三 有 三 種 取 他 物 他 物 想 已 下 訖 
T85n2789_001:0646b21	末。明所盜物。他物他物想者。持他寄信物人。	末 明 所 盜 物 他 物 他 物 想 者 持 他 寄 信 物 人 
T85n2789_001:0646b22	即自盜取物屬所寄與人。故曰他物。未想他	即 自 盜 取 物 屬 所 寄 與 人 故 曰 他 物 未 想 他 
T85n2789_001:0646b23	護。他護想者。明賊人劫他得物將度開邏為	護 他 護 想 者 明 賊 人 劫 他 得 物 將 度 開 邏 為 
T85n2789_001:0646b24	功人所逼賊即捨心棄之。本主復作失心。此	功 人 所 逼 賊 即 捨 心 棄 之 本 主 復 作 失 心 此 
T85n2789_001:0646b25	物官人不作己物。故稱為他。而守賞此物故	物 官 人 不 作 己 物 故 稱 為 他 而 守 賞 此 物 故 
T85n2789_001:0646b26	曰他護。比丘若盜此物。但於守護人邊得罪。	曰 他 護 比 丘 若 盜 此 物 但 於 守 護 人 邊 得 罪 
T85n2789_001:0646b27	本主賊人皆作捨心故。爾有主有主想者。此	本 主 賊 人 皆 作 捨 心 故 爾 有 主 有 主 想 者 此 
T85n2789_001:0646b28	汎舉一切財物主之。以物二俱現前。假令物	汎 舉 一 切 財 物 主 之 以 物 二 俱 現 前 假 令 物 
T85n2789_001:0646b29	不現前。主無捨心亦名現前。若盜此物於主	不 現 前 主 無 捨 心 亦 名 現 前 若 盜 此 物 於 主 
T85n2789_001:0646c01	邊得罪。若三寶物即以三寶為主。故得盡為	邊 得 罪 若 三 寶 物 即 以 三 寶 為 主 故 得 盡 為 
T85n2789_001:0646c02	有主。上來列所取物。未成盜罪。但就因說	有 主 上 來 列 所 取 物 未 成 盜 罪 但 就 因 說 
T85n2789_001:0646c03	果也。第三五句以下。正明成盜。增六中但更	果 也 第 三 五 句 以 下 正 明 成 盜 增 六 中 但 更 
T85n2789_001:0646c04	舉初二五句。增一盜心足成其六得成盜罪。	舉 初 二 五 句 增 一 盜 心 足 成 其 六 得 成 盜 罪 
T85n2789_001:0646c05	後三五句以有盜心得成其罪。是故增六中	後 三 五 句 以 有 盜 心 得 成 其 罪 是 故 增 六 中 
T85n2789_001:0646c06	不說。從地處以下。第二明其具足盜之法用。	不 說 從 地 處 以 下 第 二 明 其 具 足 盜 之 法 用 
T85n2789_001:0646c07	初列二十六章門。後還一一解釋。就一章中	初 列 二 十 六 章 門 後 還 一 一 解 釋 就 一 章 中 
T85n2789_001:0646c08	皆有七句。一明其處。二列其物。三明主。四	皆 有 七 句 一 明 其 處 二 列 其 物 三 明 主 四 
T85n2789_001:0646c09	明盜心。五明盜物滿足。六明盜物方法。七明	明 盜 心 五 明 盜 物 滿 足 六 明 盜 物 方 法 七 明 
T85n2789_001:0646c10	結罪。一章有此七句。餘下章亦然。從方便求	結 罪 一 章 有 此 七 句 餘 下 章 亦 然 從 方 便 求 
T85n2789_001:0646c11	過五錢以下。第三要心取物。多就中有三十	過 五 錢 以 下 第 三 要 心 取 物 多 就 中 有 三 十 
T85n2789_001:0646c12	六句。尋文可知。律文云。方便求過五錢者。此	六 句 尋 文 可 知 律 文 云 方 便 求 過 五 錢 者 此 
T85n2789_001:0646c13	明下至得十一錢。若得五錢遂本要心成其	明 下 至 得 十 一 錢 若 得 五 錢 遂 本 要 心 成 其 
T85n2789_001:0646c14	重罪。故有六錢在。便生心取此六錢。是故	重 罪 故 有 六 錢 在 便 生 心 取 此 六 錢 是 故 
T85n2789_001:0646c15	復得重罪。此是得二重罪。若得九錢得一重	復 得 重 罪 此 是 得 二 重 罪 若 得 九 錢 得 一 重 
T85n2789_001:0646c16	罪一偷蘭罪。前五成其重罪。以定後四可足	罪 一 偷 蘭 罪 前 五 成 其 重 罪 以 定 後 四 可 足 
T85n2789_001:0646c17	他成罪。是故後四別得輕罪。若方便求五錢	他 成 罪 是 故 後 四 別 得 輕 罪 若 方 便 求 五 錢 
T85n2789_001:0646c18	過五錢。若不得犯。方便重偷蘭。若得四錢	過 五 錢 若 不 得 犯 方 便 重 偷 蘭 若 得 四 錢 
T85n2789_001:0646c19	不稱本要心。犯方便重偷蘭。得四錢入手邊	不 稱 本 要 心 犯 方 便 重 偷 蘭 得 四 錢 入 手 邊 
T85n2789_001:0646c20	犯究竟重偷蘭。若得三錢已下。犯究竟輕偷	犯 究 竟 重 偷 蘭 若 得 三 錢 已 下 犯 究 竟 輕 偷 
T85n2789_001:0646c21	蘭。文言。方便求減五錢得過五錢。是下至	蘭 文 言 方 便 求 減 五 錢 得 過 五 錢 是 下 至 
T85n2789_001:0646c22	得十錢。前四遂本要心成其輕罪。後六別得	得 十 錢 前 四 遂 本 要 心 成 其 輕 罪 後 六 別 得 
T85n2789_001:0646c23	重罪。若得六錢便是過五。何待十。若得六錢	重 罪 若 得 六 錢 便 是 過 五 何 待 十 若 得 六 錢 
T85n2789_001:0646c24	是其過五。但得二輕罪。不得成重何以知之。	是 其 過 五 但 得 二 輕 罪 不 得 成 重 何 以 知 之 
T85n2789_001:0646c25	尋文驗理。可以情求本要心取四離本處成	尋 文 驗 理 可 以 情 求 本 要 心 取 四 離 本 處 成 
T85n2789_001:0646c26	輕。後二發心取亦成輕。不可前後合成重罪。	輕 後 二 發 心 取 亦 成 輕 不 可 前 後 合 成 重 罪 
T85n2789_001:0646c27	何以故。前後要心事別。是故不得合成。方便	何 以 故 前 後 要 心 事 別 是 故 不 得 合 成 方 便 
T85n2789_001:0646c28	求減五錢得五錢。此是九錢。若廣解同上。若	求 減 五 錢 得 五 錢 此 是 九 錢 若 廣 解 同 上 若 
T85n2789_001:0646c29	剋心盜減五錢。若入手犯究竟偷蘭。若不	剋 心 盜 減 五 錢 若 入 手 犯 究 竟 偷 蘭 若 不 
T85n2789_001:0647a01	得犯方便突吉羅三悔。文言。受教者取五錢。	得 犯 方 便 突 吉 羅 三 悔 文 言 受 教 者 取 五 錢 
T85n2789_001:0647a02	或取異物異處。取物受教者得重。教者得輕	或 取 異 物 異 處 取 物 受 教 者 得 重 教 者 得 輕 
T85n2789_001:0647a03	罪者。欲明取此物。是受教者意非是教人輕	罪 者 欲 明 取 此 物 是 受 教 者 意 非 是 教 人 輕 
T85n2789_001:0647a04	重不同。教者得輕罪。非是所得物邊得物罪	重 不 同 教 者 得 輕 罪 非 是 所 得 物 邊 得 物 罪 
T85n2789_001:0647a05	故。是本發心處得罪。異物者明其物別。異處	故 是 本 發 心 處 得 罪 異 物 者 明 其 物 別 異 處 
T85n2789_001:0647a06	者人別。次下二句彼此不解語。是故互得輕	者 人 別 次 下 二 句 彼 此 不 解 語 是 故 互 得 輕 
T85n2789_001:0647a07	重　問曰。盜物若錯容不犯罪。殺戒雖錯亦	重 問 曰 盜 物 若 錯 容 不 犯 罪 殺 戒 雖 錯 亦 
T85n2789_001:0647a08	犯。何以故不同。答曰。所盜之物容可無主。	犯 何 以 故 不 同 答 曰 所 盜 之 物 容 可 無 主 
T85n2789_001:0647a09	又復若知是錯還可歸主。殺戒不爾。人無	又 復 若 知 是 錯 還 可 歸 主 殺 戒 不 爾 人 無 
T85n2789_001:0647a10	無命知是人。何容有錯。又復命斷知錯更無	無 命 知 是 人 何 容 有 錯 又 復 命 斷 知 錯 更 無 
T85n2789_001:0647a11	活。理容可有誤。欲殺前人箭誤著後人。此可	活 理 容 可 有 誤 欲 殺 前 人 箭 誤 著 後 人 此 可 
T85n2789_001:0647a12	不犯。是故與盜不同　問曰。財主是一。一運	不 犯 是 故 與 盜 不 同 問 曰 財 主 是 一 一 運 
T85n2789_001:0647a13	盜得多錢。犯幾重罪　答曰。得一重罪　問	盜 得 多 錢 犯 幾 重 罪 答 曰 得 一 重 罪 問 
T85n2789_001:0647a14	曰。若爾者一時殺多人亦應犯一罪　答曰。	曰 若 爾 者 一 時 殺 多 人 亦 應 犯 一 罪 答 曰 
T85n2789_001:0647a15	不爾盜本損主。主是其一。殺本斷命。人各是	不 爾 盜 本 損 主 主 是 其 一 殺 本 斷 命 人 各 是 
T85n2789_001:0647a16	別。何得同一。末下八句。前四句滿五錢。後	別 何 得 同 一 末 下 八 句 前 四 句 滿 五 錢 後 
T85n2789_001:0647a17	四句減五錢。狂癡心亂應惱。此四人不犯者。	四 句 減 五 錢 狂 癡 心 亂 應 惱 此 四 人 不 犯 者 
