X25n0473_001:0055a03	釋金剛經	釋 金 剛 經 
X25n0473_001:0055b03	曲剖析。此一分經。雖眾位根器生熟不同。或聞道人	曲 剖 析 此 一 分 經 雖 眾 位 根 器 生 熟 不 同 或 聞 道 人 
X25n0473_001:0055b04	拈提。或有所入。或無所入。解者自今日後。由麤而精。	拈 提 或 有 所 入 或 無 所 入 解 者 自 今 日 後 由 麤 而 精 
X25n0473_001:0055b05	既精則必入神。既能入神。則一切名言。世界．微塵．聖	既 精 則 必 入 神 既 能 入 神 則 一 切 名 言 世 界 微 塵 聖 
X25n0473_001:0055b06	凡．善惡．把柄在自手裏。彼名言安能轉我。未解者。自	凡 善 惡 把 柄 在 自 手 裏 彼 名 言 安 能 轉 我 未 解 者 自 
X25n0473_001:0055b07	今日後。必須要解。始不負堯風中此翻邂逅。且老病	今 日 後 必 須 要 解 始 不 負 堯 風 中 此 翻 邂 逅 且 老 病 
X25n0473_001:0055b08	不與人期。流芳不可把玩。世出世法。各須努力。	不 與 人 期 流 芳 不 可 把 玩 世 出 世 法 各 須 努 力 
X25n0473_001:0055b09	眾生情計。不此即彼。不聖即凡。故曰聖凡情盡。體露	眾 生 情 計 不 此 即 彼 不 聖 即 凡 故 曰 聖 凡 情 盡 體 露 
X25n0473_001:0055b10	真常。今世界可碎。微塵可合。則世界與微塵。未始有	真 常 今 世 界 可 碎 微 塵 可 合 則 世 界 與 微 塵 未 始 有 
X25n0473_001:0055b11	常也。而眾生於未始有常之間。計世界為一。計微塵	常 也 而 眾 生 於 未 始 有 常 之 間 計 世 界 為 一 計 微 塵 
X25n0473_001:0055b12	為多。不一即多。不多即一。酣計而不醒。從無始以來。	為 多 不 一 即 多 不 多 即 一 酣 計 而 不 醒 從 無 始 以 來 
X25n0473_001:0055b13	至於今日。死此生彼。死彼生此。究其所以。不過我見	至 於 今 日 死此生彼 死 彼 生 此 究 其 所 以 不 過 我 見 
X25n0473_001:0055b14	未空。隨處計著。故如來曰。一合相即不可說。凡夫貪	未 空 隨 處 計 著 故 如 來 曰 一 合 相 即 不 可 說 凡 夫 貪 
X25n0473_001:0055b15	著其事。利根眾生。苟知合微塵而有世界。世界果有	著 其 事 利 根 眾 生 苟 知 合 微 塵 而 有 世 界 世 界 果 有 
X25n0473_001:0055b16	乎。碎世界而為微塵。微塵果有乎。嗚呼。此貴在自悟。	乎 碎 世 界 而 為 微 塵 微 塵 果 有 乎 嗚 呼 此 貴 在 自 悟 
X25n0473_001:0055b17	不貴說破。所以如來於此經提無生之綱。於緣生之	不 貴 說 破 所 以 如 來 於 此 經 提 無 生 之 綱 於 緣 生 之 
X25n0473_001:0055b18	中。真深慈大悲也。	中 真 深 慈 大 悲 也 
X25n0473_001:0055b19	夫碎世界而為微塵眾。微塵果有乎。合微塵眾而為	夫 碎 世 界 而 為 微 塵 眾 微 塵 果 有 乎 合 微 塵 眾 而 為 
X25n0473_001:0055b20	世界。世界果有乎。此兩者互為主客。迭相蕩洗。而一	世 界 世 界 果 有 乎 此 兩 者 互 為 主 客 迭 相 蕩 洗 而 一 
X25n0473_001:0055b21	多之情。豈煩天風海濤皷漱。然後滌除者哉。故善用	多 之 情 豈 煩 天 風 海 濤 皷 漱 然 後 滌 除 者 哉 故 善 用 
X25n0473_001:0055b22	其心者。終日處乎一多之中。而一多不能累也。反是	其 心 者 終 日 處 乎 一 多 之 中 而 一 多 不 能 累 也 反 是 
X25n0473_001:0055b23	者。則不勝累矣。故此經曰。一合相者。即非一合相。是	者 則 不 勝 累 矣 故 此 經 曰 一 合 相 者 即 非 一 合 相 是 
X25n0473_001:0055b24	名一合相。而凡夫貪著其事者。是不達一多無常。主	名 一 合 相 而 凡 夫 貪 著 其 事 者 是 不 達 一 多 無 常 主 
X25n0473_001:0055c01	客無定故也。如能達之。則一合相未始非天人師焉。	客 無 定 故 也 如 能 達 之 則 一 合 相 未 始 非 天 人 師 焉 
X25n0473_001:0055c02	蘇長公有言曰。溪聲便是廣長舌。吾則曰。一合相便	蘇 長 公 有 言 曰 溪 聲 便 是 廣 長 舌 吾 則 曰 一 合 相 便 
X25n0473_001:0055c03	是廣長舌也。或者以長公為是。以我為非。以我為是。	是 廣 長 舌 也 或 者 以 長 公 為 是 以 我 為 非 以 我 為 是 
X25n0473_001:0055c04	以長公為非。此所謂癡人前不可說夢也。	以 長 公 為 非 此 所 謂 癡 人 前 不 可 說 夢 也 
X25n0473_001:0055c05	世界與微塵眾。往復研之。但有名言。俱無自體。謂世	世 界 與 微 塵 眾 往 復 研 之 但 有 名 言 俱 無 自 體 謂 世 
X25n0473_001:0055c06	界合微塵眾而有。謂微塵眾碎世界而有。皆眾生橫	界 合 微 塵 眾 而 有 謂 微 塵 眾 碎 世 界 而 有 皆 眾 生 橫 
X25n0473_001:0055c07	計也。然此橫計。不無其因。始因於事不精。理不徹而	計 也 然 此 橫 計 不 無 其 因 始 因 於 事 不 精 理 不 徹 而 
X25n0473_001:0055c08	生。事。精則能了知事外無理。理徹。則能了知理外無	生 事 精 則 能 了 知 事 外 無 理 理 徹 則 能 了 知 理 外 無 
X25n0473_001:0055c09	事。事外無理。事果有乎。理外無事。理果有乎。是以性	事 事 外 無 理 事 果 有 乎 理 外 無 事 理 果 有 乎 是 以 性 
X25n0473_001:0055c10	宗不成相宗始精。相宗不成性宗始圓。精即圓故精	宗 不 成 相 宗 始 精 相 宗 不 成 性 宗 始 圓 精 即 圓 故 精 
X25n0473_001:0055c11	而無思。圓即精故圓而歷然。無思故。即事而契同。歷	而 無 思 圓 即 精 故 圓 而 歷 然 無 思 故 即 事 而 契 同 歷 
X25n0473_001:0055c12	然故。即理而彌照。此等受用。自他滿足。但因中易知	然 故 即 理 而 彌 照 此 等 受 用 自 他 滿 足 但 因 中 易 知 
X25n0473_001:0055c13	而難證。果中易證而難忘。噫。因中即受用。果中受用	而 難 證 果 中 易 證 而 難 忘 噫 因 中 即 受 用 果 中 受 用 
X25n0473_001:0055c14	忘。此非披毛戴角者不能也。	忘 此 非 披 毛 戴 角 者 不 能 也 
X25n0473_001:0055c15	夫我人眾生壽者四見。初本一我見耳。以展轉橫計。	夫 我 人 眾 生 壽 者 四 見 初 本 一 我 見 耳 以 展 轉 橫 計 
X25n0473_001:0055c16	遂成四見。若以智眼觀之。則一心不生。我尚不有。誰	遂 成 四 見 若 以 智 眼 觀 之 則 一 心 不 生 我 尚 不 有 誰 
X25n0473_001:0055c17	為我見。我見既拔。則餘者不待遣而自空矣。又我見	為 我 見 我 見 既 拔 則 餘 者 不 待 遣 而 自 空 矣 又 我 見 
X25n0473_001:0055c18	者。無主宰中強作主宰之謂。人見。則待我而生。眾生	者 無 主 宰 中 強 作 主 宰 之 謂 人 見 則 待 我 而 生 眾 生 
X25n0473_001:0055c19	見。即循情分別不能返照之謂。壽者見。不過貪生畏	見 即 循 情 分 別 不 能 返 照 之 謂 壽 者 見 不 過 貪 生 畏 
X25n0473_001:0055c20	死之念也。用是觀之。則金剛經所說四見。實不在經。	死 之 念 也 用 是 觀 之 則 金 剛 經 所 說 四 見 實 不 在 經 
X25n0473_001:0055c21	即在吾人周旋日用逆順之間。與佛何干。雖然。若不	即 在 吾 人 周 旋 日 用 逆 順 之 間 與 佛 何 干 雖 然 若 不 
X25n0473_001:0055c22	是這瞿曇老漢曲折點破。則茫茫大塊終古不旦矣。	是 這 瞿 曇 老 漢 曲 折 點 破 則 茫 茫 大 塊 終 古 不 旦 矣 
X25n0473_001:0055c23	佛問須菩提曰。若人碎三千大千世界而為微塵眾。	佛 問 須 菩 提 曰 若 人 碎 三千大千世界 而 為 微 塵 眾 
X25n0473_001:0055c24	是微塵眾可謂多乎。須菩提曰。甚多。予以是知須菩	是 微 塵 眾 可 謂 多 乎 須 菩 提 曰 甚 多 予 以 是 知 須 菩 
X25n0473_001:0056a01	提之意。以為不但多耳。諦觀而察之。誠乃有名無實。	提 之 意 以 為 不 但 多 耳 諦 觀 而 察 之 誠 乃 有 名 無 實 
X25n0473_001:0056a02	故曰。即非微塵眾。是名微塵眾。復次。世界之意。亦有	故 曰 即 非 微 塵 眾 是 名 微 塵 眾 復 次 世 界 之 意 亦 有 
X25n0473_001:0056a03	名無實耳。故曰即非世界。是名世界。蓋微塵自無其	名 無 實 耳 故 曰 即 非 世 界 是 名 世 界 蓋 微 塵 自 無 其 
X25n0473_001:0056a04	體。必碎世界而有。世界亦無其體。必合微塵而成。故	體 必 碎 世 界 而 有 世 界 亦 無 其 體 必 合 微 塵 而 成 故 
X25n0473_001:0056a05	以世界觀塵。世現而塵不現。以微塵觀世。塵形而世	以 世 界 觀 塵 世 現 而 塵 不 現 以 微 塵 觀 世 塵 形 而 世 
X25n0473_001:0056a06	不形。或計多碎相。則多碎相現。計一合相。則一合相	不 形 或 計 多 碎 相 則 多 碎 相 現 計 一 合 相 則 一 合 相 
X25n0473_001:0056a07	現。多碎相即微塵之別名。一合相即世界之異稱耳。	現 多 碎 相 即 微 塵 之 別 名 一 合 相 即 世 界 之 異 稱 耳 
X25n0473_001:0056a08	若當機頓了。多碎相與一合相。皆有名而無實。則一	若 當 機 頓 了 多 碎 相 與 一 合 相 皆 有 名 而 無 實 則 一 
X25n0473_001:0056a09	多之情。不待掃而自盡矣。一多之情既盡。則我固有	多 之 情 不 待 掃 而 自 盡 矣 一 多 之 情 既 盡 則 我 固 有 
X25n0473_001:0056a10	之心光昭然現前矣。故曰。凡聖情盡。體露真常。又此	之 心 光 昭 然 現 前 矣 故 曰 凡 聖 情 盡 體 露 真 常 又 此 
X25n0473_001:0056a11	情緣一而起。謂之一情。緣多而起。謂之多情。緣凡而	情 緣 一 而 起 謂 之 一 情 緣 多 而 起 謂 之 多 情 緣 凡 而 
X25n0473_001:0056a12	起。謂之凡情。緣聖而起。謂之聖情。故一一多多凡凡	起 謂 之 凡 情 緣 聖 而 起 謂 之 聖 情 故 一 一 多 多 凡 凡 
X25n0473_001:0056a13	聖聖。不過一情之橫計耳。又曰徧計。又曰前塵相想。	聖 聖 不 過 一 情 之 橫 計 耳 又 曰 徧 計 又 曰 前 塵 相 想 
X25n0473_001:0056a14	又曰六塵緣影。皆此情之別名也。圭峰科此段義。謂	又 曰 六 塵 緣 影 皆 此 情 之 別 名 也 圭 峰 科 此 段 義 謂 
X25n0473_001:0056a15	證法界。有味乎哉。	證 法 界 有 味 乎 哉 
X25n0473_001:0056a16	夫有卷則有舒。有聚則有散。有合則有碎。此自然之	夫 有 卷 則 有 舒 有 聚 則 有 散 有 合 則 有 碎 此 自 然 之 
X25n0473_001:0056a17	理也。故如來呼須菩提而告之曰。若三千大千世界	理 也 故 如 來 呼 須 菩 提 而 告 之 曰 若 三千大千世界 
X25n0473_001:0056a18	可碎而為微塵。是微塵眾果多耶少耶。須菩提承佛	可 碎 而 為 微 塵 是 微 塵 眾 果 多 耶 少 耶 須 菩 提 承 佛 
X25n0473_001:0056a19	而言。曰甚多。夫碎大千世界而為微塵。以凡夫心量	而 言 曰 甚 多 夫 碎 大千世界 而 為 微 塵 以 凡 夫 心 量 
X25n0473_001:0056a20	較之。則不勝其多矣。若如來所知。則不勝其少也。豈	較 之 則 不 勝 其 多 矣 若 如 來 所 知 則 不 勝 其 少 也 豈 
X25n0473_001:0056a21	微塵多少之數如來不知。乃待須菩提定耶。蓋如來	微 塵 多 少 之 數 如 來 不 知 乃 待 須 菩 提 定 耶 蓋 如 來 
X25n0473_001:0056a22	逆知一切眾生。雖根有鈍利之不同。而執世界為一	逆 知 一 切 眾 生 雖 根 有 鈍 利 之 不 同 而 執 世 界 為 一 
X25n0473_001:0056a23	合相。未始有不同者也。但利根眾生。一聞世界可碎	合 相 未 始 有 不 同 者 也 但 利 根 眾 生 一 聞 世 界 可 碎 
X25n0473_001:0056a24	而為微塵。則不待須菩提言多。微塵即非微塵眾。是	而 為 微 塵 則 不 待 須 菩 提 言 多 微 塵 即 非 微 塵 眾 是 
X25n0473_001:0056b01	名微塵眾。然後悟世界必非一合相。奈鈍根眾生。須	名 微 塵 眾 然 後 悟 世 界 必 非 一 合 相 奈 鈍 根 眾 生 須 
X25n0473_001:0056b02	待須菩提密破其微塵多眾之執。然後知一合相。初	待 須 菩 提 密 破 其 微 塵 多 眾 之 執 然 後 知 一 合 相 初 
X25n0473_001:0056b03	本非世界。假眾微塵合而始成世界。世界既合微塵	本 非 世 界 假 眾 微 塵 合 而 始 成 世 界 世 界 既 合 微 塵 
X25n0473_001:0056b04	眾而始有者。則世界當一合相住時。住本無住。合本	眾 而 始 有 者 則 世 界 當 一 合 相 住 時 住 本 無 住 合 本 
X25n0473_001:0056b05	無合。豈待碎世界而為微塵眾。然後一合相始破哉。	無 合 豈 待 碎 世 界 而 為 微 塵 眾 然 後 一 合 相 始 破 哉 
X25n0473_001:0056b06	又須菩提以為我與如來。碎世界而為微塵。合微塵	又 須 菩 提 以 為 我 與 如 來 碎 世 界 而 為 微 塵 合 微 塵 
X25n0473_001:0056b07	而為世界。合合碎碎重疊翻騰。上根與中根。固已皆	而 為 世 界 合 合 碎 碎 重 疊 翻 騰 上 根 與 中 根 固 已 皆 
X25n0473_001:0056b08	悟世界本無。合微塵而有。微塵亦無。碎世界而有。至	悟 世 界 本 無 合 微 塵 而 有 微 塵 亦 無 碎 世 界 而 有 至 
X25n0473_001:0056b09	此。則一多之執情。不待觀空然後破也。奈下根之難	此 則 一 多 之 執 情 不 待 觀 空 然 後 破 也 奈 下 根 之 難 
X25n0473_001:0056b10	悟。所以須菩提復拈三千大千世界即非世界。是名	悟 所 以 須 菩 提 復 拈 三千大千世界 即 非 世 界 是 名 
X25n0473_001:0056b11	世界。顯告而曉之曰。若世界實有者。即是一合相。世	世 界 顯 告 而 曉 之 曰 若 世 界 實 有 者 即 是 一 合 相 世 
X25n0473_001:0056b12	界若是一合相。則如來往嘗又說一合相即非一合	界 若 是 一 合 相 則 如 來 往 嘗 又 說 一 合 相 即 非 一 合 
X25n0473_001:0056b13	相。是名一合相。此又何耶。如來與須菩提憫眾生執	相 是 名 一 合 相 此 又 何 耶 如 來 與 須 菩 提 憫 眾 生 執 
X25n0473_001:0056b14	情之難破。味著此身。計為實有。委曲翻騰。而下根眾	情 之 難 破 味 著 此 身 計 為 實 有 委 曲 翻 騰 而 下 根 眾 
X25n0473_001:0056b15	生執解未盡。故如來呼須菩提而再告之曰。一合相	生 執 解 未 盡 故 如 來 呼 須 菩 提 而 再 告 之 曰 一 合 相 
X25n0473_001:0056b16	者。即是不可說。但凡夫之人貪著其事。豈須菩提不	者 即 是 不 可 說 但 凡 夫 之 人 貪 著 其 事 豈 須 菩 提 不 
X25n0473_001:0056b17	知一合相即非一合相。待如來再告之而後曉耶。蓋	知 一 合 相 即 非 一 合 相 待 如 來 再 告 之 而 後 曉 耶 蓋 
X25n0473_001:0056b18	如來借須菩提。而深責下根執現前之身。橫謂實有	如 來 借 須 菩 提 而 深 責 下 根 執 現 前 之 身 橫 謂 實 有 
X25n0473_001:0056b19	而味著也。嗚呼。初碎世界而為微塵。徵微塵而非有。	而 味 著 也 嗚 呼 初 碎 世 界 而 為 微 塵 徵 微 塵 而 非 有 
X25n0473_001:0056b20	微塵非有。則世界無體。故須菩提不先破一合相之	微 塵 非 有 則 世 界 無 體 故 須 菩 提 不 先 破 一 合 相 之 
X25n0473_001:0056b21	執。而先破多微塵之執。蓋多微塵既破。則一合相之	執 而 先 破 多 微 塵 之 執 蓋 多 微 塵 既 破 則 一 合 相 之 
X25n0473_001:0056b22	執不待破而破矣。何者。多為一體。多破。則一無體矣。	執 不 待 破 而 破 矣 何 者 多 為 一 體 多 破 則 一 無 體 矣 
X25n0473_001:0056b23	一多情盡。則世界與微塵。皆清淨法界也。指何物為	一 多 情 盡 則 世 界 與 微 塵 皆 清 淨 法 界 也 指 何 物 為 
X25n0473_001:0056b24	世界微塵耶。學者知此。則我如來父子翻騰剖柝之	世 界 微 塵 耶 學 者 知 此 則 我 如 來 父 子 翻 騰 剖 柝 之 
X25n0473_001:0056c01	苦心。方始知也。如果知之。則三千大千世界之堅初	苦 心 方 始 知 也 如 果 知 之 則 三千大千世界 之 堅 初 
X25n0473_001:0056c02	碎而為微塵。再合微塵而為世界。何異一紙卷舒。浮	碎 而 為 微 塵 再 合 微 塵 而 為 世 界 何 異 一 紙 卷 舒 浮 
X25n0473_001:0056c03	雲之聚散者哉。	雲 之 聚 散 者 哉 
X25n0473_001:0056c05	釋金剛經(終)	釋 金 剛 經 終 
