X62n1208_001:0816b06	 自序	 自 序 
X62n1208_001:0817b13	火宅無安不久長。化城豈是舊家鄉。要知凡聖同居	火 宅 無 安 不 久 長 化 城 豈 是 舊 家 鄉 要 知 凡 聖 同 居 
X62n1208_001:0817b14	土。畢竟終歸常寂光。	土 畢 竟 終 歸 常 寂 光 
X62n1208_001:0817b15	夢想西方到幾回。金繩交絡玉樓臺。心開意解蓮花	夢 想 西 方 到 幾 回 金 繩 交 絡 玉 樓 臺 心 開 意 解 蓮 花 
X62n1208_001:0817b16	放。真實何曾有去來。	放 真 實 何 曾 有 去 來 
X62n1208_001:0817b17	未許栽蓮結淨因。忽傳口信寄來人。由他世路多魔	未 許 栽 蓮 結 淨 因 忽 傳 口 信 寄 來 人 由 他 世 路 多 魔 
X62n1208_001:0817b18	障。一句彌陀身外身。	障 一 句 彌 陀 身 外 身 
X62n1208_001:0817b19	真如界內離生滅。平等法中無自他。若俗若僧皆有	真 如 界 內 離 生 滅 平 等 法 中 無 自 他 若 俗 若 僧 皆 有 
X62n1208_001:0817b20	分。春來何處不開花。	分 春 來 何 處 不 開 花 
X62n1208_001:0817b21	無明殻破金蟬蛻。幻滅空懸白澤圖。淨土必無如是	無 明 殻 破 金 蟬 蛻 幻 滅 空 懸 白 澤 圖 淨 土 必 無 如 是 
X62n1208_001:0817b22	怪。柰何不信有疑狐。	怪 柰 何 不 信 有 疑 狐 
X62n1208_001:0817b23	繁華叢裏一聲佛。閙熱場中四字經。我慢貢高跳不	繁 華 叢 裏 一 聲 佛 閙 熱 場 中 四 字 經 我 慢 貢 高 跳 不 
X62n1208_001:0817b24	出。鐵牛無脚過窗櫺。	出 鐵 牛 無 脚 過 窗 櫺 
X62n1208_001:0817c01	赤白青黃四色花。池中開滿大如車。凡夫俗眼何曾	赤 白 青 黃 四 色 花 池 中 開 滿 大 如 車 凡 夫 俗 眼 何 曾 
X62n1208_001:0817c02	見。到者方知果不差。	見 到 者 方 知 果 不 差 
X62n1208_001:0817c03	了知自性阿彌陀。那裏工夫有許多。聖解凡情休卜	了 知 自 性 阿 彌 陀 那 裏 工 夫 有 許 多 聖 解 凡 情 休 卜 
X62n1208_001:0817c04	度。一刀斬斷葛藤窠。	度 一 刀 斬 斷 葛 藤 窠 
X62n1208_001:0817c05	六根清淨諸佛現。所護念經唯一心。讚歎稱揚當信	六 根 清 淨 諸 佛 現 所 護 念 經 唯 一 心 讚 歎 稱 揚 當 信 
X62n1208_001:0817c06	是。更於何處覓知音。	是 更 於 何 處 覓 知 音 
X62n1208_001:0817c07	如切如磋如琢磨。擬心作佛便成魔。娑婆有箇無名	如 切 如 磋 如 琢 磨 擬 心 作 佛 便 成 魔 娑 婆 有 箇 無 名 
X62n1208_001:0817c08	氏。終日深居安樂窩。	氏 終 日 深 居 安 樂 窩 
X62n1208_001:0817c09	無分淨穢與中偏。是處蓮花朵朵鮮。正好修行好供	無 分 淨 穢 與 中 偏 是 處 蓮 花 朵 朵 鮮 正 好 修 行 好 供 
X62n1208_001:0817c10	養。何須特地假莊嚴。	養 何 須 特 地 假 莊 嚴 
X62n1208_001:0817c11	觀想眉間白玉毫。我王庫內有何刀。但看天際一輪	觀 想 眉 間 白 玉 毫 我 王 庫 內 有 何 刀 但 看 天 際 一 輪 
X62n1208_001:0817c12	月。夜夜清光照爾曹。	月 夜 夜 清 光 照 爾 曹 
X62n1208_001:0817c13	前三三與後三三。此話文殊親口談。無量無邊多少	前 三 三 與 後 三 三 此 話 文 殊 親 口 談 無量無邊 多 少 
X62n1208_001:0817c14	眾。不消一句總包函。	眾 不 消 一 句 總 包 函 
X62n1208_001:0817c15	下品下生憑十念。其人業重罪非輕。緣何得與蓮池	下 品 下 生 憑 十 念 其 人 業 重 罪 非 輕 緣 何 得 與 蓮 池 
X62n1208_001:0817c16	會。實是彌陀願力宏。	會 實 是 彌 陀 願 力 宏 
X62n1208_001:0817c17	毀齋破戒本難寬。一念回光願力完。下品中生原不	毀 齋 破 戒 本 難 寬 一 念 回 光 願 力 完 下 品 中 生 原 不 
X62n1208_001:0817c18	少。心中佛月自團欒。	少 心 中 佛 月 自 團 欒 
X62n1208_001:0817c19	妄為妄作無慚愧。感發方知念佛真。頓覺聲消諸想	妄 為 妄 作 無 慚 愧 感 發 方 知 念 佛 真 頓 覺 聲 消 諸 想 
X62n1208_001:0817c20	寂。儼然下品上生人。	寂 儼 然 下 品 上 生 人 
X62n1208_001:0817c21	深信彌陀六八因。仁慈行世孝雙親。良由值遇善知	深 信 彌 陀 六 八 因 仁 慈 行 世 孝 雙 親 良 由 值 遇 善 知 
X62n1208_001:0817c22	識。中品下生脫苦津。	識 中 品 下 生 脫 苦 津 
X62n1208_001:0817c23	中品中生精進力。不分寒暑念頭堅。威儀細行無虧	中 品 中 生 精 進 力 不 分 寒 暑 念 頭 堅 威 儀 細 行 無 虧 
X62n1208_001:0817c24	犯。當處能生一朵蓮。	犯 當 處 能 生 一 朵 蓮 
X62n1208_001:0818a01	中品上生持五戒。兼修十善願西方。回心向大超三	中 品 上 生 持 五 戒 兼 修 十 善 願 西 方 回 心 向 大 超 三 
X62n1208_001:0818a02	學。直證菩提解脫場。	學 直 證 菩 提 解 脫 場 
X62n1208_001:0818a03	上品蓮花得下生。深通因果願心明。心心密諦趨無	上 品 蓮 花 得 下 生 深 通 因 果 願 心 明 心 心 密 諦 趨 無 
X62n1208_001:0818a04	上。百法門中自在行。	上 百 法 門 中 自 在 行 
X62n1208_001:0818a05	上品中生心不動。能於第一義中修。原來第一猶難	上 品 中 生 心 不 動 能 於 第 一 義 中 修 原 來 第 一 猶 難 
X62n1208_001:0818a06	執。迅速還源得自由。	執 迅 速 還 源 得 自 由 
X62n1208_001:0818a07	上品上生花自開。巍巍端坐紫金臺。三心圓證無生	上 品 上 生 花 自 開 巍 巍 端 坐 紫 金 臺 三 心 圓 證 無 生 
X62n1208_001:0818a08	忍。不枉翹勤授記來。	忍 不 枉 翹 勤 授 記 來 
X62n1208_001:0818a09	不容議論豈容思。信口稱揚已覺遲。一念無生真淨	不 容 議 論 豈 容 思 信 口 稱 揚 已 覺 遲 一 念 無 生 真 淨 
X62n1208_001:0818a10	土。唯心之旨少人知。	土 唯 心 之 旨 少 人 知 
X62n1208_001:0818a11	南無阿彌陀。佛有甚奇怪。不過稱虗名。誘人出三界。	南 無 阿 彌 陀 佛 有 甚 奇 怪 不 過 稱 虗 名 誘 人 出 三 界 
X62n1208_001:0818a12	南無阿彌陀。佛無有奇特。我法妙難思。止止不須說。	南 無 阿 彌 陀 佛 無 有 奇 特 我 法 妙 難 思 止 止 不 須 說 
X62n1208_001:0818a13	南無阿彌陀。佛度有緣人。一到蓮池內。花開不待春。	南 無 阿 彌 陀 佛 度 有 緣 人 一 到 蓮 池 內 花 開 不 待 春 
X62n1208_001:0818a14	南無阿彌陀。佛道難思議。頓覺自心開。直入如來地。	南 無 阿 彌 陀 佛 道 難 思 議 頓 覺 自 心 開 直 入如來地 
X62n1208_001:0818a15	南無阿彌陀。佛有大威德。九品度眾生。受樂無窮極。	南 無 阿 彌 陀 佛 有 大 威 德 九 品 度 眾 生 受 樂 無 窮 極 
X62n1208_001:0818a16	南無阿彌陀。佛為一大事。凡生我國中。摩頂親授記。	南 無 阿 彌 陀 佛 為 一 大 事 凡 生 我 國 中 摩 頂 親 授 記 
X62n1208_001:0818a17	念佛是誰。無孔鐵錘。虗空擊碎。淨土花開。	念 佛 是 誰 無 孔 鐵 錘 虗 空 擊 碎 淨 土 花 開 
X62n1208_001:0818a18	念佛不參禪。只要念頭堅。一心終不亂。三界忽超然。	念 佛 不 參 禪 只 要 念 頭 堅 一 心 終 不 亂 三 界 忽 超 然 
X62n1208_001:0818a19	念佛又參禪。出世大因緣。隨流而化物。唱導利人天。	念 佛 又 參 禪 出 世 大 因 緣 隨 流 而 化 物 唱 導 利 人 天 
X62n1208_001:0818a20	不參不念佛。放下狂心歇。善惡莫思量。唯此一事實。	不 參 不 念 佛 放 下 狂 心 歇 善 惡 莫 思 量 唯 此 一 事 實 
X62n1208_001:0818a21	人我交攻為底忙。不勝久矣未安邦。攢天烏兔冲霄	人 我 交 攻 為 底 忙 不 勝 久 矣 未 安 邦 攢 天 烏 兔 冲 霄 
X62n1208_001:0818a22	漢。伏櫪駑駘繫楛樁。撲不碎惟生死塊。挽難迴是利	漢 伏 櫪 駑 駘 繫 楛 樁 撲 不 碎 惟 生 死 塊 挽 難 迴 是 利 
X62n1208_001:0818a23	名艭。也知多少忙忙者。爭肯消閒月半窗。	名 艭 也 知 多 少 忙 忙 者 爭 肯 消 閒 月 半 窗 
X62n1208_001:0818a24	父母非親孰是親。雙亡雙照本來人。雖無解虎降龍	父 母 非 親 孰 是 親 雙 亡 雙 照 本 來 人 雖 無 解 虎 降 龍 
X62n1208_001:0818b01	術。却有穿衣喫飯身。鶴樹彫殘甘露滅。鹿園唱徹道	術 却 有 穿 衣 喫 飯 身 鶴 樹 彫 殘 甘 露 滅 鹿 園 唱 徹 道 
X62n1208_001:0818b02	風新。爾來深得閒中趣。水月雲山為比鄰。	風 新 爾 來 深 得 閒 中 趣 水 月 雲 山 為 比 鄰 
X62n1208_001:0818b03	得罷休時且罷休。此身何異水中漚。冤親聚會情難	得 罷 休 時 且 罷 休 此 身 何 異 水 中 漚 冤 親 聚 會 情 難 
X62n1208_001:0818b04	却。恩愛別離計莫留。蓮漏滴殘今古夢。篆煙消盡短	却 恩 愛 別 離 計 莫 留 蓮 漏 滴 殘 今 古 夢 篆 煙 消 盡 短 
X62n1208_001:0818b05	長愁。不如三界見三界。空起許多閒念頭。	長 愁 不 如 三 界 見 三 界 空 起 許 多 閒 念 頭 
X62n1208_001:0818b06	能所施為似奕棊。爭如勿著更便宜。獨操勝算難逃	能 所 施 為 似 奕 棊 爭 如 勿 著 更 便 宜 獨 操 勝 算 難 逃 
X62n1208_001:0818b07	數。落盡枯枰轉更虧。莫使浮華名過實。由他疑謗自	數 落 盡 枯 枰 轉 更 虧 莫 使 浮 華 名 過 實 由 他 疑 謗 自 
X62n1208_001:0818b08	無欺。長安古道行人少。往往窮途泣路歧。	無 欺 長 安 古 道 行 人 少 往 往 窮 途 泣 路 歧 
X62n1208_001:0818b09	孝思篇	孝 思 篇 
X62n1208_001:0818b10	家家有佛二尊。胡為世人不識。堂上父母雙親。便是	家 家 有 佛 二 尊 胡 為 世 人 不 識 堂 上 父 母 雙 親 便 是 
X62n1208_001:0818b11	釋迦彌勒。不用點燭燒香。只要鞠躬盡職。隨時菽水	釋 迦 彌 勒 不 用 點 燭 燒 香 只 要 鞠 躬 盡 職 隨 時 菽 水 
X62n1208_001:0818b12	承歡。婉容敬順顏色。晨昏定省毋違。祇候起居晏息。	承 歡 婉 容 敬 順 顏 色 晨 昏 定 省 毋 違 祇 候 起 居 晏 息 
X62n1208_001:0818b13	恭惟鞠養劬勞。恩深昊天罔極。我今長大成人。應當	恭 惟 鞠 養 劬 勞 恩 深 昊 天 罔 極 我 今 長 大 成 人 應 當 
X62n1208_001:0818b14	盡心竭力。生事死葬以禮。春秋蒸嘗勿忒。履善惟孝	盡 心 竭 力 生 事 死 葬 以 禮 春 秋 蒸 嘗 勿 忒 履 善 惟 孝 
X62n1208_001:0818b15	為先。世間第一功德。治國齊家修身。無越者箇法則。	為 先 世 間 第 一 功 德 治 國 齊 家 修 身 無 越 者 箇 法 則 
X62n1208_001:0818b16	看他反哺烏鴉。豈以人而勿及。不思孝順爺孃。此身	看 他 反 哺 烏 鴉 豈 以 人 而 勿 及 不 思 孝 順 爺 孃 此 身 
X62n1208_001:0818b17	從何而得。幸資父母生成。功業由斯而立。在家出家	從 何 而 得 幸 資 父 母 生 成 功 業 由 斯 而 立 在家出家 
X62n1208_001:0818b18	一般。皆承父母恩德。不解孝敬尊親。為僧亦無利益。	一 般 皆 承 父 母 恩 德 不 解 孝 敬 尊 親 為 僧 亦 無 利 益 
X62n1208_001:0818b19	我佛大聖仁慈。救親析肉析骨。知恩要解報恩。至孝	我 佛 大 聖 仁 慈 救 親 析 肉 析 骨 知 恩 要 解 報 恩 至 孝 
X62n1208_001:0818b20	在明明德。三教道理本同。法爾為天下式。終身惟疾	在 明 明 德 三 教 道 理 本 同 法 爾 為 天 下 式 終 身 惟 疾 
X62n1208_001:0818b21	是憂。敬畏小心出入。製奉寒暑衣裳。供養時鮮飲食。	是 憂 敬 畏 小 心 出 入 製 奉 寒 暑 衣 裳 供 養 時 鮮 飲 食 
X62n1208_001:0818b22	必也念茲在茲。無違一時一刻。回思抱恨終天。子道	必 也 念 茲 在 茲 無 違 一 時 一 刻 回 思 抱 恨 終 天 子 道 
X62n1208_001:0818b23	須當愛日。	須 當 愛 日 
X62n1208_001:0818b24	余幼歲出家。父早逝。唯慈母在堂。胞兄終養。世為	余 幼 歲 出 家 父 早 逝 唯 慈 母 在 堂 胞 兄 終 養 世 為 
X62n1208_001:0818c01	農業。幸藉菽水無匱。余雲遊在外。未遑歸省。逮乎	農 業 幸 藉 菽 水 無 匱 余 雲 遊 在 外 未 遑 歸 省 逮 乎 
X62n1208_001:0818c02	成立。欲報私情。詎意見背。嗚呼痛哉。恭惟鞠養生	成 立 欲 報 私 情 詎 意 見 背 嗚 呼 痛 哉 恭 惟 鞠 養 生 
X62n1208_001:0818c03	我劬勞。罔極之恩。深固高厚。生不供甘旨。歿不克	我 劬 勞 罔 極 之 恩 深 固 高 厚 生 不 供 甘 旨 歿 不 克 
X62n1208_001:0818c04	烝嘗。真世間之大罪人也。每一念興。不勝悲噎涕	烝 嘗 真 世 間 之 大 罪 人 也 每 一 念 興 不 勝 悲 噎 涕 
X62n1208_001:0818c05	淚。噫生我者父母。成我者師友。將近耳順之年。唯	淚 噫 生 我 者 父 母 成 我 者 師 友 將 近 耳 順 之 年 唯 
X62n1208_001:0818c06	是追遠之心不能已已。遂作孝思篇。以自警云。	是 追 遠 之 心 不 能 已 已 遂 作 孝 思 篇 以 自 警 云 
X62n1208_001:0818c07	學道如登萬仞山。孤峯頂上絕躋攀。直須行到無行	學 道 如 登 萬 仞 山 孤 峯 頂 上 絕 躋 攀 直 須 行 到 無 行 
X62n1208_001:0818c08	處。始覺天地非人間。	處 始 覺 天 地 非 人 間 
X62n1208_001:0818c09	向上本來無一物。菩提非樹鏡非臺。行深般若波羅	向 上 本 來 無 一 物 菩 提 非 樹 鏡 非 臺 行 深 般 若 波 羅 
X62n1208_001:0818c10	密。曠劫無明當下灰。	密 曠 劫 無 明 當 下 灰 
X62n1208_001:0818c11	明眼人前三尺暗。金剛腦後一尋光。虗空背上翻觔	明 眼 人 前 三 尺 暗 金 剛 腦 後 一 尋 光 虗 空 背 上 翻 觔 
X62n1208_001:0818c12	斗。撞倒泰山石敢當。	斗 撞 倒 泰 山 石 敢 當 
X62n1208_001:0818c13	正睡著時夢也無。碧天雲淨月輪孤。主人公在什麼	正 睡 著 時 夢 也 無 碧 天 雲 淨 月 輪 孤 主 人 公 在 什 麼 
X62n1208_001:0818c14	處。跳出楊岐三脚驢。	處 跳 出 楊 岐 三 脚 驢 
X62n1208_001:0818c15	狗子佛性有。舌頭不出口。一喝魂膽飛。山河空裏走。	狗 子 佛 性 有 舌 頭 不 出 口 一 喝 魂 膽 飛 山 河 空 裏 走 
X62n1208_001:0818c16	狗子佛性無。門前叫子湖。逢人齩一口。無毒不丈夫。	狗 子 佛 性 無 門 前 叫 子 湖 逢 人 齩 一 口 無 毒 不 丈 夫 
X62n1208_001:0818c17	門裏出身易。身裏出門難。觸目不知道。對面九嶷山。	門 裏 出 身 易 身 裏 出 門 難 觸 目 不 知 道 對 面 九 嶷 山 
X62n1208_001:0818c18	我有一句子。不便與人說。舌動是非生。言詞相寂滅。	我 有 一 句 子 不 便 與 人 說 舌 動 是 非 生 言 詞 相 寂 滅 
X62n1208_001:0818c19	萬法歸一。銀山鐵壁。一歸何處。心空及第。	萬 法 歸 一 銀 山 鐵 壁 一 歸 何 處 心 空 及 第 
X62n1208_001:0818c20	舉起吹毛。直截痛快。但盡凡情。別無聖解。	舉 起 吹 毛 直 截 痛 快 但 盡 凡 情 別 無 聖 解 
X62n1208_001:0818c21	一棒一喝。雷轟電掣。語言道斷。心思路絕。	一 棒 一 喝 雷 轟 電 掣 語 言 道 斷 心 思 路 絕 
X62n1208_001:0818c22	佛祖公案。法王正令。不透言句。學人心病。	佛 祖 公 案 法 王 正 令 不 透 言 句 學 人 心 病 
X62n1208_001:0818c23	偽不掩真。曲不藏直。偷心不死。佛法中賊。	偽 不 掩 真 曲 不 藏 直 偷 心 不 死 佛 法 中 賊 
X62n1208_001:0818c24	智不是道。心不是佛。離相離名。水天一色。	智 不 是 道 心 不 是 佛 離 相 離 名 水 天 一 色 
X62n1208_001:0819a01	話頭舉起。斬釘截鐵。聖凡情盡。顛倒想滅。	話 頭 舉 起 斬 釘 截 鐵 聖 凡 情 盡 顛 倒 想 滅 
X62n1208_001:0819a02	大疑大悟。小疑小悟。不疑不悟。當面錯過。	大 疑 大 悟 小 疑 小 悟 不 疑 不 悟 當 面 錯 過 
X62n1208_001:0819a04	唯心集(終)	唯 心 集 終 
