T52n2113_001:0573a04	北山錄序	北 山 錄 序 
T52n2113_001:0573c03	厚一丈。盤古日。長一丈。頭極東。足極西。左	厚 一 丈 盤 古 日 長 一 丈 頭 極 東 足 極 西 左 
T52n2113_001:0573c04	手極南。右手極北。開目為曙。閉目為夜。呼	手 極 南 右 手 極 北 開 目 為 曙 閉 目 為 夜 呼 
T52n2113_001:0573c05	為暑。吸為寒。吹氣成風雲吐。聲成雷霆(天地	為 暑 吸 為 寒 吹 氣 成 風 雲 吐 聲 成 雷 霆 天 地 
T52n2113_001:0573c06	既開。天則日高一丈。地則日厚一丈。盤古四體極大。極盡也。曙明也)。四時行焉。萬	既 開 天 則 日 高 一 丈 地 則 日 厚 一 丈 盤 古 四 體 極 大 極 盡 也 曙 明 也 四 時 行 焉 萬 
T52n2113_001:0573c07	物生焉。八紘九圍之大。其孰與多(八紘四方四角也。九圍	物 生 焉 八 紘 九 圍 之 大 其 孰 與 多 八 紘 四 方 四 角 也 九 圍 
T52n2113_001:0573c08	九州。又八方中央)三皇五紀之尊。其孰與先也(三皇伏犧神農黃帝	九 州 又 八 方 中 央 三 皇 五 紀 之 尊 其 孰 與 先 也 三 皇 伏 犧 神 農 黃 帝 
T52n2113_001:0573c09	也五紀金木水火土也伏犧木紀神農火紀黃帝土紀金天金紀顓頊水紀以五行相生受命百代可知也)太古	也 五 紀 金 木 水 火 土 也 伏 犧 木 紀 神 農 火 紀 黃 帝 土 紀 金 天 金 紀 顓 頊 水 紀 以 五 行 相 生 受 命 百 代 可 知 也 太 古 
T52n2113_001:0573c10	之時。燔黍擗豚。污樽抔飲。蕢桴土鼓(燔燒也。中古未有	之 時 燔 黍 擗 豚 污 樽 抔 飲 蕢 桴 土 鼓 燔 燒 也 中 古 未 有 
T52n2113_001:0573c11	釜甑。擇米擗肉加於燒石之上而食之。污樽鑿地為樽也。抔音步侯反。手掬之也。蕢音凷。捊鼓杖也。以	釜 甑 擇 米 擗 肉 加 於 燒 石 之 上 而 食 之 污 樽 鑿 地 為 樽 也 抔 音 步 侯 反 手 掬 之 也 蕢 音 凷 捊 鼓 杖 也 以 
T52n2113_001:0573c12	凷土為鼓杖也)冬則居塋窟。夏則居橧巢(寒則累土暑則聚薪柴居其上	凷 土 為 鼓 杖 也 冬 則 居 塋 窟 夏 則 居 橧 巢 寒 則 累 土 暑 則 聚 薪 柴 居 其 上 
T52n2113_001:0573c13	也)未有火化食。草木之實。鳥獸之肉。飲其	也 未 有 火 化 食 草 木 之 實 鳥 獸 之 肉 飲 其 
T52n2113_001:0573c14	血。茹其毛(文選茹謂啖食也)未有絲麻。衣以羽皮(此上古之	血 茹 其 毛 文 選 茹 謂 啖 食 也 未 有 絲 麻 衣 以 羽 皮 此 上 古 之 
T52n2113_001:0573c15	時也)後聖有作。然後修火化之利(修治也)範金合	時 也 後 聖 有 作 然 後 修 火 化 之 利 修 治 也 範 金 合 
T52n2113_001:0573c16	土(鑄燒器用也)以為臺榭宮室戶牖。以炮以燔(加於火上)	土 鑄 燒 器 用 也 以 為 臺 榭 宮 室 戶 牖 以 炮 以 燔 加 於 火 上 
T52n2113_001:0573c17	以烹(煮之鑊者)以炙(貫之火上)以為醴酪(蒸釀之也。酪酢酨也。酢音醋。酨音在。有	以 烹 煮 之 鑊 者 以 炙 貫 之 火 上 以 為 醴 酪 蒸 釀 之 也 酪 酢 酨 也 酢 音 醋 酨 音 在 有 
T52n2113_001:0573c18	本闕此一句)治其絲麻以為布帛。以養生送死。以	本 闕 此 一 句 治 其 絲 麻 以 為 布 帛 以 養 生 送 死 以 
T52n2113_001:0573c19	事鬼神焉。自太古至于今。年世不可勝紀。	事 鬼 神 焉 自 太 古 至 于 今 年 世 不 可 勝 紀 
T52n2113_001:0573c20	伏犧之後。凡四十餘萬年。變化財成。為君為	伏 犧 之 後 凡 四 十 餘 萬 年 變 化 財 成 為 君 為 
T52n2113_001:0573c21	臣。為人為民(民劣下之稱也)害益興亡(害損也)前儒誌之	臣 為 人 為 民 民 劣 下 之 稱 也 害 益 興 亡 害 損 也 前 儒 誌 之 
T52n2113_001:0573c22	(誌記也)後儒承之。浩浩紛紛。未可一日而殫論	 誌 記 也 後 儒 承 之 浩 浩 紛 紛 未 可 一 日 而 殫 論 
T52n2113_001:0573c23	也已矣(殫盡也。已上乃艾儒所敘天地開闢之事也)涪水之濱北山野夫	也 已 矣 殫 盡 也 已 上 乃 艾 儒 所 敘 天 地 開 闢 之 事 也 涪 水 之 濱 北 山 野 夫 
T52n2113_001:0573c24	背華離俗為日久矣(野夫謙也。神清字靈庾。姓章。綿州昌明縣人。兄弟三人出家。	背 華 離 俗 為 日 久 矣 野 夫 謙 也 神 清 字 靈 庾 姓 章 綿 州 昌 明 縣 人 兄 弟 三 人 出 家 
T52n2113_001:0573c25	師次也。獨為頴拔。綿州開元寺法雲和尚即其師也。建中末卒于梓州惠義寺。撰法花玄箋十卷。釋氏年志三	師 次 也 獨 為 頴 拔 綿 州 開 元 寺 法 雲 和 尚 即 其 師 也 建 中 末 卒 于 梓 州 惠 義 寺 撰 法 花 玄 箋 十 卷 釋 氏 年 志 三 
T52n2113_001:0573c26	十卷。律疏要決十卷。語錄十卷。二眾初學儀并識心澄觀。俱舍決等論鈔共百餘卷)尚志於	十 卷 律 疏 要 決 十 卷 語 錄 十 卷 二 眾 初 學 儀 并 識 心 澄 觀 俱 舍 決 等 論 鈔 共 百 餘 卷 尚 志 於 
T52n2113_001:0573c27	古而所知不博。率躬由道而至方是礙。爰在	古 而 所 知 不 博 率 躬 由 道 而 至 方 是 礙 爰 在 
T52n2113_001:0574a01	始學簉于鄉塾之末(塾學也。禮云。鄉有塾。黨有庠)聆儒風而	始 學 簉 于 鄉 塾 之 末 塾 學 也 禮 云 鄉 有 塾 黨 有 庠 聆 儒 風 而 
T52n2113_001:0574a02	悅之曰。大哉儒言。暨更業乎釋氏。涉其涯	悅 之 曰 大 哉 儒 言 暨 更 業 乎 釋 氏 涉 其 涯 
T52n2113_001:0574a03	始。怖若河漢斷斷然無斁慊乎(暨及也。更改也。涯始畔岸	始 怖 若 河 漢 斷 斷 然 無 斁 慊 乎 暨 及 也 更 改 也 涯 始 畔 岸 
T52n2113_001:0574a04	也。莊子云。驚怖焉其河漢而無極也。斁厭慊恨也)若患聞之不早聞也曰	也 莊 子 云 驚 怖 焉 其 河 漢 而 無 極 也 斁 厭 慊 恨 也 若 患 聞 之 不 早 聞 也 曰 
T52n2113_001:0574a05	何其曰乾竺聖人(乾竺天竺也。聖人佛也)云前劫既壞。	何 其 曰 乾 竺 聖 人 乾 竺 天 竺 也 聖 人 佛 也 云 前 劫 既 壞 
T52n2113_001:0574a06	天地已空。空而復成。此劫方始(世界成住壞空各二十劫。自	天 地 已 空 空 而 復 成 此 劫 方 始 世 界 成 住 壞 空 各 二 十 劫 自 
T52n2113_001:0574a07	人壽十歲百年增一年。至八萬四千歲。却百年減一年至十歲名一劫。如斯成住壞空共八十劫。周而復始也)。	人 壽 十 歲 百 年 增 一 年 至 八萬四千 歲 却 百 年 減 一 年 至 十 歲 名 一 劫 如 斯 成 住 壞 空 共 八 十 劫 周 而 復 始 也 
T52n2113_001:0574a08	是時空有微風。風漸乎烈。居此界之下。寔為	是 時 空 有 微 風 風 漸 乎 烈 居 此 界 之 下 寔 為 
T52n2113_001:0574a09	風輪(烈猛也。寔是也。立世阿毘曇論云。世界空二十劫後將成。乃有毘嵐風鼓之而為風輪。最居其下厚	風 輪 烈 猛 也 寔 是 也 立 世 阿 毘 曇 論 云 世 界 空 二 十 劫 後 將 成 乃 有 毘 嵐 風 鼓 之 而 為 風 輪 最 居 其 下 厚 
T52n2113_001:0574a10	九億六萬由旬。廣十二億三千四百五十由旬也)大雲昇空。降雨如軸。積	九 億 六 萬 由 旬 廣 十 二 億 三 千 四 百 五 十 由 旬 也 大 雲 昇 空 降 雨 如 軸 積 
T52n2113_001:0574a11	彼風輪之上結為水輪。水輪最上堅凝為金。	彼 風 輪 之 上 結 為 水 輪 水 輪 最 上 堅 凝 為 金 
T52n2113_001:0574a12	如乳停膜。是為金輪(地下一億六萬。真金所成。上餘八萬。金銀銅鐵等七界	如 乳 停 膜 是 為 金 輪 地 下 一 億 六 萬 真 金 所 成 上 餘 八 萬 金 銀 銅 鐵 等 七 界 
T52n2113_001:0574a13	雜成。俱舍論云。水輪轉堅。如乳凝冷也)三輪既成。雨自空飛霔金	雜 成 俱 舍 論 云 水 輪 轉 堅 如 乳 凝 冷 也 三 輪 既 成 雨 自 空 飛 霔 金 
T52n2113_001:0574a14	輪上。既廣且厚(雨渧如車軸。晝夜不息。猶如河瀉。無數千年。水厚二億四萬由	輪 上 既 廣 且 厚 雨 渧 如 車 軸 晝 夜 不 息 猶 如 河 瀉 無 數 千 年 水 厚 二 億 四 萬 由 
T52n2113_001:0574a15	旬。廣十二億三千四百五十由旬。周迴三十六億一萬三百五十由旬)風擊此水。清	旬 廣 十 二 億 三 千 四 百 五 十 由 旬 周 迴 三 十 六 億 一 萬 三 百 五 十 由 旬 風 擊 此 水 清 
T52n2113_001:0574a16	濁異質。為梵世為空居(有風名攝持吹令世界成。又有風名旋圓起成東西	濁 異 質 為 梵 世 為 空 居 有 風 名 攝 持 吹 令 世 界 成 又 有 風 名 旋 圓 起 成 東 西 
T52n2113_001:0574a17	二州。復有風名琵琶起成南州。復有風名四方四角起成北州。初成梵世。由宿因緣梵王住處如一四天下大。是	二 州 復 有 風 名 琵 琶 起 成 南 州 復 有 風 名 四 方 四 角 起 成 北 州 初 成 梵 世 由 宿 因 緣 梵 王 住 處 如 一 四 天 下 大 是 
T52n2113_001:0574a18	時梵王生此。梵子亦生也。欲界六天猶如夢覺。俄思往事。爾時諸天結群遍滿案行。咸作是言。昔日此處有須	時 梵 王 生 此 梵 子 亦 生 也 欲界六天 猶 如 夢 覺 俄 思 往 事 爾 時 諸 天 結 群 遍 滿 案 行 咸 作 是 言 昔 日 此 處 有 須 
T52n2113_001:0574a19	彌山善見城惡口園等。如是皆憶也)為寶石。為山海。為土地。為宮	彌 山 善 見 城 惡 口 園 等 如 是 皆 憶 也 為 寶 石 為 山 海 為 土 地 為 宮 
T52n2113_001:0574a20	室。品物惟錯(若風成山次第而上。山則有頂。若風起或正或傍。山相或平或聳大地。山	室 品 物 惟 錯 若 風 成 山 次 第 而 上 山 則 有 頂 若 風 起 或 正 或 傍 山 相 或 平 或 聳 大 地 山 
T52n2113_001:0574a21	川平凹岩洞穿穴。皆由風勢不同也。品類也。錯雜也)區域肇成。上界諸天死	川 平 凹 岩 洞 穿 穴 皆 由 風 勢 不 同 也 品 類 也 錯 雜 也 區 域 肇 成 上 界 諸 天 死 
T52n2113_001:0574a22	者下生。體有飛光。足若御雲。不飲不食。年	者 下 生 體 有 飛 光 足 若 御 雲 不 飲 不 食 年 
T52n2113_001:0574a23	期無數(有天捨報於中受生。復有天人壽終生四天下受人道生。是時諸人喜樂為食。依喜樂住意	期 無 數 有 天 捨 報 於 中 受 生 復 有 天 人 壽 終 生 四 天 下 受 人 道 生 是 時 諸 人 喜 樂 為 食 依 喜 樂 住 意 
T52n2113_001:0574a24	生化身。自然光明安樂而住。飛空中行。是時日月未出於世。星宿未有。晝夜不分。未辨年歲。無男女父母姓	生 化 身 自 然 光 明 安樂而住 飛 空 中 行 是 時 日 月 未 出 於 世 星 宿 未 有 晝 夜 不 分 未 辨 年 歲 無 男 女 父 母 姓 
T52n2113_001:0574a25	字等事)洎乎地味如飴地皮孔甘林藤流芳香稻	字 等 事 洎 乎 地 味 如 飴 地 皮 孔 甘 林 藤 流 芳 香 稻 
T52n2113_001:0574a26	發滋(是時大海乍增乍減。開川源路水所減處。有地肥出。大甘美味。生長覆地。色香觸味可愛具足如細	發 滋 是 時 大 海 乍 增 乍 減 開 川 源 路 水 所 減 處 有 地 肥 出 大 甘 美 味 生 長 覆 地 色 香 觸 味 可 愛 具 足 如 細 
T52n2113_001:0574b01	蜂蜜。復有地皮。人皆食之。地皮盡已次食林藤。林藤盡已有自然粳稻。香味充滿也)食此四	蜂 蜜 復 有 地 皮 人 皆 食 之 地 皮 盡 已 次 食 林 藤 林 藤 盡 已 有 自 然 粳 稻 香 味 充 滿 也 食 此 四 
T52n2113_001:0574b02	者災乎其身。其體堅重。其光隱沒。日月星辰	者 災 乎 其 身 其 體 堅 重 其 光 隱 沒 日 月 星 辰 
T52n2113_001:0574b03	從茲見矣(時有一人。嗅此地肥香味。起欲著心。指捻大味。嗅而甞之。知其甘美。餘人相効。	從 茲 見 矣 時 有 一 人 嗅 此 地 肥 香 味 起 欲 著 心 指 捻 大 味 嗅 而 甞 之 知 其 甘 美 餘 人 相 効 
T52n2113_001:0574b04	良由地味身稍堅重。不能飛行。身光失沒。既失光已。世界黑暗。遂生日月乃出星辰遂著)蠲穢	良 由 地 味 身 稍 堅 重 不 能 飛 行 身 光 失 沒 既 失 光 已 世 界 黑 暗 遂 生 日 月 乃 出 星 辰 遂 著 蠲 穢 
T52n2113_001:0574b05	導氣。人道成焉(蠲除也。明也。有大小不淨之事。導氣有男女欲染之事也)。忿	導 氣 人 道 成 焉 蠲 除 也 明 也 有 大 小 不 淨 之 事 導 氣 有 男 女 欲 染 之 事 也 忿 
T52n2113_001:0574b06	悋既萌。愛欲是興。有父子焉(忿嗔也。悋慳貪也。由有愛悋遂	悋 既 萌 愛 欲 是 興 有 父 子 焉 忿 嗔 也 悋 慳 貪 也 由 有 愛 悋 遂 
T52n2113_001:0574b07	起貪。為人所侵。則嗔由此。顏容醜陋。福德鮮少。神通則失矣)有君臣焉。畫野	起 貪 為 人 所 侵 則 嗔 由 此 顏 容 醜 陋 福 德 鮮 少 神 通 則 失 矣 有 君 臣 焉 畫 野 
T52n2113_001:0574b08	分邦。列國興焉。我疆我里。貨殖阜焉。閑邪	分 邦 列 國 興 焉 我 疆 我 里 貨 殖 阜 焉 閑 邪 
T52n2113_001:0574b09	討罪。刑辟立焉(閑防也。辟法也。此皆建國之本也)。自此閻浮提	討 罪 刑 辟 立 焉 閑 防 也 辟 法 也 此 皆 建 國 之 本 也 自 此 閻 浮 提 
T52n2113_001:0574b10	(則有州之地。因閻浮樹以立名也)。至于百億閻浮提。自此四天	 則 有 州 之 地 因 閻 浮 樹 以 立 名 也 至 于 百 億 閻 浮 提 自 此 四 天 
T52n2113_001:0574b11	下至于百億四天下(東弗毘提利養勝故。西牛貨州用牛貨易也。北爵丹越心	下 至 于 百 億 四 天 下 東 弗 毘 提 利 養 勝 故 西 牛 貨 州 用 牛 貨 易 也 北 爵 丹 越 心 
T52n2113_001:0574b12	直善故。此四州天下也)。距大鐵圍山(距至也。以鐵圍山遶之也)。皆同此時	直 善 故 此 四 州 天 下 也 距 大鐵圍山 距 至 也 以 鐵 圍 山 遶 之 也 皆 同 此 時 
T52n2113_001:0574b13	成。為一大聖之寰宇也(此大千世界同為一佛王化之境也)。至若	成 為 一 大 聖 之 寰 宇 也 此 大千世界 同 為 一 佛 王 化 之 境 也 至 若 
T52n2113_001:0574b14	人壽漸減。減至于十。減而復增。增至八萬。	人 壽 漸 減 減 至 于 十 減 而 復 增 增 至 八 萬 
T52n2113_001:0574b15	初二萬歲有鐵輪王。次四萬歲有銅輪王。次	初 二 萬 歲 有 鐵 輪 王 次 四 萬 歲 有 銅 輪 王 次 
T52n2113_001:0574b16	六萬歲有銀輪王。後八萬歲有金輪王。如此	六 萬 歲 有 銀 輪 王 後 八 萬 歲 有 金 輪 王 如 此 
T52n2113_001:0574b17	統一閻浮提。至于二三四天下也(鐵輪王統一天下。銅二	統 一 閻 浮 提 至 于 二 三 四 天 下 也 鐵 輪 王 統 一 天 下 銅 二 
T52n2113_001:0574b18	天下。銀三天下。金統四天下也)。今賢劫第九減也(賢劫千佛出。今當第九減劫也)。	天 下 銀 三 天 下 金 統 四 天 下 也 今 賢 劫 第 九 減 也 賢 劫 千 佛 出 今 當 第 九 減 劫 也 
T52n2113_001:0574b19	餘十一劫可知也。於一減末。三十饑饉。二	餘 十 一 劫 可 知 也 於 一 減 末 三 十 饑 饉 二 
T52n2113_001:0574b20	十疾疫。十歲刀兵作矣。是為小三災矣(減至	十 疾 疫 十 歲 刀 兵 作 矣 是 為 小 三 災 矣 減 至 
T52n2113_001:0574b21	三十歲有飢饉災。七年七月七日。由漫風起吹其方所。令時節失度穀米不成也。至二十歲有疾疫災。由惡鬼神	三 十 歲 有 飢 饉 災 七 年 七 月 七 日 由 漫 風 起 吹 其 方 所 令 時 節 失 度 穀 米 不 成 也 至 二 十 歲 有 疾 疫 災 由 惡 鬼 神 
T52n2113_001:0574b22	損害於人七月七日也。至十歲時有刀兵災。于相殺害。唯有刀杖以自莊嚴。七日七夜而止)。劫既	損 害 於 人 七 月 七 日 也 至 十 歲 時 有 刀 兵 災 于 相 殺 害 唯 有 刀 杖 以 自 莊 嚴 七日七夜 而 止 劫 既 
T52n2113_001:0574b23	壞矣(世界欲壞。諸天變身似犀。晝夜三宣告令令修無覺定。最為妙樂。於壽終之後生勝光天。後七日輪	壞 矣 世 界 欲 壞 諸 天 變 身 似 犀 晝 夜 三 宣 告 令 令 修 無 覺 定 最 為 妙 樂 於 壽終之後 生 勝 光 天 後 七 日 輪 
T52n2113_001:0574b24	起於空時大地須彌皆發火焰。俱時洞燃以其熱故吸下水輪水如蘇油一切皆盡)。火災洞乎九	起 於 空 時 大 地 須 彌 皆 發 火 焰 俱 時 洞 燃 以 其 熱 故 吸 下 水 輪 水 如 蘇 油 一 切 皆 盡 火 災 洞 乎 九 
T52n2113_001:0574b25	天(九天欲界六天并初禪三天也)。旋嵐蕩乎三禪(旋嵐風名蕩盡也。風災至遍淨天也)。	天 九 天 欲界六天 并 初禪三天 也 旋 嵐 蕩 乎 三 禪 旋 嵐 風 名 蕩 盡 也 風 災 至 遍 淨 天 也 
T52n2113_001:0574b26	水則湯湯然於焉其閒矣(湯音傷。水流貌。水災至二禪故云其間。	水 則 湯 湯 然 於 焉 其 閒 矣 湯 音 傷 水 流 貌 水 災 至 二 禪 故 云 其 間 
T52n2113_001:0574c01	七度火災一度水災。七度水災一度風災)。萬化既盡。自壞之空(壞二	七 度 火 災 一 度 水 災 七 度 水 災 一 度 風 災 萬 化 既 盡 自 壞 之 空 壞 二 
T52n2113_001:0574c02	十劫。十九劫壞有情。一劫壞無情也。自此空二十劫)。空之既成。復為後劫	十 劫 十 九 劫 壞 有 情 一 劫 壞 無 情 也 自 此 空 二 十 劫 空 之 既 成 復 為 後 劫 
T52n2113_001:0574c03	始也(空已復二十劫成。成已復二十劫住)。經曰。成住壞空各二十	始 也 空 已 復 二 十 劫 成 成 已 復 二 十 劫 住 經 曰 成 住 壞 空 各 二 十 
T52n2113_001:0574c04	劫。為一大劫焉(正法念處等經所明)。夫崇篤莫大乎天地	劫 為 一 大 劫 焉 正 法 念 處 等 經 所 明 夫 崇 篤 莫 大 乎 天 地 
T52n2113_001:0574c05	(崇高也。篤厚也)。久遠莫過乎今古。偉哉大聖知天地	 崇 高 也 篤 厚 也 久 遠 莫 過 乎 今 古 偉 哉 大 聖 知 天 地 
T52n2113_001:0574c06	始。知天地終。知天之高。知地之厚。知三辰	始 知 天 地 終 知 天 之 高 知 地 之 厚 知 三 辰 
T52n2113_001:0574c07	之昭昭(三辰日月星也。昭明也)。知時年反劫。知古之往。知	之 昭 昭 三 辰 日 月 星 也 昭 明 也 知 時 年 反 劫 知 古 之 往 知 
T52n2113_001:0574c08	今之來。強視莫如夫天眼(聲聞見一千世界。緣覺見二千世界。菩薩	今 之 來 強 視 莫 如 夫 天 眼 聲 聞 見 一 千 世 界 緣 覺 見 二 千 世 界 菩 薩 
T52n2113_001:0574c09	見三千世界。佛見大千世界)。強聽莫如夫天耳(所聞如天眼數)。強念莫	見 三千世界 佛 見 大千世界 強 聽 莫 如 夫 天 耳 所 聞 如 天 眼 數 強 念 莫 
