T14n0555a_001:0906b26	五母子經	五 母 子 經 
T14n0555a_001:0906c15	一母作子時，竝隣亦復生子，與我同日而生。	一 母 作 子 時 竝 隣 亦 復 生 子 與 我 同 日 而 生 
T14n0555a_001:0906c16	其子出入行步，我母見之，便悲念：『我子在者，	其 子 出 入 行 步 我 母 見 之 便 悲 念 我 子 在 者 
T14n0555a_001:0906c17	亦當出入行步如是。』愁毒淚下如雨，悲言念	亦 當 出 入 行 步 如 是 愁 毒 淚 下 如 雨 悲 言 念 
T14n0555a_001:0906c18	子。「我為第二母作子時，我短命又早死。我	子 我 為 第 二 母 作 子 時 我 短 命 又 早 死 我 
T14n0555a_001:0906c19	母見人乳兒，便念乳我，悲哀涕泣，言念我子。	母 見 人 乳 兒 便 念 乳 我 悲 哀 涕 泣 言 念 我 子 
T14n0555a_001:0906c20	「我為第三母作子時，我年十歲，復少死。母	 我 為 第 三 母 作 子 時 我 年 十 歲 復 少 死 母 
T14n0555a_001:0906c21	臨食悲哭泣淚，言念：『我子在者，亦當與我共	臨 食 悲 哭 泣 淚 言 念 我 子 在 者 亦 當 與 我 共 
T14n0555a_001:0906c22	食。捨我死去，使我獨食。』哽咽言念我。「復為	食 捨 我 死 去 使 我 獨 食 哽 咽 言 念 我 復 為 
T14n0555a_001:0906c23	第四母作子時，我薄命先死。我等輩娶婦，	第 四 母 作 子 時 我 薄 命 先 死 我 等 輩 娶 婦 
T14n0555a_001:0906c24	我母見之，即念：『我子在者，亦當為子娶婦。』言：	我 母 見 之 即 念 我 子 在 者 亦 當 為 子 娶 婦 言 
T14n0555a_001:0906c25	『我何負蒼天而殺我子！』「復為第五母作子時，	 我 何 負 蒼 天 而 殺 我 子 復 為 第 五 母 作 子 時 
T14n0555a_001:0906c26	我始年七歲，好道辭家，捨母隨師，入山求	我 始 年 七 歲 好 道 辭 家 捨 母 隨 師 入 山 求 
T14n0555a_001:0906c27	道，得羅漢道。我母日日啼哭言：『我生一子，	道 得 羅 漢 道 我 母 日 日 啼 哭 言 我 生 一 子 
T14n0555a_001:0906c28	隨師學道，不知所在，飢飽寒溫，不知生死，	隨 師 學 道 不 知 所 在 飢 飽 寒 溫 不 知 生 死 
T14n0555a_001:0906c29	不復相見。』愁毒言念我子。「是五母適共一會，	不 復 相 見 愁 毒 言 念 我 子 是 五 母 適 共 一 會 
T14n0555a_001:0907a01	各各言亡我子，相對啼哭，不能相止。是我	各 各 言 亡 我 子 相 對 啼 哭 不 能 相 止 是 我 
T14n0555a_001:0907a02	一身一魄，展轉而與五母腹中作子，固疑惑	一 身 一 魄 展 轉 而 與 五 母 腹 中 作 子 固 疑 惑 
T14n0555a_001:0907a03	人，而使眾悲哭發狂，但共念我一身耳，各	人 而 使 眾 悲 哭 發 狂 但 共 念 我 一 身 耳 各 
T14n0555a_001:0907a04	欲自殺，是故笑耳。「發念世間凡人，不知死	欲 自 殺 是 故 笑 耳 發 念 世 間 凡 人 不 知 死 
T14n0555a_001:0907a05	當有所至生，皆共言死耳。凡人何能知死	當 有 所 至 生 皆 共 言 死 耳 凡 人 何 能 知 死 
T14n0555a_001:0907a06	當有生，作善自得其福，作惡得其殃，不有	當 有 生 作 善 自 得 其 福 作 惡 得 其 殃 不 有 
T14n0555a_001:0907a07	所遺人。在世間皆為惡業，無所畏難，死後當	所 遺 人 在 世 間 皆 為 惡 業 無 所 畏 難 死 後 當 
T14n0555a_001:0907a08	入泰山地獄中，苦痛極哉，後悔無所復及。「我	入 泰 山 地 獄 中 苦 痛 極 哉 後 悔 無 所 復 及 我 
T14n0555a_001:0907a09	厭世間勤苦，故辭父母，入山精進求道。今	厭 世 間 勤 苦 故 辭 父 母 入 山 精 進 求 道 今 
T14n0555a_001:0907a10	我目見畜生、餓鬼、地獄中代之恐怖。今被蒙	我 目 見 畜 生 餓 鬼 地 獄 中 代 之 恐 怖 今 被 蒙 
T14n0555a_001:0907a11	佛恩，得聞經法。今我日夜憐傷五母不能	佛 恩 得 聞 經 法 今 我 日 夜 憐 傷 五 母 不 能 
T14n0555a_001:0907a12	自脫反憂，我所求願皆以得，念世間人展	自 脫 反 憂 我 所 求 願 皆 以 得 念 世 間 人 展 
T14n0555a_001:0907a13	轉相生，亦復相笑，無有休息。身皆歸土，魂	轉 相 生 亦 復 相 笑 無有休息 身 皆 歸 土 魂 
T14n0555a_001:0907a14	當所作，隨其善惡，皆不能自拔。斷其恩愛，	當 所 作 隨 其 善 惡 皆 不 能 自 拔 斷 其 恩 愛 
T14n0555a_001:0907a15	能離貪欲，可得度脫。我以不復與生死會，	能 離 貪 欲 可 得 度 脫 我 以 不 復 與 生 死 會 
T14n0555a_001:0907a16	我恨身以斷，如人不種，當泥洹道最樂，長復	我 恨 身 以 斷 如 人 不 種 當 泥 洹 道 最 樂 長 復 
T14n0555a_001:0907a17	與勤苦。」為師說之，已便飛去。	與 勤 苦 為 師 說 之 已 便 飛 去 
T14n0555a_001:0907a18	佛說五母子經	佛 說 五 母 子 經 
