T51n2093_001:1022b22	寺塔記	寺 塔 記 
T51n2093_001:1022c12	矣。	矣 
T51n2093_001:1022c13	不空三藏塔前多老松。歲早則官伐其枝。為	不 空 三 藏 塔 前 多 老 松 歲 早 則 官 伐 其 枝 為 
T51n2093_001:1022c14	龍骨以祈雨。蓋三藏役龍意。其樹必有靈也	龍 骨 以 祈 雨 蓋 三 藏 役 龍 意 其 樹 必 有 靈 也 
T51n2093_001:1022c15	行香院堂後壁上。元和中。畫人梁洽畫雙松。	行 香 院 堂 後 壁 上 元 和 中 畫 人 梁 洽 畫 雙 松 
T51n2093_001:1022c16	稍脫俗格。曼殊堂工塑極精妙。外壁有泥金	稍 脫 俗 格 曼 殊 堂 工 塑 極 精 妙 外 壁 有 泥 金 
T51n2093_001:1022c17	幀。不空自西域齎來者。	幀 不 空 自 西 域 齎 來 者 
T51n2093_001:1022c18	旃檀像堂中。有時非時經。界朱寫之。盛以漆	旃 檀 像 堂 中 有 時 非 時 經 界 朱 寫 之 盛 以 漆 
T51n2093_001:1022c19	龕。僧云。隋朝舊物。	龕 僧 云 隋 朝 舊 物 
T51n2093_001:1022c20	寺後先有曲池。不空臨終時。忽然涸竭。至	寺 後 先 有 曲 池 不 空 臨 終 時 忽 然 涸 竭 至 
T51n2093_001:1022c21	惟寬禪師止住。因潦通泉。白蓮藻自生。今	惟 寬 禪 師 止 住 因 潦 通 泉 白 蓮 藻 自 生 今 
T51n2093_001:1022c22	復成陸矣。	復 成 陸 矣 
T51n2093_001:1022c23	東廊之南素和尚院。庭有青桐四株。素之手	東 廊 之 南 素 和 尚 院 庭 有 青 桐 四 株 素 之 手 
T51n2093_001:1022c24	植。元和中卿相多遊此院。桐至夏有汗。污人	植 元 和 中 卿 相 多 遊 此 院 桐 至 夏 有 汗 污 人 
T51n2093_001:1022c25	衣如輠。脂不可浣。	衣 如 輠 脂 不 可 浣 
T51n2093_001:1022c26	左顧蛤像。舊傳云。隋帝嗜蛤。所食必兼蛤味。	左 顧 蛤 像 舊 傳 云 隋 帝 嗜 蛤 所 食 必 兼 蛤 味 
T51n2093_001:1022c27	數逾數千萬矣。忽有一蛤。推擊如舊。帝異之	數 逾 數 千 萬 矣 忽 有 一 蛤 推 擊 如 舊 帝 異 之 
T51n2093_001:1022c28	寘諸几上。一夜有光。及明肉自脫。中有一佛	寘 諸 几 上 一 夜 有 光 及 明 肉 自 脫 中 有 一 佛 
T51n2093_001:1022c29	二菩薩像。帝悲悔誓不食蛤。非陳宣帝　于	二 菩 薩 像 帝 悲 悔 誓 不 食 蛤 非 陳 宣 帝 于 
T51n2093_001:1023a01	闐玉像。高一尺七寸闊寸餘。一佛四菩薩。一	闐 玉 像 高 一 尺 七 寸 闊 寸 餘 一 佛 四 菩 薩 一 
T51n2093_001:1023a02	飛仙一叚玉成。截肪無玷。膩彩若滴。	飛 仙 一 叚 玉 成 截 肪 無 玷 膩 彩 若 滴 
T51n2093_001:1023a03	天王閣。長慶中造。本在春明門內。與南內連	天 王 閣 長 慶 中 造 本 在 春 明 門 內 與 南 內 連 
T51n2093_001:1023a04	牆。其形大為天下之最。太和二年勅移就此	牆 其 形 大 為 天 下 之 最 太 和 二 年 勅 移 就 此 
T51n2093_001:1023a05	寺。折時腹中。得布五百端漆數十筩。今部落	寺 折 時 腹 中 得 布 五 百 端 漆 數 十 筩 今 部 落 
T51n2093_001:1023a06	鬼神形像墮壞。唯天王不損。	鬼 神 形 像 墮 壞 唯 天 王 不 損 
T51n2093_001:1023a07	長樂坊安國寺紅樓。睿宗在藩時舞榭。	長 樂 坊 安 國 寺 紅 樓 睿 宗 在 藩 時 舞 榭 
T51n2093_001:1023a08	東禪院。亦曰木塔院。院門北西廊五壁。吳道	東 禪 院 亦 曰 木 塔 院 院 門 北 西 廊 五 壁 吳 道 
T51n2093_001:1023a09	玄弟子釋思道畫釋梵八部。不施彩色。尚有	玄 弟 子 釋 思 道 畫 釋 梵 八 部 不 施 彩 色 尚 有 
T51n2093_001:1023a10	典刑。	典 刑 
T51n2093_001:1023a11	光明寺中鬼子母。及文惠太子塑像。舉止態	光 明 寺 中 鬼 子 母 及 文 惠 太 子 塑 像 舉 止 態 
T51n2093_001:1023a12	度如生。工名李岫。	度 如 生 工 名 李 岫 
T51n2093_001:1023a13	山庭院。古木崇阜。幽若山谷。當時輦土營之	山 庭 院 古 木 崇 阜 幽 若 山 谷 當 時 輦 土 營 之 
T51n2093_001:1023a14	上座璘公院。有穗柏一株。衢柯偃覆。下坐	上 座 璘 公 院 有 穗 柏 一 株 衢 柯 偃 覆 下 坐 
T51n2093_001:1023a15	十餘人。	十 餘 人 
T51n2093_001:1023a16	常樂坊趙景公寺隋開皇三年置。本曰弘善	常 樂 坊 趙 景 公 寺 隋 開 皇 三 年 置 本 曰 弘 善 
T51n2093_001:1023a17	寺。十八年改焉。南中三門裏東壁上。吳道	寺 十 八 年 改 焉 南 中 三 門 裏 東 壁 上 吳 道 
T51n2093_001:1023a18	玄白畫地獄變。筆力勁怒。變狀陰怪。覩之不	玄 白 畫 地 獄 變 筆 力 勁 怒 變 狀 陰 怪 覩 之 不 
T51n2093_001:1023a19	覺毛戴。吳畫中得意處。	覺 毛 戴 吳 畫 中 得 意 處 
T51n2093_001:1023a20	三階院西廊下。范長壽畫西方變及十六對	三 階 院 西 廊 下 范 長 壽 畫 西 方 變 及 十 六 對 
T51n2093_001:1023a21	事寶池。池尤妙絕。諦視之。覺水入深。壁院門	事 寶 池 池 尤 妙 絕 諦 視 之 覺 水 入 深 壁 院 門 
T51n2093_001:1023a22	上。白畫樹石。頗似閻立德。予携立德行天詞	上 白 畫 樹 石 頗 似 閻 立 德 予 携 立 德 行 天 詞 
T51n2093_001:1023a23	粉本。驗之無異。	粉 本 驗 之 無 異 
T51n2093_001:1023a24	西中三門裡門南。吳生畫龍。及刷天王鬚。筆	西 中 三 門 裡 門 南 吳 生 畫 龍 及 刷 天 王 鬚 筆 
T51n2093_001:1023a25	蹟如鐵。有執爐天女。竊眸欲語。	蹟 如 鐵 有 執 爐 天 女 竊 眸 欲 語 
T51n2093_001:1023a26	華嚴院中鍮石盧舍立像高六尺。古樣精巧。	華 嚴 院 中 鍮 石 盧 舍 立 像 高 六 尺 古 樣 精 巧 
T51n2093_001:1023a27	塔下有舍利三斗四升。移塔之時。僧守行建	塔 下 有 舍 利 三 斗 四 升 移 塔 之 時 僧 守 行 建 
T51n2093_001:1023a28	道場出舍利。俾士庶觀之。唄讚未畢。滿地現	道 場 出 舍 利 俾 士 庶 觀 之 唄 讚 未 畢 滿 地 現 
T51n2093_001:1023a29	舍利。士女不敢踐之。悉出寺外。守公乃造小	舍 利 士 女 不 敢 踐 之 悉 出 寺 外 守 公 乃 造 小 
T51n2093_001:1023b01	泥塔及木塔。近十萬枚葬之。今尚有數萬存	泥 塔 及 木 塔 近 十 萬 枚 葬 之 今 尚 有 數 萬 存 
T51n2093_001:1023b02	焉。	焉 
T51n2093_001:1023b03	寺有小銀象六百餘軀。金佛一軀長數尺。大	寺 有 小 銀 象 六 百 餘 軀 金 佛 一 軀 長 數 尺 大 
T51n2093_001:1023b04	銀象高六尺餘。古樣精巧。又有篏七寶字多	銀 象 高 六 尺 餘 古 樣 精 巧 又 有 篏 七 寶 字 多 
T51n2093_001:1023b05	心經小屏風。盛以寶函。上有雜色珠及白珠。	心 經 小 屏 風 盛 以 寶 函 上 有 雜 色 珠 及 白 珠 
T51n2093_001:1023b06	駢甃亂目。祿山亂。官人藏於此寺。屏風十五	駢 甃 亂 目 祿 山 亂 官 人 藏 於 此 寺 屏 風 十 五 
T51n2093_001:1023b07	牒三十行。經後云。發心主司馬恒存。願成主	牒 三 十 行 經 後 云 發 心 主 司 馬 恒 存 願 成 主 
T51n2093_001:1023b08	上柱國索伏寶息。上柱國真德。為法界眾生	上 柱 國 索 伏 寶 息 上 柱 國 真 德 為 法 界 眾 生 
T51n2093_001:1023b09	造黃金牒。善繼疑外國物。	造 黃 金 牒 善 繼 疑 外 國 物 
T51n2093_001:1023b10	遊目記所說刺柏。太和中伐為殿材。	遊 目 記 所 說 刺 柏 太 和 中 伐 為 殿 材 
T51n2093_001:1023b11	道政坊寶應寺韓幹。藍田人。少時常為貰酒	道 政 坊 寶 應 寺 韓 幹 藍 田 人 少 時 常 為 貰 酒 
T51n2093_001:1023b12	家送酒。王右丞兄弟未遇。每一貰酒漫遊。幹	家 送 酒 王 右 丞 兄 弟 未 遇 每 一 貰 酒 漫 遊 幹 
T51n2093_001:1023b13	常徵債於王家。戲畫地為人馬。右丞精思丹	常 徵 債 於 王 家 戲 畫 地 為 人 馬 右 丞 精 思 丹 
T51n2093_001:1023b14	青。奇其意趣乃成。與錢二萬。令學畫十餘年。	青 奇 其 意 趣 乃 成 與 錢 二 萬 令 學 畫 十 餘 年 
T51n2093_001:1023b15	今寺中釋梵天女。悉齊公妓小小等寫真也。	今 寺 中 釋 梵 天 女 悉 齊 公 妓 小 小 等 寫 真 也 
T51n2093_001:1023b16	寺有韓幹畫下生幀。彌勒衣紫袈裟。右邊仰	寺 有 韓 幹 畫 下 生 幀 彌 勒 衣 紫 袈 裟 右 邊 仰 
T51n2093_001:1023b17	面菩薩及二獅子。猶入神。	面 菩 薩 及 二 獅 子 猶 入 神 
T51n2093_001:1023b18	西北角院內。有懷素書顏魯公序。張渭侍郎	西 北 角 院 內 有 懷 素 書 顏 魯 公 序 張 渭 侍 郎 
T51n2093_001:1023b19	錢起郎中讚。	錢 起 郎 中 讚 
T51n2093_001:1023b20	平康坊菩薩寺　食堂東壁上。吳道玄畫智	平 康 坊 菩 薩 寺 食 堂 東 壁 上 吳 道 玄 畫 智 
T51n2093_001:1023b21	度論色偈變。偈是吳自題。筆跡遒勁。如磔鬼	度 論 色 偈 變 偈 是 吳 自 題 筆 跡 遒 勁 如 磔 鬼 
T51n2093_001:1023b22	神毛髮。次堵畫禮骨仙人。天衣飛揚。滿壁風	神 毛 髮 次 堵 畫 禮 骨 仙 人 天 衣 飛 揚 滿 壁 風 
T51n2093_001:1023b23	動。	動 
T51n2093_001:1023b24	佛殿內槽後壁面。吳道玄畫消災經事。樹石	佛 殿 內 槽 後 壁 面 吳 道 玄 畫 消 災 經 事 樹 石 
T51n2093_001:1023b25	古嶮。元和中上欲令移之。慮其摧壞。乃下詔。	古 嶮 元 和 中 上 欲 令 移 之 慮 其 摧 壞 乃 下 詔 
T51n2093_001:1023b26	擇畫手寫進。	擇 畫 手 寫 進 
T51n2093_001:1023b27	佛殿內槽東壁。維摩變。舍利弗角而轉膝。元	佛 殿 內 槽 東 壁 維 摩 變 舍 利 弗 角 而 轉 膝 元 
T51n2093_001:1023b28	和末。俗講僧文淑裝之。筆蹟盡矣。	和 末 俗 講 僧 文 淑 裝 之 筆 蹟 盡 矣 
T51n2093_001:1023b29	寺之制度鍾樓在東。唯此寺緣李右座林甫	寺 之 制 度 鍾 樓 在 東 唯 此 寺 緣 李 右 座 林 甫 
T51n2093_001:1023c01	宅在東。故建鍾樓於西。寺內有郭令玳瑁鞭。	宅 在 東 故 建 鍾 樓 於 西 寺 內 有 郭 令 玳 瑁 鞭 
T51n2093_001:1023c02	及郭令王夫人七寶帳。寺主元竟多識釋門。	及 郭 令 王 夫 人 七 寶 帳 寺 主 元 竟 多 識 釋 門 
T51n2093_001:1023c03	故事云。李右座每至生日。常轉請此寺僧。就	故 事 云 李 右 座 每 至 生 日 常 轉 請 此 寺 僧 就 
T51n2093_001:1023c04	宅設齋。有僧乙甞嘆佛。施鞍一具。賣之材直	宅 設 齋 有 僧 乙 甞 嘆 佛 施 鞍 一 具 賣 之 材 直 
T51n2093_001:1023c05	七萬。又僧廣有聲名。口經數年。次當嘆佛。	七 萬 又 僧 廣 有 聲 名 口 經 數 年 次 當 嘆 佛 
T51n2093_001:1023c06	因極視右座功德。冀獲厚襯。齋畢簾下出綵	因 極 視 右 座 功 德 冀 獲 厚 襯 齋 畢 簾 下 出 綵 
T51n2093_001:1023c07	篚香羅帕籍一物。如朽釘長數寸。僧歸失望	篚 香 羅 帕 籍 一 物 如 朽 釘 長 數 寸 僧 歸 失 望 
T51n2093_001:1023c08	慚惋。數日且意。大臣不容欺己。遂携至西	慚 惋 數 日 且 意 大 臣 不 容 欺 己 遂 携 至 西 
T51n2093_001:1023c09	市。示於啇胡。啇胡見之驚曰。上人安得此物。	市 示 於 啇 胡 啇 胡 見 之 驚 曰 上 人 安 得 此 物 
T51n2093_001:1023c10	必貨此不違價。僧試求百千。胡人大笑曰。未	必 貨 此 不 違 價 僧 試 求 百 千 胡 人 大 笑 曰 未 
T51n2093_001:1023c11	也。更極意言之。加至五百千。胡人曰。此直一	也 更 極 意 言 之 加 至 五 百 千 胡 人 曰 此 直 一 
T51n2093_001:1023c12	千萬。遂與之。僧訪其名。曰此寶骨也。	千 萬 遂 與 之 僧 訪 其 名 曰 此 寶 骨 也 
T51n2093_001:1023c13	又寺先有僧。不言姓名。常負束[葶丁+呆]。坐臥於寺	又 寺 先 有 僧 不 言 姓 名 常 負 束 [葶丁呆] 坐 臥 於 寺 
T51n2093_001:1023c14	兩廊下。不肯住院。經數年。寺綱維或勸其住	兩 廊 下 不 肯 住 院 經 數 年 寺 綱 維 或 勸 其 住 
T51n2093_001:1023c15	房。曰爾厭我耶。其夕遂以束[葶丁+呆]焚身。至明唯	房 曰 爾 厭 我 耶 其 夕 遂 以 束 [葶丁呆] 焚 身 至 明 唯 
T51n2093_001:1023c16	灰燼耳。無血膋之臭。眾方知異人。遂塑灰為	灰 燼 耳 無 血 膋 之 臭 眾 方 知 異 人 遂 塑 灰 為 
T51n2093_001:1023c17	像。今在佛殿上。世號束草師。	像 今 在 佛 殿 上 世 號 束 草 師 
T51n2093_001:1023c18	光宅坊光宅寺　普賢堂本天后梳洗堂。蒲	光 宅 坊 光 宅 寺 普 賢 堂 本 天 后 梳 洗 堂 蒲 
T51n2093_001:1023c19	萄垂實則幸此堂。今堂中尉遲畫頗有奇處。	萄 垂 實 則 幸 此 堂 今 堂 中 尉 遲 畫 頗 有 奇 處 
T51n2093_001:1023c20	四壁畫像及脫皮白骨。匠意極嶮。又變形三	四 壁 畫 像 及 脫 皮 白 骨 匠 意 極 嶮 又 變 形 三 
T51n2093_001:1023c21	魔女。身若出壁。又佛圓光均彩相錯亂目成	魔 女 身 若 出 壁 又 佛 圓 光 均 彩 相 錯 亂 目 成 
T51n2093_001:1023c22	講。東壁佛座前錦如斷古標。西壁逼之摽摽	講 東 壁 佛 座 前 錦 如 斷 古 標 西 壁 逼 之 摽 摽 
T51n2093_001:1023c23	然。	然 
T51n2093_001:1023c24	宣陽坊靜域寺　本太穆皇后宅。寺僧云。三	宣 陽 坊 靜 域 寺 本 太 穆 皇 后 宅 寺 僧 云 三 
T51n2093_001:1023c25	階院門外。是神堯皇帝射孔雀處。上蟠蛇污	階 院 門 外 是 神 堯 皇 帝 射 孔 雀 處 上 蟠 蛇 污 
T51n2093_001:1023c26	烟可懼。東廊樹石嶮怪高僧亦怪。	烟 可 懼 東 廊 樹 石 嶮 怪 高 僧 亦 怪 
T51n2093_001:1023c27	招國坊崇濟寺　寺後有天后織成蛟龍披襖	招 國 坊 崇 濟 寺 寺 後 有 天 后 織 成 蛟 龍 披 襖 
T51n2093_001:1023c28	子及繡衣六事　東廓從南第二院。有宣律	子 及 繡 衣 六 事 東 廓 從 南 第 二 院 有 宣 律 
T51n2093_001:1023c29	師製袈裟堂曼殊堂。有松數株甚奇。	師 製 袈 裟 堂 曼 殊 堂 有 松 數 株 甚 奇 
T51n2093_001:1024a01	崇聖坊資聖寺　淨土院門外。相傳吳生一	崇 聖 坊 資 聖 寺 淨 土 院 門 外 相 傳 吳 生 一 
T51n2093_001:1024a02	夕秉燭醉畫。就中戟手視之惡駭。院門裏盧	夕 秉 燭 醉 畫 就 中 戟 手 視 之 惡 駭 院 門 裏 盧 
T51n2093_001:1024a03	楞伽常學吳勢。吳亦授以手訣。乃畫總持三	楞 伽 常 學 吳 勢 吳 亦 授 以 手 訣 乃 畫 總 持 三 
T51n2093_001:1024a04	門寺方半。吳大賞之。謂人曰。楞伽不得心	門 寺 方 半 吳 大 賞 之 謂 人 曰 楞 伽 不 得 心 
T51n2093_001:1024a05	訣。用思太苦其能久乎。畫畢而卒。	訣 用 思 太 苦 其 能 久 乎 畫 畢 而 卒 
T51n2093_001:1024a06	慈恩寺　寺不淨覺故伽藍因而營建焉。凡	慈 恩 寺 寺 不 淨 覺 故 伽 藍 因 而 營 建 焉 凡 
T51n2093_001:1024a07	十餘院。總一千八百九十七間。勅度三百僧。	十 餘 院 總 一 千 八 百 九 十 七 間 勅 度 三 百 僧 
T51n2093_001:1024a08	初三藏自西域迴。詔太常卿江夏王道宗設	初 三 藏 自 西 域 迴 詔 太 常 卿 江 夏 王 道 宗 設 
T51n2093_001:1024a09	九部樂。迎經像入寺。綵車凡千餘輛。上御安	九 部 樂 迎 經 像 入 寺 綵 車 凡 千 餘 輛 上 御 安 
T51n2093_001:1024a10	福門觀之。太宗常賜三藏衲約直百餘金。其	福 門 觀 之 太 宗 常 賜 三 藏 衲 約 直 百 餘 金 其 
T51n2093_001:1024a11	工無鍼綖之迹。	工 無 鍼 綖 之 迹 
