T85n2751_001:0194c05	法華經疏	法 華 經 疏 
T85n2751_001:0195a27	二從所以者何已下訖諸佛之恩。欲明如來	二 從 所以者何 已 下 訖 諸 佛 之 恩 欲 明 如 來 
T85n2751_001:0195a28	勸彼二依。流通之時。應彼二依。通化之時。	勸 彼 二 依 流 通 之 時 應 彼 二 依 通 化 之 時 
T85n2751_001:0195a29	應□佛成頌　第三從時諸菩薩已下訖願不	應 佛 成 頌 第 三 從 時 諸 菩 薩 已 下 訖 願 不 
T85n2751_001:0195b01	有慮。明諸菩薩敬諾施行也　第四從命時	有 慮 明 諸 菩 薩 敬 諾 施 行 也 第 四 從 命 時 
T85n2751_001:0195b02	釋迦已下訖於長行。明此如來說經也。訖唱	釋 迦 已 下 訖 於 長 行 明 此 如 來 說 經 也 訖 唱 
T85n2751_001:0195b03	散隨意。以右手摩無量菩薩頂者。明其一手	散 隨 意 以 右 手 摩 無 量 菩 薩 頂 者 明 其 一 手 
T85n2751_001:0195b04	及於眾頂。亦是神力隱其神力存口告之名。	及 於 眾 頂 亦 是 神 力 隱 其 神 力 存 口 告 之 名 
T85n2751_001:0195b05	我於無量修集是難得三菩提者。欲明如來	我 於 無 量 修 集 是 難 得 三 菩 提 者 欲 明 如 來 
T85n2751_001:0195b06	因地之時。修行曠劫修因方始剋得法身。其	因 地 之 時 修 行 曠 劫 修 因 方 始 剋 得 法 身 其 
T85n2751_001:0195b07	果故云難得。如來欲以此之大法與物同證	果 故 云 難 得 如 來 欲 以 此 之 大 法 與 物 同 證 
T85n2751_001:0195b08	故付二依。傳化來聞使千載不隧故云汝。汝	故 付 二 依 傳 化 來 聞 使 千 載 不 隧 故 云 汝 汝 
T85n2751_001:0195b09	當一心流布此法。廣令增益也。令一切眾生	當 一 心 流 布 此 法 廣 令 增 益 也 令 一 切 眾 生 
T85n2751_001:0195b10	普得聞知。從所以者何已下。品之第二勸彼	普 得 聞 知 從 所以者何 已 下 品 之 第 二 勸 彼 
T85n2751_001:0195b11	二依。□佛成頌。所以汝等未來之世能流通	二 依 佛 成 頌 所 以 汝 等 未 來 之 世 能 流 通 
T85n2751_001:0195b12	者何要當學佛四種之法。一明如來有大慈	者 何 要 當 學 佛 四 種 之 法 一 明 如 來 有 大 慈 
T85n2751_001:0195b13	悲。二明如來無諸慳悋。三明如來應機授法	悲 二 明 如 來 無 諸 慳 悋 三 明 如 來 應 機 授 法 
T85n2751_001:0195b14	故云無所畏。四明如來是諸眾生之大施主。	故 云 無 所 畏 四 明 如 來 是 諸 眾 生 之 大 施 主 
T85n2751_001:0195b15	若能修持如來四法。便能惡世流通此經故。	若 能 修 持 如 來 四 法 便 能 惡 世 流 通 此 經 故 
T85n2751_001:0195b16	云亦應隨學如來之法勿生慳悋。從於未來	云 亦 應 隨 學 如來之法 勿 生 慳 悋 從 於 未 來 
T85n2751_001:0195b17	世若男子女人已下。勸其二依相。根授法有	世 若 男 子 女 人 已 下 勸 其 二 依 相 根 授 法 有 
T85n2751_001:0195b18	大根者。為說其一故。云信如來智慧者當為	大 根 者 為 說 其 一 故 云 信 如來智慧 者 當 為 
T85n2751_001:0195b19	演說此法華經。從若有眾生已下。明根小之	演 說 此 法 華 經 從 若 有 眾 生 已 下 明 根 小 之 
T85n2751_001:0195b20	人。為說三乘故。云餘深法中示教利喜。經師	人 為 說 三 乘 故 云 餘 深 法 中 示 教 利 喜 經 師 
T85n2751_001:0195b21	尋此經文廣說法華。當是空中所前以得知。	尋 此 經 文 廣 說 法 華 當 是 空 中 所 前 以 得 知 
T85n2751_001:0195b22	從上已來未曾有起。此中始言從法生起摩	從 上 已 來 未 曾 有 起 此 中 始 言 從 法 生 起 摩 
T85n2751_001:0195b23	頂付囑以此驗知。	頂 付 囑 以 此 驗 知 
T85n2751_001:0195b24	藥王品	藥 王 品 
T85n2751_001:0195b25	襲　從此已下訖於經末後世文中大段第三	襲 從 此 已 下 訖 於 經 末 後 世 文 中 大 段 第 三 
T85n2751_001:0195b26	教二依。未來之世流通法用。然二依大士豈	教 二 依 未 來 之 世 流 通 法 用 然 二 依 大 士 豈 
T85n2751_001:0195b27	將聖教方文。於流通欲對二依。該於始學乘	將 聖 教 方 文 於 流 通 欲 對 二 依 該 於 始 學 乘 
T85n2751_001:0195b28	世之中苦行流通。當如藥王權道普入當如	世 之 中 苦 行 流 通 當 如 藥 王 權 道 普 入 當 如 
T85n2751_001:0195b29	妙音觀音。說呪擁護。如陀羅尼。藉善知識。汝	妙 音 觀 音 說 呪 擁 護 如 陀 羅 尼 藉 善 知 識 汝 
T85n2751_001:0195c01	妙莊敬作善知識如淨藏等也。勸發二人如	妙 莊 敬 作 善 知 識 如 淨 藏 等 也 勸 發 二 人 如 
T85n2751_001:0195c02	似普賢。以此證便故引文在此也。若論次第	似 普 賢 以 此 證 便 故 引 文 在 此 也 若 論 次 第 
T85n2751_001:0195c03	應在不輕後安。就此品中凡為二文　第一從	應 在 不 輕 後 安 就 此 品 中 凡 為 二 文 第 一 從 
T85n2751_001:0195c04	初已下訖聞皆歡喜。將明藥王本苦行事故	初 已 下 訖 聞 皆 歡 喜 將 明 藥 王 本 苦 行 事 故 
T85n2751_001:0195c05	宿王華說請其佛說　第二從佛告已下訖以	宿 王 華 說 請 其 佛 說 第 二 從 佛 告 已 下 訖 以 
T85n2751_001:0195c06	明供養。明期藥王苦行流通之處　第三從	明 供 養 明 期 藥 王 苦 行 流 通 之 處 第 三 從 
T85n2751_001:0195c07	爾時彼佛如一切眾生已下訖其福最多正。	爾 時 彼 佛 如 一 切 眾 生 已 下 訖 其 福 最 多 正 
T85n2751_001:0195c08	明藥王現在未來燒身辟苦流通。所以乃導。	明 藥 王 現在未來 燒 身 辟 苦 流 通 所 以 乃 導 
T85n2751_001:0195c09	爾時彼佛為一切眾生說法華經者。欲明□	爾 時 彼 佛 為 一 切 眾 生 說 法 華 經 者 欲 明 
T85n2751_001:0195c10	見莊嚴法中流通法華蒙經理益。即時獲得	見 莊 嚴 法 中 流 通 法 華 蒙 經 理 益 即 時 獲 得 
T85n2751_001:0195c11	色身三昧荷佛恩重。并袍經澤故。盡財命以	色 身 三 昧 荷 佛 恩 重 并 袍 經 澤 故 盡 財 命 以 
T85n2751_001:0195c12	供養之故。以此苦行彰經理深。得弘法華故	供 養 之 故 以 此 苦 行 彰 經 理 深 得 弘 法 華 故 
T85n2751_001:0195c13	云我今當供養日月淨明德佛及法華經不如	云 我 今 當 供 養 日 月 淨 明 德 佛 及 法 華 經 不 如 
T85n2751_001:0195c14	以身供養。若欲明此中一段眾生應見燒身	以 身 供 養 若 欲 明 此 中 一 段 眾 生 應 見 燒 身 
T85n2751_001:0195c15	喪命報經發道處多故。言不如以身供養也。	喪 命 報 經 發 道 處 多 故 言 不 如 以 身 供 養 也 
T85n2751_001:0195c16	欲明捨身亦是捨財。云何道言真法供養。但	欲 明 捨 身 亦 是 捨 財 云 何 道 言 真 法 供 養 但 
T85n2751_001:0195c17	自悟道不同。要燒身得解大乘為通大法故	自 悟 道 不 同 要 燒 身 得 解 大 乘 為 通 大 法 故 
T85n2751_001:0195c18	便捨身。故言真法供養之耳。如似香積因聞	便 捨 身 故 言 真 法 供 養 之 耳 如 似 香 積 因 聞 
T85n2751_001:0195c19	香故得解大乘也。第一施者財施養形為下。	香 故 得 解 大 乘 也 第 一 施 者 財 施 養 形 為 下 
T85n2751_001:0195c20	因財通小乘為中。今日因財通大乘法為上。	因 財 通 小 乘 為 中 今 日 因 財 通 大 乘 法 為 上 
T85n2751_001:0195c21	故言第一千二百歲身乃盡有眾生滅盡應身	故 言 第 一 千 二 百 歲 身 乃 盡 有 眾 生 滅 盡 應 身 
T85n2751_001:0195c22	則遷此之燒辟則燒欲伏還伏。當知大士有	則 遷 此 之 燒 辟 則 燒 欲 伏 還 伏 當 知 大 士 有 
T85n2751_001:0195c23	物不同隨根隱顯耳。不欲明指福多欲噵燒	物 不 同 隨 根 隱 顯 耳 不 欲 明 指 福 多 欲 噵 燒 
T85n2751_001:0195c24	指傷筋傷骨難而能為其功則大。若能持經	指 傷 筋 傷 骨 難 而 能 為 其 功 則 大 若 能 持 經 
T85n2751_001:0195c25	功過於此。以劣形勝心明經深理勸人流通	功 過 於 此 以 劣 形 勝 心 明 經 深 理 勸 人 流 通 
T85n2751_001:0195c26	　第四從宿王譬如一切川流已下訖此經能	 第 四 從 宿 王 譬 如 一 切 川 流 已 下 訖 此 經 能 
T85n2751_001:0195c27	救一切眾生已來。正明此經理深。言遠益物	救 一 切 眾 生 已 來 正 明 此 經 理 深 言 遠 益 物 
T85n2751_001:0195c28	處多出過餘經二依未來應當流通　第五從	處 多 出 過 餘 經 二 依 未 來 應 當 流 通 第 五 從 
T85n2751_001:0195c29	此經能救一切眾生者已下訖所得功德亦復	此 經 能 救 一 切 眾 生 者 已 下 訖 所得功德 亦 復 
T85n2751_001:0196a01	無量。上明理深。何以得知下。明此經能除物	無 量 上 明 理 深 何 以 得 知 下 明 此 經 能 除 物 
T85n2751_001:0196a02	患利益無量證知深理也　第六從若有人聞	患 利 益 無 量 證 知 深 理 也 第 六 從 若 有 人 聞 
T85n2751_001:0196a03	是藥王菩薩本事品已下。應當如是□□□	是 藥 王 菩 薩 本 事 品 已 下 應 當 如 是 
T85n2751_001:0196a04	心。付囑此品並勸二人。在於末代受持流通。	心 付 囑 此 品 並 勸 二 人 在 於 末 代 受 持 流 通 
T85n2751_001:0196a05	從若有女人聞是品能受持者。先勸弟子未	從 若 有 女 人 聞 是 品 能 受 持 者 先 勸 弟 子 未 
T85n2751_001:0196a06	來應當懃加聽受。從若如來滅後二五歲以	來 應 當 懃 加 聽 受 從 若 如來滅後 二 五 歲 以 
T85n2751_001:0196a07	下。勸其法師流通彼物。從初已下明其滅惡	下 勸 其 法 師 流 通 彼 物 從 初 已 下 明 其 滅 惡 
T85n2751_001:0196a08	故。云不復為貪欲所惱。從得菩薩神力已	故 云 不 復 為 貪 欲 所 惱 從 得 菩 薩 神 力 已 
T85n2751_001:0196a09	下明其生善。從是時諸佛已下廣明諸佛嘆	下 明 其 生 善 從 是 時 諸 佛 已 下 廣 明 諸 佛 嘆 
T85n2751_001:0196a10	持經人德行深遠。從是故宿王華已下。正勸	持 經 人 德 行 深 遠 從 是 故 宿 王 華 已 下 正 勸 
T85n2751_001:0196a11	法師當於未來通經益物。從宿王汝若見有	法 師 當 於 未 來 通 經 益 物 從 宿 王 汝 若 見 有 
T85n2751_001:0196a12	受持是經已下。勸彼弟子未來應當供養法	受 持 是 經 已 下 勸 彼 弟 子 未 來 應 當 供 養 法 
T85n2751_001:0196a13	師諸求大法。從是求佛道者已下。結勸供養	師 諸 求 大 法 從 是 求 佛 道 者 已 下 結 勸 供 養 
T85n2751_001:0196a14	　第七從說是藥王品已下。明當時之益。	 第 七 從 說 是 藥 王 品 已 下 明 當 時 之 益 
T85n2751_001:0196a15	妙音品	妙 音 品 
T85n2751_001:0196a16	其人乃法身大士先應東方。此土有緣放光	其 人 乃 法身大士 先 應 東 方 此 土 有 緣 放 光 
T85n2751_001:0196a17	召之。就此品中凡有五文　第一從初已下	召 之 就 此 品 中 凡 有 五 文 第 一 從 初 已 下 
T85n2751_001:0196a18	訖而為說法。明其妙音行之之處。此中放光	訖 而 為 說 法 明 其 妙 音 行 之 之 處 此 中 放 光 
T85n2751_001:0196a19	在略說後廣說。初也。所以放二光者放肉結	在 略 說 後 廣 說 初 也 所 以 放 二 光 者 放 肉 結 
T85n2751_001:0196a20	光者結本最上表明一乘最上高勝。放眉間	光 者 結 本 最 上 表 明 一 乘 最 上 高 勝 放 眉 間 
T85n2751_001:0196a21	者表明中道不偏之理也　第二從釋已下訖	者 表 明 中 道 不 偏 之 理 也 第 二 從 釋 已 下 訖 
T85n2751_001:0196a22	亦欲聽是法華經故。明其妙音將來之相	亦 欲 聽 是 法 華 經 故 明 其 妙 音 將 來 之 相 
T85n2751_001:0196a23	　第三從文殊白佛是菩薩種何善根已下訖如	 第 三 從 文 殊 白 佛 是 菩 薩 種 何 善 根 已 下 訖 如 
T85n2751_001:0196a24	是饒益無量眾生。廣明妙音有其德行　第	是 饒 益 無 量 眾 生 廣 明 妙 音 有 其 德 行 第 
T85n2751_001:0196a25	四從說是妙音品時與妙音俱來已下訖色身	四 從 說 是 妙 音 品 時 與 妙 音 俱 來 已 下 訖 色 身 
T85n2751_001:0196a26	三昧。明來往之益　第五從說是來往品已	三 昧 明 來 往 之 益 第 五 從 說 是 來 往 品 已 
T85n2751_001:0196a27	下。明當益也　就第二段中。久已須眾德本	下 明 當 益 也 就 第 二 段 中 久 已 須 眾 德 本 
T85n2751_001:0196a28	乃至道其恒沙等諸大三昧等。皆是經家嘆	乃 至 道 其 恒 沙 等 諸 大 三 昧 等 皆 是 經 家 嘆 
T85n2751_001:0196a29	妙音德。非是如來解其德行。若當此中已明	妙 音 德 非 是 如 來 解 其 德 行 若 當 此 中 已 明 
T85n2751_001:0196b01	德者。下復何須更列德行。從即自佛淨華宿	德 者 下 復 何 須 更 列 德 行 從 即 自 佛 淨 華 宿 
T85n2751_001:0196b02	王智佛已下。欲明妙音將欲發來仰請彼佛	王 智 佛 已 下 欲 明 妙 音 將 欲 發 來 仰 請 彼 佛 
T85n2751_001:0196b03	辭求至此。從佛告妙音已下。淨華如來言對	辭 求 至 此 從 佛 告 妙 音 已 下 淨 華 如 來 言 對 
T85n2751_001:0196b04	妙音意在戒。初諸小菩薩所以誡者。彼小菩	妙 音 意 在 戒 初 諸 小 菩 薩 所 以 誡 者 彼 小 菩 
T85n2751_001:0196b05	薩不側釋迦現居勝化應形丈六情生奢敬。	薩 不 側 釋 迦 現 居 勝 化 應 形 丈 六 情 生 奢 敬 
T85n2751_001:0196b06	是故誡言汝往莫生下劣相也。從妙音菩薩	是 故 誡 言 汝 往 莫 生 下 劣 相 也 從 妙 音 菩 薩 
T85n2751_001:0196b07	白其佛言已下。欲明妙音仰稟加被。欲至娑	白 其 佛 言 已 下 欲 明 妙 音 仰 稟 加 被 欲 至 娑 
T85n2751_001:0196b08	婆妙音乃是法雲之士。豈待加被方能來恒	婆 妙 音 乃 是 法 雲 之 士 豈 待 加 被 方 能 來 恒 
T85n2751_001:0196b09	為小行觀言有假故云皆是如來之□。從於	為 小 行 觀 言 有 假 故 云 皆 是 如 來 之 從 於 
T85n2751_001:0196b10	是妙音菩薩不起已下。正明妙音將來之相。	是 妙 音 菩 薩 不 起 已 下 正 明 妙 音 將 來 之 相 
T85n2751_001:0196b11	先觀此瑞相者。使此大眾豫知妙音法身大	先 觀 此 瑞 相 者 使 此 大 眾 豫 知 妙 音 法 身 大 
T85n2751_001:0196b12	士。為聽法華不遠不而至。彰理深玄生其懃	士 為 聽 法 華 不 遠 不 而 至 彰 理 深 玄 生 其 懃 
T85n2751_001:0196b13	仰並作益也。從爾時文殊法王子見是蓮華	仰 並 作 益 也 從 爾 時 文 殊 法 王 子 見 是 蓮 華 
T85n2751_001:0196b14	白佛已下。明此大眾覩此瑞相不達何所以	白 佛 已 下 明 此 大 眾 覩 此 瑞 相 不 達 何 所 以 
T85n2751_001:0196b15	生其疑問。從佛告已下。明彼妙音將來釋其	生 其 疑 問 從 佛 告 已 下 明 彼 妙 音 將 來 釋 其 
T85n2751_001:0196b16	疑句故。云欲供養聽法華經正為弘經故來	疑 句 故 云 欲 供 養 聽 法 華 經 正 為 弘 經 故 來 
T85n2751_001:0196b17	此也　從文殊師利白佛是菩薩何善根已下	此 也 從 文 殊 師 利 白 佛 是 菩 薩 何 善 根 已 下 
T85n2751_001:0196b18	品。第三明其德行。就中有二。第一文殊發其	品 第 三 明 其 德 行 就 中 有 二 第 一 文 殊 發 其 
T85n2751_001:0196b19	三問　第二如來答其問者。種何善根修何	三 問 第 二 如 來 答 其 問 者 種 何 善 根 修 何 
T85n2751_001:0196b20	功德。此之兩句聞其因行。而能有是大神通	功 德 此 之 兩 句 聞 其 因 行 而 能 有 是 大 神 通 
T85n2751_001:0196b21	力。此之兩句問其果也。現在德也。前明過去	力 此 之 兩 句 問 其 果 也 現 在 德 也 前 明 過 去 
T85n2751_001:0196b22	因也。行何三昧已下。第二問二其通因通不	因 也 行 何 三 昧 已 下 第 二 問 二 其 通 因 通 不 
T85n2751_001:0196b23	孤起。起必由定故。云何行三昧願為我說三	孤 起 起 必 由 定 故 云 何 行 三 昧 願 為 我 說 三 
T85n2751_001:0196b24	昧若乎。從唯願世尊已下第三問其身相	昧 若 乎 從 唯 願 世 尊 已 下 第 三 問 其 身 相 
T85n2751_001:0196b25	　從佛告已下如來答也。從初已下訖并見文	 從 佛 告 已 下 如 來 答 也 從 初 已 下 訖 并 見 文 
T85n2751_001:0196b26	殊故身來至。此是答第三問□□以令多寶	殊 故 身 來 至 此 是 答 第 三 問 以 令 多 寶 
T85n2751_001:0196b27	命者凡有二義。一明多寶弘經之首生緣中	命 者 凡 有 二 義 一 明 多 寶 弘 經 之 首 生 緣 中 
T85n2751_001:0196b28	最是其上。二明兩佛心同。為明理一一使光	最 是 其 上 二 明 兩 佛 心 同 為 明 理 一 一 使 光 
T85n2751_001:0196b29	召。一則口告彰意無。二從時多寶已下。正明	召 一 則 口 告 彰 意 無 二 從 時 多 寶 已 下 正 明 
T85n2751_001:0196c01	多寶言命妙音。從于時妙音已下。正明妙音	多 寶 言 命 妙 音 從 于 時 妙 音 已 下 正 明 妙 音 
T85n2751_001:0196c02	仰奉聖勅來至此也。訖到此土奉施供養順	仰 奉 聖 勅 來 至 此 也 訖 到 此 土 奉 施 供 養 順 
T85n2751_001:0196c03	宜問訊。我今欲見多寶佛身。此之請見在方	宜 問 訊 我 今 欲 見 多 寶 佛 身 此 之 請 見 在 方 
T85n2751_001:0196c04	便品略說。後廣說前事同大樂說請見莫異。	便 品 略 說 後 廣 說 前 事 同 大 樂 說 請 見 莫 異 
T85n2751_001:0196c05	為證流通故在。此明并見文殊者。見其文殊	為 證 流 通 故 在 此 明 并 見 文 殊 者 見 其 文 殊 
T85n2751_001:0196c06	所為者也。從爾時華德白佛言已下。訖是妙	所 為 者 也 從 爾 時 華 德 白 佛 言 已 下 訖 是 妙 
T85n2751_001:0196c07	音菩薩深種善根。答問一去問遠故重舉請	音 菩 薩 深 種 善 根 答 問 一 去 問 遠 故 重 舉 請 
T85n2751_001:0196c08	答。彼上問言種何善根。明何功德有神通。妙	答 彼 上 問 言 種 何 善 根 明 何 功 德 有 神 通 妙 
T85n2751_001:0196c09	音過去以十方種種伎樂及七寶鉢。是其緣	音 過 去 以 十 方 種 種 伎 樂 及 七 寶 鉢 是 其 緣 
T85n2751_001:0196c10	內之拾以是其因也。此是其行果。今報生有	內 之 拾 以 是 其 因 也 此 是 其 行 果 今 報 生 有 
T85n2751_001:0196c11	是神力。是其德也。從汝但見妙音其身在此	是 神 力 是 其 德 也 從 汝 但 見 妙 音 其 身 在 此 
T85n2751_001:0196c12	已下。廣明現在果報德也。從十萬恒河已下。	已 下 廣 明 現 在 果 報 德 也 從 十 萬 恒 河 已 下 
T85n2751_001:0196c13	欲噵妙音。非但此方。亦於餘方。亦於種種施	欲 噵 妙 音 非 但 此 方 亦 於 餘 方 亦 於 種 種 施 
T85n2751_001:0196c14	化。是妙音深種善根者。此是華德領解之辭	化 是 妙 音 深 種 善 根 者 此 是 華 德 領 解 之 辭 
T85n2751_001:0196c15	從世尊是菩薩住何三昧者。重舉第二問以	從 世 尊 是 菩 薩 住 何 三 昧 者 重 舉 第 二 問 以 
T85n2751_001:0196c16	請其答。彼上問言行何三昧。今答名現一切	請 其 答 彼 上 問 言 行 何 三 昧 今 答 名 現 一 切 
T85n2751_001:0196c17	色身者。此是法身華三昧六根清淨也。	色 身 者 此 是 法 身 華 三 昧 六 根 清 淨 也 
T85n2751_001:0196c18	觀世音品	觀 世 音 品 
T85n2751_001:0196c19	此人亦是法身大士。妙音一流先應西方。此	此 人 亦 是 法身大士 妙 音 一 流 先 應 西 方 此 
T85n2751_001:0196c20	土有緣私化到此。普應諸門乘音度物名觀	土 有 緣 私 化 到 此 普 應 諸 門 乘 音 度 物 名 觀 
T85n2751_001:0196c21	音。世上之妙音。從已音聲化人為名。此之	音 世 上 之 妙 音 從 已 音 聲 化 人 為 名 此 之 
T85n2751_001:0196c22	觀音。從前音聲以得名也。觀前聲而往度之	觀 音 從 前 音 聲 以 得 名 也 觀 前 聲 而 往 度 之 
T85n2751_001:0196c23	因此為名也。就此品中凡有六文　第一從	因 此 為 名 也 就 此 品 中 凡 有 六 文 第 一 從 
