X22n0432_001:0898b06	修西定課	修 西 定 課 
X22n0432_001:0898c15	心香乍　爇　法界同　熏　　蓮池海會悉遙聞	心 香 乍 爇 法 界 同 熏 蓮 池 海 會 悉 遙 聞 
X22n0432_001:0898c16	　　　我佛起祥雲　　　嘉瑞繽　紛　　接引	 我 佛 起 祥 雲 嘉 瑞 繽 紛 接 引 
X22n0432_001:0898c17	願方殷　　嘉瑞繽　紛　　接引願方殷。	願 方 殷 嘉 瑞 繽 紛 接 引 願 方 殷 
X22n0432_001:0898c18	每一圈擊魚一聲。	每 一 圈 擊 魚 一 聲 
X22n0432_001:0898c19	信心為香。法界者。統心法事法之所到而為界。言	信 心 為 香 法 界 者 統 心 法 事 法 之 所 到 而 為 界 言 
X22n0432_001:0898c20	其廣大。無所不包也。蓮池海會。指西方淨土中人	其 廣 大 無 所 不 包 也 蓮 池 海 會 指 西方淨土 中 人 
X22n0432_001:0898c21	也。我佛。指阿彌陀也。必言我者。從我心光明中出	也 我 佛 指 阿 彌 陀 也 必 言 我 者 從 我 心 光 明 中 出 
X22n0432_001:0898c22	現。光明不聚。不能見佛也。起者。從西方極樂世界。	現 光 明 不 聚 不 能 見 佛 也 起 者 從 西方極樂 世 界 
X22n0432_001:0898c23	來赴東土娑婆世界也。嘉瑞。樓閣幢旛異香天樂	來 赴 東 土 娑婆世界 也 嘉 瑞 樓 閣 幢 旛 異 香 天 樂 
X22n0432_001:0898c24	之類也。繽紛。文彩交互也。願方殷者。阿彌陀佛修	之 類 也 繽 紛 文 彩 交 互 也 願 方 殷 者 阿 彌 陀 佛 修 
X22n0432_001:0899a01	行之時。作法藏比丘。對世自在王如來前。發四十	行 之 時 作 法 藏 比 丘 對 世 自 在 王 如 來 前 發 四 十 
X22n0432_001:0899a02	八願。願願成就。方成佛道。其四十八願。皆是多設	八 願 願 願 成 就 方 成 佛 道 其 四 十 八 願 皆 是 多 設 
X22n0432_001:0899a03	方便。廣度十方六道眾生。勸其念佛。生於極樂世	方 便 廣 度 十 方 六 道 眾 生 勸 其 念 佛 生 於 極 樂 世 
X22n0432_001:0899a04	界中。修行不退。便悟真宗。成就威神。轉相化度也。	界 中 修 行 不 退 便 悟 真 宗 成 就 威 神 轉 相 化 度 也 
X22n0432_001:0899a05	今阿彌陀佛。願力圓成。作佛已久。願光慈照。接引	今 阿 彌 陀 佛 願 力 圓 成 作 佛 已 久 願 光 慈 照 接 引 
X22n0432_001:0899a06	心深。譬如一鏡涵空。影來則現。所以叩之而無不	心 深 譬 如 一 鏡 涵 空 影 來 則 現 所 以 叩 之 而 無 不 
X22n0432_001:0899a07	通也。	通 也 
X22n0432_001:0899a08	南無蓮池海會佛菩薩(三稱三拜)。	南 無 蓮 池 海 會 佛 菩 薩 三 稱 三 拜 
X22n0432_001:0899a12	佛說阿彌陀經	佛 說 阿 彌 陀 經 
X22n0432_001:0899a13	佛。東方娑婆世界釋迦牟尼佛也。釋迦在此娑婆	佛 東 方 娑婆世界 釋 迦 牟 尼 佛 也 釋 迦 在 此 娑 婆 
X22n0432_001:0899a14	成佛。隨眾生壽。不過百年。愍念娑婆眾生。見佛不	成 佛 隨 眾 生 壽 不 過 百 年 愍 念 娑 婆 眾 生 見 佛 不 
X22n0432_001:0899a15	易。釋迦以後。彌勒以前。千萬年中。受大苦惱。故說	易 釋 迦 以 後 彌 勒 以 前 千 萬 年 中 受 大 苦 惱 故 說 
X22n0432_001:0899a16	此阿彌陀經。流布世間。使諸苦惱眾生。修七日之	此 阿 彌 陀 經 流 布 世 間 使 諸 苦 惱 眾 生 修 七 日 之 
X22n0432_001:0899a17	功。免永劫之苦。轉凡成聖。不退佛因也。經。法也。經	功 免 永 劫 之 苦 轉 凡 成 聖 不 退 佛 因 也 經 法 也 經 
X22n0432_001:0899a18	名阿彌陀者。純說阿彌陀佛度生因緣功德也。阿	名 阿 彌 陀 者 純 說 阿 彌 陀 佛 度 生 因 緣 功 德 也 阿 
X22n0432_001:0899a19	者。無也。彌陀者。量也。其佛萬德圓成。不可窮盡。故	者 無 也 彌 陀 者 量 也 其 佛 萬 德 圓 成 不可窮盡 故 
X22n0432_001:0899a20	名無量。於萬德中。願為最勝。願力大。故光明無量。	名 無 量 於 萬 德 中 願 為 最 勝 願 力 大 故 光 明 無 量 
X22n0432_001:0899a21	願心長。故壽命無量也。諸經所稱無量壽佛無量	願 心 長 故 壽 命 無 量 也 諸 經 所 稱 無 量 壽 佛 無 量 
X22n0432_001:0899a22	光佛。即此佛矣。釋迦說此經。在東土娑婆世界南	光 佛 即 此 佛 矣 釋 迦 說 此 經 在 東 土 娑婆世界 南 
X22n0432_001:0899a23	贍部洲舍衛國。傳至震旦。震旦即南洲東邊。我輩	贍 部 洲 舍 衛 國 傳 至 震 旦 震 旦 即 南 洲 東 邊 我 輩 
X22n0432_001:0899a24	所居也。梵文古茂。不可持誦。有姚秦時之三藏法	所 居 也 梵 文 古 茂 不 可 持 誦 有 姚 秦 時 之 三 藏 法 
X22n0432_001:0899b01	師鳩摩羅什者。翻譯此經。經義圓妙。不可淺測。有	師 鳩 摩 羅 什 者 翻 譯 此 經 經 義 圓 妙 不 可 淺 測 有 
X22n0432_001:0899b02	大清朝之菩薩戒鄭學川者。作為今解。今解者。取	大 清 朝 之 菩 薩 戒 鄭 學 川 者 作 為 今 解 今 解 者 取 
X22n0432_001:0899b03	經中今現在說法今發願今生之義。望人一生取	經 中 今 現 在 說 法 今 發 願 今 生 之 義 望 人 一 生 取 
X22n0432_001:0899b04	辦。便不入於父母之胎。妙取蓮花。高超界外也。○	辦 便 不 入 於 父 母 之 胎 妙 取 蓮 花 高 超 界 外 也 
X22n0432_001:0899b05	夫佛說我聽。皆從心現。但是心說心聽耳。心體如	夫 佛 說 我 聽 皆 從 心 現 但 是 心 說 心 聽 耳 心 體 如 
X22n0432_001:0899b06	鏡。山河大地。人物虗空。我及如來。種種形類。但是	鏡 山 河 大 地 人 物 虗 空 我 及 如 來 種 種 形 類 但 是 
X22n0432_001:0899b07	妙圓心鏡中所現影子耳。	妙 圓 心 鏡 中 所 現 影 子 耳 
X22n0432_001:0899b08	如是我聞。	如是我聞 
X22n0432_001:0899b09	如者。心之真體。譬如鏡也。是者。心中所現法。譬如	如 者 心 之 真 體 譬 如 鏡 也 是 者 心 中 所 現 法 譬 如 
X22n0432_001:0899b10	在全鏡上指出一個影子也。我者二義。自經言之。	在 全 鏡 上 指 出 一 個 影 子 也 我 者 二 義 自 經 言 之 
X22n0432_001:0899b11	即是結集之阿難也。自讀經言之。即是持誦之人	即 是 結 集 之 阿 難 也 自 讀 經 言 之 即 是 持 誦 之 人 
X22n0432_001:0899b12	也。聞者。心慧之動機也。心耳同用。方謂之聞。	也 聞 者 心 慧 之 動 機 也 心 耳 同 用 方 謂 之 聞 
X22n0432_001:0899b13	一時佛在舍衛國。祇樹給孤獨園(祇音其)。	一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 祇 音 其 
X22n0432_001:0899b14	一時者。諸天及人。時分各異。佛音周徧。不能專指	一 時 者 諸 天 及 人 時 分 各 異 佛 音 周 徧 不 能 專 指 
X22n0432_001:0899b15	一方也。佛。釋迦牟尼也。生於周昭王時。歿於周穆	一 方 也 佛 釋 迦 牟 尼 也 生 於 周 昭 王 時 歿 於 周 穆 
X22n0432_001:0899b16	王時。大悲影現。來度眾生。非歿非生。現作生歿。譬	王 時 大 悲 影 現 來 度 眾 生 非 歿 非 生 現 作 生 歿 譬 
X22n0432_001:0899b17	如水月燈雲。玲瓏妙映耳。佛之本體。但是光明。吞	如 水 月 燈 雲 玲 瓏 妙 映 耳 佛 之 本 體 但 是 光 明 吞 
X22n0432_001:0899b18	吐虗空。無處不到。豈有生死往來耶。○佛者。覺也。	吐 虗 空 無 處 不 到 豈 有 生 死 往 來 耶 佛 者 覺 也 
X22n0432_001:0899b19	無有不覺之處。無有不覺之時。破盡昏沈。自他咸	無 有 不 覺 之 處 無 有 不 覺 之 時 破 盡 昏 沈 自 他 咸 
X22n0432_001:0899b20	度。故稱佛也。梵云舍衛。此云聞物也。祇。祇陀太子	度 故 稱 佛 也 梵 云 舍 衛 此 云 聞 物 也 祇 祇 陀 太 子 
X22n0432_001:0899b21	也。給孤獨。長者之號也。長者買太子之園以供佛。	也 給 孤 獨 長 者 之 號 也 長 者 買 太 子 之 園 以 供 佛 
X22n0432_001:0899b22	太子但賣園不賣樹。自以樹供佛。故園樹二名稱	太 子 但 賣 園 不 賣 樹 自 以 樹 供 佛 故 園 樹 二 名 稱 
X22n0432_001:0899b23	地也。	地 也 
X22n0432_001:0899b24	與大比丘僧千二百五十人俱。	與 大 比 丘 僧 千二百五十 人 俱 
X22n0432_001:0899c01	比丘。此言乞士也。上乞法於佛。下乞食於眾生。僧。	比 丘 此 言 乞 士 也 上 乞 法 於 佛 下 乞 食 於 眾 生 僧 
X22n0432_001:0899c02	眾也。	眾 也 
X22n0432_001:0899c03	皆是大阿羅漢。	皆 是 大阿羅漢 
X22n0432_001:0899c04	菩薩為大乘。緣覺為中乘。聲聞為小乘。阿羅漢者。	菩 薩 為 大 乘 緣 覺 為 中 乘 聲 聞 為 小 乘 阿 羅 漢 者 
X22n0432_001:0899c05	聲聞乘之第四果也。阿羅漢有三義。一者能殺煩	聲 聞 乘 之 第 四 果 也 阿 羅 漢 有 三 義 一 者 能 殺 煩 
X22n0432_001:0899c06	惱賊。二者怖散一切魔。三者應受人天供也。大阿	惱 賊 二 者 怖 散 一 切 魔 三 者 應 受 人 天 供 也 大 阿 
X22n0432_001:0899c07	羅漢者。發菩薩心轉入大乘者也。	羅 漢 者 發 菩 薩 心 轉 入 大 乘 者 也 
X22n0432_001:0899c08	眾所知識。	眾 所 知 識 
X22n0432_001:0899c09	皆知其名。皆識其面。言德望全也。此一千二百五	皆 知 其 名 皆 識 其 面 言 德 望 全 也 此 一 千 二 百 五 
X22n0432_001:0899c10	十羅漢。多有大菩薩影生其中。	十 羅 漢 多 有 大 菩 薩 影 生 其 中 
X22n0432_001:0899c11	長老。	長 老 
X22n0432_001:0899c12	德勝為長。臘高為老。出家一歲為一臘。此二字。通	德 勝 為 長 臘 高 為 老 出 家 一 歲 為 一 臘 此 二 字 通 
X22n0432_001:0899c13	指以下十六羅漢也。	指 以 下 十六羅漢 也 
X22n0432_001:0899c14	舍利弗。	舍 利 弗 
X22n0432_001:0899c15	舍利。此言鶖鷺也。弗。此言子也。尊者之母。目明如	舍 利 此 言 鶖 鷺 也 弗 此 言 子 也 尊 者 之 母 目 明 如 
X22n0432_001:0899c16	鶖鷺。故尊者名鶖子也。此尊者智慧第一。言此發	鶖 鷺 故 尊 者 名 鶖 子 也 此 尊 者 智慧第一 言 此 發 
X22n0432_001:0899c17	願往生一法。非大智慧者不能圓信。故首列之也。	願 往 生 一 法 非 大 智 慧 者 不 能 圓 信 故 首 列 之 也 
X22n0432_001:0899c18	摩訶目犍連(犍音尖)。	摩 訶 目 犍 連 犍 音 尖 
X22n0432_001:0899c19	摩訶。此云大也。目犍連。此云采菽氏也。	摩 訶 此 云 大 也 目 犍 連 此 云 采 菽 氏 也 
X22n0432_001:0899c20	摩訶迦葉(葉音攝)。	摩 訶 迦 葉 葉 音 攝 
X22n0432_001:0899c21	此云大飲光也。	此 云 大 飲 光 也 
X22n0432_001:0899c22	摩訶迦旃延。	摩 訶 迦 旃 延 
X22n0432_001:0899c23	此云大文飾也。	此 云 大 文 飾 也 
X22n0432_001:0899c24	摩訶俱絺羅(絺音郗)。	摩 訶 俱 絺 羅 絺 音 郗 
X22n0432_001:0900a01	此云大膝也。	此 云 大 膝 也 
X22n0432_001:0900a02	離婆多。	離 婆 多 
X22n0432_001:0900a03	此云星宿也。	此 云 星 宿 也 
X22n0432_001:0900a04	周利槃陀伽(伽音茄)。	周利槃陀伽 伽 音 茄 
X22n0432_001:0900a05	此云繼道也。	此 云 繼 道 也 
X22n0432_001:0900a06	難陀。	難 陀 
X22n0432_001:0900a07	此云善歡喜也。	此 云 善 歡 喜 也 
X22n0432_001:0900a08	阿難陀。	阿 難 陀 
X22n0432_001:0900a09	此云慶喜也。佛之堂弟。佛成道日乃生。為佛侍者	此 云 慶 喜 也 佛 之 堂 弟 佛 成 道 日 乃 生 為 佛 侍 者 
X22n0432_001:0900a10	數十年。佛之經典多由彼結集。	數 十 年 佛 之 經 典 多 由 彼 結 集 
X22n0432_001:0900a11	羅睺羅。	羅 睺 羅 
X22n0432_001:0900a12	此云覆障也。佛生淨飯王家。名悉達太子。太子欲	此 云 覆 障 也 佛 生 淨 飯 王 家 名 悉 達 太 子 太 子 欲 
X22n0432_001:0900a13	出家。父王不許。且為納妃。欲其傳後。太子以手指	出 家 父 王 不 許 且 為 納 妃 欲 其 傳 後 太 子 以 手 指 
X22n0432_001:0900a14	妃之腹曰。六年之後。當生一子。說此語後。太子即	妃 之 腹 曰 六 年 之 後 當 生 一 子 說 此 語 後 太 子 即 
X22n0432_001:0900a15	出家。未住母胎時。障父出家。既住母胎時。自障六	出 家 未 住 母 胎 時 障 父 出 家 既 住 母 胎 時 自 障 六 
X22n0432_001:0900a16	年。故云覆障也。此尊者。前世塞鼠穴六日。故現此	年 故 云 覆 障 也 此 尊 者 前 世 塞 鼠 穴 六 日 故 現 此 
X22n0432_001:0900a17	報。	報 
X22n0432_001:0900a18	憍梵波提(憍音交)。	憍 梵 波 提 憍 音 交 
X22n0432_001:0900a19	此云牛呞也。牛嚥後。吐出復嚼。曰呞。此尊者。前世	此 云 牛 呞 也 牛 嚥 後 吐 出 復 嚼 曰 呞 此 尊 者 前 世 
X22n0432_001:0900a20	罵人為牛。故現此報。	罵 人 為 牛 故 現 此 報 
X22n0432_001:0900a21	賓頭盧頗羅墮。	賓 頭 盧 頗 羅 墮 
X22n0432_001:0900a22	賓頭盧。此云不動也。頗羅墮。此云利根也。上名下	賓 頭 盧 此 云 不 動 也 頗 羅 墮 此 云 利 根 也 上 名 下 
X22n0432_001:0900a23	姓。	姓 
X22n0432_001:0900a24	迦留陀夷。	迦 留 陀 夷 
X22n0432_001:0900b01	此云黑光也。	此 云 黑 光 也 
X22n0432_001:0900b02	摩訶劫賓那(那奴何切)。	摩 訶 劫 賓 那 那 奴 何 切 
X22n0432_001:0900b03	此云大房宿也。	此 云 大 房 宿 也 
X22n0432_001:0900b04	薄拘羅。	薄 拘 羅 
X22n0432_001:0900b05	此云善容也。	此 云 善 容 也 
X22n0432_001:0900b06	阿[少/兔]樓馱([少/兔]奴侯切)。	阿 [少兔]樓馱[少兔] 奴 侯 切 
X22n0432_001:0900b07	此云無貧也。此尊者無目。心眼洞見。以此居十六	此 云 無 貧 也 此 尊 者 無 目 心 眼 洞 見 以 此 居 十 六 
X22n0432_001:0900b08	人之末。言西方境界。當心領神會而造之也。	人 之 末 言 西 方 境 界 當 心 領 神 會 而 造 之 也 
X22n0432_001:0900b09	如是等諸大弟子。	如 是 等 諸 大 弟 子 
X22n0432_001:0900b10	以此十六。例一千二百五十人也。	以 此 十 六 例 一 千二百五十 人 也 
X22n0432_001:0900b11	并諸菩薩摩訶薩。	并 諸 菩薩摩訶薩 
X22n0432_001:0900b12	菩者。菩提也。此云覺。薩者。薩埵也。此云有情。上兼	菩 者 菩 提 也 此 云 覺 薩 者 薩 埵 也 此 云 有 情 上 兼 
X22n0432_001:0900b13	覺。下兼情。以佛覺度有情。斯為菩薩矣。摩訶薩。猶	覺 下 兼 情 以 佛 覺 度 有 情 斯 為 菩 薩 矣 摩 訶 薩 猶 
X22n0432_001:0900b14	云大道心眾生也。	云 大 道 心 眾 生 也 
X22n0432_001:0900b15	文殊師利法王子。	文 殊 師 利 法 王 子 
X22n0432_001:0900b16	文殊師利。此云妙首也。此菩薩大智無遮。於佛所	文 殊 師 利 此 云 妙 首 也 此 菩 薩 大 智 無 遮 於 佛 所 
X22n0432_001:0900b17	言。更無疑惑。故首列之也。於法自在。名曰法王。即	言 更 無 疑 惑 故 首 列 之 也 於 法 自 在 名 曰 法 王 即 
X22n0432_001:0900b18	如來也。大菩薩能傳佛法。為法王子矣。	如 來 也 大 菩 薩 能 傳 佛 法 為 法 王 子 矣 
X22n0432_001:0900b19	阿逸多菩薩。	阿 逸 多 菩 薩 
X22n0432_001:0900b20	阿逸多。此云無能勝也。即彌勒菩薩之名。彌勒。此	阿 逸 多 此 云 無 能 勝 也 即 彌 勒 菩 薩 之 名 彌 勒 此 
X22n0432_001:0900b21	云慈氏。菩薩之姓也。彌勒在釋迦後一千萬年。方	云 慈 氏 菩 薩 之 姓 也 彌 勒 在 釋 迦 後 一 千 萬 年 方 
X22n0432_001:0900b22	成佛道。釋迦化度未熟之眾生。皆以付之。但眾生	成 佛 道 釋 迦 化 度 未 熟 之 眾 生 皆 以 付 之 但 眾 生 
X22n0432_001:0900b23	之中。種性不一。有性急不耐生死。不能待一千萬	之 中 種 性 不 一 有 性 急 不 耐 生 死 不 能 待 一 千 萬 
X22n0432_001:0900b24	年後之龍華三會。宿緣既露。勝境先成。故釋迦於	年 後 之 龍 華 三 會 宿 緣 既 露 勝 境 先 成 故 釋 迦 於 
X22n0432_001:0900c01	彌勒前說此經。欲彌勒於未成佛前。速滿眾生之	彌 勒 前 說 此 經 欲 彌 勒 於 未 成 佛 前 速 滿 眾 生 之 
X22n0432_001:0900c02	願。扶持加被。達之西方也。又以中下眾生。修行易	願 扶 持 加 被 達 之 西 方 也 又 以 中 下 眾 生 修 行 易 
X22n0432_001:0900c03	退。彌勒既未下降成佛。則眾生見佛。當在何時。若	退 彌 勒 既 未 下 降 成 佛 則 眾 生 見 佛 當 在 何 時 若 
X22n0432_001:0900c04	不早取生西。一落三塗。出頭無望。往往有龍華會	不 早 取 生 西 一 落 三 塗 出 頭 無 望 往 往 有 龍 華 會 
X22n0432_001:0900c05	散。而眾生未復人身者。故釋迦已去。彌勒未來。此	散 而 眾 生 未 復 人 身 者 故 釋 迦 已 去 彌 勒 未 來 此 
X22n0432_001:0900c06	經乃能拔出一切苦宅眾生而成就之。恩甚重。路	經 乃 能 拔 出 一 切 苦 宅 眾 生 而 成 就 之 恩 甚 重 路 
X22n0432_001:0900c07	甚捷矣。夫三教聖人。迭興而救世。應時及節。各立	甚 捷 矣 夫 三 教 聖 人 迭 興 而 救 世 應 時 及 節 各 立 
X22n0432_001:0900c08	規模。若言天下無二道。聖人無兩心。稱性而談。一	規 模 若 言 天 下 無 二 道 聖 人 無 兩 心 稱 性 而 談 一 
X22n0432_001:0900c09	真如貫。若於天上人間了生死不了生死之中。求	真 如 貫 若 於 天 上 人 間 了 生 死 不 了 生 死 之 中 求 
X22n0432_001:0900c10	一萬全無弊者。則方便百千。而淨土法門為第一	一 萬 全 無 弊 者 則 方 便 百 千 而 淨 土 法 門 為 第 一 
X22n0432_001:0900c11	焉。何必佛門神通。即此往生。得一切神通之腦也。	焉 何 必 佛 門 神 通 即 此 往 生 得 一 切 神 通 之 腦 也 
X22n0432_001:0900c12	何必道家金丹。即此蓮花。洗一切金丹之習也。何	何 必 道 家 金 丹 即 此 蓮 花 洗 一 切 金 丹 之 習 也 何 
X22n0432_001:0900c13	必儒宗理學。即此一心不亂。破一切理學之障也。	必 儒 宗 理 學 即 此 一心不亂 破 一 切 理 學 之 障 也 
X22n0432_001:0900c14	得其本。而三教皆枝末矣。本者。一念之心也。然必	得 其 本 而 三 教 皆 枝 末 矣 本 者 一 念 之 心 也 然 必 
X22n0432_001:0900c15	見佛見心。方悟非心非佛。自然縱橫三教。出入龍	見 佛 見 心 方 悟 非 心 非 佛 自 然 縱 橫 三 教 出 入 龍 
X22n0432_001:0900c16	華矣。嗚呼。文殊悟西方之理。而首壓尊班。彌勒會	華 矣 嗚 呼 文 殊 悟 西 方 之 理 而 首 壓 尊 班 彌 勒 會 
X22n0432_001:0900c17	往生之機。而名居第二。無邊凡聖。孰敢輕議此經	往 生 之 機 而 名 居 第 二 無 邊 凡 聖 孰 敢 輕 議 此 經 
X22n0432_001:0900c18	乎。	乎 
X22n0432_001:0900c19	乾陀訶提菩薩。	乾 陀 訶 提 菩 薩 
X22n0432_001:0900c20	乾陀訶提。此云不休息也。既信淨土。尚未往生。能	乾 陀 訶 提 此 云 不 休 息 也 既 信 淨 土 尚 未 往 生 能 
X22n0432_001:0900c21	以不休息為心。自然步步踏著也。	以 不 休 息 為 心 自 然 步 步 踏 著 也 
X22n0432_001:0900c22	常精進菩薩。	常 精 進 菩 薩 
X22n0432_001:0900c23	精則不麤。進則不退。恒常如此。故能以淨土之法。	精 則 不 麤 進 則 不 退 恒 常 如 此 故 能 以 淨 土 之 法 
X22n0432_001:0900c24	自度而度人也。	自 度 而 度 人 也 
X22n0432_001:0901a01	與如是等諸大菩薩。	與 如 是 等 諸 大 菩 薩 
X22n0432_001:0901a02	以此四尊。例一切菩薩也。	以 此 四 尊 例 一切菩薩 也 
X22n0432_001:0901a03	及釋提桓因等。無量諸天大眾俱。	及 釋提桓因 等 無 量 諸 天 大 眾 俱 
X22n0432_001:0901a04	釋提桓因。此云能天主。即世所稱天宮玉帝也。無	釋提桓因 此 云 能 天 主 即 世 所 稱 天 宮 玉 帝 也 無 
X22n0432_001:0901a05	量諸天者。玉帝居忉利天宮。宮在須彌山頂。旁有	量 諸 天 者 玉 帝 居 忉 利 天 宮 宮 在 須彌山頂 旁 有 
X22n0432_001:0901a06	四面。面各八王。統名三十三天。忉利之下須彌山	四 面 面 各 八 王 統 名 三十三天 忉 利 之 下 須 彌 山 
X22n0432_001:0901a07	埵。有東西南北四大天王。分掌四十種小天。忉利	埵 有 東 西 南 北 四大天王 分 掌 四 十 種 小 天 忉 利 
X22n0432_001:0901a08	之上。虗空而住者。夜摩。兜率。化樂。自在。合之忉利。	之 上 虗 空 而 住 者 夜 摩 兜 率 化 樂 自 在 合 之 忉 利 
X22n0432_001:0901a09	四王。名欲界天也。過此以上。無復女人。名禪界天	四 王 名 欲 界 天 也 過 此 以 上 無 復 女 人 名 禪 界 天 
X22n0432_001:0901a10	也。過此以上。無復色身。名空界天也。三界之中。欲	也 過 此 以 上 無 復 色 身 名 空 界 天 也 三 界 之 中 欲 
X22n0432_001:0901a11	界最雜。空界無身。感佛威神。現身聽法。此非思議	界 最 雜 空 界 無 身 感 佛 威 神 現 身 聽 法 此 非 思 議 
X22n0432_001:0901a12	之所能及也。大眾。通指欲界天上天下龍鬼神仙	之 所 能 及 也 大 眾 通 指 欲 界 天 上 天 下 龍 鬼 神 仙 
X22n0432_001:0901a13	人物之能聽法者。俱。共也。謂與聖人同入佛會也。	人 物 之 能 聽 法 者 俱 共 也 謂 與 聖 人 同 入 佛 會 也 
X22n0432_001:0901a14	爾時佛告長老舍利弗。	爾 時 佛 告 長 老 舍 利 弗 
