T51n2089_001:0975a09	遊方記抄	遊 方 記 抄 
T51n2089_001:0975c05	百卉恒青。無有霜雪。食唯粳糧餅[麩夫+少]蘇乳酪	百 卉 恒 青 無 有 霜 雪 食 唯 粳 糧 餅 [麩夫少] 蘇 乳 酪 
T51n2089_001:0975c06	等。無醬有鹽。總用土鍋煮飯而食。無鐵釜等	等 無 醬 有 鹽 總 用 土 鍋 煮 飯 而 食 無 鐵 釜 等 
T51n2089_001:0975c07	也。百姓無別庸稅。但抽田子五石與王。王自	也 百 姓 無 別 庸 稅 但 抽 田 子 五 石 與 王 王 自 
T51n2089_001:0975c08	遣人運將田主□不為送也。彼土百姓。貧多	遣 人 運 將 田 主 不 為 送 也 彼 土 百 姓 貧 多 
T51n2089_001:0975c09	富少。王官屋裏。及富有者。著[疊*毛]一雙。自□一	富 少 王 官 屋 裏 及 富 有 者 著 [疊毛] 一 雙 自 一 
T51n2089_001:0975c10	隻。貧者半片。女人亦然。	隻 貧 者 半 片 女 人 亦 然 
T51n2089_001:0975c11	其王每坐衙處。首領百姓。總來遶王四面而	其 王 每 坐 衙 處 首 領 百 姓 總 來 遶 王 四 面 而 
T51n2089_001:0975c12	坐。各諍道理。訴訟紛紜。非常亂鬧。王聽不	坐 各 諍 道 理 訴 訟 紛 紜 非 常 亂 鬧 王 聽 不 
T51n2089_001:0975c13	嗔。緩緩報云。汝是汝不是。彼百姓等。取王一	嗔 緩 緩 報 云 汝 是 汝 不 是 彼 百 姓 等 取 王 一 
T51n2089_001:0975c14	口語為定。更不再言。其王首領等。甚敬信三	口 語 為 定 更 不 再 言 其 王 首 領 等 甚 敬 信 三 
T51n2089_001:0975c15	寶。若對師僧前。王及首領等。在地而坐不肯	寶 若 對 師 僧 前 王 及 首 領 等 在 地 而 坐 不 肯 
T51n2089_001:0975c16	坐床。王及首領。行坐來去處。自將床子隨身。	坐 床 王 及 首 領 行 坐 來 去 處 自 將 床 子 隨 身 
T51n2089_001:0975c17	到處即坐。他床不坐。寺及王宅。竝皆三重作	到 處 即 坐 他 床 不 坐 寺 及 王 宅 竝 皆 三 重 作 
T51n2089_001:0975c18	樓從下第一重作庫。上二重人住。諸大首領	樓 從 下 第 一 重 作 庫 上 二 重 人 住 諸 大 首 領 
T51n2089_001:0975c19	等亦然。屋皆平頭。塼木所造。自外□竝皆草	等 亦 然 屋 皆 平 頭 塼 木 所 造 自 外 竝 皆 草 
T51n2089_001:0975c20	屋似於漠屋雨下作也。又是一重。	屋 似 於 漠 屋 雨 下 作 也 又 是 一 重 
T51n2089_001:0975c21	土地所出。唯有[疊*毛]布象馬萬物。當土不出金	土 地 所 出 唯 有 [疊毛] 布 象 馬 萬 物 當 土 不 出 金 
T51n2089_001:0975c22	銀。竝從外國來也。亦不養駝騾驢猪等畜。其	銀 竝 從 外 國 來 也 亦 不 養 駝 騾 驢 猪 等 畜 其 
T51n2089_001:0975c23	牛總白。萬頭之內。希有一頭赤黑之者。羊馬	牛 總 白 萬 頭 之 內 希 有 一 頭 赤 黑 之 者 羊 馬 
T51n2089_001:0975c24	全少。唯王有三二百口六七十匹。自外首領	全 少 唯 王 有 三 二 百 口 六 七 十 匹 自 外 首 領 
T51n2089_001:0975c25	百姓。總不養畜。唯愛養牛。取乳酪蘇也。土	百 姓 總 不 養 畜 唯 愛 養 牛 取 乳 酪 蘇 也 土 
T51n2089_001:0975c26	地人善。不多愛殺□市店間。不見有屠行賣	地 人 善 不 多 愛 殺 市 店 間 不 見 有 屠 行 賣 
T51n2089_001:0975c27	肉之處。	肉 之 處 
T51n2089_001:0975c28	此中天大小乘俱行。即此中天界內有四大	此 中 天 大 小 乘 俱 行 即 此 中 天 界 內 有 四 大 
T51n2089_001:0975c29	塔。恒河在北岸有三大塔。一舍衛國給孤薗	塔 恒 河 在 北 岸 有 三 大 塔 一 舍 衛 國 給 孤 薗 
T51n2089_001:0976a01	中。見有寺有僧。二。毘耶離城菴羅薗中。有	中 見 有 寺 有 僧 二 毘 耶 離 城 菴 羅 薗 中 有 
T51n2089_001:0976a02	塔見在。其寺荒廢無僧。三。迦毘耶羅國。即	塔 見 在 其 寺 荒 廢 無 僧 三 迦 毘 耶 羅 國 即 
T51n2089_001:0976a03	佛本生城。無憂樹見在。彼城已廢。有塔無	佛 本 生 城 無 憂 樹 見 在 彼 城 已 廢 有 塔 無 
T51n2089_001:0976a04	僧。亦無百姓。此城最居比。林木荒多。道路	僧 亦 無 百 姓 此 城 最 居 比 林 木 荒 多 道 路 
T51n2089_001:0976a05	足賊。往彼禮拜者。甚難方迷。四。三道寶階	足 賊 往 彼 禮 拜 者 甚 難 方 迷 四 三 道 寶 階 
T51n2089_001:0976a06	塔。在中天王住城西七日程。在兩恒河間。佛	塔 在 中 天 王 住 城 西 七 日 程 在 兩 恒 河 間 佛 
T51n2089_001:0976a07	當從刀利天變成三道寶階。下閻浮提地處。	當 從 刀 利 天 變 成 三 道 寶 階 下 閻 浮 提 地 處 
T51n2089_001:0976a08	左金右銀。中吠瑠璃佛於中道梵王左路。帝	左 金 右 銀 中 吠 瑠 璃 佛 於 中 道 梵 王 左 路 帝 
T51n2089_001:0976a09	釋右階侍佛下來。即於此處置塔。見有寺僧	釋 右 階 侍 佛 下 來 即 於 此 處 置 塔 見 有 寺 僧 
T51n2089_001:0976a10	有。　即從中天國南行三箇餘月。至南天	有 即 從 中 天 國 南 行 三 箇 餘 月 至 南 天 
T51n2089_001:0976a11	竺國王所住。王有八百頭象。境土極寬。南	竺 國 王 所 住 王 有 八 百 頭 象 境 土 極 寬 南 
T51n2089_001:0976a12	至南海。東至東海。西至西海。北至中天。西	至 南 海 東 至 東 海 西 至 西 海 北 至 中 天 西 
T51n2089_001:0976a13	天東天等國接界。衣著飲食人風。與中天相	天 東 天 等 國 接 界 衣 著 飲 食 人 風 與 中 天 相 
T51n2089_001:0976a14	似。唯言音稍別。土地熱於中天。土地所出。[疊*毛]	似 唯 言 音 稍 別 土 地 熱 於 中 天 土 地 所 出 [疊毛] 
T51n2089_001:0976a15	布象水牛黃牛。亦少有羊。無駝騾驢等。有稻	布 象 水 牛 黃 牛 亦 少 有 羊 無 駝 騾 驢 等 有 稻 
T51n2089_001:0976a16	田。無黍粟等。至於綿絹之屬。五天總無。王及	田 無 黍 粟 等 至 於 綿 絹 之 屬 五 天 總 無 王 及 
T51n2089_001:0976a17	領首百姓等。極敬三寶足寺足僧。大小乘俱	領 首 百 姓 等 極 敬 三 寶 足 寺 足 僧 大 小 乘 俱 
T51n2089_001:0976a18	行。於彼山中。有一大寺。是龍樹菩薩便夜	行 於 彼 山 中 有 一 大 寺 是 龍 樹 菩 薩 便 夜 
T51n2089_001:0976a19	叉神造。非人所作。竝鑿山為柱。三重作樓。四	叉 神 造 非 人 所 作 竝 鑿 山 為 柱 三 重 作 樓 四 
T51n2089_001:0976a20	面方圓三百餘步。龍樹在日。寺有三千僧。獨	面 方 圓 三 百 餘 步 龍 樹 在 日 寺 有 三 千 僧 獨 
T51n2089_001:0976a21	供養以十五石米。每日供三千僧。其米不竭。	供 養 以 十 五 石 米 每 日 供 三 千 僧 其 米 不 竭 
T51n2089_001:0976a22	取却還生。元不減少。然今此寺廢。無僧也。龍	取 却 還 生 元 不 減 少 然 今 此 寺 廢 無 僧 也 龍 
T51n2089_001:0976a23	樹壽年七百。方始亡也。于時在南天路。為言	樹 壽 年 七 百 方 始 亡 也 于 時 在 南 天 路 為 言 
T51n2089_001:0976a24	曰。五言　月夜□□路。浮雲颯颯歸。減書	曰 五 言 月 夜 路 浮 雲 颯 颯 歸 減 書 
T51n2089_001:0976a25	參去便。風急不聽迴。我國天岸北。他邦地角	參 去 便 風 急 不 聽 迴 我 國 天 岸 北 他 邦 地 角 
T51n2089_001:0976a26	西。日南無有雁。誰為向林飛。	西 日 南 無 有 雁 誰 為 向 林 飛 
T51n2089_001:0976a27	又從南天北行兩月。至西天國王住城。此西	又 從 南 天 北 行 兩 月 至 西 天 國 王 住 城 此 西 
T51n2089_001:0976a28	天王亦五六百頭象。土地所出[疊*毛]布及銀象	天 王 亦 五 六 百 頭 象 土 地 所 出 [疊毛] 布 及 銀 象 
T51n2089_001:0976a29	馬羊牛。多出大小二麥及諸荳等。稻[聲耳+示]全少。	馬 羊 牛 多 出 大 小 二 麥 及 諸 荳 等 稻 [聲耳示] 全 少 
T51n2089_001:0976b01	食多餅[麩夫+少]乳酪蘇油。市買用銀錢[疊*毛]布之屬。	食 多 餅 [麩夫少]乳酪蘇油市買用銀錢[疊毛] 布 之 屬 
T51n2089_001:0976b02	王及首領百姓等。極敬信三寶。足寺足僧。大	王 及 首 領 百 姓 等 極 敬 信 三 寶 足 寺 足 僧 大 
T51n2089_001:0976b03	小乘俱行。土地甚寬。西至西海。國人多善唱	小 乘 俱 行 土 地 甚 寬 西 至 西 海 國 人 多 善 唱 
T51n2089_001:0976b04	歌。餘四天國不如此國。又無枷棒牢獄形戮	歌 餘 四 天 國 不 如 此 國 又 無 枷 棒 牢 獄 形 戮 
T51n2089_001:0976b05	等事。見今被大寔來侵半國已損。又五天法。	等 事 見 今 被 大 寔 來 侵 半 國 已 損 又 五 天 法 
T51n2089_001:0976b06	出外去者。不將糧食。到處即便乞得食也。唯	出 外 去 者 不 將 糧 食 到 處 即 便 乞 得 食 也 唯 
T51n2089_001:0976b07	王首領等出。自齎糧不食百姓□□。	王 首 領 等 出 自 齎 糧 不 食 百 姓 
T51n2089_001:0976b08	又從西天北行三箇餘月。至北天國也。名闍	又 從 西 天 北 行 三 箇 餘 月 至 北 天 國 也 名 闍 
T51n2089_001:0976b09	蘭達羅國。王有三百頭象。依山作城而住。從	蘭 達 羅 國 王 有 三 百 頭 象 依 山 作 城 而 住 從 
T51n2089_001:0976b10	茲已北。漸漸有山。為國狹小兵馬不多。常	茲 已 北 漸 漸 有 山 為 國 狹 小 兵 馬 不 多 常 
T51n2089_001:0976b11	被中天及迦葉彌羅國屢屢所吞。所以依山	被 中 天 及 迦 葉 彌 羅 國 屢 屢 所 吞 所 以 依 山 
T51n2089_001:0976b12	而住。人風衣著言音。與中天不殊。土地稍冷	而 住 人 風 衣 著 言 音 與 中 天 不 殊 土 地 稍 冷 
T51n2089_001:0976b13	於中天等也。亦無霜雪。但有風冷。土地所	於 中 天 等 也 亦 無 霜 雪 但 有 風 冷 土 地 所 
T51n2089_001:0976b14	有出象[疊*毛]布稻麥驢騾少有。其王有馬百匹。	有 出 象 [疊毛] 布 稻 麥 驢 騾 少 有 其 王 有 馬 百 匹 
T51n2089_001:0976b15	首領三五匹。百姓並無。西是平川。東近雪山。	首 領 三 五 匹 百 姓 並 無 西 是 平 川 東 近 雪 山 
T51n2089_001:0976b16	國內足寺足僧。大小乘俱行。又一月程過雪	國 內 足 寺 足 僧 大 小 乘 俱 行 又 一 月 程 過 雪 
T51n2089_001:0976b17	山。東有一小國。名蘇跋那具怛羅。屬土蕃	山 東 有 一 小 國 名 蘇 跋 那 具 怛 羅 屬 土 蕃 
T51n2089_001:0976b18	國所管。衣著與北天相似。言音即別。土地極	國 所 管 衣 著 與 北 天 相 似 言 音 即 別 土 地 極 
T51n2089_001:0976b19	寒也。又從此闍蘭達羅國西行。經一月。至一	寒 也 又 從 此 闍 蘭 達 羅 國 西 行 經 一 月 至 一 
T51n2089_001:0976b20	社吒國。言音稍別。大分相似。衣著人風。土	社 吒 國 言 音 稍 別 大 分 相 似 衣 著 人 風 土 
T51n2089_001:0976b21	地所出。節氣寒暖。與北天相似。亦足寺足僧。	地 所 出 節 氣 寒 暖 與 北 天 相 似 亦 足 寺 足 僧 
T51n2089_001:0976b22	大小乘俱行。王及首領百姓等。大敬信三寶	大 小 乘 俱 行 王 及 首 領 百 姓 等 大 敬 信 三 寶 
T51n2089_001:0976b23	　又從此吒國西行一月。至新頭故羅國。衣	 又 從 此 吒 國 西 行 一 月 至 新 頭 故 羅 國 衣 
T51n2089_001:0976b24	著風俗。節氣寒暖。與北天相似。言音稍別。此	著 風 俗 節 氣 寒 暖 與 北 天 相 似 言 音 稍 別 此 
T51n2089_001:0976b25	國極足駱駝。國人取乳酪喫也。王及百姓等。	國 極 足 駱 駝 國 人 取 乳 酪 喫 也 王 及 百 姓 等 
T51n2089_001:0976b26	大敬三寶足寺足僧。即造順正理論。眾賢論	大 敬 三 寶 足 寺 足 僧 即 造 順 正 理 論 眾 賢 論 
T51n2089_001:0976b27	師。是此國人也。此國大小乘俱行。見今大寔	師 是 此 國 人 也 此 國 大 小 乘 俱 行 見 今 大 寔 
T51n2089_001:0976b28	侵半國損也。即從此國乃至五天。不多飲酒。	侵 半 國 損 也 即 從 此 國 乃 至 五 天 不 多 飲 酒 
T51n2089_001:0976b29	遍歷五天。不見有醉人相打之者。縱有飲者。	遍 歷 五 天 不 見 有 醉 人 相 打 之 者 縱 有 飲 者 
T51n2089_001:0976c01	得色得力而已。不見有歌舞作劇飲宴之者。	得 色 得 力 而 已 不 見 有 歌 舞 作 劇 飲 宴 之 者 
T51n2089_001:0976c02	　又從北天國有一寺。名多摩三磨娜。佛	 又 從 北 天 國 有 一 寺 名 多 摩 三 磨 娜 佛 
T51n2089_001:0976c03	在之日。來此說法。廣度人天。此寺東澗裏。於	在 之 日 來 此 說 法 廣 度 人 天 此 寺 東 澗 裏 於 
T51n2089_001:0976c04	泉水邊有一塔。而佛所剃頭及剪爪甲。在此	泉 水 邊 有 一 塔 而 佛 所 剃 頭 及 剪 爪 甲 在 此 
T51n2089_001:0976c05	塔中。此見有三百餘僧。寺有大辟支佛牙及	塔 中 此 見 有 三 百 餘 僧 寺 有 大 辟 支 佛 牙 及 
T51n2089_001:0976c06	骨舍利等。更有七八所寺。各五六百人。大好	骨 舍 利 等 更 有 七 八 所 寺 各 五 六 百 人 大 好 
T51n2089_001:0976c07	住持。王及百姓等。非常敬信。	住 持 王 及 百 姓 等 非 常 敬 信 
T51n2089_001:0976c08	又山中有一寺。名那揭羅駄娜。有一漢僧。	又 山 中 有 一 寺 名 那 揭 羅 駄 娜 有 一 漢 僧 
T51n2089_001:0976c09	於此寺身亡。彼大德說。從中天來。明閑三藏	於 此 寺 身 亡 彼 大 德 說 從 中 天 來 明 閑 三 藏 
T51n2089_001:0976c10	聖教將欲還鄉。忽然違和。便即化矣。于時聞	聖 教 將 欲 還 鄉 忽 然 違 和 便 即 化 矣 于 時 聞 
T51n2089_001:0976c11	說。莫不傷心。便題四韻。以悲冥路。五言。	說 莫 不 傷 心 便 題 四 韻 以 悲 冥 路 五 言 
T51n2089_001:0976c12	故里燈無主。他方寶樹摧。神靈去何處。玉貌	故 里 燈 無 主 他 方 寶 樹 摧 神 靈 去 何 處 玉 貌 
T51n2089_001:0976c13	已成灰。憶想哀情切。悲君願不隨。孰知鄉國	已 成 灰 憶 想 哀 情 切 悲 君 願 不 隨 孰 知 鄉 國 
T51n2089_001:0976c14	路。空見白雲歸。	路 空 見 白 雲 歸 
T51n2089_001:0976c15	又從此北行十五日。入山至迦羅國。此迦	又 從 此 北 行 十 五 日 入 山 至 迦 羅 國 此 迦 
T51n2089_001:0976c16	彌羅。亦是北天數。此國稍大。王有三百頭象。	彌 羅 亦 是 北 天 數 此 國 稍 大 王 有 三 百 頭 象 
T51n2089_001:0976c17	住在山中。道路險惡。不被外國所侵。人民極	住 在 山 中 道 路 險 惡 不 被 外 國 所 侵 人 民 極 
T51n2089_001:0976c18	眾。貧多富少。王及首領諸富有者。衣著與中	眾 貧 多 富 少 王 及 首 領 諸 富 有 者 衣 著 與 中 
T51n2089_001:0976c19	天不殊。自外百姓。悉枝毛毯。覆其形醜。土	天 不 殊 自 外 百 姓 悉 枝 毛 毯 覆 其 形 醜 土 
T51n2089_001:0976c20	地出銅鐵[疊*毛]布毛毯牛羊。有象少馬粳米蒲	地 出 銅 鐵 [疊毛] 布 毛 毯 牛 羊 有 象 少 馬 粳 米 蒲 
T51n2089_001:0976c21	桃之類。土地極寒。不同已前諸國。秋霜冬雪。	桃 之 類 土 地 極 寒 不 同 已 前 諸 國 秋 霜 冬 雪 
T51n2089_001:0976c22	夏足霜雨。百卉亘青葉彫。冬草悉枯川谷狹	夏 足 霜 雨 百 卉 亘 青 葉 彫 冬 草 悉 枯 川 谷 狹 
T51n2089_001:0976c23	小。南北五日程。東西一日行。土地即盡。餘並	小 南 北 五 日 程 東 西 一 日 行 土 地 即 盡 餘 並 
T51n2089_001:0976c24	蔭山。屋並板木覆上不用草瓦。王及首領百	蔭 山 屋 並 板 木 覆 上 不 用 草 瓦 王 及 首 領 百 
T51n2089_001:0976c25	姓等。甚敬三寶。國內有一龍池。彼龍王每日	姓 等 甚 敬 三 寶 國 內 有 一 龍 池 彼 龍 王 每 日 
T51n2089_001:0976c26	供養不一羅漢僧。雖無人見彼聖僧食。亦過	供 養 不 一 羅 漢 僧 雖 無 人 見 彼 聖 僧 食 亦 過 
T51n2089_001:0976c27	齋已。即見餅飯從水下紛紛亂上。以此得知。	齋 已 即 見 餅 飯 從 水 下 紛 紛 亂 上 以 此 得 知 
T51n2089_001:0976c28	迄今供養不絕。王及大首領出外乘象。小官	迄 今 供 養 不 絕 王 及 大 首 領 出 外 乘 象 小 官 
T51n2089_001:0976c29	乘馬。百姓並皆途步。國內足寺足僧。大小乘	乘 馬 百 姓 並 皆 途 步 國 內 足 寺 足 僧 大 小 乘 
T51n2089_001:0977a01	俱行。五天國法。上至國王。至國王王妃王子。	俱 行 五 天 國 法 上 至 國 王 至 國 王 王 妃 王 子 
T51n2089_001:0977a02	下至首領及妻隨其力能各自造寺也。還別	下 至 首 領 及 妻 隨 其 力 能 各 自 造 寺 也 還 別 
T51n2089_001:0977a03	作。不共修營。彼云。各自功德。何須共造。此	作 不 共 修 營 彼 云 各 自 功 德 何 須 共 造 此 
T51n2089_001:0977a04	既如然。餘王子等亦爾。	既 如 然 餘 王 子 等 亦 爾 
T51n2089_001:0977a05	凡造寺供養。即施村莊百姓。供養三寶。無有	凡 造 寺 供 養 即 施 村 莊 百 姓 供養三寶 無 有 
T51n2089_001:0977a06	空造寺不施百姓者。為外國法。王及妃姤。各	空 造 寺 不 施 百 姓 者 為 外 國 法 王 及 妃 姤 各 
T51n2089_001:0977a07	別村莊百姓。王子首領。各有百姓。布施自由	別 村 莊 百 姓 王 子 首 領 各 有 百 姓 布 施 自 由 
T51n2089_001:0977a08	不王也。造寺亦然。須造即造。亦不問王。王亦	不 王 也 造 寺 亦 然 須 造 即 造 亦 不 問 王 王 亦 
T51n2089_001:0977a09	不敢遮。怕拈罪也。若富有百姓。雖無村莊布	不 敢 遮 怕 拈 罪 也 若 富 有 百 姓 雖 無 村 莊 布 
T51n2089_001:0977a10	施。亦勵力造寺。以自經紀。得物供養三寶。為	施 亦 勵 力 造 寺 以 自 經 紀 得 物 供養三寶 為 
T51n2089_001:0977a11	五天不賣人。無有奴婢。要須布施百姓村薗	五 天 不 賣 人 無 有 奴 婢 要 須 布 施 百 姓 村 薗 
T51n2089_001:0977a12	也。又迦葉彌羅國東北。隔山十五日程。即	也 又 迦 葉 彌 羅 國 東 北 隔 山 十 五 日 程 即 
T51n2089_001:0977a13	是大勃律國。揚同國。娑播慈國。此三國並屬	是 大 勃 律 國 揚 同 國 娑 播 慈 國 此 三 國 並 屬 
T51n2089_001:0977a14	吐蕃所管。衣著言音人風並別。著皮裘[疊*毛]衫	吐 蕃 所 管 衣 著 言 音 人 風 並 別 著 皮 裘 [疊毛] 衫 
T51n2089_001:0977a15	靴袴等也。地狹小。山川極險。亦有寺有僧。敬	靴 袴 等 也 地 狹 小 山 川 極 險 亦 有 寺 有 僧 敬 
T51n2089_001:0977a16	信三寶。若是已東吐蕃。總無寺舍。不識佛法。	信 三 寶 若 是 已 東 吐 蕃 總 無 寺 舍 不 識 佛 法 
T51n2089_001:0977a17	當土是胡。所以信也。	當 土 是 胡 所 以 信 也 
T51n2089_001:0977a18	已東吐蕃國。純住氷山雪山川谷之間。以氈	已 東 吐 蕃 國 純 住 氷 山 雪 山 川 谷 之 間 以 氈 
T51n2089_001:0977a19	帳而居。無有城郭屋舍。處所與突厥相似。隨	帳 而 居 無 有 城 郭 屋 舍 處 所 與 突 厥 相 似 隨 
T51n2089_001:0977a20	逐水草。其王雖在一處。亦無城但依氈帳以	逐 水 草 其 王 雖 在 一 處 亦 無 城 但 依 氈 帳 以 
T51n2089_001:0977a21	為居業。土地出羊馬猫牛毯褐之類。衣著毛	為 居 業 土 地 出 羊 馬 猫 牛 毯 褐 之 類 衣 著 毛 
T51n2089_001:0977a22	褐皮裘。女人亦爾。土地極寒。不同餘國。家常	褐 皮 裘 女 人 亦 爾 土 地 極 寒 不 同 餘 國 家 常 
