X24n0459_001:0517a07	 金剛般若波羅蜜經序	 金 剛 般若波羅蜜經 序 
X24n0459_001:0518b05	過七家。七家數滿。更不至餘家也。還至本處者。佛	過 七 家 七 家 數 滿 更 不 至 餘 家 也 還 至 本 處 者 佛 
X24n0459_001:0518b06	意制諸比丘。除請召外。不得輙向白衣舍。故云爾。	意 制 諸 比 丘 除 請 召 外 不 得 輙 向 白 衣 舍 故 云 爾 
X24n0459_001:0518b07	洗足者。如來示現。順同凡夫。故曰洗足。又大乘法。	洗 足 者 如 來 示 現 順 同 凡 夫 故 曰 洗 足 又 大 乘 法 
X24n0459_001:0518b08	不獨以洗手足為淨。蓋言洗手足。不若淨心。一念	不 獨 以 洗 手 足 為 淨 蓋 言 洗 手 足 不 若 淨 心 一 念 
X24n0459_001:0518b09	心淨。則罪垢悉除矣。如來欲說法時。常儀敷施壇	心 淨 則 罪 垢 悉 除 矣 如 來 欲 說 法 時 常 儀 敷 施 壇 
X24n0459_001:0518b10	座。故言敷座而坐也。	座 故 言 敷 座 而 坐 也 
X24n0459_001:0518b11	○善現起請分第二	 善 現 起 請 分 第 二 
X24n0459_001:0518b12	時長老須菩提。	時 長 老 須 菩 提 
X24n0459_001:0518b13	何名長老。德尊年高。故名長老。須菩提是梵語。唐	何 名 長 老 德 尊 年 高 故 名 長 老 須 菩 提 是 梵 語 唐 
X24n0459_001:0518b14	言解空。	言 解 空 
X24n0459_001:0518b15	在大眾中。即從座起。偏袒右肩。右膝著地。合掌恭敬。	在 大 眾 中 即 從 座 起 偏袒右肩 右膝著地 合掌恭敬 
X24n0459_001:0518b16	而白佛言。	而 白 佛 言 
X24n0459_001:0518b17	隨眾所坐。故云即從座起。弟子請益。先行五種儀。	隨 眾 所 坐 故 云 即 從 座 起 弟 子 請 益 先 行 五 種 儀 
X24n0459_001:0518b18	一者從坐而起。二者端整衣服。三者偏袒右肩。右	一 者 從 坐 而 起 二 者 端 整 衣 服 三 者 偏袒右肩 右 
X24n0459_001:0518b19	膝著地。四者合掌。瞻仰尊顏。目不暫捨。五者一心	膝 著 地 四 者 合 掌 瞻 仰 尊 顏 目不暫捨 五 者 一 心 
X24n0459_001:0518b20	恭敬。以伸問辭。	恭 敬 以 伸 問 辭 
X24n0459_001:0518b21	希有世尊。	希 有 世 尊 
X24n0459_001:0518b22	希有略說三義。第一希有。能捨金輪王位。第二希	希 有 略 說 三 義 第一希有 能 捨 金 輪 王 位 第 二 希 
X24n0459_001:0518b23	有。身長丈六。紫磨金容三十二相。八十種好。三界	有 身 長 丈 六 紫 磨 金 容 三十二相 八十種好 三 界 
X24n0459_001:0518b24	無比。第三希有。性能含吐八萬四千法。三身圓備。	無 比 第 三 希 有 性 能 含 吐 八萬四千 法 三 身 圓 備 
X24n0459_001:0518c01	以具上三義。故云希有也。世尊者。智慧超過三界。	以 具 上 三 義 故 云 希 有 也 世 尊 者 智 慧 超過三界 
X24n0459_001:0518c02	無有能及者。德高更無有上。一切咸恭敬。故曰世	無 有 能 及 者 德 高 更 無 有 上 一 切 咸 恭 敬 故 曰 世 
X24n0459_001:0518c03	尊。	尊 
X24n0459_001:0518c04	如來善護念諸菩薩。善付囑諸菩薩。	如 來 善 護 念 諸 菩 薩 善 付 囑 諸 菩 薩 
X24n0459_001:0518c05	護念者。如來以般若波羅蜜法。護念諸菩薩。付囑	護 念 者 如 來 以 般 若 波 羅 蜜 法 護 念 諸 菩 薩 付 囑 
X24n0459_001:0518c06	者如來以般若波羅蜜法。付囑須菩提諸大菩薩。	者 如 來 以 般 若 波 羅 蜜 法 付 囑 須 菩 提 諸 大 菩 薩 
X24n0459_001:0518c07	言善護念者。令諸學人。以般若智。護念自身心。不	言 善 護 念 者 令 諸 學 人 以 般 若 智 護 念 自 身 心 不 
X24n0459_001:0518c08	令妄起憎愛。染外六塵。墮生死苦海。於自心中。念	令 妄 起 憎 愛 染 外 六 塵 墮 生 死 苦 海 於 自 心 中 念 
X24n0459_001:0518c09	念常正。不令邪起。自性如來。自善護念。言善付囑	念 常 正 不 令 邪 起 自 性 如 來 自 善 護 念 言 善 付 囑 
X24n0459_001:0518c10	者。前念清淨。付囑後念。後念清淨。無有間斷。究竟	者 前 念 清 淨 付 囑 後 念 後 念 清 淨 無有間斷 究 竟 
X24n0459_001:0518c11	解脫。如來委曲誨示眾生。及在會之眾。當常行此。	解 脫 如 來 委 曲 誨 示 眾 生 及 在 會 之 眾 當 常 行 此 
X24n0459_001:0518c12	故云善付囑也。菩薩者梵語。唐言道心眾生。亦云	故 云 善 付 囑 也 菩 薩 者 梵 語 唐 言 道 心 眾 生 亦 云 
X24n0459_001:0518c13	覺有情。道心者。常行恭敬。乃至蠢動含靈。普敬愛	覺 有 情 道 心 者 常 行 恭 敬 乃 至 蠢 動 含 靈 普 敬 愛 
X24n0459_001:0518c14	之。無輕慢心。故名菩薩。	之 無 輕 慢 心 故 名 菩 薩 
X24n0459_001:0518c15	世尊。善男子。善女人。	世 尊 善 男 子 善 女 人 
X24n0459_001:0518c16	善男子者平坦心也。亦是正定心也。能成就一切	善 男 子 者 平 坦 心 也 亦 是 正 定 心 也 能 成 就 一 切 
X24n0459_001:0518c17	功德。所往無礙也。善女人者。是正慧心也。由正慧	功 德 所 往 無 礙 也 善 女 人 者 是 正 慧 心 也 由 正 慧 
X24n0459_001:0518c18	心。能出生一切有為無為功德也。	心 能 出 生 一 切 有 為 無 為 功 德 也 
X24n0459_001:0518c19	發阿耨多羅三藐三菩提心。云何應住。云何降伏其	發 阿耨多羅三藐三菩提 心 云 何 應 住 云 何 降 伏 其 
X24n0459_001:0518c20	心。	心 
X24n0459_001:0518c21	須菩提問一切發菩提心人。應云何住。云何降伏	須 菩 提 問 一 切 發菩提心 人 應 云 何 住 云 何 降 伏 
X24n0459_001:0518c22	其心。須菩提見一切眾生躁擾不停。猶如隙塵。搖	其 心 須 菩 提 見 一 切 眾 生 躁 擾 不 停 猶 如 隙 塵 搖 
X24n0459_001:0518c23	動之心。起如飄風。念念相續。無有間歇。問欲修行。	動 之 心 起 如 飄 風 念 念 相 續 無 有 間 歇 問 欲 修 行 
X24n0459_001:0518c24	如何降伏。	如 何 降 伏 
X24n0459_001:0519a01	佛言。善哉。善哉。須菩提。如汝所說。如來善護念諸菩	佛 言 善 哉 善 哉 須 菩 提 如 汝 所 說 如 來 善 護 念 諸 菩 
X24n0459_001:0519a02	薩。善付囑諸菩薩。	薩 善 付 囑 諸 菩 薩 
X24n0459_001:0519a03	是佛讚嘆須菩提。善得我心。善得我意也。	是 佛 讚 嘆 須 菩 提 善 得 我 心 善 得 我 意 也 
X24n0459_001:0519a04	汝今諦聽。當為汝說。	汝 今 諦 聽 當 為 汝 說 
X24n0459_001:0519a05	佛欲說法。常先戒敕。令諸聽者。一心靜默。吾當為	佛 欲 說 法 常 先 戒 敕 令 諸 聽 者 一 心 靜 默 吾 當 為 
X24n0459_001:0519a06	說。	說 
X24n0459_001:0519a07	善男子．善女人。發阿耨多羅三藐三菩提心。應如是	善 男 子 善 女 人 發 阿耨多羅三藐三菩提 心 應 如 是 
X24n0459_001:0519a08	住。如是降伏其心。	住 如 是 降 伏 其 心 
X24n0459_001:0519a09	阿之言無。耨多羅之言上。三之言正。藐之言徧。菩	阿 之 言 無 耨 多 羅 之 言 上 三 之 言 正 藐 之 言 徧 菩 
X24n0459_001:0519a10	提之言知。無者。無諸垢染。上者。三界無能比。正者。	提 之 言 知 無 者 無 諸 垢 染 上 者 三 界 無 能 比 正 者 
X24n0459_001:0519a11	正見也。偏者。一切智也。知者。知一切有情皆有佛	正 見 也 偏 者 一 切 智 也 知 者 知 一切有情 皆 有 佛 
X24n0459_001:0519a12	性。但能修行。盡得成佛。佛者。即是無上清淨般若	性 但 能 修 行 盡 得 成 佛 佛 者 即 是 無 上 清 淨 般 若 
X24n0459_001:0519a13	波羅蜜也。是以一切善男子善女人。若欲修行。應	波 羅 蜜 也 是 以 一 切 善 男 子 善 女 人 若 欲 修 行 應 
X24n0459_001:0519a14	知無上菩提道。應知無上清淨般若波羅蜜多法。	知 無上菩提 道 應 知 無 上 清 淨 般 若 波羅蜜多 法 
X24n0459_001:0519a15	以此降伏其心也。	以 此 降 伏 其 心 也 
X24n0459_001:0519a16	唯然世尊。願樂欲聞。	唯 然 世 尊 願 樂 欲 聞 
X24n0459_001:0519a17	唯然者應諾之辭。願樂者願佛廣說。令中下根機。	唯 然 者 應 諾 之 辭 願 樂 者 願 佛 廣 說 令 中 下 根 機 
X24n0459_001:0519a18	盡得開悟。樂者。樂聞深法。欲聞者。渴仰慈誨也。	盡 得 開 悟 樂 者 樂 聞 深 法 欲 聞 者 渴 仰 慈 誨 也 
X24n0459_001:0519a19	○大乘正宗分第三	 大 乘 正 宗 分 第 三 
X24n0459_001:0519a20	佛告須菩提。諸菩薩摩訶薩。應如是降伏其心。	佛 告 須 菩 提 諸 菩薩摩訶薩 應 如 是 降 伏 其 心 
X24n0459_001:0519a21	前念清淨。後念清淨。名為菩薩。念念不退。雖在塵	前 念 清 淨 後 念 清 淨 名 為 菩 薩 念 念 不 退 雖 在 塵 
X24n0459_001:0519a22	勞。心常清淨。名摩訶薩。又慈悲喜捨。種種方便。化	勞 心 常 清 淨 名 摩 訶 薩 又 慈 悲 喜 捨 種 種 方 便 化 
X24n0459_001:0519a23	導眾生。名為菩薩。能化所化心無取著。是名摩訶	導 眾 生 名 為 菩 薩 能 化 所 化 心 無 取 著 是 名 摩 訶 
X24n0459_001:0519a24	薩。恭敬一切眾生。即是降伏自心處。真者不變。如	薩 恭 敬 一 切 眾 生 即 是 降 伏 自 心 處 真 者 不 變 如 
X24n0459_001:0519b01	者不異。遇諸境界。心無變異。名曰真如。亦云外不	者 不 異 遇 諸 境 界 心 無 變 異 名 曰 真 如 亦 云 外 不 
X24n0459_001:0519b02	假曰真。內不亂曰如。念念無差。即是降伏其心也。	假 曰 真 內 不 亂 曰 如 念 念 無 差 即 是 降 伏 其 心 也 
X24n0459_001:0519b03	所有一切眾生之類。若卵生．若胎生．若濕生．若化生。	所有一切 眾 生 之 類 若 卵 生 若 胎 生 若 濕 生 若 化 生 
X24n0459_001:0519b04	若有色．若無色。若有想．若無想．若非有想．若非無想。	若 有 色 若 無 色 若 有 想 若 無 想 若 非 有 想 若 非 無 想 
X24n0459_001:0519b05	我皆令入無餘涅槃。	我 皆 令 入無餘涅槃 
X24n0459_001:0519b06	卵生者迷性也。胎生者習性也。濕生者隨邪性也。	卵 生 者 迷 性 也 胎 生 者 習 性 也 濕 生 者 隨 邪 性 也 
X24n0459_001:0519b07	化生者見趣性也。迷故造諸業。習故常流轉。隨邪	化 生 者 見 趣 性 也 迷 故 造 諸 業 習 故 常 流 轉 隨 邪 
X24n0459_001:0519b08	心不定。見趣多偏墜。起心修心。妄見是非。內不契	心 不 定 見 趣 多 偏 墜 起 心 修 心 妄 見 是 非 內 不 契 
X24n0459_001:0519b09	無相之理。名為有色。內心守直。不行恭敬供養。但	無 相 之 理 名 為 有 色 內 心 守 直 不 行 恭敬供養 但 
X24n0459_001:0519b10	言直心是佛。不修福慧。名為無色。不了中道。眼見	言 直 心 是 佛 不 修 福 慧 名 為 無 色 不 了 中 道 眼 見 
X24n0459_001:0519b11	耳聞。心想思惟。愛著法相。口說佛行。心不依行。名	耳 聞 心 想 思 惟 愛 著 法 相 口 說 佛 行 心 不 依 行 名 
X24n0459_001:0519b12	為有想。迷人坐禪。一向除妄。不學慈悲喜捨智慧	為 有 想 迷 人 坐 禪 一 向 除 妄 不 學 慈 悲 喜 捨 智 慧 
X24n0459_001:0519b13	方便。猶如木石。無有作用。名為無想。不著二法想。	方 便 猶 如 木 石 無 有 作 用 名 為 無 想 不 著 二 法 想 
X24n0459_001:0519b14	故名若非有想。求理心在。故名若非無想。煩惱萬	故 名 若 非 有 想 求 理 心 在 故 名 若 非 無 想 煩 惱 萬 
X24n0459_001:0519b15	差。皆是垢心。身形無數。總名眾生。如來大悲普化。	差 皆 是 垢 心 身 形 無 數 總 名 眾 生 如來大悲 普 化 
X24n0459_001:0519b16	皆令得入無餘涅槃。	皆 令 得 入無餘涅槃 
X24n0459_001:0519b17	而滅度之。	而 滅 度 之 
X24n0459_001:0519b18	如來指示三界九地眾生。各有涅槃妙心。令自悟	如 來 指 示 三界九地 眾 生 各 有 涅 槃 妙 心 令 自 悟 
X24n0459_001:0519b19	入無餘。無餘者。無習氣煩惱也。涅槃者。圓滿清淨	入 無 餘 無 餘 者 無 習 氣 煩 惱 也 涅 槃 者 圓 滿 清 淨 
X24n0459_001:0519b20	義。滅盡一切習氣。令永不生。方契此也。度者渡生	義 滅 盡 一 切 習 氣 令 永 不 生 方 契 此 也 度 者 渡 生 
X24n0459_001:0519b21	死大海也。佛心平等。普願與一切眾生。同入圓滿	死 大 海 也 佛 心 平 等 普 願 與 一 切 眾 生 同 入 圓 滿 
X24n0459_001:0519b22	清淨無餘涅槃。同渡生死大海。同諸佛所證也。有	清 淨 無餘涅槃 同 渡 生 死 大 海 同 諸 佛 所 證 也 有 
X24n0459_001:0519b23	人雖悟雖修。作有所得心者。却生我相。名為法我。	人 雖 悟 雖 修 作 有所得心 者 却 生 我 相 名 為 法 我 
X24n0459_001:0519b24	除盡法我。方名滅度也。	除 盡 法 我 方 名 滅 度 也 
X24n0459_001:0519c01	如是滅度無量無數無邊眾生。實無眾生。得滅度者。	如 是 滅 度 無量無數 無 邊 眾 生 實 無 眾 生 得滅度者 
X24n0459_001:0519c02	如是者。指前法也。滅度者大解脫也。大解脫者。煩	如 是 者 指 前 法 也 滅 度 者 大 解 脫 也 大 解 脫 者 煩 
X24n0459_001:0519c03	惱及習氣。一切諸業障滅盡更無有餘。是名大解	惱 及 習 氣 一 切 諸 業 障 滅 盡 更 無 有 餘 是 名 大 解 
X24n0459_001:0519c04	脫。無量無數無邊眾生。元各自有一切煩惱貪嗔	脫 無量無數 無 邊 眾 生 元 各 自 有 一切煩惱 貪 嗔 
