X56n0949_001:0865a03	 閑居編序	 閑 居 編 序 
X56n0949_001:0865b21	 自序	 自 序 
X56n0949_001:0865b23	錢唐釋智圓字無外自號中庸子於講佛經外好讀	錢 唐 釋 智 圓 字 無 外 自 號 中 庸 子 於 講 佛 經 外 好 讀 
X56n0949_001:0865b24	周孔楊孟書往往學為古文以宗其道又愛吟五七	周 孔 楊 孟 書 往 往 學 為 古 文 以 宗 其 道 又 愛 吟 五 七 
X56n0949_001:0865c01	言詩以樂其性情隨有所得皆以艸稾投壞囊中未	言 詩 以 樂 其 性 情 隨有所得 皆 以 艸 稾 投 壞 囊 中 未 
X56n0949_001:0865c02	甞寫一淨本兒童輩旋充脂燭之費故其逸者多矣	甞 寫 一 淨 本 兒 童 輩 旋 充 脂 燭 之 費 故 其 逸 者 多 矣 
X56n0949_001:0865c03	今年夏養病於孤山下因令後學寫出所存者其後	今 年 夏 養 病 於 孤 山 下 因 令 後 學 寫 出 所 存 者 其 後 
X56n0949_001:0865c04	有所得亦欲隨而編之非求譽於當時抑亦從吾所	有 所 得 亦 欲 隨 而 編 之 非 求 譽 於 當 時 抑 亦 從 吾 所 
X56n0949_001:0865c05	好爾。	好 爾 
X56n0949_001:0865c06	大宋大中祥符九年丙辰歲夏五月十日序	大 宋 大 中 祥 符 九 年 丙 辰 歲 夏 五 月 十 日 序 
X56n0949_001:0865c10	閒居編目次	閒 居 編 目 次 
X56n0949_001:0865c11	序(宣德郎守大理寺丞監杭州清酒務吳遵路撰)	序 宣 德 郎 守 大 理 寺 丞 監 杭 州 清 酒 務 吳 遵 路 撰 
X56n0949_001:0865c12	自序	自 序 
X56n0949_001:0865c13	第一	第 一 
X56n0949_001:0865c14	首楞嚴經疏序四十二章經序	首 楞 嚴 經 疏 序 四 十 二 章 經 序 
X56n0949_001:0865c15	普入不思議法門經序文殊說般若經疏序	普 入 不 思 議 法 門 經 序 文 殊 說 般 若 經 疏 序 
X56n0949_001:0865c16	般若心經疏序無量義經疏序	般 若 心 經 疏 序 無 量 義 經 疏 序 
X56n0949_001:0865c17	第二	第 二 
X56n0949_001:0865c18	佛遺教經疏瑞應經疏序	佛 遺 教 經 疏 瑞 應 經 疏 序 
X56n0949_001:0865c19	觀普賢行法經疏序阿彌陀疏序	觀 普 賢 行 法 經 疏 序 阿 彌 陀 疏 序 
X56n0949_001:0865c20	第三	第 三 
X56n0949_001:0865c21	涅槃玄義發源機要記序	涅 槃 玄 義 發 源 機 要 記 序 
X56n0949_001:0865c22	維摩經略疏垂裕記序	維 摩 經 略 疏 垂 裕 記 序 
X56n0949_001:0865c23	第四	第 四 
X56n0949_001:0865c24	觀經疏刊正記序般若心經疏詒謀鈔序	觀 經 疏 刊 正 記 序 般 若 心 經 疏 詒 謀 鈔 序 
X56n0949_001:0866a01	金光明經玄義表微記序	金 光 明 經 玄 義 表 微 記 序 
X56n0949_001:0866a02	金光明經文句索隱記序	金 光 明 經 文 句 索 隱 記 序 
X56n0949_001:0866a03	第五	第 五 
X56n0949_001:0866a04	請觀音經疏演義鈔序盂蘭盆經疏摭華鈔序	請 觀 音 經 疏 演 義 鈔 序 盂 蘭 盆 經 疏 摭 華 鈔 序 
X56n0949_001:0866a05	文殊說般若經疏折重鈔序	文 殊 說 般 若 經 疏 折 重 鈔 序 
X56n0949_001:0866a06	首楞嚴經疏谷響鈔序	首 楞 嚴 經 疏 谷 響 鈔 序 
X56n0949_001:0866a07	第六	第 六 
X56n0949_001:0866a08	涅槃百非鈔序涅槃經疏三德指歸序	涅 槃 百 非 鈔 序 涅 槃 經 疏 三 德 指 歸 序 
X56n0949_001:0866a09	阿彌陀經西資鈔序金剛錍顯性錄序	阿 彌 陀 經 西 資 鈔 序 金 剛 錍 顯 性 錄 序 
X56n0949_001:0866a10	第七	第 七 
X56n0949_001:0866a11	觀音行門統攝眾行論思益十誡(并序)	觀 音 行 門 統 攝 眾 行 論 思 益 十 誡 并 序 
X56n0949_001:0866a12	第八	第 八 
X56n0949_001:0866a13	注刪定戒本序注觀心論後序	注 刪 定 戒 本 序 注 觀 心 論 後 序 
X56n0949_001:0866a14	智者大師十德禮贊序淨土贊(并序)	智 者 大 師 十 德 禮 贊 序 淨 土 贊 并 序 
X56n0949_001:0866a15	南山大師贊後序新印還源觀後序	南 山 大 師 贊 後 序 新 印 還 源 觀 後 序 
X56n0949_001:0866a16	第九	第 九 
X56n0949_001:0866a17	書文殊般若經疏後序律鈔義苑後序	書 文 殊 般 若 經 疏 後 序 律 鈔 義 苑 後 序 
X56n0949_001:0866a18	詳勘金剛經印版後序	詳 勘 金 剛 經 印 版 後 序 
X56n0949_001:0866a19	第十	第 十 
X56n0949_001:0866a20	法華玄記十不二門正義序	法 華 玄 記 十 不 二 門 正 義 序 
X56n0949_001:0866a21	翻經通紀序佛氏彚征別集序	翻 經 通 紀 序 佛 氏 彚 征 別 集 序 
X56n0949_001:0866a22	闡義鈔序	闡 義 鈔 序 
X56n0949_001:0866a23	第十一	第 十 一 
X56n0949_001:0866a24	黃帝陰符經題辭病課集序	黃 帝 陰 符 經 題 辭 病 課 集 序 
X56n0949_001:0866b01	第十二	第 十 二 
X56n0949_001:0866b02	書智者大師碑後序書荊谿大師碑後序	書 智 者 大 師 碑 後 序 書 荊 谿 大 師 碑 後 序 
X56n0949_001:0866b03	講堂擊蒙集序講堂條約序	講 堂 擊 蒙 集 序 講 堂 條 約 序 
X56n0949_001:0866b04	目錄序帝年紀序	目 錄 序 帝 年 紀 序 
X56n0949_001:0866b05	廣皮日休法言後序	廣 皮 日 休 法 言 後 序 
X56n0949_001:0866b06	第十三	第 十 三 
X56n0949_001:0866b07	瑪瑙院界相牓序華亭興聖院界相牓序	瑪 瑙 院 界 相 牓 序 華 亭 興 聖 院 界 相 牓 序 
X56n0949_001:0866b08	真覺院界相牓序瑪碯院重結大界記	真 覺 院 界 相 牓 序 瑪 碯 院 重 結 大 界 記 
X56n0949_001:0866b09	法濟院結界記	法 濟 院 結 界 記 
X56n0949_001:0866b10	第十四	第 十 四 
X56n0949_001:0866b11	漉囊贊(并序)漉囊志出生圖紀(并序)	漉 囊 贊 并 序 漉 囊 志 出 生 圖 紀 并 序 
X56n0949_001:0866b12	第十五	第 十 五 
X56n0949_001:0866b13	錢唐律德梧公門人覆講記	錢 唐 律 德 梧 公 門 人 覆 講 記 
X56n0949_001:0866b14	大宋高僧慈光闍棃塔記	大 宋 高 僧 慈 光 闍 棃 塔 記 
X56n0949_001:0866b15	故梵天寺昭闍棃行業記僕夫泉記	故 梵 天 寺 昭 闍 棃 行 業 記 僕 夫 泉 記 
X56n0949_001:0866b16	第十六	第 十 六 
X56n0949_001:0866b17	三笑圖贊(并序)夜講亭述	三 笑 圖 贊 并 序 夜 講 亭 述 
X56n0949_001:0866b18	孤山述記夢對友人問	孤 山 述 記 夢 對 友 人 問 
X56n0949_001:0866b19	第十七	第 十 七 
X56n0949_001:0866b20	祭祖師文祭孤山神文	祭 祖 師 文 祭 孤 山 神 文 
X56n0949_001:0866b21	又祭孤山神文撤土偶文	又 祭 孤 山 神 文 撤 土 偶 文 
X56n0949_001:0866b22	中庸子自祭文	中 庸 子 自 祭 文 
X56n0949_001:0866b23	第十八	第 十 八 
X56n0949_001:0866b24	善惡有餘論周公撻伯禽論	善 惡 有 餘 論 周 公 撻 伯 禽 論 
X56n0949_001:0866c01	生死無好惡論福善禍淫論	生 死 無 好 惡 論 福 善 禍 淫 論 
X56n0949_001:0866c02	第十九	第 十 九 
X56n0949_001:0866c03	中庸子傳上中下三篇	中 庸 子 傳 上 中 下 三 篇 
X56n0949_001:0866c04	第二十	第 二 十 
X56n0949_001:0866c05	勉學上下(并序)	勉 學 上 下 并 序 
X56n0949_001:0866c06	第二十一	第 二 十 一 
X56n0949_001:0866c07	與駱偃節判書與嘉禾玄法師書	與 駱 偃 節 判 書 與 嘉 禾 玄 法 師 書 
X56n0949_001:0866c08	錢唐慈光院備法師行狀	錢 唐 慈 光 院 備 法 師 行 狀 
X56n0949_001:0866c09	第二十二	第 二 十 二 
X56n0949_001:0866c10	謝吳寺丞撰閒居編序書	謝 吳 寺 丞 撰 閒 居 編 序 書 
X56n0949_001:0866c11	第二十三	第 二 十 三 
X56n0949_001:0866c12	謝府主王給事見訪書	謝 府 主 王 給 事 見 訪 書 
X56n0949_001:0866c13	湖州德清覺華寺淨土懺院記	湖 州 德 清 覺 華 寺 淨 土 懺 院 記 
X56n0949_001:0866c14	第二十四	第 二 十 四 
X56n0949_001:0866c15	答李秀才書與門人書	答 李 秀 才 書 與 門 人 書 
X56n0949_001:0866c16	第二十五	第 二 十 五 
X56n0949_001:0866c17	辨錢唐名評錢唐郡碑文	辨 錢 唐 名 評 錢 唐 郡 碑 文 
X56n0949_001:0866c18	疑程候碑辨荀卿子	疑 程 候 碑 辨 荀 卿 子 
X56n0949_001:0866c19	好山水辨議秦王役鬼	好 山 水 辨 議 秦 王 役 鬼 
X56n0949_001:0866c20	第二十六	第 二 十 六 
X56n0949_001:0866c21	錄兼明書誤讓李習之	錄 兼 明 書 誤 讓 李 習 之 
X56n0949_001:0866c22	讀中說雪劉禹錫	讀 中 說 雪 劉 禹 錫 
X56n0949_001:0866c23	第二十七	第 二 十 七 
X56n0949_001:0866c24	感義犬評謝屐	感 義 犬 評 謝 屐 
X56n0949_001:0867a01	敘繼齊師字擇日說	敘 繼 齊 師 字 擇 日 說 
X56n0949_001:0867a02	敘傳神	敘 傳 神 
X56n0949_001:0867a03	第二十八	第 二 十 八 
X56n0949_001:0867a04	駮嗣禹說師韓議	駮 嗣 禹 說 師 韓 議 
X56n0949_001:0867a05	道德仁藝解	道 德 仁 藝 解 
X56n0949_001:0867a06	第二十九	第 二 十 九 
X56n0949_001:0867a07	送庶幾序錢唐聞聦師詩集序	送 庶 幾 序 錢 唐 聞 聦 師 詩 集 序 
X56n0949_001:0867a08	照湖聯句詩序送智仁歸越序	照 湖 聯 句 詩 序 送 智 仁 歸 越 序 
X56n0949_001:0867a09	第三十	第 三 十 
X56n0949_001:0867a10	誡惡勸善	誡 惡 勸 善 
X56n0949_001:0867a11	錢唐律德梧公講堂題名序	錢 唐 律 德 梧 公 講 堂 題 名 序 
X56n0949_001:0867a12	第三十一	第 三 十 一 
X56n0949_001:0867a13	錢唐孤山智果院結大界序	錢 唐 孤 山 智 果 院 結 大 界 序 
X56n0949_001:0867a14	天台國清寺重結大界序	天 台 國 清 寺 重 結 大 界 序 
X56n0949_001:0867a15	錢唐法慧院結大界記	錢 唐 法 慧 院 結 大 界 記 
X56n0949_001:0867a16	第三十二	第 三 十 二 
X56n0949_001:0867a17	代元上人上錢唐王給事書	代 元 上 人 上 錢 唐 王 給 事 書 
X56n0949_001:0867a18	送天台長吉序命湖光	送 天 台 長 吉 序 命 湖 光 
X56n0949_001:0867a19	感物賦分居賦陋室銘(并序)	感 物 賦 分 居 賦 陋 室 銘 并 序 
X56n0949_001:0867a20	第三十三	第 三 十 三 
X56n0949_001:0867a21	故錢唐白蓮社主碑文(有序)	故 錢 唐 白 蓮 社 主 碑 文 有 序 
X56n0949_001:0867a22	辨宋人中人箴(并序)	辨 宋 人 中 人 箴 并 序 
X56n0949_001:0867a23	松江重祐師和李白姑熟十詠詩序	松 江 重 祐 師 和 李 白 姑 熟 十 詠 詩 序 
X56n0949_001:0867a24	遠上人湖居詩序	遠 上 人 湖 居 詩 序 
X56n0949_001:0867b01	第三十四	第 三 十 四 
X56n0949_001:0867b02	錢唐兜率院界相牓序遺囑	錢 唐 兜 率 院 界 相 牓 序 遺 囑 
X56n0949_001:0867b03	病夫傳病賦并序	病 夫 傳 病 賦 并 序 
X56n0949_001:0867b04	講堂銘窻蟲銘	講 堂 銘 窻 蟲 銘 
X56n0949_001:0867b05	第三十五	第 三 十 五 
X56n0949_001:0867b06	四諦具惑釋義頌	四 諦 具 惑 釋 義 頌 
X56n0949_001:0867b07	依婆沙釋第十六心屬脩道義	依 婆 沙 釋 第 十 六 心 屬 脩 道 義 
X56n0949_001:0867b08	淨名經釋見見義	淨 名 經 釋 見 見 義 
X56n0949_001:0867b09	注天台涅槃疏主頂法師讚	注 天 台 涅 槃 疏 主 頂 法 師 讚 
X56n0949_001:0867b10	自恣文南山大師忌	自 恣 文 南 山 大 師 忌 
X56n0949_001:0867b11	智者大師忌	智 者 大 師 忌 
X56n0949_001:0867b12	第三十六	第 三 十 六 
X56n0949_001:0867b13	自恣念誦回向結大戒相回向	自 恣 念 誦 回 向 結 大 戒 相 回 向 
X56n0949_001:0867b14	歲旦禮佛回向冬朝禮佛回向	歲 旦 禮 佛 回 向 冬 朝 禮 佛 回 向 
X56n0949_001:0867b15	月旦念誦回向祈雨回向	月 旦 念 誦 回 向 祈 雨 回 向 
X56n0949_001:0867b16	祈晴回向結夏念誦迴向	祈 晴 回 向 結 夏 念 誦 迴 向 
X56n0949_001:0867b17	晚參疏意佛涅槃意	晚 參 疏 意 佛 涅 槃 意 
X56n0949_001:0867b18	第三十七	第 三 十 七 
X56n0949_001:0867b19	擬洛下分題(并序)松石琴薦	擬 洛 下 分 題 并 序 松 石 琴 薦 
X56n0949_001:0867b20	茯苓人遞詩筒文石酒杯	茯 苓 人 遞 詩 筒 文 石 酒 杯 
X56n0949_001:0867b21	挑燈杖刮字刀試金石	挑 燈 杖 刮 字 刀 試 金 石 
X56n0949_001:0867b22	燭蛾誡挽歌詞三首	燭 蛾 誡 挽 歌 詞 三 首 
X56n0949_001:0867b23	中庸子預自銘之曰墓誌瑪腦坡四詠(并序)	中 庸 子 預 自 銘 之 曰 墓 誌 瑪 腦 坡 四 詠 并 序 
X56n0949_001:0867b24	第三十八	第 三 十 八 
X56n0949_001:0867c01	送惟鳳師歸四明試筆	送 惟 鳳 師 歸 四 明 試 筆 
X56n0949_001:0867c02	讀史雪西施思君子歌	讀 史 雪 西 施 思 君 子 歌 
X56n0949_001:0867c03	海上五山歌陋巷歌贈友生	海 上 五 山 歌 陋 巷 歌 贈 友 生 
X56n0949_001:0867c04	慎交歌古琴詩	慎 交 歌 古 琴 詩 
X56n0949_001:0867c05	第三十九	第 三 十 九 
X56n0949_001:0867c06	吳山廟詩讀韓文詩	吳 山 廟 詩 讀 韓 文 詩 
X56n0949_001:0867c07	山居招友人詩貽葉秀才詩	山 居 招 友 人 詩 貽 葉 秀 才 詩 
X56n0949_001:0867c08	贈簡上人詩述韓柳詩	贈 簡 上 人 詩 述 韓 柳 詩 
X56n0949_001:0867c09	孤山詩二首	孤 山 詩 二 首 
X56n0949_001:0867c10	暮秋書齋述懷寄守能師	暮 秋 書 齋 述 懷 寄 守 能 師 
X56n0949_001:0867c11	贈詩僧保暹師贈趙璞	贈 詩 僧 保 暹 師 贈 趙 璞 
X56n0949_001:0867c12	第四十	第 四 十 
X56n0949_001:0867c13	經武康小山法瑤師舊居	經 武 康 小 山 法 瑤 師 舊 居 
X56n0949_001:0867c14	西施篇寓興山中自敘	西 施 篇 寓 興 山 中 自 敘 
X56n0949_001:0867c15	莫言春日長講堂書事	莫 言 春 日 長 講 堂 書 事 
X56n0949_001:0867c16	勉隱者鑑山中行送僧	勉 隱 者 鑑 山 中 行 送 僧 
X56n0949_001:0867c17	答行簡上人書夏日薰風亭作	答 行 簡 上 人 書 夏 日 薰 風 亭 作 
X56n0949_001:0867c18	初晴登疊翠亭偶成	初 晴 登 疊 翠 亭 偶 成 
X56n0949_001:0867c19	李秀才以山齋早起詩見贈因次韻和詶	李 秀 才 以 山 齋 早 起 詩 見 贈 因 次 韻 和 詶 
X56n0949_001:0867c20	對雪孤山詩三首	對 雪 孤 山 詩 三 首 
X56n0949_001:0867c21	酷熱有客	酷 熱 有 客 
X56n0949_001:0867c22	詶仁上人望湖山見寄次韻	詶 仁 上 人 望 湖 山 見 寄 次 韻 
X56n0949_001:0867c23	和辯才訪仲微上人不遇次韻詶明上人	和 辯 才 訪 仲 微 上 人 不 遇 次 韻 詶 明 上 人 
X56n0949_001:0867c24	寄同志和聦上人悼梵天闍棃	寄 同 志 和 聦 上 人 悼 梵 天 闍 棃 
X56n0949_001:0868a01	孤山閒居次韻詶會稽仁姪見寄	孤 山 閒 居 次 韻 詶 會 稽 仁 姪 見 寄 
X56n0949_001:0868a02	第四十一	第 四 十 一 
X56n0949_001:0868a03	贈進士葉授夏日寄諒律師	贈 進 士 葉 授 夏 日 寄 諒 律 師 
X56n0949_001:0868a04	寄遠寄文照大師	寄 遠 寄 文 照 大 師 
X56n0949_001:0868a05	贈辯才大師孤山閒居即事寄己師	贈 辯 才 大 師 孤 山 閒 居 即 事 寄 己 師 
X56n0949_001:0868a06	次韻詶聞聰上人春日書懷見寄	次 韻 詶 聞 聰 上 人 春 日 書 懷 見 寄 
X56n0949_001:0868a07	春日閒居即事寄元敏上人	春 日 閒 居 即 事 寄 元 敏 上 人 
X56n0949_001:0868a08	登樓感事寄天台友人書通上人城居	登 樓 感 事 寄 天 台 友 人 書 通 上 人 城 居 
X56n0949_001:0868a09	湖居即事寄仁姪	湖 居 即 事 寄 仁 姪 
X56n0949_001:0868a10	懷石壁舊居兼簡紹上人贈林逋處士	懷 石 壁 舊 居 兼 簡 紹 上 人 贈 林 逋 處 士 
X56n0949_001:0868a11	梵天寺二首趙萬宗入道因寄	梵 天 寺 二 首 趙 萬 宗 入 道 因 寄 
X56n0949_001:0868a12	春日湖居書事寄子璿師詶正言上人	春 日 湖 居 書 事 寄 子 璿 師 詶 正 言 上 人 
X56n0949_001:0868a13	贈清義律師遊開化寺	贈 清 義 律 師 遊 開 化 寺 
X56n0949_001:0868a14	次韻詶子文師南塔寺上方	次 韻 詶 子 文 師 南 塔 寺 上 方 
X56n0949_001:0868a15	寄贈子正律師	寄 贈 子 正 律 師 
X56n0949_001:0868a16	憶南塔上方因寄慶昭師	憶 南 塔 上 方 因 寄 慶 昭 師 
X56n0949_001:0868a17	庭松寄曦照上人	庭 松 寄 曦 照 上 人 
X56n0949_001:0868a18	第四十二	第 四 十 二 
X56n0949_001:0868a19	自箴七箴(并序)口箴身箴	自 箴 七 箴 并 序 口 箴 身 箴 
X56n0949_001:0868a20	心箴足箴手箴眼箴耳箴	心 箴 足 箴 手 箴 眼 箴 耳 箴 
X56n0949_001:0868a21	寄題梵天聖杲二寺兼簡昭梧二上人(并序)	寄 題 梵 天 聖 杲 二 寺 兼 簡 昭 梧 二 上 人 并 序 
X56n0949_001:0868a22	湖西雜感詩(并序)	湖 西 雜 感 詩 并 序 
X56n0949_001:0868a23	第四十三	第 四 十 三 
X56n0949_001:0868a24	寄華亭虗己師旅舍言懷	寄 華 亭 虗 己 師 旅 舍 言 懷 
X56n0949_001:0868b01	上錢唐太守薛大諫贈守能師潮	上 錢 唐 太 守 薛 大 諫 贈 守 能 師 潮 
X56n0949_001:0868b02	贈夤上人歸道場山宿山院	贈 夤 上 人 歸 道 場 山 宿 山 院 
X56n0949_001:0868b03	贈簡上人苔寄楚南師	贈 簡 上 人 苔 寄 楚 南 師 
X56n0949_001:0868b04	江亭晚望登武林高峯	江 亭 晚 望 登 武 林 高 峯 
X56n0949_001:0868b05	懷子仁師(二首)寄棲白師	懷 子 仁 師 二 首 寄 棲 白 師 
X56n0949_001:0868b06	贈郝逸人遊靈隱山	贈 郝 逸 人 遊 靈 隱 山 
X56n0949_001:0868b07	謝擇梧律師惠竹杖梵天寺閒居書事	謝 擇 梧 律 師 惠 竹 杖 梵 天 寺 閒 居 書 事 
X56n0949_001:0868b08	鍊丹井冷泉亭贈僧	鍊 丹 井 冷 泉 亭 贈 僧 
X56n0949_001:0868b09	湖居秋日病起(六韻)贈夷中師	湖 居 秋 日 病 起 六 韻 贈 夷 中 師 
X56n0949_001:0868b10	寄圓長老同友人宿山院	寄 圓 長 老 同 友 人 宿 山 院 
X56n0949_001:0868b11	贈清曉師寄德聰師	贈 清 曉 師 寄 德 聰 師 
X56n0949_001:0868b12	上方院登樓懷遵易	上 方 院 登 樓 懷 遵 易 
X56n0949_001:0868b13	第四十四	第 四 十 四 
X56n0949_001:0868b14	贈詩僧保暹師寄石城行光長老	贈 詩 僧 保 暹 師 寄 石 城 行 光 長 老 
X56n0949_001:0868b15	寄仁姪山行	寄 仁 姪 山 行 
X56n0949_001:0868b16	秋日感事湖上晚望寄友人	秋 日 感 事 湖 上 晚 望 寄 友 人 
X56n0949_001:0868b17	贈聞聰師送僧歸饒陽	贈 聞 聰 師 送 僧 歸 饒 陽 
X56n0949_001:0868b18	悼廣鈞師次韻詶鄰僧畫上人	悼 廣 鈞 師 次 韻 詶 鄰 僧 畫 上 人 
X56n0949_001:0868b19	旅中別趙璞旅中即事寄友生	旅 中 別 趙 璞 旅 中 即 事 寄 友 生 
X56n0949_001:0868b20	秋晚客舍寄故山友僧	秋 晚 客 舍 寄 故 山 友 僧 
X56n0949_001:0868b21	寄輦下譯經正覺大師寄潤姪法師	寄 輦 下 譯 經 正 覺 大 師 寄 潤 姪 法 師 
X56n0949_001:0868b22	贈白蓮社主圓淨大師春晚言懷寄聰上人	贈 白 蓮 社 主 圓 淨 大 師 春 晚 言 懷 寄 聰 上 人 
X56n0949_001:0868b23	留題因師院石楠花寄省悟師	留 題 因 師 院 石 楠 花 寄 省 悟 師 
X56n0949_001:0868b24	留題聞氏林亭小山寄仲孫上人房	留 題 聞 氏 林 亭 小 山 寄 仲 孫 上 人 房 
X56n0949_001:0868c01	題聰上人林亭書久上人城中幽齋	題 聰 上 人 林 亭 書 久 上 人 城 中 幽 齋 
