X48n0802_001:0308a06	百法論義	百 法 論 義 
X48n0802_001:0308b01	知相宗唯識。定要會歸一心為極。此唯楞嚴所說	知 相 宗 唯 識 定 要 會 歸 一 心 為 極 此 唯 楞 嚴 所 說 
X48n0802_001:0308b02	一路涅槃門。乃二宗之究竟也。學人不知其源。至	一 路 涅 槃 門 乃 二 宗 之 究 竟 也 學 人 不 知 其 源 至 
X48n0802_001:0308b03	談唯識一宗。專在名相上作活計。不知聖人密意。	談 唯 識 一 宗 專 在 名 相 上 作 活 計 不 知 聖 人 密 意 
X48n0802_001:0308b04	要人識破妄相以會歸一心耳。故今依生滅門中。	要 人 識 破 妄 相 以 會 歸 一 心 耳 故 今 依 生 滅 門 中 
X48n0802_001:0308b05	以不生滅與生滅和合成阿賴耶識。變起根身器	以 不 生 滅 與 生 滅 和 合 成 阿賴耶識 變 起 根 身 器 
X48n0802_001:0308b06	界。以示迷悟之源。了此歸源無二。則妙悟一心。如	界 以 示 迷 悟 之 源 了 此 歸 源 無 二 則 妙 悟 一 心 如 
X48n0802_001:0308b07	指諸掌矣。	指 諸 掌 矣 
X48n0802_001:0308b08	相宗百法者。正的示萬法唯識之旨也。以不生滅心	相 宗 百 法 者 正 的 示 萬 法 唯 識 之 旨 也 以 不 生 滅 心 
X48n0802_001:0308b09	與生滅和合成阿賴耶識。以此識有覺不覺義。其	與 生 滅 和 合 成 阿賴耶識 以 此 識 有 覺 不 覺 義 其 
X48n0802_001:0308b10	覺義者。乃一心真如。為一切眾生正因佛性。其不	覺 義 者 乃 一 心 真 如 為 一 切 眾 生 正 因 佛 性 其 不 
X48n0802_001:0308b11	覺義者。乃根本無明。迷此一心而成識體。故此識	覺 義 者 乃 根本無明 迷 此 一 心 而 成 識 體 故 此 識 
X48n0802_001:0308b12	有三分。謂自證分．見分．相分。又一師立四分。增證	有 三 分 謂 自 證 分 見 分 相 分 又 一 師 立 四 分 增 證 
X48n0802_001:0308b13	自證分。其證自證分。即不迷之真如。其自證分。乃	自 證 分 其 證 自 證 分 即 不 迷 之 真 如 其 自 證 分 乃 
X48n0802_001:0308b14	真如一分迷中之佛性。是為本覺。以眾生雖迷。而	真 如 一 分 迷 中 之 佛 性 是 為 本 覺 以 眾 生 雖 迷 而 
X48n0802_001:0308b15	本有佛性不失不壞。以有真如自體可證。故云自	本 有 佛 性 不 失 不 壞 以 有 真 如 自 體 可 證 故 云 自 
X48n0802_001:0308b16	證。良由一心真如。有大智慧光明義故。今迷而為	證 良 由 一 心 真 如 有 大 智慧光明 義 故 今 迷 而 為 
X48n0802_001:0308b17	識。以湛寂之體。忽生一念。迷本圓明。則將本有無	識 以 湛 寂 之 體 忽 生 一 念 迷 本 圓 明 則 將 本 有 無 
X48n0802_001:0308b18	相之真如。變起虗空四大之妄相。名為相分。將本	相 之 真 如 變 起 虗 空 四 大 之 妄 相 名 為 相 分 將 本 
X48n0802_001:0308b19	有之智光。變為能見之妄見。是為見分。是知一切	有 之 智 光 變 為 能 見 之 妄 見 是 為 見 分 是 知 一 切 
X48n0802_001:0308b20	眾生世界有相之萬法。皆依八識見相二分之所	眾 生 世 界 有 相 之 萬 法 皆 依 八 識 見 相 二 分 之 所 
X48n0802_001:0308b21	建立。故云萬法唯識。此實相宗之本源也。今唯識	建 立 故 云 萬 法 唯 識 此 實 相 宗 之 本 源 也 今 唯 識 
X48n0802_001:0308b22	宗。但言百法者。始因彌勒菩薩修唯識觀。見得萬	宗 但 言 百 法 者 始 因 彌 勒 菩 薩 修 唯 識 觀 見 得 萬 
X48n0802_001:0308b23	法廣博。鈍根眾生難以修習。故就萬法中最切要	法 廣 博 鈍 根 眾 生 難 以 修 習 故 就 萬 法 中 最 切 要 
X48n0802_001:0308b24	者。特出六百六十法。造瑜伽師地論以發明之。可	者 特 出 六 百 六 十 法 造 瑜伽師地 論 以 發 明 之 可 
X48n0802_001:0308c01	謂簡矣。及至天親菩薩從兜率稟受彌勒相宗法	謂 簡 矣 及 至 天 親 菩 薩 從 兜 率 稟 受 彌 勒 相 宗 法 
X48n0802_001:0308c02	門。又見其繁。乃就六百六十法中。提出綱要。總成	門 又 見 其 繁 乃 就 六 百 六 十 法 中 提 出 綱 要 總 成 
X48n0802_001:0308c03	百法。已盡大乘奧義。故造論曰。百法明門。謂明此	百 法 已 盡 大 乘 奧 義 故 造 論 曰 百 法 明 門 謂 明 此 
X48n0802_001:0308c04	百法。可入大乘之門矣。故欲知唯識。要先明此百	百 法 可 入 大 乘 之 門 矣 故 欲 知 唯 識 要 先 明 此 百 
X48n0802_001:0308c05	法。以此百法。乃八識所變耳。以一切眾生。皆依此	法 以 此 百 法 乃 八 識 所 變 耳 以 一 切 眾 生 皆 依 此 
X48n0802_001:0308c06	識而有生死。三乘聖人。皆依此識而有修證。通名	識 而 有 生 死 三 乘 聖 人 皆 依 此 識 而 有 修 證 通 名 
X48n0802_001:0308c07	世出世法。即此百法收盡。然一切聖凡。皆執為我。	世 出 世 法 即 此 百 法 收 盡 然 一 切 聖 凡 皆 執 為 我 
X48n0802_001:0308c08	故論首標云。如世尊言。一切法無我。即顯此一無	故 論 首 標 云 如 世 尊 言 一切法無我 即 顯 此 一 無 
X48n0802_001:0308c09	字。便見世尊出世說法四十九年。單單只說破聖	字 便 見 世 尊 出 世 說 法 四 十 九 年 單 單 只 說 破 聖 
X48n0802_001:0308c10	凡之我見耳。我見既離。則八識無名。而一心之義	凡 之 我 見 耳 我 見 既 離 則 八 識 無 名 而 一 心 之 義 
X48n0802_001:0308c11	顯矣。由是觀之。何相而不歸性耶。今言百法。通名	顯 矣 由 是 觀 之 何 相 而 不 歸 性 耶 今 言 百 法 通 名 
X48n0802_001:0308c12	有為無為世出世法。其世間名有為法有九十四。	有 為 無 為 世 出 世 法 其 世 間 名 有 為 法 有 九 十 四 
X48n0802_001:0308c13	出世間名無為法有六。種故一切兩字。包括殆盡。	出 世 間 名 無 為 法 有 六 種 故 一 切 兩 字 包 括 殆 盡 
X48n0802_001:0308c14	雖云出世。猶未離我。故總無之。所以論主標一切	雖 云 出 世 猶 未 離 我 故 總 無 之 所 以 論 主 標 一 切 
X48n0802_001:0308c15	法無我一句。為性相之宗本。則了無剩法矣。其有	法 無 我 一 句 為 性 相 之 宗 本 則 了 無 剩 法 矣 其 有 
X48n0802_001:0308c16	為法九十四者。謂一心法有八。心所法有五十一。	為 法 九 十 四 者 謂 一 心 法 有 八 心 所 法 有 五 十 一 
X48n0802_001:0308c17	色法有十一。不相應行法有二十四。然心法八者。	色 法 有 十 一 不相應行 法 有 二 十 四 然 心 法 八 者 
X48n0802_001:0308c18	謂眼識．耳識．鼻識．舌識．身識．意識．第七末那識。亦	謂 眼 識 耳 識 鼻 識 舌 識 身 識 意 識 第 七 末 那 識 亦 
X48n0802_001:0308c19	名意．亦名染淨依。俗呼傳送識。第八阿賴耶識。亦	名 意 亦 名 染 淨 依 俗 呼 傳 送 識 第 八 阿賴耶識 亦 
X48n0802_001:0308c20	名無沒識。又名含藏識。此八識通名心王。以第八	名 無 沒 識 又 名 含 藏 識 此 八 識 通 名 心 王 以 第 八 
X48n0802_001:0308c21	識乃自證分為生死主。其前七識乃屬見分。以為	識 乃 自 證 分 為 生 死 主 其 前 七 識 乃 屬 見 分 以 為 
X48n0802_001:0308c22	心用。故楞嚴云元以一精明分成六和合。八識心	心 用 故 楞 嚴 云 元 以 一 精 明 分 成 六 和 合 八 識 心 
X48n0802_001:0308c23	王。無善無惡。不會造業。其作善作惡者。乃心所也。	王 無 善 無 惡 不 會 造 業 其 作 善 作 惡 者 乃 心 所 也 
X48n0802_001:0308c24	故五十一心所。又名心使。如世人家之奴僕。主人	故 五 十 一 心 所 又 名 心 使 如 世 人 家 之 奴 僕 主 人 
X48n0802_001:0309a01	固善。而奴僕作惡累及主耳。起信論中不分王所。	固 善 而 奴 僕 作 惡 累 及 主 耳 起 信 論 中 不 分 王 所 
X48n0802_001:0309a02	但竪說三細六麤生起之相。通名五意。六種染心。	但 竪 說 三 細 六 麤 生 起 之 相 通 名 五 意 六 種 染 心 
X48n0802_001:0309a03	但云心念法異一語而已。然心即八識心王。念即	但 云 心 念 法 異 一 語 而 已 然 心 即 八 識 心 王 念 即 
X48n0802_001:0309a04	心所。法即善惡境界。此唯識相宗乃橫說八識王	心 所 法 即 善 惡 境 界 此 唯 識 相 宗 乃 橫 說 八 識 王 
X48n0802_001:0309a05	所業用。故不同耳。其五十一心所。分為六位。	所 業 用 故 不 同 耳 其 五 十 一 心 所 分 為 六 位 
X48n0802_001:0309a06	一．徧行五法。謂意．觸．受．想．思。	一 徧 行 五 法 謂 意 觸 受 想 思 
X48n0802_001:0309a07	二．別境五法。謂欲．解．念．定．慧。	二 別 境 五 法 謂 欲 解 念 定 慧 
X48n0802_001:0309a08	三．善心所有十一。謂信．進與慚．愧．無貪等三根．輕安．	三 善 心 所 有 十 一 謂 信 進 與 慚 愧 無 貪 等 三 根 輕 安 
X48n0802_001:0309a09	不放逸．行捨及不害。	不 放 逸 行 捨 及 不 害 
X48n0802_001:0309a10	四．根本煩惱有六。謂貪．嗔．癡．慢．疑．不正見。	四 根本煩惱 有 六 謂 貪 嗔 癡 慢 疑 不 正 見 
X48n0802_001:0309a11	五．隨煩惱二十。分小中大。小隨有十者。謂忿．恨．惱．覆．	五 隨 煩 惱 二 十 分 小 中 大 小 隨 有 十 者 謂 忿 恨 惱 覆 
X48n0802_001:0309a12	誑．諂．驕．害．嫉．慳。中隨二者。謂無慚并無愧。大隨八	誑 諂 驕 害 嫉 慳 中 隨 二 者 謂 無 慚 并 無 愧 大 隨 八 
X48n0802_001:0309a13	者。謂不信并懈怠．放逸及昏沉．掉舉．失正念．不正	者 謂 不 信 并 懈 怠 放 逸 及 昏 沉 掉 舉 失 正 念 不 正 
X48n0802_001:0309a14	知．散亂。所言隨者。乃隨其根本煩惱分位差別。分	知 散 亂 所 言 隨 者 乃 隨 其 根本煩惱 分位差別 分 
X48n0802_001:0309a15	小中大者。以有三義。一．自類俱起。二．徧染二性。謂	小 中 大 者 以 有 三 義 一 自 類 俱 起 二 徧 染 二 性 謂 
X48n0802_001:0309a16	不善有覆。三．徧諸染心。三義皆具名大。具一名中。	不善有覆 三 徧 諸 染 心 三 義 皆 具 名 大 具 一 名 中 
X48n0802_001:0309a17	俱無名小。	俱 無 名 小 
X48n0802_001:0309a18	六．不定法四者。謂悔．眠．尋．伺。以此四法不定屬善屬	六 不 定 法 四 者 謂 悔 眠 尋 伺 以 此 四 法 不 定 屬 善 屬 
X48n0802_001:0309a19	惡故。此五十一心所。皆作善作惡之具也。而有麤	惡 故 此 五 十 一 心 所 皆 作 善 作 惡 之 具 也 而 有 麤 
X48n0802_001:0309a20	細之不同。	細 之 不 同 
X48n0802_001:0309a21	徧行五者。乃善惡最初之動念也。雖有五法。其實總	徧 行 五 者 乃 善 惡 最 初 之 動 念 也 雖 有 五 法 其 實 總 
X48n0802_001:0309a22	成一念。以第八識元一精明之體。本無善惡二路。	成 一 念 以 第 八 識 元 一 精 明 之 體 本 無 善 惡 二 路 
X48n0802_001:0309a23	其前五識。乃八識精明。應五根照境之用。同一現	其 前 五 識 乃 八 識 精 明 應 五 根 照 境 之 用 同 一 現 
X48n0802_001:0309a24	量。亦無善惡。其六七二識。正屬八識之見分。其七	量 亦 無 善 惡 其 六 七 二 識 正 屬 八 識 之 見 分 其 七 
X48n0802_001:0309b01	乃虗假。故楞伽云。七識不流轉。非生死因。其六識	乃 虗 假 故 楞 伽 云 七 識 不 流 轉 非 生 死 因 其 六 識 
X48n0802_001:0309b02	元屬智照。今在迷中。雖善分別。況是待緣。亦本無	元 屬 智 照 今 在 迷 中 雖 善 分 別 況 是 待 緣 亦 本 無 
X48n0802_001:0309b03	善惡。若無徧行五法。則一念不生。智光圓滿。現量	善 惡 若 無 徧 行 五 法 則 一 念 不 生 智 光 圓 滿 現 量 
X48n0802_001:0309b04	昭然。即此名為大定。六根任運無為矣。無奈八識	昭 然 即 此 名 為 大 定 六 根 任 運 無 為 矣 無 奈 八 識 
X48n0802_001:0309b05	田中。含藏無量劫來善惡業習種子。內熏鼓發。不	田 中 含 藏 無 量 劫 來 善 惡 業 習 種 子 內 熏 鼓 發 不 
X48n0802_001:0309b06	覺動念。譬如潛淵魚。鼓波而自踊。是為作意。警心	覺 動 念 譬 如 潛 淵 魚 鼓 波 而 自 踊 是 為 作 意 警 心 
X48n0802_001:0309b07	令起。不論善惡。但只熏動起念處。便是作意。此生	令 起 不 論 善 惡 但 只 熏 動 起 念 處 便 是 作 意 此 生 
X48n0802_001:0309b08	心動念之始也。由眾生無始以來。未甞離念。故今	心 動 念 之 始 也 由 眾 生 無 始 以 來 未 甞 離 念 故 今 
X48n0802_001:0309b09	參禪看話頭。堵截意識不行。便是不容作意耳。觸	參 禪 看 話 頭 堵 截 意 識 不 行 便 是 不 容 作 意 耳 觸 
X48n0802_001:0309b10	則引心趣境。葢境有二。其習氣內熏者。乃無明因	則 引 心 趣 境 葢 境 有 二 其 習 氣 內 熏 者 乃 無 明 因 
X48n0802_001:0309b11	緣所變為境。發出現行。則以比似量所緣前塵影	緣 所 變 為 境 發 出 現 行 則 以 比 似 量 所 緣 前 塵 影 
X48n0802_001:0309b12	子為境。二境返觸自心。故名為觸。此妄境一現。則	子 為 境 二 境 返 觸 自 心 故 名 為 觸 此 妄 境 一 現 則 
X48n0802_001:0309b13	違順俱非境相。含受不捨。是名為受。境風飄鼓。安	違 順 俱 非 境 相 含 受 不 捨 是 名 為 受 境 風 飄 鼓 安 
X48n0802_001:0309b14	立自境。施設名言。故名為想。微細不斷。驅役自心。	立 自 境 施 設 名 言 故 名 為 想 微 細 不 斷 驅 役 自 心 
X48n0802_001:0309b15	令造善惡。故名為思。其實五法圓滿。方成微細善	令 造 善 惡 故 名 為 思 其 實 五 法 圓 滿 方 成 微 細 善 
X48n0802_001:0309b16	惡總為一念。此最極微細。故云流注生滅。言徧行	惡 總 為 一 念 此 最極微細 故 云 流 注 生 滅 言 徧 行 
X48n0802_001:0309b17	者。謂徧四一切心得行故。謂徧三性。八識。九地。一	者 謂 徧 四 一 切 心 得 行 故 謂 徧 三 性 八 識 九 地 一 
X48n0802_001:0309b18	切時也。是為恒行心所。參禪只要斷此一念。若離	切 時 也 是 為 恒 行 心 所 參 禪 只 要 斷 此 一 念 若 離 
X48n0802_001:0309b19	此一念。即是真心。故起信云。離念境界。唯證相應	此 一 念 即 是 真 心 故 起 信 云 離 念 境 界 唯 證 相 應 
X48n0802_001:0309b20	故。	故 
X48n0802_001:0309b21	別境五者。正是作善作惡之心也。前徧行五。雖起一	別 境 五 者 正 是 作 善 作 惡 之 心 也 前 徧 行 五 雖 起 一 
X48n0802_001:0309b22	念善惡。但念而未作。若肯當下止息。則業行自消。	念 善 惡 但 念 而 未 作 若 肯 當 下 止 息 則 業 行 自 消 
X48n0802_001:0309b23	及至別境。則不能止矣。言別境者。謂別別緣境。不	及 至 別 境 則 不 能 止 矣 言 別 境 者 謂 別 別 緣 境 不 
X48n0802_001:0309b24	同徧行。此乃作業之心耳。因前徧行。作後善惡。體	同 徧 行 此 乃 作 業 之 心 耳 因 前 徧 行 作 後 善 惡 體 
X48n0802_001:0309c01	通麤細。欲者。樂欲。謂於所樂境。希望欲作。此正必	通 麤 細 欲 者 樂 欲 謂 於 所 樂 境 希 望 欲 作 此 正 必 
X48n0802_001:0309c02	作之心也。解者。勝解。謂於境決定。知其可作。不能	作 之 心 也 解 者 勝 解 謂 於 境 決 定 知 其 可 作 不 能 
X48n0802_001:0309c03	已也。念者。明記。謂於可作境。令心分明記取不忘	已 也 念 者 明 記 謂 於 可 作 境 令 心 分 明 記 取 不 忘 
X48n0802_001:0309c04	也。定。專一。謂於所觀境。專注一心也。慧。黠慧。謂於	也 定 專 一 謂 於 所 觀 境 專 注 一 心 也 慧 黠 慧 謂 於 
X48n0802_001:0309c05	所作境。了然不疑也。此五別別緣境而生。若無此	所 作 境 了 然 不 疑 也 此 五 別 別 緣 境 而 生 若 無 此 
X48n0802_001:0309c06	五。縱有善惡之念。亦不能作成事業。而此五法。不	五 縱 有 善 惡 之 念 亦 不 能 作 成 事 業 而 此 五 法 不 
X48n0802_001:0309c07	唯善惡。即出世修行。亦須此五乃能成辨也。上乃	唯 善 惡 即 出 世 修 行 亦 須 此 五 乃 能 成 辨 也 上 乃 
X48n0802_001:0309c08	起業之心。下乃造作之業。其業不過善惡二途。其	起 業 之 心 下 乃 造 作 之 業 其 業 不 過 善 惡 二 途 其 
X48n0802_001:0309c09	善業止有十一。其惡業則有根本煩惱六。隨煩惱	善 業 止 有 十 一 其 惡 業 則 有 根本煩惱 六 隨 煩 惱 
X48n0802_001:0309c10	二十。故世間眾生作善者少。而作惡者多也。	二 十 故 世 間 眾 生 作 善 者 少 而 作 惡 者 多 也 
X48n0802_001:0309c11	善十一者。善謂信．慚．愧．無貪等三根．勤．安．不放逸．行	善 十 一 者 善 謂 信 慚 愧 無 貪 等 三 根 勤 安 不 放 逸 行 
X48n0802_001:0309c12	捨．及不害。此十一法。收盡一切善業。世出世業以	捨 及 不 害 此 十 一 法 收 盡 一 切 善 業 世 出 世 業 以 
X48n0802_001:0309c13	信為本。故首列之。慚者。謂自慚。云我如此丈夫之	信 為 本 故 首 列 之 慚 者 謂 自 慚 云 我 如 此 丈 夫 之 
X48n0802_001:0309c14	形。又解教法。敢作惡耶。有此慚心。則惡行自止。愧	形 又 解 教 法 敢 作 惡 耶 有 此 慚 心 則 惡 行 自 止 愧 
X48n0802_001:0309c15	者。愧他。謂恐人譏呵。故不親惡人。不作惡事。經云。	者 愧 他 謂 恐 人 譏 呵 故 不 親 惡 人 不 作 惡 事 經 云 
X48n0802_001:0309c16	有慚愧者。可名為人。既具信心。加增慚愧。則善法	有 慚 愧 者 可 名 為 人 既 具 信 心 加 增 慚 愧 則 善 法 
X48n0802_001:0309c17	自成矣。貪．嗔．癡三者。乃根本煩惱。亦名三毒。作善	自 成 矣 貪 嗔 癡 三 者 乃 根本煩惱 亦 名 三 毒 作 善 
X48n0802_001:0309c18	之人。此三不斷。何以為善。故皆無之。若無此三毒。	之 人 此 三 不 斷 何 以 為 善 故 皆 無 之 若 無 此 三 毒 
X48n0802_001:0309c19	是為三善根。勤者。精進也。既斷三毒。純一善心。必	是 為 三 善 根 勤 者 精 進 也 既 斷 三 毒 純 一 善 心 必 
X48n0802_001:0309c20	加精進勇猛。善行方增。此治懈怠之病。世有淳善	加 精進勇猛 善 行 方 增 此 治 懈 怠 之 病 世 有 淳 善 
X48n0802_001:0309c21	之人。無精進力。軟暖因循。故終身無成。輕安者。謂	之 人 無 精 進 力 軟 暖 因 循 故 終 身 無 成 輕 安 者 謂 
X48n0802_001:0309c22	離三毒麤重昏懵。如釋重負。則身心輕快安隱。堪	離 三 毒 麤 重 昏 懵 如 釋 重 負 則 身 心 輕 快 安 隱 堪 
X48n0802_001:0309c23	任善行也。不放逸者。以縱貪嗔癡。無精進心。是為	任 善 行 也 不 放 逸 者 以 縱 貪 嗔 癡 無 精 進 心 是 為 
X48n0802_001:0309c24	放逸。此不放逸。乃三根精進四法上防修之功能	放 逸 此 不 放 逸 乃 三 根 精 進 四 法 上 防 修 之 功 能 
X48n0802_001:0310a01	也。行捨者。由精進力。捨貪嗔癡。則令心平等正直。	也 行 捨 者 由 精 進 力 捨 貪 嗔 癡 則 令 心 平 等 正 直 
X48n0802_001:0310a02	任運入道。以念念捨處。即念念入處。如人行路。不	任 運 入 道 以 念 念 捨 處 即 念 念 入 處 如 人 行 路 不 
X48n0802_001:0310a03	捨前步。則後步不進。故名行捨。以有此捨。令心不	捨 前 步 則 後 步 不 進 故 名 行 捨 以 有 此 捨 令 心 不 
X48n0802_001:0310a04	沉掉。故平等耳。言行蘊中捨者。以行陰念念遷流	沉 掉 故 平 等 耳 言 行 蘊 中 捨 者 以 行 陰 念 念 遷 流 
X48n0802_001:0310a05	者。乃三毒習氣熏發妄想。不覺令心昏沉掉舉。若	者 乃 三 毒 習 氣 熏 發 妄 想 不 覺 令 心 昏 沉 掉 舉 若 
X48n0802_001:0310a06	無此捨。不但昏掉將發現行。若能念念捨之。則昏	無 此 捨 不 但 昏 掉 將 發 現 行 若 能 念 念 捨 之 則 昏 
X48n0802_001:0310a07	掉兩捨。自然令心平等正直矣。初用力捨。名有功	掉 兩 捨 自 然 令 心 平 等 正 直 矣 初 用 力 捨 名 有 功 
X48n0802_001:0310a08	用。若捨至一念不生。則任運無功。自然合道矣。故	用 若 捨 至 一 念 不 生 則 任 運 無 功 自 然 合 道 矣 故 
X48n0802_001:0310a09	予教人參禪做工夫。但妄想起時。莫與作對。亦不	予 教 人 參 禪 做 工 夫 但 妄 想 起 時 莫 與 作 對 亦 不 
X48n0802_001:0310a10	要斷。亦不可隨。但撇去不顧。自然心安。葢撇即捨	要 斷 亦 不 可 隨 但 撇 去 不 顧 自 然 心 安 葢 撇 即 捨 
X48n0802_001:0310a11	耳。不害者。謂慈愍眾生。不為損惱。此專治嗔。不嗔	耳 不 害 者 謂 慈 愍 眾 生 不 為 損 惱 此 專 治 嗔 不 嗔 
X48n0802_001:0310a12	則外不傷生。內全慧命。故為至善。如儒之仁。而善	則 外 不 傷 生 內 全 慧 命 故 為 至 善 如 儒 之 仁 而 善 
X48n0802_001:0310a13	法繫之終焉。	法 繫 之 終 焉 
X48n0802_001:0310a14	根本煩惱六者。謂貪．嗔．癡．慢．疑．不正見。此六煩惱。乃	根本煩惱 六 者 謂 貪 嗔 癡 慢 疑 不 正 見 此 六 煩 惱 乃 
X48n0802_001:0310a15	二種我法之根本。為二種生死之根本。一切枝末	二 種 我 法 之 根 本 為 二 種 生 死 之 根 本 一 切 枝 末 
X48n0802_001:0310a16	從此而生。然貪嗔癡。名為三毒。傷害法身。斷慧命	從此而生 然 貪 嗔 癡 名 為 三 毒 傷 害 法 身 斷 慧 命 
X48n0802_001:0310a17	者。唯此為甚。故首標之。慢乃我慢。疑乃不信。不正	者 唯 此 為 甚 故 首 標 之 慢 乃 我 慢 疑 乃 不 信 不 正 
X48n0802_001:0310a18	見即邪見。此三法障道之本。慢障無我。疑障正信。	見 即 邪 見 此 三 法 障 道 之 本 慢 障 無 我 疑 障 正 信 
X48n0802_001:0310a19	不正見障正知見。三乘能斷三毒。而不能斷此三	不 正 見 障 正 知 見 三 乘 能 斷 三 毒 而 不 能 斷 此 三 
X48n0802_001:0310a20	法。外道之執。邪見更甚。所以修行難入正行者。此	法 外 道 之 執 邪 見 更 甚 所 以 修 行 難 入 正 行 者 此 
X48n0802_001:0310a21	三煩惱之過也。法華名為十使煩惱。謂貪．嗔．癡．慢．	三 煩 惱 之 過 也 法 華 名 為 十 使 煩 惱 謂 貪 嗔 癡 慢 
X48n0802_001:0310a22	疑。為五鈍使。不正見分五。謂身見．邊見．邪見．戒取．	疑 為 五 鈍 使 不 正 見 分 五 謂 身 見 邊 見 邪 見 戒 取 
X48n0802_001:0310a23	戒禁取為五利使。由此煩惱能使眾生漂流苦海。	戒 禁 取 為 五 利 使 由 此 煩 惱 能 使 眾 生 漂 流 苦 海 
X48n0802_001:0310a24	故名為使。	故 名 為 使 
X48n0802_001:0310b01	隨煩惱二十者。謂忿．恨．惱．覆．誑．謟．驕．害．嫉．慳。此十為	隨 煩 惱 二 十 者 謂 忿 恨 惱 覆 誑 謟 驕 害 嫉 慳 此 十 為 
X48n0802_001:0310b02	小隨。無慚．無愧。此二為中隨。不信．懈怠．放逸．昏沉．	小 隨 無 慚 無 愧 此 二 為 中 隨 不 信 懈 怠 放 逸 昏 沉 
X48n0802_001:0310b03	掉舉．失正念．不正知．散亂。此八為大隨。所言隨者。	掉 舉 失 正 念 不 正 知 散 亂 此 八 為 大 隨 所 言 隨 者 
X48n0802_001:0310b04	以隨他根本煩惱而生故。言小中大者。以隨有三	以 隨 他 根本煩惱 而 生 故 言 小 中 大 者 以 隨 有 三 
X48n0802_001:0310b05	義。謂自類俱起。徧染二性。謂不善有覆。徧諸染心。	義 謂 自 類 俱 起 徧 染 二 性 謂 不善有覆 徧 諸 染 心 
X48n0802_001:0310b06	具三名大。具一名中。大小俱起故。行相麤猛。各自	具 三 名 大 具 一 名 中 大 小 俱 起 故 行 相 麤 猛 各 自 
X48n0802_001:0310b07	為主。故名小隨。以忿等十法。各別而起故。其無慚	為 主 故 名 小 隨 以 忿 等 十 法 各 別 而 起 故 其 無 慚 
X48n0802_001:0310b08	無愧。則一切不善心俱。大小俱起。名中。由無慚愧	無 愧 則 一 切 不 善 心 俱 大 小 俱 起 名 中 由 無 慚 愧 
X48n0802_001:0310b09	則昏掉不信等。一齊俱起。故名為大。葢無慚愧及	則 昏 掉 不 信 等 一 齊 俱 起 故 名 為 大 葢 無 慚 愧 及 
X48n0802_001:0310b10	不信等。與上善法相返。義相對照可知。不必繁解。	不 信 等 與 上 善 法 相 返 義 相 對 照 可 知 不 必 繁 解 
X48n0802_001:0310b11	要知請詳唯識。	要 知 請 詳 唯 識 
