X87n1618_001:0144c06	 自序	 自 序 
X87n1618_001:0145b06	大宗師。何以[奐大+比]美于百祀。可見僧佛非有二。乘承不	大 宗 師 何 以 [奐大比] 美 于 百 祀 可 見 僧 佛 非 有 二 乘 承 不 
X87n1618_001:0145b07	相襲。但力杜邪知邪見。返炤迴光。便透脫分曉。所謂	相 襲 但 力 杜 邪 知 邪 見 返 炤 迴 光 便 透 脫 分 曉 所 謂 
X87n1618_001:0145b08	白雲迷却舊行踪。臘月燒山火正紅。再得慈風來扇	白 雲 迷 却 舊 行 踪 臘 月 燒 山 火 正 紅 再 得 慈 風 來 扇 
X87n1618_001:0145b09	發。冷氷氷處煖烘烘。葢開眼見明。合眼見暗。不開不	發 冷 氷 氷 處 煖 烘 烘 葢 開 眼 見 明 合 眼 見 暗 不 開 不 
X87n1618_001:0145b10	合。堂堂顯露。過去未來。不隔一線。既將眼看又心看。	合 堂 堂 顯 露 過去未來 不 隔 一 線 既 將 眼 看 又 心 看 
X87n1618_001:0145b11	乃見重敲火裏氷。噫。晴霄月曬梅花冷。霜夜霜敲木	乃 見 重 敲 火 裏 氷 噫 晴 霄 月 曬 梅 花 冷 霜 夜 霜 敲 木 
X87n1618_001:0145b12	葉疏。我憑此道勉知己。漸使清風廓九垓。	葉 疏 我 憑 此 道 勉 知 己 漸 使 清 風 廓 九 垓 
X87n1618_001:0145b13	旹	旹 
X87n1618_001:0145b14	壬辰秋季登高日徐昌治覲周父題大業堂中	壬 辰 秋 季 登 高 日 徐 昌 治 覲 周 父 題 大 業 堂 中 
X87n1618_001:0145b18	祖庭嫡傳指南目錄	祖 庭 嫡 傳 指 南 目 錄 
X87n1618_001:0145b20	卷上	卷 上 
X87n1618_001:0145b21	　　　七佛	 七 佛 
X87n1618_001:0145b22	　毗婆尸佛　尸棄佛	 毗 婆 尸 佛 尸 棄 佛 
X87n1618_001:0145b23	　毗舍浮佛　拘留孫佛	 毗 舍 浮 佛 拘 留 孫 佛 
X87n1618_001:0145b24	　拘那含牟尼佛　迦葉佛	 拘 那 含 牟 尼 佛 迦 葉 佛 
X87n1618_001:0145c01	　釋迦牟尼佛	 釋 迦 牟 尼 佛 
X87n1618_001:0145c02	　　　西天祖師	 西 天 祖 師 
X87n1618_001:0145c03	　一祖摩訶迦葉尊者　二祖阿難尊者	 一 祖 摩 訶 迦 葉 尊 者 二 祖 阿 難 尊 者 
X87n1618_001:0145c04	　三祖商那和修尊者　四祖優波毱多尊者	 三 祖 商 那 和 修 尊 者 四 祖 優 波 毱 多 尊 者 
X87n1618_001:0145c05	　五祖提多迦尊者　六祖彌迦尊者	 五 祖 提 多 迦 尊 者 六 祖 彌 迦 尊 者 
X87n1618_001:0145c06	　七祖婆須密尊者　八祖佛陀難提尊者	 七 祖 婆 須 密 尊 者 八 祖 佛 陀 難 提 尊 者 
X87n1618_001:0145c07	　九祖伏馱密多尊者　十祖脇尊者	 九 祖 伏 馱 密 多 尊 者 十 祖 脇 尊 者 
X87n1618_001:0145c08	　十一祖富那夜奢尊者　十二祖馬鳴大士尊者	 十 一 祖 富 那 夜 奢 尊 者 十 二 祖 馬 鳴 大 士 尊 者 
X87n1618_001:0145c09	　十三祖迦毗摩羅尊者　十四祖龍樹尊者	 十 三 祖 迦 毗 摩 羅 尊 者 十 四 祖 龍 樹 尊 者 
X87n1618_001:0145c10	　十五祖迦那提婆尊者　十六祖羅睺羅多尊者	 十 五 祖 迦 那 提 婆 尊 者 十 六 祖 羅 睺 羅 多 尊 者 
X87n1618_001:0145c11	　十七祖僧伽難提尊者　十八祖伽耶舍多尊者	 十 七 祖 僧 伽 難 提 尊 者 十 八 祖 伽 耶 舍 多 尊 者 
X87n1618_001:0145c12	　十九祖鳩摩羅多尊者　二十祖闍夜多尊者	 十 九 祖 鳩 摩 羅 多 尊 者 二 十 祖 闍 夜 多 尊 者 
X87n1618_001:0145c13	　二十一祖婆修盤頭尊者	 二 十 一 祖 婆 修 盤 頭 尊 者 
X87n1618_001:0145c14	　二十二祖摩拏羅尊者　二十三祖鶴勒那尊者	 二 十 二 祖 摩 拏 羅 尊 者 二 十 三 祖 鶴 勒 那 尊 者 
X87n1618_001:0145c15	　二十四祖師子比丘尊者	 二 十 四 祖 師 子 比 丘 尊 者 
X87n1618_001:0145c16	　二十五祖婆舍斯多尊者	 二 十 五 祖 婆 舍 斯 多 尊 者 
X87n1618_001:0145c17	　二十六祖不如密多尊者	 二 十 六 祖 不 如 密 多 尊 者 
X87n1618_001:0145c18	　二十七祖般若多羅尊者	 二 十 七 祖 般 若 多 羅 尊 者 
X87n1618_001:0145c19	　二十八祖菩提達磨尊者	 二 十 八 祖 菩 提 達 磨 尊 者 
X87n1618_001:0145c20	　　　東土祖師(達磨東來。六世而有曹溪。曹溪而後。分為兩支。其一南嶽懷讓。	 東 土 祖 師 達 磨 東 來 六 世 而 有 曹 溪 曹 溪 而 後 分 為 兩 支 其 一 南 嶽 懷 讓 
X87n1618_001:0145c21	　　　出馬祖一。一出百丈海天王悟。海出溈山祐黃檗運。祐出仰山寂。是溈仰宗。運出臨濟玄。是臨濟宗。	 出 馬 祖 一 一 出 百 丈 海 天 王 悟 海 出 溈 山 祐 黃 檗 運 祐 出 仰 山 寂 是 溈 仰 宗 運 出 臨 濟 玄 是 臨 濟 宗 
X87n1618_001:0145c22	　　　悟出龍潭信。遞傳至雲門偃。是雲門宗。法眼益。是法眼宗。其一青原思。思傳石頭遷天皇悟。	 悟 出 龍 潭 信 遞 傳 至 雲 門 偃 是 雲 門 宗 法 眼 益 是 法 眼 宗 其 一 青 原 思 思 傳 石 頭 遷 天 皇 悟 
X87n1618_001:0145c23	　　　悟絕。遷遞傳至洞山价。价傳雲居膺。是曹洞宗)	 悟 絕 遷 遞 傳 至 洞 山 价 价 傳 雲 居 膺 是 曹 洞 宗 
X87n1618_001:0145c24	　初祖達磨大師　二祖慧可大師	 初 祖 達 磨 大 師 二 祖 慧 可 大 師 
X87n1618_001:0146a01	　三祖僧璨大士　四祖道信大師	 三 祖 僧 璨 大 士 四 祖 道 信 大 師 
X87n1618_001:0146a02	　五祖弘忍大師　六祖慧能大師	 五 祖 弘 忍 大 師 六 祖 慧 能 大 師 
X87n1618_001:0146a03	卷下	卷 下 
X87n1618_001:0146a04	　一世南嶽讓禪師　二世馬祖一禪師	 一 世 南 嶽 讓 禪 師 二 世 馬 祖 一 禪 師 
X87n1618_001:0146a05	　三世百丈海禪師　四世黃檗運禪師	 三 世 百 丈 海 禪 師 四 世 黃 檗 運 禪 師 
X87n1618_001:0146a06	　五世臨濟玄禪師(開山祖師)　六世興化獎禪師	 五 世 臨 濟 玄 禪 師 開 山 祖 師 六 世 興 化 獎 禪 師 
X87n1618_001:0146a07	　七世南院顒禪師　八世風穴沼禪師	 七 世 南 院 顒 禪 師 八 世 風 穴 沼 禪 師 
X87n1618_001:0146a08	　九世首山念禪師　十世汾陽昭禪師	 九 世 首 山 念 禪 師 十 世 汾 陽 昭 禪 師 
X87n1618_001:0146a09	　十一世石霜圓禪師　十二世楊岐會禪師	 十 一 世 石 霜 圓 禪 師 十 二 世 楊 岐 會 禪 師 
X87n1618_001:0146a10	　十三世白雲端禪師　十四世五祖演禪師	 十 三 世 白 雲 端 禪 師 十 四 世 五 祖 演 禪 師 
X87n1618_001:0146a11	　十五世圜悟勤禪師　十六世虎丘隆禪師	 十 五 世 圜 悟 勤 禪 師 十 六 世 虎 丘 隆 禪 師 
X87n1618_001:0146a12	　十七世應菴華禪師　十八世密菴傑禪師	 十 七 世 應 菴 華 禪 師 十 八 世 密 菴 傑 禪 師 
X87n1618_001:0146a13	　十九世破菴先禪師　二十世無準範禪師	 十 九 世 破 菴 先 禪 師 二 十 世 無 準 範 禪 師 
X87n1618_001:0146a14	　二十一世雪巖欽禪師　二十二世高峯妙禪師	 二 十 一 世 雪 巖 欽 禪 師 二 十 二 世 高 峯 妙 禪 師 
X87n1618_001:0146a15	　二十三世中峯本禪師　二十四世千巖長禪師	 二 十 三 世 中 峯 本 禪 師 二 十 四 世 千 巖 長 禪 師 
X87n1618_001:0146a16	　二十五世萬峯蔚禪師　二十六世寶藏持禪師	 二 十 五 世 萬 峯 蔚 禪 師 二 十 六 世 寶 藏 持 禪 師 
X87n1618_001:0146a17	　二十七世東明旵禪師　二十八世海舟慈禪師	 二 十 七 世 東 明 旵 禪 師 二 十 八 世 海 舟 慈 禪 師 
X87n1618_001:0146a18	　二十九世寶峯喧禪師　三十世天奇瑞禪師	 二 十 九 世 寶 峯 喧 禪 師 三 十 世 天 奇 瑞 禪 師 
X87n1618_001:0146a19	　三十一世無聞聰禪師　三十二世笑巖寶禪師	 三 十 一 世 無 聞 聰 禪 師 三 十 二 世 笑 巖 寶 禪 師 
X87n1618_001:0146a20	　三十三世幻有傳禪師　三十四世密雲悟禪師	 三 十 三 世 幻 有 傳 禪 師 三 十 四 世 密 雲 悟 禪 師 
X87n1618_001:0146a21	　三十五世費隱容禪師	 三 十 五 世 費 隱 容 禪 師 
X87n1618_001:0146b06	祖庭嫡傳指南卷上	祖 庭 嫡 傳 指 南 卷 上 
X87n1618_001:0146b08	武原居士　徐昌治覲周　編述	武 原 居 士 徐 昌 治 覲 周 編 述 
X87n1618_001:0146b09	七佛	七 佛 
X87n1618_001:0146b10	毗婆尸佛(過去莊嚴劫。第九百九十八尊)偈曰。身從無相中受生。猶	毗 婆 尸 佛 過 去 莊 嚴 劫 第 九 百 九 十 八 尊 偈 曰 身 從 無 相 中 受 生 猶 
X87n1618_001:0146b11	如幻出諸形象。幻人心識本來無。罪福皆空無所住	如 幻 出 諸 形 象 幻 人 心 識 本 來 無 罪 福 皆 空 無 所 住 
X87n1618_001:0146b12	(人壽八萬歲時。此佛出世。種剎利。姓拘利若。父槃頭。母槃頭婆提。居槃頭城。坐波波羅樹下。說法三會。度人三	 人 壽 八 萬 歲 時 此 佛 出 世 種 剎 利 姓 拘 利 若 父 槃 頭 母 槃 頭 婆 提 居 槃 頭 城 坐 波波羅樹 下 說 法 三 會 度 人 三 
X87n1618_001:0146b13	十四萬八千。神足二。一名騫茶。二名拔舍)。	十 四 萬 八 千 神 足 二 一 名 騫 茶 二 名 拔 舍 
X87n1618_001:0146b14	尸棄佛(莊嚴劫。第九百九十九尊)偈曰。起諸善法本是幻。造諸惡	尸 棄 佛 莊 嚴 劫 第 九 百 九 十 九 尊 偈 曰 起 諸 善 法 本 是 幻 造 諸 惡 
X87n1618_001:0146b15	業亦是幻。身如聚沫心如風。幻出無根無實性(人壽七萬	業 亦 是 幻 身 如 聚 沫 心 如 風 幻 出 無 根 無 實 性 人 壽 七 萬 
X87n1618_001:0146b16	歲時。此佛出世。種剎利。姓拘利若。父明相。母光耀。居光相城。坐分陀利樹下。說法三會。度人二十五萬。神足二。	歲 時 此 佛 出 世 種 剎 利 姓 拘 利 若 父 明 相 母 光 耀 居 光 相 城 坐 分陀利樹 下 說 法 三 會 度 人 二 十 五 萬 神 足 二 
X87n1618_001:0146b17	一阿毗浮。二婆婆)。	一 阿 毗 浮 二 婆 婆 
X87n1618_001:0146b18	毗舍浮佛(莊嚴劫。一千尊)偈曰。假借四大以為身。心本無生	毗 舍 浮 佛 莊 嚴 劫 一 千 尊 偈 曰 假 借 四 大 以 為 身 心 本 無 生 
X87n1618_001:0146b19	因境有。前境若無心亦無。罪福如幻起亦滅(人壽六萬歲時。	因 境 有 前 境 若 無 心 亦 無 罪 福 如 幻 起 亦 滅 人 壽 六 萬 歲 時 
X87n1618_001:0146b20	此佛出世。種剎利。姓拘利若。父善燈。母稱戒。居無喻城。坐婆羅樹下。說法二會。度人一十三萬。神足二。一扶遊。	此 佛 出 世 種 剎 利 姓 拘 利 若 父 善 燈 母 稱 戒 居 無 喻 城 坐 婆 羅 樹 下 說 法 二 會 度 人 一 十 三 萬 神 足 二 一 扶 遊 
X87n1618_001:0146b21	二鬱多摩)。	二 鬱 多 摩 
X87n1618_001:0146b22	拘留孫佛(賢劫。第一尊)偈曰。見身無實是佛身。了心如幻	拘 留 孫 佛 賢 劫 第 一 尊 偈 曰 見 身 無 實 是 佛 身 了 心 如 幻 
X87n1618_001:0146b23	是佛幻。了得身心本性空。斯人與佛何殊別(人壽四萬歲時。	是 佛 幻 了 得 身 心 本 性 空 斯 人 與 佛 何 殊 別 人 壽 四 萬 歲 時 
X87n1618_001:0146b24	此佛出世。種婆羅門。姓迦葉。父禮得。母善技。居安和城。坐尸利沙樹下。說法一會。度人四萬。神足二。一薩尼。二	此 佛 出 世 種 婆 羅 門 姓 迦 葉 父 禮 得 母 善 技 居 安 和 城 坐 尸 利 沙 樹 下 說 法 一 會 度 人 四 萬 神 足 二 一 薩 尼 二 
X87n1618_001:0146c01	毗樓)。	毗 樓 
X87n1618_001:0146c02	拘那含牟尼佛(賢劫。二尊)偈曰。佛不見身知是佛。若實有	拘 那 含 牟 尼 佛 賢 劫 二 尊 偈 曰 佛 不 見 身 知 是 佛 若 實 有 
X87n1618_001:0146c03	知別無佛。智者能知罪性空。坦然不怖于生死(人壽三萬	知 別 無 佛 智 者 能 知 罪 性 空 坦 然 不 怖 于 生 死 人 壽 三 萬 
X87n1618_001:0146c04	歲時。此佛出世。種婆羅門。姓迦葉。父大德。母善勝。居清淨城。坐烏暫婆羅門樹下。說法一會。度人三萬。神足二。	歲 時 此 佛 出 世 種 婆 羅 門 姓 迦 葉 父 大 德 母 善 勝 居 清 淨 城 坐 烏 暫 婆 羅 門 樹 下 說 法 一 會 度 人 三 萬 神 足 二 
X87n1618_001:0146c05	一舒槃那。二鬱多樓)。	一 舒 槃 那 二 鬱 多 樓 
X87n1618_001:0146c06	迦葉佛(賢劫。三尊)偈曰。一切眾生性清淨。從本無生無可	迦 葉 佛 賢 劫 三 尊 偈 曰 一 切 眾 生 性 清 淨 從 本 無 生 無 可 
X87n1618_001:0146c07	滅。即此身心是幻生。幻化之中無罪福(人壽二萬歲時。此佛出世。	滅 即 此 身 心 是 幻 生 幻 化 之 中 無 罪 福 人 壽 二 萬 歲 時 此 佛 出 世 
X87n1618_001:0146c08	種婆羅門。姓迦葉。父梵德。母財主。居婆羅奈城。坐尼拘律樹下。說法一會。度人二萬。神足二。一提舍。二婆羅婆)。	種 婆 羅 門 姓 迦 葉 父 梵 德 母 財 主 居 婆 羅 奈 城 坐 尼拘律樹 下 說 法 一 會 度 人 二 萬 神 足 二 一 提 舍 二 婆 羅 婆 
X87n1618_001:0146c09	釋迦牟尼佛(賢劫。第四尊)姓剎利。父淨飯王。母摩耶。剎利	釋 迦 牟 尼 佛 賢 劫 第 四 尊 姓 剎 利 父 淨 飯 王 母 摩 耶 剎 利 
X87n1618_001:0146c10	氏。自天地更始。閻浮洲初闢已來。世為王。佛歷劫修	氏 自 天 地 更 始 閻 浮 洲 初 闢 已 來 世 為 王 佛 歷 劫 修 
X87n1618_001:0146c11	行。值然燈佛授記。於此劫作佛。後於迦葉佛世。以菩	行 值 然 燈 佛 授 記 於 此 劫 作 佛 後 於 迦 葉 佛 世 以 菩 
X87n1618_001:0146c12	薩成道。上生覩史陀天。名護明大士。及應運時至。乃	薩 成 道 上 生 覩 史 陀 天 名 護 明 大 士 及 應 運 時 至 乃 
X87n1618_001:0146c13	降神於摩耶。當此士周昭王二十四年。甲寅四月初	降 神 於 摩 耶 當 此 士 周 昭 王 二 十 四 年 甲 寅 四 月 初 
X87n1618_001:0146c14	八日。自摩耶右脇誕生。生時放大智光明。照十方世	八 日 自 摩 耶 右 脇 誕 生 生 時 放 大 智 光 明 照 十 方 世 
X87n1618_001:0146c15	界。地湧金蓮花。自然捧雙足。一手指天。一手指地。周	界 地 湧 金 蓮 花 自 然 捧 雙 足 一 手 指 天 一 手 指 地 周 
X87n1618_001:0146c16	行七步。目顧四方。曰天上天下惟吾獨尊(纔出胞胎脫體彰。指	行 七 步 目 顧 四 方 曰 天 上 天 下 惟 吾 獨 尊 纔 出 胞 胎 脫 體 彰 指 
X87n1618_001:0146c17	天指地為人揚。引他無限癡男女。天上人間沒覆藏。雲門云。我當時若見。一棒打殺。與狗子喫。貴圖天下太平)。	天 指 地 為 人 揚 引 他 無 限 癡 男 女 天 上 人 間 沒 覆 藏 雲 門 云 我 當 時 若 見 一 棒 打 殺 與 狗 子 喫 貴 圖 天 下 太 平 
X87n1618_001:0146c18	自降生後。種種神異。具如經言。至四十二年。年十	自 降 生 後 種 種 神 異 具 如 經 言 至 四 十 二 年 年 十 
X87n1618_001:0146c19	九。二月八日。欲求出家。而自念言。當復何遇。即於四	九 二 月 八 日 欲 求 出 家 而 自 念 言 當 復 何 遇 即 於 四 
X87n1618_001:0146c20	門遊觀。見生老病死四等事。心有悲喜。而作思惟。此	門 遊 觀 見 生老病死 四 等 事 心 有 悲 喜 而 作 思 惟 此 
X87n1618_001:0146c21	老病死。終可厭離。於是夜子時。有淨居天人。於牕牖	老 病 死 終 可 厭 離 於 是 夜 子 時 有 淨 居 天 人 於 牕 牖 
X87n1618_001:0146c22	中。叉手白言。出家時至。可去矣。於是諸天捧所乘馬	中 叉 手 白 言 出 家 時 至 可 去 矣 於 是 諸 天 捧 所 乘 馬 
X87n1618_001:0146c23	足。超然凌虗。逾城而去。曰不斷八苦。不成無上菩提。	足 超 然 凌 虗 逾 城 而 去 曰 不 斷 八 苦 不 成 無上菩提 
X87n1618_001:0146c24	不轉法輪。終不還也。淨飯王思甚。遣其臣勸諭還宮	不 轉 法 輪 終 不 還 也 淨 飯 王 思 甚 遣 其 臣 勸 諭 還 宮 
X87n1618_001:0147a01	者萬計。確然不回。入檀特山修道。始於阿藍迦藍處。	者 萬 計 確 然 不 回 入 檀 特 山 修 道 始 於 阿 藍 迦 藍 處 
X87n1618_001:0147a02	三年學不用處定。知非便捨。復至鬱頭藍弗處。三年	三 年 學 不 用 處 定 知 非 便 捨 復 至 鬱 頭 藍 弗 處 三 年 
X87n1618_001:0147a03	學非非想定。知非亦捨。又至象頭山。同諸外道。日食	學 非 非 想 定 知 非 亦 捨 又 至 象 頭 山 同 諸 外 道 日 食 
X87n1618_001:0147a04	麻麥。經於六年。世尊自思曰。今此苦行。非正解脫。吾	麻 麥 經 於 六 年 世 尊 自 思 曰 今 此 苦 行 非 正 解 脫 吾 
X87n1618_001:0147a05	當受食而後成佛。即沐浴于尼連河。天為之偃樹。世	當 受 食 而 後 成 佛 即 沐 浴 于 尼 連 河 天 為 之 偃 樹 世 
X87n1618_001:0147a06	尊援之而出。受牧牛氏女所獻乳糜。尋詣畢鉢樹下。	尊 援 之 而 出 受 牧 牛 氏 女 所 獻 乳 糜 尋 詣 畢 鉢 樹 下 
X87n1618_001:0147a07	天帝化人。擷瑞草以藉坐。景雲祥風。四起紛披。天魔	天 帝 化 人 擷 瑞 草 以 藉 坐 景 雲 祥 風 四 起 紛 披 天 魔 
X87n1618_001:0147a08	念世尊道成。且受折抑。率眾作難。窮現可怖可欲諸	念 世 尊 道 成 且 受 折 抑 率 眾 作 難 窮 現 可 怖 可 欲 諸 
