X47n0794_001:0234a03	劫章頌	劫 章 頌 
X47n0794_001:0234a20	　子年倍父增八萬　　從彼減劫慈氏興	 子 年 倍 父 增 八 萬 從 彼 減 劫 慈 氏 興 
X47n0794_001:0234a21	　至第十五減劫中　　九百九十四佛出	 至 第 十 五 減 劫 中 九 百 九 十 四 佛 出 
X47n0794_001:0234a22	　乃後住劫欲終時　　樓志如來方出興	 乃 後 住 劫 欲 終 時 樓 志 如 來 方 出 興 
X47n0794_001:0234a23	　住中最後唯增劫　　人多厭世樂修定	 住 中 最 後 唯 增 劫 人 多 厭 世 樂 修 定 
X47n0794_001:0234a24	　無間有情既不生　　壞劫爾時初禪起	 無 間 有 情 既 不 生 壞 劫 爾 時 初 禪 起 
X47n0794_001:0234b01	　地獄鬼畜三惡盡　　拘盧勝身牛貨洲	 地 獄 鬼 畜 三 惡 盡 拘 盧 勝 身 牛 貨 洲 
X47n0794_001:0234b02	　瞻部四王忉利空　　六欲諸天次第捨	 瞻 部 四 王 忉 利 空 六 欲 諸 天 次 第 捨 
X47n0794_001:0234b03	　始從無間終他化　　時經十九增減同	 始 從 無 間 終 他 化 時 經 十 九 增 減 同 
X47n0794_001:0234b04	　下界既空無有情　　日加四倍於常熱	 下 界 既 空 無 有 情 日 加 四 倍 於 常 熱 
X47n0794_001:0234b05	　溝池乾涸草木燋　　二三日出江河竭	 溝 池 乾 涸 草 木 燋 二 三 日 出 江 河 竭 
X47n0794_001:0234b06	　四五日現海泉盡　　六七興時山石融	 四 五 日 現 海 泉 盡 六 七 興 時 山 石 融 
X47n0794_001:0234b07	　爾時大地并炎暉　　三千世界猛火聚	 爾 時 大 地 并 炎 暉 三千世界 猛 火 聚 
X47n0794_001:0234b08	　聳炎上騰交梵世　　諸天奔去趣二禪	 聳 炎 上 騰 交 梵 世 諸 天 奔 去 趣 二 禪 
X47n0794_001:0234b09	　梵輔梵王次第昇　　世界三千并灰燼	 梵 輔 梵 王 次 第 昇 世 界 三 千 并 灰 燼 
X47n0794_001:0234b10	　從地火起梵王去　　後經一箇增減時	 從 地 火 起 梵 王 去 後 經 一 箇 增 減 時 
X47n0794_001:0234b11	　十九從多稱壞情　　一劫約少唯論器	 十 九 從 多 稱 壞 情 一 劫 約 少 唯 論 器 
X47n0794_001:0234b12	　從是虛空如黑穴　　還同二十增減劫	 從 是 虛 空 如 黑 穴 還 同 二 十 增 減 劫 
X47n0794_001:0234b13	　過此空時成劫興　　大梵天王最初建	 過 此 空 時 成 劫 興 大 梵 天 王 最 初 建 
X47n0794_001:0234b14	　獨住時經一增減　　從念臣人輔眾生	 獨 住 時 經 一 增 減 從 念 臣 人 輔 眾 生 
X47n0794_001:0234b15	　欲界四空情器俱　　從上次第皆成立	 欲 界 四 空 情 器 俱 從 上 次 第 皆 成 立 
X47n0794_001:0234b16	　下際微風方漸發　　天仙唱號劫初成	 下 際 微 風 方 漸 發 天 仙 唱 號 劫 初 成 
X47n0794_001:0234b17	　如是展轉大風起　　堅若金剛不可壞	 如 是 展 轉 大 風 起 堅 若 金 剛 不 可 壞 
X47n0794_001:0234b18	　傍廣算數計不及　　邊際由如盤鉉形	 傍 廣 算 數 計 不 及 邊 際 由 如 盤 鉉 形 
X47n0794_001:0234b19	　深厚十六洛叉數　　此下風輪世界底	 深 厚 十 六 洛 叉 數 此 下 風 輪 世 界 底 
X47n0794_001:0234b20	　光音天下金藏雲　　遍覆風輪大千界	 光 音 天 下 金 藏 雲 遍 覆 風 輪 大 千 界 
X47n0794_001:0234b21	　鳴雨滴瀝如車軸　　注水滂淋滿界中	 鳴 雨 滴 瀝 如 車 軸 注 水 滂 淋 滿 界 中 
X47n0794_001:0234b22	　下八洛又餘水凝　　金剛厚三億二萬	 下 八 洛 又 餘 水 凝 金 剛 厚 三 億 二 萬 
X47n0794_001:0234b23	　廣闊四倍多增量　　十二三千四百半	 廣 闊 四 倍 多 增 量 十 二 三 千 四 百 半 
X47n0794_001:0234b24	　皆踰繕那量應知　　水輪寬量亦如是	 皆 踰 繕 那 量 應 知 水 輪 寬 量 亦 如 是 
X47n0794_001:0234c01	　復注雨水增深廣　　空居次第從上成	 復 注 雨 水 增 深 廣 空 居 次 第 從 上 成 
X47n0794_001:0234c02	　大風鼓擊成山地　　玅高七金清水成	 大 風 鼓 擊 成 山 地 玅 高 七 金 清 水 成 
X47n0794_001:0234c03	　諸餘山地濕濁成　　七山內水悉甘美	 諸 餘 山 地 濕 濁 成 七 山 內 水 悉 甘 美 
X47n0794_001:0234c04	　四洲外海水鹹滷　　山地麤妙有差殊	 四 洲 外 海 水 鹹 滷 山 地 麤 妙 有 差 殊 
X47n0794_001:0234c05	　器界爾時成立訖　　二禪福盡生瞻部	 器 界 爾 時 成 立 訖 二 禪 福 盡 生 瞻 部 
X47n0794_001:0234c06	　身長千尺二千尺　　光明晈潔能飛騰	 身 長 千 尺 二 千 尺 光 明 晈 潔 能 飛 騰 
X47n0794_001:0234c07	　所食地肥地味餅　　香味具足資諸天	 所 食 地 肥 地 味 餅 香 味 具 足 資 諸 天 
X47n0794_001:0234c08	　後漸生貪競多取　　地餅失沒林藤出	 後 漸 生 貪 競 多 取 地 餅 失 沒 林 藤 出 
X47n0794_001:0234c09	　後競林藤粳米出　　貯積復失香稻生	 後 競 林 藤 粳 米 出 貯 積 復 失 香 稻 生 
X47n0794_001:0234c10	　食漸麤蠲成便利　　男女爾時差別形	 食 漸 麤 蠲 成 便 利 男 女 爾 時 差 別 形 
X47n0794_001:0234c11	　由躭染情身光滅　　世界黑暗失光明	 由 躭 染 情 身 光 滅 世 界 黑 暗 失 光 明 
X47n0794_001:0234c12	　菩薩慈悲興日月　　競取香稻貪地利	 菩 薩 慈 悲 興 日 月 競 取 香 稻 貪 地 利 
X47n0794_001:0234c13	　於是竊盜乃初行　　共立田主設疆隅	 於 是 竊 盜 乃 初 行 共 立 田 主 設 疆 隅 
X47n0794_001:0234c14	　即知界畔均分布　　田主憍慢陵諸弱	 即 知 界 畔 均 分 布 田 主 憍 慢 陵 諸 弱 
X47n0794_001:0234c15	　致有軍形相罰生　　殺妄婬綺語增多	 致 有 軍 形 相 罰 生 殺 妄 婬 綺 語 增 多 
X47n0794_001:0234c16	　十惡以資皆具足　　死墮鬼畜并無間	 十 惡 以 資 皆 具 足 死 墮 鬼 畜 并 無 間 
X47n0794_001:0234c17	　既覩惡趣善不生　　北東西貨等三洲	 既 覩 惡 趣 善 不 生 北 東 西 貨 等 三 洲 
X47n0794_001:0234c18	　四王忉利及空居　　修因漸漸得生彼	 四 王 忉 利 及 空 居 修 因 漸 漸 得 生 彼 
X47n0794_001:0234c19	　爾時成劫乃為終　　始從梵王終忉利	 爾 時 成 劫 乃 為 終 始 從 梵 王 終 忉 利 
X47n0794_001:0234c20	　有情及器皆成立　　成壞空三等住劫	 有 情 及 器 皆 成 立 成 壞 空 三 等 住 劫 
X47n0794_001:0234c21	　還同二十增減時　　無間有情一增減	 還 同 二 十 增 減 時 無 間 有 情 一 增 減 
X47n0794_001:0234c22	　龍王受報亦同然　　梵眾二十增減劫	 龍 王 受 報 亦 同 然 梵 眾 二 十 增 減 劫 
X47n0794_001:0234c23	　梵輔四十增減攝　　梵王六十增減劫	 梵 輔 四 十 增 減 攝 梵 王 六 十 增 減 劫 
X47n0794_001:0234c24	　先生後捨故應知　　日月歲時小劫収	 先 生 後 捨 故 應 知 日 月 歲 時 小 劫 収 
X47n0794_001:0235a01	　增減二四六中攝　　八十方名大劫時	 增 減 二 四 六 中 攝 八 十 方 名 大 劫 時 
X47n0794_001:0235a02	　水火風災漸次行　　七火災後一水災	 水 火 風 災 漸 次 行 七 火 災 後 一 水 災 
X47n0794_001:0235a03	　七火中間有七水　　初二靜慮焚漂訖	 七 火 中 間 有 七 水 初 二 靜 慮 焚 漂 訖 
X47n0794_001:0235a04	　風災能壞第三禪　　第四靜慮無能壞	 風 災 能 壞 第 三 禪 第四靜慮 無 能 壞 
X47n0794_001:0235a05	　火水風災以為數　　數不能及僧祗量	 火 水 風 災 以 為 數 數 不 能 及 僧 祗 量 
X47n0794_001:0235a06	　即此大劫三無數　　菩薩將登正覺時	 即 此 大 劫 三 無 數 菩 薩 將 登 正 覺 時 
X47n0794_001:0235a08	劫章頌(終)	劫 章 頌 終 
