T85n2762_001:0261c03	勝鬘經疏	勝 鬘 經 疏 
T85n2762_001:0262a05	教受効。如書所言如來常住離虛曰真。絕	教 受 効 如 書 所 言 如 來 常 住 離 虛 曰 真 絕 
T85n2762_001:0262a06	為名實者。我應修三業供養也。第二偈默	為 名 實 者 我 應 修 三 業 供 養 也 第 二 偈 默 
T85n2762_001:0262a07	感請佛。初二句默感。下二句請佛。佛仰	感 請 佛 初 二 句 默 感 下 二 句 請 佛 佛 仰 
T85n2762_001:0262a08	者敬仰。惟者思惟。下出思惟之事。正道	者 敬 仰 惟 者 思 惟 下 出 思 惟 之 事 正 道 
T85n2762_001:0262a09	佛世尊普為世間有緣者出。我在有緣之數。	佛 世 尊 普 為 世 間 有 緣 者 出 我 在 有 緣 之 數 
T85n2762_001:0262a10	亦應哀愍現於後宮。必令我得見也。□□	亦 應 哀 愍 現 於 後 宮 必 令 我 得 見 也 
T85n2762_001:0262a11	偈明應其所感。即生此念時者。即生仰惟	偈 明 應 其 所 感 即 生 此 念 時 者 即 生 仰 惟 
T85n2762_001:0262a12	念時也。佛於宮中現者。欲表常住離生死之	念 時 也 佛 於 宮 中 現 者 欲 表 常 住 離 生 死 之 
T85n2762_001:0262a13	地。是故空中現也。普者光照無私曰普。從	地 是 故 空 中 現 也 普 者 光 照 無 私 曰 普 從 
T85n2762_001:0262a14	佛身出名放。能滅或闇曰淨光明。亦可顯真	佛 身 出 名 放 能 滅 或 闇 曰 淨 光 明 亦 可 顯 真 
T85n2762_001:0262a15	常之身。除應或之穢故名普放淨光明也。顯	常 之 身 除 應 或 之 穢 故 名 普 放 淨 光 明 也 顯 
T85n2762_001:0262a16	示無比身者。光照共辨形體奇絕眾相莫加	示 無 比 身 者 光 照 共 辨 形 體 奇 絕 眾 相 莫 加 
T85n2762_001:0262a17	故言無比身。亦可三十二相。世相不逮名無	故 言 無 比 身 亦 可 三十二相 世 相 不 逮 名 無 
T85n2762_001:0262a18	比也。勝鬘及眷屬者。此明三業供養應於前	比 也 勝 鬘 及 眷 屬 者 此 明 三 業 供 養 應 於 前 
T85n2762_001:0262a19	言也。顯示面接足禮者身業虔敬。清淨心者	言 也 顯 示 面 接 足 禮 者 身 業 虔 敬 清 淨 心 者 
T85n2762_001:0262a20	意業尊重。嘆佛功德口業讚嘆也。	意 業 尊 重 嘆 佛 功 德 口 業 讚 嘆 也 
T85n2762_001:0262a21	從如來妙色身者。以下大段第二明經之正	從 如 來 妙 色 身 者 以 下 大 段 第 二 明 經 之 正 
T85n2762_001:0262a22	體。就中有二段明義。從初訖第一義乘明乘	體 就 中 有 二 段 明 義 從 初 訖 第 一 義 乘 明 乘 
T85n2762_001:0262a23	之體行。從世尊聲聞緣覺以下。明乘不孤起	之 體 行 從 世 尊 聲 聞 緣 覺 以 下 明 乘 不 孤 起 
T85n2762_001:0262a24	起則從緣故。自下八章皆明乘之境也。此則	起 則 從 緣 故 自 下 八 章 皆 明 乘 之 境 也 此 則 
T85n2762_001:0262a25	初章所以十五章首始嘆佛功德者。欲令生	初 章 所 以 十 五 章 首 始 嘆 佛 功 德 者 欲 令 生 
T85n2762_001:0262a26	三業歸依之善因之以出世也。亦可乘書致	三 業 歸 依 之 善 因 之 以 出 世 也 亦 可 乘 書 致 
T85n2762_001:0262a27	歎者耳。如來妙色身者先歎應身。應身如法	歎 者 耳 如 來 妙 色 身 者 先 歎 應 身 應 身 如 法 
T85n2762_001:0262a28	佛應現化物而來。釋迦亦爾故曰如來。有異	佛 應 現 化 物 而 來 釋 迦 亦 爾 故 曰 如 來 有 異 
T85n2762_001:0262a29	常解常解乘常如實來成正覺故曰如來。通	常 解 常 解 乘 常 如 實 來 成 正 覺 故 曰 如 來 通 
T85n2762_001:0262a30	教解乘空如實道成等正覺。以果望因故曰	教 解 乘 空 如 實 道 成等正覺 以 果 望 因 故 曰 
T85n2762_001:0262b01	如來也。妙色身者。此色從真處而現故言妙	如 來 也 妙 色 身 者 此 色 從 真 處 而 現 故 言 妙 
T85n2762_001:0262b02	色。攬色成體言妙色身也。世間無與等者。世	色 攬 色 成 體 言 妙 色 身 也 世 間 無 與 等 者 世 
T85n2762_001:0262b03	間之色繫等所感。如來之身應物而有故言	間 之 色 繫 等 所 感 如來之身 應 物 而 有 故 言 
T85n2762_001:0262b04	無與等也。無比者上言無與等。既無與等亦	無 與 等 也 無 比 者 上 言 無 與 等 既 無 與 等 亦 
T85n2762_001:0262b05	可匹類故言無比也。不思議者。隨以現三尺	可 匹 類 故 言 無 比 也 不 思 議 者 隨 以 現 三 尺 
T85n2762_001:0262b06	丈六不見其頂故言不可思議也。色無盡者。	丈 六 不 見 其 頂 故 言 不可思議 也 色 無 盡 者 
T85n2762_001:0262b07	欲明真本不亡塵沙竝現故言無盡。此之五	欲 明 真 本 不 亡 塵 沙 竝 現 故 言 無 盡 此 之 五 
T85n2762_001:0262b08	句皆嘆應身所以。首嘆應者將表法身常住	句 皆 嘆 應 身 所 以 首 嘆 應 者 將 表 法 身 常 住 
T85n2762_001:0262b09	妙絕言境曉之則難。丈六暉世生解則易。是	妙 絕 言 境 曉 之 則 難 丈 六 暉 世 生 解 則 易 是 
T85n2762_001:0262b10	以先歎應身。欲使尋跡以推本。是故次明真	以 先 歎 應 身 欲 使 尋 跡 以 推 本 是 故 次 明 真 
T85n2762_001:0262b11	身。智慧亦復然者。亦有五句不異於前經。眾	身 智 慧 亦 復 然 者 亦 有 五 句 不 異 於 前 經 眾 
T85n2762_001:0262b12	好略故但云亦復然也。一切法常住者。萬法	好 略 故 但 云 亦 復 然 也 一 切 法 常 住 者 萬 法 
T85n2762_001:0262b13	盈滿故言一切。不為生滅所傾稱曰常住。德	盈 滿 故 言 一 切 不 為 生 滅 所 傾 稱 曰 常 住 德 
T85n2762_001:0262b14	邈群賢。是故禮敬也。降伏心過惡者。此嘆解	邈 群 賢 是 故 禮 敬 也 降 伏 心 過 惡 者 此 嘆 解 
T85n2762_001:0262b15	脫。上明法身常住逕劫不謝。而此常果得必	脫 上 明 法 身 常 住 逕 劫 不 謝 而 此 常 果 得 必 
T85n2762_001:0262b16	有由。由於果盡次嘆解脫。降伏心過惡者。心	有 由 由 於 果 盡 次 嘆 解 脫 降 伏 心 過 惡 者 心 
T85n2762_001:0262b17	惡盡也。身四種者。明色惡亡。心有貪瞋癡。	惡 盡 也 身 四 種 者 明 色 惡 亡 心 有 貪 瞋 癡 
T85n2762_001:0262b18	身異生老病死故。言心過身四也。已到難	身 異 生老病死 故 言 心 過 身 四 也 已 到 難 
T85n2762_001:0262b19	伏地者。正由色心患盡道成佛果。生滅不能	伏 地 者 正 由 色 心 患 盡 道 成 佛 果 生 滅 不 能 
T85n2762_001:0262b20	加苦樂。莫能動故言難伏地。亦可以下文驗。	加 苦 樂 莫 能 動 故 言 難 伏 地 亦 可 以 下 文 驗 
T85n2762_001:0262b21	煩惱有二。四住無明。三界就業而論。上地	煩惱有二 四 住 無 明 三 界 就 業 而 論 上 地 
T85n2762_001:0262b22	就惑說也。降伏心過惡意地三亡。及與身者	就 惑 說 也 降 伏 心 過 惡 意 地 三 亡 及 與 身 者 
T85n2762_001:0262b23	應言□三。四者其口但經好略。論身缺三語	應 言 三 四 者 其 口 但 經 好 略 論 身 缺 三 語 
T85n2762_001:0262b24	四默口也。此三界四住地所起業。業斷土由	四 默 口 也 此 三 界 四 住 地 所 起 業 業 斷 土 由 
T85n2762_001:0262b25	惑亡故。就業以論之。已到難伏地者。此語無	惑 亡 故 就 業 以 論 之 已 到 難 伏 地 者 此 語 無 
T85n2762_001:0262b26	明惑盡到猶度也。自非以金剛心為無礙種	明 惑 盡 到 猶 度 也 自 非 以 金 剛 心 為 無 礙 種 
T85n2762_001:0262b27	智為解脫。此或無以頂落故名難伏地也。知	智 為 解 脫 此 或 無 以 頂 落 故 名 難 伏 地 也 知 
T85n2762_001:0262b28	一切爾炎者。次明般若。上明累盡獲彼常果。	一 切 爾 炎 者 次 明 般 若 上 明 累 盡 獲 彼 常 果 
T85n2762_001:0262b29	或滅有方非智不惡故次明之。爾炎此方名	或 滅 有 方 非 智 不 惡 故 次 明 之 爾 炎 此 方 名 
T85n2762_001:0262b30	為智母。亦可智即彼若。爾者真諦。炎者俗	為 智 母 亦 可 智 即 彼 若 爾 者 真 諦 炎 者 俗 
T85n2762_001:0262c01	諦。何以智然。夫真諦如爾古今定准世諦假	諦 何 以 智 然 夫 真 諦 如 爾 古 今 定 准 世 諦 假 
T85n2762_001:0262c02	誑拔炎不貪故智之耳。自下還結上三法。智	誑 拔 炎 不 貪 故 智 之 耳 自 下 還 結 上 三 法 智 
T85n2762_001:0262c03	慧者結知一切爾炎。身者結法身自在結解	慧 者 結 知 一 切 爾 炎 身 者 結 法 身 自 在 結 解 
T85n2762_001:0262c04	脫也。攝持一切法者。三法既備萬善圓極。一	脫 也 攝 持 一 切 法 者 三 法 既 備 萬 善 圓 極 一 
T85n2762_001:0262c05	得永固劫盡不座故。言攝持一切法也。敬禮	得 永 固 劫 盡 不 座 故 言 攝 持 一 切 法 也 敬 禮 
T85n2762_001:0262c06	過稱量者。所以更來為欲拂跡。時眾胃佛地	過 稱 量 者 所 以 更 來 為 欲 拂 跡 時 眾 胃 佛 地 
T85n2762_001:0262c07	功德理盡勝鬘所嘆。是以拂去前跡。我今敬	功 德 理 盡 勝 鬘 所 嘆 是 以 拂 去 前 跡 我 今 敬 
T85n2762_001:0262c08	禮。過我稱量獨絕群表言無譬類。佛果萬德	禮 過 我 稱 量 獨 絕 群 表 言 無 譬 類 佛 果 萬 德 
T85n2762_001:0262c09	積若理道言表故言無邊法。如來所得非下	積 若 理 道 言 表 故 言 無 邊 法 如 來 所 得 非 下 
T85n2762_001:0262c10	情所測故言難思議也。亦可上來諸句亦數	情 所 測 故 言 難 思 議 也 亦 可 上 來 諸 句 亦 數 
T85n2762_001:0262c11	即禮。是故此偈諦跡。言我今禮者。過我所嘆	即 禮 是 故 此 偈 諦 跡 言 我 今 禮 者 過 我 所 嘆 
T85n2762_001:0262c12	也。哀愍以下欲明請護。哀讖愍念覆護於我。	也 哀 愍 以 下 欲 明 請 護 哀 讖 愍 念 覆 護 於 我 
T85n2762_001:0262c13	今向嘆佛五句之善法速得增長。此善基提	今 向 嘆 佛 五 句 之 善 法 速 得 增 長 此 善 基 提 
T85n2762_001:0262c14	菩提故云種也。此世今身。及後生者。未來願	菩 提 故 云 種 也 此 世 今 身 及 後 生 者 未 來 願 
T85n2762_001:0262c15	常攝受在大乘正法中也。我久安立以下如	常 攝 受 在 大 乘 正 法 中 也 我 久 安 立 以 下 如 
T85n2762_001:0262c16	來遂其所請。上來二世為師。今明三世作護	來 遂 其 所 請 上 來 二 世 為 師 今 明 三 世 作 護 
T85n2762_001:0262c17	所以。而然過者。若護現未必然故。舉過護	所 以 而 然 過 者 若 護 現 未 必 然 故 舉 過 護 
T85n2762_001:0262c18	來。謹久安立者。前身以來。令免於三途重	來 謹 久 安 立 者 前 身 以 來 令 免 於 三 途 重 
T85n2762_001:0262c19	苦名安。令汝善根德成名立。前世以開噵汝	苦 名 安 令 汝 善 根 德 成 名 立 前 世 以 開 噵 汝 
T85n2762_001:0262c20	心憙悟大乘故言開覺也。今復攝受汝現在	心 憙 悟 大 乘 故 言 開 覺 也 今 復 攝 受 汝 現 在 
T85n2762_001:0262c21	也。未來生亦然者。同汝過現也。我已作功德	也 未 來 生 亦 然 者 同 汝 過 現 也 我 已 作 功 德 
T85n2762_001:0262c22	者。以下明乞記還舉上三世之善。已作明過	者 以 下 明 乞 記 還 舉 上 三 世 之 善 已 作 明 過 
T85n2762_001:0262c23	者。現在今身餘世未來也。如是眾善本。總	者 現 在 今 身 餘 世 未 來 也 如 是 眾 善 本 總 
T85n2762_001:0262c24	舉上來三世眾善。能與果作因名本也。唯願	舉 上 來 三 世 眾 善 能 與 果 作 因 名 本 也 唯 願 
T85n2762_001:0262c25	見攝受者。此正明乞記。唯願見此因所攝受	見 攝 受 者 此 正 明 乞 記 唯 願 見 此 因 所 攝 受 
T85n2762_001:0262c26	之果故。言願見攝受也。不爾亦欲拂求二世	之 果 故 言 願 見 攝 受 也 不 爾 亦 欲 拂 求 二 世 
T85n2762_001:0262c27	加護酬三世安立之跡。爾時勝鬘頭面禮佛	加 護 酬 三 世 安 立 之 跡 爾 時 勝 鬘 頭 面 禮 佛 
T85n2762_001:0262c28	以下。正與受記遂其所請。亦可此方乞記所	以 下 正 與 受 記 遂 其 所 請 亦 可 此 方 乞 記 所 
T85n2762_001:0262c29	以與記者有其二意。一為生其下文。二為發	以 與 記 者 有 其 二 意 一 為 生 其 下 文 二 為 發 
T85n2762_001:0263a01	起時眾往生之緣。是故與記也。汝歎如來真	起 時 眾 往 生 之 緣 是 故 與 記 也 汝 歎 如 來 真 
T85n2762_001:0263a02	實功德者。舉上嘆佛功德之善。能感佛果故	實 功 德 者 舉 上 嘆 佛 功 德 之 善 能 感 佛 果 故 
T85n2762_001:0263a03	名根也。此明記於近因。當於無量以下記於	名 根 也 此 明 記 於 近 因 當 於 無 量 以 下 記 於 
T85n2762_001:0263a04	近果。天人之中為自在王者。第六天果。何以	近 果 天 人 之 中 為 自 在 王 者 第 六 天 果 何 以 
T85n2762_001:0263a05	處此將明居上化下風下靡草故然也。一切	處 此 將 明 居 上 化 下 風 下 靡 草 故 然 也 一 切 
T85n2762_001:0263a06	生處拂疑。時眾謂為第六天王。同彼邪見耽	生 處 拂 疑 時 眾 謂 為 第 六 天 王 同 彼 邪 見 耽 
T85n2762_001:0263a07	逸五塵故。言常得見我現前讚嘆如今無異。	逸 五 塵 故 言 常 得 見 我 現 前 讚 嘆 如 今 無 異 
T85n2762_001:0263a08	何邪見逸蕩今有世。	何 邪 見 逸 蕩 今 有 世 
T85n2762_001:0263a09	當復已下。第二段記遠因遠果。果有二種。總	當 復 已 下 第 二 段 記 遠 因 遠 果 果 有 二 種 總 
T85n2762_001:0263a10	之與別。普光別號下明總號。第二記其國土。	之 與 別 普 光 別 號 下 明 總 號 第 二 記 其 國 土 
T85n2762_001:0263a11	就中有二段明義。從初至惡業道名明其所	就 中 有 二 段 明 義 從 初 至 惡 業 道 名 明 其 所 
T85n2762_001:0263a12	除。彼國眾生以下出彼所得。彼佛國土者。據	除 彼 國 眾 生 以 下 出 彼 所 得 彼 佛 國 土 者 據 
T85n2762_001:0263a13	今現在望於未來。普光為彼也。無諸惡者。淨	今 現 在 望 於 未 來 普 光 為 彼 也 無 諸 惡 者 淨 
T85n2762_001:0263a14	土之中無四惡也。唯有天人。就中復無老病	土 之 中 無 四 惡 也 唯 有 天 人 就 中 復 無 老 病 
T85n2762_001:0263a15	衰惱不適意苦等菓也。所以無此苦報下。明	衰 惱 不 適 意 苦 等 菓 也 所 以 無 此 苦 報 下 明 
T85n2762_001:0263a16	無其惡業道名。是故無有老病等苦果也。彼	無 其 惡 業 道 名 是 故 無 有 老 病 等 苦 果 也 彼 
T85n2762_001:0263a17	第二彼國眾生以下。明其所德。色力壽命者。	第 二 彼 國 眾 生 以 下 明 其 所 德 色 力 壽 命 者 
T85n2762_001:0263a18	翻上老病衰惱也。五欲快樂者。翻上不適意	翻 上 老 病 衰 惱 也 五 欲 快 樂 者 翻 上 不 適 意 
T85n2762_001:0263a19	苦也。彼諸眾生純一大乘者。翻上無諸惡趣	苦 也 彼 諸 眾 生 純 一 大 乘 者 翻 上 無 諸 惡 趣 
T85n2762_001:0263a20	故言純一也。諸有修習善根眾生者。翻上亦	故 言 純 一 也 諸 有 修習善根 眾 生 者 翻 上 亦 
T85n2762_001:0263a21	無不善惡業道名也。皆集於彼。有緣同生淨	無 不 善 惡 業 道 名 也 皆 集 於 彼 有 緣 同 生 淨 
T85n2762_001:0263a22	土也。願彼國者。受記之旨正在於此也。上勝	土 也 願 彼 國 者 受 記 之 旨 正 在 於 此 也 上 勝 
T85n2762_001:0263a23	鬘有歎佛功德之善。如來即記當佛。普光淨	鬘 有 歎佛功德 之 善 如 來 即 記 當 佛 普 光 淨 
T85n2762_001:0263a24	土琳琅。而此妙果不可端拱。而剋要須修會	土 琳 琅 而 此 妙 果 不 可 端 拱 而 剋 要 須 修 會 
T85n2762_001:0263a25	果之因。因之萬行必先於戒。是第二明十大	果 之 因 因 之 萬 行 必 先 於 戒 是 第 二 明 十 大 
T85n2762_001:0263a26	受章也。	受 章 也 
T85n2762_001:0263a27	此章有三段明義。初受十受方便。第二從世	此 章 有 三 段 明 義 初 受 十 受 方 便 第 二 從 世 
T85n2762_001:0263a28	尊我從今日訖十受明十受體。第三從法主	尊 我 從 今 日 訖 十 受 明 十 受 體 第 三 從 法 主 
T85n2762_001:0263a29	世尊訖章明證信也。恭敬者正明欲受戒故。	世 尊 訖 章 明 證 信 也 恭 敬 者 正 明 欲 受 戒 故 
T85n2762_001:0263b01	身業修敬也。而立者。受戒之法要須檢客胡	身 業 修 敬 也 而 立 者 受 戒 之 法 要 須 檢 客 胡 
T85n2762_001:0263b02	跪。今所以立者。佛住空中勝鬘在地。若當胡	跪 今 所 以 立 者 佛 住 空 中 勝 鬘 在 地 若 當 胡 
T85n2762_001:0263b03	跪則中間跨周言語道絕音聲隔斷。今欲使	跪 則 中 間 跨 周 言 語 道 絕 音 聲 隔 斷 今 欲 使 
T85n2762_001:0263b04	言音相及是故立也。亦可表已必能行之也。	言 音 相 及 是 故 立 也 亦 可 表 已 必 能 行 之 也 
T85n2762_001:0263b05	受十大受者。下受持戒為受。所以然者。欲	受 十 大 受 者 下 受 持 戒 為 受 所 以 然 者 欲 
T85n2762_001:0263b06	明戒由受發得故。以受目戒也。大者聲聞受	明 戒 由 受 發 得 故 以 受 目 戒 也 大 者 聲 聞 受 
T85n2762_001:0263b07	戒其盡一身。此戒終極佛果也。亦可聲聞但	戒 其 盡 一 身 此 戒 終 極 佛 果 也 亦 可 聲 聞 但 
T85n2762_001:0263b08	防身口。菩薩三業俱止故名大也。從世尊以	防 身 口 菩 薩 三 業 俱 止 故 名 大 也 從 世 尊 以 
T85n2762_001:0263b09	下。正明十受中有四段明義。初一戒明受之	下 正 明 十 受 中 有 四 段 明 義 初 一 戒 明 受 之 
T85n2762_001:0263b10	則易持之則難故。初一受明誓持也。次有四	則 易 持 之 則 難 故 初 一 受 明 誓 持 也 次 有 四 
T85n2762_001:0263b11	受明律儀戒。次有四受明攝眾生戒。最後一	受 明 律 儀 戒 次 有 四 受 明 攝 眾 生 戒 最 後 一 
T85n2762_001:0263b12	受攝善法戒也。我從今日受戒之始。乃至菩	受 攝善法戒 也 我 從 今 日 受 戒 之 始 乃 至 菩 
T85n2762_001:0263b13	提誓戒之終也。所以受戒者。於所受下九戒	提 誓 戒 之 終 也 所 以 受 戒 者 於 所 受 下 九 戒 
T85n2762_001:0263b14	不起犯心。何故但言不起犯心。欲心心明犯	不 起 犯 心 何 故 但 言 不 起 犯 心 欲 心 心 明 犯 
T85n2762_001:0263b15	則易。色犯則難。易者不犯。當知難者亦持	則 易 色 犯 則 難 易 者 不 犯 當 知 難 者 亦 持 
T85n2762_001:0263b16	也。亦可心為本根身口為末。但言心持身口	也 亦 可 心 為 本 根 身 口 為 末 但 言 心 持 身 口 
T85n2762_001:0263b17	可知也。人解此一戒是總從下九戒上發得。	可 知 也 人 解 此 一 戒 是 總 從 下 九 戒 上 發 得 
T85n2762_001:0263b18	若犯下九戒。此戒則犯無別惡對總。又無總	若 犯 下 九 戒 此 戒 則 犯 無 別 惡 對 總 又 無 總 
T85n2762_001:0263b19	惡來侵也。又解此戒別自有體。何以然。如似	惡 來 侵 也 又 解 此 戒 別 自 有 體 何 以 然 如 似 
T85n2762_001:0263b20	欲起瞋心則犯此戒正起忿怒罵辱。前人則	欲 起 瞋 心 則 犯 此 戒 正 起 忿 怒 罵 辱 前 人 則 
T85n2762_001:0263b21	破第三戒餘八類爾也。於諸尊長不起慢心	破 第 三 戒 餘 八 類 爾 也 於 諸 尊 長 不 起 慢 心 
T85n2762_001:0263b22	者。此明敬上也。尊長者德高量遠思得於物	者 此 明 敬 上 也 尊 長 者 德 高 量 遠 思 得 於 物 
T85n2762_001:0263b23	名為尊長。不必者年也。於此尊長正應修敬	名 為 尊 長 不 必 者 年 也 於 此 尊 長 正 應 修 敬 
T85n2762_001:0263b24	奉養諮戲未聞曰有冥閏。若自舉陵物法水	奉 養 諮 戲 未 聞 曰 有 冥 閏 若 自 舉 陵 物 法 水 
T85n2762_001:0263b25	不沾。譬猶高峯雨水不高故言不起慢心也。	不 沾 譬 猶 高 峯 雨 水 不 高 故 言 不 起 慢 心 也 
T85n2762_001:0263b26	不起恚心者。此明接下。若瞋於人則於物有	不 起 恚 心 者 此 明 接 下 若 瞋 於 人 則 於 物 有 
T85n2762_001:0263b27	隔。何能以道相及敝拔其苦故言不起恚心。	隔 何 能 以 道 相 及 敝 拔 其 苦 故 言 不 起 恚 心 
T85n2762_001:0263b28	前戒明不起慢心。以請法以懷此明以化物	前 戒 明 不 起 慢 心 以 請 法 以 懷 此 明 以 化 物 
T85n2762_001:0263b29	為行耳。總他身色者。八尺之體名身。形容	為 行 耳 總 他 身 色 者 八 尺 之 體 名 身 形 容 
T85n2762_001:0263c01	珪麗日色。鳥馬七珍名外眾具也。不起疾心	珪 麗 日 色 鳥 馬 七 珍 名 外 眾 具 也 不 起 疾 心 
T85n2762_001:0263c02	者。夫為菩薩以慶物為懷。若於他有疾妬。彼	者 夫 為 菩 薩 以 慶 物 為 懷 若 於 他 有 疾 妬 彼 
T85n2762_001:0263c03	所德何能施樂於人。故言不起疾心。於內外	所 德 何 能 施 樂 於 人 故 言 不 起 疾 心 於 內 外 
T85n2762_001:0263c04	法者。頭目支節名內。七珍為外。不起慳心	法 者 頭 目 支 節 名 內 七 珍 為 外 不 起 慳 心 
T85n2762_001:0263c05	者。上所由於他寶貨不起嫉心者。何今日明	者 上 所 由 於 他 寶 貨 不 起 嫉 心 者 何 今 日 明 
T85n2762_001:0263c06	自不慳。故能於他不疾妬也耳。世尊我從今	自 不 慳 故 能 於 他 不 疾 妬 也 耳 世 尊 我 從 今 
T85n2762_001:0263c07	日以下。第二明攝眾生戒。初二受是攝物之	日 以 下 第 二 明 攝 眾 生 戒 初 二 受 是 攝 物 之 
T85n2762_001:0263c08	具。下二受所攝眾生也。自道己受畜財物	具 下 二 受 所 攝 眾 生 也 自 道 己 受 畜 財 物 
T85n2762_001:0263c09	者。菩薩積財恒沙意在為物故。言不自為己。	者 菩 薩 積 財 恒 沙 意 在 為 物 故 言 不 自 為 己 
T85n2762_001:0263c10	凡有所受悉為成熟者。明前人乏少食衣修	凡 有 所 受 悉 為 成 熟 者 明 前 人 乏 少 食 衣 修 
T85n2762_001:0263c11	善莫由故。須成熟也。不自為己行四攝法者。	善 莫 由 故 須 成 熟 也 不 自 為 己 行 四 攝 法 者 
T85n2762_001:0263c12	欲明人若有現未之殊具亦優劣之別。是以	欲 明 人 若 有 現 未 之 殊 具 亦 優 劣 之 別 是 以 
T85n2762_001:0263c13	前者以擅攝現。若眾生此明化來惡之眾也。	前 者 以 擅 攝 現 若 眾 生 此 明 化 來 惡 之 眾 也 
T85n2762_001:0263c14	菩薩積德利人故。言不自為己也。不愛染心	菩 薩 積 德 利 人 故 言 不 自 為 己 也 不 愛 染 心 
