T85n2768_001:0329a03	維摩義記	維 摩 義 記 
T85n2768_001:0329a28	皆心相空。不見其垢。一切眾生心相無垢。亦	皆 心 相 空 不 見 其 垢 一 切 眾 生 心 相 無 垢 亦 
T85n2768_001:0329a29	復如是者。結成識陰空也。妄想是垢者。妄想	復 如 是 者 結 成 識 陰 空 也 妄 想 是 垢 者 妄 想 
T85n2768_001:0329b01	多起見故言垢也。此明想陰空。顛倒是垢者。	多 起 見 故 言 垢 也 此 明 想 陰 空 顛 倒 是 垢 者 
T85n2768_001:0329b02	此受能生煩惱故言垢。明受陰空。取我是垢。	此 受 能 生 煩 惱 故 言 垢 明 受 陰 空 取 我 是 垢 
T85n2768_001:0329b03	此明行陰空。正是垢體。前三能生垢名為垢	此 明 行 陰 空 正 是 垢 體 前 三 能 生 垢 名 為 垢 
T85n2768_001:0329b04	也。一切法生滅以下。廣釋罪及四陰空。所以	也 一 切 法 生 滅 以 下 廣 釋 罪 及 四 陰 空 所 以 
T85n2768_001:0329b05	知空。以生滅不住如幻化等故知空。是名奉	知 空 以 生 滅 不 住 如 幻 化 等 故 知 空 是 名 奉 
T85n2768_001:0329b06	律者。若能如上來所解真是奉律。善解亦然	律 者 若 能 如 上 來 所 解 真 是 奉 律 善 解 亦 然 
T85n2768_001:0329b07	也。	也 
T85n2768_001:0329b08	所以命羅睺者。謂持戒第一者堪為問疾。是	所 以 命 羅 睺 者 謂 持 戒 第 一 者 堪 為 問 疾 是 
T85n2768_001:0329b09	以命也。羅睺失幾在於道根前人。應聞無相	以 命 也 羅 睺 失 幾 在 於 道 根 前 人 應 聞 無 相 
T85n2768_001:0329b10	出家。即為說出家功德之利者。有說有相之	出 家 即 為 說 出 家 功 德 之 利 者 有 說 有 相 之 
T85n2768_001:0329b11	利也。不應說出家功德之利者。不應說有相	利 也 不 應 說 出 家 功 德 之 利 者 不 應 說 有 相 
T85n2768_001:0329b12	利也。所以者何者。所以不應說有相利者何。	利 也 所以者何 者 所 以 不 應 說 有 相 利 者 何 
T85n2768_001:0329b13	是為出家者。明前人應聞無相出家。無相之	是 為 出 家 者 明 前 人 應 聞 無 相 出 家 無 相 之 
T85n2768_001:0329b14	中無有相利。無有功德故言無功德也。夫出	中 無 有 相 利 無 有 功 德 故 言 無 功 德 也 夫 出 
T85n2768_001:0329b15	家者。凡夫此人之心應聞無利無功德出家	家 者 凡 夫 此 人 之 心 應 聞 無 利 無 功 德 出 家 
T85n2768_001:0329b16	也。文言無彼此中間者。此文所以興。欲明	也 文 言 無 彼 此 中 間 者 此 文 所 以 興 欲 明 
T85n2768_001:0329b17	空是萬有之原。能達空旨萬有得成。中觀云。	空 是 萬 有 之 原 能 達 空 旨 萬 有 得 成 中 觀 云 
T85n2768_001:0329b18	以有空義故一切法得成。十二門云。由大分	以 有 空 義 故 一 切 法 得 成 十 二 門 云 由 大 分 
T85n2768_001:0329b19	深義故得成六波羅蜜。故空是萬有之本。無	深 義 故 得 成 六波羅蜜 故 空 是 萬 有 之 本 無 
T85n2768_001:0329b20	彼者無涅槃。無此者無生死。中間者。無八聖	彼 者 無 涅 槃 無 此 者 無 生 死 中 間 者 無 八 聖 
T85n2768_001:0329b21	道。此三既無。故萬法斯空。空是萬法原也。	道 此 三 既 無 故 萬 法 斯 空 空 是 萬 法 原 也 
T85n2768_001:0329b22	離六十二見以下。明空廣有所成。離者。明無	離 六 十 二 見 以 下 明 空 廣 有 所 成 離 者 明 無 
T85n2768_001:0329b23	此故得離諸見處。涅槃者。明無彼故得涅槃。	此 故 得 離 諸 見 處 涅 槃 者 明 無 彼 故 得 涅 槃 
T85n2768_001:0329b24	智者所受。明無中間故得智者受也。降伏眾	智 者 所 受 明 無 中 間 故 得 智 者 受 也 降 伏 眾 
T85n2768_001:0329b25	魔者。將魔出家。魔得五眼等。魔本彼惱雜惡。	魔 者 將 魔 出 家 魔 得 五 眼 等 魔 本 彼 惱 雜 惡 
T85n2768_001:0329b26	今離煩惱惡也。摧伏外道。將外道出家。超假	今 離 煩 惱 惡 也 摧 伏 外 道 將 外 道 出 家 超 假 
T85n2768_001:0329b27	名者。化彼得眾生空。眾生既空。於假名不染。	名 者 化 彼 得 眾 生 空 眾 生 既 空 於 假 名 不 染 
T85n2768_001:0329b28	故言出淤泥也。既出淤埿不為假名所縛。故	故 言 出 淤 泥 也 既 出 淤 埿 不 為 假 名 所 縛 故 
T85n2768_001:0329b29	言無繫著也。無我所以下。明法空。不存五陰	言 無 繫 著 也 無 我 所 以 下 明 法 空 不 存 五 陰 
T85n2768_001:0329c01	言無我。所不納於境言無所受也。隨禪定離	言 無 我 所 不 納 於 境 言 無 所 受 也 隨 禪 定 離 
T85n2768_001:0329c02	眾惡者。上離惡明一切惡。此離惡者明障空	眾 惡 者 上 離 惡 明 一 切 惡 此 離 惡 者 明 障 空 
T85n2768_001:0329c03	惡也。	惡 也 
T85n2768_001:0329c04	所以命阿難者。時情謂多聞者能為問疾。是	所 以 命 阿 難 者 時 情 謂 多 聞 者 能 為 問 疾 是 
T85n2768_001:0329c05	以命也其人失在於不達應道。謂真極而有	以 命 也 其 人 失 在 於 不 達 應 道 謂 真 極 而 有 
T85n2768_001:0329c06	疾。此中凡三段。明法身之無疾。止止以下至	疾 此 中 凡 三 段 明 法 身 之 無 疾 止 止 以 下 至 
T85n2768_001:0329c07	得聞斯語。斷眾惡盡萬善備足。何有疾也。此	得 聞 斯 語 斷 眾 惡 盡 萬 善 備 足 何 有 疾 也 此 
T85n2768_001:0329c08	中止以前有二意。前言身少者有疾當用牛	中 止 以 前 有 二 意 前 言 身 少 者 有 疾 當 用 牛 
T85n2768_001:0329c09	乳。今者還以二止止之也。哩往者。哩往如來	乳 今 者 還 以 二 止 止 之 也 哩 往 者 哩 往 如 來 
T85n2768_001:0329c10	有疾之言。轉輪以下。第二明以下況上。明如	有 疾 之 言 轉 輪 以 下 第 二 明 以 下 況 上 明 如 
T85n2768_001:0329c11	來法身之無疾。行矣阿難者。速行矣而去。當	來 法 身 之 無 疾 行 矣 阿 難 者 速 行 矣 而 去 當 
T85n2768_001:0329c12	知以下上明斷惡善足。明法身之無疾。自下	知 以 下 上 明 斷 惡 善 足 明 法 身 之 無 疾 自 下 
T85n2768_001:0329c13	明如來不墮法數。明無疾。行矣阿難者。行矣	明 如 來 不 墮 法 數 明 無 疾 行 矣 阿 難 者 行 矣 
T85n2768_001:0329c14	而取乳也。	而 取 乳 也 
T85n2768_001:0329c15	菩薩品	菩 薩 品 
T85n2768_001:0329c16	彌勒補處之士。豈容有其屈現受。不足彰維	彌 勒 補 處 之 士 豈 容 有 其 屈 現 受 不 足 彰 維 
T85n2768_001:0329c17	摩之高德。為兜率天王說不退轉行者。明彼	摩 之 高 德 為 兜 率 天 王 說 不 退 轉 行 者 明 彼 
T85n2768_001:0329c18	天聞彌勒當生於彼欣情內著。是故問十住	天 聞 彌 勒 當 生 於 彼 欣 情 內 著 是 故 問 十 住 
T85n2768_001:0329c19	不退之行。淨名呵之遣諸天封著。所以為說	不 退 之 行 淨 名 呵 之 遣 諸 天 封 著 所 以 為 說 
T85n2768_001:0329c20	不退行者。明彼天欣於此行得於菩提涅槃。	不 退 行 者 明 彼 天 欣 於 此 行 得 於 菩 提 涅 槃 
T85n2768_001:0329c21	由於其記得此果。得果由行發心。是以淨名	由 於 其 記 得 此 果 得 果 由 行 發 心 是 以 淨 名 
T85n2768_001:0329c22	一一非其五事。為用何生者。明心甚多耳。捉	一 一 非 其 五 事 為 用 何 生 者 明 心 甚 多 耳 捉 
T85n2768_001:0329c23	一心難不得記。過未現在耶者。明提一念之	一 心 難 不 得 記 過 未 現 在 耶 者 明 提 一 念 之 
T85n2768_001:0329c24	心以為三擬在三世。故定言過去未來現在	心 以 為 三 擬 在 三 世 故 定 言 過去未來現在 
T85n2768_001:0329c25	耶。過去生已滅者。過去之心已滅不得記耶。	耶 過 去 生 已 滅 者 過 去 之 心 已 滅 不 得 記 耶 
T85n2768_001:0329c26	未來生未至者。未至是未來無法。不得記也。	未 來 生 未 至 者 未 至 是 未 來 無 法 不 得 記 也 
T85n2768_001:0329c27	現在不住者。念為三相成念念不住。不得記	現 在 不 住 者 念 為 三 相 成 念 念 不 住 不 得 記 
T85n2768_001:0329c28	也。三處心無。其記安在。即時亦生亦老亦滅	也 三 處 心 無 其 記 安 在 即 時 亦 生 亦 老 亦 滅 
T85n2768_001:0329c29	者。引佛語為證一念有三相。相分在三世。不	者 引 佛 語 為 證 一 念 有 三 相 相 分 在 三 世 不 
T85n2768_001:0330a01	得□□□生者是生相。老者是住相。滅者	得 生 者 是 生 相 老 者 是 住 相 滅 者 
T85n2768_001:0330a02	是滅相。文言若以無生至三菩提上□□□	是 滅 相 文 言 若 以 無 生 至 三 菩 提 上 
T85n2768_001:0330a03	□□□□□□□空中亦不得記不破菩提	 空 中 亦 不 得 記 不 破 菩 提 
T85n2768_001:0330a04	但破記者。記於菩提是以合□□□□□□	但 破 記 者 記 於 菩 提 是 以 合 
T85n2768_001:0330a05	如生得受記者。上明空位中不得其記。此蹤	如 生 得 受 記 者 上 明 空 位 中 不 得 其 記 此 蹤 
T85n2768_001:0330a06	空中得記。空應是□□□得記。今明如空	空 中 得 記 空 應 是 得 記 今 明 如 空 
T85n2768_001:0330a07	中無生滅故。何有記也。所以者何者。所以彌	中 無 生 滅 故 何 有 記 也 所以者何 者 所 以 彌 
T85n2768_001:0330a08	勒得記便眾生同得者何。夫如者不二不異	勒 得 記 便 眾 生 同 得 者 何 夫 如 者 不 二 不 異 
T85n2768_001:0330a09	者。眾生彌勒同如不二。亦無彌勒得記眾生	者 眾 生 彌 勒 同 如 不 二 亦 無 彌 勒 得 記 眾 生 
T85n2768_001:0330a10	不得之異。空既無異。應同得也。第二從若彌	不 得 之 異 空 既 無 異 應 同 得 也 第 二 從 若 彌 
T85n2768_001:0330a11	勒得菩提至即菩提相。破菩提相也。第三若	勒 得 菩 提 至 即 菩 提 相 破 菩 提 相 也 第 三 若 
T85n2768_001:0330a12	彌勒滅度以下至誘諸天子。破涅槃。第四實	彌 勒 滅 度 以 下 至 誘 諸 天 子 破 涅 槃 第 四 實 
T85n2768_001:0330a13	無發心者。破發心。亦無退者。破不退轉行也。	無 發 心 者 破 發 心 亦 無 退 者 破 不 退 轉 行 也 
T85n2768_001:0330a14	捨於分別菩提之見以下重破菩提所以而	捨 於 分 別 菩 提 之 見 以 下 重 破 菩 提 所 以 而 
T85n2768_001:0330a15	然。明諸天子欣心菩提著相心多。是故重破。	然 明 諸 天 子 欣 心 菩 提 著 相 心 多 是 故 重 破 
T85n2768_001:0330a16	自下明菩提空。不論菩提。無性故空。但明菩	自 下 明 菩 提 空 不 論 菩 提 無 性 故 空 但 明 菩 
T85n2768_001:0330a17	提妙絕塵境。體無眾相故言為空。非謂無也。	提 妙 絕 塵 境 體 無 眾 相 故 言 為 空 非 謂 無 也 
T85n2768_001:0330a18	自下明破菩提。凡有其三。從至無生住滅故。	自 下 明 破 菩 提 凡 有 其 三 從 至 無 生 住 滅 故 
T85n2768_001:0330a19	菩提體空。捨分別菩提之見者。明菩提妙絕	菩 提 體 空 捨 分 別 菩 提 之 見 者 明 菩 提 妙 絕 
T85n2768_001:0330a20	不可見也。所以者何。所以捨菩提見者何。不	不 可 見 也 所以者何 所 以 捨 菩 提 見 者 何 不 
T85n2768_001:0330a21	以身心得者。明菩提妙絕。絕於身心體。非身	以 身 心 得 者 明 菩 提 妙 絕 絕 於 身 心 體 非 身 
T85n2768_001:0330a22	心。何其見也。寂滅以下凡有六段釋。初寂滅	心 何 其 見 也 寂 滅 以 下 凡 有 六 段 釋 初 寂 滅 
T85n2768_001:0330a23	是菩提滅諸相故者。總明非身心得。是寂滅	是 菩 提 滅 諸 相 故 者 總 明 非 身 心 得 是 寂 滅 
T85n2768_001:0330a24	相也。第二從不觀是菩提至無憶念故。明菩	相 也 第 二 從 不 觀 是 菩 提 至 無 憶 念 故 明 菩 
T85n2768_001:0330a25	提不觀於境不念境也。第三斷是菩提以下	提 不 觀 於 境 不 念 境 也 第 三 斷 是 菩 提 以 下 
T85n2768_001:0330a26	至無貪著故。明菩提斷於煩或。捨諸見離妄	至 無 貪 著 故 明 菩 提 斷 於 煩 或 捨 諸 見 離 妄 
T85n2768_001:0330a27	想故。明斷諸見。障諸願無貪著。斷五鈍。願者	想 故 明 斷 諸 見 障 諸 願 無 貪 著 斷 五 鈍 願 者 
T85n2768_001:0330a28	愛分別願。第四從順是菩提至實際故。明菩	愛 分 別 願 第 四 從 順 是 菩 提 至 實 際 故 明 菩 
T85n2768_001:0330a29	提無眾相體同三空。第五不二是菩提一句	提 無 眾 相 體 同 三 空 第 五 不 二 是 菩 提 一 句 
T85n2768_001:0330b01	釋疑。上明順於三空謂為菩提。緣於三空故	釋 疑 上 明 順 於 三 空 謂 為 菩 提 緣 於 三 空 故 
T85n2768_001:0330b02	言為順。今言離意法故。無菩提為意。三空為	言 為 順 今 言 離 意 法 故 無 菩 提 為 意 三 空 為 
T85n2768_001:0330b03	法。故言離意法故也。下二句皆明菩提之體。	法 故 言 離 意 法 故 也 下 二 句 皆 明 菩 提 之 體 
T85n2768_001:0330b04	第二知是菩提知眾生心行故者。上明菩提	第 二 知 是 菩 提 知 眾 生 心 行 故 者 上 明 菩 提 
T85n2768_001:0330b05	體空。時望心沒還。明菩提是有。了眾生心	體 空 時 望 心 沒 還 明 菩 提 是 有 了 眾 生 心 
T85n2768_001:0330b06	行。第三不會是菩提以下。上明菩提。了於心	行 第 三 不 會 是 菩 提 以 下 上 明 菩 提 了 於 心 
T85n2768_001:0330b07	行時。情作有意而取。自下還明菩提之無相	行 時 情 作 有 意 而 取 自 下 還 明 菩 提 之 無 相 
T85n2768_001:0330b08	也。	也 
T85n2768_001:0330b09	光嚴所以言不堪者。與居士問答。理乖屈於	光 嚴 所 以 言 不 堪 者 與 居 士 問 答 理 乖 屈 於 
T85n2768_001:0330b10	幾會居士言道場來不達萬行亦是道場這謂	幾 會 居 士 言 道 場 來 不 達 萬 行 亦 是 道 場 這 謂 
T85n2768_001:0330b11	佛得道處為道場。來問居士。趣諸道場得三	佛 得 道 處 為 道 場 來 問 居 士 趣 諸 道 場 得 三 
T85n2768_001:0330b12	菩提。可得言從道場怪來其所以故言。道場	菩 提 可 得 言 從 道 場 怪 來 其 所 以 故 言 道 場 
T85n2768_001:0330b13	者何所是。佛果言道場者。可乘之化物故有	者 何 所 是 佛 果 言 道 場 者 可 乘 之 化 物 故 有 
T85n2768_001:0330b14	道義。能去眾生虛偽煩惱生其實解。喻之如	道 義 能 去 眾 生 虛 偽 煩 惱 生 其 實 解 喻 之 如 
T85n2768_001:0330b15	道。萬行可履之向佛故有道義。萬行能去其	道 萬 行 可 履 之 向 佛 故 有 道 義 萬 行 能 去 其 
T85n2768_001:0330b16	惡生其妙解故有場義。從直心至諦是道場。	惡 生 其 妙 解 故 有 場 義 從 直 心 至 諦 是 道 場 
T85n2768_001:0330b17	從因說道場。從四諦說無所畏。故外境緣中	從 因 說 道 場 從 四 諦 說 無 所 畏 故 外 境 緣 中 
T85n2768_001:0330b18	說道場。力無畏以下亦是行中說。仰學果	說 道 場 力 無 畏 以 下 亦 是 行 中 說 仰 學 果 
T85n2768_001:0330b19	行為異。若與諸波羅蜜行相應者。教化所有	行 為 異 若 與 諸波羅蜜 行 相 應 者 教 化 所 有 
T85n2768_001:0330b20	未始不與萬行俱來向果。故言皆從道場來	未 始 不 與 萬 行 俱 來 向 果 故 言 皆 從 道 場 來 
T85n2768_001:0330b21	即時住佛所乘也。今明舉足下足者。無相之	即 時 住 佛 所 乘 也 今 明 舉 足 下 足 者 無 相 之 
T85n2768_001:0330b22	善為舉足。有相之慶為不足。亦可。自行為舉	善 為 舉 足 有 相 之 慶 為 不 足 亦 可 自 行 為 舉 
T85n2768_001:0330b23	足化人為下足也。	足 化 人 為 下 足 也 
T85n2768_001:0330b24	持世失幾在於不識真為不能應幾弘法。故	持 世 失 幾 在 於 不 識 真 為 不 能 應 幾 弘 法 故 
T85n2768_001:0330b25	不堪問疾。魔知不達。以女色施之直。破壞其	不 堪 問 疾 魔 知 不 達 以 女 色 施 之 直 破 壞 其 
T85n2768_001:0330b26	道意。持世謂為帝釋。作身命財三常呵之。釋	道 意 持 世 謂 為 帝 釋 作 身 命 財 三 常 呵 之 釋 
T85n2768_001:0330b27	謂。身命財常。是以今言當觀無常以求善本	謂 身 命 財 常 是 以 今 言 當 觀 無 常 以 求 善 本 
T85n2768_001:0330b28	者。明三不堅法得三堅法。即指不堅為善本。	者 明 三 不 堅 法 得 三 堅 法 即 指 不 堅 為 善 本 
T85n2768_001:0330b29	沈非我宜者。二種非宜。一以女色是在家所	沈 非 我 宜 者 二 種 非 宜 一 以 女 色 是 在 家 所 
T85n2768_001:0330c01	通非出家人宜。二者此諸女等道根將熟在	通 非 出 家 人 宜 二 者 此 諸 女 等 道 根 將 熟 在 
T85n2768_001:0330c02	於維摩。復非我宜。嬈固者。固猶漏也。欲令	於 維 摩 復 非 我 宜 嬈 固 者 固 猶 漏 也 欲 令 
T85n2768_001:0330c03	其人生諸漏失。如我應受者。有二種應受。一	其 人 生 諸 漏 失 如 我 應 受 者 有 二 種 應 受 一 
T85n2768_001:0330c04	者色欲是我在家所通故言應受。二者其人	者 色 欲 是 我 在 家 所 通 故 言 應 受 二 者 其 人 
T85n2768_001:0330c05	幾悟必受我法復言應即即受。隨所應而為	幾 悟 必 受 我 法 復 言 應 即 即 受 隨 所 應 而 為 
T85n2768_001:0330c06	說法。剬魔令其從己受化。有法樂以下明以	說 法 剬 魔 令 其 從 己 受 化 有 法 樂 以 下 明 以 
T85n2768_001:0330c07	法自娛。移其先好心解則神悅。故名法樂。下	法 自 娛 移 其 先 好 心 解 則 神 悅 故 名 法 樂 下 
T85n2768_001:0330c08	明智惠善根皆是法樂體。樂常信佛至廣行	明 智 惠 善 根 皆 是 法 樂 體 樂 常 信 佛 至 廣 行 
T85n2768_001:0330c09	施。明住前法樂體。從行施至廣菩提心。次第	施 明 住 前 法 樂 體 從 行 施 至 廣 菩 提 心 次 第 
T85n2768_001:0330c10	明六住中法樂體相。七住始得無生忍。能降	明 六 住 中 法 樂 體 相 七 住 始 得無生忍 能 降 
T85n2768_001:0330c11	魔。斷二種煩惱。修淨土八住所行。成就相好	魔 斷 二 種 煩 惱 修 淨 土 八 住 所 行 成 就 相 好 
T85n2768_001:0330c12	九住所行。樂嚴道場十住所行。樂聞深法不	九 住 所 行 樂 嚴 道 場 十 住 所 行 樂 聞 深 法 不 
T85n2768_001:0330c13	畏以下。通明三乘智惠善根。不樂非財者。	畏 以 下 通 明 三 乘 智 惠 善 根 不 樂 非 財 者 
T85n2768_001:0330c14	明眾生應聞定得悟時以惠為非財。又解。道	明 眾 生 應 聞 定 得 悟 時 以 惠 為 非 財 又 解 道 
T85n2768_001:0330c15	根將熟時不樂眾生根未熟時。樂近同學者。	根 將 熟 時 不 樂 眾 生 根 未 熟 時 樂 近 同 學 者 
T85n2768_001:0330c16	大乘之理彼我俱學故稱同學。心無恚礙者。	大 乘 之 理 彼 我 俱 學 故 稱 同 學 心 無 恚 礙 者 
T85n2768_001:0330c17	於小乘學中化令從大。有恚在心。不能如是。	於 小 乘 學 中 化 令 從 大 有 恚 在 心 不 能 如 是 
T85n2768_001:0330c18	不護惡人。害我道根。將護惡人道外慈茂。	不 護 惡 人 害 我 道 根 將 護 惡 人 道 外 慈 茂 
T85n2768_001:0330c19	所存處大故須護也。善友是佛。近則生善。化	所 存 處 大 故 須 護 也 善 友 是 佛 近 則 生 善 化 
T85n2768_001:0330c20	轉其志。不樂本習。故言不樂五欲樂也。我已	轉 其 志 不 樂 本 習 故 言 不 樂 五 欲 樂 也 我 已 
T85n2768_001:0330c21	捨矣者。本意欲令發心。今以發矣。令修習受	捨 矣 者 本 意 欲 令 發 心 今 以 發 矣 令 修 習 受 
T85n2768_001:0330c22	行。化緣須息故言捨矣。願所化之人法願具	行 化 緣 須 息 故 言 捨 矣 願 所 化 之 人 法 願 具 
T85n2768_001:0330c23	足。亦可。諸女轉教一切眾生使得法具足也。	足 亦 可 諸 女 轉 教 一 切 眾 生 使 得 法 具 足 也 
T85n2768_001:0330c24	不復念本所習。領其微誡重啟其師。更以何	不 復 念 本 所 習 領 其 微 誡 重 啟 其 師 更 以 何 
T85n2768_001:0330c25	行自防道心永固。有法名無盡者。即向法樂	行 自 防 道 心 永 固 有 法 名 無 盡 者 即 向 法 樂 
T85n2768_001:0330c26	能轉化。通人為門。如以一燈傳暈千炷。法利	能 轉 化 通 人 為 門 如 以 一 燈 傳 暈 千 炷 法 利 
T85n2768_001:0330c27	亦然。燃百千燈本明不盡。夫一菩薩轉化無	亦 然 燃 百 千 燈 本 明 不 盡 夫 一 菩 薩 轉 化 無 
T85n2768_001:0330c28	窮令使發心。而道意不滅。然化功歸己。增益	窮 令 使 發 心 而 道 意 不 滅 然 化 功 歸 己 增 益 
T85n2768_001:0330c29	功德有異於喻以化人言自防。處塵不染。亦	功 德 有 異 於 喻 以 化 人 言 自 防 處 塵 不 染 亦 
T85n2768_001:0331a01	實稱佛心。名為報恩也。後復重解。我已捨矣	實 稱 佛 心 名 為 報 恩 也 後 復 重 解 我 已 捨 矣 
T85n2768_001:0331a02	者。受必有益。捨亦蒙利。欲令諸天女等轉教	者 受 必 有 益 捨 亦 蒙 利 欲 令 諸 天 女 等 轉 教 
T85n2768_001:0331a03	無數令得發心。自亦蒙潤。彼此獲慶。故言具	無 數 令 得 發 心 自 亦 蒙 潤 彼 此 獲 慶 故 言 具 
T85n2768_001:0331a04	足也。我等云何者返請維摩。以何行為先。下	足 也 我 等 云 何 者 返 請 維 摩 以 何 行 為 先 下 
T85n2768_001:0331a05	答。當已化物為首。使群生普行五自歸已。此	答 當 已 化 物 為 首 使 群 生 普 行 五 自 歸 已 此 
T85n2768_001:0331a06	即教其作行之方也。下發心之流是其利也。	即 教 其 作 行 之 方 也 下 發 心 之 流 是 其 利 也 
T85n2768_001:0331a07	諸姊者。前二種被法而言。以前曾為先。據	諸 姊 者 前 二 種 被 法 而 言 以 前 曾 為 先 據 
T85n2768_001:0331a08	人而言。以起為前。今解天女言姊者。以其不	人 而 言 以 起 為 前 今 解 天 女 言 姊 者 以 其 不 
T85n2768_001:0331a09	行始學前法故言姊也　次命善德而問疾	行 始 學 前 法 故 言 姊 也 次 命 善 德 而 問 疾 
T85n2768_001:0331a10	者。明其德高。斯是其權現。受其屈不達於	者 明 其 德 高 斯 是 其 權 現 受 其 屈 不 達 於 
T85n2768_001:0331a11	法。會不當如汝所設者。明財施不當於道根。	法 會 不 當 如 汝 所 設 者 明 財 施 不 當 於 道 根 
T85n2768_001:0331a12	當為法施之會者。明法施以稱根。法施所以	當 為 法 施 之 會 者 明 法 施 以 稱 根 法 施 所 以 
T85n2768_001:0331a13	勝者。明財施養形。法施養神。財施有竭。法施	勝 者 明 財 施 養 形 法 施 養 神 財 施 有 竭 法 施 
T85n2768_001:0331a14	無盡。財施有前後。法施無前後。是故法施勝	無 盡 財 施 有 前 後 法 施 無 前 後 是 故 法 施 勝 
T85n2768_001:0331a15	財施也。無前無後一時者。明眾生玄幾冥感	財 施 也 無前無後 一 時 者 明 眾 生 玄 幾 冥 感 
T85n2768_001:0331a16	法身嚮應。根藥不差。同時養神故。言一時供	法 身 嚮 應 根 藥 不 差 同 時 養 神 故 言 一 時 供 
T85n2768_001:0331a17	養一切眾生也。何謂也以下說法施體。謂以菩	養 一 切 眾 生 也 何 謂 也 以 下 說 法 施 體 謂 以 菩 
T85n2768_001:0331a18	提起於慈心者。解慈義。以[標*寸]菩提樂以解慈	提 起 於 慈 心 者 解 慈 義 以 [標寸] 菩 提 樂 以 解 慈 
T85n2768_001:0331a19	義。為令離苦得無上果。興於慈心為得正法。	義 為 令 離 苦 得 無 上 果 興 於 慈 心 為 得 正 法 
T85n2768_001:0331a20	起於智惠為得智惠。起於檀波羅蜜為除慳	起 於 智 惠 為 得 智 惠 起 於 檀 波 羅 蜜 為 除 慳 
T85n2768_001:0331a21	貪也。以無無我法者。有我心在。瞋恚必起	貪 也 以 無 無 我 法 者 有 我 心 在 瞋 恚 必 起 
T85n2768_001:0331a22	得無我空乃能忍辱。以離身心相者。離云	得 無 我 空 乃 能 忍 辱 以 離 身 心 相 者 離 云 
