X25n0506_001:0858b11	 金剛般若波羅蜜經注	 金 剛 般若波羅蜜經 注 
X25n0506_001:0858c20	言。如楞嚴經末云。若有眾生。能誦此經。能持此呪。直	言 如 楞 嚴 經 末 云 若 有 眾 生 能 誦 此 經 能 持 此 呪 直 
X25n0506_001:0858c21	成菩提。無復魔業。固亦體例所有。乃此經則處處及	成 菩 提 無 復 魔 業 固 亦 體 例 所 有 乃 此 經 則 處 處 及 
X25n0506_001:0858c22	之。經文未半。佛旨未宣。須菩提輒問眾生信不。世尊	之 經 文 未 半 佛 旨 未 宣 須 菩 提 輒 問 眾 生 信 不 世 尊 
X25n0506_001:0858c23	輒侈陳是經福德。抑何急遽乃爾。此後人附益之證。	輒 侈 陳 是 經 福 德 抑 何 急 遽 乃 爾 此 後 人 附 益 之 證 
X25n0506_001:0858c24	三也。經文既訖。自表經名。如巨力長者經末云。阿難	三 也 經 文 既 訖 自 表 經 名 如 巨 力 長 者 經 末 云 阿 難 
X25n0506_001:0859a01	白佛言。此經當以何名。我等云何受持。佛告阿難。此	白 佛 言 此 經 當 以 何 名 我 等 云 何 受 持 佛 告 阿 難 此 
X25n0506_001:0859a02	經名曰巨力長者所問大乘經。是亦體例所有。乃此	經 名 曰 巨 力 長 者 所 問 大 乘 經 是 亦 體 例 所 有 乃 此 
X25n0506_001:0859a03	經則於所謂第十三分中。而即出之。未說經文。先說	經 則 於 所 謂 第 十 三 分 中 而 即 出 之 未 說 經 文 先 說 
X25n0506_001:0859a04	經名。須菩提之問。世尊之答。皆失敘矣。此後人附益	經 名 須 菩 提 之 問 世 尊 之 答 皆 失 敘 矣 此 後 人 附 益 
X25n0506_001:0859a05	之證。四也。又屢屢言及四句偈。不知何指。或以為若	之 證 四 也 又 屢 屢 言 及 四 句 偈 不 知 何 指 或 以 為 若 
X25n0506_001:0859a06	以色見我四句。或以為一切有為法四句。然其文皆	以 色 見 我 四 句 或 以 為 一 切 有 為 法 四 句 然 其 文 皆 
X25n0506_001:0859a07	在後。是佛說四句偈時。未有此四句偈也。須菩提能	在 後 是 佛 說 四 句 偈 時 未 有 此 四 句 偈 也 須 菩 提 能 
X25n0506_001:0859a08	不問此四句云何乎。嘗讀楞伽經。知所謂四句偈者。	不 問 此 四 句 云 何 乎 嘗 讀 楞 伽 經 知 所 謂 四 句 偈 者 
X25n0506_001:0859a09	離一異俱不俱有無非有非無常無常。與金剛經之	離 一 異 俱 不 俱 有 無 非有非無 常 無 常 與 金 剛 經 之 
X25n0506_001:0859a10	旨頗合。而實非金剛經所有之文。疑佛平時常以此	旨 頗 合 而 實 非 金 剛 經 所 有 之 文 疑 佛 平 時 常 以 此 
X25n0506_001:0859a11	四句。與金剛經並授諸弟子。後人遂牽連而及之。此	四 句 與 金 剛 經 並 授 諸 弟 子 後 人 遂 牽 連 而 及 之 此 
X25n0506_001:0859a12	後人附益之證。五也。有是五證。知金剛經實有後人	後 人 附 益 之 證 五 也 有 是 五 證 知 金 剛 經 實 有 後 人 
X25n0506_001:0859a13	附益之語。以莠亂苗。厥旨愈晦。又是經本不分章。今	附 益 之 語 以 莠 亂 苗 厥 旨 愈 晦 又 是 經 本 不 分 章 今 
X25n0506_001:0859a14	釐為三十二分。云是梁昭明太子所定。未知然。不以	釐 為 三 十 二 分 云 是 梁 昭 明 太 子 所 定 未 知 然 不 以 
X25n0506_001:0859a15	意分。并妄設名目。實非善本。未足信從。余以章句陋	意 分 并 妄 設 名 目 實 非 善 本 未 足 信 從 余 以 章 句 陋 
X25n0506_001:0859a16	儒。桑榆暮景。窮而學佛。於西來大義。固無所聞。而於	儒 桑 榆 暮 景 窮 而 學 佛 於 西 來 大 義 固 無 所 聞 而 於 
X25n0506_001:0859a17	此經。竊有獨得之見。不揣固陋。為之注釋。分為上下	此 經 竊 有 獨 得 之 見 不 揣 固 陋 為 之 注 釋 分 為 上 下 
X25n0506_001:0859a18	二篇。上篇七節。下篇十一節。共十有八節。其附益之	二 篇 上 篇 七 節 下 篇 十 一 節 共 十 有 八 節 其 附 益 之 
X25n0506_001:0859a19	語。相沿既久。且亦自西土傳來。未敢芟薙。輒下一格	語 相 沿 既 久 且 亦 自 西 土 傳 來 未 敢 芟 薙 輒 下 一 格 
X25n0506_001:0859a20	書之。學者欲誦習全文。全文具在。若欲推尋旨趣。則	書 之 學 者 欲 誦 習 全 文 全 文 具 在 若 欲 推 尋 旨 趣 則 
X25n0506_001:0859a21	刊落繁蕪。真經自見。雖似前後複沓。實則脈絡分明。	刊 落 繁 蕪 真 經 自 見 雖 似 前 後 複 沓 實 則 脈 絡 分 明 
X25n0506_001:0859a22	五祖所謂但誦此經。可以見性成佛者。亦可得其大	五 祖 所 謂 但 誦 此 經 可 以 見 性 成 佛 者 亦 可 得 其 大 
X25n0506_001:0859a23	概矣。	概 矣 
X25n0506_001:0859a24	光緒九年十月曲園居士俞樾書於吳江舟中	光 緒 九 年 十 月 曲 園 居 士 俞 樾 書 於 吳 江 舟 中 
X25n0506_001:0859b06	金剛般若波羅蜜經上篇	金 剛 般若波羅蜜經 上 篇 
X25n0506_001:0859b08	曲園居士　俞樾　注	曲 園 居 士 俞 樾 注 
X25n0506_001:0859b09	如是我聞。一時佛在舍衛國祇樹給孤獨園。與大比	如是我聞 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 與 大 比 
X25n0506_001:0859b10	邱眾千二百五十人俱。爾時世尊。食時著衣持鉢。入	邱 眾 千二百五十 人 俱 爾 時 世 尊 食 時 著衣持鉢 入 
X25n0506_001:0859b11	舍衛大城乞食。於其城中。次第乞已。還至本處。飯食	舍 衛 大 城 乞 食 於 其 城 中 次 第 乞 已 還 至 本 處 飯 食 
X25n0506_001:0859b12	訖。收衣鉢。洗足已。敷座而坐。時長老須菩提。在大眾	訖 收 衣 鉢 洗 足 已 敷 座 而 坐 時 長 老 須 菩 提 在 大 眾 
X25n0506_001:0859b13	中。即從座起。偏袒右肩。右膝著地。合掌恭敬。而白佛	中 即 從 座 起 偏袒右肩 右膝著地 合掌恭敬 而 白 佛 
X25n0506_001:0859b14	言。希有世尊。如來善護念諸菩薩。善付屬諸菩薩。世	言 希 有 世 尊 如 來 善 護 念 諸 菩 薩 善 付 屬 諸 菩 薩 世 
X25n0506_001:0859b15	尊。善男子善女人發阿耨多羅三藐三菩提心。應云	尊 善 男 子 善 女 人 發 阿耨多羅三藐三菩提 心 應 云 
X25n0506_001:0859b16	何住。(如何能定)云何降伏其心。(如何能空)佛言善哉善哉。須菩	何 住 如 何 能 定 云 何 降 伏 其 心 如 何 能 空 佛 言 善哉善哉 須 菩 
X25n0506_001:0859b17	提。如汝所說。如來善護念諸菩薩。善付屬諸菩薩。汝	提 如 汝 所 說 如 來 善 護 念 諸 菩 薩 善 付 屬 諸 菩 薩 汝 
X25n0506_001:0859b18	今諦聽。當為汝說。善男子善女人發阿耨多羅三藐	今 諦 聽 當 為 汝 說 善 男 子 善 女 人 發 阿 耨 多 羅 三 藐 
X25n0506_001:0859b19	三菩提心。應如是住。如是降伏其心。唯然世尊。願樂	三 菩 提 心 應 如 是 住 如 是 降 伏 其 心 唯 然 世 尊 願 樂 
X25n0506_001:0859b20	欲聞(右第一節)。	欲 聞 右 第 一 節 
X25n0506_001:0859b21	須菩提問。應云何住。云何降伏其心。此心即上	須 菩 提 問 應 云 何 住 云 何 降 伏 其 心 此 心 即 上 
X25n0506_001:0859b22	文所謂阿耨多羅三藐三菩提心也。住者。住此	文 所 謂 阿耨多羅三藐三菩提 心 也 住 者 住 此 
X25n0506_001:0859b23	心。降伏者。降伏此心。非有二心也。能住則能有	心 降 伏 者 降 伏 此 心 非 有 二 心 也 能 住 則 能 有 
X25n0506_001:0859b24	矣。能降伏則能無矣。此一經之大旨也。俗解謂	矣 能 降 伏 則 能 無 矣 此 一 經 之 大 旨 也 俗 解 謂 
X25n0506_001:0859c01	安住真心。降伏妄心。分而二之。全失其旨。	安 住 真 心 降 伏 妄 心 分 而 二 之 全 失 其 旨 
X25n0506_001:0859c02	佛告須菩提。諸菩薩摩訶薩。應如是降伏其心。(不言住省	佛 告 須 菩 提 諸 菩薩摩訶薩 應 如 是 降 伏 其 心 不 言 住 省 
X25n0506_001:0859c03	文也)所有一切眾生之類。若卵生。若胎生。若濕生。若化	文 也 所有一切 眾 生 之 類 若 卵 生 若 胎 生 若 濕 生 若 化 
X25n0506_001:0859c04	生。若有色。若無色。若有想。若無想。若非有想非無想。	生 若 有 色 若 無 色 若 有 想 若 無 想 若 非 有 想 非 無 想 
X25n0506_001:0859c05	我皆令入無餘涅槃。而滅度之。如是滅度無量無數	我 皆 令 入無餘涅槃 而 滅 度 之 如 是 滅 度 無量無數 
X25n0506_001:0859c06	無邊眾生。(此即所謂應如是住)實無眾生得滅度者。(此即所謂應如是降	無 邊 眾 生 此 即 所 謂 應 如 是 住 實 無 眾 生 得滅度者 此 即 所 謂 應 如 是 降 
X25n0506_001:0859c07	伏)何以故。須菩提。若菩薩有我相人相眾生相壽者	伏 何 以 故 須 菩 提 若 菩 薩 有 我 相 人 相 眾 生 相 壽 者 
X25n0506_001:0859c08	相。則非菩薩(右第二節)。	相 則 非 菩 薩 右 第 二 節 
X25n0506_001:0859c09	舊解謂此節佛先告須菩提。以應如是降伏非	舊 解 謂 此 節 佛 先 告 須 菩 提 以 應 如 是 降 伏 非 
X25n0506_001:0859c10	也。下篇云。爾時須菩提白佛言。世尊。善男子善	也 下 篇 云 爾 時 須 菩 提 白 佛 言 世 尊 善 男 子 善 
X25n0506_001:0859c11	女人發阿耨多羅三藐三菩提心。云何應住。云	女 人 發 阿耨多羅三藐三菩提 心 云 何 應 住 云 
X25n0506_001:0859c12	何降伏其心。佛告須菩提。善男子善女人發阿	何 降 伏 其 心 佛 告 須 菩 提 善 男 子 善 女 人 發 阿 
X25n0506_001:0859c13	耨多羅三藐三菩提心者。當生如是心。我應滅	耨 多 羅 三藐三菩提 心 者 當 生如是心 我 應 滅 
X25n0506_001:0859c14	度一切眾生。滅度一切眾生已。而無有一眾生	度 一 切 眾 生 滅 度 一 切 眾 生 已 而 無 有 一 眾 生 
X25n0506_001:0859c15	實滅度者云云。正複舉此文。而住與降伏。並不	實 滅 度 者 云 云 正 複 舉 此 文 而 住 與 降 伏 並 不 
X25n0506_001:0859c16	分別言之。然則此文亦必不分別言之矣。經言	分 別 言 之 然 則 此 文 亦 必 不 分 別 言 之 矣 經 言 
X25n0506_001:0859c17	應如是降伏其心。不言應如是住。蓋文不具耳。	應 如 是 降 伏 其 心 不 言 應 如 是 住 蓋 文 不 具 耳 
X25n0506_001:0859c18	此所據者。鳩摩羅什本。其餘各本。文字不同上	此 所 據 者 鳩 摩 羅 什 本 其 餘 各 本 文 字 不 同 上 
X25n0506_001:0859c19	文問語。魏留支本。陳真諦大唐元奘本。唐義淨	文 問 語 魏 留 支 本 陳 真 諦 大 唐 元 奘 本 唐 義 淨 
X25n0506_001:0859c20	本。並有云何修行四字。故說者以住修降伏為	本 並 有 云 何 修 行 四 字 故 說 者 以 住 修 降 伏 為 
X25n0506_001:0859c21	三義。而願樂欲聞之下。佛不再複舉上文。可知	三 義 而 願 樂 欲 聞 之 下 佛 不 再 複 舉 上 文 可 知 
X25n0506_001:0859c22	佛言發明大義。初不一一分別。羅什本乃有應	佛 言 發 明 大 義 初 不 一 一 分 別 羅 什 本 乃 有 應 
X25n0506_001:0859c23	如是降伏其心一語。轉使佛言有所偏著矣。今	如 是 降 伏 其 心 一 語 轉 使 佛 言 有 所 偏 著 矣 今 
X25n0506_001:0859c24	姑以為省文。實則此七字。乃衍文耳。以下篇證	姑 以 為 省 文 實 則 此 七 字 乃 衍 文 耳 以 下 篇 證 
X25n0506_001:0860a01	之。可知其無。以各本證之。亦可知其無也。所以	之 可 知 其 無 以 各 本 證 之 亦 可 知 其 無 也 所 以 
X25n0506_001:0860a02	然者。即住即降伏。本無二侯。又何從分別言之	然 者 即 住 即 降 伏 本 無 二 侯 又 何 從 分 別 言 之 
X25n0506_001:0860a03	乎。其即住即降伏之法。不外無我而已。故曰。通	乎 其 即 住 即 降 伏 之 法 不 外 無 我 而 已 故 曰 通 
X25n0506_001:0860a04	達無我法者真是菩薩也。有我則有人。有我有	達 無 我 法 者 真 是 菩 薩 也 有 我 則 有 人 有 我 有 
X25n0506_001:0860a05	人則有好醜。故以我人眾壽該之。眾生相壽者	人 則 有 好 醜 故 以 我 人 眾 壽 該 之 眾 生 相 壽 者 
X25n0506_001:0860a06	相。猶言醜相好相耳。滅度眾生非義所重。借以	相 猶 言 醜 相 好 相 耳 滅 度 眾 生 非 義 所 重 借 以 
X25n0506_001:0860a07	為言。如孔子言。志曰。老者安之。朋友信之。少者	為 言 如 孔 子 言 志 曰 老 者 安 之 朋 友 信 之 少 者 
X25n0506_001:0860a08	懷之。亦是借以為言也。蓋心本空虗。因事而見。	懷 之 亦 是 借 以 為 言 也 蓋 心 本 空 虗 因 事 而 見 
X25n0506_001:0860a09	故此言滅度。下言布施。其義一也。若卵生若胎	故 此 言 滅 度 下 言 布 施 其 義 一 也 若 卵 生 若 胎 
X25n0506_001:0860a10	生以下。止是廣陳。眾生見其無量無數無邊。初	生 以 下 止 是 廣 陳 眾 生 見 其 無量無數 無 邊 初 
X25n0506_001:0860a11	無深義。而解者乃謂胎卵濕化。皆以喻心也。支	無 深 義 而 解 者 乃 謂 胎 卵 濕 化 皆 以 喻 心 也 支 
X25n0506_001:0860a12	辭曲說。求深而反淺矣。	辭 曲 說 求 深 而 反 淺 矣 
X25n0506_001:0860a13	復次須菩提。菩薩於法應無所住。行於布施。所謂不	復 次 須 菩 提 菩 薩 於 法 應 無 所 住 行 於 布 施 所 謂 不 
X25n0506_001:0860a14	住色布施。不住聲香味觸法布施。須菩提。菩薩應如	住 色 布 施 不 住 聲香味觸 法 布 施 須 菩 提 菩 薩 應 如 
X25n0506_001:0860a15	是布施。不住於相。	是 布 施 不 住 於 相 
X25n0506_001:0860a16	何以故。若菩薩不住相布施。其福德不可思量。須	何 以 故 若 菩 薩 不 住 相 布 施 其 福 德 不 可 思 量 須 
X25n0506_001:0860a17	菩提。於意云何。東方虗空可思量不。不也世尊。須	菩 提 於意云何 東 方 虗 空 可 思 量 不 不 也 世 尊 須 
X25n0506_001:0860a18	菩提。南西北方四維上下虗空。可思量不。不也世	菩 提 南 西 北 方 四 維 上 下 虗 空 可 思 量 不 不 也 世 
X25n0506_001:0860a19	尊。須菩提。菩薩無住相布施。福德亦復如是。不可	尊 須 菩 提 菩 薩 無 住 相 布 施 福 德 亦復如是 不 可 
X25n0506_001:0860a20	思量。	思 量 
X25n0506_001:0860a21	須菩提。菩薩但應如所教住(右第三節)。	須 菩 提 菩 薩 但 應 如 所 教 住 右 第 三 節 
X25n0506_001:0860a22	須菩提問。應云何住。而佛告以應無所住者。若	須 菩 提 問 應 云 何 住 而 佛 告 以 應 無 所 住 者 若 
X25n0506_001:0860a23	心有住。則為非住。故以不住為住。即住即降伏	心 有 住 則 為 非 住 故 以 不 住 為 住 即 住 即 降 伏 
X25n0506_001:0860a24	也。上文以滅度言。既明菩薩之無我人眾壽諸	也 上 文 以 滅 度 言 既 明 菩 薩 之 無 我 人 眾 壽 諸 
X25n0506_001:0860b01	相矣。此又以布施言。而緒之曰不住於相。不住	相 矣 此 又 以 布 施 言 而 緒 之 曰 不 住 於 相 不 住 
X25n0506_001:0860b02	於相。是以無相也。皆佛告須菩提。以即住即降	於 相 是 以 無 相 也 皆 佛 告 須 菩 提 以 即 住 即 降 
X25n0506_001:0860b03	伏之旨也。故曰。菩薩但應如所教住。苟不如所	伏 之 旨 也 故 曰 菩 薩 但 應 如 所 教 住 苟 不 如 所 
X25n0506_001:0860b04	教住。則為凡夫之貪著矣。舊解。以上節為佛告	教 住 則 為 凡 夫 之 貪 著 矣 舊 解 以 上 節 為 佛 告 
X25n0506_001:0860b05	須菩提。以應如是降伏。此節為佛告須菩提。以	須 菩 提 以 應 如 是 降 伏 此 節 為 佛 告 須 菩 提 以 
X25n0506_001:0860b06	應如是住佛果。分別言之。則應順其問之。次序	應 如 是 住 佛 果 分 別 言 之 則 應 順 其 問 之 次 序 
X25n0506_001:0860b07	何以先降伏而後住乎。	何 以 先 降 伏 而 後 住 乎 
X25n0506_001:0860b08	須菩提。於意云何。可以身相見如來不。不也世尊。不	須 菩 提 於意云何 可 以 身 相 見 如 來 不 不 也 世 尊 不 
X25n0506_001:0860b09	可以身相得見如來。何以故。如來所說身相。即非身	可 以 身 相 得 見 如 來 何 以 故 如 來 所 說 身 相 即 非 身 
X25n0506_001:0860b10	相。(色即空也)佛告須菩提。凡所有相。皆是虗妄。若見諸相	相 色 即 空 也 佛 告 須 菩 提 凡 所 有 相 皆 是 虗 妄 若 見 諸 相 
X25n0506_001:0860b11	非相。即見如來。	非 相 即 見 如 來 
X25n0506_001:0860b12	須菩提白佛言。世尊。頗有眾生。得聞如是言說章	須 菩 提 白 佛 言 世 尊 頗 有 眾 生 得 聞 如 是 言 說 章 
X25n0506_001:0860b13	句。生實信不。佛告須菩提。莫作是說。如來滅後後	句 生 實 信 不 佛 告 須 菩 提 莫 作 是 說 如來滅後 後 
X25n0506_001:0860b14	五百歲。有持戒修福者。於此章句。能生信心。以此	五 百 歲 有 持 戒 修 福 者 於 此 章 句 能 生 信 心 以 此 
X25n0506_001:0860b15	為實。當知是人。不於一佛二佛三四五佛。而種善	為 實 當 知 是 人 不 於 一 佛 二 佛 三 四 五 佛 而 種 善 
X25n0506_001:0860b16	根。已於無量千萬佛所。種諸善根。聞是章句。乃至	根 已 於 無 量 千 萬 佛 所 種 諸 善 根 聞 是 章 句 乃 至 
X25n0506_001:0860b17	一念生淨信者。須菩提。如來悉知悉見是諸眾生。	一 念 生 淨 信 者 須 菩 提 如 來 悉 知 悉 見 是 諸 眾 生 
X25n0506_001:0860b18	得如是無量福德。	得 如 是 無量福德 
X25n0506_001:0860b19	何以故。是諸眾生(四字衍)無復我相人相眾生相壽者	何 以 故 是 諸 眾 生 四 字 衍 無 復 我 相 人 相 眾 生 相 壽 者 
X25n0506_001:0860b20	相。無法相。亦無非法相。(即上所云諸相非相也)何以故。是諸眾	相 無 法 相 亦 無 非 法 相 即 上 所 云 諸 相 非 相 也 何 以 故 是 諸 眾 
X25n0506_001:0860b21	生。(四字衍)若心取相。則為著我人眾生壽者。(凡所有相皆從心生)	生 四 字 衍 若 心 取 相 則 為 著 我 人 眾 生 壽 者 凡 所 有 相 皆 從 心 生 
X25n0506_001:0860b22	若取法相。即著我人眾生壽者。(執有固有也)何以故(三字衍)	若 取 法 相 即 著 我 人 眾 生 壽 者 執 有 固 有 也 何 以 故 三 字 衍 
X25n0506_001:0860b23	若取非法相。即著我人眾生壽者(執無亦有也)是故不應	若 取 非 法 相 即 著 我 人 眾 生 壽 者 執 無 亦 有 也 是 故 不 應 
X25n0506_001:0860b24	取法。不應取非法。以是義故。如來常說。汝等比邱。知	取 法 不 應 取 非 法 以是義故 如 來 常 說 汝 等 比 邱 知 
X25n0506_001:0860c01	我說法。如筏喻者。法尚應捨。何況非法(右第四節)。	我 說 法 如 筏 喻 者 法 尚 應 捨 何 況 非 法 右 第 四 節 
X25n0506_001:0860c02	此因不住於相。而極言之。至於法相非法相。皆	此 因 不 住 於 相 而 極 言 之 至 於 法 相 非 法 相 皆 
X25n0506_001:0860c03	不可有。乃至法亦不可有。故以法尚應捨終焉。	不 可 有 乃 至 法 亦 不 可 有 故 以 法 尚 應 捨 終 焉 
X25n0506_001:0860c04	法者應如是住也。捨者應如是降伏也。	法 者 應 如 是 住 也 捨 者 應 如 是 降 伏 也 
X25n0506_001:0860c05	須菩提。於意云何。如來得阿耨多羅三藐三菩提耶。	須 菩 提 於意云何 如 來 得阿耨多羅三藐三菩提 耶 
X25n0506_001:0860c06	如來有所說法耶。須菩提。言如我解。佛所說義。無有	如 來 有 所 說 法 耶 須 菩 提 言 如 我 解 佛 所 說 義 無 有 
X25n0506_001:0860c07	定法名阿耨多羅三藐三菩提。亦無有定如來可說。	定 法 名 阿耨多羅三藐三菩提 亦 無 有 定 如 來 可 說 
X25n0506_001:0860c08	(住則定矣。即住即降伏。故無定)何以故。如來所說法。皆不可取。(以無有定	 住 則 定 矣 即 住 即 降 伏 故 無 定 何 以 故 如 來 所 說 法 皆 不 可 取 以 無 有 定 
X25n0506_001:0860c09	法故)不可說。(以無所得故)非法(無實)非非法。(無虗)所以者何。一切	法 故 不 可 說 以 無 所 得 故 非 法 無 實 非 非 法 無 虗 所以者何 一 切 
X25n0506_001:0860c10	賢聖。皆以無為法。而有差別(一切賢聖包下文須陀洹以上而言。自初果須	賢 聖 皆 以 無 為 法 而有差別 一 切 賢 聖 包 下 文 須 陀 洹 以 上 而 言 自 初 果 須 
X25n0506_001:0860c11	陀洹。以至於成佛。同一以無為法而有區別。下文具陳之)。	陀 洹 以 至 於 成 佛 同 一 以 無 為 法 而 有 區 別 下 文 具 陳 之 
X25n0506_001:0860c12	須菩提。於意云何。若人滿三千大千世界七寶。以	須 菩 提 於意云何 若 人 滿 三千大千世界 七 寶 以 
X25n0506_001:0860c13	用布施。是人所得福德。寧為多不。須菩提言。甚多	用 布 施 是 人 所 得 福 德 寧 為 多 不 須 菩 提 言 甚 多 
X25n0506_001:0860c14	世尊。何以故。是福德即非福德性。是故如來說福	世 尊 何 以 故 是 福 德 即 非 福 德 性 是 故 如 來 說 福 
X25n0506_001:0860c15	德多。若復有人。於此經中。受持乃至四句偈等。為	德 多 若 復 有 人 於 此 經 中 受 持 乃 至 四 句 偈 等 為 
X25n0506_001:0860c16	他人說。其德勝彼。何以故。須菩提。一切諸佛及諸	他 人 說 其 德 勝 彼 何 以 故 須 菩 提 一切諸佛 及 諸 
X25n0506_001:0860c17	佛阿耨多羅三藐三菩提法。皆從此經出。	佛 阿耨多羅三藐三菩提 法 皆 從 此 經 出 
X25n0506_001:0860c18	須菩提。所謂佛法者。即非佛法。(須陀洹以至於佛。皆是佛法。皆非佛法。佛	須 菩 提 所 謂 佛 法 者 即 非 佛 法 須 陀 洹 以 至 於 佛 皆 是 佛 法 皆 非 佛 法 佛 
X25n0506_001:0860c19	言此以啟發須菩提。而起下文也)須菩提。於意云何。須陀洹能作是	言 此 以 啟 發 須 菩 提 而 起 下 文 也 須 菩 提 於意云何 須 陀 洹 能 作 是 
X25n0506_001:0860c20	念。我得須陀洹果不。須菩提言。不也世尊。何以故。須	念 我 得 須陀洹果 不 須 菩 提 言 不 也 世 尊 何 以 故 須 
