T48n2012A_001:0379b23	斷際心要	斷 際 心 要 
T48n2012A_001:0380a14	許法可得。即心是佛。如今學道人。不悟此心	許 法 可 得 即 心 是 佛 如 今 學 道 人 不 悟 此 心 
T48n2012A_001:0380a15	體。便於心上生心。向外求佛。著相修行。皆是	體 便 於 心 上 生 心 向 外 求 佛 著 相 修 行 皆 是 
T48n2012A_001:0380a16	惡法。非菩提道。供養十方諸佛。不如供養一	惡 法 非 菩 提 道 供 養 十方諸佛 不 如 供 養 一 
T48n2012A_001:0380a17	個無心道人。何故。無心者無一切心也。如如	個 無 心 道 人 何 故 無 心 者 無 一 切 心 也 如 如 
T48n2012A_001:0380a18	之體。內如木石不動不搖。外如虛空不塞不	之 體 內 如 木 石 不 動 不 搖 外 如 虛 空 不 塞 不 
T48n2012A_001:0380a19	礙。無能所無方所。無相貌無得失。趨者不敢	礙 無 能 所 無 方 所 無 相 貌 無 得 失 趨 者 不 敢 
T48n2012A_001:0380a20	入此法。恐落空無棲泊處故。望崖而退。例皆	入 此 法 恐 落 空 無 棲 泊 處 故 望 崖 而 退 例 皆 
T48n2012A_001:0380a21	廣求知見。所以求知見者如毛。悟道者如角。	廣 求 知 見 所 以 求 知 見 者 如 毛 悟 道 者 如 角 
T48n2012A_001:0380a22	文殊當理。普賢當行。理者真空無礙之理。行	文 殊 當 理 普 賢 當 行 理 者 真 空 無 礙 之 理 行 
T48n2012A_001:0380a23	者離相無盡之行。觀音當大慈。勢至當大智。	者 離 相 無 盡 之 行 觀 音 當 大 慈 勢 至 當 大 智 
T48n2012A_001:0380a24	維摩者淨名也。淨者性也。名者相也。性相不	維 摩 者 淨 名 也 淨 者 性 也 名 者 相 也 性 相 不 
T48n2012A_001:0380a25	異。故號淨名。諸大菩薩所表者人皆有之。不	異 故 號 淨 名 諸 大 菩 薩 所 表 者 人 皆 有 之 不 
T48n2012A_001:0380a26	離一心悟之即是。今學道人。不向自心中悟。	離 一 心 悟 之 即 是 今 學 道 人 不 向 自 心 中 悟 
T48n2012A_001:0380a27	乃於心外著相取境。皆與道背。恒河沙者。佛	乃 於 心 外 著 相 取 境 皆 與 道 背 恒 河 沙 者 佛 
T48n2012A_001:0380a28	說是沙。諸佛菩薩釋梵諸天步履而過。沙亦	說 是 沙 諸佛菩薩 釋 梵 諸 天 步 履 而 過 沙 亦 
T48n2012A_001:0380a29	不喜。牛羊蟲蟻踐踏而行。沙亦不怒。珍寶馨	不 喜 牛 羊 蟲 蟻 踐 踏 而 行 沙 亦 不 怒 珍 寶 馨 
T48n2012A_001:0380b01	香沙亦不貪。糞尿臭穢沙亦不惡。此心即無	香 沙 亦 不 貪 糞 尿 臭 穢 沙 亦 不 惡 此 心 即 無 
T48n2012A_001:0380b02	心之心。離一切相。眾生諸佛更無差別。但能	心 之 心 離一切相 眾 生 諸 佛 更 無 差 別 但 能 
T48n2012A_001:0380b03	無心。便是究竟。學道人若不直下無心。累劫	無 心 便 是 究 竟 學 道 人 若 不 直 下 無 心 累 劫 
T48n2012A_001:0380b04	修行終不成道。被三乘功行拘繫不得解脫。	修 行 終 不 成 道 被 三 乘 功 行 拘 繫 不得解脫 
T48n2012A_001:0380b05	然證此心有遲疾。有聞法一念便得無心者。	然 證 此 心 有 遲 疾 有 聞 法 一 念 便 得 無 心 者 
T48n2012A_001:0380b06	有至十信十住十行十迴向乃得無心者。長	有 至 十 信 十 住 十 行 十 迴 向 乃 得 無 心 者 長 
T48n2012A_001:0380b07	短得無心乃住。更無可修可證。實無所得。	短 得 無 心 乃 住 更 無 可 修 可 證 實 無 所 得 
T48n2012A_001:0380b08	真實不虛。一念而得。與十地而得者。功用恰	真 實 不 虛 一 念 而 得 與 十 地 而 得 者 功 用 恰 
T48n2012A_001:0380b09	齊。更無深淺。秖是歷劫枉受辛勤耳。造惡	齊 更 無 深 淺 秖 是 歷 劫 枉 受 辛 勤 耳 造 惡 
T48n2012A_001:0380b10	造善皆是著相。著相造惡枉受輪迴。著相造	造 善 皆 是 著 相 著 相 造 惡 枉 受 輪 迴 著 相 造 
T48n2012A_001:0380b11	善枉受勞苦。總不如言下便自認取本法。此	善 枉 受 勞 苦 總 不 如 言 下 便 自 認 取 本 法 此 
T48n2012A_001:0380b12	法即心。心外無法。此心即法。法外無心。心自	法 即 心 心 外 無 法 此 心 即 法 法 外 無 心 心 自 
T48n2012A_001:0380b13	無心。亦無無心者。將心無心。心却成有。默契	無 心 亦 無 無 心 者 將 心 無 心 心 却 成 有 默 契 
T48n2012A_001:0380b14	而已。絕諸思議。故曰言語道斷心行處滅。此	而 已 絕 諸 思 議 故 曰 言語道斷 心行處滅 此 
T48n2012A_001:0380b15	心是本源清淨佛。人皆有之。蠢動含靈與諸	心 是 本 源 清 淨 佛 人 皆 有 之 蠢 動 含 靈 與 諸 
T48n2012A_001:0380b16	佛菩薩一體不異。秖為妄想分別造種種業	佛 菩 薩 一 體 不 異 秖 為 妄想分別 造 種 種 業 
T48n2012A_001:0380b17	果。本佛上實無一物。虛通寂靜。明妙安樂而	果 本 佛 上 實 無 一 物 虛 通 寂 靜 明 妙 安 樂 而 
T48n2012A_001:0380b18	已。深自悟入。直下便是。圓滿具足更無所欠。	已 深 自 悟 入 直 下 便 是 圓 滿 具 足 更 無 所 欠 
T48n2012A_001:0380b19	縱使三秖精進修行歷諸地位。及一念證時。	縱 使 三 秖 精 進 修 行 歷 諸 地 位 及 一 念 證 時 
T48n2012A_001:0380b20	秖證元來自佛。向上更不添得一物。却觀歷	秖 證 元 來 自 佛 向 上 更 不 添 得 一 物 却 觀 歷 
T48n2012A_001:0380b21	劫功用。總是夢中妄為。故如來云。我於阿耨	劫 功 用 總 是 夢 中 妄 為 故 如 來 云 我 於 阿 耨 
T48n2012A_001:0380b22	菩提實無所得。若有所得。然燈佛則不與我	菩 提 實 無 所 得 若 有 所 得 然 燈 佛 則 不 與 我 
T48n2012A_001:0380b23	授記。又云。是法平等。無有高下。是名菩提。	授 記 又 云 是 法 平 等 無有高下 是 名 菩 提 
T48n2012A_001:0380b24	即此本源清淨心。與眾生諸佛世界山河。有	即 此 本 源 清 淨 心 與 眾 生 諸 佛 世 界 山 河 有 
T48n2012A_001:0380b25	相無相遍十方界。一切平等無彼我相。此本	相 無 相 遍 十 方 界 一切平等 無 彼 我 相 此 本 
T48n2012A_001:0380b26	源清淨心。常自圓明遍照。世人不悟。秖認見	源 清 淨 心 常 自 圓 明 遍 照 世 人 不 悟 秖 認 見 
T48n2012A_001:0380b27	聞覺知為心。為見聞覺知所覆。所以不覩精	聞 覺 知 為 心 為 見聞覺知 所 覆 所 以 不 覩 精 
T48n2012A_001:0380b28	明本體。但直下無心。本體自現。如大日輪昇	明 本 體 但 直 下 無 心 本 體 自 現 如 大 日 輪 昇 
T48n2012A_001:0380b29	於虛空遍照十方更無障礙。故學道人唯認	於 虛 空 遍照十方 更 無 障 礙 故 學 道 人 唯 認 
T48n2012A_001:0380c01	見聞覺知施為動作。空却見聞覺知。即心路	見聞覺知 施 為 動 作 空 却 見聞覺知 即 心 路 
T48n2012A_001:0380c02	絕無入處。但於見聞覺知處認本心。然本心	絕 無 入 處 但 於 見聞覺知 處 認 本 心 然 本 心 
T48n2012A_001:0380c03	不屬見聞覺知。亦不離見聞覺知。但莫於見	不 屬 見聞覺知 亦 不 離 見聞覺知 但 莫 於 見 
T48n2012A_001:0380c04	聞覺者上起見解。亦莫於見聞覺知上動	聞 覺 者 上 起 見 解 亦 莫 於 見聞覺知 上 動 
T48n2012A_001:0380c05	念。亦莫離見聞覺知覓心。亦莫捨見聞覺知	念 亦 莫 離 見聞覺知 覓 心 亦 莫 捨 見聞覺知 
T48n2012A_001:0380c06	取法。不即不離。不住不著。縱橫自在無非道	取 法 不 即 不 離 不 住 不 著 縱 橫 自 在 無 非 道 
T48n2012A_001:0380c07	場。世人聞道。諸佛皆傳心法。將謂心上別有	場 世 人 聞 道 諸 佛 皆 傳 心 法 將 謂 心 上 別 有 
T48n2012A_001:0380c08	一法可證可取。遂將心覓法。不知心即是法	一 法 可 證 可 取 遂 將 心 覓 法 不 知 心 即 是 法 
T48n2012A_001:0380c09	法即是心。不可將心更求於心。歷千萬劫終	法 即 是 心 不 可 將 心 更 求 於 心 歷 千 萬 劫 終 
T48n2012A_001:0380c10	無得日。不如當下無心。便是本法。如力士迷	無 得 日 不 如 當 下 無 心 便 是 本 法 如 力 士 迷 
T48n2012A_001:0380c11	額內珠向外求覓。周行十方終不能得。智者	額 內 珠 向 外 求 覓 周 行 十 方 終 不 能 得 智 者 
T48n2012A_001:0380c12	指之當時自見本珠如故。故學道人迷自本	指 之 當 時 自 見 本 珠 如 故 故 學 道 人 迷 自 本 
T48n2012A_001:0380c13	心不認為佛。遂向外求覓起功用行。依次第	心 不 認 為 佛 遂 向 外 求 覓 起 功 用 行 依 次 第 
T48n2012A_001:0380c14	證。歷劫勤求永不成道。不如當下無心。決定	證 歷 劫 勤 求 永 不 成 道 不 如 當 下 無 心 決 定 
T48n2012A_001:0380c15	知一切法。本無所有亦無所得。無依無住。無	知一切法 本 無 所 有 亦 無 所 得 無 依 無 住 無 
T48n2012A_001:0380c16	能無所。不動妄念便證菩提。及證道時秖證	能 無 所 不 動 妄 念 便 證 菩 提 及 證 道 時 秖 證 
T48n2012A_001:0380c17	本心佛。歷劫功用並是虛修。如力士得珠時。	本 心 佛 歷 劫 功 用 並 是 虛 修 如 力 士 得 珠 時 
T48n2012A_001:0380c18	秖得本額珠。不關向外求覓之力。故佛言。我	秖 得 本 額 珠 不 關 向 外 求 覓 之 力 故 佛 言 我 
T48n2012A_001:0380c19	於阿耨菩提實無所得。恐人不信故引五眼	於 阿耨菩提 實 無 所 得 恐 人 不 信 故 引 五 眼 
T48n2012A_001:0380c20	所見五語所言。真實不虛是第一義諦。	所 見 五 語 所 言 真 實 不 虛 是 第一義諦 
T48n2012A_001:0380c21	學道人莫疑四大為身。四大無我。我亦無主。	學 道 人 莫 疑 四 大 為 身 四 大 無 我 我 亦 無 主 
T48n2012A_001:0380c22	故知此身無我亦無主。五陰為心。五陰無我	故 知 此 身 無 我 亦 無 主 五 陰 為 心 五 陰 無 我 
T48n2012A_001:0380c23	亦無主。故知此心無我亦無主。六根六塵六	亦 無 主 故 知 此 心 無 我 亦 無 主 六 根 六 塵 六 
T48n2012A_001:0380c24	識和合生滅亦復如是。十八界既空。一切皆	識 和 合 生 滅 亦復如是 十 八 界 既 空 一 切 皆 
T48n2012A_001:0380c25	空。唯有本心蕩然清淨。有識食有智食。四大	空 唯 有 本 心 蕩 然 清 淨 有 識 食 有 智 食 四 大 
T48n2012A_001:0380c26	之身飢瘡為患。隨順給養不生貪著。謂之智	之 身 飢 瘡 為 患 隨 順 給 養 不 生 貪 著 謂 之 智 
T48n2012A_001:0380c27	食。恣情取味妄生分別。惟求適口不生厭	食 恣 情 取 味 妄 生 分 別 惟 求 適 口 不 生 厭 
T48n2012A_001:0380c28	離。謂之識食。聲聞者。因聲得悟。故謂之聲	離 謂 之 識 食 聲 聞 者 因 聲 得 悟 故 謂 之 聲 
T48n2012A_001:0380c29	聞。但不了自心。於聲教上起解。或因神通。或	聞 但 不 了 自 心 於 聲 教 上 起 解 或 因 神 通 或 
T48n2012A_001:0381a01	因瑞相。言語運動。聞有菩提涅槃三僧秖劫	因 瑞 相 言 語 運 動 聞 有 菩 提 涅 槃 三 僧 秖 劫 
T48n2012A_001:0381a02	修成佛道。皆屬聲聞道。謂之聲聞佛。唯直下	修 成 佛 道 皆 屬 聲 聞 道 謂 之 聲 聞 佛 唯 直 下 
T48n2012A_001:0381a03	頓了自心。本來是佛。無一法可得。無一行可	頓 了 自 心 本 來 是 佛 無 一 法 可 得 無 一 行 可 
T48n2012A_001:0381a04	修。此是無上道。此是真如佛。學道人。秖怕一	修 此 是 無 上 道 此 是 真 如 佛 學 道 人 秖 怕 一 
T48n2012A_001:0381a05	念有。即與道隔矣。念念無相念念無為。即是	念 有 即 與 道 隔 矣 念 念 無 相 念 念 無 為 即 是 
T48n2012A_001:0381a06	佛。學道人若欲得成佛。一切佛法總不用學。	佛 學 道 人 若 欲 得 成 佛 一切佛法 總 不 用 學 
T48n2012A_001:0381a07	唯學無求無著。無求即心不生。無著即心不	唯 學 無 求 無 著 無 求 即 心 不 生 無 著 即 心 不 
T48n2012A_001:0381a08	滅。不生不滅即是佛。八萬四千法門對八萬	滅 不生不滅 即 是 佛 八萬四千法門 對 八 萬 
T48n2012A_001:0381a09	四千煩惱。秖是教化接引門。本無一切法。離	四 千 煩 惱 秖 是 教 化 接 引 門 本 無 一 切 法 離 
T48n2012A_001:0381a10	即是法。知離者是佛。但離一切煩惱。是無法	即 是 法 知 離 者 是 佛 但 離 一切煩惱 是 無 法 
T48n2012A_001:0381a11	可得。學道人若欲得知要訣。但莫於心上著	可 得 學 道 人 若 欲 得 知 要 訣 但 莫 於 心 上 著 
T48n2012A_001:0381a12	一物。言佛真法身猶若虛空。此是喻法身即	一 物 言 佛 真 法 身 猶 若 虛 空 此 是 喻 法 身 即 
T48n2012A_001:0381a13	虛空。虛空即法身。常人謂法身遍虛空處。虛	虛 空 虛 空 即 法 身 常 人 謂 法 身 遍 虛 空 處 虛 
T48n2012A_001:0381a14	空中含容法身。不知法身即虛空虛空即法	空 中 含 容 法 身 不 知 法 身 即 虛 空 虛 空 即 法 
T48n2012A_001:0381a15	身也。若定言有虛空。虛空不是法身。若定言	身 也 若 定 言 有 虛 空 虛 空 不 是 法 身 若 定 言 
T48n2012A_001:0381a16	有法身。法身不是虛空。但莫作虛空解。虛空	有 法 身 法 身 不 是 虛 空 但 莫 作 虛 空 解 虛 空 
T48n2012A_001:0381a17	即法身。莫作法身解。法身即虛空。虛空與法	即 法 身 莫 作 法 身 解 法 身 即 虛 空 虛 空 與 法 
T48n2012A_001:0381a18	身無異相。佛與眾生無異相。生死與涅槃無	身 無 異 相 佛 與 眾 生 無 異 相 生 死 與 涅 槃 無 
T48n2012A_001:0381a19	異相。煩惱與菩提無異相。離一切相即是佛。	異 相 煩 惱 與 菩 提 無 異 相 離一切相 即 是 佛 
T48n2012A_001:0381a20	凡夫取境。道人取心。心境雙忘乃是真法。	凡 夫 取 境 道 人 取 心 心 境 雙 忘 乃 是 真 法 
T48n2012A_001:0381a21	忘境猶易忘心至難。人不敢忘心。恐落空無	忘 境 猶 易 忘 心 至 難 人 不 敢 忘 心 恐 落 空 無 
T48n2012A_001:0381a22	撈摸處。不知空本無空。唯一真法界耳。此靈	撈 摸 處 不 知 空 本 無 空 唯 一 真 法 界 耳 此 靈 
T48n2012A_001:0381a23	覺性無始已來與虛空同壽。未曾生未曾滅。	覺 性 無始已來 與 虛 空 同 壽 未 曾 生 未 曾 滅 
T48n2012A_001:0381a24	未曾有未曾無。未曾穢未曾淨。未曾喧未曾	未 曾 有 未 曾 無 未 曾 穢 未 曾 淨 未 曾 喧 未 曾 
T48n2012A_001:0381a25	寂。未曾少未曾老。無方所無內外。無數量無	寂 未 曾 少 未 曾 老 無 方 所 無 內 外 無 數 量 無 
T48n2012A_001:0381a26	形相。無色像無音聲。不可覓不可求。不可	形 相 無 色 像 無 音 聲 不 可 覓 不 可 求 不 可 
T48n2012A_001:0381a27	以智慧識。不可以言語取。不可以境物會。不	以 智 慧 識 不 可 以 言 語 取 不 可 以 境 物 會 不 
T48n2012A_001:0381a28	可以功用到。諸佛菩薩與一切蠢動含靈。同	可 以 功 用 到 諸佛菩薩 與 一 切 蠢 動 含 靈 同 
T48n2012A_001:0381a29	此大涅槃性。性即是心。心即是佛。佛即是法。	此 大 涅 槃 性 性 即 是 心 心 即 是 佛 佛 即 是 法 
T48n2012A_001:0381b01	一念離真皆為妄想。不可以心更求于心。不	一 念 離 真 皆 為 妄 想 不 可 以 心 更 求 于 心 不 
T48n2012A_001:0381b02	可以佛更求於佛。不可以法更求於法。故學	可 以 佛 更 求 於 佛 不 可 以 法 更 求 於 法 故 學 
T48n2012A_001:0381b03	道人直下無心默契而已。擬心即差。以心傳	道 人 直 下 無 心 默 契 而 已 擬 心 即 差 以 心 傳 
T48n2012A_001:0381b04	心此為正見。慎勿向外逐境。認境為心。是認	心 此 為 正 見 慎 勿 向 外 逐 境 認 境 為 心 是 認 
T48n2012A_001:0381b05	賊為子。為有貪嗔癡即立戒定慧。本無煩惱	賊 為 子 為 有 貪 嗔 癡 即 立 戒 定 慧 本 無 煩 惱 
T48n2012A_001:0381b06	焉有菩提。故祖師云。佛說一切法。為除一切	焉 有 菩 提 故 祖 師 云 佛 說 一 切 法 為 除 一 切 
T48n2012A_001:0381b07	心。我無一切心。何用一切法。本源清淨佛上。	心 我 無 一 切 心 何 用 一 切 法 本 源 清 淨 佛 上 
T48n2012A_001:0381b08	更不著一物。譬如虛空雖以無量珍寶莊嚴	更 不 著 一 物 譬 如 虛 空 雖 以 無 量 珍 寶 莊 嚴 
T48n2012A_001:0381b09	終不能住。佛性同虛空。雖以無量功德智慧	終 不 能 住 佛 性 同 虛 空 雖 以 無量功德 智 慧 
T48n2012A_001:0381b10	莊嚴終不能住。但迷本性轉不見耳。所謂心	莊 嚴 終 不 能 住 但 迷 本 性 轉 不 見 耳 所 謂 心 
T48n2012A_001:0381b11	地法門。萬法皆依此心建立。遇境即有無境	地 法 門 萬 法 皆 依 此 心 建 立 遇 境 即 有 無 境 
T48n2012A_001:0381b12	即無。不可於淨性上轉作境解。所言定慧。鑑	即 無 不 可 於 淨 性 上 轉 作 境 解 所 言 定 慧 鑑 
T48n2012A_001:0381b13	用歷歷。寂寂惺惺見聞覺知。皆是境上作解。	用 歷 歷 寂 寂 惺 惺 見聞覺知 皆 是 境 上 作 解 
T48n2012A_001:0381b14	暫為中下根人說即得。若欲親證皆不可作	暫 為 中 下 根 人 說 即 得 若 欲 親 證 皆 不 可 作 
T48n2012A_001:0381b15	如此見解。盡是境法有沒處沒於有地。但於	如 此 見 解 盡 是 境 法 有 沒 處 沒 於 有 地 但 於 
T48n2012A_001:0381b16	一切法不作有無見。即見法也。	一 切 法 不 作 有 無 見 即 見 法 也 
T48n2012A_001:0381b17	九月一日師謂休曰。自達摩大師到中國。唯	九 月 一 日 師 謂 休 曰 自 達 摩 大 師 到 中 國 唯 
T48n2012A_001:0381b18	說一心唯傳一法。以佛傳佛不說餘佛。以法	說 一 心 唯 傳 一 法 以 佛 傳 佛 不 說 餘 佛 以 法 
T48n2012A_001:0381b19	傳法不說餘法。法即不可說之法。佛即不可	傳 法 不 說 餘 法 法 即 不 可 說 之 法 佛 即 不 可 
T48n2012A_001:0381b20	取之佛。乃是本源清淨心也。唯此一事實。餘	取 之 佛 乃 是 本 源 清 淨 心 也 唯 此 一 事 實 餘 
T48n2012A_001:0381b21	二則非真。般若為慧。此慧即無相本心也。凡	二 則 非 真 般 若 為 慧 此 慧 即 無 相 本 心 也 凡 
T48n2012A_001:0381b22	夫不趣道。唯恣六情乃行六道。學道人一念	夫 不 趣 道 唯 恣 六 情 乃 行 六 道 學 道 人 一 念 
T48n2012A_001:0381b23	計生死即落魔道。一念起諸見即落外道。見	計 生 死 即 落 魔 道 一 念 起 諸 見 即 落 外 道 見 
T48n2012A_001:0381b24	有生趣其滅。即落聲聞道。不見有生唯見有	有 生 趣 其 滅 即 落 聲 聞 道 不 見 有 生 唯 見 有 
T48n2012A_001:0381b25	滅。即落緣覺道。法本不生今亦無滅。不起二	滅 即 落 緣 覺 道 法 本 不 生 今 亦 無 滅 不 起 二 
T48n2012A_001:0381b26	見不厭不欣。一切諸法唯是一心。然後乃為	見 不 厭 不 欣 一切諸法 唯 是 一 心 然 後 乃 為 
T48n2012A_001:0381b27	佛乘也。凡夫皆逐境生心。心遂欣厭。若欲	佛 乘 也 凡 夫 皆 逐 境 生 心 心 遂 欣 厭 若 欲 
T48n2012A_001:0381b28	無境當忘其心。心忘即境空。境空即心滅。若	無 境 當 忘 其 心 心 忘 即 境 空 境 空 即 心 滅 若 
T48n2012A_001:0381b29	不忘心而但除境。境不可除。秖益紛擾。故萬	不 忘 心 而 但 除 境 境 不 可 除 秖 益 紛 擾 故 萬 
T48n2012A_001:0381c01	法唯心。心亦不可得。復何求哉。學般若人不	法 唯 心 心 亦 不 可 得 復 何 求 哉 學 般 若 人 不 
T48n2012A_001:0381c02	見有一法可得。絕意三乘。唯一真實。不可證	見 有 一 法 可 得 絕 意 三 乘 唯 一 真 實 不 可 證 
T48n2012A_001:0381c03	得。謂我能證能得。皆增上慢人。法華會上	得 謂 我 能 證 能 得 皆 增上慢人 法 華 會 上 
T48n2012A_001:0381c04	拂衣而去者。皆斯徒也。故佛言。我於菩提實	拂 衣 而 去 者 皆 斯 徒 也 故 佛 言 我 於 菩 提 實 
T48n2012A_001:0381c05	無所得默契而已。凡人臨欲終時。但觀五蘊	無 所 得 默 契 而 已 凡 人 臨 欲 終 時 但 觀 五 蘊 
T48n2012A_001:0381c06	皆空四大無我。真心無相不去不來。生時性	皆 空 四 大 無 我 真 心 無 相 不 去 不 來 生 時 性 
