X63n1230_001:0081a04	警世	警 世 
X63n1230_001:0081a22	體。熱則煩悶我襟。渴則乾我喉。饑則羸我腹。驚則懾	體 熱 則 煩 悶 我 襟 渴 則 乾 我 喉 饑 則 羸 我 腹 驚 則 懾 
X63n1230_001:0081a23	我魄。懼則喪我魂。憂則撓我神。惱則敗我志。順則長	我 魄 懼 則 喪 我 魂 憂 則 撓 我 神 惱 則 敗 我 志 順 則 長 
X63n1230_001:0081a24	我愛。逆則起我憎。親則牽我情。疎則生我恨。害則殞	我 愛 逆 則 起 我 憎 親 則 牽 我 情 疎 則 生 我 恨 害 則 殞 
X63n1230_001:0081b01	我體。愁則結我腸。乃至遇境生心。隨情動念。或美或	我 體 愁 則 結 我 腸 乃 至 遇 境 生 心 隨 情 動 念 或 美 或 
X63n1230_001:0081b02	惡俱不稱懷。皆長業輪盡喪道本。其或更詭於君悖	惡 俱 不 稱 懷 皆 長 業 輪 盡 喪 道 本 其 或 更 詭 於 君 悖 
X63n1230_001:0081b03	於父。傲其物趨其時。獸其心狐其意。苟其利徇其名。	於 父 傲 其 物 趨 其 時 獸 其 心 狐 其 意 苟 其 利 徇 其 名 
X63n1230_001:0081b04	誑其人諂其行。附其勢欺其孤。淵其殃崇其業。扇其	誑 其 人 諂 其 行 附 其 勢 欺 其 孤 淵 其 殃 崇 其 業 扇 其 
X63n1230_001:0081b05	火吹其風。驟其塵背其覺。邪其種睽其真。但顧前非	火 吹 其 風 驟 其 塵 背 其 覺 邪 其 種 睽 其 真 但 顧 前 非 
X63n1230_001:0081b06	慮後。口謀去靡思回。唯求生焉知滅。則念念燒煑。步	慮 後 口 謀 去 靡 思 回 唯 求 生 焉 知 滅 則 念 念 燒 煑 步 
X63n1230_001:0081b07	步溝隍矣。如今或得剎那在世。須蘊仁悲。行善修心	步 溝 隍 矣 如 今 或 得 剎 那 在 世 須 蘊 仁 悲 行 善 修 心 
X63n1230_001:0081b08	除非去惡。書云。作善降之百祥。作不善降之百殃。是	除 非 去 惡 書 云 作 善 降 之 百 祥 作 不 善 降 之 百 殃 是 
X63n1230_001:0081b09	以世間逆順種種因緣。空受身心妄苦皆為。不知三	以 世 間 逆 順 種種因緣 空 受 身 心 妄 苦 皆 為 不 知 三 
X63n1230_001:0081b10	界唯是一心。以前五識眼耳鼻舌身及第八識。皆是	界 唯 是 一 心 以 前 五 識 眼 耳 鼻 舌 身 及 第 八 識 皆 是 
X63n1230_001:0081b11	現量所得。無心外法。以第六明了意識。比量計度而	現 量 所 得 無 心 外 法 以 第 六 明 了 意 識 比 量 計 度 而 
X63n1230_001:0081b12	成外境。全是想生隨念而至。若無想念萬法無形。故	成 外 境 全 是 想 生 隨 念 而 至 若 無 想 念 萬 法 無 形 故 
X63n1230_001:0081b13	經云。想滅間靜識停無為。又云。諸法不牢固。唯立在	經 云 想 滅 間 靜 識 停 無 為 又 云 諸 法 不 牢 固 唯 立 在 
X63n1230_001:0081b14	於念。善解見空者。一切無想念。若了一心之旨。心外	於 念 善 解 見 空 者 一 切 無 想 念 若 了 一 心 之 旨 心 外 
X63n1230_001:0081b15	自然無法可陳。豈有欣戚關懷是非干念。佛頌云。未	自 然 無 法 可 陳 豈 有 欣 戚 關 懷 是 非 干 念 佛 頌 云 未 
X63n1230_001:0081b16	達境唯心。起種種分別。達境唯心已。分別即不生。既	達 境 唯 心 起 種 種 分 別 達 境 唯 心 已 分 別 即 不 生 既 
X63n1230_001:0081b17	了境唯心。便捨外塵相。從此息分別。悟平等真空。故	了 境 唯 心 便 捨 外 塵 相 從 此 息 分 別 悟 平 等 真 空 故 
X63n1230_001:0081b18	起信論云。一切境界唯心妄動。心若不起。一切境界	起 信 論 云 一切境界 唯 心 妄 動 心 若 不 起 一切境界 
X63n1230_001:0081b19	相滅。唯一真心徧一切處。是故三界虗偽。唯心所作。	相 滅 唯 一 真 心 徧一切處 是 故 三 界 虗 偽 唯 心 所 作 
X63n1230_001:0081b20	離心即無六塵境界。乃至一切分別。即分別自心。心	離 心 即 無 六 塵 境 界 乃 至 一 切 分 別 即 分 別 自 心 心 
X63n1230_001:0081b21	不見心。無相可得。先德云。心外有法。生死論迴。心外	不 見 心 無 相 可 得 先 德 云 心 外 有 法 生 死 論 迴 心 外 
X63n1230_001:0081b22	無法。生死永弃。經云。諸法所生唯心所現。論云。三界	無 法 生 死 永 弃 經 云 諸 法 所 生 唯 心 所 現 論 云 三 界 
X63n1230_001:0081b23	無別法。但是一心作。既信一心。須以禪定冥合。如經	無 別 法 但是一心 作 既 信 一 心 須 以 禪 定 冥 合 如 經 
X63n1230_001:0081b24	云。若能教三千大千世界眾生令行十善。不如一食	云 若 能 教 三千大千世界 眾 生 令 行 十 善 不 如 一 食 
X63n1230_001:0081c01	頃一心靜處入一相法門。若能諦了自心。以此定慧	頃 一 心 靜 處 入 一 相 法 門 若 能 諦 了 自 心 以 此 定 慧 
X63n1230_001:0081c02	相應。則能不動塵勞。便成正覺。平生所遇。莫越於斯。	相 應 則 能 不 動 塵 勞 便 成 正 覺 平 生 所 遇 莫 越 於 斯 
