X60n1130_001:0697b06	八關齋法	八 關 齋 法 
X60n1130_001:0697b21	食息。畜生無異。寧曉遷善。是二種人。枉得人身。一	食 息 畜 生 無 異 寧 曉 遷 善 是 二 種 人 枉 得 人 身 一 
X60n1130_001:0697b22	生無善可記。肆意非為。一朝業果現前。追悔何及。	生 無 善 可 記 肆 意 非 為 一 朝 業 果 現 前 追 悔 何 及 
X60n1130_001:0697b23	其有智者。速宜受持。阿含經云。佛言。若善男子善	其 有 智 者 速 宜 受 持 阿 含 經 云 佛 言 若 善 男 子 善 
X60n1130_001:0697b24	女人。欲得八關齋。離諸苦者。得盡諸漏。入涅槃城。	女 人 欲 得 八 關 齋 離 諸 苦 者 得 盡 諸 漏 入 涅 槃 城 
X60n1130_001:0697c01	當求方便。成此八齋。人中榮位。不足為貴。天上快	當 求 方 便 成 此 八 齋 人 中 榮 位 不 足 為 貴 天 上 快 
X60n1130_001:0697c02	樂。不可稱計。欲求無上之福者。當求此齋。欲生六	樂 不可稱計 欲 求 無 上 之 福 者 當 求 此 齋 欲 生 六 
X60n1130_001:0697c03	欲天。色。無色界天者。當持此齋。欲求一方。二方。三	欲 天 色 無 色 界 天 者 當 持 此 齋 欲 求 一 方 二 方 三 
X60n1130_001:0697c04	方。四方天子。轉輪聖王位者。亦獲其願。欲求聲聞。	方 四 方 天 子 轉輪聖王 位 者 亦 獲 其 願 欲 求 聲 聞 
X60n1130_001:0697c05	緣覺佛乘者。悉成其願。吾今成就。皆由持戒。八戒	緣 覺 佛 乘 者 悉 成 其 願 吾 今 成 就 皆 由 持 戒 八 戒 
X60n1130_001:0697c06	十善。無願不獲。若受八齋。首須懺悔先罪。然後受	十 善 無 願 不 獲 若 受 八 齋 首 須 懺 悔 先 罪 然 後 受 
X60n1130_001:0697c07	戒。應生慚愧。發懇切心。作如是言。	戒 應 生 慚 愧 發 懇 切 心 作如是言 
X60n1130_001:0697c08	我某甲。從無始生死已來。至於今日。身業不善。殺。盜	我 某 甲 從 無始生死 已 來 至 於 今 日 身 業 不 善 殺 盜 
X60n1130_001:0697c09	婬。口業不善。妄言。綺語。兩舌。惡口。意業不善。貪欲。瞋	婬 口 業 不 善 妄 言 綺 語 兩 舌 惡 口 意 業 不 善 貪 欲 瞋 
X60n1130_001:0697c10	恚。愚痴邪見。不信因果。造此十不善罪。今向十方三	恚 愚 痴 邪 見 不 信 因 果 造 此 十 不 善 罪 今 向 十 方 三 
X60n1130_001:0697c11	寶諸佛菩薩。三乘聖眾。現前師僧。求哀懺悔。作如是	寶 諸佛菩薩 三 乘 聖 眾 現 前 師 僧 求 哀 懺 悔 作 如 是 
X60n1130_001:0697c12	懺已。教受言。	懺 已 教 受 言 
X60n1130_001:0697c13	我某甲。歸依佛。歸依法。歸依僧。一日一夜。為淨行優	我 某 甲 歸 依 佛 歸 依 法 歸 依 僧 一 日 一 夜 為 淨 行 優 
X60n1130_001:0697c14	婆塞(女人。當云優婆夷)。如來至真等正覺。是我世尊(三說已次受三	婆 塞 女 人 當 云 優 婆 夷 如 來 至 真 等 正 覺 是 我 世 尊 三 說 已 次 受 三 
X60n1130_001:0697c15	結)。	結 
X60n1130_001:0697c16	我某甲。歸依佛竟。歸依法竟。歸依僧竟。一日一夜。為	我 某 甲 歸 依 佛 竟 歸 依 法 竟 歸 依 僧 竟 一 日 一 夜 為 
X60n1130_001:0697c17	淨行優婆塞。如來至真等正覺。是我世尊(三說已次受戒相)。	淨 行 優 婆 塞 如 來 至 真 等 正 覺 是 我 世 尊 三 說 已 次 受 戒 相 
X60n1130_001:0697c18	如諸佛盡壽。不殺生。我某甲一日一夜不殺生。	如 諸 佛 盡 壽 不 殺 生 我 某 甲 一 日 一 夜 不 殺 生 
X60n1130_001:0697c19	如諸佛盡壽。不偷盜。我某甲一日一夜不偷盜。	如 諸 佛 盡 壽 不 偷 盜 我 某 甲 一 日 一 夜 不 偷 盜 
X60n1130_001:0697c20	如諸佛盡壽。不婬欲。我某甲一日一夜不婬欲。	如 諸 佛 盡 壽 不 婬 欲 我 某 甲 一 日 一 夜 不 婬 欲 
X60n1130_001:0697c21	如諸佛盡壽。不妄語。我某甲一日一夜不妄語。	如 諸 佛 盡 壽 不 妄 語 我 某 甲 一 日 一 夜 不 妄 語 
X60n1130_001:0697c22	如諸佛盡壽。不飲酒。我某甲一日一夜不飲酒。	如 諸 佛 盡 壽 不 飲 酒 我 某 甲 一 日 一 夜 不 飲 酒 
X60n1130_001:0697c23	如諸佛盡壽不著香華鬘。不香塗身。我某甲一日一	如 諸 佛 盡 壽 不 著 香 華 鬘 不 香 塗 身 我 某 甲 一 日 一 
X60n1130_001:0697c24	夜不著香華鬘。不香塗身。	夜 不 著 香 華 鬘 不 香 塗 身 
X60n1130_001:0698a01	如諸佛盡壽不歌舞倡伎。不往聽觀。我某甲一日一	如 諸 佛 盡 壽 不 歌舞倡伎 不 往 聽 觀 我 某 甲 一 日 一 
X60n1130_001:0698a02	夜不歌舞倡伎。不往觀聽。	夜 不 歌舞倡伎 不 往 觀 聽 
X60n1130_001:0698a03	如諸佛盡壽不坐高廣大牀。我某甲一日一夜不坐	如 諸 佛 盡 壽 不坐高廣大牀 我 某 甲 一 日 一 夜 不 坐 
X60n1130_001:0698a04	高廣大牀。	高 廣 大 牀 
X60n1130_001:0698a05	如諸佛盡壽不非時食。我某甲一日一夜不非時食。	如 諸 佛 盡 壽 不非時食 我 某 甲 一 日 一 夜 不非時食 
X60n1130_001:0698a06	經云。如上次第授已。當教發願。大論云。當發願言。	經 云 如 上 次 第 授 已 當 教 發 願 大 論 云 當 發 願 言 
X60n1130_001:0698a07	我某甲受行八戒。隨學諸佛。名為布薩。願持是福。不	我 某 甲 受 行 八 戒 隨 學 諸 佛 名 為 布 薩 願 持 是 福 不 
X60n1130_001:0698a08	墮三惡八難。亦不求輪王。梵王。世間之樂。願斷煩惱。	墮 三 惡 八 難 亦 不 求 輪 王 梵 王 世 間 之 樂 願 斷 煩 惱 
X60n1130_001:0698a09	逮得一切智。成就佛道(若欲兼報四恩。求生淨土者。當作如是發願言)。	逮 得 一 切 智 成 就 佛 道 若 欲 兼 報 四 恩 求 生 淨 土 者 當 作 如 是 發 願 言 
X60n1130_001:0698a10	我今以此八關戒齋功德。四恩總報。三有齊資。普與	我 今 以 此 八 關 戒 齋 功 德 四 恩 總 報 三 有 齊 資 普 與 
X60n1130_001:0698a11	眾生。同生淨土。	眾 生 同 生 淨 土 
X60n1130_001:0698a12	此八關戒。亦名八支戒。又名八種長養功德法。前	此 八 關 戒 亦 名 八 支 戒 又 名 八 種 長 養 功 德 法 前 
X60n1130_001:0698a13	之八法。名為關戒。後一不非時食。名之為齋。齋戒	之 八 法 名 為 關 戒 後 一 不非時食 名 之 為 齋 齋 戒 
X60n1130_001:0698a14	合名。故云八關戒齋。關謂關閉八惡。不起諸過。齋	合 名 故 云 八 關 戒 齋 關 謂 關 閉 八 惡 不 起 諸 過 齋 
X60n1130_001:0698a15	者齊也。謂禁止六情。不染六塵。齊斷諸惡。具修眾	者 齊 也 謂 禁 止 六 情 不 染 六 塵 齊 斷 諸 惡 具 修 眾 
X60n1130_001:0698a16	善。故名齋也。大方便經云。優波離白佛言。夫八齋	善 故 名 齋 也 大 方 便 經 云 優 波 離 白 佛 言 夫 八 齋 
X60n1130_001:0698a17	法。并過中不食。乃有九法。何以八事得名。佛言。齋	法 并 過 中 不 食 乃 有 九 法 何 以 八 事 得 名 佛 言 齋 
X60n1130_001:0698a18	法過中不食為體。八事助成齋體。共相支持。名八	法 過 中 不 食 為 體 八 事 助 成 齋 體 共 相 支 持 名 八 
X60n1130_001:0698a19	支齋法。是故言八齋。不云九也。不殺生者。下至微	支 齋 法 是 故 言 八 齋 不 云 九 也 不 殺 生 者 下 至 微 
X60n1130_001:0698a20	細蜫蟲。但有命者。不得故殺。不偷盜者。乃至一針	細 蜫 蟲 但 有 命 者 不 得 故 殺 不 偷 盜 者 乃 至 一 針 
X60n1130_001:0698a21	一線。他不與者不取。不婬欲者。世間一切男女。及	一 線 他 不 與 者 不 取 不 婬 欲 者 世 間 一 切 男 女 及 
X60n1130_001:0698a22	自妻妾。一日一夜。悉皆遠離。不妄語者。妄語有四。	自 妻 妾 一 日 一 夜 悉 皆 遠 離 不 妄 語 者 妄 語 有 四 
X60n1130_001:0698a23	謂妄語。綺語兩舌。惡口。但與心口相違者。悉名妄	謂 妄 語 綺 語 兩 舌 惡 口 但 與 心 口 相 違 者 悉 名 妄 
X60n1130_001:0698a24	語。不飲酒者。謂一切五穀華果釀成。能醉人者。皆	語 不 飲 酒 者 謂 一 切 五 穀 華 果 釀 成 能 醉 人 者 皆 
X60n1130_001:0698b01	不得飲。不著香華鬘不香塗身者。謂不得以諸華	不 得 飲 不著香華鬘不香塗身 者 謂 不 得 以 諸 華 
X60n1130_001:0698b02	貫串為鬘。名香為末。熏佩塗飾。及著一切莊嚴衣	貫 串 為 鬘 名 香 為 末 熏 佩 塗 飾 及 著 一 切 莊 嚴 衣 
X60n1130_001:0698b03	具等。不歌舞倡伎。不往觀聽者。倡伎是樂器。謂自	具 等 不 歌舞倡伎 不 往 觀 聽 者 倡 伎 是 樂 器 謂 自 
X60n1130_001:0698b04	不習歌曲戲舞。作諸妓樂。樗蒲棋博等。及他人作	不 習 歌 曲 戲 舞 作 諸 妓 樂 樗 蒲 棋 博 等 及 他 人 作 
X60n1130_001:0698b05	時。亦不往觀聽。不坐高廣大牀者。高不過尺六。廣	時 亦 不 往 觀 聽 不坐高廣大牀 者 高 不 過 尺 六 廣 
X60n1130_001:0698b06	闊不過四尺。長大不過八尺。及一切嚴麗莊校牀	闊 不 過 四 尺 長 大 不 過 八 尺 及 一 切 嚴 麗 莊 校 牀 
X60n1130_001:0698b07	座。皆不於中坐臥也。不非時食者。謂不過日中噉	座 皆 不 於 中 坐 臥 也 不非時食 者 謂 不 過 日 中 噉 
X60n1130_001:0698b08	嚼五穀。瓜果等物。若日過西一線。乃至明日天未	嚼 五 穀 瓜 果 等 物 若 日 過 西 一 線 乃 至 明 日 天 未 
X60n1130_001:0698b09	曉。皆名非時。經云。諸天早食。佛日中食。畜生日西	曉 皆 名 非 時 經 云 諸 天 早 食 佛 日 中 食 畜 生 日 西 
X60n1130_001:0698b10	食。鬼神夜食。今受八戒。斷六道因。學佛中食。以表	食 鬼 神 夜 食 今 受 八 戒 斷 六 道 因 學 佛 中 食 以 表 
X60n1130_001:0698b11	中道。離斷常二邊之過也。食訖。須嚼楊枝。淨水[口*敕]	中 道 離 斷 常 二 邊 之 過 也 食 訖 須 嚼 楊 枝 淨 水 [口敕] 
X60n1130_001:0698b12	口。去口中餘津。若不嚼楊枝。口中餘津尚存。而咽	口 去 口 中 餘 津 若 不 嚼 楊 枝 口 中 餘 津 尚 存 而 咽 
X60n1130_001:0698b13	者。即犯非時。如無楊枝。除毒樹。一切桃。槐。苦澀等	者 即 犯 非 時 如 無 楊 枝 除 毒 樹 一 切 桃 槐 苦 澀 等 
X60n1130_001:0698b14	樹。皆可用之。五辛之物。俱不得食。此八戒齋。若犯	樹 皆 可 用 之 五 辛 之 物 俱 不 得 食 此 八 戒 齋 若 犯 
X60n1130_001:0698b15	前四。是實惡。性罪也。飲酒。是眾惡之門。後四。是放	前 四 是 實 惡 性 罪 也 飲 酒 是 眾 惡 之 門 後 四 是 放 
X60n1130_001:0698b16	逸因緣。若人離前五種惡。是福因緣。離餘四種。是	逸 因 緣 若 人 離 前 五 種 惡 是 福 因 緣 離 餘 四 種 是 
X60n1130_001:0698b17	道因緣。報恩經云。若破八戒中重戒。後更受八戒。	道 因 緣 報 恩 經 云 若 破 八 戒 中 重 戒 後 更 受 八 戒 
X60n1130_001:0698b18	或受五戒。或受十戒。或大戒。及禪戒。無漏戒。一切	或 受 五 戒 或 受 十 戒 或 大 戒 及 禪 戒 無 漏 戒 一 切 
X60n1130_001:0698b19	不得。問曰。受八戒法。得二日三日。乃至十日。一時	不 得 問 曰 受 八 戒 法 得 二 日 三 日 乃 至 十 日 一 時 
X60n1130_001:0698b20	受不。答曰。佛本制一日一夜戒。不得過限。若有力	受 不 答 曰 佛 本 制 一 日 一 夜 戒 不 得 過 限 若 有 力 
X60n1130_001:0698b21	能受。一日過已。次第更受。如是隨力多少。不計日	能 受 一 日 過 已 次 第 更 受 如 是 隨 力 多 少 不 計 日 
X60n1130_001:0698b22	數。夫受齋法。必從他人邊受。謂於五眾邊受。故婆	數 夫 受 齋 法 必 從 他 人 邊 受 謂 於 五 眾 邊 受 故 婆 
X60n1130_001:0698b23	沙論問曰。近住八戒。云何而得。答曰。從他教得。謂	沙 論 問 曰 近 住 八 戒 云 何 而 得 答 曰 從 他 教 得 謂 
X60n1130_001:0698b24	從師教。自發誠言。恭敬受得。又受戒者。要隨師語。	從 師 教 自 發 誠 言 恭 敬 受 得 又 受 戒 者 要 隨 師 語 
X60n1130_001:0698c01	如師說而說。方得受戒。若先自發言。或與師俱說。	如 師 說 而 說 方 得 受 戒 若 先 自 發 言 或 與 師 俱 說 
X60n1130_001:0698c02	不得戒。問曰。著何服飾。得受此戒。答曰。常所受用	不 得 戒 問 曰 著 何 服 飾 得 受 此 戒 答 曰 常 所 受 用 
X60n1130_001:0698c03	衣服嚴具著之。皆得受。若為暫時莊嚴身者。必須	衣 服 嚴 具 著 之 皆 得 受 若 為 暫 時 莊 嚴 身 者 必 須 
X60n1130_001:0698c04	棄捨。受時應齊一日夜。不增不減。謂清旦時。從師	棄 捨 受 時 應 齊 一 日 夜 不增不減 謂 清 旦 時 從 師 
X60n1130_001:0698c05	受得。至明清旦。此齋便捨。問曰。若至午後受此戒	受 得 至 明 清 旦 此 齋 便 捨 問 曰 若 至 午 後 受 此 戒 
X60n1130_001:0698c06	者。亦得戒不。答曰。應言不得。除先有要期。每月六	者 亦 得 戒 不 答 曰 應 言 不 得 除 先 有 要 期 每 月 六 
X60n1130_001:0698c07	日等。恒受齋戒。彼有餘緣。午前不憶。食已方憶。深	日 等 恒 受 齋 戒 彼 有 餘 緣 午 前 不 憶 食 已 方 憶 深 
X60n1130_001:0698c08	生慚愧。即請戒師如法受者。亦得。薩婆多論云。必	生 慚 愧 即 請 戒 師 如 法 受 者 亦 得 薩 婆 多 論 云 必 
X60n1130_001:0698c09	無戒師為授者。但心念口言。自歸三寶。我持八戒。	無 戒 師 為 授 者 但 心 念 口 言 自 歸 三 寶 我 持 八 戒 
X60n1130_001:0698c10	亦得。若近處有戒師。心生慢墯。不往從受。而自受	亦 得 若 近 處 有 戒 師 心 生 慢 墯 不 往 從 受 而 自 受 
X60n1130_001:0698c11	者。亦不得戒。俱舍論云。若不恭敬。不發戒體。若不	者 亦 不 得 戒 俱 舍 論 云 若 不 恭 敬 不 發 戒 體 若 不 
X60n1130_001:0698c12	如法受者。但生善行。不發戒體。故優婆塞戒經云。	如 法 受 者 但 生 善 行 不 發 戒 體 故 優婆塞戒 經 云 
X60n1130_001:0698c13	不得在佛像前自受。要從人受。根本清淨。受已清	不 得 在 佛 像 前 自 受 要 從 人 受 根 本 清 淨 受 已 清 
X60n1130_001:0698c14	淨。莊嚴清淨。覺觀清淨。念心清淨。求報清淨。是名	淨 莊 嚴 清 淨 覺 觀 清 淨 念 心 清 淨 求 報 清 淨 是 名 
X60n1130_001:0698c15	三歸清淨齋法。若能歸依受八戒者。除五逆罪。餘	三 歸 清 淨 齋 法 若 能 歸 依 受 八 戒 者 除 五 逆 罪 餘 
X60n1130_001:0698c16	一切惡。悉皆消滅。若有人以四大寶藏。滿中七寶。	一 切 惡 悉 皆 消 滅 若 有 人 以 四 大 寶 藏 滿 中 七 寶 
X60n1130_001:0698c17	持布施人。所有功德。不如有人一日一夜。受持八	持 布 施 人 所 有 功 德 不 如 有 人 一 日 一 夜 受 持 八 
X60n1130_001:0698c18	戒。得無量果報。至涅槃樂。雜譬喻經云。一日持齋。	戒 得 無 量 果 報 至 涅 槃 樂 雜 譬 喻 經 云 一 日 持 齋 
X60n1130_001:0698c19	有六十萬歲餘糧。非時不食。復有五福。一少病。二	有 六 十 萬 歲 餘 糧 非 時 不 食 復 有 五 福 一 少 病 二 
X60n1130_001:0698c20	身安。三少婬。四少睡。五生天識宿命。舍迦經云。月	身 安 三 少 婬 四 少 睡 五 生 天 識 宿 命 舍 迦 經 云 月 
X60n1130_001:0698c21	六齋日。奉持八戒。福不可計。若人急欲得三乘聖	六 齋 日 奉 持 八 戒 福 不 可 計 若 人 急 欲 得 三 乘 聖 
X60n1130_001:0698c22	道者。當端其心。一其意。受持八戒。得大善利。智度	道 者 當 端 其 心 一 其 意 受 持 八 戒 得 大 善 利 智 度 
X60n1130_001:0698c23	論云。若臘月一日。至十五日。受持此戒。其福最多。	論 云 若 臘 月 一 日 至 十 五 日 受 持 此 戒 其 福 最 多 
X60n1130_001:0698c24	此是如來現大神通日也。又云。五戒。一日戒。何者	此 是 如 來 現 大 神 通 日 也 又 云 五 戒 一 日 戒 何 者 
X60n1130_001:0699a01	為勝。答曰。有因緣故。二戒俱等。但五戒終身持。八	為 勝 答 曰 有因緣故 二 戒 俱 等 但 五 戒 終 身 持 八 
X60n1130_001:0699a02	戒一日持。又五戒常持。時多而戒少。一日戒。時少	戒 一 日 持 又 五 戒 常 持 時 多 而 戒 少 一 日 戒 時 少 
X60n1130_001:0699a03	而戒多。若無大心。雖復終身持。不如有大心。持一	而 戒 多 若 無 大 心 雖 復 終 身 持 不 如 有 大 心 持 一 
X60n1130_001:0699a04	日戒。譬如輭夫為將。雖欲將兵終身。卒無功名。若	日 戒 譬 如 輭 夫 為 將 雖 欲 將 兵 終 身 卒 無 功 名 若 
X60n1130_001:0699a05	英雄奮發。禍亂立定。一日之勳。名葢天下。八戒比	英 雄 奮 發 禍 亂 立 定 一 日 之 勳 名 葢 天 下 八 戒 比 
X60n1130_001:0699a06	於餘戒。亦復如是。問曰。何故六日受八戒修福德。	於 餘 戒 亦復如是 問 曰 何 故 六 日 受 八 戒 修 福 德 
X60n1130_001:0699a07	答曰。是日鬼神逐人。欲奪人命。疾病凶衰。令人不	答 曰 是 日 鬼 神 逐 人 欲 奪 人 命 疾 病 凶 衰 令 人 不 
X60n1130_001:0699a08	吉。是故劫初聖賢。教人持齋修福。以避凶衰。是時	吉 是 故 劫 初 聖 賢 教 人 持 齋 修 福 以 避 凶 衰 是 時 
X60n1130_001:0699a09	不知有八戒。直以一日不食為齋。佛後出世。始教	不 知 有 八 戒 直 以 一 日 不 食 為 齋 佛 後 出 世 始 教 
X60n1130_001:0699a10	一日一夜。受持八戒。過中不食為齋。如是功德。將	一 日 一 夜 受 持 八 戒 過 中 不 食 為 齋 如 是 功 德 將 
X60n1130_001:0699a11	人至涅槃樂。四天王經云。月六齋日。天使者。太子。	人 至 涅 槃 樂 四 天 王 經 云 月 六 齋 日 天 使 者 太 子 
X60n1130_001:0699a12	及四天王。自下觀察眾生。若不布施持戒。忠孝者。	及 四 天 王 自 下 觀 察 眾 生 若 不 布 施 持 戒 忠 孝 者 
X60n1130_001:0699a13	便上忉利天。以啟天帝。時天帝及諸天。心皆不悅。	便 上 忉 利 天 以 啟 天 帝 時 天 帝 及 諸 天 心 皆 不 悅 
X60n1130_001:0699a14	說言。惡道增多。諸天眾減少矣。若有布施持戒忠	說 言 惡 道 增 多 諸 天 眾 減 少 矣 若 有 布 施 持 戒 忠 
X60n1130_001:0699a15	孝多者。諸天歡喜說言。天眾增益。惡道減損矣。涅	孝 多 者 諸 天 歡 喜 說 言 天 眾 增 益 惡 道 減 損 矣 涅 
X60n1130_001:0699a16	槃經云。佛告大王。波羅柰國。有一屠兒。名曰廣額。	槃 經 云 佛 告 大 王 波 羅 柰 國 有 一 屠 兒 名 曰 廣 額 
X60n1130_001:0699a17	於日日中。殺無量羊。見舍利弗。即受八戒。經一日	於日日中 殺 無 量 羊 見 舍 利 弗 即 受 八 戒 經 一 日 
X60n1130_001:0699a18	一夜。以是因緣。命終得為北方多聞天王作子。賢	一 夜 以是因緣 命 終 得 為 北 方 多 聞 天 王 作 子 賢 
X60n1130_001:0699a19	愚經云。北天竺。阿槃提國中。有一老婢。晨夜走使。	愚 經 云 北 天 竺 阿 槃 提 國 中 有 一 老 婢 晨 夜 走 使 
X60n1130_001:0699a20	不得安處。小有違失。便受鞭捶。衣不蔽形。食不充	不 得 安 處 小 有 違 失 便 受 鞭 捶 衣 不 蔽 形 食 不 充 
X60n1130_001:0699a21	口。年老困悴。思死不得。持瓶詣河取水。思惟是苦。	口 年 老 困 悴 思 死 不 得 持 瓶 詣 河 取 水 思 惟 是 苦 
X60n1130_001:0699a22	舉聲大哭。時迦旃延尊者。來至其所。問言。何以悲	舉 聲 大 哭 時 迦 旃 延 尊 者 來 至 其 所 問 言 何 以 悲 
X60n1130_001:0699a23	泣懊惱乃爾。白言。尊者。我既年老。恒執苦役。加復	泣 懊 惱 乃 爾 白 言 尊 者 我 既 年 老 恒 執 苦 役 加 復 
X60n1130_001:0699a24	貧窮。衣食不充。思死不得。是故哭耳。尊者曰。汝若	貧 窮 衣 食 不 充 思 死 不 得 是 故 哭 耳 尊 者 曰 汝 若 
X60n1130_001:0699b01	貧者。何不賣貧。婢言。貧那得賣。誰當買貧。尊者曰。	貧 者 何 不 賣 貧 婢 言 貧 那 得 賣 誰 當 買 貧 尊 者 曰 
X60n1130_001:0699b02	貧實可賣。如是至三。婢言。苟貧可賣。我宜問方。大	貧 實 可 賣 如 是 至 三 婢 言 苟 貧 可 賣 我 宜 問 方 大 
X60n1130_001:0699b03	德。貧云何賣。尊曰。審欲賣者。一隨我語。答言諾。尊	德 貧 云 何 賣 尊 曰 審 欲 賣 者 一 隨 我 語 答 言 諾 尊 
X60n1130_001:0699b04	者告曰。汝先洗浴。洗已。告曰。汝當布施。白言。尊者。	者 告 曰 汝 先 洗 浴 洗 已 告 曰 汝 當 布 施 白 言 尊 者 
X60n1130_001:0699b05	我極貧困。身無手許完納。唯有此瓶。是主人的。當	我 極 貧 困 身 無 手 許 完 納 唯 有 此 瓶 是 主 人 的 當 
X60n1130_001:0699b06	以何施。尊者。即持鉢與之。汝持此鉢。取少淨水。如	以 何 施 尊 者 即 持 鉢 與 之 汝 持 此 鉢 取 少 淨 水 如 
X60n1130_001:0699b07	教取來。奉上尊者。尊者受已。尋為呪願。次教受八	教 取 來 奉 上 尊 者 尊 者 受 已 尋 為 呪 願 次 教 受 八 
X60n1130_001:0699b08	戒齋。後教念佛種種功德。問曰。汝有住止處不。答	戒 齋 後 教 念 佛 種 種 功 德 問 曰 汝 有 住 止 處 不 答 
X60n1130_001:0699b09	言。無也。若磨時。即磨下臥。舂炊作使。即臥其中。或	言 無 也 若 磨 時 即 磨 下 臥 舂 炊 作 使 即 臥 其 中 或 
X60n1130_001:0699b10	時無作。止宿糞堆。尊者曰。汝好持心恭謹走使。莫	時 無 作 止 宿 糞 堆 尊 者 曰 汝 好 持 心 恭 謹 走 使 莫 
X60n1130_001:0699b11	生嫌恨。自伺主人。一切臥竟。密開其門。於門曲內。	生 嫌 恨 自 伺 主 人 一 切 臥 竟 密 開 其 門 於 門 曲 內 
X60n1130_001:0699b12	敷淨草坐。思惟觀佛。莫生惡念。時老婢奉教歸家。	敷 淨 草 坐 思 惟 觀 佛 莫 生 惡 念 時 老 婢 奉 教 歸 家 
X60n1130_001:0699b13	依敕施行。於後夜中。即便命終。生忉利天上。主人	依 敕 施 行 於 後 夜 中 即 便 命 終 生 忉 利 天 上 主 人 
X60n1130_001:0699b14	早起。見婢命終。瞋言。此婢恒常不聽入舍。今暮何	早 起 見 婢 命 終 瞋 言 此 婢 恒 常 不 聽 入 舍 今 暮 何 
X60n1130_001:0699b15	故乃於此死。即使人以草索繫脚。拽至林中。此女	故 乃 於 此 死 即 使 人 以 草 索 繫 脚 拽 至 林 中 此 女 
X60n1130_001:0699b16	既生天上。與五百天子娛樂。時舍利弗尊者。在忉	既 生 天 上 與 五 百 天 子 娛 樂 時 舍 利 弗 尊 者 在 忉 
X60n1130_001:0699b17	利天。問曰。汝因何福生此天中。答言不知。舍利弗。	利 天 問 曰 汝 因 何 福 生 此 天 中 答 言 不 知 舍 利 弗 
X60n1130_001:0699b18	即借其道眼。觀其故身。生天因緣。由迦旃延。即將	即 借 其 道 眼 觀 其 故 身 生 天 因 緣 由 迦 旃 延 即 將 
X60n1130_001:0699b19	五百天子。來至林中。散華燒香。供養死屍。諸天身	五 百 天 子 來 至 林 中 散 華 燒 香 供 養 死 屍 諸 天 身 
X60n1130_001:0699b20	光。照耀村林。主人見已。怪其所由。與眾詣林觀看。	光 照 耀 村 林 主 人 見 已 怪 其 所 由 與 眾 詣 林 觀 看 
X60n1130_001:0699b21	見諸天子。供養此屍。即問天曰。此婢醜穢。生存之	見 諸 天 子 供 養 此 屍 即 問 天 曰 此 婢 醜 穢 生 存 之 
X60n1130_001:0699b22	時。人猶惡見。況今已死。何故諸天。而加供養。時天	時 人 猶 惡 見 況 今 已 死 何 故 諸 天 而 加 供 養 時 天 
X60n1130_001:0699b23	子。具說本末生天因緣。即迴詣迦旃延所。尊者。為	子 具 說 本 末 生 天 因 緣 即 迴 詣 迦 旃 延 所 尊 者 為 
X60n1130_001:0699b24	諸天人。廣說妙法。所謂持戒生天之論。欲不淨法。	諸 天 人 廣 說 妙 法 所 謂 持 戒 生 天 之 論 欲 不 淨 法 
X60n1130_001:0699c01	出離為樂。時彼天及五百天子。得須陀洹果。飛還	出 離 為 樂 時 彼 天 及 五 百 天 子 得 須陀洹果 飛 還 
