T32n1652_001:0482a04	緣生論序	緣 生 論 序 
T32n1652_001:0482a24	質。意存允正。比之昔人。差無尤失。真曰法	質 意 存 允 正 比 之 昔 人 差 無 尤 失 真 曰 法 
T32n1652_001:0482a25	燈。足稱智藏。願窮後際。常益世間。云爾。	燈 足 稱 智 藏 願 窮 後 際 常 益 世 間 云 爾 
T32n1652_001:0482b01	緣生論	緣 生 論 
T32n1652_001:0482b03	聖者欝楞迦造	聖 者 欝 楞 迦 造 
T32n1652_001:0482b04	大隋南印度三藏達磨笈多譯	大 隋 南 印 度 三 藏 達 磨 笈 多 譯 
T32n1652_001:0482b05	　從一生於三　　從三轉生六	 從 一 生 於 三 從 三 轉 生 六 
T32n1652_001:0482b06	　六二二更六　　從六亦生六	 六 二 二 更 六 從 六 亦 生 六 
T32n1652_001:0482b07	　從六有於三　　此三復有三	 從 六 有 於 三 此 三 復 有 三 
T32n1652_001:0482b08	　三復生於四　　四復生於三	 三 復 生 於 四 四 復 生 於 三 
T32n1652_001:0482b09	　從三生於一　　彼一復生七	 從 三 生 於 一 彼 一 復 生 七 
T32n1652_001:0482b10	　於中所有苦　　牟尼說皆攝	 於 中 所 有 苦 牟 尼 說 皆 攝 
T32n1652_001:0482b11	　十二種差別　　善淨說為空	 十 二 種 差 別 善 淨 說 為 空 
T32n1652_001:0482b12	　緣生分力故　　應知十二法	 緣 生 分 力 故 應 知 十 二 法 
T32n1652_001:0482b13	　無智與業識　　名色根三和	 無 智 與 業 識 名 色 根 三 和 
T32n1652_001:0482b14	　知渴及以取　　集出熟後邊	 知 渴 及 以 取 集 出 熟 後 邊 
T32n1652_001:0482b15	　初八九煩惱　　第二第十業	 初 八 九 煩 惱 第 二 第 十 業 
T32n1652_001:0482b16	　餘七皆是苦　　三攝十二法	 餘 七 皆 是 苦 三 攝 十 二 法 
T32n1652_001:0482b17	　初二是過去　　後二未來時	 初 二 是 過 去 後 二 未 來 時 
T32n1652_001:0482b18	　餘八是現在　　此謂三時法	 餘 八 是 現 在 此 謂 三 時 法 
T32n1652_001:0482b19	　惱起業感報　　報還生煩惱	 惱 起 業 感 報 報 還 生 煩 惱 
T32n1652_001:0482b20	　煩惱復生業　　亦由業有報	 煩 惱 復 生 業 亦 由 業 有 報 
T32n1652_001:0482b21	　離惱何有業　　業壞亦無報	 離 惱 何 有 業 業 壞 亦 無 報 
T32n1652_001:0482b22	　無報則離惱　　此三各自滅	 無 報 則 離 惱 此 三 各 自 滅 
T32n1652_001:0482b23	　五分因生果　　名為煩惱業	 五 分 因 生 果 名 為 煩 惱 業 
T32n1652_001:0482b24	　七分以為果　　七種苦應念	 七 分 以 為 果 七 種 苦 應 念 
T32n1652_001:0482b25	　因中空無果　　因中亦無因	 因 中 空 無 果 因 中 亦 無 因 
T32n1652_001:0482b26	　果中空無因　　果中亦無果	 果 中 空 無 因 果 中 亦 無 果 
T32n1652_001:0482b27	　因果二俱空　　智者與相應	 因 果 二 俱 空 智 者 與 相 應 
T32n1652_001:0482b28	(梵本一偈今為一偈半)。	 梵 本 一 偈 今 為 一 偈 半 
T32n1652_001:0482b29	　世中四種分　　因果合故有	 世 中 四 種 分 因 果 合 故 有 
T32n1652_001:0482c01	　煩惱業果合　　念欲為六分	 煩 惱 業 果 合 念 欲 為 六 分 
T32n1652_001:0482c02	　有節所攝故　　二節及三略	 有 節 所 攝 故 二 節 及 三 略 
T32n1652_001:0482c03	　因果雜為節　　三四節總略	 因 果 雜 為 節 三 四 節 總 略 
T32n1652_001:0482c04	　二二三三二　　苦時有五法	 二 二 三 三 二 苦 時 有 五 法 
T32n1652_001:0482c05	　作者胎境界　　發轉生流行	 作 者 胎 境 界 發 轉 生 流 行 
T32n1652_001:0482c06	　迷惑發起果　　報流果為二	 迷 惑 發 起 果 報 流 果 為 二 
T32n1652_001:0482c07	　相應根分中　　一一三二分	 相 應 根 分 中 一 一 三 二 分 
T32n1652_001:0482c08	　熱惱貧乏果　　轉出津流果	 熱 惱 貧 乏 果 轉 出 津 流 果 
T32n1652_001:0482c09	　相應他分中　　二一一一法	 相 應 他 分 中 二 一 一 一 法 
T32n1652_001:0482c10	　此有十二種　　等力緣自生	 此 有 十 二 種 等 力 緣 自 生 
T32n1652_001:0482c11	　無眾生無命　　無動以慧知	 無 眾 生 無 命 無 動 以 慧 知 
T32n1652_001:0482c12	　無我無我所　　無我無我因	 無 我 無 我 所 無 我 無 我 因 
T32n1652_001:0482c13	　四種無智空　　餘分亦如是	 四 種 無 智 空 餘 分 亦 如 是 
T32n1652_001:0482c14	　斷常二邊離　　此即是中道	 斷 常 二 邊 離 此 即 是 中 道 
T32n1652_001:0482c15	　若覺已成就　　覺體是諸佛	 若 覺 已 成 就 覺 體 是 諸 佛 
T32n1652_001:0482c16	　覺已於眾中　　仙聖說無我	 覺 已 於 眾 中 仙 聖 說 無 我 
T32n1652_001:0482c17	　曾於城喻經　　導師說此義	 曾 於 城 喻 經 導 師 說 此 義 
T32n1652_001:0482c18	　迦栴延經說　　正見及空見	 迦 栴 延 經 說 正 見 及 空 見 
T32n1652_001:0482c19	　破邏具膩經(張宿名也)	 破 邏 具 膩 經 張 宿 名 也 
T32n1652_001:0482c20	　亦說殊勝空　　緣生若正知	 亦 說 殊 勝 空 緣 生 若 正 知 
T32n1652_001:0482c21	　彼知空相應　　緣生若不知	 彼 知 空 相 應 緣 生 若 不 知 
T32n1652_001:0482c22	　亦不知彼空　　於空若起慢	 亦 不 知 彼 空 於 空 若 起 慢 
T32n1652_001:0482c23	　則不厭受眾　　若有彼無見	 則 不 厭 受 眾 若 有 彼 無 見 
T32n1652_001:0482c24	　則迷緣生義　　緣生不迷故	 則 迷 緣 生 義 緣 生 不 迷 故 
T32n1652_001:0482c25	　離慢彼知空　　及厭受眾故	 離 慢 彼 知 空 及 厭 受 眾 故 
T32n1652_001:0482c26	　不迷業果合　　業作緣續生	 不 迷 業 果 合 業 作 緣 續 生 
T32n1652_001:0482c27	　亦非不緣此　　空緣當有此	 亦 非 不 緣 此 空 緣 當 有 此 
T32n1652_001:0482c28	　業報受用具　　十二分差別	 業 報 受 用 具 十 二 分 差 別 
T32n1652_001:0482c29	　前已說緣生　　彼煩惱業苦	 前 已 說 緣 生 彼 煩 惱 業 苦 
T32n1652_001:0483a01	　三中如法攝　　三中生於二	 三 中 如 法 攝 三 中 生 於 二 
T32n1652_001:0483a02	　二中生於七　　七中復生三	 二 中 生 於 七 七 中 復 生 三 
T32n1652_001:0483a03	　有輪如是轉　　因果諸生世	 有 輪 如 是 轉 因 果 諸 生 世 
T32n1652_001:0483a04	　無別有眾生　　唯是於空法	 無 別 有 眾 生 唯 是 於 空 法 
T32n1652_001:0483a05	　還自生空法　　藉緣生煩惱	 還 自 生 空 法 藉 緣 生 煩 惱 
T32n1652_001:0483a06	　藉緣亦生業　　藉緣亦生報	 藉 緣 亦 生 業 藉 緣 亦 生 報 
T32n1652_001:0483a07	　無一不有緣　　誦燈印鏡音	 無 一 不 有 緣 誦 燈 印 鏡 音 
T32n1652_001:0483a08	　日光種子酢　　眾續不超到	 日 光 種 子 酢 眾 續 不 超 到 
T32n1652_001:0483a09	　智應觀彼二	 智 應 觀 彼 二 
T32n1652_001:0483a10	緣生三十論本竟	緣 生 三 十 論 本 竟 
T32n1652_001:0483a11	緣生三十論我當隨順次第解釋。	緣 生 三 十 論 我 當 隨 順 次 第 解 釋 
T32n1652_001:0483a12	　從一生於三　　從三轉生六	 從 一 生 於 三 從 三 轉 生 六 
T32n1652_001:0483a13	　六二二更六　　從六亦生六	 六 二 二 更 六 從 六 亦 生 六 
T32n1652_001:0483a14	從一生於三者。一謂無智。此無智者說名	從 一 生 於 三 者 一 謂 無 智 此 無 智 者 說 名 
T32n1652_001:0483a15	無明。於苦集滅道中。不覺知故。名為無智。	無 明 於 苦集滅道 中 不 覺 知 故 名 為 無 智 
T32n1652_001:0483a16	由無智故。則有福非福不動。說名三行。及身	由 無 智 故 則 有 福 非 福 不 動 說 名 三 行 及 身 
T32n1652_001:0483a17	行口行心行等從其轉生。從三轉生六者。從	行 口 行 心 行 等 從 其 轉 生 從 三 轉 生 六 者 從 
T32n1652_001:0483a18	彼三行生六識身。所謂眼識耳識鼻識舌識	彼 三 行 生 六 識 身 所 謂 眼 識 耳 識 鼻 識 舌 識 
T32n1652_001:0483a19	身識意識。六二者。彼六識身轉生二種。所	身 識 意 識 六 二 者 彼 六 識 身 轉 生 二 種 所 
T32n1652_001:0483a20	謂名色。二更六者。名色二種轉生六入。所	謂 名 色 二 更 六 者 名 色 二 種 轉 生 六 入 所 
T32n1652_001:0483a21	謂眼入耳入鼻入舌入身入意入。從六亦生	謂 眼 入 耳 入 鼻 入 舌 入 身 入 意 入 從 六 亦 生 
T32n1652_001:0483a22	六者。從彼六入轉生六觸。所謂眼觸耳觸鼻	六 者 從 彼 六 入 轉 生 六 觸 所 謂 眼 觸 耳 觸 鼻 
T32n1652_001:0483a23	觸舌觸身觸意觸。	觸 舌 觸 身 觸 意 觸 
T32n1652_001:0483a24	　從六有於三　　此三復有三	 從 六 有 於 三 此 三 復 有 三 
T32n1652_001:0483a25	　三復生於四　　四復生於三	 三 復 生 於 四 四 復 生 於 三 
T32n1652_001:0483a26	從六有於三者。從彼六觸轉生三受。所謂樂	從 六 有 於 三 者 從 彼 六 觸 轉 生 三 受 所 謂 樂 
T32n1652_001:0483a27	受苦受不苦不樂受。此三復有三者。還從彼	受 苦 受 不苦不樂受 此 三 復 有 三 者 還 從 彼 
T32n1652_001:0483a28	等三受。轉生三種渴愛。所謂欲渴愛有渴愛	等 三 受 轉 生 三 種 渴 愛 所 謂 欲 渴 愛 有 渴 愛 
T32n1652_001:0483a29	無有渴愛。三復生於四者。從彼三種渴愛轉	無 有 渴 愛 三 復 生 於 四 者 從 彼 三 種 渴 愛 轉 
T32n1652_001:0483b01	生四取。所謂欲取見取戒苦行取我語取。四	生 四 取 所 謂 欲 取 見 取 戒 苦 行 取 我 語 取 四 
T32n1652_001:0483b02	復生於三者。從彼四取轉生三有。所謂欲有	復 生 於 三 者 從 彼 四 取 轉 生 三 有 所 謂 欲 有 
T32n1652_001:0483b03	色有無色有。	色 有 無 色 有 
T32n1652_001:0483b04	　從三生於一　　彼一復生七	 從 三 生 於 一 彼 一 復 生 七 
T32n1652_001:0483b05	　於中所有苦　　牟尼說皆攝	 於 中 所 有 苦 牟 尼 說 皆 攝 
T32n1652_001:0483b06	從三生於一者。還以彼等三有作緣。生當來	從 三 生 於 一 者 還 以 彼 等 三 有 作 緣 生 當 來 
T32n1652_001:0483b07	一種生。彼一復生七者還從彼一。當有老死	一 種 生 彼 一 復 生 七 者 還 從 彼 一 當 有 老 死 
T32n1652_001:0483b08	憂悲苦惱困等七種。於中所有苦牟尼說皆	憂 悲 苦 惱 困 等 七 種 於 中 所 有 苦 牟 尼 說 皆 
T32n1652_001:0483b09	攝者。於中無明為始困為終。無量種苦。世尊	攝 者 於 中 無 明 為 始 困 為 終 無 量 種 苦 世 尊 
T32n1652_001:0483b10	略說。皆此所攝。	略 說 皆 此 所 攝 
T32n1652_001:0483b11	　十二種差別　　善淨說為空	 十 二 種 差 別 善 淨 說 為 空 
T32n1652_001:0483b12	　緣生分力故　　應知十二法	 緣 生 分 力 故 應 知 十 二 法 
T32n1652_001:0483b13	十二種差別善淨說為空者。此無智等各別	十 二 種 差 別 善 淨 說 為 空 者 此 無 智 等 各 別 
T32n1652_001:0483b14	不雜有十二分。又彼皆自性空應當正見。如	不 雜 有 十 二 分 又 彼 皆 自 性 空 應 當 正 見 如 
T32n1652_001:0483b15	此所說唯是空法。自生空法。緣生分力故應	此 所 說 唯 是 空 法 自 生 空 法 緣 生 分 力 故 應 
T32n1652_001:0483b16	知十二法者。若以次第生分力故。彼十二法	知 十 二 法 者 若 以 次 第 生 分 力 故 彼 十 二 法 
T32n1652_001:0483b17	如是應知。彼中迷惑相者是無明。彼行句處。	如 是 應 知 彼 中 迷 惑 相 者 是 無 明 彼 行 句 處 
T32n1652_001:0483b18	積集當有相者是行。彼識句處。次受生分	積 集 當 有 相 者 是 行 彼 識 句 處 次 受 生 分 
T32n1652_001:0483b19	轉出相者是識。彼名色句處。名身色身和合	轉 出 相 者 是 識 彼 名 色 句 處 名 身 色 身 和 合 
T32n1652_001:0483b20	相者是名色。彼六入句處。相安置相者是六	相 者 是 名 色 彼 六 入 句 處 相 安 置 相 者 是 六 
T32n1652_001:0483b21	入。彼觸句處。眼色識。共聚相者是觸。彼受句	入 彼 觸 句 處 眼 色 識 共 聚 相 者 是 觸 彼 受 句 
T32n1652_001:0483b22	處。愛不愛受用相者是受。彼渴愛句處。無	處 愛 不 愛 受 用 相 者 是 受 彼 渴 愛 句 處 無 
T32n1652_001:0483b23	厭足相者是渴愛。彼取句處。執持攝取相者	厭 足 相 者 是 渴 愛 彼 取 句 處 執 持 攝 取 相 者 
T32n1652_001:0483b24	是取。彼有句處。名身色身相者是有。彼生	是 取 彼 有 句 處 名 身 色 身 相 者 是 有 彼 生 
T32n1652_001:0483b25	句處。五眾出生相者是生。彼老句處。成熟	句 處 五 眾 出 生 相 者 是 生 彼 老 句 處 成 熟 
T32n1652_001:0483b26	相者是老。彼死句處。命根斷者是死。彼憂	相 者 是 老 彼 死 句 處 命 根 斷 者 是 死 彼 憂 
T32n1652_001:0483b27	句處。高舉相者是憂。彼悲句處。哭聲者是	句 處 高 舉 相 者 是 憂 彼 悲 句 處 哭 聲 者 是 
T32n1652_001:0483b28	悲。彼苦句處。身燒熱相者是苦。彼惱句處。心	悲 彼 苦 句 處 身 燒 熱 相 者 是 苦 彼 惱 句 處 心 
T32n1652_001:0483b29	逼惱相者是惱。彼困句處。極疲乏相者是困。	逼 惱 相 者 是 惱 彼 困 句 處 極 疲 乏 相 者 是 困 
T32n1652_001:0483c01	　無智與業識　　名色根三和	 無 智 與 業 識 名 色 根 三 和 
T32n1652_001:0483c02	　知渴及以取　　集出熟後邊	 知 渴 及 以 取 集 出 熟 後 邊 
T32n1652_001:0483c03	於中無智者是無明。業者是行。識者是解。	於 中 無 智 者 是 無 明 業 者 是 行 識 者 是 解 
T32n1652_001:0483c04	名色者是五眾總聚。根者是入。三和者是觸。	名 色 者 是 五 眾 總 聚 根 者 是 入 三 和 者 是 觸 
T32n1652_001:0483c05	知者是受。渴者是渴愛。取者是執持。集者是	知 者 是 受 渴 者 是 渴 愛 取 者 是 執 持 集 者 是 
T32n1652_001:0483c06	有。出者是生。熟者是老。後邊者是死。	有 出 者 是 生 熟 者 是 老 後 邊 者 是 死 
T32n1652_001:0483c07	又此等差別相攝。我當次第說之。於中業煩	又 此 等 差 別 相 攝 我 當 次 第 說 之 於 中 業 煩 
T32n1652_001:0483c08	惱報差別。	惱 報 差 別 
T32n1652_001:0483c09	　初八九煩惱　　第二第十業	 初 八 九 煩 惱 第 二 第 十 業 
T32n1652_001:0483c10	　餘七皆是苦　　三攝十二法	 餘 七 皆 是 苦 三 攝 十 二 法 
T32n1652_001:0483c11	三煩惱者。無明渴愛取。二業者。行有。七報	三 煩 惱 者 無 明 渴 愛 取 二 業 者 行 有 七 報 
T32n1652_001:0483c12	者。識名色六入觸受生老死等。此十二法三	者 識 名 色 六 入 觸 受 生 老 死 等 此 十 二 法 三 
T32n1652_001:0483c13	種所攝。	種 所 攝 
T32n1652_001:0483c14	又時差別。	又 時 差 別 
T32n1652_001:0483c15	　初二是過去　　後二未來時	 初 二 是 過 去 後 二 未 來 時 
T32n1652_001:0483c16	　餘八是現在　　此謂三時法	 餘 八 是 現 在 此 謂 三 時 法 
T32n1652_001:0483c17	無明行初二種過去時中。生老死後二種未	無 明 行 初 二 種 過 去 時 中 生 老 死 後 二 種 未 
T32n1652_001:0483c18	來時中。識名色六入觸受渴愛取有八種。現	來 時 中 識 名 色 六 入 觸 受 渴 愛 取 有 八 種 現 
T32n1652_001:0483c19	在時中。	在 時 中 
T32n1652_001:0483c20	又此等各各次第相生。	又 此 等 各 各 次 第 相 生 
T32n1652_001:0483c21	　惱起業感報　　報還生煩惱	 惱 起 業 感 報 報 還 生 煩 惱 
T32n1652_001:0483c22	　煩惱復生業　　亦由業有報	 煩 惱 復 生 業 亦 由 業 有 報 
T32n1652_001:0483c23	煩惱業報三種如前所說。由彼煩惱故有業。	煩 惱 業 報 三 種 如前所說 由 彼 煩 惱 故 有 業 
T32n1652_001:0483c24	由業故有報。還由報故有煩惱。由煩惱故有	由 業 故 有 報 還 由 報 故 有 煩 惱 由 煩 惱 故 有 
T32n1652_001:0483c25	業。由業故有報。	業 由 業 故 有 報 
T32n1652_001:0483c26	問曰。由煩惱盡各各寂滅。其義云何。答曰。	問 曰 由 煩 惱 盡 各 各 寂 滅 其 義 云 何 答 曰 
T32n1652_001:0483c27	　離惱何有業　　業壞亦無報	 離 惱 何 有 業 業 壞 亦 無 報 
T32n1652_001:0483c28	　無報則離惱　　此三各自滅	 無 報 則 離 惱 此 三 各 自 滅 
T32n1652_001:0483c29	若其此心無煩惱染則不集業。若不作業則	若 其 此 心 無 煩 惱 染 則 不 集 業 若 不 作 業 則 
T32n1652_001:0484a01	不受報。若滅報者亦不生煩惱。如是此三各	不 受 報 若 滅 報 者 亦 不 生 煩 惱 如 是 此 三 各 
T32n1652_001:0484a02	各自滅。	各 自 滅 
T32n1652_001:0484a03	又此等有因果分。	又 此 等 有 因 果 分 
T32n1652_001:0484a04	　五分因生果　　名為煩惱業	 五 分 因 生 果 名 為 煩 惱 業 
T32n1652_001:0484a05	　七分以為果　　七種苦應念	 七 分 以 為 果 七 種 苦 應 念 
T32n1652_001:0484a06	五種因名為煩惱業者。如前所說。無明行渴	五 種 因 名 為 煩 惱 業 者 如前所說 無 明 行 渴 
T32n1652_001:0484a07	愛取有是也。七種果轉生者。亦如前所說。七	愛 取 有 是 也 七 種 果 轉 生 者 亦 如前所說 七 
T32n1652_001:0484a08	種苦所謂識名色六入觸受生老死是也。又	種 苦 所 謂 識 名 色 六 入 觸 受 生 老 死 是 也 又 
T32n1652_001:0484a09	此因果二種空。	此 因 果 二 種 空 
T32n1652_001:0484a10	　因中空無果　　因中亦無因	 因 中 空 無 果 因 中 亦 無 因 
T32n1652_001:0484a11	　果中空無因　　果中亦無果	 果 中 空 無 因 果 中 亦 無 果 
T32n1652_001:0484a12	　因果二俱空　　智者與相應(梵本本一偈今為一偈半)	 因 果 二 俱 空 智 者 與 相 應 梵 本 本 一 偈 今 為 一 偈 半 
T32n1652_001:0484a13	若此所說因果二種。於中若因空果果亦空	若 此 所 說 因 果 二 種 於 中 若 因 空 果 果 亦 空 
T32n1652_001:0484a14	因。如是因亦空因果亦空果。於此四際當與	因 如 是 因 亦 空 因 果 亦 空 果 於 此 四 際 當 與 
T32n1652_001:0484a15	相應。	相 應 
T32n1652_001:0484a16	又此更有別分。	又 此 更 有 別 分 
T32n1652_001:0484a17	　世中四種分　　因果合故有	 世 中 四 種 分 因 果 合 故 有 
T32n1652_001:0484a18	　煩惱業果合　　念欲為六分	 煩 惱 業 果 合 念 欲 為 六 分 
T32n1652_001:0484a19	世中四種分因果合故有者。	世 中 四 種 分 因 果 合 故 有 者 
T32n1652_001:0484a20	道中五種因。及七種果。和合故總略為四種。	道 中 五 種 因 及 七 種 果 和 合 故 總 略 為 四 種 
T32n1652_001:0484a21	次第有四種分。於中無明行過去時中。二法	次 第 有 四 種 分 於 中 無 明 行 過 去 時 中 二 法 
T32n1652_001:0484a22	為第一分。識名色六入觸受現在時中。為第	為 第 一 分 識 名 色 六 入 觸 受 現 在 時 中 為 第 
T32n1652_001:0484a23	二分。渴愛取有亦是現在時中。為第三分。生	二 分 渴 愛 取 有 亦 是 現 在 時 中 為 第 三 分 生 
T32n1652_001:0484a24	老死未來時中。二法為第四分。此謂四種分	老 死 未 來 時 中 二 法 為 第 四 分 此 謂 四 種 分 
T32n1652_001:0484a25	也。煩惱業果合念欲為六分者。煩惱業報三	也 煩 惱 業 果 合 念 欲 為 六 分 者 煩 惱 業 報 三 
T32n1652_001:0484a26	種和合。以次第故。於二根本有六種分。於	種 和 合 以 次 第 故 於 二 根 本 有 六 種 分 於 
T32n1652_001:0484a27	中無明所攝。乃至受以無明為根。渴愛所攝。	中 無 明 所 攝 乃 至 受 以 無 明 為 根 渴 愛 所 攝 
T32n1652_001:0484a28	乃至老死以渴愛為根。無明根中無明是煩	乃 至 老 死 以 渴 愛 為 根 無 明 根 中 無 明 是 煩 
T32n1652_001:0484a29	惱分。行是業分。識名色六入觸受是報分。	惱 分 行 是 業 分 識 名 色 六 入 觸 受 是 報 分 
T32n1652_001:0484b01	渴愛根中渴愛取是煩惱分。有是業分。生老	渴 愛 根 中 渴 愛 取 是 煩 惱 分 有 是 業 分 生 老 
T32n1652_001:0484b02	死是報分。	死 是 報 分 
T32n1652_001:0484b03	又節分總略。	又 節 分 總 略 
T32n1652_001:0484b04	　有節所攝故　　二節及三略	 有 節 所 攝 故 二 節 及 三 略 
T32n1652_001:0484b05	　因果雜為節　　三四節總略	 因 果 雜 為 節 三 四 節 總 略 
T32n1652_001:0484b06	有節為本發起二節。所謂有生兩間。為第一	有 節 為 本 發 起 二 節 所 謂 有 生 兩 間 為 第 一 
T32n1652_001:0484b07	節。行識兩間。是第二節。此二並為業果節。受	節 行 識 兩 間 是 第 二 節 此 二 並 為 業 果 節 受 
T32n1652_001:0484b08	渴愛中因果共雜。是第三節。此之三節復為	渴 愛 中 因 果 共 雜 是 第 三 節 此 之 三 節 復 為 
T32n1652_001:0484b09	四種總略。無明行二種。是第一總略。識名	四 種 總 略 無 明 行 二 種 是 第 一 總 略 識 名 
T32n1652_001:0484b10	色六入觸受五種。是第二總略。渴愛取有三	色 六 入 觸 受 五 種 是 第 二 總 略 渴 愛 取 有 三 
T32n1652_001:0484b11	種。是第三總略。生老死二種。是第四總略。此	種 是 第 三 總 略 生 老 死 二 種 是 第 四 總 略 此 
T32n1652_001:0484b12	謂三節及四總略。	謂 三 節 及 四 總 略 
T32n1652_001:0484b13	又此等法中住時差別。	又 此 等 法 中 住 時 差 別 
T32n1652_001:0484b14	　二二三三二　　苦時有五法	 二 二 三 三 二 苦 時 有 五 法 
T32n1652_001:0484b15	　作者胎境界　　發轉生流行	 作 者 胎 境 界 發 轉 生 流 行 
T32n1652_001:0484b16	二二法者。無明行說為二種。識名色說為二	二 二 法 者 無 明 行 說 為 二 種 識 名 色 說 為 二 
T32n1652_001:0484b17	種。三三者。六入觸受說為三種。渴愛取有說	種 三 三 者 六 入 觸 受 說 為 三 種 渴 愛 取 有 說 
T32n1652_001:0484b18	為三種。又二者。生老死說為二種。此等五	為 三 種 又 二 者 生 老 死 說 為 二 種 此 等 五 
T32n1652_001:0484b19	法。是苦時中作者胎藏境界發轉出生。於中	法 是 苦 時 中 作 者 胎 藏 境 界 發 轉 出 生 於 中 
T32n1652_001:0484b20	流行。如數當知。於中無明行二種。說為苦時	流 行 如 數 當 知 於 中 無 明 行 二 種 說 為 苦 時 
T32n1652_001:0484b21	中作者。應如是見。識名色二種。說為苦時中	中 作 者 應 如 是 見 識 名 色 二 種 說 為 苦 時 中 
T32n1652_001:0484b22	胎藏。應如是見。六入觸受三種。說為苦時中	胎 藏 應 如 是 見 六 入 觸 受 三 種 說 為 苦 時 中 
T32n1652_001:0484b23	境界。渴愛取有三種。說為苦時中發轉。生老	境 界 渴 愛 取 有 三 種 說 為 苦 時 中 發 轉 生 老 
T32n1652_001:0484b24	死二種說。為苦時中出生。	死 二 種 說 為 苦 時 中 出 生 
T32n1652_001:0484b25	又果差別。	又 果 差 別 
T32n1652_001:0484b26	　迷惑發起果　　報流果為二	 迷 惑 發 起 果 報 流 果 為 二 
T32n1652_001:0484b27	　相應根分中　　一一三二分	 相 應 根 分 中 一 一 三 二 分 
T32n1652_001:0484b28	如前所說。此無明根及渴愛根。於無明根第	如前所說 此 無 明 根 及 渴 愛 根 於 無 明 根 第 
T32n1652_001:0484b29	一分中。迷惑發起報流。名四種果。一一三二	一 分 中 迷 惑 發 起 報 流 名 四 種 果 一 一 三 二 
T32n1652_001:0484c01	數分之中。隨其次第當與相應。於中無明是	數 分 之 中 隨其次第 當 與 相 應 於 中 無 明 是 
T32n1652_001:0484c02	迷惑果。行是發起果。識名色六入是報果。觸	迷 惑 果 行 是 發 起 果 識 名 色 六 入 是 報 果 觸 
T32n1652_001:0484c03	受是津流果。復有餘殘果。	受 是 津 流 果 復 有 餘 殘 果 
T32n1652_001:0484c04	　熱惱貧乏果　　轉出津流果	 熱 惱 貧 乏 果 轉 出 津 流 果 
T32n1652_001:0484c05	　相應他分中　　二一一一法	 相 應 他 分 中 二 一 一 一 法 
T32n1652_001:0484c06	如前所說。第二渴愛根分中。熱惱貧乏轉生	如前所說 第 二 渴 愛 根 分 中 熱 惱 貧 乏 轉 生 
