X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_001:0714a14	人批尾陋習。固不暇避也。其用意良苦。有心	人 批 尾 陋 習 固 不 暇 避 也 其 用 意 良 苦 有 心 
X62n1205_001:0714a15	人應共諒爾。未還謹識	人 應 共 諒 爾 未 還 謹 識 
X62n1205_001:0714a16	卷附	卷 附 
X62n1205_001:0714a17	上鍾子勤夫子書(以下三書勸讀書人兼論道家)	上 鍾 子 勤 夫 子 書 以 下 三 書 勸 讀 書 人 兼 論 道 家 
X62n1205_001:0714a18	其二	其 二 
X62n1205_001:0714a19	其三	其 三 
X62n1205_001:0714a20	穀梁補註再書後(是篇以天佛聖合言之可見道無方體當下即是說異說	穀 梁 補 註 再 書 後 是 篇 以 天 佛 聖 合 言 之 可 見 道 無 方 體 當 下 即 是 說 異 說 
X62n1205_001:0714a21	同祇成戲論)	同 祇 成 戲 論 
X62n1205_001:0714a22	致楊仁山書(代許息安)	致 楊 仁 山 書 代 許 息 安 
X62n1205_001:0714a23	善生經序	善 生 經 序 
X62n1205_001:0714a24	精嚴寺同戒錄序(代妹婿劉頌年作此篇勸官長護法維繫民心)	精 嚴 寺 同 戒 錄 序 代 妹 婿 劉 頌 年 作 此 篇 勸 官 長 護 法 維 繫 民 心 
X62n1205_001:0714b01	又序(此篇勸信入法門者可證禪教律三宗統歸淨宗攝無不盡)	又 序 此 篇 勸 信 入 法 門 者 可 證 禪 教 律 三 宗 統 歸 淨 宗 攝 無 不 盡 
X62n1205_001:0714b02	天台縣護持叢林永禁私佔示(代妹婿劉頌年作可為護法榜	天 台 縣 護 持 叢 林 永 禁 私 佔 示 代 妹 婿 劉 頌 年 作 可 為 護 法 榜 
X62n1205_001:0714b03	樣)	樣 
X62n1205_001:0714b04	募修揚州高旻寺正殿疏(代寺僧了凡作勸緇素各安本分即俗恒	募 修 揚 州 高 旻 寺 正 殿 疏 代 寺 僧 了 凡 作 勸 緇 素 各 安 本 分 即 俗 恒 
X62n1205_001:0714b05	真)	真 
X62n1205_001:0714b06	募修真覺寺緣起(勸法門中人護持台教陰翊皇度崇正辟邪)	募 修 真 覺 寺 緣 起 勸 法 門 中 人 護 持 台 教 陰 翊 皇 度 崇 正 辟 邪 
X62n1205_001:0714b07	補玉峯師念佛開心偈六首	補 玉 峯 師 念 佛 開 心 偈 六 首 
X62n1205_001:0714b08	達摩祖師像讚	達 摩 祖 師 像 讚 
X62n1205_001:0714b09	又指畫像讚	又 指 畫 像 讚 
X62n1205_001:0714b10	大通智勝佛拈頌	大 通 智 勝 佛 拈 頌 
X62n1205_001:0714b11	靜坐箴	靜 坐 箴 
X62n1205_001:0714b12	留仙閣頌	留 仙 閣 頌 
X62n1205_001:0714b13	經正民興說(續出)	經 正 民 興 說 續 出 
X62n1205_001:0714b17	列聖護法綸音　　　　　　　報恩論卷首	列 聖 護 法 綸 音 報 恩 論 卷 首 
X62n1205_001:0714b18	順治十五年九月	順 治 十 五 年 九 月 
X62n1205_001:0714b19	　世祖章皇帝敕諭玉琳通琇國師書	 世 祖 章 皇 帝 敕 諭 玉 琳 通 琇 國 師 書 
X62n1205_001:0714b20	朕惟立綱陳紀敷政而易俗移風見性明心傳教以	朕 惟 立 綱 陳 紀 敷 政 而 易 俗 移 風 見 性 明 心 傳 教 以 
X62n1205_001:0714b21	牖民覺世考其功業則事有殊途論厥精微斯旨歸	牖 民 覺 世 考 其 功 業 則 事 有 殊 途 論 厥 精 微 斯 旨 歸 
X62n1205_001:0714b22	同軌然遡無生之真諦不緣意象以求證般若之妙	同 軌 然 遡 無 生 之 真 諦 不 緣 意 象 以 求 證 般 若 之 妙 
X62n1205_001:0714b23	源非因文字而顯欲問大千之覺路先皈不二之度	源 非 因 文 字 而 顯 欲 問 大 千 之 覺 路 先 皈 不 二 之 度 
X62n1205_001:0714b24	門賴初祖之既來遂灋衣之不絕燃燈而照昏瞶建	門 賴 初 祖 之 既 來 遂 灋 衣 之 不 絕 燃 燈 而 照 昏 瞶 建 
X62n1205_001:0714c01	鼓以醒愚聾爰指善誘之津誕施方便之力付灋將	鼓 以 醒 愚 聾 爰 指 善 誘 之 津 誕 施 方 便 之 力 付 灋 將 
X62n1205_001:0714c02	逾百代知名何僅千人莫不宗旨共扶流風大闡用	逾 百 代 知 名 何 僅 千 人 莫 不 宗 旨 共 扶 流 風 大 闡 用 
X62n1205_001:0714c03	慈悲而度天下佐平治以化民生允有裨於盛時故	慈 悲 而 度 天 下 佐 平 治 以 化 民 生 允 有 裨 於 盛 時 故 
X62n1205_001:0714c04	恒尊於歷世茲聞爾僧通琇慧通無始智洞真如續	恒 尊 於 歷 世 茲 聞 爾 僧 通 琇 慧 通 無 始 智 洞 真 如 續 
X62n1205_001:0714c05	五葉之正宗萬灋從而歸一屏六根之邪識四大是	五 葉 之 正 宗 萬 灋 從 而 歸 一 屏 六 根 之 邪 識 四 大 是 
X62n1205_001:0714c06	以盡空掃末世之狂禪秉如來之正覺誠超生融之	以 盡 空 掃 末 世 之 狂 禪 秉 如 來 之 正 覺 誠 超 生 融 之 
X62n1205_001:0714c07	學而迥播觀摩之名者也朕俯詢灋器緬想高風思	學 而 迥 播 觀 摩 之 名 者 也 朕 俯 詢 灋 器 緬 想 高 風 思 
X62n1205_001:0714c08	御宇以來期沛無為之治而虗席以待樂聞無漏之	御 宇 以 來 期 沛 無 為 之 治 而 虗 席 以 待 樂 聞 無 漏 之 
X62n1205_001:0714c09	因用是特遣司吏院掌印官張嘉謨頒賜璽書遠延	因 用 是 特 遣 司 吏 院 掌 印 官 張 嘉 謨 頒 賜 璽 書 遠 延 
X62n1205_001:0714c10	杖錫爾其遄驅象馭早踐龍墀陳密義之慧空贊皇	杖 錫 爾 其 遄 驅 象 馭 早 踐 龍 墀 陳 密 義 之 慧 空 贊 皇 
X62n1205_001:0714c11	猷之清淨嗚呼順風而問朕將同訪道于崆峒計日	猷 之 清 淨 嗚 呼 順 風 而 問 朕 將 同 訪 道 于 崆 峒 計 日 
X62n1205_001:0714c12	以來爾尚效朝宗之江漢欽哉故諭。	以 來 爾 尚 效 朝 宗 之 江 漢 欽 哉 故 諭 
X62n1205_001:0714c13	又順治十六年四月	又 順 治 十 六 年 四 月 
X62n1205_001:0714c14	朕維教闡西乾灋流東土付妙心於四七傳正果於	朕 維 教 闡 西 乾 灋 流 東 土 付 妙 心 於 四 七 傳 正 果 於 
X62n1205_001:0714c15	二三莫不以參悟透脫者為真乘操履純一者為灋	二 三 莫 不 以 參 悟 透 脫 者 為 真 乘 操 履 純 一 者 為 灋 
X62n1205_001:0714c16	器故南嶽不汙垂護念於庾嶺馬師大用揭震喝於	器 故 南 嶽 不 汙 垂 護 念 於 庾 嶺 馬 師 大 用 揭 震 喝 於 
X62n1205_001:0714c17	雄峰以至滹水建黃檗之宗高峰繼雪巖之緒源遠	雄 峰 以 至 滹 水 建 黃 檗 之 宗 高 峰 繼 雪 巖 之 緒 源 遠 
X62n1205_001:0714c18	流長良有以也朕殫心誠正遜志危微務期於道岸	流 長 良 有 以 也 朕 殫 心 誠 正 遜 志 危 微 務 期 於 道 岸 
X62n1205_001:0714c19	誕登允懷乎德修罔覺因念夫禔躬立政聿本於見	誕 登 允 懷 乎 德 修 罔 覺 因 念 夫 禔 躬 立 政 聿 本 於 見 
X62n1205_001:0714c20	性明心大道本同精義無二緬思宗派必有高人聞	性 明 心 大 道 本 同 精 義 無 二 緬 思 宗 派 必 有 高 人 聞 
X62n1205_001:0714c21	爾禪師通琇臨濟嫡傳笑巖近裔心源明潔行解孤	爾 禪 師 通 琇 臨 濟 嫡 傳 笑 巖 近 裔 心 源 明 潔 行 解 孤 
X62n1205_001:0714c22	高故於戊戌之秋特遣皇華之使聘來京闕卓錫上	高 故 於 戊 戌 之 秋 特 遣 皇 華 之 使 聘 來 京 闕 卓 錫 上 
X62n1205_001:0714c23	林朕於聽覽之餘親詢釋梵之奧見其機鋒峻利論	林 朕 於 聽 覽 之 餘 親 詢 釋 梵 之 奧 見 其 機 鋒 峻 利 論 
X62n1205_001:0714c24	義圓通直指向上之關信稱諦當證徹無生之旨不	義 圓 通 直 指 向 上 之 關 信 稱 諦 當 證 徹 無 生 之 旨 不 
X62n1205_001:0715a01	落言詮實獲我心深契予志間泛及於眾說亦博綜	落 言 詮 實 獲 我 心 深 契 予 志 間 泛 及 於 眾 說 亦 博 綜 
X62n1205_001:0715a02	乎百家名理恒超決疑無滯洵灋門之龍象禪苑之	乎 百 家 名 理 恒 超 決 疑 無 滯 洵 灋 門 之 龍 象 禪 苑 之 
X62n1205_001:0715a03	珠林者也用是特降褒綸賜號大覺方欲久留瓶鉢	珠 林 者 也 用 是 特 降 褒 綸 賜 號 大 覺 方 欲 久 留 瓶 鉢 
X62n1205_001:0715a04	時聽伽音冀朝夕之啟予庶默成夫元旨而禪師欲	時 聽 伽 音 冀 朝 夕 之 啟 予 庶 默 成 夫 元 旨 而 禪 師 欲 
X62n1205_001:0715a05	全子道祈盡孝思堅請還山勉襄石塔遠追目犍連	全 子 道 祈 盡 孝 思 堅 請 還 山 勉 襄 石 塔 遠 追 目 犍 連 
X62n1205_001:0715a06	之度母近承陳尊宿之養親有裨人倫克端風化朕	之 度 母 近 承 陳 尊 宿 之 養 親 有 裨 人 倫 克 端 風 化 朕 
X62n1205_001:0715a07	俯徇其願敕護遄歸惜山川之既遙倐夏秋之已隔	俯 徇 其 願 敕 護 遄 歸 惜 山 川 之 既 遙 倐 夏 秋 之 已 隔 
X62n1205_001:0715a08	永言遺韻惓惓於懷追惟對御之言實發大乘之秘	永 言 遺 韻 惓 惓 於 懷 追 惟 對 御 之 言 實 發 大 乘 之 秘 
X62n1205_001:0715a09	傳燈可續末灋所希爰是復降溫綸加封大覺普濟	傳 燈 可 續 末 灋 所 希 爰 是 復 降 溫 綸 加 封 大 覺 普 濟 
X62n1205_001:0715a10	禪師賜以紫衣並予金印遣使齎往昭朕眷衷重揚	禪 師 賜 以 紫 衣 並 予 金 印 遣 使 齎 往 昭 朕 眷 衷 重 揚 
X62n1205_001:0715a11	灋席之輝永鎮山門之寶於戲龍章載錫式增慧日	灋 席 之 輝 永 鎮 山 門 之 寶 於 戲 龍 章 載 錫 式 增 慧 日 
X62n1205_001:0715a12	光華椹服新頒克紹佛衣灋數祈承顯命益勉勤修	光 華 椹 服 新 頒 克 紹 佛 衣 灋 數 祈 承 顯 命 益 勉 勤 修 
X62n1205_001:0715a13	欽哉故諭。	欽 哉 故 諭 
X62n1205_001:0715a14	又	又 
X62n1205_001:0715a15	自杖錫南還時勤企念五湖煙景三江秀麗荷衣松	自 杖 錫 南 還 時 勤 企 念 五 湖 煙 景 三 江 秀 麗 荷 衣 松 
X62n1205_001:0715a16	食致足樂也閶闔風至秋色依依益深白露伊人之	食 致 足 樂 也 閶 闔 風 至 秋 色 依 依 益 深 白 露 伊 人 之 
X62n1205_001:0715a17	想自邇以來企徹禪宗勤心灋寶慨佛果應庵之後	想 自 邇 以 來 企 徹 禪 宗 勤 心 灋 寶 慨 佛 果 應 庵 之 後 
X62n1205_001:0715a18	差近閴寂今雷音雖震而北方猶若未聞故末灋比	差 近 閴 寂 今 雷 音 雖 震 而 北 方 猶 若 未 聞 故 末 灋 比 
X62n1205_001:0715a19	邱少奉戒律其口談無而行在有者又如麻粟也茲	邱 少 奉 戒 律 其 口 談 無 而 行 在 有 者 又 如 麻 粟 也 茲 
X62n1205_001:0715a20	欲於都城建立皇壇俾衲子一千五百人眾受毗尼	欲 於 都 城 建 立 皇 壇 俾 衲 子 一 千 五 百 人 眾 受 毗 尼 
X62n1205_001:0715a21	戒七條一縷出自上方五戒三皈重宣佛義然非禪	戒 七 條 一 縷 出 自 上 方 五 戒 三 皈 重 宣 佛 義 然 非 禪 
X62n1205_001:0715a22	師親為羯磨正恐以最上慈航為人天階級耳惟冀	師 親 為 羯 磨 正 恐 以 最 上 慈 航 為 人 天 階 級 耳 惟 冀 
X62n1205_001:0715a23	荷擔如來闡明大灋不辭遠道惠然肯來則皇城四	荷 擔 如 來 闡 明 大 灋 不 辭 遠 道 惠 然 肯 來 則 皇 城 四 
X62n1205_001:0715a24	眾重聞薝蔔之香新學緇流頓長菩提之樹知禪師	眾 重 聞 薝 蔔 之 香 新 學 緇 流 頓 長 菩 提 之 樹 知 禪 師 
X62n1205_001:0715b01	以佛灋大事為先不以靜退小節縈念也遙瞻浮渡	以 佛 灋 大 事 為 先 不 以 靜 退 小 節 縈 念 也 遙 瞻 浮 渡 
X62n1205_001:0715b02	速慰悠懷。	速 慰 悠 懷 
X62n1205_001:0715b03	康熈四十年嘉平月	康 熈 四 十 年 嘉 平 月 
X62n1205_001:0715b04	　聖祖仁皇帝御製補陀羅迦普濟寺碑記	 聖 祖 仁 皇 帝 御 製 補 陀 羅 迦 普 濟 寺 碑 記 
X62n1205_001:0715b05	稽考梵書補陀羅迦山有三一居厄納忒黑一居忒	稽 考 梵 書 補 陀 羅 迦 山 有 三 一 居 厄 納 忒 黑 一 居 忒 
X62n1205_001:0715b06	白忒一居南海即是山也本山誌書未得其詳當年	白 忒 一 居 南 海 即 是 山 也 本 山 誌 書 未 得 其 詳 當 年 
X62n1205_001:0715b07	海寇猖狂凡禁海之外寺宇梵剎皆為灰燼自康熈	海 寇 猖 狂 凡 禁 海 之 外 寺 宇 梵 剎 皆 為 灰 燼 自 康 熈 
X62n1205_001:0715b08	二十二年蕩平臺灣海波永息故遊方衲子因舊基	二 十 二 年 蕩 平 臺 灣 海 波 永 息 故 遊 方 衲 子 因 舊 基 
X62n1205_001:0715b09	址斬蓬蒿艾藜藿而更新焉朕時巡浙西特遣專官	址 斬 蓬 蒿 艾 藜 藿 而 更 新 焉 朕 時 巡 浙 西 特 遣 專 官 
X62n1205_001:0715b10	虔修淨供敬書題額永鎮山門復發帑金重修寺宇	虔 修 淨 供 敬 書 題 額 永 鎮 山 門 復 發 帑 金 重 修 寺 宇 
X62n1205_001:0715b11	務俾殿堂廡牖丹碧華燁棼橑煥美而一木一石悉	務 俾 殿 堂 廡 牖 丹 碧 華 燁 棼 橑 煥 美 而 一 木 一 石 悉 
X62n1205_001:0715b12	出公家一夫一役不煩民力上為	出 公 家 一 夫 一 役 不 煩 民 力 上 為 
X62n1205_001:0715b13	慈闈延禧下為蒼生錫祉也朕自弱齡誦讀經史以	慈 闈 延 禧 下 為 蒼 生 錫 祉 也 朕 自 弱 齡 誦 讀 經 史 以 
X62n1205_001:0715b14	修齊治平為本未暇覧金經貝葉空寂泡影之文所	修 齊 治 平 為 本 未 暇 覧 金 經 貝 葉 空 寂 泡 影 之 文 所 
X62n1205_001:0715b15	以不能窺其堂奧槩而言之元者善之長也佛者以	以 不 能 窺 其 堂 奧 槩 而 言 之 元 者 善 之 長 也 佛 者 以 
X62n1205_001:0715b16	善為本推而擴之大約無二上天好生化育萬彚大	善 為 本 推 而 擴 之 大 約 無 二 上 天 好 生 化 育 萬 彚 大 
X62n1205_001:0715b17	士慈悲度盡眾生亦無二也朕求治勤民四十餘載	士 慈 悲 度 盡 眾 生 亦 無 二 也 朕 求 治 勤 民 四 十 餘 載 
X62n1205_001:0715b18	矣今者兵革已銷而民生未臻康阜梗頑雖化而民	矣 今 者 兵 革 已 銷 而 民 生 未 臻 康 阜 梗 頑 雖 化 而 民 
X62n1205_001:0715b19	心未盡淳良皆因水旱靡常豐歉各異此朕寤寐孳	心 未 盡 淳 良 皆 因 水 旱 靡 常 豐 歉 各 異 此 朕 寤 寐 孳 
X62n1205_001:0715b20	孳不能釋也以大士之力庶幾慈雲法雨甘露祥風	孳 不 能 釋 也 以 大 士 之 力 庶 幾 慈 雲 法 雨 甘 露 祥 風 
X62n1205_001:0715b21	使歲稔人安萬姓仁壽則普濟之弘功即時雍之上	使 歲 稔 人 安 萬 姓 仁 壽 則 普 濟 之 弘 功 即 時 雍 之 上 
X62n1205_001:0715b22	理是朕之心也夫爰書翰簡勒諸穹碑垂示無盡云。	理 是 朕 之 心 也 夫 爰 書 翰 簡 勒 諸 穹 碑 垂 示 無 盡 云 
X62n1205_001:0715b23	又	又 
X62n1205_001:0715b24	御製重修天竺寺碑文	御 製 重 修 天 竺 寺 碑 文 
X62n1205_001:0715c01	朕御麻凝庥心周區域省方設教蹕駐山湖眷茲民	朕 御 麻 凝 庥 心 周 區 域 省 方 設 教 蹕 駐 山 湖 眷 茲 民 
X62n1205_001:0715c02	力於東南詎止皇輿之名勝若迺因其舊蹟無侈前	力 於 東 南 詎 止 皇 輿 之 名 勝 若 迺 因 其 舊 蹟 無 侈 前 
X62n1205_001:0715c03	觀則天竺寺之所由以重修也粤惟鷲嶺著於西方	觀 則 天 竺 寺 之 所 由 以 重 修 也 粤 惟 鷲 嶺 著 於 西 方 
X62n1205_001:0715c04	法輪則一竺峰麗於南國名剎維三固緇梵所薰修	法 輪 則 一 竺 峰 麗 於 南 國 名 剎 維 三 固 緇 梵 所 薰 修 
X62n1205_001:0715c05	亦僊靈之窟宅潮音送響遙接普陀塔影橫空長留	亦 僊 靈 之 窟 宅 潮 音 送 響 遙 接 普 陀 塔 影 橫 空 長 留 
X62n1205_001:0715c06	舍利瑞光發於澗上奇木像大士之容白衣感夫夢	舍 利 瑞 光 發 於 澗 上 奇 木 像 大 士 之 容 白 衣 感 夫 夢 
X62n1205_001:0715c07	中淨域建看經之院或旱乾間作禾麥告枯而幡蓋	中 淨 域 建 看 經 之 院 或 旱 乾 間 作 禾 麥 告 枯 而 幡 蓋 
X62n1205_001:0715c08	來迎霪雨濡足有禱輒應無福不臻斯固歷晉宋以	來 迎 霪 雨 濡 足 有 禱 輒 應 無 福 不 臻 斯 固 歷 晉 宋 以 
X62n1205_001:0715c09	迄今實亦載簡編而可信意者能仁之量等於好生	迄 今 實 亦 載 簡 編 而 可 信 意 者 能 仁 之 量 等 於 好 生 
X62n1205_001:0715c10	佛道之成關乎民隱推斯指也不其偉與將使般若	佛 道 之 成 關 乎 民 隱 推 斯 指 也 不 其 偉 與 將 使 般 若 
X62n1205_001:0715c11	之門隨方而啟仁壽之域舉世咸登有其興矣曷可	之 門 隨 方 而 啟 仁 壽 之 域 舉 世 咸 登 有 其 興 矣 曷 可 
X62n1205_001:0715c12	廢哉朕曩者親奉	廢 哉 朕 曩 者 親 奉 
X62n1205_001:0715c13	慈闈式臨茲宇自芳湖而西顧望初地以南循輦過	慈 闈 式 臨 茲 宇 自 芳 湖 而 西 顧 望 初 地 以 南 循 輦 過 
X62n1205_001:0715c14	花迎旌迴雲捲巖深乳竇含真珠之寶光峰轉飛來	花 迎 旌 迴 雲 捲 巖 深 乳 竇 含 真 珠 之 寶 光 峰 轉 飛 來 
X62n1205_001:0715c15	帶琉璃之紺色百靈斯護七聖不迷既祝我	帶 琉 璃 之 紺 色 百 靈 斯 護 七 聖 不 迷 既 祝 我 
X62n1205_001:0715c16	皇太后壽履康甯復冀凡茲庶民室家盈慶然則迦	皇 太 后 壽 履 康 甯 復 冀 凡 茲 庶 民 室 家 盈 慶 然 則 迦 
X62n1205_001:0715c17	釋之弘慈與國家之布德豈有殊也顧念山靈如昔	釋 之 弘 慈 與 國 家 之 布 德 豈 有 殊 也 顧 念 山 靈 如 昔 
X62n1205_001:0715c18	寺貌未新我	寺 貌 未 新 我 
X62n1205_001:0715c19	皇太后為國發心為民祈福時申	皇 太 后 為 國 發 心 為 民 祈 福 時 申 
X62n1205_001:0715c20	慈命重葺香林茲役之興不妨民事凌雲再煥將無	慈 命 重 葺 香 林 茲 役 之 興 不 妨 民 事 凌 雲 再 煥 將 無 
X62n1205_001:0715c21	乾竺之靈匪日成功實篤坤元之慶恒沙國土偕常	乾 竺 之 靈 匪 日 成 功 實 篤 坤 元 之 慶 恒 沙 國 土 偕 常 
X62n1205_001:0715c22	樂以同升億萬蒼生享太平而無極是則我	樂 以 同 升 億 萬 蒼 生 享 太 平 而 無 極 是 則 我 
X62n1205_001:0715c23	皇太后之聖心依然迦釋之心而於朕經營天下利	皇 太 后 之 聖 心 依 然 迦 釋 之 心 而 於 朕 經 營 天 下 利 
X62n1205_001:0715c24	濟生民之心亦適有愜也夫。	濟 生 民 之 心 亦 適 有 愜 也 夫 
X62n1205_001:0716a01	雍正元年六月十八日	雍 正 元 年 六 月 十 八 日 
X62n1205_001:0716a02	　世宗憲皇帝硃批浙江巡撫(臣)李馥奏	 世 宗 憲 皇 帝 硃 批 浙 江 巡 撫 臣 李 馥 奏 
X62n1205_001:0716a03	再諭粵溯道統之傳堯舜以至周公孔子聖聖相承	再 諭 粵 溯 道 統 之 傳 堯 舜 以 至 周 公 孔 子 聖 聖 相 承 
X62n1205_001:0716a04	精一不雜原無藉於釋道自漢以來三教流傳炳若	精 一 不 雜 原 無 藉 於 釋 道 自 漢 以 來 三 教 流 傳 炳 若 
X62n1205_001:0716a05	三光屹然鼎峙歷千百年而不廢不墜豈非道並行	三 光 屹 然 鼎 峙 歷 千 百 年 而 不 廢 不 墜 豈 非 道 並 行 
X62n1205_001:0716a06	而不相悖歟吾儒正心率性釋家明心見性元門修	而 不 相 悖 歟 吾 儒 正 心 率 性 釋 家 明 心 見 性 元 門 修 
X62n1205_001:0716a07	心煉性以言乎體則同聖人之明德新民如來之自	心 煉 性 以 言 乎 體 則 同 聖 人 之 明 德 新 民 如 來 之 自 
X62n1205_001:0716a08	利利他太上之度人無量以言乎用又同中庸曰戒	利 利 他 太 上 之 度 人 無 量 以 言 乎 用 又 同 中 庸 曰 戒 
X62n1205_001:0716a09	慎乎其所不睹恐懼乎其所不聞內典云六塵涉境	慎 乎 其 所 不 睹 恐 懼 乎 其 所 不 聞 內 典 云 六 塵 涉 境 
X62n1205_001:0716a10	心不隨緣道德經云不見可欲使心不亂以言乎進	心 不 隨 緣 道 德 經 云 不 見 可 欲 使 心 不 亂 以 言 乎 進 
X62n1205_001:0716a11	修工夫亦未嘗不同何下士往往以管蠡之見縱橫	修 工 夫 亦 未 嘗 不 同 何 下 士 往 往 以 管 蠡 之 見 縱 橫 
X62n1205_001:0716a12	辯駁以逞其胸臆蓋止據形迹而論而實未窺其奧	辯 駁 以 逞 其 胸 臆 蓋 止 據 形 迹 而 論 而 實 未 窺 其 奧 
X62n1205_001:0716a13	蘊也其言以為二氏之學全無關乎世道人心而孰	蘊 也 其 言 以 為 二 氏 之 學 全 無 關 乎 世 道 人 心 而 孰 
X62n1205_001:0716a14	知有不然者夫積善之家必有餘慶積不善之家必	知 有 不 然 者 夫 積 善 之 家 必 有 餘 慶 積 不 善 之 家 必 
X62n1205_001:0716a15	有餘殃理載於周易善惡之報如影隨形義著於感	有 餘 殃 理 載 於 周 易 善 惡 之 報 如 影 隨 形 義 著 於 感 
X62n1205_001:0716a16	應篇四生六道因果輪迴之秘諦散見於大藏諸經	應 篇 四 生 六 道 因 果 輪 迴 之 秘 諦 散 見 於 大 藏 諸 經 
X62n1205_001:0716a17	其所以警戒提撕誘掖獎勸若合符節究其指歸無	其 所 以 警 戒 提 撕 誘 掖 獎 勸 若 合 符 節 究 其 指 歸 無 
X62n1205_001:0716a18	非勉人為善而已况細而閨闈里巷遠而海澨山陬	非 勉 人 為 善 而 已 况 細 而 閨 闈 里 巷 遠 而 海 澨 山 陬 
X62n1205_001:0716a19	有不可以禮樂維持詩書訓導者而二氏之教皆足	有 不 可 以 禮 樂 維 持 詩 書 訓 導 者 而 二 氏 之 教 皆 足 
X62n1205_001:0716a20	以感發其皈向之誠消磨其隱微之慝由是觀之釋	以 感 發 其 皈 向 之 誠 消 磨 其 隱 微 之 慝 由 是 觀 之 釋 
X62n1205_001:0716a21	道甯無補於王化也哉試問中國將此三途去二留	道 甯 無 補 於 王 化 也 哉 試 問 中 國 將 此 三 途 去 二 留 
X62n1205_001:0716a22	一能乎否耶不能則何必分門立戶互相排擠有若	一 能 乎 否 耶 不 能 則 何 必 分 門 立 戶 互 相 排 擠 有 若 
X62n1205_001:0716a23	聚訟然顧茲末法黃冠緇流下愚者多率皆餓夫懶	聚 訟 然 顧 茲 末 法 黃 冠 緇 流 下 愚 者 多 率 皆 餓 夫 懶 
X62n1205_001:0716a24	漢苟希利養以故招提蘭若竟成藏垢納污之地此	漢 苟 希 利 養 以 故 招 提 蘭 若 竟 成 藏 垢 納 污 之 地 此 
