T42n1824_001:0001a03	中論序疏	中 論 序 疏 
T42n1824_001:0001a28	人也。道不孤運。弘之由人。故前明所弘之	人 也 道 不 孤 運 弘 之 由 人 故 前 明 所 弘 之 
T42n1824_001:0001a29	道。後序弘道之人。又題中論五百偈者重其	道 後 序 弘 道 之 人 又 題 中 論 五 百 偈 者 重 其 
T42n1824_001:0001b01	法也。龍樹菩薩者尊其人也。又初句簡二邊	法 也 龍 樹 菩 薩 者 尊 其 人 也 又 初 句 簡 二 邊 
T42n1824_001:0001b02	之法也。後句別小乘之人也。所言中論者玄	之 法 也 後 句 別 小 乘 之 人 也 所 言 中 論 者 玄 
T42n1824_001:0001b03	義具述。今既釋序略明五意。一者斯論定佛	義 具 述 今 既 釋 序 略 明 五 意 一 者 斯 論 定 佛 
T42n1824_001:0001b04	法之偏正。判得失之根原。是以龍樹標中論	法 之 偏 正 判 得 失 之 根 原 是 以 龍 樹 標 中 論 
T42n1824_001:0001b05	名也。二者斯文論中實之理。從所詮理實得	名 也 二 者 斯 文 論 中 實 之 理 從 所 詮 理 實 得 
T42n1824_001:0001b06	名故云中論。業品云。此論所明義離於斷常	名 故 云 中 論 業 品 云 此 論 所 明 義 離 於 斷 常 
T42n1824_001:0001b07	見故云中論。三者龍樹所作凡有三論。一無	見 故 云 中 論 三 者 龍 樹 所 作 凡 有 三 論 一 無 
T42n1824_001:0001b08	畏之廣。次十二之略。今是折中之說。故秤	畏 之 廣 次 十 二 之 略 今 是 折 中 之 說 故 秤 
T42n1824_001:0001b09	中論。四者以文表義。斯論前無緣起後略餘	中 論 四 者 以 文 表 義 斯 論 前 無 緣 起 後 略 餘 
T42n1824_001:0001b10	勢但有正文。以文表義理故秤中論。五者龍	勢 但 有 正 文 以 文 表 義 理 故 秤 中 論 五 者 龍 
T42n1824_001:0001b11	樹大士是中道人。中道人所製作。從人立名	樹 大 士 是 中 道 人 中 道 人 所 製 作 從 人 立 名 
T42n1824_001:0001b12	故秤中論。五百偈者。前標其名今序偈數。偈	故 秤 中 論 五 百 偈 者 前 標 其 名 今 序 偈 數 偈 
T42n1824_001:0001b13	有二種。一是首盧偈。謂胡人數經法也。則	有 二 種 一 是 首 盧 偈 謂 胡 人 數 經 法 也 則 
T42n1824_001:0001b14	是通偈。言通偈者。莫問長行偈頌。但令數滿	是 通 偈 言 通 偈 者 莫 問 長 行 偈 頌 但 令 數 滿 
T42n1824_001:0001b15	三十二字。則是偈也。二者別偈。謂結句為偈。	三 十 二 字 則 是 偈 也 二 者 別 偈 謂 結 句 為 偈 
T42n1824_001:0001b16	莫問四言五言六言七言。但令四句滿便是	莫 問 四 言 五 言 六 言 七 言 但 令 四 句 滿 便 是 
T42n1824_001:0001b17	偈也。偈者外國具音應言竭夜。或秤祇夜。	偈 也 偈 者 外 國 具 音 應 言 竭 夜 或 秤 祇 夜 
T42n1824_001:0001b18	今示存略但秤為偈。偈者句也頌也。又言偈	今 示 存 略 但 秤 為 偈 偈 者 句 也 頌 也 又 言 偈 
T42n1824_001:0001b19	者。此土漢書亦有此音。訓言竭義。謂明義竭	者 此 土 漢 書 亦 有 此 音 訓 言 竭 義 謂 明 義 竭 
T42n1824_001:0001b20	盡故秤為偈。但結句秤偈凡有二種。一路伽	盡 故 秤 為 偈 但 結 句 秤 偈 凡 有 二 種 一 路 伽 
T42n1824_001:0001b21	偈。謂頌長行偈也。二伽陀偈。謂孤起偈也。此	偈 謂 頌 長 行 偈 也 二 伽 陀 偈 謂 孤 起 偈 也 此 
T42n1824_001:0001b22	論秤偈者。通別二中謂別偈也。後二之文謂	論 秤 偈 者 通 別 二 中 謂 別 偈 也 後 二 之 文 謂 
T42n1824_001:0001b23	孤起偈也。五百者。即文審之凡四百四十六	孤 起 偈 也 五 百 者 即 文 審 之 凡 四 百 四 十 六 
T42n1824_001:0001b24	偈。或是全其大數。或翻之不盡。以本為名	偈 或 是 全 其 大 數 或 翻 之 不 盡 以 本 為 名 
T42n1824_001:0001b25	故秤五百。眾經及論文有三焉。一但長行。即	故 秤 五 百 眾 經 及 論 文 有 三 焉 一 但 長 行 即 
T42n1824_001:0001b26	百論也。二但有偈。斯文。三具二種。十二門	百 論 也 二 但 有 偈 斯 文 三 具 二 種 十 二 門 
T42n1824_001:0001b27	論之流。龍樹十住毘婆沙云。或有樂長行。或	論 之 流 龍 樹 十 住 毘 婆 沙 云 或 有 樂 長 行 或 
T42n1824_001:0001b28	有樂偈頌。或有樂雜說莊嚴章句者。所好各	有 樂 偈 頌 或 有 樂 雜 說 莊 嚴 章 句 者 所 好 各 
T42n1824_001:0001b29	不同。我隨而不捨。論三既爾。經義例然。龍	不 同 我 隨 而 不 捨 論 三 既 爾 經 義 例 然 龍 
T42n1824_001:0001c01	樹者。依梵音應云伽那馥力叉。伽那者龍也。	樹 者 依 梵 音 應 云 伽 那 馥 力 叉 伽 那 者 龍 也 
T42n1824_001:0001c02	馥力叉者樹也。智度論云。童籠磨者龍也。	馥 力 叉 者 樹 也 智 度 論 云 童 籠 磨 者 龍 也 
T42n1824_001:0001c03	馥力叉是樹通名也。別名阿闍那。如此間梨	馥 力 叉 是 樹 通 名 也 別 名 阿 闍 那 如 此 間 梨 
T42n1824_001:0001c04	李樹等。問龍樹是何位之人。答聖迹無方高	李 樹 等 問 龍 樹 是 何 位 之 人 答 聖 迹 無 方 高 
T42n1824_001:0001c05	下未易可測。僅依經傳敘其淺深。睿公云。功	下 未 易 可 測 僅 依 經 傳 敘 其 淺 深 睿 公 云 功 
T42n1824_001:0001c06	格十地道摸補處。是窮學之人。傳云。智慧日	格 十 地 道 摸 補 處 是 窮 學 之 人 傳 云 智 慧 日 
T42n1824_001:0001c07	已頹。斯人令再耀。世昏寢已久。斯人悟令	已 頹 斯 人 令 再 耀 世 昏 寢 已 久 斯 人 悟 令 
T42n1824_001:0001c08	學。外國為之立廟事之若佛。安知非佛示為	學 外 國 為 之 立 廟 事 之 若 佛 安 知 非 佛 示 為 
T42n1824_001:0001c09	菩薩乎。匡山遠法師云。名貫道位德備三忍。	菩 薩 乎 匡 山 遠 法 師 云 名 貫 道 位 德 備 三 忍 
T42n1824_001:0001c10	亦十地高仁也。依楞伽經。大慧菩薩問。世尊	亦 十 地 高 仁 也 依 楞 伽 經 大 慧 菩 薩 問 世 尊 
T42n1824_001:0001c11	滅度後佛法何人持。佛答。大慧汝當知。南	滅 度 後 佛 法 何 人 持 佛 答 大 慧 汝 當 知 南 
T42n1824_001:0001c12	天竺大國中有大德比丘。名龍樹菩薩。為人	天 竺 大 國 中 有 大 德 比 丘 名 龍 樹 菩 薩 為 人 
T42n1824_001:0001c13	說大乘無上法。能破有無見。住初歡喜地。往	說 大 乘 無 上 法 能 破 有 無 見 住 初歡喜地 往 
T42n1824_001:0001c14	生安養國。釋此語不同。舊云。龍樹是初地人。	生 安 養 國 釋 此 語 不 同 舊 云 龍 樹 是 初 地 人 
T42n1824_001:0001c15	關內姚道安學智度論云。此是龍樹引眾生	關 內 姚 道 安 學 智 度 論 云 此 是 龍 樹 引 眾 生 
T42n1824_001:0001c16	令入初地。而實是十地人也。問何依人也。答	令 入 初 地 而 實 是 十 地 人 也 問 何 依 人 也 答 
T42n1824_001:0001c17	若云初地則二依人也。若是窮學則第四依	若 云 初 地 則 二 依 人 也 若 是 窮 學 則 第 四 依 
T42n1824_001:0001c18	人。問云何是四依。答且依一判。如小乘見	人 問 云 何 是 四 依 答 且 依 一 判 如 小 乘 見 
T42n1824_001:0001c19	道前具煩惱人是一依。須陀洹斯陀含是二	道 前 具 煩 惱 人 是 一 依 須陀洹斯陀含 是 二 
T42n1824_001:0001c20	依。阿那含是三依。羅漢第四依。約大乘望	依 阿 那 含 是 三 依 羅 漢 第 四 依 約 大 乘 望 
T42n1824_001:0001c21	十迴向是一依。初地至七地是二依。八九地	十 迴 向 是 一 依 初 地 至 七 地 是 二 依 八 九 地 
T42n1824_001:0001c22	是三依。十地第四依。如楞伽是第二依。如睿	是 三 依 十 地 第 四 依 如 楞 伽 是 第 二 依 如 睿 
T42n1824_001:0001c23	師是第四依。以釋迦佛法無別菩薩僧。龍樹	師 是 第 四 依 以 釋 迦 佛 法 無 別 菩 薩 僧 龍 樹 
T42n1824_001:0001c24	是出家之人。故依小乘位分之。名貫道位者。	是 出家之人 故 依 小 乘 位 分 之 名 貫 道 位 者 
T42n1824_001:0001c25	菩薩位之通名也。德備三忍。謂信順無生也。	菩 薩 位 之 通 名 也 德 備 三 忍 謂 信 順 無 生 也 
T42n1824_001:0001c26	問龍樹更有異名耶。答有。順中論是天親所	問 龍 樹 更 有 異 名 耶 答 有 順 中 論 是 天 親 所 
T42n1824_001:0001c27	作。言順中論者。廣引大品等經證釋八不。八	作 言 順 中 論 者 廣 引 大 品 等 經 證 釋 八 不 八 
T42n1824_001:0001c28	不則是中道。依文釋義故云順中論。順中論	不 則 是 中 道 依 文 釋 義 故 云 順 中 論 順 中 論 
T42n1824_001:0001c29	云龍勝菩薩非龍樹也。今宜會之。以龍成其	云 龍 勝 菩 薩 非 龍 樹 也 今 宜 會 之 以 龍 成 其 
T42n1824_001:0002a01	勝道故云龍勝。蓋但敘其未字。前則道俗雙	勝 道 故 云 龍 勝 蓋 但 敘 其 未 字 前 則 道 俗 雙 
T42n1824_001:0002a02	舉。故義無所害。以中為名者下第二釋論名	舉 故 義 無 所 害 以 中 為 名 者 下 第 二 釋 論 名 
T42n1824_001:0002a03	題。但論有廣略二本。略但云中論。廣則加	題 但 論 有 廣 略 二 本 略 但 云 中 論 廣 則 加 
T42n1824_001:0002a04	以觀也。然斯廣略皆有其義。所言略者。謂理	以 觀 也 然 斯 廣 略 皆 有 其 義 所 言 略 者 謂 理 
T42n1824_001:0002a05	教義也。中是所詮之理。論是能詮之教。斯	教 義 也 中 是 所 詮 之 理 論 是 能 詮 之 教 斯 
T42n1824_001:0002a06	無理不攝。無教不收。問何由爾耶。答所詮之	無 理 不 攝 無 教 不 收 問 何 由 爾 耶 答 所 詮 之 
T42n1824_001:0002a07	中則三種中道。世諦中真諦中非真非俗中。	中 則 三 種 中 道 世 諦 中 真 諦 中 非 真 非 俗 中 
T42n1824_001:0002a08	能詮之教即論此三中。是以無教不收無理	能 詮 之 教 即 論 此 三 中 是 以 無 教 不 收 無 理 
T42n1824_001:0002a09	不攝。所言廣本具三者。中諸佛菩薩所行之	不 攝 所 言 廣 本 具 三 者 中 諸佛菩薩 所 行 之 
T42n1824_001:0002a10	道。觀謂諸佛菩薩能觀之心。諸佛觀辨於心	道 觀 謂 諸佛菩薩 能 觀 之 心 諸 佛 觀 辨 於 心 
T42n1824_001:0002a11	宣之於口。秤之為經。菩薩觀辨於心宣之於	宣 之 於 口 秤 之 為 經 菩 薩 觀 辨 於 心 宣 之 於 
T42n1824_001:0002a12	口。目之為論。要具斯三義乃圓足。玄章內已	口 目 之 為 論 要 具 斯 三 義 乃 圓 足 玄 章 內 已 
T42n1824_001:0002a13	釋之。但中有三。一者對斷常之偏明中。此	釋 之 但 中 有 三 一 者 對 斷 常 之 偏 明 中 此 
T42n1824_001:0002a14	是對偏中。二者盡偏中。立於中名欲盡於偏	是 對 偏 中 二 者 盡 偏 中 立 於 中 名 欲 盡 於 偏 
T42n1824_001:0002a15	病。故名盡偏中。又一意亦為偏病盡得有於	病 故 名 盡 偏 中 又 一 意 亦 為 偏 病 盡 得 有 於 
T42n1824_001:0002a16	中也。問盡偏對偏及絕待中此三何異。答玄	中 也 問 盡 偏 對 偏 及 絕 待 中 此 三 何 異 答 玄 
T42n1824_001:0002a17	意已明。今重略敘。盡偏中者。蓋是洗淨斷	意 已 明 今 重 略 敘 盡 偏 中 者 蓋 是 洗 淨 斷 
T42n1824_001:0002a18	常故強名為中。雖盡於偏而有於中。如經云。	常 故 強 名 為 中 雖 盡 於 偏 而 有 於 中 如 經 云 
T42n1824_001:0002a19	眾生起見凡有二種。一斷二常。無常無斷乃	眾 生 起 見 凡 有 二 種 一 斷 二 常 無 常 無 斷 乃 
T42n1824_001:0002a20	名中道。對偏中者。此約所詮之理對破偏病。	名 中 道 對 偏 中 者 此 約 所 詮 之 理 對 破 偏 病 
T42n1824_001:0002a21	故名為中。絕待中者凡有二種。一者如涅槃	故 名 為 中 絕 待 中 者 凡 有 二 種 一 者 如 涅 槃 
T42n1824_001:0002a22	云。有小涅槃有大涅槃。小涅槃者待苦說樂。	云 有 小 涅 槃 有 大 涅 槃 小 涅 槃 者 待 苦 說 樂 
T42n1824_001:0002a23	大涅槃者絕此苦樂乃名大樂。此之絕待猶	大 涅 槃 者 絕 此 苦 樂 乃 名 大 樂 此 之 絕 待 猶 
T42n1824_001:0002a24	是待義。二者此絕待涅槃不可說其苦樂。不	是 待 義 二 者 此 絕 待 涅 槃 不 可 說 其 苦 樂 不 
T42n1824_001:0002a25	知何以美之。強名為樂乃秤大樂。方是絕待	知 何 以 美 之 強 名 為 樂 乃 秤 大 樂 方 是 絕 待 
T42n1824_001:0002a26	樂。中義亦然。須深見此意。問獨空與絕待	樂 中 義 亦 然 須 深 見 此 意 問 獨 空 與 絕 待 
T42n1824_001:0002a27	中何異。答人多不體獨空之旨。但依智度論	中 何 異 答 人 多 不 體 獨 空 之 旨 但 依 智 度 論 
T42n1824_001:0002a28	文。十八空是對有明空。秤相待空。非空非有	文 十 八 空 是 對 有 明 空 秤 相 待 空 非 空 非 有 
T42n1824_001:0002a29	無所因待秤為獨空。今謂蓋是一種方言。尋	無 所 因 待 秤 為 獨 空 今 謂 蓋 是 一 種 方 言 尋 
T42n1824_001:0002b01	獨空意不然。以本來畢竟無所有唯有實相	獨 空 意 不 然 以 本 來 畢 竟 無 所 有 唯 有 實 相 
T42n1824_001:0002b02	法性故秤為獨。正宗爾也。攝大乘云。真如	法 性 故 秤 為 獨 正 宗 爾 也 攝 大 乘 云 真 如 
T42n1824_001:0002b03	獨存。亦同此意。問何故此獨作空名說耶。答	獨 存 亦 同 此 意 問 何 故 此 獨 作 空 名 說 耶 答 
T42n1824_001:0002b04	以畢竟無一切患累有法故秤為空。大集云。	以 畢 竟 無 一 切 患 累 有 法 故 秤 為 空 大 集 云 
T42n1824_001:0002b05	不可說故無相貌故名為空。法華經云。終歸	不 可 說 故 無 相 貌 故 名 為 空 法 華 經 云 終 歸 
T42n1824_001:0002b06	於空。義亦如是。就睿師釋題有三。一釋名。	於 空 義 亦 如 是 就 睿 師 釋 題 有 三 一 釋 名 
T42n1824_001:0002b07	二立名意。三利益。以中為名者照其實也。照	二 立 名 意 三 利 益 以 中 為 名 者 照 其 實 也 照 
T42n1824_001:0002b08	有二義。一照訓顯。立此中名顯理實也。二	有 二 義 一 照 訓 顯 立 此 中 名 顯 理 實 也 二 
T42n1824_001:0002b09	蓋是以譬題名。非燈無由照了於物。非中名	蓋 是 以 譬 題 名 非 燈 無 由 照 了 於 物 非 中 名 
T42n1824_001:0002b10	無由顯於理實。故云照也。以論為稱者盡其	無 由 顯 於 理 實 故 云 照 也 以 論 為 稱 者 盡 其 
T42n1824_001:0002b11	言也。盡者蓋是暢盡無餘之名。如小乘有所	言 也 盡 者 蓋 是 暢 盡 無 餘 之 名 如 小 乘 有 所 
T42n1824_001:0002b12	得之論。破邪未窮論正不足。蓋是有餘之說	得 之 論 破 邪 未 窮 論 正 不 足 蓋 是 有 餘 之 說 
T42n1824_001:0002b13	故不名為盡。與此相違秤為盡也。蓋是論理	故 不 名 為 盡 與 此 相 違 秤 為 盡 也 蓋 是 論 理 
T42n1824_001:0002b14	既窮其言亦盡。故云盡言。不云無言秤盡。睿	既 窮 其 言 亦 盡 故 云 盡 言 不 云 無 言 秤 盡 睿 
T42n1824_001:0002b15	師但釋中論不明觀者。以中是理論名為教。	師 但 釋 中 論 不 明 觀 者 以 中 是 理 論 名 為 教 
T42n1824_001:0002b16	此二既含故不釋觀也。實非名不悟下第二	此 二 既 含 故 不 釋 觀 也 實 非 名 不 悟 下 第 二 
T42n1824_001:0002b17	立名意。然至道非中不中非名不名而立中	立 名 意 然 至 道 非 中 不 中 非 名 不 名 而 立 中 
T42n1824_001:0002b18	名者。理雖非中不中。為令物得悟故強立中	名 者 理 雖 非 中 不 中 為 令 物 得 悟 故 強 立 中 
T42n1824_001:0002b19	名也。言非釋不盡故假論以明之者。若不假	名 也 言 非 釋 不 盡 故 假 論 以 明 之 者 若 不 假 
T42n1824_001:0002b20	問答以釋於言。則宣道之言無由得盡。以假	問 答 以 釋 於 言 則 宣 道 之 言 無 由 得 盡 以 假 
T42n1824_001:0002b21	問答申釋此言故。宣道之言方得明顯。以斯	問 答 申 釋 此 言 故 宣 道 之 言 方 得 明 顯 以 斯 
T42n1824_001:0002b22	文詳之。故知非無言而秤盡言也。然言只是	文 詳 之 故 知 非 無 言 而 秤 盡 言 也 然 言 只 是 
T42n1824_001:0002b23	論耳。但令綺互解釋故云言非釋不盡假論	論 耳 但 令 綺 互 解 釋 故 云 言 非 釋 不 盡 假 論 
T42n1824_001:0002b24	明之耳。其實既宣。第三立名利益。初明理教。	明 之 耳 其 實 既 宣 第 三 立 名 利 益 初 明 理 教 
T42n1824_001:0002b25	次敘得益。其實既宣者理顯也。其言既明者	次 敘 得 益 其 實 既 宣 者 理 顯 也 其 言 既 明 者 
T42n1824_001:0002b26	教明了也。於菩薩之行道場之照下辨得益	教 明 了 也 於 菩 薩 之 行 道 場 之 照 下 辨 得 益 
T42n1824_001:0002b27	也。以理顯言明故。因教悟理。則因成果立。	也 以 理 顯 言 明 故 因 教 悟 理 則 因 成 果 立 
T42n1824_001:0002b28	又則是法華唯顯一理唯教一人也。朗然懸	又 則 是 法 華 唯 顯 一 理 唯 教 一 人 也 朗 然 懸 
T42n1824_001:0002b29	解者。借莊周之言以顯因果成立之義。安時	解 者 借 莊 周 之 言 以 顯 因 果 成 立 之 義 安 時 
T42n1824_001:0002c01	而處順。哀樂不能入也。謂是帝之懸解也。斯	而 處 順 哀 樂 不 能 入 也 謂 是 帝 之 懸 解 也 斯 
T42n1824_001:0002c02	可敘二義。一者菩薩因成道場照顯。則永離	可 敘 二 義 一 者 菩 薩 因 成 道 場 照 顯 則 永 離 
T42n1824_001:0002c03	生死欣戚。如哀樂之不入。二者有繫曰顯。	生 死 欣 戚 如 哀 樂 之 不 入 二 者 有 繫 曰 顯 
T42n1824_001:0002c04	無繫秤解。有繫者謂斷常諸邊秤之為繫。諸	無 繫 秤 解 有 繫 者 謂 斷 常 諸 邊 秤 之 為 繫 諸 
T42n1824_001:0002c05	見既寂故目為解。夫滯惑生於倒見者。第三	見 既 寂 故 目 為 解 夫 滯 惑 生 於 倒 見 者 第 三 
T42n1824_001:0002c06	敘造論緣起。就文為二。初敘緣起。次明龍	敘 造 論 緣 起 就 文 為 二 初 敘 緣 起 次 明 龍 
T42n1824_001:0002c07	樹出世破迷造論。初有二句。一凡迷二聖失。	樹 出 世 破 迷 造 論 初 有 二 句 一 凡 迷 二 聖 失 
T42n1824_001:0002c08	凡迷者謂九十六術及起愛之流也。聖失者	凡 迷 者 謂 九 十 六 術 及 起 愛 之 流 也 聖 失 者 
T42n1824_001:0002c09	執小乘及有所得大乘者也。斯二無失不該。	執 小 乘 及 有 所 得 大 乘 者 也 斯 二 無 失 不 該 
T42n1824_001:0002c10	初謂自樹失。次稟教迷。凡迷為二。一起迷	初 謂 自 樹 失 次 稟 教 迷 凡 迷 為 二 一 起 迷 
T42n1824_001:0002c11	因。二迷所得果。迷因二句。在果亦然。夫滯惑	因 二 迷 所 得 果 迷 因 二 句 在 果 亦 然 夫 滯 惑 
T42n1824_001:0002c12	者。滯謂滯著。則起愛之流也。惑謂迷惑。起見	者 滯 謂 滯 著 則 起 愛 之 流 也 惑 謂 迷 惑 起 見 
T42n1824_001:0002c13	之流也。生死眾生以在家起愛出家起見。則	之 流 也 生 死 眾 生 以 在 家 起 愛 出 家 起 見 則 
T42n1824_001:0002c14	法華毒虫之與惡鬼。火宅之內唯斯二物。亦	法 華 毒 虫 之 與 惡 鬼 火 宅 之 內 唯 斯 二 物 亦 
T42n1824_001:0002c15	生死根本唯愛與見。如涅槃說。生於倒見者。	生 死 根 本 唯 愛 與 見 如 涅 槃 說 生 於 倒 見 者 
T42n1824_001:0002c16	前明愛見末。此句次尋其根。所以有愛見者。	前 明 愛 見 末 此 句 次 尋 其 根 所 以 有 愛 見 者 
T42n1824_001:0002c17	皆由顛倒橫見故生。如淨名云。善惡由身。身	皆 由 顛 倒 橫 見 故 生 如 淨 名 云 善 惡 由 身 身 
T42n1824_001:0002c18	由於貪。貪由分別虛妄。虛妄分別由於顛倒。	由 於 貪 貪 由 分 別 虛 妄 虛妄分別 由 於 顛 倒 
T42n1824_001:0002c19	是以顛倒所見為在家出家愛見本也。又前	是 以 顛 倒 所 見 為 在家出家 愛 見 本 也 又 前 
T42n1824_001:0002c20	句既明有愛有見。後句亦有倒有見。倒則顛	句 既 明 有 愛 有 見 後 句 亦 有 倒 有 見 倒 則 顛 
T42n1824_001:0002c21	倒也。見謂虛妄分別。故末有其二。在本亦兩。	倒 也 見 謂 虛妄分別 故 末 有 其 二 在 本 亦 兩 
T42n1824_001:0002c22	三界以之而淪溺者。此第二次明失果也。起	三 界 以 之 而 淪 溺 者 此 第 二 次 明 失 果 也 起 
T42n1824_001:0002c23	愛見二因感三界淪溺兩果。沒水為溺。土陷	愛 見 二 因 感 三 界 淪 溺 兩 果 沒 水 為 溺 土 陷 
T42n1824_001:0002c24	為淪。法華云。如是種種諸苦眾生沒在其中。	為 淪 法 華 云 如 是 種 種 諸 苦 眾 生 沒 在 其 中 
T42n1824_001:0002c25	以苦喻大海。故沒在苦之內則溺義也。三界	以 苦 喻 大 海 故 沒 在 苦 之 內 則 溺 義 也 三 界 
T42n1824_001:0002c26	無常舍之崩倒則陷義也。故起愛見兩因感	無 常 舍 之 崩 倒 則 陷 義 也 故 起 愛 見 兩 因 感 
T42n1824_001:0002c27	無常苦二果。如法華云。惡鬼毒虫二因感舍	無 常 苦 二 果 如 法 華 云 惡 鬼 毒 虫 二 因 感 舍 
T42n1824_001:0002c28	之崩倒及火起燒宅二果。睿師全同法華意	之 崩 倒 及 火 起 燒 宅 二 果 睿 師 全 同 法 華 意 
T42n1824_001:0002c29	及維摩之說也。偏悟起於厭智者。第二次辨	及 維 摩 之 說 也 偏 悟 起 於 厭 智 者 第 二 次 辨 
T42n1824_001:0003a01	聖失。凡失重故前明。聖失輕故後辨。則重	聖 失 凡 失 重 故 前 明 聖 失 輕 故 後 辨 則 重 
T42n1824_001:0003a02	輕次第。又前是外迷。今辨內惑。亦是外重內	輕 次 第 又 前 是 外 迷 今 辨 內 惑 亦 是 外 重 內 
T42n1824_001:0003a03	輕為次第也。就文為二。一正辨失。二得失互	輕 為 次 第 也 就 文 為 二 一 正 辨 失 二 得 失 互 
T42n1824_001:0003a04	相顯釋。初中二句。一辨失因。二明失果。失	相 顯 釋 初 中 二 句 一 辨 失 因 二 明 失 果 失 
T42n1824_001:0003a05	因有二。失果亦兩。與上相對也。偏悟者。對上	因 有 二 失 果 亦 兩 與 上 相 對 也 偏 悟 者 對 上 
T42n1824_001:0003a06	凡迷故聖秤為悟。若望大乘故秤為偏。所以	凡 迷 故 聖 秤 為 悟 若 望 大 乘 故 秤 為 偏 所 以 
T42n1824_001:0003a07	云偏悟也。涅槃云。二乘之人名為曲見。又	云 偏 悟 也 涅 槃 云 二 乘 之 人 名 為 曲 見 又 
T42n1824_001:0003a08	云。若以聲聞辟支佛心言無布施。是則名為	云 若 以 聲 聞 辟 支 佛 心 言 無 布 施 是 則 名 為 
T42n1824_001:0003a09	破戒邪見。法華云眇目座陋。眇目者所見不	破 戒 邪 見 法 華 云 眇 目 座 陋 眇 目 者 所 見 不 
T42n1824_001:0003a10	正也。所謂空有二見並皆不正見。王宮實生	正 也 所 謂 空 有 二 見 並 皆 不 正 見 王 宮 實 生 
T42n1824_001:0003a11	雙林實滅。謂所見不正。智度論云。二乘之	雙 林 實 滅 謂 所 見 不 正 智 度 論 云 二 乘 之 
T42n1824_001:0003a12	空名為但空。故空見不正。又二乘無有中道	空 名 為 但 空 故 空 見 不 正 又 二 乘 無 有 中 道 
