T85n2749_001:0180a03	法華經疏	法 華 經 疏 
T85n2749_001:0180b11	諸魔外道。為他所立邪道為藥。能害慧命為	諸 魔 外 道 為 他 所 立 邪 道 為 藥 能 害 慧 命 為 
T85n2749_001:0180b12	毒。諸子信受為飲。藥發者見愛互興。悶絕者	毒 諸 子 信 受 為 飲 藥 發 者 見 愛 互 興 悶 絕 者 
T85n2749_001:0180b13	癡纏絡無出於三界。輪迴於六道故曰宛轉	癡 纏 絡 無 出 於 三 界 輪 迴 於 六 道 故 曰 宛 轉 
T85n2749_001:0180b14	於地。	於 地 
T85n2749_001:0180b15	經曰。是時其父還來歸家者。第五佛興譬。緣	經 曰 是 時 其 父 還 來 歸 家 者 第 五 佛 興 譬 緣 
T85n2749_001:0180b16	盡所以前去。感熟所以還來。來何所歸還入	盡 所 以 前 去 感 熟 所 以 還 來 來 何 所 歸 還 入 
T85n2749_001:0180b17	火宅故曰歸家。	火 宅 故 曰 歸 家 
T85n2749_001:0180b18	經曰。諸子飲毒至更賜壽命者。第六機過譬。	經 曰 諸 子 飲 毒 至 更 賜 壽 命 者 第 六 機 過 譬 
T85n2749_001:0180b19	失心者行淺惑深忘於本見。不失心者行深	失 心 者 行 淺 惑 深 忘 於 本 見 不 失 心 者 行 深 
T85n2749_001:0180b20	或淺。猶存舊解。位在暖前得暖則不受邪教	或 淺 猶 存 舊 解 位 在 暖 前 得 暖 則 不 受 邪 教 
T85n2749_001:0180b21	故。遙見其父者未親給侍。皆大歡喜者意已	故 遙 見 其 父 者 未 親 給 侍 皆大歡喜 者 意 已 
T85n2749_001:0180b22	歸心。禮拜者身業崇重。問訊者口言稱嘆。稱	歸 心 禮 拜 者 身 業 崇 重 問 訊 者 口 言 稱 嘆 稱 
T85n2749_001:0180b23	嘆之辭即是善安隱歸。安隱謂涅槃即是真	嘆 之 辭 即 是 善 安 隱 歸 安 隱 謂 涅 槃 即 是 真 
T85n2749_001:0180b24	實。善從真實善道中來故曰安隱歸。我等愚	實 善 從 真 實 善 道 中 來 故 曰 安 隱 歸 我 等 愚 
T85n2749_001:0180b25	癡者悔受邪教。誤服毒藥者悔行邪道。願見	癡 者 悔 受 邪 教 誤 服 毒 藥 者 悔 行 邪 道 願 見 
T85n2749_001:0180b26	救療者邪病須攻。更賜壽命者正道須得。	救 療 者 邪 病 須 攻 更 賜 壽 命 者 正 道 須 得 
T85n2749_001:0180b27	經曰。父見子等至與子令服者。第七說教譬。	經 曰 父 見 子 等 至 與 子 令 服 者 第 七 說 教 譬 
T85n2749_001:0180b28	見子苦惱者愍彼病機。依諸經方者導行古	見 子 苦 惱 者 愍 彼 病 機 依 諸 經 方 者 導 行 古 
T85n2749_001:0180b29	法。求好藥草者簡偽取真色。香美味者備答	法 求 好 藥 草 者 簡 偽 取 真 色 香 美 味 者 備 答 
T85n2749_001:0180c01	三學。色以譬戒。香以譬定。味以譬慧。三學圓	三 學 色 以 譬 戒 香 以 譬 定 味 以 譬 慧 三 學 圓 
T85n2749_001:0180c02	滿故言具足。擣蒒和合者說有　時。說小為	滿 故 言 具 足 擣 蒒 和 合 者 說 有 時 說 小 為 
T85n2749_001:0180c03	擣。說大為蒒。說一為合。又示轉為擣。勸轉	擣 說 大 為 蒒 說 一 為 合 又 示 轉 為 擣 勸 轉 
T85n2749_001:0180c04	為蒒證轉為合。又令下種為擣。令修行為蒒。	為 蒒 證 轉 為 合 又 令 下 種 為 擣 令 修 行 為 蒒 
T85n2749_001:0180c05	令解脫為合。以此授機故曰與子令服。	令 解 脫 為 合 以 此 授 機 故 曰 與 子 令 服 
T85n2749_001:0180c06	經曰。而作是言至無復眾患者。第八令修譬。	經 曰 而 作 是 言 至 無 復 眾 患 者 第 八 令 修 譬 
T85n2749_001:0180c07	此大良藥色香美味者稱美正教。汝等可服	此 大 良 藥 色 香 美 味 者 稱 美 正 教 汝 等 可 服 
T85n2749_001:0180c08	者勸令修行。速除苦惱者必得解脫。除苦苦	者 勸 令 修 行 速 除 苦 惱 者 必 得 解 脫 除 苦 苦 
T85n2749_001:0180c09	惱即於嗔解脫。除壞苦惱即於貪解脫。除行	惱 即 於 嗔 解 脫 除 壞 苦 惱 即 於 貪 解 脫 除 行 
T85n2749_001:0180c10	苦惱即於癡解脫。於嗔解脫是解脫欲界。於	苦 惱 即 於 癡 解 脫 於 嗔 解 脫 是 解 脫 欲 界 於 
T85n2749_001:0180c11	貪解脫是解脫色界。於癡解脫是解脫無色	貪 解 脫 是 解 脫 色 界 於 癡 解 脫 是 解 脫 無 色 
T85n2749_001:0180c12	界故曰無復眾患。	界 故 曰 無 復 眾 患 
T85n2749_001:0180c13	經曰。其諸子中至病盡除愈者。第九利解譬。	經 曰 其 諸 子 中 至 病 盡 除 愈 者 第 九 利 解 譬 
T85n2749_001:0180c14	不失心者條前利根。見此良藥者明受正法。	不 失 心 者 條 前 利 根 見 此 良 藥 者 明 受 正 法 
T85n2749_001:0180c15	即便服之者如說修行。病盡得愈者漏盡解	即 便 服 之 者 如說修行 病 盡 得 愈 者 漏 盡 解 
T85n2749_001:0180c16	脫。	脫 
T85n2749_001:0180c17	經曰。餘失心者至而謂不美者。第十鈍迷譬。	經 曰 餘 失 心 者 至 而 謂 不 美 者 第 十 鈍 迷 譬 
T85n2749_001:0180c18	餘失心者者條前鈍根。見其父來者明得值	餘 失 心 者 者 條 前 鈍 根 見 其 父 來 者 明 得 值 
T85n2749_001:0180c19	佛。雖亦歡喜者明有信心。求索治病者厭苦	佛 雖 亦 歡 喜 者 明 有 信 心 求 索 治 病 者 厭 苦 
T85n2749_001:0180c20	求樂與藥。不服者彰其懈怠。失本心故者見	求 樂 與 藥 不 服 者 彰 其 懈 怠 失 本 心 故 者 見 
T85n2749_001:0180c21	深慢重。於此良藥謂為不美者不得法味。	深 慢 重 於 此 良 藥 謂 為 不 美 者 不 得 法 味 
T85n2749_001:0180c22	經曰。父作是念至心皆顛倒者。次第二唱死	經 曰 父 作 是 念 至 心 皆 顛 倒 者 次 第 二 唱 死 
T85n2749_001:0180c23	作入無餘譬。文亦十重。一愍病。二興嗟。三	作 入 無 餘 譬 文 亦 十 重 一 愍 病 二 興 嗟 三 
T85n2749_001:0180c24	變術。四告期五付囑。六敦勵。七現滅。八解	變 術 四 告 期 五 付 囑 六 敦 勵 七 現 滅 八 解 
T85n2749_001:0180c25	生。九復真。十除妄。此第一愍病也。邪教居心	生 九 復 真 十 除 妄 此 第 一 愍 病 也 邪 教 居 心 
T85n2749_001:0180c26	四倒競發封常既重。怠慢更深故曰心皆顛	四 倒 競 發 封 常 既 重 怠 慢 更 深 故 曰 心 皆 顛 
T85n2749_001:0180c27	倒。	倒 
T85n2749_001:0180c28	經曰。雖見我喜至而不肯服者。第二興嗟也。	經 曰 雖 見 我 喜 至 而 不 肯 服 者 第 二 興 嗟 也 
T85n2749_001:0180c29	雖有信法之心。而無詣理之行故曰而不肯	雖 有 信 法 之 心 而 無 詣 理 之 行 故 曰 而 不 肯 
T85n2749_001:0181a01	服。	服 
T85n2749_001:0181a02	經曰。我今當設方便令服此藥者。第三變術	經 曰 我 今 當 設 方 便 令 服 此 藥 者 第 三 變 術 
T85n2749_001:0181a03	也。更須權稱滅度令其心生渴仰故。曰令服	也 更 須 權 稱 滅 度 令 其 心 生 渴 仰 故 曰 令 服 
T85n2749_001:0181a04	此藥。	此 藥 
T85n2749_001:0181a05	經曰。即作是言至死時已至者。第四告期也。	經 曰 即 作 是 言 至 死 時 已 至 者 第 四 告 期 也 
T85n2749_001:0181a06	如經說吾年八十形如故車。當般涅槃故曰	如 經 說 吾 年 八 十 形 如 故 車 當 般 涅 槃 故 曰 
T85n2749_001:0181a07	死時已至。	死 時 已 至 
T85n2749_001:0181a08	經曰。是好良藥今留在此者。第五付囑也。三	經 曰 是 好 良 藥 今 留 在 此 者 第 五 付 囑 也 三 
T85n2749_001:0181a09	藏法寶尚傳不滅。汝須記憶故曰今留在此。	藏 法 寶 尚 傳 不 滅 汝 須 記 憶 故 曰 今 留 在 此 
T85n2749_001:0181a10	經曰。汝可取服勿憂不差者。第六敦勵也。四	經 曰 汝 可 取 服 勿 憂 不 差 者 第 六 敦 勵 也 四 
T85n2749_001:0181a11	倒雖重行之即除。故曰勿憂不差。	倒 雖 重 行 之 即 除 故 曰 勿 憂 不 差 
T85n2749_001:0181a12	經曰。作是教已至汝父已死者。第七現滅也。	經 曰 作 是 教 已 至 汝 父 已 死 者 第 七 現 滅 也 
T85n2749_001:0181a13	作是教已者。付囑已周。復至他國者。身歸寂	作 是 教 已 者 付 囑 已 周 復 至 他 國 者 身 歸 寂 
T85n2749_001:0181a14	滅。遣使還告者。碎身布骨。汝父已死者。隱智	滅 遣 使 還 告 者 碎 身 布 骨 汝 父 已 死 者 隱 智 
T85n2749_001:0181a15	轁光。	轁 光 
T85n2749_001:0181a16	經曰。是時諸子至毒病皆愈者。第八解生也。	經 曰 是 時 諸 子 至 毒 病 皆 愈 者 第 八 解 生 也 
T85n2749_001:0181a17	聞父背喪心大憂惱者。承凶權慟父在慈愍。	聞 父 背 喪 心 大 憂 惱 者 承 凶 權 慟 父 在 慈 愍 
T85n2749_001:0181a18	能見救護者。追仰深恩。今者捨我遠喪他國	能 見 救 護 者 追 仰 深 恩 今 者 捨 我 遠 喪 他 國 
T85n2749_001:0181a19	者。慈尊永住。自惟孤露無所恃怙者。飄零何	者 慈 尊 永 住 自 惟 孤 露 無 所 恃 怙 者 飄 零 何 
T85n2749_001:0181a20	託。常懷悲感心遂醒悟者。憶前付囑。乃知此	託 常 懷 悲 感 心 遂 醒 悟 者 憶 前 付 囑 乃 知 此 
T85n2749_001:0181a21	藥色味香美者。審教中機。即取服之毒病皆	藥 色 味 香 美 者 審 教 中 機 即 取 服 之 毒 病 皆 
T85n2749_001:0181a22	愈者道修病破。	愈 者 道 修 病 破 
T85n2749_001:0181a23	經曰。其父聞子至咸使見之者。第九復真也。	經 曰 其 父 聞 子 至 咸 使 見 之 者 第 九 復 真 也 
T85n2749_001:0181a24	權効既彰。真身須現。欲救變易歸令見之。	權 効 既 彰 真 身 須 現 欲 救 變 易 歸 令 見 之 
T85n2749_001:0181a25	經曰。諸善男子至不也世尊者。第十除妄也。	經 曰 諸 善 男 子 至 不 也 世 尊 者 第 十 除 妄 也 
T85n2749_001:0181a26	不滅唱滅於言似虛。無益得益於心即實故。	不 滅 唱 滅 於 言 似 虛 無 益 得 益 於 心 即 實 故 
T85n2749_001:0181a27	無虛妄之罪也。	無 虛 妄 之 罪 也 
T85n2749_001:0181a28	經曰。佛言我亦至阿僧祇劫者。次第三合說	經 曰 佛 言 我 亦 至 阿僧祇劫 者 次 第 三 合 說 
T85n2749_001:0181a29	三重。一合不死譬。二合唱死譬。三合無妄	三 重 一 合 不 死 譬 二 合 唱 死 譬 三 合 無 妄 
T85n2749_001:0181b01	譬。此合不死也。	譬 此 合 不 死 也 
T85n2749_001:0181b02	經曰。為眾生故至言當滅度者。此合唱死也。	經 曰 為 眾 生 故 至 言 當 滅 度 者 此 合 唱 死 也 
T85n2749_001:0181b03	經曰。亦無有能至虛妄過者。此合無妄也。次	經 曰 亦 無 有 能 至 虛 妄 過 者 此 合 無 妄 也 次 
T85n2749_001:0181b04	偈頌二十五偈半兩重。初十九偈半頌菩提	偈 頌 二 十 五 偈 半 兩 重 初 十 九 偈 半 頌 菩 提 
T85n2749_001:0181b05	無上。後六偈頌涅槃無上。菩提兩重。初十一	無 上 後 六 偈 頌 涅 槃 無 上 菩 提 兩 重 初 十 一 
T85n2749_001:0181b06	偈半頌前唱久成。後八偈頌後稱不滅。久成	偈 半 頌 前 唱 久 成 後 八 偈 頌 後 稱 不 滅 久 成 
T85n2749_001:0181b07	轉勢四節。頌之初一偈標久成。次一偈頌久	轉 勢 四 節 頌 之 初 一 偈 標 久 成 次 一 偈 頌 久 
T85n2749_001:0181b08	說。次八偈半拂久疑。後一偈示久所。拂久疑	說 次 八 偈 半 拂 久 疑 後 一 偈 示 久 所 拂 久 疑 
T85n2749_001:0181b09	八偈半四重。初三偈拂自處滅。次兩偈半拂	八 偈 半 四 重 初 三 偈 拂 自 處 滅 次 兩 偈 半 拂 
T85n2749_001:0181b10	自處生。次一偈半拂他處生。後一偈半拂他	自 處 生 次 一 偈 半 拂 他 處 生 後 一 偈 半 拂 他 
T85n2749_001:0181b11	處滅。初三偈拂自處滅。約平等意說他滅為	處 滅 初 三 偈 拂 自 處 滅 約 平 等 意 說 他 滅 為 
T85n2749_001:0181b12	已滅。拂此滅有三意。初偈明滅非實滅破中	已 滅 拂 此 滅 有 三 意 初 偈 明 滅 非 實 滅 破 中 
T85n2749_001:0181b13	間不說疑。次偈明不滅能滅破中間不見疑。	間 不 說 疑 次 偈 明 不 滅 能 滅 破 中 間 不 見 疑 
T85n2749_001:0181b14	後偈明不滅須滅破中間何益疑。初偈破中	後 偈 明 不 滅 須 滅 破 中 間 何 益 疑 初 偈 破 中 
T85n2749_001:0181b15	間不說疑者。疑曰。若釋迦久成而常說者何	間 不 說 疑 者 疑 曰 若 釋 迦 久 成 而 常 說 者 何 
T85n2749_001:0181b16	得。於其中間入於涅槃耶。偈答明涅槃者。方	得 於其中間 入 於 涅 槃 耶 偈 答 明 涅 槃 者 方 
T85n2749_001:0181b17	便示之耳。上半明以權示滅。下半明以實破	便 示 之 耳 上 半 明 以 權 示 滅 下 半 明 以 實 破 
T85n2749_001:0181b18	之。既滅非實滅。我所以常說。次偈破中間	之 既 滅 非 實 滅 我 所 以 常 說 次 偈 破 中 間 
T85n2749_001:0181b19	不見疑者。疑曰。若言常說不滅。何故中間不	不 見 疑 者 疑 曰 若 言 常 說 不 滅 何 故 中 間 不 
T85n2749_001:0181b20	見耶。偈答明不見者。神力隱之耳。上半明我	見 耶 偈 答 明 不 見 者 神 力 隱 之 耳 上 半 明 我 
T85n2749_001:0181b21	能用神。下半明彼不能見。我既能滅。彼所以	能 用 神 下 半 明 彼 不 能 見 我 既 能 滅 彼 所 以 
T85n2749_001:0181b22	不見。後偈破中間何益疑者。疑曰。若能令他	不 見 後 偈 破 中 間 何 益 疑 者 疑 曰 若 能 令 他 
T85n2749_001:0181b23	不見中間有何利益耶。偈答明令他慕之耳。	不 見 中 間 有 何 利 益 耶 偈 答 明 令 他 慕 之 耳 
T85n2749_001:0181b24	上半令崇舍利。下半令慕真身。為有此益。我	上 半 令 崇 舍 利 下 半 令 慕 真 身 為 有 此 益 我 
T85n2749_001:0181b25	所以須滅。次兩偈半拂自處生者。疑曰。一時	所 以 須 滅 次 兩 偈 半 拂 自 處 生 者 疑 曰 一 時 
T85n2749_001:0181b26	一處無有二佛。若釋迦久成不滅。何得中間	一 處 無 有 二 佛 若 釋 迦 久 成 不 滅 何 得 中 間 
T85n2749_001:0181b27	復有燃燃出世耶。今約平等意說他生為自	復 有 燃 燃 出 世 耶 今 約 平 等 意 說 他 生 為 自 
T85n2749_001:0181b28	生拂。此生有四意。初一偈明有生機。次半	生 拂 此 生 有 四 意 初 一 偈 明 有 生 機 次 半 
T85n2749_001:0181b29	偈即呈生相。次半偈拂生非實。後半偈顯生	偈 即 呈 生 相 次 半 偈 拂 生 非 實 後 半 偈 顯 生 
T85n2749_001:0181c01	是權。生機一偈。上半明內心柔軟。下半明外	是 權 生 機 一 偈 上 半 明 內 心 柔 軟 下 半 明 外 
T85n2749_001:0181c02	求見佛。生相半偈。挺出靈山令彼得見此為	求 見 佛 生 相 半 偈 挺 出 靈 山 令 彼 得 見 此 為 
T85n2749_001:0181c03	生耳。拂生半偈。若前有滅可今有生。前既不	生 耳 拂 生 半 偈 若 前 有 滅 可 今 有 生 前 既 不 
T85n2749_001:0181c04	滅故今不生。顯權半偈。前現涅槃為滅。此滅	滅 故 今 不 生 顯 權 半 偈 前 現 涅 槃 為 滅 此 滅 
T85n2749_001:0181c05	既為非實。今現不滅為生。此生理即是權。次	既 為 非 實 今 現 不 滅 為 生 此 生 理 即 是 權 次 
T85n2749_001:0181c06	一偈半拂他處生。明彼處感成則彼生而此	一 偈 半 拂 他 處 生 明 彼 處 感 成 則 彼 生 而 此 
T85n2749_001:0181c07	滅。後一偈半拂他處滅。明此處感成則彼滅	滅 後 一 偈 半 拂 他 處 滅 明 此 處 感 成 則 彼 滅 
T85n2749_001:0181c08	而此生。次一偈第四示久所可見。次八偈頌	而 此 生 次 一 偈 第 四 示 久 所 可 見 次 八 偈 頌 
T85n2749_001:0181c09	後稱不滅兩重。初五偈明土不滅。後三偈明	後 稱 不 滅 兩 重 初 五 偈 明 土 不 滅 後 三 偈 明 
T85n2749_001:0181c10	身不滅。明土四重。初一偈明土體不滅。次一	身 不 滅 明 土 四 重 初 一 偈 明 土 體 不 滅 次 一 
T85n2749_001:0181c11	偈明土相不滅。次一偈明土嚴不滅。後兩偈	偈 明 土 相 不 滅 次 一 偈 明 土 嚴 不 滅 後 兩 偈 
T85n2749_001:0181c12	明土障不滅。土體一偈上半明眾生見滅。下	明 土 障 不 滅 土 體 一 偈 上 半 明 眾 生 見 滅 下 
T85n2749_001:0181c13	半明土體常存。土障兩偈。初偈明不滅見滅。	半 明 土 體 常 存 土 障 兩 偈 初 偈 明 不 滅 見 滅 
T85n2749_001:0181c14	後偈明應聞不聞。次三偈明身不滅三重。初	後 偈 明 應 聞 不 聞 次 三 偈 明 身 不 滅 三 重 初 
T85n2749_001:0181c15	一偈為緣現身。次一偈為緣說法。後一偈示	一 偈 為 緣 現 身 次 一 偈 為 緣 說 法 後 一 偈 示 
T85n2749_001:0181c16	緣壽量。偈內上半示慧命無盡。下半示身命	緣 壽 量 偈 內 上 半 示 慧 命 無 盡 下 半 示 身 命 
T85n2749_001:0181c17	無盡。次六偈頌涅槃無上明唱滅非虛三重。	無 盡 次 六 偈 頌 涅 槃 無 上 明 唱 滅 非 虛 三 重 
T85n2749_001:0181c18	初一偈勸信非虛。次一偈譬說非虛。後四偈	初 一 偈 勸 信 非 虛 次 一 偈 譬 說 非 虛 後 四 偈 
T85n2749_001:0181c19	合說非虛。合說四意。初一偈合前唱限次一	合 說 非 虛 合 說 四 意 初 一 偈 合 前 唱 限 次 一 
T85n2749_001:0181c20	偈合前指病。次一偈合前說難。後一偈合前	偈 合 前 指 病 次 一 偈 合 前 說 難 後 一 偈 合 前 
T85n2749_001:0181c21	宗益。合說難云行道不行道者。即有功德人	宗 益 合 說 難 云 行 道 不 行 道 者 即 有 功 德 人 
T85n2749_001:0181c22	無功德人。隨應所可度為說種種法者。為有	無 功 德 人 隨 應 所 可 度 為 說 種 種 法 者 為 有 
T85n2749_001:0181c23	功德人說佛不滅。為無功德人說佛滅度。難	功 德 人 說 佛 不 滅 為 無 功 德 人 說 佛 滅 度 難 
T85n2749_001:0181c24	可值遇。宗益偈云。以何令眾生速成就佛法	可 值 遇 宗 益 偈 云 以 何 令 眾 生 速 成 就 佛 法 
T85n2749_001:0181c25	者。即以不滅唱滅法令不行者得行。	者 即 以 不 滅 唱 滅 法 令 不 行 者 得 行 
T85n2749_001:0181c26	分別功德品第十七	分 別 功 德 品 第 十 七 
T85n2749_001:0181c27	前來十四品廣顯經宗。自下四品廣明經用。	前 來 十 四 品 廣 顯 經 宗 自 下 四 品 廣 明 經 用 
T85n2749_001:0181c28	故論曰勝妙力無上餘殘修多羅示現。案餘	故 論 曰 勝 妙 力 無 上 餘 殘 修 多 羅 示 現 案 餘 
T85n2749_001:0181c29	殘二義。一上殘如前解。二下殘即自下四品。	殘 二 義 一 上 殘 如 前 解 二 下 殘 即 自 下 四 品 
T85n2749_001:0182a01	初三品明生福勝妙力。常不輕品明進道勝	初 三 品 明 生 福 勝 妙 力 常 不 輕 品 明 進 道 勝 
T85n2749_001:0182a02	妙力。生福即約多以顯力。進道即約速以顯	妙 力 生 福 即 約 多 以 顯 力 進 道 即 約 速 以 顯 
T85n2749_001:0182a03	力。生福有五門示現故。論曰法力有五門。一	力 生 福 有 五 門 示 現 故 論 曰 法 力 有 五 門 一 
T85n2749_001:0182a04	者證二者信三者供養四者聞五者讀誦持	者 證 二 者 信 三 者 供 養 四 者 聞 五 者 讀 誦 持 
T85n2749_001:0182a05	說。四種門彌勒品示現。一法門常精進品示	說 四 種 門 彌 勒 品 示 現 一 法 門 常 精 進 品 示 
T85n2749_001:0182a06	現。案言彌勒品。即攝分別功德品及隨喜品。	現 案 言 彌 勒 品 即 攝 分 別 功 德 品 及 隨 喜 品 
T85n2749_001:0182a07	言常精進品。即法師功德品也。初三門分別	言 常 精 進 品 即 法 師 功 德 品 也 初 三 門 分 別 
T85n2749_001:0182a08	功德品示現。第四門隨喜功德品示現。第五	功 德 品 示 現 第 四 門 隨 喜 功 德 品 示 現 第 五 
T85n2749_001:0182a09	門法師功德品示現。分別功德品明聞經得	門 法 師 功 德 品 示 現 分 別 功 德 品 明 聞 經 得 
T85n2749_001:0182a10	多福。隨喜功德品明隨喜得多福。法師功德	多 福 隨 喜 功 德 品 明 隨 喜 得 多 福 法 師 功 德 
T85n2749_001:0182a11	品明修行得多福。聞經得多福是生解益。隨	品 明 修 行 得 多 福 聞 經 得 多 福 是 生 解 益 隨 
T85n2749_001:0182a12	喜得多福是方便益。修行得多福是起行益。	喜 得 多 福 是 方 便 益 修 行 得 多 福 是 起 行 益 
T85n2749_001:0182a13	今隨品別即以為三。初言分別功德者。分別	今 隨 品 別 即 以 為 三 初 言 分 別 功 德 者 分 別 
T85n2749_001:0182a14	聞經得功德故以為名。品內三序三頌即為	聞 經 得 功 德 故 以 為 名 品 內 三 序 三 頌 即 為 
T85n2749_001:0182a15	三節。第一節明親聞功德。第二節明傳聞功	三 節 第 一 節 明 親 聞 功 德 第 二 節 明 傳 聞 功 
T85n2749_001:0182a16	德。第三節明修行功德。初節序說兩重。一	德 第 三 節 明 修 行 功 德 初 節 序 說 兩 重 一 
T85n2749_001:0182a17	總述二別述。	總 述 二 別 述 
T85n2749_001:0182a18	經曰。爾時大會至得大饒益者。此總述也。壽	經 曰 爾 時 大 會 至 得 大 饒 益 者 此 總 述 也 壽 
T85n2749_001:0182a19	命劫數長遠者。法身之壽無始無終。即無長	命 劫 數 長 遠 者 法 身 之 壽 無 始 無 終 即 無 長 
T85n2749_001:0182a20	無短。報身之壽即有始無終。有長無短。應	無 短 報 身 之 壽 即 有 始 無 終 有 長 無 短 應 
T85n2749_001:0182a21	身之壽則有始有終。有長有短。今明報身之	身 之 壽 則 有 始 有 終 有 長 有 短 今 明 報 身 之 
