X59n1084_001:0324b06	 纂要序	 纂 要 序 
X59n1084_001:0325b07	觀菩提心	觀 菩 提 心 
X59n1084_001:0325b08	守護國界主陀羅尼經云。謂觀此身體。成金剛堅	守 護 國 界 主 陀 羅 尼 經 云 謂 觀 此 身 體 成 金 剛 堅 
X59n1084_001:0325b09	固不壞。當以身作金剛結跏。以堅牢智。諦觀自心。	固 不 壞 當 以 身 作 金 剛 結 跏 以 堅 牢 智 諦 觀 自 心 
X59n1084_001:0325b10	以為月輪。當于鼻端。不令馳散。清淨圓滿。色如凝	以 為 月 輪 當 于 鼻 端 不 令 馳 散 清 淨 圓 滿 色 如 凝 
X59n1084_001:0325b11	雪牛乳水精。而此月輪為菩提心。此菩提心本無	雪 牛 乳 水 精 而 此 月 輪 為 菩 提 心 此 菩 提 心 本 無 
X59n1084_001:0325b12	色相。為未成就諸眾生故。說如月輪。妙法蓮華經	色 相 為 未 成 就 諸 眾 生 故 說 如 月 輪 妙法蓮華 經 
X59n1084_001:0325b13	王儀軌云。推求自心。乃至不可得。則能悟入人空	王 儀 軌 云 推 求 自 心 乃 至 不 可 得 則 能 悟 入 人 空 
X59n1084_001:0325b14	智法空智。即于此無所得心。觀于圓明。淨無塵翳。	智 法 空 智 即 于 此 無 所 得 心 觀 于 圓 明 淨 無 塵 翳 
X59n1084_001:0325b15	如秋滿月。炳現于身。仰于心王。則此是本源清淨	如 秋 滿 月 炳 現 于 身 仰 于 心 王 則 此 是 本 源 清 淨 
X59n1084_001:0325b16	大圓鏡智。佛說瑜伽大教王經觀想菩提心大智	大圓鏡智 佛 說 瑜 伽 大 教 王 經 觀 想 菩 提 心 大 智 
X59n1084_001:0325b17	品。佛言此菩提心即是身相。身相性空即真菩提。	品 佛 言 此 菩 提 心 即 是 身 相 身 相 性 空 即 真 菩 提 
X59n1084_001:0325b18	身既無別。語相亦然。毗盧遮那儀軌云。先證一道	身 既 無 別 語 相 亦 然 毗 盧 遮 那 儀 軌 云 先 證 一 道 
X59n1084_001:0325b19	清淨。次證菩提心。菩提心釋云。菩提心離一切性	清 淨 次 證 菩 提 心 菩 提 心 釋 云 菩 提 心 離 一 切 性 
X59n1084_001:0325b20	非五蘊。乃至自既覺悟菩提心。如實觀己。然後發	非 五 蘊 乃 至 自 既 覺 悟 菩 提 心 如 實 觀 己 然 後 發 
X59n1084_001:0325b21	大悲心。令諸眾生于自心法。如實證覺。如是名為	大 悲 心 令 諸 眾 生 于 自 心 法 如 實 證 覺 如 是 名 為 
X59n1084_001:0325b22	一切根本最上菩提心。	一 切 根 本 最 上 菩 提 心 
X59n1084_001:0325b23	字種	字 種 
X59n1084_001:0325b24	阿闍黎觀想三十七尊字種。具如佛說瑜伽大教	阿 闍 黎 觀 想 三 十 七 尊 字 種 具 如 佛 說 瑜 伽 大 教 
X59n1084_001:0325c01	王經佛說一切如來真實攝現證三昧經。調伏一	王 經 佛 說 一 切 如 來 真 實 攝 現 證 三 昧 經 調 伏 一 
X59n1084_001:0325c02	切世間大曼拏囉儀軌云。爾時大毗遮那如來。即	切 世 間 大 曼 拏 囉 儀 軌 云 爾 時 大 毗 遮 那 如 來 即 
X59n1084_001:0325c03	入一切如來金剛法三昧。出生加持蓮花三摩地。	入 一 切 如 來 金 剛 法 三 昧 出 生 加 持 蓮 花 三 摩 地 
X59n1084_001:0325c04	說此一切如來法三昧。即一切如來心從自心出。	說 此 一 切 如 來 法 三 昧 即 一 切 如 來 心 從 自 心 出 
X59n1084_001:0325c05	說是心明曰[口*紇]哩。說是心明時。從一切如來心。出	說 是 心 明 曰 [口紇] 哩 說 是 心 明 時 從 一 切 如 來 心 出 
X59n1084_001:0325c06	現蓮花相。有無數色殊妙光明。其光旋復。從聖觀	現 蓮 花 相 有 無 數 色 殊 妙 光 明 其 光 旋 復 從 聖 觀 
X59n1084_001:0325c07	自在菩薩摩訶薩心。入[口*紇]哩字。具四字義。成一字	自 在 菩薩摩訶薩 心 入 [口紇] 哩 字 具 四 字 義 成 一 字 
X59n1084_001:0325c08	真言。如密呪圓因集說。十八會指歸云。于月輪上。	真 言 如 密 呪 圓 因 集 說 十 八 會 指 歸 云 于 月 輪 上 
X59n1084_001:0325c09	有旋列真言字。住心于一一字。實相理相應。用而	有 旋 列 真 言 字 住 心 于 一 一 字 實 相 理 相 應 用 而 
X59n1084_001:0325c10	復始。	復 始 
X59n1084_001:0325c11	手印	手 印 
X59n1084_001:0325c12	準金剛頂略出念誦法。右手配止。左手配觀。十指	準 金 剛 頂 略 出 念 誦 法 右 手 配 止 左 手 配 觀 十 指 
X59n1084_001:0325c13	配度。右手施戒忍進禪。左手慧方願力智。蓋西域	配 度 右 手 施 戒 忍 進 禪 左 手 慧 方 願 力 智 蓋 西 域 
X59n1084_001:0325c14	當陽向東。以右尊左卑故也。如意輪蓮華心儀軌	當 陽 向 東 以 右 尊 左 卑 故 也 如 意 輪 蓮 華 心 儀 軌 
X59n1084_001:0325c15	亦同。瑜伽大教王經云。爾時大徧照如來。即釋迦	亦 同 瑜 伽 大 教 王 經 云 爾 時 大 徧 照 如 來 即 釋 迦 
X59n1084_001:0325c16	佛變相。告金剛手菩薩言。三金剛大智所生秘密	佛 變 相 告 金剛手菩薩 言 三 金 剛 大 智 所 生 秘 密 
X59n1084_001:0325c17	印相法。若持誦者。依法結印。能滅一切罪業。復能	印 相 法 若 持 誦 者 依 法 結 印 能 滅 一 切 罪 業 復 能 
X59n1084_001:0325c18	觀想真理。即得證于無上菩提。何況別求成就之	觀 想 真 理 即 得 證 于 無上菩提 何 況 別 求 成 就 之 
X59n1084_001:0325c19	事。乃至依此菩提心。想為月輪。於月輪上。想有唵	事 乃 至 依 此 菩 提 心 想 為 月 輪 於 月 輪 上 想 有 唵 
X59n1084_001:0325c20	字。為身金剛。次想啊字。成語金剛。吽字成心金剛。	字 為 身 金 剛 次 想 啊 字 成 語 金 剛 吽 字 成 心 金 剛 
X59n1084_001:0325c21	故凡結印。先當想此三梵書字。今手印圖上。皆有	故 凡 結 印 先 當 想 此 三 梵 書 字 今 手 印 圖 上 皆 有 
X59n1084_001:0325c22	唵啊吽三梵書者。即是用經義也。又云。一切印從	唵 啊 吽 三 梵 書 者 即 是 用 經 義 也 又 云 一 切 印 從 
X59n1084_001:0325c23	金剛掌金剛拳金剛縛生起。	金 剛 掌 金 剛 拳 金 剛 縛 生 起 
X59n1084_001:0325c24	旹	旹 
X59n1084_001:0326a01	康熈十四年。歲在乙卯。孟秋自恣前三日。淨業比	康 熈 十 四 年 歲 在 乙 卯 孟 秋 自 恣 前 三 日 淨 業 比 
X59n1084_001:0326a02	丘寂暹巨徹氏。熏沐敬書於楞嚴般若堂。	丘 寂 暹 巨 徹 氏 熏 沐 敬 書 於 楞 嚴 般 若 堂 
X59n1084_001:0326a04	瑜伽燄口儀軌(終)	瑜 伽 燄 口 儀 軌 終 
X59n1084_001:0326a06	夫欲徧供普濟者。虔懇至誠。嚴潔壇場。隨力備辦	夫 欲 徧 供 普 濟 者 虔 懇 至 誠 嚴 潔 壇 場 隨 力 備 辦 
X59n1084_001:0326a07	香花供養飲食淨水等已。準戌亥二時施之。餓鬼	香 花 供 養 飲 食 淨 水 等 已 準 戌 亥 二 時 施 之 餓 鬼 
X59n1084_001:0326a08	得食。施主獲福。如過其時。徒廢精神。於事無益。斯	得 食 施 主 獲 福 如 過 其 時 徒 廢 精 神 於 事 無 益 斯 
X59n1084_001:0326a09	出本教。亦非胸見。今有違者。地方不寧。即此過也。	出 本 教 亦 非 胸 見 今 有 違 者 地 方 不 寧 即 此 過 也 
X59n1084_001:0326a10	若欲深明所以。請觀後註。文備彰矣。	若 欲 深 明 所 以 請 觀 後 註 文 備 彰 矣 
X59n1084_001:0326a16	瑜伽燄口註集纂要儀軌卷上	瑜 伽 燄 口 註 集 纂 要 儀 軌 卷 上 
X59n1084_001:0326a18	苕水法師　子若淨觀　攷正	苕 水 法 師 子 若 淨 觀 攷 正 
X59n1084_001:0326a19	偁山法師　內衡智銓　較閱	偁 山 法 師 內 衡 智 銓 較 閱 
X59n1084_001:0326a20	秀州後學　巨徹寂暹　纂書	秀 州 後 學 巨 徹 寂 暹 纂 書 
X59n1084_001:0326a21	　大寶華王座　　人天普護持　　我今登演處	 大 寶 華 王 座 人 天 普 護 持 我 今 登 演 處 
X59n1084_001:0326a22	　觸目即菩提	 觸 目 即 菩 提 
X59n1084_001:0326a23	吉祥會啟甘露門開。孤魂佛子降臨來。聞法赴香齋。	吉 祥 會 啟 甘 露 門 開 孤 魂 佛 子 降 臨 來 聞 法 赴 香 齋 
X59n1084_001:0326a24	逈脫輪回。幽暗一時開。	逈 脫 輪 回 幽 暗 一 時 開 
X59n1084_001:0326b01	∴雲來集	 雲 來 集 
X59n1084_001:0326b02	此香不從天降。豈屬地生。兩儀未判之先。根源充塞	此 香 不 從 天 降 豈 屬 地 生 兩 儀 未 判 之 先 根 源 充 塞 
X59n1084_001:0326b03	三界。一氣纔分之後。枝葉徧滿十方。超日月之光華。	三 界 一 氣 纔 分 之 後 枝 葉 徧 滿 十 方 超 日 月 之 光 華 
X59n1084_001:0326b04	奪山川之秀麗。即戒即定即慧。非木非火非烟。收來	奪 山 川 之 秀 麗 即 戒 即 定 即 慧 非 木 非 火 非 烟 收 來 
X59n1084_001:0326b05	在一微塵。散處普熏法界。爇向罏中。耑伸供養	在 一 微 塵 散 處 普 熏 法 界 爇 向 罏 中 耑 伸 供 養 
X59n1084_001:0326b06	常住三寶。剎海萬靈。歷代祖師。一切聖眾。河沙品類。	常 住 三 寶 剎 海 萬 靈 歷 代 祖 師 一 切 聖 眾 河 沙 品 類 
X59n1084_001:0326b07	幽顯聖凡。悉仗真香。普同供養。	幽 顯 聖 凡 悉 仗 真 香 普 同 供 養 
X59n1084_001:0326b08	∴香雲盖	 香 雲 盖 
X59n1084_001:0326b09	　佛面猶如淨滿月　　亦如千日放光明	 佛 面 猶 如 淨 滿 月 亦 如 千 日 放 光 明 
X59n1084_001:0326b10	　圓光普照于十方　　喜捨慈悲皆具足	 圓 光 普 照 于 十 方 喜 捨 慈 悲 皆 具 足 
X59n1084_001:0326b11	南無盡虗空徧法界。過現未來佛法僧三寶。	南 無 盡 虗 空 徧 法 界 過 現 未 來 佛 法 僧 三 寶 
X59n1084_001:0326b12	∴登寶座	 登 寶 座 
X59n1084_001:0326b13	伏以登瑜伽顯密之座。六度齊修。開濟物利生之門。	伏 以 登 瑜 伽 顯 密 之 座 六 度 齊 修 開 濟 物 利 生 之 門 
X59n1084_001:0326b14	三檀等施。一心湛寂。全身總是大悲王。三業應兮。脫	三 檀 等 施 一 心 湛 寂 全 身 總 是 大 悲 王 三 業 應 兮 脫 
X59n1084_001:0326b15	體俱成[口*紇]哩 字。果然如是。則是因是果。不出自心。	體 俱 成 [口紇] 哩 字 果 然 如 是 則 是 因 是 果 不 出 自 心 
X59n1084_001:0326b16	自利利他。豈關餘物。化滴水。作長河之酥酪。變微食。	自利利他 豈 關 餘 物 化 滴 水 作 長 河 之 酥 酪 變 微 食 
X59n1084_001:0326b17	為大地之斛食。于倏忽際。普濟法界之饑虗。在頃刻	為 大 地 之 斛 食 于 倏 忽 際 普 濟 法 界 之 饑 虗 在 頃 刻 
X59n1084_001:0326b18	間。利益河沙之鬼趣。若也如斯會得。須當普利羣機。	間 利 益 河 沙 之 鬼 趣 若 也 如 斯 會 得 須 當 普 利 羣 機 
X59n1084_001:0326b19	其或未然。不免重宣妙偈。所謂道。	其 或 未 然 不 免 重 宣 妙 偈 所 謂 道 
X59n1084_001:0326b20	　塵塵剎　　盡圓融　　萬別千差一貫通	 塵 塵 剎 盡 圓 融 萬 別 千 差 一 貫 通 
X59n1084_001:0326b21	　拈起珊瑚枝上月　　光輝烱烱照無窮	 拈 起 珊 瑚 枝 上 月 光 輝 烱 烱 照 無 窮 
X59n1084_001:0326b22	南無大悲觀世音菩薩(眾和畢上師祝水文)。	南 無 大 悲 觀 世 音 菩 薩 眾 和 畢 上 師 祝 水 文 
X59n1084_001:0326b23	夫此水者。八功德水自天真。先洗眾生業垢塵。徧入	夫 此 水 者 八功德水 自 天 真 先 洗 眾 生 業 垢 塵 徧 入 
X59n1084_001:0326b24	毗盧華藏界。箇中無處不超淪。水不洗水。玅極法身。	毗 盧 華 藏 界 箇 中 無 處 不 超 淪 水 不 洗 水 玅 極 法 身 
X59n1084_001:0326c01	塵不染塵。返作自己。蠲除器界。蕩滌壇場。灑枯木而	塵 不 染 塵 返 作 自 己 蠲 除 器 界 蕩 滌 壇 場 灑 枯 木 而 
X59n1084_001:0326c02	再逢春。潔穢邦而成淨土。所謂道。內外中間無濁穢。	再 逢 春 潔 穢 邦 而 成 淨 土 所 謂 道 內 外 中 間 無 濁 穢 
X59n1084_001:0326c03	聖凡幽顯總清凉。教有密言。今當持誦(大眾同聲誦大悲神	聖 凡 幽 顯 總 清 凉 教 有 密 言 今 當 持 誦 大 眾 同 聲 誦 大 悲 神 
X59n1084_001:0326c04	呪畢表白舉)。	呪 畢 表 白 舉 
X59n1084_001:0326c05	∴甘露王(三遍　侍者白云何梵)。	 甘 露 王 三 遍 侍 者 白 云 何 梵 
X59n1084_001:0326c06	　云何于此經　　究竟到彼岸　　願佛開微密	 云 何 于 此 經 究 竟 到 彼 岸 願 佛 開 微 密 
X59n1084_001:0326c07	　廣為眾生說	 廣 為 眾 生 說 
X59n1084_001:0326c08	∴淨法界真言(誦真言時。調伏身心。想頂臍兩處。具唵[口*藍]二字。令清淨故。	 淨 法 界 真 言 誦 真 言 時 調 伏 身 心 想 頂 臍 兩 處 具 唵 [口藍] 二 字 令 清 淨 故 
X59n1084_001:0326c09	以表福智圓滿)。	以 表 福 智 圓 滿 
X59n1084_001:0326c10	唵囕  莎訶	唵 囕 莎 訶 
X59n1084_001:0326c12	(成就妙法蓮華經王	 成 就 妙法蓮華 經 王 
X59n1084_001:0326c13	瑜伽觀智儀軌云。應	瑜 伽 觀 智 儀 軌 云 應 
X59n1084_001:0326c14	結法界生印。二手各	結 法 界 生 印 二 手 各 
X59n1084_001:0326c15	作金剛拳。舒二頭指	作 金 剛 拳 舒 二 頭 指 
X59n1084_001:0326c16	側相拄。即成安印於	側 相 拄 即 成 安 印 於 
X59n1084_001:0326c17	頂。于其印中。想法界	頂 于 其 印 中 想 法 界 
X59n1084_001:0326c18	種子 [嚂皿+見]字。其色皓白。徧流光明。普照一切有情界。能	種 子 [嚂皿見] 字 其 色 皓 白 徧 流 光 明 普 照 一切有情界 能 
X59n1084_001:0326c19	破一切有情虗妄煩惱。當觀自身。及諸有情。同一法	破 一切有情 虗 妄 煩 惱 當 觀 自 身 及 諸 有 情 同 一 法 
X59n1084_001:0326c20	界。無二無別。大毗盧遮那成佛神變加持經第二卷	界 無 二 無 別 大 毗 盧 遮 那 成 佛 神 變 加 持 經 第 二 卷 
X59n1084_001:0326c21	中。法界真言曰。[口*藍]。瑜伽蓮花部念誦法云。當觀頂上	中 法 界 真 言 曰 [口藍] 瑜 伽 蓮 花 部 念 誦 法 云 當 觀 頂 上 
X59n1084_001:0326c22	有法界生字。放赤色光。所謂[口*藍]字。顯密圓通云。此梵	有 法 界 生 字 放 赤 色 光 所 謂 [口藍] 字 顯 密 圓 通 云 此 梵 
X59n1084_001:0326c23	書[口*藍]字。若想若誦。能令三業。悉皆清淨。一切罪障盡	書 [口藍] 字 若 想 若 誦 能 令 三 業 悉 皆 清 淨 一 切 罪 障 盡 
X59n1084_001:0326c24	得消除。又能成辦一切勝事。隨所住處。悉得清淨。衣	得 消 除 又 能 成 辦 一 切 勝 事 隨 所 住 處 悉 得 清 淨 衣 
X59n1084_001:0326c25	服不淨。便成淨衣。身不澡浴。便當澡浴。若用水作淨。	服 不 淨 便 成 淨 衣 身 不 澡 浴 便 當 澡 浴 若 用 水 作 淨 
X59n1084_001:0326c26	不名真淨。用此法界心[口*藍]字淨之。即名畢竟清淨。譬	不 名 真 淨 用 此 法 界 心 [口藍] 字 淨 之 即 名 畢 竟 清 淨 譬 
X59n1084_001:0326c27	如靈丹一粒。點鐵成金。真言一字。變染成淨。又大毗	如 靈 丹 一 粒 點 鐵 成 金 真 言 一 字 變 染 成 淨 又 大 毗 
X59n1084_001:0327a01	盧遮那成佛神變加持經第四卷中。有淨法界真言	盧 遮 那 成 佛 神 變 加 持 經 第 四 卷 中 有 淨 法 界 真 言 
X59n1084_001:0327a02	曰。南無三曼多勃駄南達麼馱睹薩嚩婆嚩句痕。大	曰 南 無 三 曼 多 勃 駄 南 達 麼 馱 睹 薩 嚩 婆 嚩 句 痕 大 
