T85n2819_001:1192c21	諸經要抄	諸 經 要 抄 
T85n2819_001:1193a20	中無貪無著。無逆無順。無名無相。無想無語。	中 無 貪 無 著 無 逆 無 順 無 名 無 相 無 想 無 語 
T85n2819_001:1193a21	乃名念佛。是中乃無微細小念。何況麁身口	乃 名 念 佛 是 中 乃 無 微 細 小 念 何 況 麁 身 口 
T85n2819_001:1193a22	意業。無身口意業處。無念無分別。空寂無	意 業 無 身口意業 處 無 念 無 分 別 空 寂 無 
T85n2819_001:1193a23	性滅諸覺觀。是名念佛。汝念佛時莫取小想	性 滅 諸 覺 觀 是 名 念 佛 汝 念 佛 時 莫 取 小 想 
T85n2819_001:1193a24	莫生戲論。莫有分別。何以故。是法皆空無	莫 生 戲 論 莫 有 分 別 何 以 故 是 法 皆 空 無 
T85n2819_001:1193a25	有體性。不可念一相。所謂無名。是名真實念	有 體 性 不 可 念 一 相 所 謂 無 名 是 名 真 實 念 
T85n2819_001:1193a26	佛。何以故。如來不名為色。不名為想。不名為	佛 何 以 故 如 來 不 名 為 色 不 名 為 想 不 名 為 
T85n2819_001:1193a27	念。不名為分別。不逆不順不取不捨。非定	念 不 名 為 分 別 不 逆 不 順 不 取 不 捨 非 定 
T85n2819_001:1193a28	非慧。是人於佛猶尚不得。何況於念。舍利弗。	非 慧 是 人 於 佛 猶 尚 不 得 何 況 於 念 舍 利 弗 
T85n2819_001:1193a29	如是教者名善知識。若人成就如是相者。世	如 是 教 者 名 善 知 識 若 人 成 就 如 是 相 者 世 
T85n2819_001:1193b01	間希有。得不顛倒真實見故。是為正見。復次	間 希 有 得 不 顛 倒 真 實 見 故 是 為 正 見 復 次 
T85n2819_001:1193b02	舍利弗。正見者。名為正作正行正道正解。無	舍 利 弗 正 見 者 名 為 正 作 正 行 正 道 正 解 無 
T85n2819_001:1193b03	有顛倒如實而見。是故如來說名正見。若生	有 顛 倒 如 實 而 見 是 故 如 來 說 名 正 見 若 生 
T85n2819_001:1193b04	我想人想眾生想者。當知。是人皆是邪行。	我 想 人 想 眾 生 想 者 當 知 是 人 皆 是 邪 行 
T85n2819_001:1193b05	佛藏經云　惡知識。	佛 藏 經 云 惡 知 識 
T85n2819_001:1193b06	舍利弗。人以清淨信等諸根出家學道。遇惡	舍 利 弗 人 以 清 淨 信 等 諸 根 出家學道 遇 惡 
T85n2819_001:1193b07	知識。惡知識者。常好調戲輕躁無羞。言語散	知 識 惡 知 識 者 常 好 調 戲 輕 躁 無 羞 言 語 散 
T85n2819_001:1193b08	亂不攝諸根。心不專一癡如白羊。親近如是	亂 不 攝 諸 根 心 不 專 一 癡 如 白 羊 親 近 如 是 
T85n2819_001:1193b09	惡知識者。失須陀洹果斯陀含阿那含果阿	惡 知 識 者 失 須陀洹果 斯 陀 含 阿那含果 阿 
T85n2819_001:1193b10	羅漢果。乃至失於生天之樂。況涅槃道。舍	羅 漢 果 乃 至 失 於 生 天 之 樂 況 涅 槃 道 舍 
T85n2819_001:1193b11	利弗。是人隨惡知識。若生人中父母生離死	利 弗 是 人 隨 惡 知 識 若 生 人 中 父 母 生 離 死 
T85n2819_001:1193b12	亡喪失。親里衰惱國土破壞。生八難中捨於	亡 喪 失 親 里 衰 惱 國 土 破 壞 生 八 難 中 捨 於 
T85n2819_001:1193b13	樂處。遇惡知識生無佛處。若值佛世目不喜	樂 處 遇 惡 知 識 生 無 佛 處 若 值 佛 世 目 不 喜 
T85n2819_001:1193b14	見。不喜聞法。不與佛眾而和合。	見 不 喜 聞 法 不 與 佛 眾 而 和 合 
T85n2819_001:1193b15	念誦結護法普通諸部	念 誦 結 護 法 普 通 諸 部 
T85n2819_001:1193b16	三藏金剛智授與灌頂弟子	三 藏 金 剛 智 授 與 灌 頂 弟 子 
T85n2819_001:1193b17	凡欲念誦先須護身結界澄想。觀察本尊聖	凡 欲 念 誦 先 須 護 身 結 界 澄 想 觀 察 本 尊 聖 
T85n2819_001:1193b18	者。起慈悲心愍念有情。發大誓願迴向菩提。	者 起 慈 悲 心 愍 念 有 情 發 大 誓 願 迴向菩提 
T85n2819_001:1193b19	方可念誦。持四種念珠作四種念誦。一者音	方 可 念 誦 持 四 種 念 珠 作 四 種 念 誦 一 者 音 
T85n2819_001:1193b20	聲念誦。二者金剛念誦。合口動舌點誦是。三	聲 念 誦 二 者 金 剛 念 誦 合 口 動 舌 點 誦 是 三 
T85n2819_001:1193b21	者三摩地念誦。心念是也。四者真實念誦。如	者 三 摩 地 念 誦 心 念 是 也 四 者 真 實 念 誦 如 
T85n2819_001:1193b22	字義修行是也。能令行者速證無上菩提。具	字 義 修 行 是 也 能 令 行 者 速 證 無上菩提 具 
T85n2819_001:1193b23	一切智。此心真言。是一切諸佛第一義。真如	一 切 智 此 心 真 言 是 一切諸佛 第 一 義 真 如 
T85n2819_001:1193b24	智中流出。非是作法顯現。如巧色摩尼能滿	智 中 流 出 非 是 作 法 顯 現 如 巧 色 摩 尼 能 滿 
T85n2819_001:1193b25	諸願。一切諸佛同聲共說。思惟之時。唯是明	諸 願 一切諸佛 同 聲 共 說 思 惟 之 時 唯 是 明 
T85n2819_001:1193b26	朗亦不見身之與心。況無一物法非空故。若	朗 亦 不 見 身 之 與 心 況 無 一 物 法 非 空 故 若 
T85n2819_001:1193b27	久能熟當自證智。作是觀時。誦密言曰。	久 能 熟 當 自 證 智 作 是 觀 時 誦 密 言 曰 
T85n2819_001:1193b28	念此明者。即能證入一切灌頂曼荼羅位。於	念 此 明 者 即 能 證 入 一 切 灌 頂 曼 荼 羅 位 於 
T85n2819_001:1193b29	諸菩薩祕密法門隨意無礙。作是觀時不復	諸 菩 薩 祕 密 法 門 隨 意 無 礙 作 是 觀 時 不 復 
T85n2819_001:1193c01	延促。務在證入。若能一一與心相應方大成	延 促 務 在 證 入 若 能 一 一 與 心 相 應 方 大 成 
T85n2819_001:1193c02	就。一切時處作意任運相應。無所罣礙。一切	就 一 切 時 處 作 意 任 運 相 應 無 所 罣 礙 一 切 
T85n2819_001:1193c03	妄想貪瞋癡等。不假斷除自然不起性常清	妄 想 貪 瞋 癡 等 不 假 斷 除 自 然 不 起 性 常 清 
T85n2819_001:1193c04	淨。此真實法門。是一切眾生自性清淨心名	淨 此 真 實 法 門 是 一 切 眾 生 自 性 清 淨 心 名 
T85n2819_001:1193c05	為圓鏡智。上從諸佛下至眾生。悉皆同等無	為 圓 鏡 智 上 從 諸 佛 下 至 眾 生 悉 皆 同 等 無 
T85n2819_001:1193c06	有增減。但為無明妄想所覆。令其法體不得	有 增 減 但 為 無 明 妄 想 所 覆 令 其 法 體 不 得 
T85n2819_001:1193c07	顯現。作是觀者便證解脫一切智三昧。名為	顯 現 作 是 觀 者 便 證 解 脫 一 切 智 三 昧 名 為 
T85n2819_001:1193c08	地前三賢位。所有動作任運相應。自然進入	地 前 三 賢 位 所 有 動 作 任 運 相 應 自 然 進 入 
T85n2819_001:1193c09	初地生大歡喜。所以然者。以觀月為方便。具	初 地 生大歡喜 所 以 然 者 以 觀 月 為 方 便 具 
T85n2819_001:1193c10	有三義。一月清淨義。離貪欲垢故。二者清淨	有 三 義 一 月 清 淨 義 離 貪 欲 垢 故 二 者 清 淨 
T85n2819_001:1193c11	源義。離貪嗔熱惱故。三者光明義。離愚癡故。	源 義 離 貪 嗔 熱 惱 故 三 者 光 明 義 離 愚 癡 故 
T85n2819_001:1193c12	所以取月為喻亦莫作月解。世間者四大所	所 以 取 月 為 喻 亦 莫 作 月 解 世 間 者 四 大 所 
T85n2819_001:1193c13	成畢竟破壞。眾生自性清淨心無生滅故。此	成 畢 竟 破 壞 眾 生 自 性 清 淨 心 無 生 滅 故 此 
T85n2819_001:1193c14	是諸佛菩薩內證非二乘聲聞外道所知境	是 諸佛菩薩 內 證 非 二 乘 聲 聞 外 道 所 知 境 
T85n2819_001:1193c15	界。作此觀者。一切佛法恒沙功德不由他悟。	界 作 此 觀 者 一切佛法 恒 沙 功 德 不由他悟 
T85n2819_001:1193c16	此一法攝無量。剎那悟入諸法中。自在無礙。	此 一 法 攝 無 量 剎 那 悟 入 諸 法 中 自在無礙 
T85n2819_001:1193c17	從地至地漸漸昇進。學此觀者。不得專守念	從 地 至 地 漸 漸 昇 進 學 此 觀 者 不 得 專 守 念 
T85n2819_001:1193c18	以為究竟。當須正念進修方便。然後證入究	以 為 究 竟 當 須 正 念 進 修 方 便 然 後 證 入 究 
T85n2819_001:1193c19	竟清淨法海。	竟 清 淨 法 海 
T85n2819_001:1193c20	般若波羅蜜多心經　三世諸佛依般若波羅	般 若 波羅蜜多 心 經 三世諸佛 依 般 若 波 羅 
T85n2819_001:1193c21	蜜多故得阿耨多羅三藐三菩提。故知。般若	蜜 多 故 得阿耨多羅三藐三菩提 故 知 般 若 
T85n2819_001:1193c22	波羅蜜多是大神呪。是大明呪。是無上呪。是	波羅蜜多 是 大 神 呪 是 大 明 呪 是 無 上 呪 是 
T85n2819_001:1193c23	無等等呪。能除一切苦真實不虛。	無 等 等 呪 能 除 一 切 苦 真 實 不 虛 
T85n2819_001:1193c24	金剛三昧經真性空品第六　舍利弗言。如	金 剛 三 昧 經 真 性 空 品 第 六 舍 利 弗 言 如 
T85n2819_001:1193c25	尊所說在事之先。取以本利是念寂滅。寂滅	尊 所 說 在 事 之 先 取 以 本 利 是 念 寂 滅 寂 滅 
T85n2819_001:1193c26	是如。總持諸德該羅萬法。圓融不二不可思	是 如 總 持 諸 德 該 羅 萬 法 圓 融 不 二 不 可 思 
T85n2819_001:1193c27	議。當知。是法即是摩訶般若波羅蜜。是大神	議 當 知 是 法 即 是 摩訶般若波羅蜜 是 大 神 
T85n2819_001:1193c28	呪。是大明呪。是無上呪。是無等等呪。佛言。	呪 是 大 明 呪 是 無 上 呪 是 無 等 等 呪 佛 言 
T85n2819_001:1193c29	如是如是。真如空性。性空智火燒滅諸結。平	如是如是 真 如 空 性 性 空 智 火 燒 滅 諸 結 平 
T85n2819_001:1194a01	等平等。等覺三地。妙覺三身。於九識中皎然	等 平 等 等 覺 三 地 妙 覺 三 身 於 九 識 中 皎 然 
T85n2819_001:1194a02	明淨。無有諸影　若有眾生無餘雜念。爾時	明 淨 無 有 諸 影 若 有 眾 生 無 餘 雜 念 爾 時 
T85n2819_001:1194a03	菩薩常作化身權護是人。不離左右。	菩 薩 常 作 化 身 權 護 是 人 不 離 左 右 
T85n2819_001:1194a04	大般若經摩愁品云　若有眾生修行般若波	大 般 若 經 摩 愁 品 云 若 有 眾 生 修 行 般 若 波 
T85n2819_001:1194a05	羅蜜者。與不憶不念相應。一切魔家眷屬悉	羅 蜜 者 與 不 憶 不 念 相 應 一 切 魔 家 眷 屬 悉 
T85n2819_001:1194a06	皆愁憂不樂。	皆 愁 憂 不 樂 
T85n2819_001:1194a07	佛藏經云　舍利弗。我法無諸難事。不乏飲	佛 藏 經 云 舍 利 弗 我 法 無 諸 難 事 不 乏 飲 
T85n2819_001:1194a08	食臥具醫藥。汝等但當懃行佛道。莫貴世間	食 臥 具 醫 藥 汝 等 但 當 懃 行 佛 道 莫 貴 世 間 
T85n2819_001:1194a09	財利供養。舍利弗。汝今善聽。我當語汝。若有	財 利 供 養 舍 利 弗 汝 今 善 聽 我 當 語 汝 若 有 
T85n2819_001:1194a10	一心行道比丘。千億天神皆共同心以諸樂	一 心 行 道 比 丘 千 億 天 神 皆 共 同 心 以 諸 樂 
T85n2819_001:1194a11	具欲共供養。舍利弗。諸人供養坐禪。比丘不	具 欲 共 供 養 舍 利 弗 諸 人 供 養 坐 禪 比 丘 不 
T85n2819_001:1194a12	及天神。	及 天 神 
T85n2819_001:1194a13	假佛一切形像是。	假 佛 一 切 形 像 是 
T85n2819_001:1194a14	金剛經云　凡所有相皆是虛妄。若以色見	金 剛 經 云 凡 所 有 相 皆 是 虛 妄 若 以 色 見 
T85n2819_001:1194a15	我以音聲求我。是人行邪道。不能見如來。	我 以 音 聲 求 我 是 人 行 邪 道 不 能 見 如 來 
T85n2819_001:1194a16	佛藏經云。佛告舍利弗。我餘經說。若人見	佛 藏 經 云 佛 告 舍 利 弗 我 餘 經 說 若 人 見 
T85n2819_001:1194a17	法是為見我。如來非法亦非非法(不順有相不依無相即是	法 是 為 見 我 如 來 非 法 亦 非 非 法 不 順 有 相 不 依 無 相 即 是 
T85n2819_001:1194a18	見法。見法者見本性)何以故。調達愚人及諸外道。皆以	見 法 見 法 者 見 本 性 何 以 故 調 達 愚 人 及 諸 外 道 皆 以 
T85n2819_001:1194a19	色身見佛。舍利弗。如來不應以色身見。亦復	色 身 見 佛 舍 利 弗 如 來 不 應 以 色 身 見 亦 復 
T85n2819_001:1194a20	不應以音聲見。舍利弗。若人以色身見佛。是	不 應 以 音 聲 見 舍 利 弗 若 人 以 色 身 見 佛 是 
T85n2819_001:1194a21	去佛遠。所以者何。佛不名見名為見佛(不依有見無見	去 佛 遠 所以者何 佛 不 名 見 名 為 見 佛 不 依 有 見 無 見 
T85n2819_001:1194a22	即是不依正見)。	即 是 不 依 正 見 
T85n2819_001:1194a23	維摩經云　夫求法者不著佛求不著法求不	維 摩 經 云 夫 求 法 者 不 著 佛 求 不 著 法 求 不 
T85n2819_001:1194a24	著眾求法名無染。若染於法乃至涅槃。是即	著 眾 求 法 名 無 染 若 染 於 法 乃至涅槃 是 即 
T85n2819_001:1194a25	染著非求法也。法名無為。若行有為。是求有	染 著 非 求 法 也 法 名 無 為 若 行 有 為 是 求 有 
T85n2819_001:1194a26	為。非求法也。法離見聞覺知。若行見聞覺	為 非 求 法 也 法 離 見聞覺知 若 行 見 聞 覺 
T85n2819_001:1194a27	知。是即見聞覺知非求法也。唯舍利弗。夫求	知 是 即 見聞覺知 非 求 法 也 唯 舍 利 弗 夫 求 
T85n2819_001:1194a28	法者。於一切法應無所求。	法 者 於一切法 應 無 所 求 
T85n2819_001:1194a29	法華經云　無上寶聚不求自得(若人不求種種世法。亦不求	法 華 經 云 無 上 寶 聚 不 求 自 得 若 人 不 求 種 種 世 法 亦 不 求 
T85n2819_001:1194b01	佛法。即是真求法人)真佛者(識心見性悟理之人即是真佛)。	佛 法 即 是 真 求 法 人 真 佛 者 識 心 見 性 悟 理 之 人 即 是 真 佛 
T85n2819_001:1194b02	金剛經云　離一切諸相即名諸佛(離有離無故。不垢不	金 剛 經 云 離 一 切 諸 相 即 名 諸 佛 離有離無 故 不 垢 不 
T85n2819_001:1194b03	淨故。無生無體故)。	淨 故 無 生 無 體 故 
T85n2819_001:1194b04	法身禮。	法 身 禮 
T85n2819_001:1194b05	入佛境界經云　佛常在世間。而不染世法。	入 佛 境 界 經 云 佛 常 在 世 間 而 不 染 世 法 
T85n2819_001:1194b06	以不分別世間故。敬禮無所觀。虛空無中邊。	以 不 分 別 世 間 故 敬 禮 無 所 觀 虛 空 無 中 邊 
T85n2819_001:1194b07	諸佛身亦然。心同虛空故。敬禮無所觀。一切	諸 佛 身 亦 然 心 同 虛 空 故 敬 禮 無 所 觀 一 切 
T85n2819_001:1194b08	平等禮。無禮無不禮。一禮遍含識。同歸實相	平 等 禮 無 禮 無 不 禮 一 禮 遍 含 識 同 歸 實 相 
T85n2819_001:1194b09	體(實相者。不順有體相不依無相是)。	體 實 相 者 不 順 有 體 相 不 依 無 相 是 
T85n2819_001:1194b10	楞伽經云　爾時大惠白佛言。世尊。願為我	楞 伽 經 云 爾 時 大 惠 白 佛 言 世 尊 願 為 我 
T85n2819_001:1194b11	說諸佛體性。佛言。大惠。覺二無我。除二種	說 諸 佛 體 性 佛 言 大 惠 覺 二 無 我 除 二 種 
T85n2819_001:1194b12	障。離二種死。斷二種煩惱。是佛體性。大惠	障 離 二 種 死 斷 二 種 煩 惱 是 佛 體 性 大 惠 
T85n2819_001:1194b13	聲聞緣覺得此法已亦名為佛。我以是義但	聲 聞 緣 覺 得 此 法 已 亦 名 為 佛 我 以 是 義 但 
T85n2819_001:1194b14	說一乘。	說 一 乘 
T85n2819_001:1194b15	爾時世尊重說偈言。善知二無我。除二障二	爾 時 世 尊 重 說 偈 言 善 知 二 無 我 除 二 障 二 
T85n2819_001:1194b16	惱。及不思議死。是故名如來。	惱 及 不 思 議 死 是 故 名 如 來 
T85n2819_001:1194b17	假三寶　形像佛是佛寶。一切經論教法是	假 三 寶 形 像 佛 是 佛 寶 一 切 經 論 教 法 是 
T85n2819_001:1194b18	法寶。剃髮被袈裟受二百五十戒是僧寶(若不識心	法 寶 剃 髮 被 袈 裟 受 二百五十戒 是 僧 寶 若 不 識 心 
T85n2819_001:1194b19	不見性總無寶)。	不 見 性 總 無 寶 
T85n2819_001:1194b20	真三寶(見性之人三寶具足)。	真 三 寶 見 性 之 人 三 寶 具 足 
T85n2819_001:1194b21	維摩經云。寂根菩薩曰。佛法眾為二。佛即是	維 摩 經 云 寂 根 菩 薩 曰 佛 法 眾 為 二 佛 即 是 
T85n2819_001:1194b22	法。法即是眾。是三寶。皆無為相。與虛空等。	法 法 即 是 眾 是 三 寶 皆 無 為 相 與虛空等 
T85n2819_001:1194b23	一切法亦爾。能隨此行者。是為入不二法門	一 切 法 亦 爾 能 隨 此 行 者 是 為 入 不二法門 
T85n2819_001:1194b24	(不隨有行不依無行即是離法之人)。	 不 隨 有 行 不 依 無 行 即 是 離 法 之 人 
T85n2819_001:1194b25	思益經云　若身證是法。亦不離身見法。亦	思 益 經 云 若 身 證 是 法 亦 不 離 身 見 法 亦 
T85n2819_001:1194b26	不離法見身。於是觀中不見二相。不見不二	不 離 法 見 身 於 是 觀 中 不 見 二 相 不 見 不 二 
T85n2819_001:1194b27	相。如是現前知見而亦不見。名聖默然。若有	相 如 是 現 前 知 見 而 亦 不 見 名 聖 默 然 若 有 
T85n2819_001:1194b28	諸菩薩。於上中下法。亦不取不捨。是名行菩	諸 菩 薩 於 上 中 下 法 亦 不 取 不 捨 是 名 行 菩 
T85n2819_001:1194c01	提。若法及非法。不分別為二。亦不得不二。是	提 若 法 及 非 法 不 分 別 為 二 亦 不 得 不 二 是 
T85n2819_001:1194c02	名行菩提。若二即有為。非二即無為。離是二	名 行 菩 提 若 二 即 有 為 非 二 即 無 為 離 是 二 
T85n2819_001:1194c03	邊者。是名行菩提。是人過凡夫。亦不入法位。	邊 者 是 名 行 菩 提 是 人 過 凡 夫 亦 不 入 法 位 
T85n2819_001:1194c04	未得果而聖。是世間福田。行於佛道時。無	未 得 果 而 聖 是 世 間 福 田 行 於 佛 道 時 無 
T85n2819_001:1194c05	法可捨離。亦無法可受。是名菩提相。一切無	法 可 捨 離 亦 無 法 可 受 是 名 菩 提 相 一 切 無 
T85n2819_001:1194c06	所念。是即如來法。	所 念 是 即 如 來 法 
T85n2819_001:1194c07	文殊師利菩薩問思益菩薩言。云何名為修	文 殊 師 利 菩 薩 問 思 益 菩 薩 言 云 何 名 為 修 
T85n2819_001:1194c08	道。思益菩薩答言。若不分別是法是非法離	道 思 益 菩 薩 答 言 若 不 分 別 是 法 是 非 法 離 
T85n2819_001:1194c09	於二相。名為修道。又問云。何名為修道。答	於 二 相 名 為 修 道 又 問 云 何 名 為 修 道 答 
T85n2819_001:1194c10	言。不墮有不墮無亦不分別是有是無。習如	言 不 墮 有 不 墮 無 亦 不 分 別 是 有 是 無 習 如 
T85n2819_001:1194c11	是者名為修道。	是 者 名 為 修 道 
T85n2819_001:1194c12	又問。何故不見。答。言離二相故不見。不見即	又 問 何 故 不 見 答 言 離 二 相 故 不 見 不 見 即 
T85n2819_001:1194c13	正是見。若說法不違佛不違法不違僧名為	正 是 見 若 說 法 不 違 佛 不 違 法 不 違 僧 名 為 
T85n2819_001:1194c14	說法。若知法即是佛(是佛寶)離相即是法(是法寶)	說 法 若 知 法 即 是 佛 是 佛 寶 離 相 即 是 法 是 法 寶 
T85n2819_001:1194c15	無為即是僧(是僧寶)一人見性。分明三寶具足。	無 為 即 是 僧 是 僧 寶 一 人 見 性 分 明 三 寶 具 足 
T85n2819_001:1194c16	涅槃經云　見性成佛道(除見性外更有法門出三界得成佛者無有是處)	涅 槃 經 云 見 性 成 佛 道 除 見 性 外 更 有 法 門 出 三 界 得 成 佛 者 無 有 是 處 
T85n2819_001:1194c17	假戒(因犯禁戒制戒是。此戒是方便戒。是不了教。只許五歲學五歲若不捨是真外道。是具足邪見人)	假 戒 因 犯 禁 戒 制 戒 是 此 戒 是 方 便 戒 是 不 了 教 只 許 五 歲 學 五 歲 若 不 捨 是 真 外 道 是 具 足 邪 見 人 
T85n2819_001:1194c18	佛藏經云　佛告舍利弗。我說教者不說受	佛 藏 經 云 佛 告 舍 利 弗 我 說 教 者 不 說 受 
T85n2819_001:1194c19	者。舍利弗。於我法中多有如是增上慢教。舍	者 舍 利 弗 於 我 法 中 多 有 如 是 增 上 慢 教 舍 
T85n2819_001:1194c20	利弗。若受教者受戒五歲不能悉捨。如是所	利 弗 若 受 教 者 受 戒 五 歲 不 能 悉 捨 如 是 所 
T85n2819_001:1194c21	教於是教中懃心精進自有得。無有比丘不	教 於 是 教 中 懃 心 精 進 自 有 得 無 有 比 丘 不 
T85n2819_001:1194c22	往諮問。我說此人雖有五歲猶名邪見。雜外	往 諮 問 我 說 此 人 雖 有 五 歲 猶 名 邪 見 雜 外 
T85n2819_001:1194c23	道法順行魔教。舍利弗。若有比丘受是教已	道 法 順 行 魔 教 舍 利 弗 若 有 比 丘 受 是 教 已 
T85n2819_001:1194c24	聞空無所得法。即自覺知。我先受者皆是邪	聞 空 無 所 得 法 即 自 覺 知 我 先 受 者 皆 是 邪 
T85n2819_001:1194c25	見。於空無所得法無悔。深入通達不依一切	見 於 空 無 所 得 法 無 悔 深 入 通 達 不 依 一 切 
T85n2819_001:1194c26	我見人見。舍利弗。我說此人名為清淨梵	我 見 人 見 舍 利 弗 我 說 此 人 名 為 清 淨 梵 
T85n2819_001:1194c27	行。	行 
T85n2819_001:1194c28	法句經云　若說諸持戒。無善無威儀。戒性	法 句 經 云 若 說 諸 持 戒 無 善 無 威 儀 戒 性 
T85n2819_001:1194c29	如虛空。持者為迷倒。	如 虛 空 持 者 為 迷 倒 
T85n2819_001:1195a01	金剛三昧經　為說戒者。為不善慢故海波	金 剛 三 昧 經 為 說 戒 者 為 不 善 慢 故 海 波 
T85n2819_001:1195a02	浪故如彼心地八識海澂九識流淨風不動波	浪 故 如 彼 心 地 八 識 海 澂 九 識 流 淨 風 不 動 波 
T85n2819_001:1195a03	浪不起戒性等空持者迷倒。	浪 不 起 戒 性 等 空 持 者 迷 倒 
T85n2819_001:1195a04	諸法無行經云　若人分別戒。是則無有戒。	諸 法 無 行 經 云 若 人 分 別 戒 是 則 無 有 戒 
T85n2819_001:1195a05	若有見戒者。是則為失戒。戒非戒一相。知是	若 有 見 戒 者 是 則 為 失 戒 戒 非 戒 一 相 知 是 
T85n2819_001:1195a06	為道師。	為 道 師 
T85n2819_001:1195a07	涅槃經云　戒有二種。一者性自能持。二者	涅 槃 經 云 戒 有 二 種 一 者 性 自 能 持 二 者 
T85n2819_001:1195a08	須他教勅。若遇師僧白四羯磨。然後得戒。雖	須 他 教 勅 若 遇 師 僧 白四羯磨 然 後 得 戒 雖 
T85n2819_001:1195a09	得戒已要憑和上諸師同學善友誨喻。乃知。	得 戒 已 要 憑 和 上 諸 師 同 學 善 友 誨 喻 乃 知 
T85n2819_001:1195a10	進止聽法說法備諸威儀。是名須他教勅。	進 止 聽 法 說 法 備 諸 威 儀 是 名 須 他 教 勅 
T85n2819_001:1195a11	花嚴經梵行品云　若戒是梵行者。為場壇	花 嚴 經 梵 行 品 云 若 戒 是 梵 行 者 為 場 壇 
T85n2819_001:1195a12	是戒耶。問。清淨是戒耶。教威儀是戒耶。三說	是 戒 耶 問 清 淨 是 戒 耶 教 威 儀 是 戒 耶 三 說 
T85n2819_001:1195a13	羯磨是戒耶。和上是戒耶。阿闍梨是戒耶。剃	羯 磨 是 戒 耶 和 上 是 戒 耶 阿 闍 梨 是 戒 耶 剃 
