X53n0860_001:0951a05	判比量論	判 比 量 論 
X53n0860_001:0952a11	識俱有作意。由此等難彼因不定。　　五量。	識 俱 有 作 意 由 此 等 難 彼 因 不 定 五 量 
X53n0860_001:0952a12	十一如聲論師立聲為常所聞性故、若對勝論	十 一 如 聲 論 師 立 聲 為 常 所 聞 性 故 若 對 勝 論 
X53n0860_001:0952a13	相違決定、對佛弟子不共不定、以無共許同	相違決定 對 佛 弟 子 不共不定 以 無 共 許 同 
X53n0860_001:0952a14	品法故。有難此因立比量言、所聞性因應非	品 法 故 有 難 此 因 立 比 量 言 所 聞 性 因 應 非 
X53n0860_001:0952a15	疑因。同品無故。如相違因。又立、此因應	疑 因 同 品 無 故 如 相 違 因 又 立 此 因 應 
X53n0860_001:0952a16	非不定。異品無故。猶如正因。備法師云、理	非 不 定 異 品 無 故 猶 如 正 因 備 法 師 云 理 
X53n0860_001:0952a17	門論言、一向離故、是通彼難。謂立宗言、所	門 論 言 一 向 離 故 是 通 彼 難 謂 立 宗 言 所 
X53n0860_001:0952a18	聞性因是不定攝。一向離故。如共不定。一	聞 性 因 是 不 定 攝 一 向 離 故 如 共 不 定 一 
X53n0860_001:0952a19	向離言闕一相也。判云、此因有不定過。以	向 離 言 闕 一 相 也 判 云 此 因 有 不 定 過 以 
X53n0860_001:0952a20	所見性雖闕一相而非不定、是不成故。謂立	所 見 性 雖 闕 一 相 而 非 不 定 是 不 成 故 謂 立 
X53n0860_001:0952a21	聲無常、所見性故、此因同有異無、唯闕初	聲 無 常 所 見 性 故 此 因 同 有 異 無 唯 闕 初 
X53n0860_001:0952a22	相。是故亦為闕一相也。若為避此不定過故、	相 是 故 亦 為 闕 一 相 也 若 為 避 此 不 定 過 故 
X53n0860_001:0952a23	更立因言、後二相中闕一相故。猶如共等四	更 立 因 言 後 二 相 中 闕 一 相 故 猶 如 共 等 四 
X53n0860_001:0952a24	不定因。此因亦有餘不定過。如於空宗緣生	不 定 因 此 因 亦 有 餘 不 定 過 如 於 空 宗 緣 生 
X53n0860_001:0952b01	故因。雖於後二相中闕一　而是真因、非不	故 因 雖 於 後 二 相 中 闕 一 而 是 真 因 非 不 
X53n0860_001:0952b02	定故、故不能作相違決定。又前所立異品無	定 故 故 不 能 作 相違決定 又 前 所 立 異 品 無 
X53n0860_001:0952b03	故非疑因者、亦有不定。如諸相違決定之因。	故 非 疑 因 者 亦 有 不 定 如 諸 相違決定 之 因 
X53n0860_001:0952b04	雖異品無是疑因。故唯有同品無故之因、	雖 異 品 無 是 疑 因 故 唯 有 同 品 無 故 之 因 
X53n0860_001:0952b05	且離不定、立非疑因。此中應立相違比量。	且 離 不 定 立 非 疑 因 此 中 應 立 相 違 比 量 
X53n0860_001:0952b06	謂、所聞性不定因攝。等立相違宗故。猶如	謂 所 聞 性 不 定 因 攝 等 立 相 違 宗 故 猶 如 
X53n0860_001:0952b07	共不定因。如理門論顯此因云、以若不共所	共 不 定 因 如 理 門 論 顯 此 因 云 以 若 不 共 所 
X53n0860_001:0952b08	成立法、立所有差別遍攝一切、皆是疑因。	成 立 法 立 所 有 差 別 遍 攝 一 切 皆 是 疑 因 
X53n0860_001:0952b09	唯彼有性彼所攝故、一向離故。案云、不共	唯 彼 有 性 彼 所 攝 故 一 向 離 故 案 云 不 共 
X53n0860_001:0952b10	所成立者、如立聲常所聞性故、或立無常所	所 成 立 者 如 立 聲 常 所 聞 性 故 或 立 無 常 所 
X53n0860_001:0952b11	聞性故、如是一切無不等立。故言所有遍攝	聞 性 故 如是一切 無 不 等 立 故 言 所 有 遍 攝 
X53n0860_001:0952b12	一切。由是道理、所聞性因望彼一切皆是疑	一 切 由 是 道 理 所 聞 性 因 望 彼 一 切 皆 是 疑 
X53n0860_001:0952b13	因。一向離故者、轉成等立諸宗之義。以望	因 一 向 離 故 者 轉 成 等 立 諸 宗 之 義 以 望 
X53n0860_001:0952b14	諸宗皆同不共。皆同是一向義。不共是其離	諸 宗 皆 同 不 共 皆 同 是 一 向 義 不 共 是 其 離 
X53n0860_001:0952b15	義。由一向離故、等立於諸々宗々相違故、	義 由 一 向 離 故 等 立 於 諸 々 宗 々 相 違 故 
X53n0860_001:0952b16	其因是不定。　　　　　五量。	其 因 是 不 定 五 量 
X53n0860_001:0952b17	十二相違決定立二比量。文軌法師自作問答。	十 二 相違決定 立 二 比 量 文 軌 法 師 自 作 問 答 
X53n0860_001:0952b18	問。具足三相應是正因、何故此中而言不定。	問 具 足 三 相 應 是 正 因 何 故 此 中 而 言 不 定 
X53n0860_001:0952b19	答。此疑未決、不敢解之。有通釋者、隨而	答 此 疑 未 決 不 敢 解 之 有 通 釋 者 隨 而 
X53n0860_001:0952b20	為注此中問意、立比量云、違決中因應是正	為 注 此 中 問 意 立 比 量 云 違 決 中 因 應 是 正 
X53n0860_001:0952b21	因。具三相故。如餘真因。今者通曰、違決	因 具 三 相 故 如 餘 真 因 今 者 通 曰 違 決 
X53n0860_001:0952b22	之因非正因攝。有等難故。如相違因。由此	之 因 非 正 因 攝 有 等 難 故 如 相 違 因 由 此 
X53n0860_001:0952b23	顯彼有不定過。又此二因非相違攝。同品有	顯 彼 有 不 定 過 又 此 二 因 非 相 違 攝 同 品 有 
X53n0860_001:0952b24	故。猶如正因。又此二因非不成攝。是共許	故 猶 如 正 因 又 此 二 因 非 不 成 攝 是 共 許 
X53n0860_001:0952c01	故。如不共因。如是二因不定因攝。非正、非	故 如 不 共 因 如 是 二 因 不 定 因 攝 非 正 非 
X53n0860_001:0952c02	違、非不成故。如餘五種不定因也。　六量。	違 非 不 成 故 如 餘 五 種 不 定 因 也 六 量 
X53n0860_001:0952c03	十三或有為難五種之性、立比量言、無性有	十 三 或 有 為 難 五 種 之 性 立 比 量 言 無 性 有 
X53n0860_001:0952c04	情必當作佛。以有心故。如有性者。此因不	情 必 當 作 佛 以 有 心 故 如 有 性 者 此 因 不 
X53n0860_001:0952c05	定、故成不難。為如諸佛、以有心故、非當	定 故 成 不 難 為 如 諸 佛 以 有 心 故 非 當 
X53n0860_001:0952c06	作佛。為如菩薩、以有心故、必當作佛。前	作 佛 為 如 菩 薩 以 有 心 故 必 當 作 佛 前 
X53n0860_001:0952c07	所立因、言以未成佛之有情故、此因亦有他	所 立 因 言 以 未 成 佛 之 有 情 故 此 因 亦 有 他 
X53n0860_001:0952c08	不定過。為如菩薩種性、為如決定二乘。若	不 定 過 為 如 菩薩種性 為 如 決 定 二 乘 若 
X53n0860_001:0952c09	為避此、更立宗言、無性性有情決定二乘皆	為 避 此 更 立 宗 言 無 性 性 有 情 決 定 二 乘 皆 
X53n0860_001:0952c10	當作佛。以未成佛有情攝故。猶如菩薩。此	當 作 佛 以 未 成 佛 有 情 攝 故 猶 如 菩 薩 此 
X53n0860_001:0952c11	有等難、故成不定。如是三人非當作佛。以	有 等 難 故 成 不 定 如 是 三 人 非 當 作 佛 以 
X53n0860_001:0952c12	無大乘無漏種子而非菩薩種性攝故。如木石	無 大 乘 無 漏 種 子 而 非 菩薩種性 攝 故 如 木 石 
X53n0860_001:0953a01	等諸無情物。又有比量相違過失。謂、五種	等 諸 無 情 物 又 有 比量相違過 失 謂 五 種 
X53n0860_001:0953a02	姓中、餘四種姓墮地獄時、應有四德、許作	姓 中 餘 四 種 姓 墮 地 獄 時 應 有 四 德 許 作 
X53n0860_001:0953a03	佛故、如菩薩姓。許則違教、不許違理。此	佛 故 如 菩 薩 姓 許 則 違 教 不 許 違 理 此 
X53n0860_001:0953a04	違自悟比量過也。　　　　　五量。	違 自 悟 比 量 過 也 五 量 
X53n0860_001:0953a05	十四成唯識論、為破我法立比量言、凡諸我	十 四 成 唯 識 論 為 破 我 法 立 比 量 言 凡 諸 我 
X53n0860_001:0953a06	見不緣實我。有所緣故。如緣餘心。我見所	見 不 緣 實 我 有 所 緣 故 如 緣 餘 心 我 見 所 
X53n0860_001:0953a07	緣定非實我。是所緣故。如所餘法。又言、	緣 定 非 實 我 是 所 緣 故 如 所 餘 法 又 言 
X53n0860_001:0953a08	外道餘乘所執諸法、異心心所、非實有性。	外 道 餘 乘 所 執 諸 法 異 心 心 所 非 實 有 性 
X53n0860_001:0953a09	是所取故。如心心所。能取彼覺亦不緣彼。	是 所 取 故 如 心 心 所 能 取 彼 覺 亦 不 緣 彼 
X53n0860_001:0953a10	是能取故。如緣此覺。判云、此中有四比量。	是 能 取 故 如 緣 此 覺 判 云 此 中 有 四 比 量 
X53n0860_001:0953a11	是真能破。破我法故。無過生故。或因此破、	是 真 能 破 破 我 法 故 無 過 生 故 或 因 此 破 
X53n0860_001:0953a12	破大乘云、諸緣第八識見、不緣阿賴耶相。	破 大 乘 云 諸 緣 第 八 識 見 不 緣 阿 賴 耶 相 
X53n0860_001:0953a13	有所緣故。如緣。	有 所 緣 故 如 緣 
X53n0860_001:0953a14	　證成道理甚難思　　自非笑却微易解	 證成道理 甚 難 思 自 非 笑 却 微 易 解 
X53n0860_001:0953a15	　今依聖典舉一隅　　願通佛道流三世	 今 依 聖 典 舉 一 隅 願 通 佛 道 流 三 世 
X53n0860_001:0953a16	判比量論一卷　釋元曉述	判 比 量 論 一 卷 釋 元 曉 述 
