T52n2118_001:0794b19	折疑論敘	折 疑 論 敘 
T52n2118_001:0795a25	子張。子張曰。子夏云何。對曰子夏曰。可者與之。不可者拒之。子張曰。異乎吾所聞。君子尊賢而容眾云云。蓋子	子 張 子 張 曰 子 夏 云 何 對 曰 子 夏 曰 可 者 與 之 不 可 者 拒 之 子 張 曰 異 乎 吾 所 聞 君 子 尊 賢 而 容 眾 云 云 蓋 子 
T52n2118_001:0795a26	夏之言迫狹。子張譏之是也。子張所言容字正破子夏拒字)。	夏 之 言 迫 狹 子 張 譏 之 是 也 子 張 所 言 容 字 正 破 子 夏 拒 字 
T52n2118_001:0795a27	知則無拒(此許答之辭也)。	知 則 無 拒 此 許 答 之 辭 也 
T52n2118_001:0795b01	客曰噫(噫者傷痛悲歎之辭)。	客 曰 噫 噫 者 傷 痛 悲 歎 之 辭 
T52n2118_001:0795b02	吾與子皆儒也(我與子皆曾為儒也)。	吾 與 子 皆 儒 也 我 與 子 皆 曾 為 儒 也 
T52n2118_001:0795b03	予昔嘗與子為方外友(予我也。昔者往日也。嘗曾也。撤去籓籬出乎流俗之	予 昔 嘗 與 子 為 方 外 友 予 我 也 昔 者 往 日 也 嘗 曾 也 撤 去 籓 籬 出 乎 流 俗 之 
T52n2118_001:0795b04	表曰方外也。同志曰友)。	表 曰 方 外 也 同 志 曰 友 
T52n2118_001:0795b05	獨以兵火之亂。不得同地而處。良可歎也(獨者	獨 以 兵 火 之 亂 不 得 同 地 而 處 良 可 歎 也 獨 者 
T52n2118_001:0795b06	單也。言單為兵亂而逃避分散也。逃避不得同居。良頗亦可悲歎也)。	單 也 言 單 為 兵 亂 而 逃 避 分 散 也 逃 避 不 得 同 居 良 頗 亦 可 悲 歎 也 
T52n2118_001:0795b07	子下髮離俗。其有年矣(子落髮為僧離去俗家。有多年矣)。	子 下 髮 離 俗 其 有 年 矣 子 落 髮 為 僧 離 去 俗 家 有 多 年 矣 
T52n2118_001:0795b08	嘗欲一往而見。不果如願(曾要專一來此見面。不如願欲)。	嘗 欲 一 往 而 見 不 果 如 願 曾 要 專 一 來 此 見 面 不 如 願 欲 
T52n2118_001:0795b09	頃以稅駕塵習撥置人事。姑乘少暇聿來高	頃 以 稅 駕 塵 習 撥 置 人 事 姑 乘 少 暇 聿 來 高 
T52n2118_001:0795b10	居。欲折所疑。莫知可否(否音府。否者審辭也。頃者俄頃少時也。以用也。稅駕	居 欲 折 所 疑 莫 知 可 否 否 音 府 否 者 審 辭 也 頃 者 俄 頃 少 時 也 以 用 也 稅 駕 
T52n2118_001:0795b11	者農夫之具。頃以脫鞅憩歇暫放下之義。塵習者塵寰家務之習。撥置者謂棄之於一邊。人事者往來交接之事也。	者 農 夫 之 具 頃 以 脫 鞅 憩 歇 暫 放 下 之 義 塵 習 者 塵 寰 家 務 之 習 撥 置 者 謂 棄 之 於 一 邊 人 事 者 往 來 交 接 之 事 也 
T52n2118_001:0795b12	姑且因乘少時閑暇聿遂而來高隱之居欲以決折所疑之惑情。莫知可許否)。	姑 且 因 乘 少 時 閑 暇 聿 遂 而 來 高 隱 之 居 欲 以 決 折 所 疑 之 惑 情 莫 知 可 許 否 
T52n2118_001:0795b13	妙明曰。請試言之(請試言所疑之辭)。	妙 明 曰 請 試 言 之 請 試 言 所 疑 之 辭 
T52n2118_001:0795b14	客曰。人云(假借他人之言)。	客 曰 人 云 假 借 他 人 之 言 
T52n2118_001:0795b15	曩妙明儒時。未嘗寄口於佛經(曩昔也。言往昔之日為儒。時未	曩 妙 明 儒 時 未 嘗 寄 口 於 佛 經 曩 昔 也 言 往 昔 之 日 為 儒 時 未 
T52n2118_001:0795b16	嘗掛口於佛經)。	嘗 掛 口 於 佛 經 
T52n2118_001:0795b17	今為釋也。沈湎因果。謂佛教也空寂之說(今為	今 為 釋 也 沈 湎 因 果 謂 佛 教 也 空 寂 之 說 今 為 
T52n2118_001:0795b18	釋子如沈貪酒色心迷意醉亦如湎波溺而不醒。乃妄為因緣果報虛無空寂之論說)。	釋 子 如 沈 貪 酒 色 心 迷 意 醉 亦 如 湎 波 溺 而 不 醒 乃 妄 為 因 緣 果 報 虛 無 空 寂 之 論 說 
T52n2118_001:0795b19	遺棄周孔黃老之書。不識有諸(遺猶棄也。謂遺棄周公孔子黃帝老	遺 棄 周 孔 黃 老 之 書 不 識 有 諸 遺 猶 棄 也 謂 遺 棄 周 公 孔 子 黃 帝 老 
T52n2118_001:0795b20	聃之經書)。	聃 之 經 書 
T52n2118_001:0795b21	妙明曰。子貢云。君子一言以為知。一言以	妙 明 曰 子 貢 云 君 子 一 言 以 為 知 一 言 以 
T52n2118_001:0795b22	為不知。言不可慎也(知皆音智。論語。陳子禽謂子貢曰。子為恭也。仲尼豈賢於	為 不 知 言 不 可 慎 也 知 皆 音 智 論 語 陳 子 禽 謂 子 貢 曰 子 為 恭 也 仲 尼 豈 賢 於 
T52n2118_001:0795b23	子乎。言謂恭者謂恭敬。推遜其師也。子貢曰。君子一言以為知云云。此責子禽不謹言也。蓋一言善為智。一言不	子 乎 言 謂 恭 者 謂 恭 敬 推 遜 其 師 也 子 貢 曰 君 子 一 言 以 為 知 云 云 此 責 子 禽 不 謹 言 也 蓋 一 言 善 為 智 一 言 不 
T52n2118_001:0795b24	善為不智。智不知係於一言。不可不謹慎也)。	善 為 不 智 智 不 知 係 於 一 言 不 可 不 謹 慎 也 
T52n2118_001:0795b25	凡物自微至著緣淺及深(微者。細也小也。著者盛也。大也。凡一切物自細	凡 物 自 微 至 著 緣 淺 及 深 微 者 細 也 小 也 著 者 盛 也 大 也 凡 一 切 物 自 細 
T52n2118_001:0795b26	小而至盛大。緣者由也。譬人入海由淺而以及其深也)。	小 而 至 盛 大 緣 者 由 也 譬 人 入 海 由 淺 而 以 及 其 深 也 
T52n2118_001:0795b27	譬登萬仞之嶽不可一步而至。必資下以及	譬 登 萬 仞 之 嶽 不 可 一 步 而 至 必 資 下 以 及 
T52n2118_001:0795c01	其高(顏師古書曰。七尺為仞。嶽者山之高廣者也譬喻人登萬仞之山嶽不可一步便到。必自下以至其高上)。	其 高 顏 師 古 書 曰 七 尺 為 仞 嶽 者 山 之 高 廣 者 也 譬 喻 人 登 萬 仞 之 山 嶽 不 可 一 步 便 到 必 自 下 以 至 其 高 上 
T52n2118_001:0795c02	既登絕頂。所歷諸山。豈曰棄哉(既登絕高之頂。觀經歷之眾山	既 登 絕 頂 所 歷 諸 山 豈 曰 棄 哉 既 登 絕 高 之 頂 觀 經 歷 之 眾 山 
T52n2118_001:0795c03	皆低未曾遺棄也)。	皆 低 未 曾 遺 棄 也 
T52n2118_001:0795c04	吾始學周孔黃老之書。抑以為極致(我始初為學周孔等書之	吾 始 學 周 孔 黃 老 之 書 抑 以 為 極 致 我 始 初 為 學 周 孔 等 書 之 
T52n2118_001:0795c05	時。抑以為至絕之處)。	時 抑 以 為 至 絕 之 處 
T52n2118_001:0795c06	次撿佛經。始知聖道有權實爾(次因檢閱佛之經典。始知聖道有	次 撿 佛 經 始 知 聖 道 有 權 實 爾 次 因 檢 閱 佛 之 經 典 始 知 聖 道 有 
T52n2118_001:0795c07	權假真實之理故爾)。	權 假 真 實 之 理 故 爾 
T52n2118_001:0795c08	今吾以姬孔黃老之書為眾山(姬周文王姓。謂周孔黃老四聖之書。	今 吾 以 姬 孔 黃 老 之 書 為 眾 山 姬 周 文 王 姓 謂 周 孔 黃 老 四 聖 之 書 
T52n2118_001:0795c09	喻如眾山)。	喻 如 眾 山 
T52n2118_001:0795c10	以佛經第一義諦為絕頂(第一義諦者。教乘之極談也。已達聖位者為真諦。	以 佛 經 第一義諦 為 絕 頂 第一義諦 者 教 乘 之 極 談 也 已 達 聖 位 者 為 真 諦 
T52n2118_001:0795c11	未脫凡情者為俗諦。於時真俗不立凡聖情盡。不著二邊唯存中道。故曰第一義諦。以此喻絕高之頂)。	未 脫 凡 情 者 為 俗 諦 於 時 真 俗 不 立 凡 聖 情 盡 不 著 二 邊 唯 存 中 道 故 曰 第一義諦 以 此 喻 絕 高 之 頂 
T52n2118_001:0795c12	既登絕頂。望眾山自遠矣。何棄之有耶(既明釋典	既 登 絕 頂 望 眾 山 自 遠 矣 何 棄 之 有 耶 既 明 釋 典 
T52n2118_001:0795c13	如登絕高之頂。復觀周孔等書如眾山而自遠矣。何曾遺棄之有耶也)。	如 登 絕 高 之 頂 復 觀 周 孔 等 書 如 眾 山 而 自 遠 矣 何 曾 遺 棄 之 有 耶 也 
T52n2118_001:0795c14	聖生第二(此篇言佛降誕之跡。故曰聖生)	聖 生 第 二 此 篇 言 佛 降 誕 之 跡 故 曰 聖 生 
T52n2118_001:0795c15	客曰。佛之所生在何邦域。其氏族顯跡及形	客 曰 佛 之 所 生 在 何 邦 域 其 氏 族 顯 跡 及 形 
T52n2118_001:0795c16	貌德相所說法要可得聞乎(佛之降生國土姓氏家族兼及形相所談妙	貌 德 相 所 說 法 要 可 得 聞 乎 佛 之 降 生 國 土 姓 氏 家 族 兼 及 形 相 所 談 妙 
T52n2118_001:0795c17	法。亦可得而聞乎)。	法 亦 可 得 而 聞 乎 
T52n2118_001:0795c18	妙明曰。富哉問也(發問之辭深遠廣大故曰富問也)。	妙 明 曰 富 哉 問 也 發 問 之 辭 深 遠 廣 大 故 曰 富 問 也 
T52n2118_001:0795c19	予雖不敏。略示所知以報吾子(我雖不敏達略將少知用答子之	予 雖 不 敏 略 示 所 知 以 報 吾 子 我 雖 不 敏 達 略 將 少 知 用 答 子 之 
T52n2118_001:0795c20	問也)。	問 也 
T52n2118_001:0795c21	自漢之西。過數萬里(自漢者指中華漢地也。之者往也。自漢地往西約有數萬里程	自 漢 之 西 過 數 萬 里 自 漢 者 指 中 華 漢 地 也 之 者 往 也 自 漢 地 往 西 約 有 數 萬 里 程 
T52n2118_001:0795c22	途也)。	途 也 
T52n2118_001:0795c23	有國曰迦維羅(被有國土名迦維羅乃佛降誕之中國也)。	有 國 曰 迦 維 羅 被 有 國 土 名 迦 維 羅 乃 佛 降 誕 之 中 國 也 
T52n2118_001:0795c24	王姓釋迦(釋氏源流梵語釋迦。此云能仁)。	王 姓 釋 迦 釋 氏 源 流 梵 語 釋 迦 此 云 能 仁 
T52n2118_001:0795c25	父名淨飯(梵語首頭陀羅。或云悅頭檀。此云淨飯)。	父 名 淨 飯 梵 語 首 頭 陀 羅 或 云 悅 頭 檀 此 云 淨 飯 
T52n2118_001:0795c26	大夫人曰摩耶(梵語摩耶。此云大術)。	大 夫 人 曰 摩 耶 梵 語 摩 耶 此 云 大 術 
T52n2118_001:0795c27	佛本居兜率天宮(梵語兜率陀。亦名覩一史多。此云知足也)。	佛 本 居 兜率天宮 梵 語 兜 率 陀 亦 名 覩 一 史 多 此 云 知 足 也 
T52n2118_001:0795c28	以先佛之迦葉般涅槃後佛當補處。名曰護	以 先 佛 之 迦 葉 般 涅 槃 後 佛 當 補 處 名 曰 護 
T52n2118_001:0796a01	明(梵語具云摩訶般涅槃那此云大滅度。亦云大寂滅。自迦葉佛涅槃之後。佛補其一處。特待出現之時)。	明 梵 語 具 云 摩訶般涅槃 那 此 云 大 滅 度 亦 云 大 寂 滅 自 迦 葉 佛 涅 槃 之 後 佛 補 其 一 處 特 待 出 現 之 時 
T52n2118_001:0796a02	實以三祇因滿(一切諸佛皆修三祇之因也。三祇者。即三大阿僧祇劫也)。	實 以 三 祇 因 滿 一切諸佛 皆 修 三 祇 之 因 也 三 祇 者 即 三 大阿僧祇劫 也 
T52n2118_001:0796a03	萬德果圓(諸佛皆具萬德方為道果圓滿也)。	萬 德 果 圓 諸 佛 皆 具 萬 德 方 為 道 果 圓 滿 也 
T52n2118_001:0796a04	宿願未周(宿生有願。未曾同圓。故下生人間)。	宿 願 未 周 宿 生 有 願 未 曾 同 圓 故 下 生 人 間 
T52n2118_001:0796a05	示同生滅(示現受生滅身)。	示 同 生 滅 示 現 受 生 滅 身 
T52n2118_001:0796a06	駕日輪香象。託陰王宮(初投胎時。化現於日輪之中跨香象。投託母胎於王宮)。	駕 日 輪 香 象 託 陰 王 宮 初 投 胎 時 化 現 於 日 輪 之 中 跨 香 象 投 託 母 胎 於 王 宮 
T52n2118_001:0796a07	以大夫人摩耶為母。以周昭王甲寅二十四	以 大 夫 人 摩 耶 為 母 以 周 昭 王 甲 寅 二 十 四 
T52n2118_001:0796a08	年四月八日(當周之時正月建子。即今二月八日是也)。	年 四 月 八 日 當 周 之 時 正 月 建 子 即 今 二 月 八 日 是 也 
T52n2118_001:0796a09	毘藍園中右脇而生(脅生者表異常流。周書異記云。昭王二十四年四月八日。此方	毘 藍 園 中 右 脇 而 生 脅 生 者 表 異 常 流 周 書 異 記 云 昭 王 二 十 四 年 四 月 八 日 此 方 
T52n2118_001:0796a10	江河泛漲大地皆動。光貫太微照自西方。王即怪問群臣。太史蘇由奏曰。西方生大聖人也。王曰。於此何如。由曰	江 河 泛 漲 大 地 皆 動 光 貫 太 微 照 自 西 方 王 即 怪 問 群 臣 太 史 蘇 由 奏 曰 西 方 生 大 聖 人 也 王 曰 於 此 何 如 由 曰 
T52n2118_001:0796a11	無事。千年之後聲教傳流。於此時乃刻銘於國之南郊以記之)。	無 事 千 年 之 後 聲 教 傳 流 於 此 時 乃 刻 銘 於 國 之 南 郊 以 記 之 
T52n2118_001:0796a12	於時地搖六震(六震。即六種震動。謂動踊震起吼擊也。搖揚不安曰動。[嶙山+土]瓏凹凸曰踊。	於 時 地 搖 六 震 六 震 即 六種震動 謂 動 踊 震 起 吼 擊 也 搖 揚 不 安 曰 動 [嶙山土] 瓏 凹 凸 曰 踊 
T52n2118_001:0796a13	隱隱有聲曰震。自下昇高曰起。砰磕發響曰吼。打摶驚物曰擊。然各有三。直動名動四天下動名遍動。盡大千動名	隱 隱 有 聲 曰 震 自 下 昇 高 曰 起 砰 磕 發 響 曰 吼 打 摶 驚 物 曰 擊 然 各 有 三 直 動 名 動 四 天 下 動 名 遍 動 盡 大 千 動 名 
T52n2118_001:0796a14	等遍動。餘五例此)。	等 遍 動 餘 五 例 此 
T52n2118_001:0796a15	天雨四華(雨音裕。降也。四華者。曼殊沙華。摩訶曼殊沙華。芬陀梨華。拘物頭華)。	天 雨 四 華 雨 音 裕 降 也 四 華 者 曼殊沙華 摩訶曼殊沙華 芬 陀 梨 華 拘 物 頭 華 
T52n2118_001:0796a16	神捧金盤(地神捧持金盤)。	神 捧 金 盤 地 神 捧 持 金 盤 
T52n2118_001:0796a17	龍吐香露(九龍吐其香水浴太子身)。	龍 吐 香 露 九 龍 吐 其 香 水 浴 太 子 身 
T52n2118_001:0796a18	即能縱行七步(周迴行七步。七步蓮華皆生。七步者。表七種淨財。亦名七德財。即信進戒	即 能 縱 行 七 步 周 迴 行 七 步 七 步 蓮 華 皆 生 七 步 者 表 七 種 淨 財 亦 名 七 德 財 即 信 進 戒 
T52n2118_001:0796a19	慚愧聞捨定慧七也)。	慚 愧 聞 捨 定 慧 七 也 
T52n2118_001:0796a20	目顧四方(眼顧視於東西南北四方。本行經云。東方表涅槃最上。南方表利樂眾生西方表解脫。北	目 顧 四 方 眼 顧 視 於 東 西 南 北 四 方 本 行 經 云 東 方 表 涅 槃 最 上 南 方 表 利 樂 眾 生 西 方 表 解 脫 北 
T52n2118_001:0796a21	方表永斷輪迴)。	方 表 永 斷 輪 迴 
T52n2118_001:0796a22	一手指天一手指地。曰天上天下唯吾獨尊(目顧	一 手 指 天 一 手 指 地 曰 天 上 天 下 唯 吾 獨 尊 目 顧 
T52n2118_001:0796a23	四方。上下所指。一則異於凡流。二者發明大事因緣。翫者於此動用之間。自可消息)。	四 方 上 下 所 指 一 則 異 於 凡 流 二 者 發 明 大 事 因 緣 翫 者 於 此 動 用 之 間 自 可 消 息 
T52n2118_001:0796a24	具三十二大人相(阿毘曇論云。三十二相者。梵音聲相眉間白毫相。烏瑟尼妙相。牛王	具 三十二大人相 阿 毘 曇 論 云 三十二相 者 梵 音 聲 相 眉間白毫相 烏 瑟 尼 妙 相 牛 王 
T52n2118_001:0796a25	睫相。目紺青相。廣長舌相。得上味相。齒牙鮮白相。齒齊。互密相。具四十二齒相。師子頷輪相。立身摩膝相。	睫 相 目 紺 青 相 廣長舌相 得 上 味 相 齒 牙 鮮 白 相 齒 齊 互 密 相 具 四 十 二 齒 相 師 子 頷 輪 相 立 身 摩 膝 相 
T52n2118_001:0796b01	肩膊圓滿相。師子身相。廣洪直相處處充滿相。皮膚細軟相。常光一尋相身真金色相。身毛右旋相。孔生一毛	肩 膊 圓 滿 相 師 子 身 相 廣 洪 直 相 處 處 充 滿 相 皮 膚 細 軟 相 常光一尋 相 身 真 金 色 相 身 毛 右 旋 相 孔 生 一 毛 
T52n2118_001:0796b02	相。身毛上靡相。身分圓滿相。勢峯藏密相。伊尼鹿王腨相。足趺滿厚相手指網縵相。手足細軟相。足踉圓滿相。	相 身毛上靡相 身 分 圓 滿 相 勢 峯 藏 密 相 伊 尼 鹿 王 腨 相 足 趺 滿 厚 相 手 指網縵相 手足細軟相 足 踉 圓 滿 相 
T52n2118_001:0796b03	纖長光澤相。足千輻輪相。足底平滿相)。	纖 長 光 澤 相 足 千輻輪相 足 底 平 滿 相 
T52n2118_001:0796b04	八十種隨形好(八十種好者。指甲紅赤。指甲隆起。指甲清淨指甲滿足。押甲團圓指甲纖	八 十 種 隨 形 好 八十種好 者 指 甲 紅 赤 指 甲 隆 起 指 甲 清 淨 指 甲 滿 足 押 甲 團 圓 指 甲 纖 
