T85n2833_001:1270c08	觀心論	觀 心 論 
T85n2833_001:1270c25	自能除一切諸苦　又問。三界六趣廣大無	自 能 除 一 切 諸 苦 又 問 三 界 六 趣 廣 大 無 
T85n2833_001:1270c26	邊。若唯觀心云何免彼之苦　答曰。三界業	邊 若 唯 觀 心 云 何 免 彼 之 苦 答 曰 三 界 業 
T85n2833_001:1270c27	報惟心所生。本若無心則無三界。三界者即	報 惟 心 所 生 本 若 無 心 則 無 三 界 三 界 者 即 
T85n2833_001:1270c28	是三毒。貪為欲界。瞋為色界。癡為無色界。由	是 三 毒 貪 為 欲 界 瞋 為 色 界 癡 為 無 色 界 由 
T85n2833_001:1270c29	此三心結集諸惡業報成就輪迴不具。故名	此 三 心 結 集 諸 惡 業 報 成 就 輪 迴 不 具 故 名 
T85n2833_001:1271a01	三界。又由三毒造業輕重受趣不同分歸六	三 界 又 由 三 毒 造 業 輕 重 受 趣 不 同 分 歸 六 
T85n2833_001:1271a02	處。故名六趣　又問。云何輕重分之為六	處 故 名 六 趣 又 問 云 何 輕 重 分 之 為 六 
T85n2833_001:1271a03	　答曰。若有眾生不了正因迷心修善。未免三	 答 曰 若 有 眾 生 不 了 正 因 迷 心 修 善 未 免 三 
T85n2833_001:1271a04	界生三輕趣。云何三輕所為。悉修十善妄求	界 生 三 輕 趣 云 何 三 輕 所 為 悉 修 十 善 妄 求 
T85n2833_001:1271a05	快樂。未免貪界。生於六趣。悉持五戒妄起愛	快 樂 未 免 貪 界 生 於 六 趣 悉 持 五 戒 妄 起 愛 
T85n2833_001:1271a06	憎。未免瞋界。生於人趣。迷執有為信邪求	憎 未 免 瞋 界 生 於 人 趣 迷 執 有 為 信 邪 求 
T85n2833_001:1271a07	福。未免癡界。生阿修羅。如見三類名為三	福 未 免 癡 界 生 阿 修 羅 如 見 三 類 名 為 三 
T85n2833_001:1271a08	重。云何三重。所謂縱三毒心唯造惡業。墮	重 云 何 三 重 所 謂 縱 三 毒 心 唯 造 惡 業 墮 
T85n2833_001:1271a09	三重趣。若貪業重者墮餓鬼趣。瞋業重者墮	三 重 趣 若 貪 業 重 者 墮 餓 鬼 趣 瞋 業 重 者 墮 
T85n2833_001:1271a10	地獄趣。癡業重者墮畜生趣。如是三重通前	地 獄 趣 癡 業 重 者 墮 畜 生 趣 如 是 三 重 通 前 
T85n2833_001:1271a11	三輕遂成六趣。故知一切善業由自心生。但	三 輕 遂 成 六 趣 故 知 一 切 善 業 由 自 心 生 但 
T85n2833_001:1271a12	能攝心離諸邪惡。三界六趣輪迴之業自然	能 攝 心 離 諸 邪 惡 三 界 六 趣 輪 迴 之 業 自 然 
T85n2833_001:1271a13	消滅。能滅諸苦即名解脫　又問。如佛所說。	消 滅 能 滅 諸 苦 即 名 解 脫 又 問 如 佛 所 說 
T85n2833_001:1271a14	我於三代阿僧祇劫無量勤苦乃成佛道。云	我 於 三 代 阿僧祇劫 無 量 勤 苦 乃 成 佛 道 云 
T85n2833_001:1271a15	何今說唯除三毒即名解脫　答曰。佛所說	何 今 說 唯 除 三 毒 即 名 解 脫 答 曰 佛 所 說 
T85n2833_001:1271a16	言三大阿僧祇劫者即三毒心也。胡言阿僧	言 三 大阿僧祇劫 者 即 三 毒 心 也 胡 言 阿 僧 
T85n2833_001:1271a17	祇漢言不可數。此三毒心於一念中皆為一	祇 漢 言 不 可 數 此 三 毒 心 於 一 念 中 皆 為 一 
T85n2833_001:1271a18	切。恒何沙者不可數也。真如之性既被三毒	切 恒 何 沙 者 不 可 數 也 真 如 之 性 既 被 三 毒 
T85n2833_001:1271a19	之所覆障。若不超越彼三恒河沙毒惡之念。	之 所 覆 障 若 不 超 越 彼 三 恒 河 沙 毒 惡 之 念 
T85n2833_001:1271a20	云何名得解脫也。今者能除貪瞋癡等三種	云 何 名 得 解 脫 也 今 者 能 除 貪 瞋 癡 等 三 種 
T85n2833_001:1271a21	毒心。是則名為度得三大阿僧祇劫。末世眾	毒 心 是 則 名 為 度 得 三 大阿僧祇劫 末 世 眾 
T85n2833_001:1271a22	生愚癡鈍根。不解如來三種阿僧祇祕密之	生 愚 癡 鈍 根 不 解 如 來 三 種 阿 僧 祇 祕 密 之 
T85n2833_001:1271a23	說。遂言成歷劫末期。豈不疑悟行人不退菩	說 遂 言 成 歷 劫 末 期 豈 不 疑 悟 行 人 不 退 菩 
T85n2833_001:1271a24	提方成佛道。今令學者唯須觀心不修戒行。	提 方 成 佛 道 今 令 學 者 唯 須 觀 心 不 修 戒 行 
T85n2833_001:1271a25	云何成量善。聚會者。以能制三毒即有三量	云 何 成 量 善 聚 會 者 以 能 制 三 毒 即 有 三 量 
T85n2833_001:1271a26	善普會於心故名三聚戒也。波羅蜜者。即是	善 普 會 於 心 故 名 三 聚 戒 也 波 羅 蜜 者 即 是 
T85n2833_001:1271a27	梵言。漢言達彼岸。以六根清淨不染世塵。即	梵 言 漢 言 達 彼 岸 以 六 根 清 淨 不 染 世 塵 即 
T85n2833_001:1271a28	出煩惱可至菩提岸也。故名六波羅蜜　又	出 煩 惱 可 至 菩 提 岸 也 故 名 六波羅蜜 又 
T85n2833_001:1271a29	問。如經所說。三聚淨戒者。誓斷一切惡。誓	問 如 經 所 說 三聚淨戒 者 誓 斷 一 切 惡 誓 
T85n2833_001:1271b01	修一切善。誓度一切眾生。今言制三毒心。豈	修 一 切 善 誓 度 一 切 眾 生 今 言 制 三 毒 心 豈 
T85n2833_001:1271b02	不文義有所乖也　答曰。佛所說經是真實	不 文 義 有 所 乖 也 答 曰 佛 所 說 經 是 真 實 
T85n2833_001:1271b03	語。應無謬也。菩薩於過去因中修苦行時。對	語 應 無 謬 也 菩 薩 於 過 去 因 中 修 苦 行 時 對 
T85n2833_001:1271b04	於三毒誓斷一切惡常修戒。對於瞋毒誓修	於 三 毒 誓 斷 一 切 惡 常 修 戒 對 於 瞋 毒 誓 修 
T85n2833_001:1271b05	一切善故常修定。對於癡戒誓度一切眾生	一 切 善 故 常 修 定 對 於 癡 戒 誓 度 一 切 眾 生 
T85n2833_001:1271b06	故常修惠。由持如是戒定惠等三種淨法故。	故 常 修 惠 由 持 如 是 戒 定 惠 等 三 種 淨 法 故 
T85n2833_001:1271b07	能超彼三毒惡業即成佛也。以制三毒則諸	能 超 彼 三 毒 惡 業 即 成 佛 也 以 制 三 毒 則 諸 
T85n2833_001:1271b08	惡消滅。故名之為斷。以能持三戒則諸善具	惡 消 滅 故 名 之 為 斷 以 能 持 三 戒 則 諸 善 具 
T85n2833_001:1271b09	足。名之為佛。以修能斷則萬行成就。自他	足 名 之 為 佛 以 修 能 斷 則 萬 行 成 就 自 他 
T85n2833_001:1271b10	利己普濟群生。故名為度。既知所修戒行不	利 己 普 濟 群 生 故 名 為 度 既 知 所 修 戒 行 不 
T85n2833_001:1271b11	離於心。若自清淨故一切功德悉皆清淨	離 於 心 若 自 清 淨 故 一切功德 悉 皆 清 淨 
T85n2833_001:1271b12	　又云。欲得淨佛云當淨其心。隨其心淨則佛	 又 云 欲 得 淨 佛 云 當 淨 其 心 隨 其 心 淨 則 佛 
T85n2833_001:1271b13	土淨。若能制得三種毒心。三聚淨戒自然成	土 淨 若 能 制 得 三 種 毒 心 三聚淨戒 自 然 成 
T85n2833_001:1271b14	就　又云。如經中所說。六波羅蜜者亦名六	就 又 云 如 經 中 所 說 六波羅蜜 者 亦 名 六 
T85n2833_001:1271b15	度。所謂布施持戒忍辱精進禪定智慧。今言	度 所 謂 布 施 持 戒 忍 辱 精 進 禪 定 智 慧 今 言 
T85n2833_001:1271b16	六根清淨六波羅蜜　若為通會。又六度者其	六 根 清 淨 六波羅蜜 若 為 通 會 又 六 度 者 其 
T85n2833_001:1271b17	義云何　答曰。欲修六度當淨六根欲淨六根	義 云 何 答 曰 欲 修 六 度 當 淨 六 根 欲 淨 六 根 
T85n2833_001:1271b18	先降六賊。能捨眼賊。離諸色境心無顧悋。名	先 降 六 賊 能 捨 眼 賊 離 諸 色 境 心 無 顧 悋 名 
T85n2833_001:1271b19	為布施能禁耳賊。於彼聲塵勿令縱逸。名為	為 布 施 能 禁 耳 賊 於 彼 聲 塵 勿 令 縱 逸 名 為 
T85n2833_001:1271b20	持戒。能除鼻賊。等諸香臭自在調柔。名為忍	持 戒 能 除 鼻 賊 等 諸 香 臭 自 在 調 柔 名 為 忍 
T85n2833_001:1271b21	辱。能制舌賊不貪邪味。讚詠講說無疲厭心。	辱 能 制 舌 賊 不 貪 邪 味 讚 詠 講 說 無 疲 厭 心 
T85n2833_001:1271b22	名為精進。能降身賊。於諸觸欲其心湛然不	名 為 精 進 能 降 身 賊 於 諸 觸 欲 其 心 湛 然 不 
T85n2833_001:1271b23	動。名為禪定。能攝意賊。不順無明常修覺惠	動 名 為 禪 定 能 攝 意 賊 不 順 無 明 常 修 覺 惠 
T85n2833_001:1271b24	樂諸功德名為智慧。又度者運也。六波羅蜜	樂 諸 功 德 名 為 智 慧 又 度 者 運 也 六波羅蜜 
T85n2833_001:1271b25	喻如船筏能運載眾生達於彼岸。故名六度	喻 如 船 筏 能 運 載 眾 生 達 於 彼 岸 故 名 六 度 
T85n2833_001:1271b26	　又問。所說釋迦如來為菩薩時。曾飲三斗	 又 問 所 說 釋 迦 如 來 為 菩 薩 時 曾 飲 三 斗 
T85n2833_001:1271b27	六升乳糜方成佛道。即是先因食乳後證佛果。	六 升 乳 糜 方 成 佛 道 即 是 先 因 食 乳 後 證 佛 果 
T85n2833_001:1271b28	豈唯觀心得解脫也　答曰。誠如所言無虛	豈 唯 觀 心得解脫 也 答 曰 誠 如 所 言 無 虛 
T85n2833_001:1271b29	妄也。必因飡乳然始成佛。佛言食乳。乳有二	妄 也 必 因 飡 乳 然 始 成 佛 佛 言 食 乳 乳 有 二 
T85n2833_001:1271c01	種。佛所食者非世間不淨之乳。乃是真如清	種 佛 所 食 者 非 世 間 不 淨 之 乳 乃 是 真 如 清 
T85n2833_001:1271c02	淨法乳。三斗者即是三聚淨戒。六升者即是	淨 法 乳 三 斗 者 即 是 三聚淨戒 六 升 者 即 是 
T85n2833_001:1271c03	六波羅蜜。成佛道時食如是。法乳方證佛果。	六波羅蜜 成 佛 道 時 食 如 是 法 乳 方 證 佛 果 
T85n2833_001:1271c04	若言如來食於世間婬慾和合不淨之牛羶腥	若 言 如 來 食 於 世 間 婬 慾 和 合 不 淨 之 牛 羶 腥 
T85n2833_001:1271c05	乳者。豈不成謗法之甚也。如來者自是金剛	乳 者 豈 不 成 謗 法 之 甚 也 如 來 者 自 是 金 剛 
T85n2833_001:1271c06	不壞無漏法身。永離世間一切諸苦。豈須如	不 壞 無 漏 法 身 永 離 世 間 一 切 諸 苦 豈 須 如 
T85n2833_001:1271c07	是不淨之乳以充飢渴。所說牛不在高原。不	是 不 淨 之 乳 以 充 飢 渴 所 說 牛 不 在 高 原 不 
T85n2833_001:1271c08	在下濕。不食穀麥糟糠麩豆。不與特牛同群。	在 下 濕 不 食 穀 麥 糟 糠 麩 豆 不 與 特 牛 同 群 
T85n2833_001:1271c09	身作紫磨金色。言此牛者即盧舍那佛也。以	身 作 紫 磨 金 色 言 此 牛 者 即 盧 舍 那 佛 也 以 
T85n2833_001:1271c10	大慈大悲憐愍故。於清淨體中如是三聚淨	大慈大悲 憐 愍 故 於 清 淨 體 中 如 是 三 聚 淨 
T85n2833_001:1271c11	戒六波羅蜜微妙法乳養一切眾生求解脫	戒 六波羅蜜 微 妙 法 乳 養 一 切 眾 生 求 解 脫 
T85n2833_001:1271c12	者。如是真中清淨之乳非真如來飲之成道。	者 如 是 真 中 清 淨 之 乳 非 真 如 來 飲 之 成 道 
T85n2833_001:1271c13	一切眾生若食者皆得阿耨多羅三藐三菩提	一 切 眾 生 若 食 者 皆 得阿耨多羅三藐三菩提 
T85n2833_001:1271c14	　又問。經中所說。佛言。眾生修伽藍鑄形像	 又 問 經 中 所 說 佛 言 眾 生 修 伽 藍 鑄 形 像 
T85n2833_001:1271c15	燒香散花然長明燈。晝夜六時遶塔行道持	燒 香 散 花 然 長 明 燈 晝 夜 六 時 遶 塔 行 道 持 
T85n2833_001:1271c16	齋禮拜。種種功德皆成佛道。若唯觀心總攝	齋 禮 拜 種 種 功 德 皆 成 佛 道 若 唯 觀 心 總 攝 
T85n2833_001:1271c17	諸行。如是事應妄也　答曰。佛所說無量方	諸 行 如 是 事 應 妄 也 答 曰 佛 所 說 無 量 方 
T85n2833_001:1271c18	便。一切眾生鈍根狹劣。甚深所以假有為喻	便 一 切 眾 生 鈍 根 狹 劣 甚 深 所 以 假 有 為 喻 
T85n2833_001:1271c19	無為。若不內行唯只外求。希望獲福。無有是	無 為 若 不 內 行 唯 只 外 求 希 望 獲 福 無 有 是 
T85n2833_001:1271c20	處。言伽藍者。西國梵音。此地翻為清淨處	處 言 伽 藍 者 西 國 梵 音 此 地 翻 為 清 淨 處 
T85n2833_001:1271c21	地。若永除三毒常淨六根。身心湛然內外清	地 若 永 除 三 毒 常 淨 六 根 身 心 湛 然 內 外 清 
T85n2833_001:1271c22	淨。是名為修伽藍也。又鑄形像者。即是一切	淨 是 名 為 修 伽 藍 也 又 鑄 形 像 者 即 是 一 切 
T85n2833_001:1271c23	眾生求佛道所為修諸覺行昉像如來豈遣鑄	眾 生 求 佛 道 所 為 修 諸 覺 行 昉 像 如 來 豈 遣 鑄 
T85n2833_001:1271c24	寫金銅之作也。是故求解脫者以身為鑪以	寫 金 銅 之 作 也 是 故 求 解 脫 者 以 身 為 鑪 以 
T85n2833_001:1271c25	法為火智慧為工匠三聚淨戒六波羅蜜以為	法 為 火 智 慧 為 工 匠 三聚淨戒 六波羅蜜 以 為 
T85n2833_001:1271c26	畫樣。鎔練身心真如佛性。遍入一切戒律模	畫 樣 鎔 練 身 心 真 如 佛 性 遍 入 一 切 戒 律 模 
T85n2833_001:1271c27	中。如教奉行以無缺漏。自然成就真容之像。	中 如 教 奉 行 以 無 缺 漏 自 然 成 就 真 容 之 像 
T85n2833_001:1271c28	所為究竟常住微妙色身非有為敗壞之法。	所 為 究 竟 常 住 微 妙 色 身 非 有 為 敗 壞 之 法 
T85n2833_001:1271c29	若人求道不解。如是鑄寫真容憑何輒言成	若 人 求 道 不 解 如 是 鑄 寫 真 容 憑 何 輒 言 成 
T85n2833_001:1272a01	就功德。又燒香者。亦非世間有相之香。乃是	就 功 德 又 燒 香 者 亦 非 世 間 有 相 之 香 乃 是 
T85n2833_001:1272a02	無為正法香也。薰諸穢惡業悉令清滅。其正	無 為 正 法 香 也 薰 諸 穢 惡 業 悉 令 清 滅 其 正 
T85n2833_001:1272a03	法香有五種體。一者戒香。所謂諸惡能斷能	法 香 有 五 種 體 一 者 戒 香 所 謂 諸 惡 能 斷 能 
T85n2833_001:1272a04	修諸善。二者定香。所謂決信大乘心無退轉。	修 諸 善 二 者 定 香 所 謂 決 信 大 乘 心 無 退 轉 
T85n2833_001:1272a05	三者惠香。所謂常於身心內外觀察。四者解	三 者 惠 香 所 謂 常 於 身 心 內 外 觀 察 四 者 解 
T85n2833_001:1272a06	脫香。所謂能斷一切無明結縛。五者解脫知	脫 香 所 謂 能 斷 一切無明 結 縛 五 者 解 脫 知 
T85n2833_001:1272a07	見香。所謂覺照常通達無明礙。如是五香世	見 香 所 謂 覺 照 常 通 達 無 明 礙 如 是 五 香 世 
T85n2833_001:1272a08	間無比。佛在世日令諸子以智慧火燒如是	間 無 比 佛 在 世 日 令 諸 子 以 智 慧 火 燒 如 是 
T85n2833_001:1272a09	無價香供養十方一切諸佛。今時眾生愚癡	無 價 香 供 養 十 方 一切諸佛 今 時 眾 生 愚 癡 
T85n2833_001:1272a10	鈍根。不解如來真實之義。唯將外火燒於世	鈍 根 不 解 如 來 真 實 之 義 唯 將 外 火 燒 於 世 
T85n2833_001:1272a11	間沈檀薰陸質礙之香者。希望福報云何可	間 沈 檀 薰 陸 質 礙 之 香 者 希 望 福 報 云 何 可 
T85n2833_001:1272a12	得。又散花者義亦如是。所謂演說正法說功	得 又 散 花 者 義 亦 如 是 所 謂 演 說 正 法 說 功 
T85n2833_001:1272a13	德花。饒益有情散霑一切。於真如性普施莊	德 花 饒益有情 散 霑 一 切 於 真 如 性 普 施 莊 
T85n2833_001:1272a14	嚴。此功德花佛所稱歎。究竟常住無彫落期。	嚴 此 功 德 花 佛 所 稱 歎 究 竟 常 住 無 彫 落 期 
T85n2833_001:1272a15	若復有人散如是花獲福無量。若如來令諸	若 復 有 人 散 如 是 花 獲 福 無 量 若 如 來 令 諸 
T85n2833_001:1272a16	眾生剪截繒綵。復損草木以為散花。無有是	眾 生 剪 截 繒 綵 復 損 草 木 以 為 散 花 無 有 是 
T85n2833_001:1272a17	處。所以者何。持淨戒者於諸大地參羅萬像	處 所以者何 持 淨 戒 者 於 諸 大 地 參 羅 萬 像 
T85n2833_001:1272a18	不令觸犯。誤觸犯者獲大罪。況復今故毀禁	不 令 觸 犯 誤 觸 犯 者 獲 大 罪 況 復 今 故 毀 禁 
T85n2833_001:1272a19	戒傷損萬物求於福報。欲益返損。豈有是	戒 傷 損 萬 物 求 於 福 報 欲 益 返 損 豈 有 是 
T85n2833_001:1272a20	乎　又問。燈者。覺正心覺也。以智慧明了喻	乎 又 問 燈 者 覺 正 心 覺 也 以 智慧明了 喻 
T85n2833_001:1272a21	之為燈。是故一切求解脫者常以身為燈臺。	之 為 燈 是 故 一 切 求 解 脫 者 常 以 身 為 燈 臺 
T85n2833_001:1272a22	心為燈盞。信為燈炷。增諸戒行以為添油。智	心 為 燈 盞 信 為 燈 炷 增 諸 戒 行 以 為 添 油 智 
T85n2833_001:1272a23	慧明達喻燈火常然。如是真如正覺燈明破	慧 明 達 喻 燈 火 常 然 如 是 真 如 正 覺 燈 明 破 
T85n2833_001:1272a24	一切無明癡暗。能以此法轉相開悟。即是一	一切無明 癡 暗 能 以 此 法 轉 相 開 悟 即 是 一 
T85n2833_001:1272a25	燈然百千燈。以燈續明明終不盡。以無盡故	燈 然 百 千 燈 以 燈 續 明 明 終 不 盡 以 無 盡 故 
T85n2833_001:1272a26	號曰長明。過去有佛號曰然燈。義亦如是。愚	號 曰 長 明 過 去 有 佛 號 曰 然 燈 義 亦 如 是 愚 
T85n2833_001:1272a27	癡眾生不會如來方便之說。專行虛妄執著有	癡 眾 生 不 會 如 來 方 便 之 說 專 行 虛 妄 執 著 有 
T85n2833_001:1272a28	為。遂然世間蘇油之燈以照一室乃稱依教。	為 遂 然 世 間 蘇 油 之 燈 以 照 一 室 乃 稱 依 教 
T85n2833_001:1272a29	豈不謬乎。所以者何。佛放眉間一毫相光。上	豈 不 謬 乎 所以者何 佛 放 眉 間 一 毫 相 光 上 
T85n2833_001:1272b01	照萬八千世界。若身光盡照普遍十方。豈假	照 萬 八 千 世 界 若 身 光 盡 照 普 遍 十 方 豈 假 
T85n2833_001:1272b02	如是世俗之燈以為利益。詳察斯理應不然	如 是 世 俗 之 燈 以 為 利 益 詳 察 斯 理 應 不 然 
T85n2833_001:1272b03	乎。又六時行道者。所為六根之中於一切時	乎 又 六 時 行 道 者 所 為 六 根 之 中 於一切時 
T85n2833_001:1272b04	常行佛。道者覺也。即是修諸覺行調伏六情。	常 行 佛 道 者 覺 也 即 是 修 諸 覺 行 調 伏 六 情 
T85n2833_001:1272b05	淨行長時不捨名六時行道。塔者身也。常令	淨 行 長 時 不 捨 名 六 時 行 道 塔 者 身 也 常 令 
T85n2833_001:1272b06	覺惠巡遶身心念念不停。名為遶塔。過去	覺 惠 巡 遶 身 心 念 念 不 停 名 為 遶 塔 過 去 
T85n2833_001:1272b07	聖僧人如是行道得涅槃。求解脫者不會斯	聖 僧 人 如 是 行 道 得 涅 槃 求 解 脫 者 不 會 斯 
T85n2833_001:1272b08	理。何名行道。竊見今時鈍根之輩眾生曾未	理 何 名 行 道 竊 見 今 時 鈍 根 之 輩 眾 生 曾 未 
T85n2833_001:1272b09	內行唯執外求。將質礙身遶世間塔。日夜走	內 行 唯 執 外 求 將 質 礙 身 遶 世 間 塔 日 夜 走 
T85n2833_001:1272b10	驟徒自疲勞。而於真性一無利益。迷悟之甚	驟 徒 自 疲 勞 而 於 真 性 一 無 利 益 迷 悟 之 甚 
T85n2833_001:1272b11	誠可愍歟。又持齋者當須達意。其利徒爾虛	誠 可 愍 歟 又 持 齋 者 當 須 達 意 其 利 徒 爾 虛 
T85n2833_001:1272b12	功。齋者齊也。所謂齋整身心不令散亂。持者	功 齋 者 齊 也 所 謂 齋 整 身 心 不 令 散 亂 持 者 
T85n2833_001:1272b13	護也。所謂戒行如法護持必須禁六情制三	護 也 所 謂 戒 行 如 法 護 持 必 須 禁 六 情 制 三 
T85n2833_001:1272b14	毒勤覺察淨身心。了如是義所名齋也。又持	毒 勤 覺 察 淨 身 心 了 如 是 義 所 名 齋 也 又 持 
T85n2833_001:1272b15	齋者。有五種。一者法喜食。所謂依如來正	齋 者 有 五 種 一 者 法 喜 食 所 謂 依 如 來 正 
T85n2833_001:1272b16	法歡喜奉行。二者禪悅食。所謂內外證寂身	法 歡 喜 奉 行 二 者 禪 悅 食 所 謂 內 外 證 寂 身 
T85n2833_001:1272b17	心悅樂。三者念食。所謂常念諸佛心口相應。	心 悅 樂 三 者 念 食 所 謂 常 念 諸 佛 心 口 相 應 
T85n2833_001:1272b18	四者願食。所謂行住坐臥常求善願。五者解	四 者 願 食 所 謂 行住坐臥 常 求 善 願 五 者 解 
T85n2833_001:1272b19	脫食。所謂心常清淨不染俗塵。此之淨食名	脫 食 所 謂 心 常 清 淨 不 染 俗 塵 此 之 淨 食 名 
T85n2833_001:1272b20	為齋食。若後有人不喰如是五清淨食。外持	為 齋 食 若 後 有 人 不 喰 如 是 五 清 淨 食 外 持 
T85n2833_001:1272b21	齋者無有是處。言斯食者。於無明惡業之食	齋 者 無 有 是 處 言 斯 食 者 於 無 明 惡 業 之 食 
T85n2833_001:1272b22	若轉讀者。破齋者云何獲福。或有愚迷不會	若 轉 讀 者 破 齋 者 云 何 獲 福 或 有 愚 迷 不 會 
T85n2833_001:1272b23	斯理。身心放逸諸惡皆為。貪慾恣情了無慚	斯 理 身 心 放 逸 諸 惡 皆 為 貪 慾 恣 情 了 無 慚 
T85n2833_001:1272b24	愧。唯斷外食自謂持齋。何異見爛壞死屍稱	愧 唯 斷 外 食 自 謂 持 齋 何 異 見 爛 壞 死 屍 稱 
T85n2833_001:1272b25	言有命。必死見事。又禮拜者。當如法也。必	言 有 命 必 死 見 事 又 禮 拜 者 當 如 法 也 必 
T85n2833_001:1272b26	須理體內明隨事推變。理恒不捨。事有行藏。	須 理 體 內 明 隨 事 推 變 理 恒 不 捨 事 有 行 藏 
T85n2833_001:1272b27	會如是義乃名如法。夫禮者敬也。拜者所為。	會 如 是 義 乃 名 如 法 夫 禮 者 敬 也 拜 者 所 為 
T85n2833_001:1272b28	恭敬真性屈伏無明。為禮拜也。以恭敬故不	恭 敬 真 性 屈 伏 無 明 為 禮 拜 也 以 恭 敬 故 不 
T85n2833_001:1272b29	敢毀傷。以屈伏故無令逸縱。若能惡情永斷	敢 毀 傷 以 屈 伏 故 無 令 逸 縱 若 能 惡 情 永 斷 
T85n2833_001:1272c01	善念恒存。雖不見相常名禮拜。其事法者即	善 念 恒 存 雖 不 見 相 常 名 禮 拜 其 事 法 者 即 
T85n2833_001:1272c02	身相也。為欲令諸世俗表謙下心故。須屈伏	身 相 也 為 欲 令 諸 世 俗 表 謙 下 心 故 須 屈 伏 
T85n2833_001:1272c03	外心示恭敬相。用之則顯。捨之則藏。覺外明	外 心 示 恭 敬 相 用 之 則 顯 捨 之 則 藏 覺 外 明 
T85n2833_001:1272c04	內以相應也。若復不行理法唯執事門內則	內 以 相 應 也 若 復 不 行 理 法 唯 執 事 門 內 則 
T85n2833_001:1272c05	故。縱貪癡常為惡業。外則空現身相。無名禮	故 縱 貪 癡 常 為 惡 業 外 則 空 現 身 相 無 名 禮 
T85n2833_001:1272c06	拜。無慚於聖。縱誑於凡。不免淪墜。豈成功	拜 無 慚 於 聖 縱 誑 於 凡 不 免 淪 墜 豈 成 功 
T85n2833_001:1272c07	德。既無所得。云何救道　又問。溫室經。洗	德 既 無 所 得 云 何 救 道 又 問 溫 室 經 洗 
T85n2833_001:1272c08	浴眾僧獲福無量。此則憑何事法功德始成。	浴 眾 僧 獲 福 無 量 此 則 憑 何 事 法 功 德 始 成 
T85n2833_001:1272c09	若唯觀心可相應不　答曰。眾僧者非說世	若 唯 觀 心 可 相 應 不 答 曰 眾 僧 者 非 說 世 
T85n2833_001:1272c10	間有為事。世尊當爾為諸弟子說溫室經。欲	間 有 為 事 世 尊 當 爾 為 諸 弟 子 說 溫 室 經 欲 
T85n2833_001:1272c11	令受持洗浴之法。是故假諸世事比喻真宗。	令 受 持 洗 浴 之 法 是 故 假 諸 世 事 比 喻 真 宗 
T85n2833_001:1272c12	說七事者。第一淨水。二者然火。三者澡豆。四	說 七 事 者 第 一 淨 水 二 者 然 火 三 者 澡 豆 四 
T85n2833_001:1272c13	者楊枝。五者純灰。六者蘇膏。七者內衣。舉	者 楊 枝 五 者 純 灰 六 者 蘇 膏 七 者 內 衣 舉 
T85n2833_001:1272c14	此七事喻於七法。一切眾生由此七法洗浴	此 七 事 喻 於 七 法 一 切 眾 生 由 此 七 法 洗 浴 
