T26n1520_001:0010c03	妙法蓮華經論優波提舍	妙法蓮華 經 論 優波提舍 
T26n1520_001:0011b01	善得正智心解脫者，諸漏已盡故。一切心得	善 得 正 智 心 解 脫 者 諸漏已盡 故 一 切 心 得 
T26n1520_001:0011b02	自在者，善知見道修道智故。到第一彼岸者，	自 在 者 善 知 見道修道 智 故 到 第一彼岸 者 
T26n1520_001:0011b03	善得正智心得解脫、善得神通無諍三昧等諸	善 得 正 智 心得解脫 善 得 神 通 無諍三昧 等 諸 
T26n1520_001:0011b04	功德故。大羅漢等者，心得自在，到彼岸故。	功 德 故 大 羅 漢 等 者 心得自在 到 彼 岸 故 
T26n1520_001:0011b05	眾所知識者，諸王、王子、大臣、帝釋、梵天王	眾 所 知 識 者 諸 王 王 子 大 臣 帝 釋 梵 天 王 
T26n1520_001:0011b06	等皆識知故。復聲聞、菩薩、佛等是勝智，彼	等 皆 識 知 故 復 聲 聞 菩 薩 佛 等 是 勝 智 彼 
T26n1520_001:0011b07	勝智者皆善知故，名眾所知識。總別門者，	勝 智 者 皆 善 知 故 名 眾 所 知 識 總 別 門 者 
T26n1520_001:0011b08	皆是羅漢等十六句，初句總，餘句別故。皆	皆 是 羅 漢 等 十 六 句 初 句 總 餘 句 別 故 皆 
T26n1520_001:0011b09	是羅漢者，彼羅漢名有十五種義應知：	是 羅 漢 者 彼 羅 漢 名 有 十 五 種 義 應 知 
T26n1520_001:0011b10	一者應受飲食臥具供養恭敬等故；二者應	一 者 應 受 飲 食 臥 具 供養恭敬 等 故 二 者 應 
T26n1520_001:0011b11	將大眾教化一切故；三者應入聚落城邑等	將 大 眾 教 化 一 切 故 三 者 應 入 聚 落 城 邑 等 
T26n1520_001:0011b12	故；四者應降伏諸外道等故；五者應以智慧	故 四 者 應 降 伏 諸 外 道 等 故 五 者 應 以 智 慧 
T26n1520_001:0011b13	速觀察法故；六者應不疾不遲說法，如法相	速 觀 察 法 故 六 者 應 不 疾 不 遲 說 法 如 法 相 
T26n1520_001:0011b14	應不疲惓故；七者應靜坐空閑處，飲食衣服	應 不 疲 惓 故 七 者 應 靜 坐 空 閑 處 飲 食 衣 服 
T26n1520_001:0011b15	一切資生不積不聚，少欲知足故；八者應一	一 切 資 生 不 積 不 聚 少欲知足 故 八 者 應 一 
T26n1520_001:0011b16	向行善行不著諸禪故；九者應行空聖行故；	向 行 善 行 不 著 諸 禪 故 九 者 應 行 空 聖 行 故 
T26n1520_001:0011b17	十者應行無相聖行故；十一者應行無願聖	十 者 應 行 無 相 聖 行 故 十 一 者 應 行 無 願 聖 
T26n1520_001:0011b18	行故；十二者應降伏世間禪淨心故；十三者	行 故 十 二 者 應 降 伏 世 間 禪 淨 心 故 十 三 者 
T26n1520_001:0011b19	應起諸通勝功德故；十四者應證第一義功	應 起 諸 通 勝 功 德 故 十 四 者 應 證 第 一 義 功 
T26n1520_001:0011b20	德故；十五者應如實知同生眾得諸功德，為	德 故 十 五 者 應如實知 同 生 眾 得 諸 功 德 為 
T26n1520_001:0011b21	利益一切眾生故。攝取事門者，此十五句	利 益 一 切 眾 生 故 攝 取 事 門 者 此 十 五 句 
T26n1520_001:0011b22	攝取十種功德，示現可說果不可說果故。	攝 取 十 種 功 德 示 現 可 說 果 不 可 說 果 故 
T26n1520_001:0011b23	一者攝取得功德二句示現，如經「諸漏已盡	一 者 攝 取 得 功 德 二 句 示 現 如 經 諸漏已盡 
T26n1520_001:0011b24	無復煩惱」故。二者三句攝取諸功德，一句降	無復煩惱 故 二 者 三 句 攝 取 諸 功 德 一 句 降 
T26n1520_001:0011b25	伏世間功德，如經「心得自在」故；二句降伏出	伏 世 間 功 德 如 經 心得自在 故 二 句 降 伏 出 
T26n1520_001:0011b26	世間學人功德，如經「善得心解脫、善得慧解	世 間 學 人 功 德 如 經 善 得 心 解 脫 善 得 慧 解 
T26n1520_001:0011b27	脫」故。三者攝取不違功德，隨順如來教行故，	脫 故 三 者 攝 取 不 違 功 德 隨 順 如 來 教 行 故 
T26n1520_001:0011b28	如經「心善調伏」故。四者攝取勝功德，如經「人	如 經 心 善 調 伏 故 四 者 攝 取 勝 功 德 如 經 人 
T26n1520_001:0011b29	中大龍」故。五者攝取所應作勝功德。所應作	中 大 龍 故 五 者 攝 取 所 應 作 勝 功 德 所 應 作 
T26n1520_001:0011c01	者，依法供養恭敬尊重如來故，如經「應作者	者 依 法 供養恭敬 尊 重 如 來 故 如 經 應 作 者 
T26n1520_001:0011c02	作」故。六者攝取滿足功德，滿足學地故，如經	作 故 六 者 攝 取 滿 足 功 德 滿 足 學 地 故 如 經 
T26n1520_001:0011c03	「所作已辦」故。七者三句攝取過功德：一者過	 所 作 已 辦 故 七 者 三 句 攝 取 過 功 德 一 者 過 
T26n1520_001:0011c04	受故；二者過求命供養恭敬故；三者過上下	受 故 二 者 過 求 命 供養恭敬 故 三 者 過 上 下 
T26n1520_001:0011c05	界已過學地故。如經「離諸重擔，逮得己利，	界 已 過 學 地 故 如 經 離 諸 重 擔 逮得己利 
T26n1520_001:0011c06	盡諸有結」故。八者攝取上上功德，如經「善得	盡諸有結 故 八 者 攝 取 上 上 功 德 如 經 善 得 
T26n1520_001:0011c07	正智心解脫」故。九者攝取應作利益眾生功	正 智 心 解 脫 故 九 者 攝 取 應 作 利 益 眾 生 功 
T26n1520_001:0011c08	德，如經「一切心得自在」故。十者攝取上首功	德 如 經 一 切 心得自在 故 十 者 攝 取 上 首 功 
T26n1520_001:0011c09	德，如經「到第一彼岸」故。彼諸菩薩十三句	德 如 經 到 第一彼岸 故 彼 諸 菩 薩 十 三 句 
T26n1520_001:0011c10	功德二門攝應知：一者上支下支門；二者	功 德 二 門 攝 應 知 一 者 上 支 下 支 門 二 者 
T26n1520_001:0011c11	攝取事門。上支下支門者，所謂總相、別相	攝 取 事 門 上 支 下 支 門 者 所 謂 總 相 別 相 
T26n1520_001:0011c12	應知。「皆於阿耨多羅三藐三菩提不退轉」者，	應 知 皆 於 阿耨多羅三藐三菩提 不 退 轉 者 
T26n1520_001:0011c13	是總相，餘者是別相。彼不退轉有十種示	是 總 相 餘 者 是 別 相 彼 不 退 轉 有 十 種 示 
T26n1520_001:0011c14	現：一者住聞法不退轉，如經「皆得陀羅尼	現 一 者 住 聞 法 不 退 轉 如 經 皆 得陀羅尼 
T26n1520_001:0011c15	故」。二者樂說不退轉，如經「大辯才樂說」故。三	故 二 者 樂 說 不 退 轉 如 經 大 辯 才 樂 說 故 三 
T26n1520_001:0011c16	者說不退轉，如經「轉不退法輪」故。四者依止	者 說 不 退 轉 如 經 轉 不退法輪 故 四 者 依 止 
T26n1520_001:0011c17	善知識不退轉，以身心業依色身攝取故，如	善 知 識 不 退 轉 以 身 心 業 依 色 身 攝 取 故 如 
T26n1520_001:0011c18	經「供養無量百千諸佛」故，「於諸佛所種諸善	經 供 養 無 量 百 千 諸 佛 故 於 諸 佛 所 種 諸 善 
T26n1520_001:0011c19	根」故。五者斷一切疑不退轉，如經「常為諸佛	根 故 五 者 斷 一 切 疑 不 退 轉 如 經 常 為 諸 佛 
T26n1520_001:0011c20	之所稱歎」故。六者為何等何等事說法，入彼	之 所 稱 歎 故 六 者 為 何 等 何 等 事 說 法 入 彼 
T26n1520_001:0012a01	彼法不退轉，如經「以大慈悲而修身心」故。七	彼 法 不 退 轉 如 經 以 大 慈 悲 而 修 身 心 故 七 
T26n1520_001:0012a02	者入一切智如實境界不退轉，如經「善入佛	者 入 一 切 智 如 實 境 界 不 退 轉 如 經 善 入 佛 
T26n1520_001:0012a03	慧」故。八者依我空法空不退轉，如經「通達大	慧 故 八 者 依 我 空 法 空 不 退 轉 如 經 通 達 大 
T26n1520_001:0012a04	智」故。九者入如實境界不退轉，如經「到於彼	智 故 九 者 入 如 實 境 界 不 退 轉 如 經 到 於 彼 
T26n1520_001:0012a05	岸」故。十者應作所作住持不退轉，如經「能度	岸 故 十 者 應 作 所 作 住 持 不 退 轉 如 經 能 度 
T26n1520_001:0012a06	無量百千眾生」故。	無 量 百 千 眾 生 故 
T26n1520_001:0012a07	攝取事門者，示現諸菩薩住何等清淨地中，	攝 取 事 門 者 示 現 諸 菩 薩 住 何 等 清 淨 地 中 
T26n1520_001:0012a08	因何等方便、何等境界中應作所作故。地清	因 何 等 方 便 何 等 境 界 中 應 作 所 作 故 地 清 
T26n1520_001:0012a09	淨者，八地已上三地無相行寂靜清淨故。方	淨 者 八 地 已 上 三 地 無 相 行 寂 靜 清 淨 故 方 
T26n1520_001:0012a10	便者有四種：一者攝取妙法方便住持妙法，以	便 者 有 四 種 一 者 攝 取 妙 法 方 便 住 持 妙 法 以 
T26n1520_001:0012a11	樂說力為人說故；二者攝取善知識方便，以	樂 說 力 為 人 說 故 二 者 攝 取 善 知 識 方 便 以 
T26n1520_001:0012a12	依善知識所作應作故；三者攝取眾生方便，	依善知識 所 作 應 作 故 三 者 攝 取 眾 生 方 便 
T26n1520_001:0012a13	以不捨眾生故；四者攝取智方便，以教化眾	以 不 捨 眾 生 故 四 者 攝 取 智 方 便 以 教 化 眾 
T26n1520_001:0012a14	生令入彼智故。境界者易解。復有攝取事	生 令 入 彼 智 故 境 界 者 易 解 復 有 攝 取 事 
T26n1520_001:0012a15	門，示現諸地攝取勝功德，不同二乘功德故。	門 示 現 諸 地 攝 取 勝 功 德 不 同 二 乘 功 德 故 
T26n1520_001:0012a16	八地者，無功用智不同下上故。不同下	八 地 者 無 功 用 智 不 同 下 上 故 不 同 下 
T26n1520_001:0012a17	者，下功用行不能動故；不同上者，上無相行	者 下 功 用 行 不 能 動 故 不 同 上 者 上 無 相 行 
T26n1520_001:0012a18	不能動自然而行故。於九地中，得勝進陀羅	不 能 動 自 然 而 行 故 於 九 地 中 得 勝 進 陀 羅 
T26n1520_001:0012a19	尼門，具足四無礙自在故。於第十地中不退	尼 門 具 足 四 無 礙 自 在 故 於 第 十 地 中 不 退 
T26n1520_001:0012a20	轉法輪得佛受位，如轉輪王子故，以得同攝	轉 法 輪 得 佛 受 位 如 轉 輪 王 子 故 以 得 同 攝 
T26n1520_001:0012a21	功德故。攝功德成就者，示現依何處、依何	功 德 故 攝 功德成就 者 示 現 依 何 處 依 何 
T26n1520_001:0012a22	心、依何智、依何境界行、依何等能辦故。依	心 依 何 智 依 何 境 界 行 依 何 等 能 辦 故 依 
T26n1520_001:0012a23	何處者，依善知識故。依何心者，我依眾生心	何 處 者 依善知識 故 依 何 心 者 我 依 眾 生 心 
T26n1520_001:0012a24	教化，畢竟利益一切眾生故。依何智者，依	教 化 畢 竟 利 益 一 切 眾 生 故 依 何 智 者 依 
T26n1520_001:0012a25	三種智：一者授記密智；二者諸通智；三者真	三 種 智 一 者 授 記 密 智 二 者 諸 通 智 三 者 真 
T26n1520_001:0012a26	實智。依何等境界行、依何等能辦者，即三	實 智 依 何 等 境 界 行 依 何 等 能 辦 者 即 三 
T26n1520_001:0012a27	種智攝應知。威儀如法住成就者，有四種示	種 智 攝 應 知 威 儀 如 法 住 成 就 者 有 四 種 示 
T26n1520_001:0012a28	現。何等為四？一者四眾圍繞；二者前後；三	現 何 等 為 四 一 者 四 眾 圍 繞 二 者 前 後 三 
T26n1520_001:0012a29	者供養恭敬；四者尊重讚歎。如經「爾時世尊	者 供養恭敬 四 者 尊 重 讚 歎 如 經 爾 時 世 尊 
T26n1520_001:0012b01	四眾圍繞，供養恭敬尊重讚歎」故。如來欲說	四 眾 圍 繞 供養恭敬 尊 重 讚 歎 故 如 來 欲 說 
T26n1520_001:0012b02	法時至成就者，為諸菩薩說大乘經故。此大	法 時 至 成 就 者 為 諸 菩 薩 說 大 乘 經 故 此 大 
T26n1520_001:0012b03	乘修多羅有十七種名，顯示甚深功德應知。	乘 修 多 羅 有 十 七 種 名 顯 示 甚 深 功 德 應 知 
T26n1520_001:0012b04	一名無量義經者，成就字義故，以此法門說	一 名 無 量 義 經 者 成 就 字 義 故 以 此 法 門 說 
T26n1520_001:0012b05	彼甚深妙境界法故。甚深妙境界者，諸佛	彼 甚 深 妙 境 界 法 故 甚 深 妙 境 界 者 諸 佛 
T26n1520_001:0012b06	如來最勝境界故。二名最勝修多羅者，三藏	如 來 最 勝 境 界 故 二 名 最 勝 修 多 羅 者 三 藏 
T26n1520_001:0012b07	中最妙勝藏成就故。三名大方廣者，無量大	中 最 妙 勝 藏 成 就 故 三 名 大 方 廣 者 無 量 大 
T26n1520_001:0012b08	乘門隨眾生根住持成就故。四名教菩薩法	乘 門 隨 眾 生 根 住 持 成 就 故 四 名 教 菩 薩 法 
T26n1520_001:0012b09	者，為教化根熟菩薩，隨器法成就故。五	者 為 教 化 根 熟 菩 薩 隨 器 法 成 就 故 五 
T26n1520_001:0012b10	名佛所護念者，依佛如來有此法故。六名一	名 佛 所 護 念 者 依 佛 如 來 有 此 法 故 六 名 一 
T26n1520_001:0012b11	切諸佛祕密法者，此法甚深如來知故。七名	切 諸 佛 祕 密 法 者 此 法 甚 深 如 來 知 故 七 名 
T26n1520_001:0012b12	一切佛藏者，如來功德三昧之藏在此經故。	一 切 佛 藏 者 如 來 功 德 三 昧 之 藏 在 此 經 故 
T26n1520_001:0012b13	八名一切諸佛密處者，根未熟眾生非法	八 名 一切諸佛 密 處 者 根 未 熟 眾 生 非 法 
T26n1520_001:0012b14	器不與故。九名能生一切諸佛者，聞此法	器 不 與 故 九 名 能 生 一切諸佛 者 聞 此 法 
T26n1520_001:0012b15	門能成佛菩提故。十名一切諸佛道場者，	門 能 成 佛 菩 提 故 十 名 一切諸佛 道 場 者 
T26n1520_001:0012b16	聞此法門能成阿耨多羅三藐三菩提，非餘	聞 此 法 門 能 成 阿耨多羅三藐三菩提 非 餘 
T26n1520_001:0012b17	修多羅故。十一名一切諸佛所轉法輪者，此	修 多 羅 故 十 一 名 一切諸佛 所 轉 法 輪 者 此 
T26n1520_001:0012b18	法門能破一切諸障故。十二名一切諸佛	法 門 能 破 一 切 諸 障 故 十 二 名 一切諸佛 
T26n1520_001:0012b19	堅固舍利者，謂如來真如法身於此修多羅	堅 固 舍 利 者 謂 如 來 真 如 法 身 於 此 修 多 羅 
T26n1520_001:0012b20	不壞故。十三名一切諸佛大巧方便經者，依	不 壞 故 十 三 名 一切諸佛 大 巧 方 便 經 者 依 
T26n1520_001:0012b21	此法門成大菩提，已為眾生說天人聲聞辟	此 法 門 成 大 菩 提 已 為 眾 生 說 天 人 聲 聞 辟 
T26n1520_001:0012b22	支佛等法故。十四名說一乘經者，此法門	支 佛 等 法 故 十 四 名 說 一 乘 經 者 此 法 門 
T26n1520_001:0012b23	顯示如來阿耨多羅三藐三菩提究竟之體，	顯 示 如 來 阿耨多羅三藐三菩提 究 竟 之 體 
T26n1520_001:0012b24	二乘非究竟故。十五名第一義住者，此法	二 乘 非 究 竟 故 十 五 名 第 一 義 住 者 此 法 
T26n1520_001:0012b25	門即是如來法身究竟住處故。十六名妙法	門 即 是 如來法身 究 竟 住 處 故 十 六 名 妙 法 
T26n1520_001:0012b26	蓮華者，有二種義。何等二種？一者出水義，	蓮 華 者 有 二 種 義 何 等 二 種 一 者 出 水 義 
T26n1520_001:0012b27	不可盡出離小乘泥濁水故。復有義，蓮	不 可 盡 出 離 小 乘 泥 濁 水 故 復 有 義 蓮 
T26n1520_001:0012b28	華出泥水，喻諸聲聞入如來大眾中坐，如	華 出 泥 水 喻 諸 聲 聞 入 如 來 大 眾 中 坐 如 
T26n1520_001:0012b29	諸菩薩坐蓮華上，聞說無上智慧清淨境界，	諸 菩 薩 坐 蓮 華 上 聞 說 無 上 智 慧 清 淨 境 界 
T26n1520_001:0012c01	證如來密藏故。二華開者，眾於大乘中	證 如 來 密 藏 故 二 華 開 者 眾 於 大 乘 中 
T26n1520_001:0012c02	心怯弱不能生信故，開示如來淨妙法身	心 怯 弱 不 能 生 信 故 開 示 如 來 淨 妙 法 身 
T26n1520_001:0012c03	令生信心故。十七名法門者，攝成就故。攝	令 生 信 心 故 十 七 名 法 門 者 攝 成 就 故 攝 
T26n1520_001:0012c04	成就者，攝取無量名句字身、頻婆羅阿閦婆	成 就 者 攝 取 無 量 名 句 字 身 頻 婆 羅 阿 閦 婆 
T26n1520_001:0012c05	等偈故。此十七句法門者是總，餘句是別	等 偈 故 此 十 七 句 法 門 者 是 總 餘 句 是 別 
T26n1520_001:0012c06	故。如經「為諸菩薩說大乘經名無量義」如是	故 如 經 為 諸 菩 薩 說 大 乘 經 名 無 量 義 如 是 
T26n1520_001:0012c07	等。所依說法隨順威儀住成就者，示現依何	等 所 依 說 法 隨 順 威 儀 住 成 就 者 示 現 依 何 
T26n1520_001:0012c08	等法說法。依三種法故：一、依三昧成就故，	等 法 說 法 依 三 種 法 故 一 依 三 昧 成 就 故 
T26n1520_001:0012c09	以三昧成就二種示現。何等為二？一者成就	以 三 昧 成 就 二 種 示 現 何 等 為 二 一 者 成 就 
T26n1520_001:0012c10	自在力，身心不動故；二者離一切諸障，隨自	自 在 力 身 心 不 動 故 二 者 離 一 切 諸 障 隨 自 
T26n1520_001:0012c11	在力故。此自在力有二種：一者為隨順眾	在 力 故 此 自 在 力 有 二 種 一 者 為 隨 順 眾 
T26n1520_001:0012c12	生，示現對治攝取覺菩提分法故；二者為對	生 示 現 對 治 攝 取 覺 菩提分法 故 二 者 為 對 
T26n1520_001:0012c13	治無量世來堅執煩惱故，如經「說此經已，	治 無 量 世 來 堅 執 煩 惱 故 如 經 說 此 經 已 
T26n1520_001:0012c14	結跏趺坐，入於無量義處三昧」等。二、依器	結跏趺坐 入 於 無量義處三昧 等 二 依 器 
T26n1520_001:0012c15	世間，三、依眾生世間，震動世界及知過去無	世 間 三 依 眾 生 世 間 震 動 世 界 及 知 過 去 無 
T26n1520_001:0012c16	量劫事等故。如經「是時天雨曼陀羅華，乃至	量 劫 事 等 故 如 經 是 時 天 雨 曼陀羅華 乃 至 
T26n1520_001:0012c17	歡喜合掌一心觀佛」故。	歡 喜 合 掌 一 心 觀 佛 故 
T26n1520_001:0012c18	依止說因成就者，彼諸大眾現見異相不可	依 止 說 因 成 就 者 彼 諸 大 眾 現 見 異 相 不 可 
T26n1520_001:0013a01	思議事，如來應為我說，渴仰欲聞生希有	思 議 事 如 來 應 為 我 說 渴 仰 欲 聞 生 希 有 
T26n1520_001:0013a02	心，名依止說因成就。是故放大光明，示	心 名 依 止 說 因 成 就 是 故 放大光明 示 
T26n1520_001:0013a03	現諸世界中種種事故。先示現外事六種	現 諸 世 界 中 種 種 事 故 先 示 現 外 事 六 種 
T26n1520_001:0013a04	震動等，次示現此法門內證深密法故。又	震 動 等 次 示 現 此 法 門 內 證 深 密 法 故 又 
T26n1520_001:0013a05	依器世間、眾生世間，數種種、量種種，具足煩	依 器 世 間 眾 生 世 間 數 種 種 量 種 種 具 足 煩 
T26n1520_001:0013a06	惱差別、具足清淨差別，佛法、弟子差別，示現	惱 差 別 具 足 清 淨 差 別 佛 法 弟 子 差 別 示 現 
T26n1520_001:0013a07	三寶故。復乘差別，有世界有佛、有世界無佛，	三 寶 故 復 乘 差 別 有 世 界 有 佛 有 世 界 無 佛 
T26n1520_001:0013a08	令眾生見修行者未得果、得道者已得果。如	令 眾 生 見 修 行 者 未 得 果 得 道 者 已 得 果 如 
T26n1520_001:0013a09	經諸「修行得道者」故。數種種者，示現種種觀	經 諸 修 行 得 道 者 故 數 種 種 者 示 現 種 種 觀 
T26n1520_001:0013a10	故。略說四種觀：一者食；二者聞法；三者明	故 略 說 四 種 觀 一 者 食 二 者 聞 法 三 者 明 
T26n1520_001:0013a11	修行；四者樂。如經「爾時佛放眉間白毫相光，	修 行 四 者 樂 如 經 爾 時 佛 放 眉間白毫相光 
T26n1520_001:0013a12	乃至以佛舍利起七寶塔」故。行菩薩道者，教	乃 至 以 佛 舍 利 起 七 寶 塔 故 行菩薩道 者 教 
T26n1520_001:0013a13	化眾生依四攝法方便攝取應知，如經中說，	化 眾 生 依 四 攝 法 方 便 攝 取 應 知 如 經 中 說 
T26n1520_001:0013a14	當推取。	當 推 取 
T26n1520_001:0013a15	自此以下，示現大眾現前欲聞法成就，問一	自 此 以 下 示 現 大 眾 現 前 欲 聞 法 成 就 問 一 
