X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_001:0912a20	孰宰持是。不知性性則又安得不為時遷而物改耶。	孰 宰 持 是 不 知 性 性 則 又 安 得 不 為 時 遷 而 物 改 耶 
X54n0879_001:0912a21	而又何以契神於即物乎。故往往讀其書者。愛其辭	而 又 何 以 契 神 於 即 物 乎 故 往 往 讀 其 書 者 愛 其 辭 
X54n0879_001:0912a22	多不校其意也。空印澄公燕山一布衲耳。生於千載	多 不 校 其 意 也 空 印 澄 公 燕 山 一 布 衲 耳 生 於 千 載 
X54n0879_001:0912a23	之下。而與肇公相見於千載之上。故作正量論以校	之 下 而 與 肇 公 相 見 於 千 載 之 上 故 作 正 量 論 以 校 
X54n0879_001:0912a24	其說。中間旁引曲喻。一以修多羅為法印。即肇公之	其 說 中 間 旁 引 曲 喻 一 以 修 多 羅 為 法 印 即 肇 公 之 
X54n0879_001:0912b01	論昭如日月矣。獨非徑寸夜光乎。昔古德不落不昧	論 昭 如 日 月 矣 獨 非 徑 寸 夜 光 乎 昔 古 德 不 落 不 昧 
X54n0879_001:0912b02	通身遍身。一字照宗千古膾炙。而謂澄公可結舌乎。	通 身 遍 身 一 字 照 宗 千 古 膾 炙 而 謂 澄 公 可 結 舌 乎 
X54n0879_001:0912b03	謬也。蓋理在尚佛。雖佛祖有所不讓也。昔者外道一	謬 也 蓋 理 在 尚 佛 雖 佛 祖 有 所 不 讓 也 昔 者 外 道 一 
X54n0879_001:0912b04	言負墮猶斬首謝過。肇公乃人天眼目。肯以訑訑之	言 負 墮 猶 斬 首 謝 過 肇 公 乃 人 天 眼 目 肯 以 訑 訑 之 
X54n0879_001:0912b05	聲音顏色拒人於千里之外乎。必欲強起而文賤之。	聲 音 顏 色 拒 人 於 千 里 之 外 乎 必 欲 強 起 而 文 賤 之 
X54n0879_001:0912b06	斷非肇公也。大率觀來。肇公以僚丸之手。舞公孫之	斷 非 肇 公 也 大 率 觀 來 肇 公 以 僚 丸 之 手 舞 公 孫 之 
X54n0879_001:0912b07	劍。以奇然者也。澄公運摩尼於鉅鹿之陳。持空印於	劍 以 奇 然 者 也 澄 公 運 摩 尼 於 鉅 鹿 之 陳 持 空 印 於 
X54n0879_001:0912b08	赤壁之鏖。以正然者也。故非肇公之論無以起澄公	赤 壁 之 鏖 以 正 然 者 也 故 非 肇 公 之 論 無 以 起 澄 公 
X54n0879_001:0912b09	之辨。非澄公之辨無以發肇公之蘊。謂之相成則可。	之 辨 非 澄 公 之 辨 無 以 發 肇 公 之 蘊 謂 之 相 成 則 可 
X54n0879_001:0912b10	謂之相左則不可。故海內諸名師宿衲皆有酧唱。務	謂 之 相 左 則 不 可 故 海 內 諸 名 師 宿 衲 皆 有 酧 唱 務 
X54n0879_001:0912b11	要疏明此一大事。非起生滅心也。如有毫髮我人。然	要 疏 明 此 一 大 事 非 起 生 滅 心 也 如 有 毫 髮 我 人 然 
X54n0879_001:0912b12	能萌於方寸。吾恐於罔象玄珠未有觸手日在。	能 萌 於 方 寸 吾 恐 於 罔 象 玄 珠 未 有 觸 手 日 在 
X54n0879_001:0912b13	旹	旹 
X54n0879_001:0912b14	明萬曆庚子仲冬糓旦淨土居士燕人李天麟書	明 萬 曆 庚 子 仲 冬 糓 旦 淨 土 居 士 燕 人 李 天 麟 書 
X54n0879_001:0912b20	 物不遷正量論序	 物 不 遷 正 量 論 序 
X54n0879_001:0912b22	般若云。諸法無去來相。無動轉者。肇公本此為物	般 若 云 諸 法 無 去 來 相 無 動 轉 者 肇 公 本 此 為 物 
X54n0879_001:0912b23	不遷論。而其釋義則物各性住而已矣。甞試思之。	不 遷 論 而 其 釋 義 則 物 各 性 住 而 已 矣 甞 試 思 之 
X54n0879_001:0912b24	法無去來義徧諸聖教。迺吾法之玄綱也。而性住	法 無 去 來 義 徧 諸 聖 教 迺 吾 法 之 玄 綱 也 而 性 住 
X54n0879_001:0912c01	之談果能盡之乎。竊自疑焉。於是考諸聖言。聖言	之 談 果 能 盡 之 乎 竊 自 疑 焉 於 是 考 諸 聖 言 聖 言 
X54n0879_001:0912c02	罔證。求諸正理。正理勿通。然言或有證也。我未之	罔 證 求 諸 正 理 正 理 勿 通 然 言 或 有 證 也 我 未 之 
X54n0879_001:0912c03	見也。理或可通也。我未之窮也。天下亦有能窮者	見 也 理 或 可 通 也 我 未 之 窮 也 天 下 亦 有 能 窮 者 
X54n0879_001:0912c04	乎。蓋甞質諸海內名流。莫不忿然作色。以愚昧見	乎 蓋 甞 質 諸 海 內 名 流 莫 不 忿 然 作 色 以 愚 昧 見 
X54n0879_001:0912c05	責。求其為之出理引證者。則未見其人。彼性住之	責 求 其 為 之 出 理 引 證 者 則 未 見 其 人 彼 性 住 之 
X54n0879_001:0912c06	論果非吾佛之意耶。抑有深旨存乎名教之外。固	論 果 非 吾 佛 之 意 耶 抑 有 深 旨 存 乎 名 教 之 外 固 
X54n0879_001:0912c07	非意智思惟可得而知耶。然理固絕言而言無越	非 意 智 思 惟 可 得 而 知 耶 然 理 固 絕 言 而 言 無 越 
X54n0879_001:0912c08	理。如來聖教垂範萬世。天魔外道不得而沮者。賴	理 如來聖教 垂 範 萬 世 天 魔 外 道 不 得 而 沮 者 賴 
X54n0879_001:0912c09	名言有在故耳。若孔子之作春秋。殺活與奪只在	名 言 有 在 故 耳 若 孔 子 之 作 春 秋 殺 活 與 奪 只 在 
X54n0879_001:0912c10	片言隻字之間。千載之下無能易者。況茲一論段	片 言 隻 字 之 間 千 載 之 下 無 能 易 者 況 茲 一 論 段 
X54n0879_001:0912c11	段結歸物各性住。豈曰言在此而義在彼乎。經云。	段 結 歸 物 各 性 住 豈 曰 言 在 此 而 義 在 彼 乎 經 云 
X54n0879_001:0912c12	不退諸菩薩。不能測佛智。信矣。夫余甞條陳所滯。	不 退 諸 菩 薩 不 能 測 佛 智 信 矣 夫 余 甞 條 陳 所 滯 
X54n0879_001:0912c13	證正聖言。間出吾佛不遷本旨。以正其說。然則是	證 正 聖 言 間 出 吾 佛 不 遷 本 旨 以 正 其 說 然 則 是 
X54n0879_001:0912c14	論也。非駁肇公也。將以駁天下之所是也。肇師其	論 也 非 駁 肇 公 也 將 以 駁 天 下 之 所 是 也 肇 師 其 
X54n0879_001:0912c15	心空而無物者矣。得與失於彼何加損焉。天下後	心 空 而 無 物 者 矣 得 與 失 於 彼 何 加 損 焉 天 下 後 
X54n0879_001:0912c16	世如其言而取之。使一大藏教實相常住之旨淪	世 如 其 言 而 取 之 使 一 大 藏 教 實 相 常 住 之 旨 淪 
X54n0879_001:0912c17	於物各性住之談。不辨可乎。雖然。庸詎知今之所	於 物 各 性 住 之 談 不 辨 可 乎 雖 然 庸 詎 知 今 之 所 
X54n0879_001:0912c18	是者其果真是歟。果不真是歟。天下後世必有具	是 者 其 果 真 是 歟 果 不 真 是 歟 天 下 後 世 必 有 具 
X54n0879_001:0912c19	金剛眼者覷著那事。於是非情量之表迴觀是論。	金 剛 眼 者 覷 著 那 事 於 是 非 情 量 之 表 迴 觀 是 論 
X54n0879_001:0912c20	可發一笑已。旹	可 發 一 笑 已 旹 
X54n0879_001:0912c21	皇明萬曆戊子冬賢首後學空印鎮澄書於臺山之	皇 明 萬 曆 戊 子 冬 賢 首 後 學 空 印 鎮 澄 書 於 臺 山 之 
X54n0879_001:0912c22	獅子窟	獅 子 窟 
X54n0879_001:0913a06	物不遷論卷上	物 不 遷 論 卷 上 
X54n0879_001:0913a08	五臺山獅子窟沙門　鎮澄　著	五 臺 山 獅 子 窟 沙 門 鎮 澄 著 
X54n0879_001:0913a09	澄初讀肇公物不遷。久之不喻。及閱雜華鈔。觀國師	澄 初 讀 肇 公 物 不 遷 久 之 不 喻 及 閱 雜 華 鈔 觀 國 師 
X54n0879_001:0913a10	則以為濫同小乘不從此方遷至餘方之說。遂再研	則 以 為 濫 同 小 乘 不 從 此 方 遷 至 餘 方 之 說 遂 再 研 
X54n0879_001:0913a11	其論。乃知肇師不遷之說宗似而因非。有宗而無因	其 論 乃 知 肇 師 不 遷 之 說 宗 似 而 因 非 有 宗 而 無 因 
X54n0879_001:0913a12	也。觀其般若無知．涅槃無名之論。齊有一空。妙叶真	也 觀 其 般 若 無 知 涅 槃 無 名 之 論 齊 有 一 空 妙 叶 真 
X54n0879_001:0913a13	俗。雅合修多羅。雖聖人復起不易其言也。獨於物不	俗 雅 合 修 多 羅 雖 聖 人 復 起 不 易 其 言 也 獨 於 物 不 
X54n0879_001:0913a14	遷則失之。嗚呼。千里之驥必有一蹶。大智之明必有	遷 則 失 之 嗚 呼 千 里 之 驥 必 有 一 蹶 大 智 之 明 必 有 
X54n0879_001:0913a15	一昧。不其然乎。言宗似者。即所謂不釋動以求靜。必	一 昧 不 其 然 乎 言 宗 似 者 即 所 謂 不 釋 動 以 求 靜 必 
X54n0879_001:0913a16	求靜於諸動。又曰。江河競注而不流。旋嵐偃嶽而常	求 靜 於 諸 動 又 曰 江 河 競 注 而 不 流 旋 嵐 偃 嶽 而 常 
X54n0879_001:0913a17	靜等。蓋即動而靜。即遷而不遷也。以此名宗。與修多	靜 等 蓋 即 動 而 靜 即 遷 而 不 遷 也 以 此 名 宗 與 修 多 
X54n0879_001:0913a18	羅似之。即般若諸法無所從來。去亦無所至。華嚴云。	羅 似 之 即 般 若 諸 法 無所從來 去 亦 無 所 至 華 嚴 云 
X54n0879_001:0913a19	一切法無生。一切法無滅等。所言似者。以其因非故	一 切 法 無 生 一 切 法 無 滅 等 所 言 似 者 以 其 因 非 故 
X54n0879_001:0913a20	也。言因非者。修多羅以諸法性空為不遷。肇公以物	也 言 因 非 者 修 多 羅 以 諸 法 性 空 為 不 遷 肇 公 以 物 
X54n0879_001:0913a21	各性住為不遷。言性空者。大品云。色性自空。非色壞	各 性 住 為 不 遷 言 性 空 者 大 品 云 色 性 自 空 非 色 壞 
X54n0879_001:0913a22	空。又云。色前際不可得。中際．後際皆不可得。又云。色	空 又 云 色 前 際 不 可 得 中 際 後 際 皆 不 可 得 又 云 色 
X54n0879_001:0913a23	即是空。此不遷因也。又云。是諸法空相。不生不滅等。	即 是 空 此 不 遷 因 也 又 云 是 諸 法 空 相 不生不滅 等 
X54n0879_001:0913a24	不生不滅即不遷宗也。華嚴云。身意諸情根。一切空	不生不滅 即 不 遷 宗 也 華 嚴 云 身 意 諸 情 根 一 切 空 
X54n0879_001:0913b01	無性。此不遷因也。次云。以此長流轉。而無能轉者。即	無 性 此 不 遷 因 也 次 云 以 此 長 流 轉 而 無 能 轉 者 即 
X54n0879_001:0913b02	不遷宗也。彼經又云。云何說諸蘊。諸蘊有何性。蘊性	不 遷 宗 也 彼 經 又 云 云 何 說 諸 蘊 諸 蘊 有 何 性 蘊 性 
X54n0879_001:0913b03	不可滅。是故說無生。蘊無生滅即物不遷也。次偈出	不 可 滅 是 故 說 無 生 蘊 無 生 滅 即 物 不 遷 也 次 偈 出 
X54n0879_001:0913b04	其因云。分別此諸蘊。其性本空寂。空故不可滅。此是	其 因 云 分 別 此 諸 蘊 其 性 本 空 寂 空 故 不 可 滅 此 是 
X54n0879_001:0913b05	無生義。此等皆言物性空故不遷。非謂有物而不遷	無 生 義 此 等 皆 言 物 性 空 故 不 遷 非 謂 有 物 而 不 遷 
X54n0879_001:0913b06	也。言性住者。即彼所謂。昔物住昔不來於今。今物住	也 言 性 住 者 即 彼 所 謂 昔 物 住 昔 不 來 於 今 今 物 住 
X54n0879_001:0913b07	今不往於昔。乃至新故老少成壞因果等物。各住自	今 不 往 於 昔 乃 至 新 故 老 少 成 壞 因 果 等 物 各 住 自 
X54n0879_001:0913b08	位不相往來。皆若是也。然凡有所住即名有為。既墮	位 不 相 往 來 皆 若 是 也 然 凡 有 所 住 即 名 有 為 既 墮 
X54n0879_001:0913b09	有為即屬生滅。非不遷也。故涅槃(三十)云。住名有為。如	有 為 即 屬 生 滅 非 不 遷 也 故 涅 槃 三 十 云 住 名 有 為 如 
X54n0879_001:0913b10	來永斷去來住相。云何言住。中論云。去者則不住。不	來 永 斷 去 來 住 相 云 何 言 住 中 論 云 去 者 則 不 住 不 
X54n0879_001:0913b11	去者不住。離去不去者。當於何有住。般若云。應無所	去 者 不 住 離 去 不 去 者 當 於 何 有 住 般 若 云 應 無 所 
X54n0879_001:0913b12	住而生其心。無住即無為也。然般若言法無去來無	住 而 生 其 心 無 住 即 無 為 也 然 般 若 言 法 無 去 來 無 
X54n0879_001:0913b13	動轉者。非謂法有所住也。蓋住猶去來。既無去來安	動 轉 者 非 謂 法 有 所 住 也 蓋 住 猶 去 來 既 無 去 來 安 
X54n0879_001:0913b14	得有住。而肇公不遷本宗般若無去來義。却以物各	得 有 住 而 肇 公 不 遷 本 宗 般 若 無 去 來 義 却 以 物 各 
X54n0879_001:0913b15	性住釋之。然彼物性果有住乎哉。果無住乎哉。則住	性 住 釋 之 然 彼 物 性 果 有 住 乎 哉 果 無 住 乎 哉 則 住 
X54n0879_001:0913b16	與無住必有辨焉。故肇師出不遷之所以云。求向物	與 無 住 必 有 辨 焉 故 肇 師 出 不 遷 之 所 以 云 求 向 物 
X54n0879_001:0913b17	於向。於向未甞無。責向物於今。於今未甞有。於今未	於 向 於 向 未 甞 無 責 向 物 於 今 於 今 未 甞 有 於 今 未 
X54n0879_001:0913b18	甞有。以明物不來。於向未甞無。故知物不去。覆而求	甞 有 以 明 物 不 來 於 向 未 甞 無 故 知 物 不 去 覆 而 求 
X54n0879_001:0913b19	今。今亦不往。是謂昔物自在昔。不從今至昔。今物自	今 今 亦 不 往 是 謂 昔 物 自 在 昔 不 從 今 至 昔 今 物 自 
X54n0879_001:0913b20	在今。不從昔至今。一論大旨意不出此。人多妄解。今	在 今 不 從 昔 至 今 一 論 大 旨 意 不 出 此 人 多 妄 解 今 
X54n0879_001:0913b21	為助明肇公意。謂動物之所以得不遷者。以物各性	為 助 明 肇 公 意 謂 動 物 之 所 以 得 不 遷 者 以 物 各 性 
X54n0879_001:0913b22	住於一世而不相往來也。何者。求向日之物於向日	住 於 一 世 而 不 相 往 來 也 何 者 求 向 日 之 物 於 向 日 
X54n0879_001:0913b23	則有。求向日之物於今日則無。故知昔物自住於昔	則 有 求 向 日 之 物 於 今 日 則 無 故 知 昔 物 自 住 於 昔 
X54n0879_001:0913b24	(若不住昔。於昔應無。昔既不無。故知昔物原住於昔也)。不來於今也(若來於今。今則應有。	 若 不 住 昔 於 昔 應 無 昔 既 不 無 故 知 昔 物 原 住 於 昔 也 不 來 於 今 也 若 來 於 今 今 則 應 有 
X54n0879_001:0913c01	今既不有。則知昔物不來於今也)。昔物既爾。今物亦然。謂求今日之	今 既 不 有 則 知 昔 物 不 來 於 今 也 昔 物 既 爾 今 物 亦 然 謂 求 今 日 之 
X54n0879_001:0913c02	物於今日則有。求今日之物於向日則無。故知今物	物 於 今 日 則 有 求 今 日 之 物 於 向 日 則 無 故 知 今 物 
X54n0879_001:0913c03	自住於今。不往於昔也(反上思之)。故曰覆而求今。今亦不	自 住 於 今 不 往 於 昔 也 反 上 思 之 故 曰 覆 而 求 今 今 亦 不 
X54n0879_001:0913c04	往。如求周公於周時。於周未甞無。求周公於晉時。於	往 如 求 周 公 於 周 時 於 周 未 甞 無 求 周 公 於 晉 時 於 
X54n0879_001:0913c05	晉未甞有。故知周公自住於周。不來於晉也。求羊祜	晉 未 甞 有 故 知 周 公 自 住 於 周 不 來 於 晉 也 求 羊 祜 
X54n0879_001:0913c06	於晉時。於晉未甞無。責羊祜於周時。於周未甞有。故	於 晉 時 於 晉 未 甞 無 責 羊 祜 於 周 時 於 周 未 甞 有 故 
X54n0879_001:0913c07	知羊祜自住於晉。不往於周也。譬如二舟前後各行。	知 羊 祜 自 住 於 晉 不 往 於 周 也 譬 如 二 舟 前 後 各 行 
X54n0879_001:0913c08	前舟載魚。後舟載笋。舟行千里而魚笋之物各住本	前 舟 載 魚 後 舟 載 笋 舟 行 千 里 而 魚 笋 之 物 各 住 本 
X54n0879_001:0913c09	舟未甞動也　(求前舟之魚於前舟則有。責前舟之魚於後舟則無。後舟亦爾。求後舟之笋於	舟 未 甞 動 也 求 前 舟 之 魚 於 前 舟 則 有 責 前 舟 之 魚 於 後 舟 則 無 後 舟 亦 爾 求 後 舟 之 笋 於 
X54n0879_001:0913c10	後舟則有。求後舟之笋於前舟則無也。若後舟中有前舟之魚。可說前舟之物移來。後既無魚。則不可謂前舟	後 舟 則 有 求 後 舟 之 笋 於 前 舟 則 無 也 若 後 舟 中 有 前 舟 之 魚 可 說 前 舟 之 物 移 來 後 既 無 魚 則 不 可 謂 前 舟 
X54n0879_001:0913c11	之物移來也。若前舟中有後舟之笋。可說後舟之物移去。前既無笋則不可謂後舟之物移去也)。大	之 物 移 來 也 若 前 舟 中 有 後 舟 之 笋 可 說 後 舟 之 物 移 去 前 既 無 笋 則 不 可 謂 後 舟 之 物 移 去 也 大 
X54n0879_001:0913c12	意秪是昔物住昔不來於今。今物住今不往於昔。是	意 秪 是 昔 物 住 昔 不 來 於 今 今 物 住 今 不 往 於 昔 是 
X54n0879_001:0913c13	謂物各性住於一世。所以得不遷也。其曰新不至故	謂 物 各 性 住 於 一 世 所 以 得 不 遷 也 其 曰 新 不 至 故 
X54n0879_001:0913c14	故不至新。少不至老老不至少。因不至果果不至因	故 不 至 新 少 不 至 老 老 不 至 少 因 不 至 果 果 不 至 因 
X54n0879_001:0913c15	等。舉之一論秪此意耳。細而推之。其曰江河競注而	等 舉 之 一 論 秪 此 意 耳 細 而 推 之 其 曰 江 河 競 注 而 
X54n0879_001:0913c16	不流等。亦秪此意。謂求前波於前。於前未嘗無。責前	不 流 等 亦 秪 此 意 謂 求 前 波 於 前 於 前 未 嘗 無 責 前 
X54n0879_001:0913c17	波於後。於後未嘗有。於後未嘗有。以明波不來。於前	波 於 後 於 後 未 嘗 有 於 後 未 嘗 有 以 明 波 不 來 於 前 
X54n0879_001:0913c18	未嘗無。故知波不去。前波既爾。後波亦然。是則前念	未 嘗 無 故 知 波 不 去 前 波 既 爾 後 波 亦 然 是 則 前 念 
X54n0879_001:0913c19	之波住於前念不來後念。後念之波住於後念不往	之 波 住 於 前 念 不 來 後 念 後 念 之 波 住 於 後 念 不 往 
X54n0879_001:0913c20	前念。念念波流。念念各住。故曰競注而不流也。是謂	前 念 念 念 波 流 念 念 各 住 故 曰 競 注 而 不 流 也 是 謂 
X54n0879_001:0913c21	物各性住於一世不相往來。此肇公不遷之本旨也。	物 各 性 住 於 一 世 不 相 往 來 此 肇 公 不 遷 之 本 旨 也 
X54n0879_001:0913c22	今以聖教勘之。似不然。何則。肇公求向物。既曰於向	今 以 聖 教 勘 之 似 不 然 何 則 肇 公 求 向 物 既 曰 於 向 
X54n0879_001:0913c23	未嘗無。於今未嘗有。是則此物向有而今無也。若物	未 嘗 無 於 今 未 嘗 有 是 則 此 物 向 有 而 今 無 也 若 物 
X54n0879_001:0913c24	向有今無。是無常法。非不遷也。故涅槃(二十)云。若世間	向 有 今 無 是 無 常 法 非 不 遷 也 故 涅 槃 二 十 云 若 世 間 
X54n0879_001:0914a01	法。本有今無。則名無常。譬如瓶等。本無今有。已有還	法 本 有 今 無 則 名 無 常 譬 如 瓶 等 本無今有 已 有 還 
X54n0879_001:0914a02	無。故名無常。是則向有今無不直不成不遷之宗。反	無 故 名 無 常 是 則 向 有 今 無 不 直 不 成 不 遷 之 宗 反 
X54n0879_001:0914a03	成所遣遷滅宗也。中論云。若法先有性。是則名為常。	成 所 遣 遷 滅 宗 也 中 論 云 若 法 先 有 性 是 則 名 為 常 
X54n0879_001:0914a04	先有而今無。是則名為斷。是則向有今無非常即斷。	先 有 而 今 無 是 則 名 為 斷 是 則 向 有 今 無 非 常 即 斷 
X54n0879_001:0914a05	安得以成般若不遷之旨耶。或問。肇公宗本云。言非	安 得 以 成 般 若 不 遷 之 旨 耶 或 問 肇 公 宗 本 云 言 非 
X54n0879_001:0914a06	有非無者。非如有見常見之有。無見斷見之無。今曰	有 非 無 者 非 如 有 見 常 見 之 有 無 見 斷 見 之 無 今 曰 
X54n0879_001:0914a07	向有今無。豈非不有之有。不無之無耶。答曰。不然。肇	向 有 今 無 豈 非 不 有 之 有 不 無 之 無 耶 答 曰 不 然 肇 
X54n0879_001:0914a08	公自謂求向物於向。於向未嘗無。責向物於今。於今	公 自 謂 求 向 物 於 向 於 向 未 嘗 無 責 向 物 於 今 於 今 
X54n0879_001:0914a09	未嘗有。此分明以向物在向。緣未散故名之為有。今	未 嘗 有 此 分 明 以 向 物 在 向 緣 未 散 故 名 之 為 有 今 
X54n0879_001:0914a10	求向物。緣已散故遂以為無。是以向在為有。今滅為	求 向 物 緣 已 散 故 遂 以 為 無 是 以 向 在 為 有 今 滅 為 
X54n0879_001:0914a11	無也。向在為有。是執有為有。今滅為無。是計無為無。	無 也 向 在 為 有 是 執 有 為 有 今 滅 為 無 是 計 無 為 無 
X54n0879_001:0914a12	執有為有。是為常有。不知緣性之本空。計無為無。是	執 有 為 有 是 為 常 有 不 知 緣 性 之 本 空 計 無 為 無 是 
X54n0879_001:0914a13	為斷無。不識無性之緣起。中論云。定有則著常。定無	為 斷 無 不 識 無 性 之 緣 起 中 論 云 定 有 則 著 常 定 無 
X54n0879_001:0914a14	則著斷。是故有智者。不應著有無。然緣生無性。法非	則 著 斷 是 故 有 智 者 不 應 著 有 無 然 緣 生 無 性 法 非 
X54n0879_001:0914a15	有無。乃肇公所常譚者。至論不遷為成性住。却墮此	有 無 乃 肇 公 所 常 譚 者 至 論 不 遷 為 成 性 住 却 墮 此 
X54n0879_001:0914a16	咎。可怪也。蓋悞認莊周夜壑負趨。非謂肇師有此計	咎 可 怪 也 蓋 悞 認 莊 周 夜 壑 負 趨 非 謂 肇 師 有 此 計 
X54n0879_001:0914a17	執也。如宗本云。有而性常自空故曰性空。若然則向	執 也 如 宗 本 云 有 而 性 常 自 空 故 曰 性 空 若 然 則 向 
X54n0879_001:0914a18	物在向。緣未散時不亦性常自空乎。向物性空則不	物 在 向 緣 未 散 時 不 亦 性 常 自 空 乎 向 物 性 空 則 不 
X54n0879_001:0914a19	得謂向有矣。向既非有則不可謂今無矣。故知性空	得 謂 向 有 矣 向 既 非 有 則 不 可 謂 今 無 矣 故 知 性 空 
X54n0879_001:0914a20	性住如明與暗。敵體相違矣。其曰昔物自在昔。今物	性 住 如 明 與 暗 敵 體 相 違 矣 其 曰 昔 物 自 在 昔 今 物 
X54n0879_001:0914a21	自在今等者。愚謂既稱在昔。乃既滅之物也。物若不	自 在 今 等 者 愚 謂 既 稱 在 昔 乃 既 滅 之 物 也 物 若 不 
X54n0879_001:0914a22	滅即應常今。自不名昔矣。又昔物住昔。今物住今。是	滅 即 應 常 今 自 不 名 昔 矣 又 昔 物 住 昔 今 物 住 今 是 
X54n0879_001:0914a23	異物異世。凡異物異世者定是無常。故涅槃聖行廣	異 物 異 世 凡 異 物 異 世 者 定 是 無 常 故 涅 槃 聖 行 廣 
X54n0879_001:0914a24	說異法無常。以破外道異執之常。今以異物異世以	說 異 法 無 常 以 破 外 道 異 執 之 常 今 以 異 物 異 世 以 
X54n0879_001:0914b01	釋不遷。教理俱違。故無因也。且夫時無別體。依物假	釋 不 遷 教 理 俱 違 故 無 因 也 且 夫 時 無 別 體 依 物 假 
X54n0879_001:0914b02	立。物有流變。生住滅位立三世名。今其言曰。昔物住	立 物 有 流 變 生 住 滅 位 立 三 世 名 今 其 言 曰 昔 物 住 
X54n0879_001:0914b03	昔。今物住今。是有為法。墮去來今。既墮三世而曰不	昔 今 物 住 今 是 有 為 法 墮 去 來 今 既 墮 三 世 而 曰 不 
X54n0879_001:0914b04	遷。未之有也。故涅槃(二十)云。常住之法。三世不攝。如來	遷 未 之 有 也 故 涅 槃 二 十 云 常 住 之 法 三 世 不 攝 如 來 
X54n0879_001:0914b05	法身。非三世攝。故名為常。反顯三世攝者必無常也。	法 身 非 三 世 攝 故 名 為 常 反 顯 三 世 攝 者 必 無 常 也 
X54n0879_001:0914b06	誰謂無常而不遷乎。或曰肇公約俗物論不遷。涅槃	誰 謂 無 常 而 不 遷 乎 或 曰 肇 公 約 俗 物 論 不 遷 涅 槃 
X54n0879_001:0914b07	約法身說常理。既不侔。不應成難。答曰。涅槃云。吾今	約 法 身 說 常 理 既 不 侔 不 應 成 難 答 曰 涅 槃 云 吾 今 
X54n0879_001:0914b08	此身即是常身。此身化身也。常身真身也。應化無性	此 身 即 是 常 身 此 身 化 身 也 常 身 真 身 也 應 化 無 性 
X54n0879_001:0914b09	全體即真。是亦即俗而談真也。且肇公俗物不遷。此	全 體 即 真 是 亦 即 俗 而 談 真 也 且 肇 公 俗 物 不 遷 此 
X54n0879_001:0914b10	物為即真故不遷耶。為不即真而不遷耶。若不即真。	物 為 即 真 故 不 遷 耶 為 不 即 真 而 不 遷 耶 若 不 即 真 
X54n0879_001:0914b11	即是有為俗物。非不遷也。若以有為俗物為不遷者。	即 是 有 為 俗 物 非 不 遷 也 若 以 有 為 俗 物 為 不 遷 者 
X54n0879_001:0914b12	自是情執妄計耳。豈有俗物不遷者耶。若以俗物即	自 是 情 執 妄 計 耳 豈 有 俗 物 不 遷 者 耶 若 以 俗 物 即 
X54n0879_001:0914b13	真故不遷者。則昔物今物俱無自性矣。既無自性。則	真 故 不 遷 者 則 昔 物 今 物 俱 無 自 性 矣 既 無 自 性 則 
X54n0879_001:0914b14	昔本非生。今亦非滅。昔非生故有而不有。則不可謂	昔 本 非 生 今 亦 非 滅 昔 非 生 故 有 而 不 有 則 不 可 謂 
