X25n0488_001:0282a06	 自序	 自 序 
X25n0488_001:0282b03	也。非心也即心也。此金剛般若波羅蜜經。所以勤勤	也 非 心 也 即 心 也 此 金 剛 般若波羅蜜經 所 以 勤 勤 
X25n0488_001:0282b04	懇懇於降心無住。而為萬法之宗也。第守法而不明	懇 懇 於 降 心 無 住 而 為 萬 法 之 宗 也 第 守 法 而 不 明 
X25n0488_001:0282b05	無法。則本覺未圓。覺由識昧。故又歸宅乎捨法。然捨	無 法 則 本 覺 未 圓 覺 由 識 昧 故 又 歸 宅 乎 捨 法 然 捨 
X25n0488_001:0282b06	法而不先脩行。則因地不立。果亦難成。故又發藥於	法 而 不 先 脩 行 則 因 地 不 立 果 亦 難 成 故 又 發 藥 於 
X25n0488_001:0282b07	斷滅。夫斷滅者。執空以為空。見空而不見法。空即累	斷 滅 夫 斷 滅 者 執 空 以 為 空 見 空 而 不 見 法 空 即 累 
X25n0488_001:0282b08	法。不斷滅者。隨所見而皆空。以空治見。見即圓空。所	法 不 斷 滅 者 隨 所 見 而 皆 空 以 空 治 見 見 即 圓 空 所 
X25n0488_001:0282b09	以善捨得捨。捨為登岸之津梁。而托捨求捨。捨即沉	以 善 捨 得 捨 捨 為 登 岸 之 津 梁 而 托 捨 求 捨 捨 即 沉 
X25n0488_001:0282b10	淪之墜石。善空成見。見即明鏡之加磨。而滅見為空。	淪 之 墜 石 善 空 成 見 見 即 明 鏡 之 加 磨 而 滅 見 為 空 
X25n0488_001:0282b11	空猶暗室之求照。故曰。一切有為法。如夢幻燈翳。盖	空 猶 暗 室 之 求 照 故 曰 一 切 有 為 法 如 夢 幻 燈 翳 盖 
X25n0488_001:0282b12	自有為以歸空。而非滅為以貌空。至人靈響雙理環	自 有 為 以 歸 空 而 非 滅 為 以 貌 空 至 人 靈 響 雙 理 環 
X25n0488_001:0282b13	結雲章昺鬱較若列眉無如世之說者。但曰。無為已	結 雲 章 昺 鬱 較 若 列 眉 無 如 世 之 說 者 但 曰 無 為 已 
X25n0488_001:0282b14	耳。空相已耳。於是真心向學而失之者。以寂滅為空。	耳 空 相 已 耳 於 是 真 心 向 學 而 失 之 者 以 寂 滅 為 空 
X25n0488_001:0282b15	以了獨為無為。名心向學而失之者。以不滅為空。以	以 了 獨 為 無 為 名 心 向 學 而 失 之 者 以 不 滅 為 空 以 
X25n0488_001:0282b16	任放為無為。至於江湖日下。而刑名貨利。結權惎傲。	任 放 為 無 為 至 於 江 湖 日 下 而 刑 名 貨 利 結 權 惎 傲 
X25n0488_001:0282b17	禽業獸毒。溷聚饕淫。無不可自標以菩薩之目矣。嗟	禽 業 獸 毒 溷 聚 饕 淫 無 不 可 自 標 以 菩 薩 之 目 矣 嗟 
X25n0488_001:0282b18	夫佛之所以度人者。度人於出生死之門也。降心以	夫 佛 之 所 以 度 人 者 度 人 於 出 生 死 之 門 也 降 心 以 
X25n0488_001:0282b19	淨其塵。無住以精其進。布施以濟其功。空相以究其	淨 其 塵 無 住 以 精 其 進 布 施 以 濟 其 功 空 相 以 究 其 
X25n0488_001:0282b20	竟。四者不可邊舉。若能淨能進。而不思究竟。半途之	竟 四 者 不 可 邊 舉 若 能 淨 能 進 而 不 思 究 竟 半 途 之 
X25n0488_001:0282b21	廢也。直取究竟。而不必精進。不揣其本。而齊其末也。	廢 也 直 取 究 竟 而 不 必 精 進 不 揣 其 本 而 齊 其 末 也 
X25n0488_001:0282b22	喜施喜度。而不自了義。下品之檀也。能自了義。而不	喜 施 喜 度 而 不 自 了 義 下 品 之 檀 也 能 自 了 義 而 不 
X25n0488_001:0282b23	能利他覺他。非無上菩提也。梅子熟有時。風靜水自	能 利 他 覺 他 非 無上菩提 也 梅 子 熟 有 時 風 靜 水 自 
X25n0488_001:0282b24	定。救此弊者。莫若專明解行。解行深到。究竟自圓。予	定 救 此 弊 者 莫 若 專 明 解 行 解 行 深 到 究 竟 自 圓 予 
X25n0488_001:0282c01	生也鈍。不能有知。然末法之懼。豈無憬乎。偶因持誦	生 也 鈍 不 能 有 知 然 末 法 之 懼 豈 無 憬 乎 偶 因 持 誦 
X25n0488_001:0282c02	真經。率爾遂多筌蹄。既不能超所見于語言文字之	真 經 率 爾 遂 多 筌 蹄 既 不 能 超 所 見 于 語 言 文 字 之 
X25n0488_001:0282c03	外。抑且贅其喙於章句演說之間。盖絕理而譚宗。則	外 抑 且 贅 其 喙 於 章 句 演 說 之 間 盖 絕 理 而 譚 宗 則 
X25n0488_001:0282c04	吾豈敢。若因文以顯義。或有取焉。愚者千慮。必有一	吾 豈 敢 若 因 文 以 顯 義 或 有 取 焉 愚 者 千 慮 必 有 一 
X25n0488_001:0282c05	得。蒭蕘之言。聖人所擇。則勺海一掬之勤。舖地一毛	得 蒭 蕘 之 言 聖 人 所 擇 則 勺 海 一 掬 之 勤 舖 地 一 毛 
X25n0488_001:0282c06	之効。或亦覺皇所在宥哉。第較諸舊疏。杜撰實多。知	之 効 或 亦 覺 皇 所 在 宥 哉 第 較 諸 舊 疏 杜 撰 實 多 知 
X25n0488_001:0282c07	我罪我。當必相半。故不敢倚重于名題。并不敢借光	我 罪 我 當 必 相 半 故 不 敢 倚 重 于 名 題 并 不 敢 借 光 
X25n0488_001:0282c08	於碩譽。良懼兼葭冠玉涉累鴻宗。聊自述其所見如	於 碩 譽 良 懼 兼 葭 冠 玉 涉 累 鴻 宗 聊 自 述 其 所 見 如 
X25n0488_001:0282c09	此。以俟十方慧眼論定云。	此 以 俟 十 方 慧 眼 論 定 云 
X25n0488_001:0282c10	南湖圃人徐發	南 湖 圃 人 徐 發 
X25n0488_001:0282c13	攷異	攷 異 
X25n0488_001:0282c15	按金經有五譯。而世之誦者。秦譯也。然近本多與古	按 金 經 有 五 譯 而 世 之 誦 者 秦 譯 也 然 近 本 多 與 古 
X25n0488_001:0282c16	本不同。要亦歷有增改。以愚觀之。總不如古文之妙。	本 不 同 要 亦 歷 有 增 改 以 愚 觀 之 總 不 如 古 文 之 妙 
X25n0488_001:0282c17	況靈跡真源。何可增改耶。嘗聞老僧說。誦金經者。功	況 靈 跡 真 源 何 可 增 改 耶 嘗 聞 老 僧 說 誦 金 經 者 功 
X25n0488_001:0282c18	德最神。但錯一字。即無騐。可不慎諸。今悉遵趙子昂	德 最 神 但 錯 一 字 即 無 騐 可 不 慎 諸 今 悉 遵 趙 子 昂 
X25n0488_001:0282c19	石本刊錄。其與近本不同。及諸家有攷證者。並存於	石 本 刊 錄 其 與 近 本 不 同 及 諸 家 有 攷 證 者 並 存 於 
X25n0488_001:0282c20	此。	此 
X25n0488_001:0282c21	第二分應云何住。今本作云何應住。按住字已非	第 二 分 應 云 何 住 今 本 作 云 何 應 住 按 住 字 已 非 
X25n0488_001:0282c22	實相。不當更添應字。然會譯原本。秦周俱作應	實 相 不 當 更 添 應 字 然 會 譯 原 本 秦 周 俱 作 應 
X25n0488_001:0282c23	住。惟魏譯作應云何住。則趙刻亦非無所本也。	住 惟 魏 譯 作 應 云 何 住 則 趙 刻 亦 非 無 所 本 也 
X25n0488_001:0282c24	十三。分今本或少是名般若波羅蜜七字。而趙刻	十 三 分 今 本 或 少 是 名 般 若 波 羅 蜜 七 字 而 趙 刻 
X25n0488_001:0283a01	有之。然會譯本實無此七字。今亦以趙本理近	有 之 然 會 譯 本 實 無 此 七 字 今 亦 以 趙 本 理 近 
X25n0488_001:0283a02	世多從之。故仍存。	世 多 從 之 故 仍 存 
X25n0488_001:0283a03	十四分。應生瞋恨。今本或作瞋眼。按會譯并趙刻	十 四 分 應 生 瞋 恨 今 本 或 作 瞋 眼 按 會 譯 并 趙 刻 
X25n0488_001:0283a04	俱作恨。	俱 作 恨 
X25n0488_001:0283a05	忍辱波羅蜜。如來說非忍辱波羅蜜下。今本又	忍 辱 波 羅 蜜 如 來 說 非 忍 辱 波 羅 蜜 下 今 本 又 
X25n0488_001:0283a06	有是名忍辱波羅蜜七字。會譯并趙刻俱無。按	有 是 名 忍 辱 波 羅 蜜 七 字 會 譯 并 趙 刻 俱 無 按 
X25n0488_001:0283a07	第一波羅蜜句。是結上語。故義全。忍辱波羅蜜	第 一 波 羅 蜜 句 是 結 上 語 故 義 全 忍 辱 波 羅 蜜 
X25n0488_001:0283a08	句是啟下語。故不全。不當添足。今依趙本。	句 是 啟 下 語 故 不 全 不 當 添 足 今 依 趙 本 
X25n0488_001:0283a09	為利益一切眾生下。今本多一故字。會譯趙刻	為 利 益 一 切 眾 生 下 今 本 多 一 故 字 會 譯 趙 刻 
X25n0488_001:0283a10	俱無。今刪去。	俱 無 今 刪 去 
X25n0488_001:0283a11	十七分。佛告須菩提。若善男子善女人。發阿耨多	十 七 分 佛 告 須 菩 提 若 善 男 子 善 女 人 發 阿 耨 多 
X25n0488_001:0283a12	羅三藐三菩提心者。今本無若字。趙刻宗泐奉	羅 三藐三菩提 心 者 今 本 無 若 字 趙 刻 宗 泐 奉 
X25n0488_001:0283a13	勅註皆有此。是論現在故有若字。語氣甚活。當	勅 註 皆 有 此 是 論 現 在 故 有 若 字 語 氣 甚 活 當 
X25n0488_001:0283a14	從。	從 
X25n0488_001:0283a15	二十四分。百分不及一下。今本又有一百字。或於	二 十 四 分 百 分 不 及 一 下 今 本 又 有 一 百 字 或 於 
X25n0488_001:0283a16	千字下多一分字。魏譯趙刻俱無。句讀不明。有	千 字 下 多 一 分 字 魏 譯 趙 刻 俱 無 句 讀 不 明 有 
X25n0488_001:0283a17	礙理解。	礙 理 解 
X25n0488_001:0283a18	二十六分。爾時世尊而說偈言。周魏譯皆作言字。	二 十 六 分 爾 時 世 尊 而 說 偈 言 周 魏 譯 皆 作 言 字 
X25n0488_001:0283a19	今本作偈曰。係俗筆所改。依趙本作言字。	今 本 作 偈 曰 係 俗 筆 所 改 依 趙 本 作 言 字 
X25n0488_001:0283a20	三十分。是微塵眾寧為多不下。今本添須菩提言	三 十 分 是 微 塵 眾 寧 為 多 不 下 今 本 添 須 菩 提 言 
X25n0488_001:0283a21	四字。會譯趙本俱無。	四 字 會 譯 趙 本 俱 無 
X25n0488_001:0283a22	若全經則字。今本多改即字。凡二十餘見。則即二	若 全 經 則 字 今 本 多 改 即 字 凡 二 十 餘 見 則 即 二 
X25n0488_001:0283a23	義雖不甚遠。而語氣微有不同。即乃已然之詞。	義 雖 不 甚 遠 而 語 氣 微 有 不 同 即 乃 已 然 之 詞 
X25n0488_001:0283a24	則乃未然之詞。如轉輪聖王則是如來。語氣甚	則 乃 未 然 之 詞 如 轉輪聖王 則 是 如 來 語 氣 甚 
X25n0488_001:0283b01	活。改作即字。便一板呆煞。所以有輪王實同如	活 改 作 即 字 便 一 板 呆 煞 所 以 有 輪 王 實 同 如 
X25n0488_001:0283b02	來之誤解。他如若心取相則為著我人眾生壽	來 之 誤 解 他 如 若 心 取 相 則 為 著 我 人 眾 生 壽 
X25n0488_001:0283b03	者。如然燈佛則不與我受記。如實有佛。則不說	者 如 然 燈 佛 則 不 與 我 受 記 如 實 有 佛 則 不 說 
X25n0488_001:0283b04	是微塵眾。諸則字。俱斷斷不可改。其餘雖義或	是 微 塵 眾 諸 則 字 俱 斷 斷 不 可 改 其 餘 雖 義 或 
X25n0488_001:0283b05	兩可。而雅俗自別。俱依三譯趙本改正。	兩 可 而 雅 俗 自 別 俱 依 三 譯 趙 本 改 正 
X25n0488_001:0283b06	按諸譯不同甚多。惟秦譯最簡。出之最先。以後漸	按 諸 譯 不 同 甚 多 惟 秦 譯 最 簡 出 之 最 先 以 後 漸 
X25n0488_001:0283b07	增漸詳。葢創者難為力。而繼者易為工。理固然	增 漸 詳 葢 創 者 難 為 力 而 繼 者 易 為 工 理 固 然 
X25n0488_001:0283b08	耳。顧增華飾美。不如還淳反樸之得其真。所以	耳 顧 增 華 飾 美 不 如 還 淳 反 樸 之 得 其 真 所 以 
X25n0488_001:0283b09	世本獨尊秦譯。良非無謂。今攷異文。亦不能盡	世 本 獨 尊 秦 譯 良 非 無 謂 今 攷 異 文 亦 不 能 盡 
X25n0488_001:0283b10	述。獨魏譯十二分第頗簡要。足為章句發明。并	述 獨 魏 譯 十 二 分 第 頗 簡 要 足 為 章 句 發 明 并 
X25n0488_001:0283b11	附參攷。	附 參 攷 
X25n0488_001:0283b12	如是我聞。至敷坐而坐。為序分第一。	如是我聞 至 敷 坐 而 坐 為 序 分 第 一 
X25n0488_001:0283b13	時長老須菩提。至善付囑諸菩薩。為護念付囑	時 長 老 須 菩 提 至 善 付 囑 諸 菩 薩 為 護 念 付 囑 
X25n0488_001:0283b14	分第二。	分 第 二 
X25n0488_001:0283b15	世尊善男子。至願樂欲聞。為住分第三。	世 尊 善 男 子 至 願 樂 欲 聞 為 住 分 第 三 
X25n0488_001:0283b16	佛告須菩提。至但應如所教住。為如實修行分	佛 告 須 菩 提 至 但 應 如 所 教 住 為 如實修行 分 
X25n0488_001:0283b17	第四。	第 四 
X25n0488_001:0283b18	須菩提於意云何。至則見如來。為如來非有為	須 菩 提 於意云何 至 則 見 如 來 為 如 來 非 有 為 
X25n0488_001:0283b19	分第五。	分 第 五 
X25n0488_001:0283b20	須菩提白佛言。至一切賢聖皆以無為法而有	須 菩 提 白 佛 言 至 一 切 賢 聖 皆 以 無 為 法 而 有 
X25n0488_001:0283b21	差別。為我空法分第六。	差 別 為 我 空 法 分 第 六 
X25n0488_001:0283b22	須菩提於意云何若人滿三千大千。至此法無	須 菩 提 於意云何 若 人 滿 三千大千 至 此 法 無 
X25n0488_001:0283b23	實無虗。為具足功德較量分第七。	實 無 虗 為 具 足 功 德 較 量 分 第 七 
X25n0488_001:0283b24	須菩提若菩薩心住於法而行布施。至何況書	須 菩 提 若 菩 薩 心 住 於 法 而 行 布 施 至 何 況 書 
X25n0488_001:0283c01	寫受持讀誦為人解說。為真如分第八。	寫 受持讀誦 為 人 解 說 為 真 如 分 第 八 
X25n0488_001:0283c02	須菩提以要言之。至果報亦不可思議。為利益	須 菩 提 以要言之 至 果 報 亦 不可思議 為 利 益 
X25n0488_001:0283c03	分第九。	分 第 九 
X25n0488_001:0283c04	爾時須菩提白佛言。至如如不動。為斷疑分第	爾 時 須 菩 提 白 佛 言 至 如 如 不 動 為 斷 疑 分 第 
X25n0488_001:0283c05	十。	十 
X25n0488_001:0283c06	四句偈言為不住道分第十一。	四 句 偈 言 為 不 住 道 分 第 十 一 
X25n0488_001:0283c07	佛說是經已下流通分第十二。	佛 說 是 經 已 下 流 通 分 第 十 二 
X25n0488_001:0283c08	此十二分第。比道安為詳。比昭明為略。頗得綱	此 十 二 分 第 比 道 安 為 詳 比 昭 明 為 略 頗 得 綱 
X25n0488_001:0283c09	領。而須菩提重問以後。皆作斷疑。尤為正見。又	領 而 須 菩 提 重 問 以 後 皆 作 斷 疑 尤 為 正 見 又 
X25n0488_001:0283c10	十七分須菩提重問善男子善女人發阿耨多	十 七 分 須 菩 提 重 問 善 男 子 善 女 人 發 阿 耨 多 
X25n0488_001:0283c11	羅三藐三菩提心。魏譯於前則曰。云何菩薩大	羅 三藐三菩提 心 魏 譯 於 前 則 曰 云 何 菩 薩 大 
X25n0488_001:0283c12	乘中發阿耨多羅三藐三菩提心。於後但曰。云	乘 中 發 阿耨多羅三藐三菩提 心 於 後 但 曰 云 
X25n0488_001:0283c13	何菩薩發阿耨多羅三藐三菩提心。除去大乘	何 菩 薩 發 阿耨多羅三藐三菩提 心 除 去 大 乘 
X25n0488_001:0283c14	中三字。顯有淺深二義。葢所謂大乘者。即如來	中 三 字 顯 有 淺 深 二 義 葢 所 謂 大 乘 者 即 如 來 
X25n0488_001:0283c15	法也。後問不言大乘者。顯就現在脩菩薩行言	法 也 後 問 不 言 大 乘 者 顯 就 現 在 脩 菩 薩 行 言 
X25n0488_001:0283c16	也。其文亦足為三世因緣一證。予於既脫稿之	也 其 文 亦 足 為 三 世 因 緣 一 證 予 於 既 脫 稿 之 
X25n0488_001:0283c17	後得閱此本。頗自幸其不大盩戾于昔人。因思	後 得 閱 此 本 頗 自 幸 其 不 大 盩 戾 于 昔 人 因 思 
X25n0488_001:0283c18	袁了凡先生曰。看金剛經有不會處。但讀各譯	袁 了 凡 先 生 曰 看 金 剛 經 有 不 會 處 但 讀 各 譯 
X25n0488_001:0283c19	自見。益為信然。	自 見 益 為 信 然 
X25n0488_001:0283c20	又陳真諦譯本云。如如不動。恒有正說。應觀有為	又 陳 真 諦 譯 本 云 如 如 不 動 恒 有 正 說 應 觀 有 為 
X25n0488_001:0283c21	法。如暗翳燈幻露。泡夢電雲。所謂恒有正說。猶	法 如 暗 翳 燈 幻 露 泡 夢 電 雲 所 謂 恒 有 正 說 猶 
X25n0488_001:0283c22	云恒言中有成說也。予謂末後四句乃相傳古	云 恒 言 中 有 成 說 也 予 謂 末 後 四 句 乃 相 傳 古 
X25n0488_001:0283c23	偈。此亦一證。既成書。錢登明兄示予三譯本。始	偈 此 亦 一 證 既 成 書 錢 登 明 兄 示 予 三 譯 本 始 
X25n0488_001:0283c24	得見之。又中峰禪師略義云。如來於第四時說	得 見 之 又 中 峰 禪 師 略 義 云 如 來 於 第 四 時 說 
X25n0488_001:0284a01	般若經六百卷。金剛經乃其一也。議者於六百	般 若 經 六 百 卷 金 剛 經 乃 其 一 也 議 者 於 六 百 
X25n0488_001:0284a02	卷之綱目。以融通淘汰四字攝之。葢如來嘗於	卷 之 綱 目 以 融 通 淘 汰 四 字 攝 之 葢 如 來 嘗 於 
X25n0488_001:0284a03	第二時。在鹿苑轉四諦法輪。證諸小乘。入有餘	第 二 時 在 鹿 苑 轉 四 諦 法 輪 證 諸 小 乘 入 有 餘 
X25n0488_001:0284a04	涅槃。以未稱本懷。由是第三時維摩彈斥。使其	涅 槃 以 未 稱 本 懷 由 是 第 三 時 維 摩 彈 斥 使 其 
X25n0488_001:0284a05	耻小慕大。然後廣說般若一味真空。專為小乘	耻 小 慕 大 然 後 廣 說 般 若 一 味 真 空 專 為 小 乘 
X25n0488_001:0284a06	人。融其所執。通其所滯。淘之汰之。如滌穢器。便	人 融 其 所 執 通 其 所 滯 淘 之 汰 之 如 滌 穢 器 便 
X25n0488_001:0284a07	之清淨。然後以上乘圓頓甘露之味注之。但金	之 清 淨 然 後 以 上 乘 圓 頓 甘 露 之 味 注 之 但 金 
X25n0488_001:0284a08	剛經局於文約。幾不能句讀。義意深邃。寄之六	剛 經 局 於 文 約 幾 不 能 句 讀 義 意 深 邃 寄 之 六 
X25n0488_001:0284a09	百卷間。於中或有不能通處。正不必致疑。但存	百 卷 間 於 中 或 有 不 能 通 處 正 不 必 致 疑 但 存 
X25n0488_001:0284a10	一念深信。久當自解。發按所謂一味真空。專為	一 念 深 信 久 當 自 解 發 按 所 謂 一 味 真 空 專 為 
X25n0488_001:0284a11	小乘人融其所執。通其所滯。此語足盡金經全	小 乘 人 融 其 所 執 通 其 所 滯 此 語 足 盡 金 經 全 
X25n0488_001:0284a12	蘊。蓋小乘人與初學佛人不同。其功行已深。特	蘊 蓋 小 乘 人 與 初 學 佛 人 不 同 其 功 行 已 深 特 
X25n0488_001:0284a13	未造大乘耳。正所謂有為法也。故曰一切有為	未 造 大 乘 耳 正 所 謂 有 為 法 也 故 曰 一 切 有 為 
X25n0488_001:0284a14	法。應作如是觀。其論尤足為四句偈發明。因思	法 應 作 如 是 觀 其 論 尤 足 為 四 句 偈 發 明 因 思 
X25n0488_001:0284a15	昔趙吳興師事中峰。手書此經。施師展讀。今石	昔 趙 吳 興 師 事 中 峰 手 書 此 經 施 師 展 讀 今 石 
X25n0488_001:0284a16	刻是也。諒其中字句經二巨眼。決無謬誤。則予	刻 是 也 諒 其 中 字 句 經 二 巨 眼 決 無 謬 誤 則 予 
X25n0488_001:0284a17	之攷異。悉遵石本改正。亦足憲矣。	之 攷 異 悉 遵 石 本 改 正 亦 足 憲 矣 
X25n0488_001:0284a18	又第六分。無法相亦無非法相下。集解謂舊本又	又 第 六 分 無 法 相 亦 無 非 法 相 下 集 解 謂 舊 本 又 
X25n0488_001:0284a19	有無相亦非無相句。故彌勒偈曰。依八八義則。	有 無 相 亦 非 無 相 句 故 彌 勒 偈 曰 依 八 八 義 則 
X25n0488_001:0284a20	今按留支譯。曰無法相亦非無法相。無相亦非	今 按 留 支 譯 曰 無 法 相 亦 非 無 法 相 無 相 亦 非 
X25n0488_001:0284a21	無相。真諦譯。曰無法想無非法想。無想無非想。	無 相 真 諦 譯 曰 無 法 想 無 非 法 想 無 想 無 非 想 
X25n0488_001:0284a22	諸譯同一轍。則舊本確矣。然趙刻亦無。相沿既	諸 譯 同 一 轍 則 舊 本 確 矣 然 趙 刻 亦 無 相 沿 既 
X25n0488_001:0284a23	久。不敢擅增。但余詳味末後八分。如佛雙收。實	久 不 敢 擅 增 但 余 詳 味 末 後 八 分 如 佛 雙 收 實 
X25n0488_001:0284a24	有此二義。葢就過去如來言。則曰相。就現在佛	有 此 二 義 葢 就 過 去 如 來 言 則 曰 相 就 現 在 佛 
X25n0488_001:0284b01	言。則曰法。理即一揆。文實異趣。故余于章句中	言 則 曰 法 理 即 一 揆 文 實 異 趣 故 余 于 章 句 中 
X25n0488_001:0284b02	分別出之。葢此二語。實提綱挈領之要也。大約	分 別 出 之 葢 此 二 語 實 提 綱 挈 領 之 要 也 大 約 
X25n0488_001:0284b03	佛語必舉全體。而後德易墮邊見。故刪去之。此	佛 語 必 舉 全 體 而 後 德 易 墮 邊 見 故 刪 去 之 此 
X25n0488_001:0284b04	即中峰所謂不可通解處是也。譬如孔子只重	即 中 峰 所 謂 不 可 通 解 處 是 也 譬 如 孔 子 只 重 
X25n0488_001:0284b05	一仁。孟子復兼舉義。說一仁而義自在其中。兼	一 仁 孟 子 復 兼 舉 義 說 一 仁 而 義 自 在 其 中 兼 
X25n0488_001:0284b06	舉義。則仁反似非全德。此聖賢地位有不同處。	舉 義 則 仁 反 似 非 全 德 此 聖 賢 地 位 有 不 同 處 
X25n0488_001:0284b07	後之學者自須究極根抵。不可以耳食師說。便	後 之 學 者 自 須 究 極 根 抵 不 可 以 耳 食 師 說 便 
X25n0488_001:0284b08	依樣畵葫蘆也。	依 樣 畵 葫 蘆 也 
X25n0488_001:0284b09	又三十二分。若有善男子善女人發菩薩心者。薩	又 三 十 二 分 若 有 善 男 子 善 女 人 發 菩 薩 心 者 薩 
X25n0488_001:0284b10	字。俗本多誤作提字。按會譯原本。趙刻石本。宗	字 俗 本 多 誤 作 提 字 按 會 譯 原 本 趙 刻 石 本 宗 
X25n0488_001:0284b11	泐奉勅註本。雲棲鎞論。皆薩字。葢此句。正結完	泐 奉 勅 註 本 雲 棲 鎞 論 皆 薩 字 葢 此 句 正 結 完 
X25n0488_001:0284b12	十七分空生為現在祇園會上善男子善女人	十 七 分 空 生 為 現 在 祇 園 會 上 善 男 子 善 女 人 
X25n0488_001:0284b13	問菩薩行意。故前於實義。則既曰菩薩亦如是。	問 菩 薩 行 意 故 前 於 實 義 則 既 曰 菩 薩 亦 如 是 
X25n0488_001:0284b14	又曰通達無我法者名真是菩薩。於福德。則曰	又 曰 通 達 無 我 法 者 名 真 是 菩 薩 於 福 德 則 曰 
X25n0488_001:0284b15	此菩薩勝前菩薩所得福德。至此盡處。則又曰	此 菩 薩 勝 前 菩 薩 所 得 福 德 至 此 盡 處 則 又 曰 
X25n0488_001:0284b16	若善男子善女人發菩薩心者。前後照應。脈絡	若 善 男 子 善 女 人 發 菩 薩 心 者 前 後 照 應 脈 絡 
X25n0488_001:0284b17	如線。若改作菩提。便泛濫無緒。此章法所以不	如 線 若 改 作 菩 提 便 泛 濫 無 緒 此 章 法 所 以 不 
X25n0488_001:0284b18	可不明也。	可 不 明 也 
X25n0488_001:0284b21	說略總論(十則)	說 略 總 論 十 則 
X25n0488_001:0284b23	佛法有宗教二門。要其竟訖。原屬一歸。如儒家生	佛 法 有 宗 教 二 門 要 其 竟 訖 原 屬 一 歸 如 儒 家 生 
X25n0488_001:0284b24	知學知。同歸于聖耳。今宗門只說頓悟。無論不須	知 學 知 同 歸 于 聖 耳 今 宗 門 只 說 頓 悟 無 論 不 須 
