X62n1178_001:0228a06	東海若解	東 海 若 解 
X62n1178_001:0228c19	除佛已還。皆未得此深大光潔之用者。即有之。是	除 佛 已 還 皆 未 得 此 深 大 光 潔 之 用 者 即 有 之 是 
X62n1178_001:0228c20	少分而已。非究竟也。	少 分 而 已 非 究 竟 也 
X62n1178_001:0228c21	今汝海之棄滴也。而與糞壤同體。臭朽之與曹。蟯蚘	今 汝 海 之 棄 滴 也 而 與 糞 壤 同 體 臭 朽 之 與 曹 蟯 蚘 
X62n1178_001:0228c22	之與居。其狹。咫也。又冥暗若是。而同之海。不亦羞而	之 與 居 其 狹 咫 也 又 冥 暗 若 是 而 同 之 海 不 亦 羞 而 
X62n1178_001:0228c23	可憐哉。子欲之乎。吾將為汝抉石破瓠盪羣穢于大	可 憐 哉 子 欲 之 乎 吾 將 為 汝 抉 石 破 瓠 盪 羣 穢 于 大 
X62n1178_001:0228c24	荒之島。而同子於向之所陳者可乎。	荒 之 島 而 同 子 於 向 之 所 陳 者 可 乎 
X62n1178_001:0229a01	此喻斥其偏見。而示以正修行路也。夫眾生與佛。	此 喻 斥 其 偏 見 而 示 以 正 修 行 路 也 夫 眾 生 與 佛 
X62n1178_001:0229a02	雖同一心。但眾生迷倒。棄海認漚。指漚為海。聞說	雖 同 一 心 但 眾 生 迷 倒 棄 海 認 漚 指 漚 為 海 聞 說 
X62n1178_001:0229a03	真海。反以為非。是則名為可憐愍者。今夫執空之	真 海 反 以 為 非 是 則 名 為 可 憐 愍 者 今 夫 執 空 之 
X62n1178_001:0229a04	人計五陰。身中方寸妄心。謂是本來面目。與佛無	人 計 五 陰 身 中 方 寸 妄 心 謂 是 本 來 面 目 與 佛 無 
X62n1178_001:0229a05	二。如瓠中糞水。計為大海。與海無別。不知心體廣	二 如 瓠 中 糞 水 計 為 大 海 與 海 無 別 不 知 心 體 廣 
X62n1178_001:0229a06	大。含裹十方虗空世界。眾生諸佛。一念徧收。不局	大 含 裹 十 方 虗 空 世 界 眾 生 諸 佛 一 念 徧 收 不 局 
X62n1178_001:0229a07	在方寸內。如大海不局瓠[盧*瓜]內。聞說西方淨土。彌	在 方 寸 內 如 大 海 不 局 瓠 [盧瓜] 內 聞 說 西方淨土 彌 
X62n1178_001:0229a08	陀性海。計為心外。反生疑謗。如聞真海反以為非。	陀 性 海 計 為 心 外 反 生 疑 謗 如 聞 真 海 反 以 為 非 
X62n1178_001:0229a09	彌陀雖不捨眾生。眾生自棄耳。如大海不拒一滴。	彌 陀 雖 不 捨 眾 生 眾 生 自 棄 耳 如 大 海 不 拒 一 滴 
X62n1178_001:0229a10	一滴自棄大海。故曰海之棄滴。眾生五陰。煩惱為	一 滴 自 棄 大 海 故 曰 海 之 棄 滴 眾 生 五 陰 煩 惱 為 
X62n1178_001:0229a11	體。故云糞壤同體。臭即是苦。朽即無常。曹。伍也。言	體 故 云 糞 壤 同 體 臭 即 是 苦 朽 即 無 常 曹 伍 也 言 
X62n1178_001:0229a12	此身者。無常眾若之為伴侶。非真實也。蟯[虫*尢]。身中	此 身 者 無 常 眾 若 之 為 伴 侶 非 真 實 也 蟯 [虫尢] 身 中 
X62n1178_001:0229a13	蟲也。喻十二類。言此身者。十二類之所同住。非解	蟲 也 喻 十 二 類 言 此 身 者 十 二 類 之 所 同 住 非 解 
X62n1178_001:0229a14	脫也。蕞爾六尺。故言咫。蒙然無智。故言暗。執此方	脫 也 蕞 爾 六 尺 故 言 咫 蒙 然 無 智 故 言 暗 執 此 方 
X62n1178_001:0229a15	寸妄心。六尺妄身。謂同佛妙用。非顛倒耶。故斥之	寸 妄 心 六 尺 妄 身 謂 同 佛 妙 用 非 顛 倒 耶 故 斥 之 
X62n1178_001:0229a16	曰羞而可憐。問。經云。諸佛解脫。當於眾生心行中	曰 羞 而 可 憐 問 經 云 諸 佛 解 脫 當 於 眾 生 心 行 中 
X62n1178_001:0229a17	求。又云。觀身實相。觀佛亦然。豈非眾生身心。與佛	求 又 云 觀 身 實 相 觀 佛 亦 然 豈 非 眾 生 身 心 與 佛 
X62n1178_001:0229a18	無別。而子乃欲分迷分悟論聖論凡。得無眼見空	無 別 而 子 乃 欲 分 迷 分 悟 論 聖 論 凡 得 無 眼 見 空 
X62n1178_001:0229a19	華耶。答。如經所云。葢是即妄觀真。不執妄以為真。	華 耶 答 如 經 所 云 葢 是 即 妄 觀 真 不 執 妄 以 為 真 
X62n1178_001:0229a20	如將一滴觀海。不執一滴是海。且如一滴之水。與	如 將 一 滴 觀 海 不 執 一 滴 是 海 且 如 一 滴 之 水 與 
X62n1178_001:0229a21	大海水。濕性何別。然既離大海。又與糞壤交雜。豈	大 海 水 濕 性 何 別 然 既 離 大 海 又 與 糞 壤 交 雜 豈 
X62n1178_001:0229a22	得謂之即是海耶。即妄觀真而不執。意亦如是。故	得 謂 之 即 是 海 耶 即 妄 觀 真 而 不 執 意 亦 如 是 故 
X62n1178_001:0229a23	知水性無別。而求歸海之計。則可也。若守定一滴	知 水 性 無 別 而 求 歸 海 之 計 則 可 也 若 守 定 一 滴 
X62n1178_001:0229a24	謂為大海。則不可也。請試思之。子欲之乎以下。略	謂 為 大 海 則 不 可 也 請 試 思 之 子 欲 之 乎 以 下 略 
X62n1178_001:0229b01	示修行利益以勸之。言吾將為汝者。非是為彼修	示 修 行 利 益 以 勸 之 言 吾 將 為 汝 者 非 是 為 彼 修 
X62n1178_001:0229b02	行。蓋謂化功歸己。利及他人也。抉石。喻斷根本無	行 蓋 謂 化 功 歸 己 利 及 他 人 也 抉 石 喻 斷 根 本 無 
X62n1178_001:0229b03	明。破瓠。喻出三界。盪穢。喻離五濁。大荒。喻寂光真	明 破 瓠 喻 出 三 界 盪 穢 喻 離 五 濁 大 荒 喻 寂 光 真 
X62n1178_001:0229b04	境。恢廓無際。島。喻同居極樂。高出十方。向之所陳。	境 恢 廓 無 際 島 喻 同 居 極 樂 高 出 十 方 向 之 所 陳 
X62n1178_001:0229b05	即諸佛深大光潔之用。知其不信。而復強為說法	即 諸 佛 深 大 光 潔 之 用 知 其 不 信 而 復 強 為 說 法 
X62n1178_001:0229b06	者。蓋大士悲心太切。現雖無益。亦為未來。得度因	者 蓋 大 士 悲 心 太 切 現 雖 無 益 亦 為 未 來 得 度 因 
X62n1178_001:0229b07	緣也。	緣 也 
X62n1178_001:0229b08	糞水泊然不說曰。我固同矣。吾又何求于若。吾之性	糞 水 泊 然 不 說 曰 我 固 同 矣 吾 又 何 求 于 若 吾 之 性 
X62n1178_001:0229b09	也。亦若是而已矣。穢者自穢。不足以害吾潔。狹者自	也 亦 若 是 而 已 矣 穢 者 自 穢 不 足 以 害 吾 潔 狹 者 自 
X62n1178_001:0229b10	狹。不足以害吾廣。幽者自幽。不足以害吾明。而穢亦	狹 不 足 以 害 吾 廣 幽 者 自 幽 不 足 以 害 吾 明 而 穢 亦 
X62n1178_001:0229b11	海也。狹幽亦海也。突然而往。于然而來。孰非海者。子	海 也 狹 幽 亦 海 也 突 然 而 往 于 然 而 來 孰 非 海 者 子 
X62n1178_001:0229b12	去矣。無亂我。	去 矣 無 亂 我 
X62n1178_001:0229b13	此喻聞教不信。執辭以拒也。博地凡夫。雖有小慧	此 喻 聞 教 不 信 執 辭 以 拒 也 博 地 凡 夫 雖 有 小 慧 
X62n1178_001:0229b14	不斷煩惱。故名糞水。聞教不信。故云不說。我固同	不 斷 煩 惱 故 名 糞 水 聞 教 不 信 故 云 不 說 我 固 同 
X62n1178_001:0229b15	矣。此執理之言。尅論理體。生佛不二。故曰固同。吾	矣 此 執 理 之 言 尅 論 理 體 生 佛 不 二 故 曰 固 同 吾 
X62n1178_001:0229b16	又何求于若。此自足之語。前文所陳。乃諸佛境界。	又 何 求 于 若 此 自 足 之 語 前 文 所 陳 乃 諸佛境界 
X62n1178_001:0229b17	蓋是以修德而顯性德。今執理者謬解。單言性德	蓋 是 以 修 德 而 顯 性 德 今 執 理 者 謬 解 單 言 性 德 
X62n1178_001:0229b18	而廢修德。故曰。吾之性也亦若是而已矣。謂我心	而 廢 修 德 故 曰 吾 之 性 也 亦 若 是 而 已 矣 謂 我 心 
X62n1178_001:0229b19	亦具深大光潔之用。曾無欠少。不知說食畫餅。無	亦 具 深 大 光 潔 之 用 曾 無 欠 少 不 知 說 食 畫 餅 無 
X62n1178_001:0229b20	益飢腸。徒勞身口。下文具出偏空之見。穢不害潔。	益 飢 腸 徒 勞 身 口 下 文 具 出 偏 空 之 見 穢 不 害 潔 
X62n1178_001:0229b21	言性體清淨。不為生死所污也。狹不害廣。言性體	言 性 體 清 淨 不 為 生 死 所 污 也 狹 不 害 廣 言 性 體 
X62n1178_001:0229b22	廣大。不為形器所局也。幽不害明。謂性體光明。不	廣 大 不 為 形 器 所 局 也 幽 不 害 明 謂 性 體 光 明 不 
X62n1178_001:0229b23	為煩惱所覆也。穢狹幽暗。即具海之全體。無二無	為 煩 惱 所 覆 也 穢 狹 幽 暗 即 具 海 之 全 體 無 二 無 
X62n1178_001:0229b24	別。故云亦也。突然于然。往來貌。以喻出沒生死。皆	別 故 云 亦 也 突 然 于 然 往 來 貌 以 喻 出 沒 生 死 皆 
X62n1178_001:0229c01	本性妙理。故云孰非海者。問曰。如上所陳。未嘗不	本 性 妙 理 故 云 孰 非 海 者 問 曰 如 上 所 陳 未 嘗 不 
X62n1178_001:0229c02	是。何子過之深也。答曰。誠如所問。其言雖是。其意	是 何 子 過 之 深 也 答 曰 誠 如 所 問 其 言 雖 是 其 意 
X62n1178_001:0229c03	則非。祗如三不害。大乘經論中。亦有此語。然諸佛	則 非 祗 如 三 不 害 大 乘 經 論 中 亦 有 此 語 然 諸 佛 
X62n1178_001:0229c04	菩薩未嘗撥棄修行。單言理性。今謬人守定穢狹	菩 薩 未 嘗 撥 棄 修 行 單 言 理 性 今 謬 人 守 定 穢 狹 
X62n1178_001:0229c05	幽暗。自謂光潔廣大。不知煩惱現前。潔斯害矣。量	幽 暗 自 謂 光 潔 廣 大 不 知 煩 惱 現 前 潔 斯 害 矣 量 
X62n1178_001:0229c06	不容物。廣斯害矣。顛倒是非。明斯害矣。現前一念。	不 容 物 廣 斯 害 矣 顛 倒 是 非 明 斯 害 矣 現 前 一 念 
X62n1178_001:0229c07	尚不能保其無害。況未來生死。安能自知。雖曰不	尚 不 能 保 其 無 害 況 未 來 生 死 安 能 自 知 雖 曰 不 
X62n1178_001:0229c08	害。乃所以為大害也。如諸佛菩薩有時化度眾生。	害 乃 所 以 為 大 害 也 如 諸佛菩薩 有 時 化 度 眾 生 
X62n1178_001:0229c09	示現煩惱。而心無分別。斯真穢不害潔矣。刀割香	示 現 煩 惱 而 心 無 分 別 斯 真 穢 不 害 潔 矣 刀 割 香 
X62n1178_001:0229c10	塗。等無憎愛。羅云調達。並濟均慈。斯真狹不害廣	塗 等 無 憎 愛 羅 云 調 達 並 濟 均 慈 斯 真 狹 不 害 廣 
X62n1178_001:0229c11	矣。行於非道。通達佛道。斯真幽不害明矣。而今乃	矣 行 於 非 道 通 達 佛 道 斯 真 幽 不 害 明 矣 而 今 乃 
X62n1178_001:0229c12	以凡夫小智。濫同佛智。自取愆尤。豈非謬之甚者	以 凡 夫 小 智 濫 同 佛 智 自 取 愆 尤 豈 非 謬 之 甚 者 
X62n1178_001:0229c13	邪。子去矣無亂我。是拒絕之辭。蓋宗門執理之士。	邪 子 去 矣 無 亂 我 是 拒 絕 之 辭 蓋 宗 門 執 理 之 士 
X62n1178_001:0229c14	乍聞教理。輒大拂其心。故云然也。	乍 聞 教 理 輒 大 拂 其 心 故 云 然 也 
X62n1178_001:0229c15	其一聞若之言。號而祈曰。吾毒是久矣。吾以為是固	其 一 聞 若 之 言 號 而 祈 曰 吾 毒 是 久 矣 吾 以 為 是 固 
X62n1178_001:0229c16	然不可異也。今于告我海之大。又目我以故海之棄	然 不 可 異 也 今 于 告 我 海 之 大 又 目 我 以 故 海 之 棄 
X62n1178_001:0229c17	糞也。吾愈急焉。涌吾洙。不足以發其窒。旋吾波。不足	糞 也 吾 愈 急 焉 涌 吾 洙 不 足 以 發 其 窒 旋 吾 波 不 足 
X62n1178_001:0229c18	以穴瓠之腹也。就能之。窮歲月耳。願若幸而哀我哉。	以 穴 瓠 之 腹 也 就 能 之 窮 歲 月 耳 願 若 幸 而 哀 我 哉 
X62n1178_001:0229c19	此喻順教修行之士。初聞佛法。生大悔悟。心期解	此 喻 順 教 修 行 之 士 初 聞 佛 法 生 大 悔 悟 心 期 解 
X62n1178_001:0229c20	脫。故號泣而祈求焉。吾毒是久矣。毒。害也。生死煩	脫 故 號 泣 而 祈 求 焉 吾 毒 是 久 矣 毒 害 也 生 死 煩 
X62n1178_001:0229c21	惱。喪我法身。亡我慧命。名之曰毒。沈淪多劫。故曰	惱 喪 我 法 身 亡 我 慧 命 名 之 曰 毒 沈 淪 多 劫 故 曰 
X62n1178_001:0229c22	久矣。又言久者。謂常有厭苦之心。未得出離之路。	久 矣 又 言 久 者 謂 常 有 厭 苦 之 心 未 得 出 離 之 路 
X62n1178_001:0229c23	所謂善根將熟機欲發動也。固然。真實貌。未聞教	所 謂 善 根 將 熟 機 欲 發 動 也 固 然 真 實 貌 未 聞 教 
X62n1178_001:0229c24	前。意謂生死煩惱。真實不可變異。徒厭無益。今聞	前 意 謂 生 死 煩 惱 真 實 不 可 變 異 徒 厭 無 益 今 聞 
X62n1178_001:0230a01	佛功德海。廣大難量。則知生可作佛。故曰告我以	佛 功 德 海 廣 大 難 量 則 知 生 可 作 佛 故 曰 告 我 以 
X62n1178_001:0230a02	海之大。又知夙曾下種。與佛結緣。我自迷背于佛。	海 之 大 又 知 夙 曾 下 種 與 佛 結 緣 我 自 迷 背 于 佛 
X62n1178_001:0230a03	遺棄生死。故曰目我以故海棄糞。是則出離有路。	遺 棄 生 死 故 曰 目 我 以 故 海 棄 糞 是 則 出 離 有 路 
X62n1178_001:0230a04	解脫有方。求之厭之。當復彌切。故云愈急。下皆自	解 脫 有 方 求 之 厭 之 當 復 彌 切 故 云 愈 急 下 皆 自 
X62n1178_001:0230a05	知分量之辭。涌洙。喻小慧分別。發窒。喻破無明。旋	知 分 量 之 辭 涌 洙 喻 小 慧 分 別 發 窒 喻 破 無 明 旋 
X62n1178_001:0230a06	波。喻微功轉動。穴腹。喻出三界。就能之。是假借之	波 喻 微 功 轉 動 穴 腹 喻 出 三 界 就 能 之 是 假 借 之 
X62n1178_001:0230a07	辭。窮歲月。是遷延曠劫。幸而哀我。是求佛攝受。	辭 窮 歲 月 是 遷 延 曠 劫 幸 而 哀 我 是 求 佛 攝 受 
X62n1178_001:0230a08	東海若乃抉石破瓠。投之孟諸之陸。盪其穢于大荒	東 海 若 乃 抉 石 破 瓠 投 之 孟 諸 之 陸 盪 其 穢 于 大 荒 
X62n1178_001:0230a09	之島而水復於海。盡得向之所陳者焉。	之 島 而 水 復 於 海 盡 得 向 之 所 陳 者 焉 
X62n1178_001:0230a10	此喻順教修行之利。無明頓破。如抉石生死永亡。	此 喻 順 教 修 行 之 利 無 明 頓 破 如 抉 石 生 死 永 亡 
X62n1178_001:0230a11	如破瓠。三界長揖。故曰投之孟諸。九蓮親到。故曰	如 破 瓠 三 界 長 揖 故 曰 投 之 孟 諸 九 蓮 親 到 故 曰 
X62n1178_001:0230a12	大荒之島。即凡心而見佛心。故云水復于海。	大 荒 之 島 即 凡 心 而 見 佛 心 故 云 水 復 于 海 
X62n1178_001:0230a13	而向之一者終與臭腐處而不變也。	而 向 之 一 者 終 與 臭 腐 處 而 不 變 也 
X62n1178_001:0230a14	此喻違教執空之害。向執葫蘆之水。與大海無別。	此 喻 違 教 執 空 之 害 向 執 葫 蘆 之 水 與 大 海 無 別 
X62n1178_001:0230a15	不知石未去而穢未除。水未歸于海。水雖無二。寬	不 知 石 未 去 而 穢 未 除 水 未 歸 于 海 水 雖 無 二 寬 
X62n1178_001:0230a16	狹淨穢乃殊。又執穢狹皆海。不知終于臭腐而不	狹 淨 穢 乃 殊 又 執 穢 狹 皆 海 不 知 終 于 臭 腐 而 不 
X62n1178_001:0230a17	能變化。豈不哀哉。今夫執理者。謂我心是佛。何須	能 變 化 豈 不 哀 哉 今 夫 執 理 者 謂 我 心 是 佛 何 須 
X62n1178_001:0230a18	更見彌陀。即心淨土。豈必更生極樂。不知無明生	更 見 彌 陀 即 心 淨 土 豈 必 更 生 極 樂 不 知 無 明 生 
X62n1178_001:0230a19	死。業相熾然。雖有妙心。尚未親證未得佛之大用。	死 業 相 熾 然 雖 有 妙 心 尚 未 親 證 未 得 佛 之 大 用 
X62n1178_001:0230a20	又執生死煩惱。皆是菩提涅槃。誰非佛法。不知生	又 執 生 死 煩 惱 皆 是 菩 提 涅 槃 誰 非 佛 法 不 知 生 
X62n1178_001:0230a21	死現前。依舊茫然無據。何處當有涅槃。無明瞥起。	死 現 前 依 舊 茫 然 無 據 何 處 當 有 涅 槃 無 明 瞥 起 
X62n1178_001:0230a22	仍復顛倒是非。誰是菩提覺者。一期浪語長劫沈	仍 復 顛 倒 是 非 誰 是 菩 提 覺 者 一 期 浪 語 長 劫 沈 
X62n1178_001:0230a23	淪。能不為之痛心哉。	淪 能 不 為 之 痛 心 哉 
X62n1178_001:0230a24	今有為佛者二人。同出于毗盧遮那之海。而泪于五	今 有 為 佛 者 二 人 同 出 于 毗 盧 遮 那 之 海 而 泪 于 五 
X62n1178_001:0230b01	濁之糞。而幽于三有之瓠。而窒于無明之石。雜于十	濁 之 糞 而 幽 于 三 有 之 瓠 而 窒 于 無 明 之 石 雜 于 十 
X62n1178_001:0230b02	二類之蟯蚘。人有問焉。其一人曰我佛也。毗盧遮那。	二 類 之 蟯 蚘 人 有 問 焉 其 一 人 曰 我 佛 也 毗 盧 遮 那 
X62n1178_001:0230b03	五濁三有。無明十二類。皆空也。一切無善無惡。無因	五 濁 三 有 無 明 十 二 類 皆 空 也 一 切 無 善 無 惡 無 因 
