T85n2776_001:0438a03	釋肇序	釋 肇 序 
T85n2776_001:0438a22	蓁之下。則葛蘿雖有攀緣之功而不離蓬蒿	蓁 之 下 則 葛 蘿 雖 有 攀 緣 之 功 而 不 離 蓬 蒿 
T85n2776_001:0438a23	之下。若樛木不接葛蘿仰攀。則雖千尋之檊	之 下 若 樛 木 不 接 葛 蘿 仰 攀 則 雖 千 尋 之 檊 
T85n2776_001:0438a24	亦可因依而達矣。法合亦同。便如來栖神於	亦 可 因 依 而 達 矣 法 合 亦 同 便 如 來 栖 神 於 
T85n2776_001:0438a25	九居之上蒼生淪沒於三塗之下交感不會。	九 居 之 上 蒼 生 淪 沒 於 三 塗 之 下 交 感 不 會 
T85n2776_001:0438a26	則雖群生有本覺之智。不免淪迴之苦。若使	則 雖 群 生 有 本 覺 之 智 不 免 淪 迴 之 苦 若 使 
T85n2776_001:0438a27	蒼生深信仰之誠。諸佛垂大悲之迹。則雖十	蒼 生 深 信 仰 之 誠 諸 佛 垂 大 悲 之 迹 則 雖 十 
T85n2776_001:0438a28	力位尊三祇劫遠。自強不息咸可成矣。本迹	力 位 尊 三 祇 劫 遠 自 強 不 息 咸 可 成 矣 本 迹 
T85n2776_001:0438a29	之義於茲顯然。從此第三明釋題目也　故	之 義 於 茲 顯 然 從 此 第 三 明 釋 題 目 也 故 
T85n2776_001:0438b01	命侍者。標以名焉。囑累品中。佛告阿難此	命 侍 者 標 以 名 焉 囑 累 品 中 佛 告 阿 難 此 
T85n2776_001:0438b02	經名維摩詰所說亦名不可思議解脫法門。	經 名 維 摩 詰 所 說 亦 名 不可思議 解 脫 法 門 
T85n2776_001:0438b03	即命阿難為侍者。此以本迹俱不思議故。令	即 命 阿 難 為 侍 者 此 以 本 迹 俱 不 思 議 故 令 
T85n2776_001:0438b04	不思議為名也。	不 思 議 為 名 也 
T85n2776_001:0438b05	三明重譯之由。由前翻譯失旨故重譯也。文	三 明 重 譯 之 由 由 前 翻 譯 失 旨 故 重 譯 也 文 
T85n2776_001:0438b06	四。初明譯經主。即秦主姚興也。二明譯經時。	四 初 明 譯 經 主 即 秦 主 姚 興 也 二 明 譯 經 時 
T85n2776_001:0438b07	即弘始八年也。三明能譯人。什法師也。四	即 弘 始 八 年 也 三 明 能 譯 人 什 法 師 也 四 
T85n2776_001:0438b08	明所譯法。即此經也。前文有二。初舉人歎德	明 所 譯 法 即 此 經 也 前 文 有 二 初 舉 人 歎 德 
T85n2776_001:0438b09	也。二明重譯之本意。初中大秦天王者舉人	也 二 明 重 譯 之 本 意 初 中 大 秦 天 王 者 舉 人 
T85n2776_001:0438b10	也。俊神等者歎德也。大秦歎其國大王。王	也 俊 神 等 者 歎 德 也 大 秦 歎 其 國 大 王 王 
T85n2776_001:0438b11	顯其人尊。聖德普覆謂之天。黎人仰歸往謂	顯 其 人 尊 聖 德 普 覆 謂 之 天 黎 人 仰 歸 往 謂 
T85n2776_001:0438b12	之王。此孝治之德也(故孝經云。昔者明王之以孝治天下。不敢遺小國之民臣。而	之 王 此 孝 治 之 德 也 故 孝 經 云 昔 者 明 王 之 以 孝 治 天 下 不 敢 遺 小 國 之 民 臣 而 
T85n2776_001:0438b13	況於公侯伯子男呼故得萬國之歡之等)又可為民所載謂之天。於人	況 於 公 侯 伯 子 男 呼 故 得 萬 國 之 歡 之 等 又 可 為 民 所 載 謂 之 天 於 人 
T85n2776_001:0438b14	自在謂之王。斯則至尊之稱也。俊神者俊英	自 在 謂 之 王 斯 則 至 尊 之 稱 也 俊 神 者 俊 英 
T85n2776_001:0438b15	亦俊傑也。有釋。才過十人曰豪。百人曰英。千	亦 俊 傑 也 有 釋 才 過 十 人 曰 豪 百 人 曰 英 千 
T85n2776_001:0438b16	人曰俊。萬人曰傑。神謂神思也。謂俊傑之	人 曰 俊 萬 人 曰 傑 神 謂 神 思 也 謂 俊 傑 之 
T85n2776_001:0438b17	心世英之等。故云超世。此歎治國之智　玄	心 世 英 之 等 故 云 超 世 此 歎 治 國 之 智 玄 
T85n2776_001:0438b18	心獨悟者。遊心玄鏡故曰玄心。幽鑒不群故	心 獨 悟 者 遊 心 玄 鏡 故 曰 玄 心 幽 鑒 不 群 故 
T85n2776_001:0438b19	名獨悟。此歎悟理心也　弘至理於萬機之	名 獨 悟 此 歎 悟 理 心 也 弘 至 理 於 萬 機 之 
T85n2776_001:0438b20	上者。弘者大勅及萬方故云大也。至者極也。	上 者 弘 者 大 勅 及 萬 方 故 云 大 也 至 者 極 也 
T85n2776_001:0438b21	治化萬機者。萬事之機微也。尚書云。兢兢	治 化 萬 機 者 萬 事 之 機 微 也 尚 書 云 兢 兢 
T85n2776_001:0438b22	業業一日二日萬機。此爰秦王善治國政垂	業 業 一 日 二 日 萬 機 此 爰 秦 王 善 治 國 政 垂 
T85n2776_001:0438b23	衣端拱而物自歸。雖處萬機之務而不失天	衣 端 拱 而 物 自 歸 雖 處 萬 機 之 務 而 不 失 天 
T85n2776_001:0438b24	運之化　揚道化於千載之下者。揚謂宣揚。	運 之 化 揚 道 化 於 千 載 之 下 者 揚 謂 宣 揚 
T85n2776_001:0438b25	化者法化也。千載者載年也。如來滅後一千	化 者 法 化 也 千 載 者 載 年 也 如來滅後 一 千 
T85n2776_001:0438b26	三百餘年。大乘至教方傳此土。秦主應茲住	三 百 餘 年 大 乘 至 教 方 傳 此 土 秦 主 應 茲 住 
T85n2776_001:0438b27	運故得廣崇法化也。則由俊神越世故能弘	運 故 得 廣 崇 法 化 也 則 由 俊 神 越 世 故 能 弘 
T85n2776_001:0438b28	至理於萬機。由玄心獨悟故能揚道化於千	至 理 於 萬 機 由 玄 心 獨 悟 故 能 揚 道 化 於 千 
T85n2776_001:0438b29	載。萬機之先故云上。千年之後故云下也。	載 萬 機 之 先 故 云 上 千 年 之 後 故 云 下 也 
T85n2776_001:0438c01	從此第二明重譯之意。每尋翫茲典以為栖	從 此 第 二 明 重 譯 之 意 每 尋 翫 茲 典 以 為 栖 
T85n2776_001:0438c02	神之宅□□□□□尋翫習者此也。典者經	神 之 宅 尋 翫 習 者 此 也 典 者 經 
T85n2776_001:0438c03	典也。以者用也。為者作也。栖者止息也。神	典 也 以 者 用 也 為 者 作 也 栖 者 止 息 也 神 
T85n2776_001:0438c04	□□□□□處也。下云畢竟空寂舍義因也。	 處 也 下 云 畢 竟 空 寂 舍 義 因 也 
T85n2776_001:0438c05	此明秦主得古譯經常披尋□□□□□□	此 明 秦 主 得 古 譯 經 常 披 尋 
T85n2776_001:0438c06	之所也。而攝支竺所出理滯於文者。支譯支	之 所 也 而 攝 支 竺 所 出 理 滯 於 文 者 支 譯 支 
T85n2776_001:0438c07	謙。竺謂法護也。理滯於□□□□□經支	謙 竺 謂 法 護 也 理 滯 於 經 支 
T85n2776_001:0438c08	謙所出以不來相而來為辱來。不見相而見	謙 所 出 以 不 來 相 而 來 為 辱 來 不 見 相 而 見 
T85n2776_001:0438c09	為相見等。此則大乘之理滯於譯者之文。何	為 相 見 等 此 則 大 乘 之 理 滯 於 譯 者 之 文 何 
T85n2776_001:0438c10	者如什所譯。經云不來相而來不見相而見。	者 如 什 所 譯 經 云 不 來 相 而 來 不 見 相 而 見 
T85n2776_001:0438c11	此則精於至理而應會之義不失。言辱來相	此 則 精 於 至 理 而 應 會 之 義 不 失 言 辱 來 相 
T85n2776_001:0438c12	見乃涉於浮俗。而理悟之道都捐如世人云	見 乃 涉 於 浮 俗 而 理 悟 之 道 都 捐 如 世 人 云 
T85n2776_001:0438c13	不面。在昔辱來相見。豈法身大士同俗執相	不 面 在 昔 辱 來 相 見 豈 法身大士 同 俗 執 相 
T85n2776_001:0438c14	見邪　常恐玄宗墜於譯人者。翻譯既乖經	見 邪 常 恐 玄 宗 墜 於 譯 人 者 翻 譯 既 乖 經 
T85n2776_001:0438c15	旨故。恐玄妙之宗墜於譯人之筆也。北天之	旨 故 恐 玄 妙 之 宗 墜 於 譯 人 之 筆 也 北 天 之 
T85n2776_001:0438c16	運運通有在者。北天者北天竺國也。運者動	運 運 通 有 在 者 北 天 者 北 天 竺 國 也 運 者 動 
T85n2776_001:0438c17	也轉也。如大品經云。明佛記此經我滅度後	也 轉 也 如 大 品 經 云 明 佛 記 此 經 我 滅 度 後 
T85n2776_001:0438c18	傳於南天。次至西天。後至北天。當沒於地。	傳 於 南 天 次 至 西 天 後 至 北 天 當 沒 於 地 
T85n2776_001:0438c19	據運數南天五百年西天五百年。方至北天。	據 運 數 南 天 五 百 年 西 天 五 百 年 方 至 北 天 
T85n2776_001:0438c20	此國即北天焉。國之東隅故。千年之後大教	此 國 即 北 天 焉 國 之 東 隅 故 千 年 之 後 大 教 
T85n2776_001:0438c21	合傳於此國。果佛言故曰通有在也。第二明	合 傳 於 此 國 果 佛 言 故 曰 通 有 在 也 第 二 明 
T85n2776_001:0438c22	譯時　以弘始八年歲次鶉火者。太歲在午	譯 時 以 弘 始 八 年 歲 次 鶉 火 者 太 歲 在 午 
T85n2776_001:0438c23	應曰敦[狂王+羊]。月在午方云鶉火。此以月號命年	應 曰 敦 [狂王羊] 月 在 午 方 云 鶉 火 此 以 月 號 命 年 
T85n2776_001:0438c24	故也。此出爾雅　命大將軍常山公者。姚	故 也 此 出 爾 雅 命 大 將 軍 常 山 公 者 姚 
T85n2776_001:0438c25	嵩也　安城侯者。姚顯也。常山安城即所封	嵩 也 安 城 侯 者 姚 顯 也 常 山 安 城 即 所 封 
T85n2776_001:0438c26	之邑也。公之與侯伯子男五等諸侯也。此即	之 邑 也 公 之 與 侯 伯 子 男 五 等 諸 侯 也 此 即 
T85n2776_001:0438c27	舉所封之號也　於常安大寺者。秦主諱長。	舉 所 封 之 號 也 於 常 安 大 寺 者 秦 主 諱 長 
T85n2776_001:0438c28	以是姚萇之子故曰常。此則譯經處也。大寺	以 是 姚 萇 之 子 故 曰 常 此 則 譯 經 處 也 大 寺 
T85n2776_001:0438c29	別處也。即草堂寺以草覆堂故云草堂。群僧	別 處 也 即 草 堂 寺 以 草 覆 堂 故 云 草 堂 群 僧 
T85n2776_001:0439a01	所集謂之大寺。皆當時之號非本名也　與	所 集 謂 之 大 寺 皆 當 時 之 號 非 本 名 也 與 
T85n2776_001:0439a02	義學沙門者。取善理之人簡餘學也。即生肇	義 學 沙 門 者 取 善 理 之 人 簡 餘 學 也 即 生 肇 
T85n2776_001:0439a03	融叡憑影嚴觀等千二百人皆一時之傑。各	融 叡 憑 影 嚴 觀 等 千 二 百 人 皆 一 時 之 傑 各 
T85n2776_001:0439a04	旨盛迹及西。請什公譯經等事廣如抄及傳	旨 盛 迹 及 西 請 什 公 譯 經 等 事 廣 如 抄 及 傳 
T85n2776_001:0439a05	述。從此第三明能譯人。分二。初舉人歎德後	述 從 此 第 三 明 能 譯 人 分 二 初 舉 人 歎 德 後 
T85n2776_001:0439a06	明譯經之意。初什公之一字舉人　以高世	明 譯 經 之 意 初 什 公 之 一 字 舉 人 以 高 世 
T85n2776_001:0439a07	之量等者。歎德也。即智量高遠出過於世故	之 量 等 者 歎 德 也 即 智 量 高 遠 出 過 於 世 故 
T85n2776_001:0439a08	云也　冥心真境者。心與理冥也　既盡環	云 也 冥 心 真 境 者 心 與 理 冥 也 既 盡 環 
T85n2776_001:0439a09	中者。智窮實相。即莊子云。摳始得其環中	中 者 智 窮 實 相 即 莊 子 云 摳 始 得 其 環 中 
T85n2776_001:0439a10	以應乎無窮。彼以是非為循環。此絕是非處	以 應 乎 無 窮 彼 以 是 非 為 循 環 此 絕 是 非 處 
T85n2776_001:0439a11	為環中。今借彼言以明實相也　又善方言	為 環 中 今 借 彼 言 以 明 實 相 也 又 善 方 言 
T85n2776_001:0439a12	者。善解梵漢二國方言也。從此第二譯經意	者 善 解 梵 漢 二 國 方 言 也 從 此 第 二 譯 經 意 
T85n2776_001:0439a13	　于時手執胡文口自宣譯。胡文者梵夾也。	 于 時 手 執 胡 文 口 自 宣 譯 胡 文 者 梵 夾 也 
T85n2776_001:0439a14	謂承梵天之餘訓言文者謬也。故南山尊宿	謂 承 梵 天 之 餘 訓 言 文 者 謬 也 故 南 山 尊 宿 
T85n2776_001:0439a15	云。猶是崑之一礫耳。什法師既閑兩國之言。	云 猶 是 崑 之 一 礫 耳 什 法 師 既 閑 兩 國 之 言 
T85n2776_001:0439a16	故口自翻譯也　道俗虔虔者。道謂義學沙	故 口 自 翻 譯 也 道 俗 虔 虔 者 道 謂 義 學 沙 
T85n2776_001:0439a17	門。俗謂儒宗詞伯也。皆是因證義人也。虔	門 俗 謂 儒 宗 詞 伯 也 皆 是 因 證 義 人 也 虔 
T85n2776_001:0439a18	虔者。虔者敬也　再言者表誠敬之志　一	虔 者 虔 者 敬 也 再 言 者 表 誠 敬 之 志 一 
T85n2776_001:0439a19	言三復者。謂再審定其義也。故論語南客	言 三 復 者 謂 再 審 定 其 義 也 故 論 語 南 客 
T85n2776_001:0439a20	三復白珪故云白珪之點尚可磨。斯言之點	三 復 白 珪 故 云 白 珪 之 點 尚 可 磨 斯 言 之 點 
T85n2776_001:0439a21	不可為。故讀詩至此皆三復也。今取彼言耳。	不 可 為 故 讀 詩 至 此 皆 三 復 也 今 取 彼 言 耳 
T85n2776_001:0439a22	謂文詮正理用軌物。心得意則道果由成。失	謂 文 詮 正 理 用 軌 物 心 得 意 則 道 果 由 成 失 
T85n2776_001:0439a23	旨則諸見從起。故須三復也　陶冶精求粉	旨 則 諸 見 從 起 故 須 三 復 也 陶 冶 精 求 粉 
T85n2776_001:0439a24	存聖意者。合土日陶。鎔金名冶。此喻也。如	存 聖 意 者 合 土 日 陶 鎔 金 名 冶 此 喻 也 如 
T85n2776_001:0439a25	陶師之埏填簡除沙鹵。若金師之鎔鑄直取	陶 師 之 埏 填 簡 除 沙 鹵 若 金 師 之 鎔 鑄 直 取 
T85n2776_001:0439a26	精純。故能成其器用也。今亦如是簡去繁言	精 純 故 能 成 其 器 用 也 今 亦 如 是 簡 去 繁 言 
T85n2776_001:0439a27	直詮聖旨以成無上法寶也。此明譯經之意	直 詮 聖 旨 以 成 無 上 法 寶 也 此 明 譯 經 之 意 
T85n2776_001:0439a28	也。從此第四所譯法　其文約而詣其旨婉	也 從 此 第 四 所 譯 法 其 文 約 而 詣 其 旨 婉 
T85n2776_001:0439a29	而彰者。約謂省約。詣謂至也。此明文雖省	而 彰 者 約 謂 省 約 詣 謂 至 也 此 明 文 雖 省 
T85n2776_001:0439b01	約而理詣實相。旨婉而彰者意也。婉順也。彰	約 而 理 詣 實 相 旨 婉 而 彰 者 意 也 婉 順 也 彰 
T85n2776_001:0439b02	明也。即如智度菩薩母等偈。意則婉順理。又	明 也 即 如 智 度 菩 薩 母 等 偈 意 則 婉 順 理 又 
T85n2776_001:0439b03	彰明前序。明古人未融大觀故理蹇闕。通方	彰 明 前 序 明 古 人 未 融 大 觀 故 理 蹇 闕 通 方 
T85n2776_001:0439b04	言故詞疎。今以什公盡環中故旨婉而彰。善	言 故 詞 疎 今 以 什 公 盡 環 中 故 旨 婉 而 彰 善 
T85n2776_001:0439b05	方言故文約而詣故　微遠之言於茲顯然。	方 言 故 文 約 而 詣 故 微 遠 之 言 於 茲 顯 然 
T85n2776_001:0439b06	微謂幽微也。老子云。搏之不得名曰微也。遠	微 謂 幽 微 也 老 子 云 搏 之 不 得 名 曰 微 也 遠 
T85n2776_001:0439b07	謂深遠。顯然者明也。此明實相之理。雖深	謂 深 遠 顯 然 者 明 也 此 明 實 相 之 理 雖 深 
T85n2776_001:0439b08	固幽遠。然由翻譯得旨遂使顯然。此爰翻傳	固 幽 遠 然 由 翻 譯 得 旨 遂 使 顯 然 此 爰 翻 傳 
T85n2776_001:0439b09	之得意也。從此第四彰注解所以。翻譯既	之 得 意 也 從 此 第 四 彰 注 解 所 以 翻 譯 既 
T85n2776_001:0439b10	明理雖易見。傳之未悟猶恐難通。故須注解	明 理 雖 易 見 傳 之 未 悟 猶 恐 難 通 故 須 注 解 
T85n2776_001:0439b11	以開後學。文二。初述謙辭。二明注意　初中	以 開 後 學 文 二 初 述 謙 辭 二 明 注 意 初 中 
T85n2776_001:0439b12	余以闇短者余我也。以為也。闇謂愚闇。短謂	余 以 闇 短 者 余 我 也 以 為 也 闇 謂 愚 闇 短 謂 
T85n2776_001:0439b13	短淺也　時預聽次者。謂參預也。什法師譯	短 淺 也 時 預 聽 次 者 謂 參 預 也 什 法 師 譯 
T85n2776_001:0439b14	經之時。隨講肇公親承德音。故云時預聽次	經 之 時 隨 講 肇 公 親 承 德 音 故 云 時 預 聽 次 
T85n2776_001:0439b15	也　雖思乏參玄者。思者智思也。乏者少也。	也 雖 思 乏 參 玄 者 思 者 智 思 也 乏 者 少 也 
T85n2776_001:0439b16	參者涉也。玄者實相理也。謂心不悟理故云	參 者 涉 也 玄 者 實 相 理 也 謂 心 不 悟 理 故 云 
T85n2776_001:0439b17	也　然麁得文意者。言雖非精詣而粗知指	也 然 麁 得 文 意 者 言 雖 非 精 詣 而 粗 知 指 
T85n2776_001:0439b18	歸耳　輒順所聞為之注解者。輒謂自專也。	歸 耳 輒 順 所 聞 為 之 注 解 者 輒 謂 自 專 也 
T85n2776_001:0439b19	為者作也。略記成言述而不作者。記謂記錄。	為 者 作 也 略 記 成 言 述 而 不 作 者 記 謂 記 錄 
T85n2776_001:0439b20	誠言有二。或作成字。成立此經。經之言或	誠 言 有 二 或 作 成 字 成 立 此 經 經 之 言 或 
T85n2776_001:0439b21	作誠字。成者實也當也。記什公誠當之言以	作 誠 字 成 者 實 也 當 也 記 什 公 誠 當 之 言 以 
T85n2776_001:0439b22	解此經也　述而無作者。論語云。述而無作	解 此 經 也 述 而 無 作 者 論 語 云 述 而 無 作 
T85n2776_001:0439b23	信而好古。意明唯聖作法余但述古人之言。	信 而 好 古 意 明 唯 聖 作 法 余 但 述 古 人 之 言 
T85n2776_001:0439b24	非敢自作也。二明注解所意　庶將來君子	非 敢 自 作 也 二 明 注 解 所 意 庶 將 來 君 子 
T85n2776_001:0439b25	異世同焉者。庶望也。將來謂當來也。君子	異 世 同 焉 者 庶 望 也 將 來 謂 當 來 也 君 子 
T85n2776_001:0439b26	簡異小人。老子云。上士聞道懃而行之。中士	簡 異 小 人 老 子 云 上 士 聞 道 懃 而 行 之 中 士 
T85n2776_001:0439b27	聞道若存若亡。下士聞道而大笑之。小人既	聞 道 若 存 若 亡 下 士 聞 道 而 大 笑 之 小 人 既 
T85n2776_001:0439b28	不能奉行。故但言君子。此言不必簡棄意。欲	不 能 奉 行 故 但 言 君 子 此 言 不 必 簡 棄 意 欲 
T85n2776_001:0439b29	勸勉令自強耳。異世同聞者雖現世未來時	勸 勉 令 自 強 耳 異 世 同 聞 者 雖 現 世 未 來 時 
T85n2776_001:0439c01	後俗易聞經證悟獲益不殊故云也。余以大	後 俗 易 聞 經 證 悟 獲 益 不 殊 故 云 也 余 以 大 
T85n2776_001:0439c02	歷二年春正月於資聖寺傳經之次記其所聞	歷 二 年 春 正 月 於 資 聖 寺 傳 經 之 次 記 其 所 聞 
T85n2776_001:0439c03	以補多忘。庶來悟義伯無誚斐然矣。	以 補 多 忘 庶 來 悟 義 伯 無 誚 斐 然 矣 
T85n2776_001:0439c04	崇福寺沙門體請記	崇 福 寺 沙 門 體 請 記 
T85n2776_001:0439c06	釋肇序略分四	釋 肇 序 略 分 四 
T85n2776_001:0439c07	初通本迹分二	初 通 本 迹 分 二 
T85n2776_001:0439c08	初標名總歎	初 標 名 總 歎 
T85n2776_001:0439c09	初標名總歎	初 標 名 總 歎 
T85n2776_001:0439c10	二歷法別明	二 歷 法 別 明 
T85n2776_001:0439c11	三總彰功益	三 總 彰 功 益 
T85n2776_001:0439c12	二歷法別明	二 歷 法 別 明 
T85n2776_001:0439c13	初明妄計	初 明 妄 計 
T85n2776_001:0439c14	二總結彰非	二 總 結 彰 非 
T85n2776_001:0439c15	二別辨教興分三	二 別 辨 教 興 分 三 
T85n2776_001:0439c16	初集同弘人	初 集 同 弘 人 
T85n2776_001:0439c17	二明所弘教分三	二 明 所 弘 教 分 三 
T85n2776_001:0439c18	初明本不思議	初 明 本 不 思 議 
T85n2776_001:0439c19	二明迹不思議	二 明 迹 不 思 議 
T85n2776_001:0439c20	三明本迹合不思議	三 明 本 迹 合 不 思 議 
T85n2776_001:0439c21	三明經題目	三 明 經 題 目 
T85n2776_001:0439c22	三明重譯之由分四	三 明 重 譯 之 由 分 四 
T85n2776_001:0439c23	初明譯經主分二	初 明 譯 經 主 分 二 
T85n2776_001:0439c24	初舉人歎德	初 舉 人 歎 德 
T85n2776_001:0439c25	二明重譯之意	二 明 重 譯 之 意 
T85n2776_001:0439c26	二明譯經時	二 明 譯 經 時 
T85n2776_001:0440a01	三明能譯人分二	三 明 能 譯 人 分 二 
T85n2776_001:0440a02	初舉人歎德	初 舉 人 歎 德 
T85n2776_001:0440a03	二譯經之意	二 譯 經 之 意 
T85n2776_001:0440a04	四明所譯法	四 明 所 譯 法 
T85n2776_001:0440a05	四彰注解所以分二	四 彰 注 解 所 以 分 二 
T85n2776_001:0440a06	初述謙辭	初 述 謙 辭 
