T45n1857_001:0143b14	寶藏論	寶 藏 論 
T45n1857_001:0144a08	則眾現。不出不沒。用無有間。有心無形。有用	則 眾 現 不 出 不 沒 用 無 有 間 有 心 無 形 有 用 
T45n1857_001:0144a09	無人。示生無生。示身無身。常測不測。常識不	無 人 示 生 無 生 示 身 無 身 常 測 不 測 常 識 不 
T45n1857_001:0144a10	識。為而無為。得而無得。鏡象千端。水質萬	識 為 而 無 為 得 而 無 得 鏡 象 千 端 水 質 萬 
T45n1857_001:0144a11	色。影分塵界。應用無極。無形而形。無名而	色 影 分 塵 界 應 用 無 極 無 形 而 形 無 名 而 
T45n1857_001:0144a12	名。物類相感。和合而生。生而不生。其無有	名 物 類 相 感 和 合 而 生 生 而 不 生 其 無 有 
T45n1857_001:0144a13	情。眾謂之聖。眾謂之明。種種稱號。各任其	情 眾 謂 之 聖 眾 謂 之 明 種 種 稱 號 各 任 其 
T45n1857_001:0144a14	名。然其實也。以無為為宗。無相為容。等清	名 然 其 實 也 以 無 為 為 宗 無 相 為 容 等 清 
T45n1857_001:0144a15	虛。同太空。究無處所。用在其中。其得者一。	虛 同 太 空 究 無 處 所 用 在 其 中 其 得 者 一 
T45n1857_001:0144a16	其證者密。得則不一。證則不密。然非不一。然	其 證 者 密 得 則 不 一 證 則 不 密 然 非 不 一 然 
T45n1857_001:0144a17	非不密。其體陰離。其用陽微。言不盡理。行不	非 不 密 其 體 陰 離 其 用 陽 微 言 不 盡 理 行 不 
T45n1857_001:0144a18	盡儀。斯可謂太微。夫山草無窮。泉水無竭。谷	盡 儀 斯 可 謂 太 微 夫 山 草 無 窮 泉 水 無 竭 谷 
T45n1857_001:0144a19	風無休。鐘聲無歇。物尚如斯。何況道乎。有必	風 無 休 鐘 聲 無 歇 物 尚 如 斯 何 況 道 乎 有 必 
T45n1857_001:0144a20	速亡。無必久長。天地雖變。虛空獨常。夫學道	速 亡 無 必 久 長 天 地 雖 變 虛 空 獨 常 夫 學 道 
T45n1857_001:0144a21	者習無餘。不學道者習有餘。無餘道近。有餘	者 習 無 餘 不 學 道 者 習 有 餘 無 餘 道 近 有 餘 
T45n1857_001:0144a22	道疎。知有有壞。知無無敗。真知之知。有無不	道 疎 知 有 有 壞 知 無 無 敗 真 知 之 知 有 無 不 
T45n1857_001:0144a23	計。於有不有。於無不無。有無不見。性相如	計 於 有 不 有 於 無 不 無 有 無 不 見 性 相 如 
T45n1857_001:0144a24	如。閴然無物。而乃用出。若不如是。多妄多	如 閴 然 無 物 而 乃 用 出 若 不 如 是 多 妄 多 
T45n1857_001:0144a25	失。中有夢慮。主習眾疾。非凶為凶。非吉為	失 中 有 夢 慮 主 習 眾 疾 非 凶 為 凶 非 吉 為 
T45n1857_001:0144a26	吉。吉凶之事。翳障真一。故為道者。不可以同	吉 吉 凶 之 事 翳 障 真 一 故 為 道 者 不 可 以 同 
T45n1857_001:0144a27	迷。夫學道者有三。其一謂之真。其二謂之隣。	迷 夫 學 道 者 有 三 其 一 謂 之 真 其 二 謂 之 隣 
T45n1857_001:0144a28	其三謂之聞。習學謂之聞。絕學謂之隣。過此	其 三 謂 之 聞 習 學 謂 之 聞 絕 學 謂 之 隣 過 此 
T45n1857_001:0144a29	二者謂之真。不學道者亦有三。其上謂之祥。	二 者 謂 之 真 不 學 道 者 亦 有 三 其 上 謂 之 祥 
T45n1857_001:0144b01	其次謂之良。其下謂之殃。極樂謂之良。極苦	其 次 謂 之 良 其 下 謂 之 殃 極 樂 謂 之 良 極 苦 
T45n1857_001:0144b02	謂之殃。不苦不樂謂之祥。然此三者皆不入	謂 之 殃 不苦不樂 謂 之 祥 然 此 三 者 皆 不 入 
T45n1857_001:0144b03	真。常斯為不道。騰神浩浩。風海波濤。心塵動	真 常 斯 為 不 道 騰 神 浩 浩 風 海 波 濤 心 塵 動 
T45n1857_001:0144b04	擾。悲哉哀哉。三界輪迴。出沒生死。六道去	擾 悲 哉 哀 哉 三 界 輪 迴 出 沒 生 死 六 道 去 
T45n1857_001:0144b05	來。不可以道濟。不可以真携。乘聖共愍。如	來 不 可 以 道 濟 不 可 以 真 携 乘 聖 共 愍 如 
T45n1857_001:0144b06	母念孩。所以偃化非時。忍待有機。大道如此。	母 念 孩 所 以 偃 化 非 時 忍 待 有 機 大 道 如 此 
T45n1857_001:0144b07	古今同儀。不可以率爾。不可以驅馳。神中有	古 今 同 儀 不 可 以 率 爾 不 可 以 驅 馳 神 中 有 
T45n1857_001:0144b08	智。智中有悲。悲救不得。徒自困疲。然謂可	智 智 中 有 悲 悲 救 不 得 徒 自 困 疲 然 謂 可 
T45n1857_001:0144b09	度。復事如故。察察精勤。恒興夢慮。惶惶外	度 復 事 如 故 察 察 精 勤 恒 興 夢 慮 惶 惶 外 
T45n1857_001:0144b10	覓。轉失玄路。濁辱清虛。情存有處。哀哉苦	覓 轉 失 玄 路 濁 辱 清 虛 情 存 有 處 哀 哉 苦 
T45n1857_001:0144b11	哉。不離煩務。夫日隱雲中。雖明而不照。智藏	哉 不 離 煩 務 夫 日 隱 雲 中 雖 明 而 不 照 智 藏 
T45n1857_001:0144b12	惑中。雖真而不道。何以然者。自未出纏也。是	惑 中 雖 真 而 不 道 何 以 然 者 自 未 出 纏 也 是 
T45n1857_001:0144b13	故疎不可會。親不可離。其未道者。不可妄為。	故 疎 不 可 會 親 不 可 離 其 未 道 者 不 可 妄 為 
T45n1857_001:0144b14	夫決歸者。而不顧於後。決戰者而不顧於首。	夫 決 歸 者 而 不 顧 於 後 決 戰 者 而 不 顧 於 首 
T45n1857_001:0144b15	決學者而不貴於身。決道者而不貴於事。其	決 學 者 而 不 貴 於 身 決 道 者 而 不 貴 於 事 其 
T45n1857_001:0144b16	入無跡。其出無覓。了無所得。攀緣自寂。寂而	入 無 跡 其 出 無 覓 了 無 所 得 攀 緣 自 寂 寂 而 
T45n1857_001:0144b17	不生。自體無名。無名之朴。理無外欲。恒沙功	不 生 自 體 無 名 無 名 之 朴 理 無 外 欲 恒 沙 功 
T45n1857_001:0144b18	德。宛然自足。夫殼居者。不知宇宙之寬大。形	德 宛 然 自 足 夫 殼 居 者 不 知 宇 宙 之 寬 大 形 
T45n1857_001:0144b19	處者。不知虛空之廣大。故晦中無明。明中無	處 者 不 知 虛 空 之 廣 大 故 晦 中 無 明 明 中 無 
T45n1857_001:0144b20	晦。諸法念念。各不相待。物隔情離。違情難	晦 諸 法 念 念 各 不 相 待 物 隔 情 離 違 情 難 
T45n1857_001:0144b21	會。夫赤棗含蟲。內壞外隆。沙水同流。上清下	會 夫 赤 棗 含 蟲 內 壞 外 隆 沙 水 同 流 上 清 下 
T45n1857_001:0144b22	稠。國藏於佞。天下不政。形藏於心。萬物皆	稠 國 藏 於 佞 天 下 不 政 形 藏 於 心 萬 物 皆 
T45n1857_001:0144b23	淫。所以然者。以其有病也。故物有靈。靈必有	淫 所 以 然 者 以 其 有 病 也 故 物 有 靈 靈 必 有 
T45n1857_001:0144b24	妖。妖必有欲。欲必有心。心必有情。情動為	妖 妖 必 有 欲 欲 必 有 心 心 必 有 情 情 動 為 
T45n1857_001:0144b25	欲。妖發為精。精惑於神。欲惑於真。故為道	欲 妖 發 為 精 精 惑 於 神 欲 惑 於 真 故 為 道 
T45n1857_001:0144b26	者。不可以隣。夫古鏡照精。其精自形。古教照	者 不 可 以 隣 夫 古 鏡 照 精 其 精 自 形 古 教 照 
T45n1857_001:0144b27	心。其心自明。夫約天地為上下。約日月為東	心 其 心 自 明 夫 約 天 地 為 上 下 約 日 月 為 東 
T45n1857_001:0144b28	西。約身為彼此。約心為是非。若無彼此。是	西 約 身 為 彼 此 約 心 為 是 非 若 無 彼 此 是 
T45n1857_001:0144b29	非何為。但以物隨情變。情逐物移。內外搖動。	非 何 為 但 以 物 隨 情 變 情 逐 物 移 內 外 搖 動 
T45n1857_001:0144c01	識物乘馳。其生也人。其死也魂。相似相續。夢	識 物 乘 馳 其 生 也 人 其 死 也 魂 相 似 相 續 夢 
T45n1857_001:0144c02	有形身。實彼非此。實此非彼。鳥跡空文。奇特	有 形 身 實 彼 非 此 實 此 非 彼 鳥 跡 空 文 奇 特 
T45n1857_001:0144c03	以現。難思難議。陰報陽施。冥道罔象。因果自	以 現 難 思 難 議 陰 報 陽 施 冥 道 罔 象 因 果 自 
T45n1857_001:0144c04	縻。其事如幻。種種模面。焰水乾城。都無實	縻 其 事 如 幻 種 種 模 面 焰 水 乾 城 都 無 實 
T45n1857_001:0144c05	現。斯謂不真。惑亂餘人。清虛之理。畢竟無	現 斯 謂 不 真 惑 亂 餘 人 清 虛 之 理 畢 竟 無 
T45n1857_001:0144c06	身。夫神通變化者。其猶於龍昇天。覆宇宙	身 夫 神通變化 者 其 猶 於 龍 昇 天 覆 宇 宙 
T45n1857_001:0144c07	者其猶於雲凝。斯未可貴。斯未可真。若取其	者 其 猶 於 雲 凝 斯 未 可 貴 斯 未 可 真 若 取 其 
T45n1857_001:0144c08	為實者。而未為道也。或有形而麗。或有語而	為 實 者 而 未 為 道 也 或 有 形 而 麗 或 有 語 而 
T45n1857_001:0144c09	辨。或有智而聰。或有用而巧。若取以為道者。	辨 或 有 智 而 聰 或 有 用 而 巧 若 取 以 為 道 者 
T45n1857_001:0144c10	亦未為善也。有必不真。作必不常。乾坤尚壞。	亦 未 為 善 也 有 必 不 真 作 必 不 常 乾 坤 尚 壞 
T45n1857_001:0144c11	器物何剛。唯道無根。虛湛常存。唯道無體。微	器 物 何 剛 唯 道 無 根 虛 湛 常 存 唯 道 無 體 微 
T45n1857_001:0144c12	妙常真。唯道無事。古今常貴。唯道無心。萬物	妙 常 真 唯 道 無 事 古 今 常 貴 唯 道 無 心 萬 物 
T45n1857_001:0144c13	圓備。故道無相無形。無事無意無心。善利群	圓 備 故 道 無 相 無 形 無 事 無 意 無 心 善 利 群 
T45n1857_001:0144c14	品。率益人倫。可謂一切物無不賓。夫萬物有	品 率 益 人 倫 可 謂 一 切 物 無 不 賓 夫 萬 物 有 
T45n1857_001:0144c15	侶。唯道獨存。其外無他。其內無復。無內無	侶 唯 道 獨 存 其 外 無 他 其 內 無 復 無 內 無 
T45n1857_001:0144c16	外。包含太一。該羅八冥。周備萬物。其狀也非	外 包 含 太 一 該 羅 八 冥 周 備 萬 物 其 狀 也 非 
T45n1857_001:0144c17	內非外。非小非大。非一非異。非明非昧非生	內 非 外 非 小 非 大 非一非異 非 明 非 昧 非 生 
T45n1857_001:0144c18	非滅。非麁非細。非空非有。非開非閉。非上非	非 滅 非 麁 非 細 非 空 非 有 非 開 非 閉 非 上 非 
T45n1857_001:0144c19	下。非成非壞。非動非靜。非歸非逝。非深非	下 非 成 非 壞 非 動 非 靜 非 歸 非 逝 非 深 非 
T45n1857_001:0144c20	淺。非愚非慧。非違非順。非通非塞。非貧非	淺 非 愚 非 慧 非 違 非 順 非 通 非 塞 非 貧 非 
T45n1857_001:0144c21	富。非新非故。非好非弊。非剛非柔。非獨非	富 非 新 非 故 非 好 非 弊 非 剛 非 柔 非 獨 非 
T45n1857_001:0144c22	對。所以然者。若言其內。通含法界。若言其	對 所 以 然 者 若 言 其 內 通 含 法 界 若 言 其 
T45n1857_001:0144c23	外。備應形載。若言其小。包裹彌遠。若言其	外 備 應 形 載 若 言 其 小 包 裹 彌 遠 若 言 其 
T45n1857_001:0144c24	大。復入塵界。若言其一。各任其質。若言其	大 復 入 塵 界 若 言 其 一 各 任 其 質 若 言 其 
T45n1857_001:0144c25	異。妙體無物。若言其明。杳杳冥冥。若言其	異 妙 體 無 物 若 言 其 明 杳 杳 冥 冥 若 言 其 
T45n1857_001:0144c26	昧。朗照徹明。若言其生。無狀無形。若言其	昧 朗 照 徹 明 若 言 其 生 無 狀 無 形 若 言 其 
T45n1857_001:0144c27	滅。今古常靈。若言其麁。束入塵盧。若言其	滅 今 古 常 靈 若 言 其 麁 束 入 塵 盧 若 言 其 
T45n1857_001:0144c28	細。山嶽之軀。若言其空。萬用在中。若言其	細 山 嶽 之 軀 若 言 其 空 萬 用 在 中 若 言 其 
T45n1857_001:0144c29	有。閴然無容。若言其開。不入塵埃。若言其	有 閴 然 無 容 若 言 其 開 不 入 塵 埃 若 言 其 
T45n1857_001:0145a01	閉。義出無際。若言其上。平等無相。若言其	閉 義 出 無 際 若 言 其 上 平 等 無 相 若 言 其 
T45n1857_001:0145a02	下。物莫能況。若言其成。撲散眾星。若言其	下 物 莫 能 況 若 言 其 成 撲 散 眾 星 若 言 其 
T45n1857_001:0145a03	壞。鎮古常在。若言其動。湛然凝重。若言其	壞 鎮 古 常 在 若 言 其 動 湛 然 凝 重 若 言 其 
T45n1857_001:0145a04	靜。忙忙物聳。若言其歸。往而不辭。若言其	靜 忙 忙 物 聳 若 言 其 歸 往 而 不 辭 若 言 其 
T45n1857_001:0145a05	逝。應物還來。若言其深。萬物同任。若言其	逝 應 物 還 來 若 言 其 深 萬 物 同 任 若 言 其 
T45n1857_001:0145a06	淺。根不可尋。若言其愚。計用萬途。若言其	淺 根 不 可 尋 若 言 其 愚 計 用 萬 途 若 言 其 
T45n1857_001:0145a07	慧。寂寞無餘。若言其違。有信有依。若言其	慧 寂 寞 無 餘 若 言 其 違 有 信 有 依 若 言 其 
T45n1857_001:0145a08	順。物莫能羈。若言其通。不達微踪。若言其	順 物 莫 能 羈 若 言 其 通 不 達 微 踪 若 言 其 
T45n1857_001:0145a09	塞。出入虛容。若言其貧。萬德千珍。若言其	塞 出 入 虛 容 若 言 其 貧 萬 德 千 珍 若 言 其 
T45n1857_001:0145a10	富。曠絕無人。若言其新。自古宿因。若言其	富 曠 絕 無 人 若 言 其 新 自 古 宿 因 若 言 其 
T45n1857_001:0145a11	故。物莫能污。若言其好。無物可保。若言其	故 物 莫 能 污 若 言 其 好 無 物 可 保 若 言 其 
T45n1857_001:0145a12	弊。物始依然。若言其剛。摧挫不傷。若言其	弊 物 始 依 然 若 言 其 剛 摧 挫 不 傷 若 言 其 
T45n1857_001:0145a13	柔。力屈不尫。若言其獨。恒沙物族。若言其	柔 力 屈 不 尫 若 言 其 獨 恒 沙 物 族 若 言 其 
T45n1857_001:0145a14	對。真一孤轂。故道不可以一名言。理不可	對 真 一 孤 轂 故 道 不 可 以 一 名 言 理 不 可 
T45n1857_001:0145a15	以一義宣。蓋略陳其說。何能以盡其邊。是以	以 一 義 宣 蓋 略 陳 其 說 何 能 以 盡 其 邊 是 以 
T45n1857_001:0145a16	斬首灰形。其無以損生。金丹玉液。其無以養	斬 首 灰 形 其 無 以 損 生 金 丹 玉 液 其 無 以 養 
T45n1857_001:0145a17	生。故真生不滅。真滅不生。可謂常滅。可謂常	生 故 真 生 不 滅 真 滅 不 生 可 謂 常 滅 可 謂 常 
T45n1857_001:0145a18	生。其有愛生惡滅者。斯不悟常滅。愛滅惡生	生 其 有 愛 生 惡 滅 者 斯 不 悟 常 滅 愛 滅 惡 生 
T45n1857_001:0145a19	者。斯不悟常生。其迷悟二名。不見真成。取捨	者 斯 不 悟 常 生 其 迷 悟 二 名 不 見 真 成 取 捨 
T45n1857_001:0145a20	之意。隨虛妄情。故常空不有。常有不空。兩不	之 意 隨 虛 妄 情 故 常 空 不 有 常 有 不 空 兩 不 
T45n1857_001:0145a21	相待。句句皆宗。是以聖人。隨有道有。隨空道	相 待 句 句 皆 宗 是 以 聖 人 隨 有 道 有 隨 空 道 
T45n1857_001:0145a22	空。空不乖有。有不乖空。兩語無病。二義雙	空 空 不 乖 有 有 不 乖 空 兩 語 無 病 二 義 雙 
T45n1857_001:0145a23	通。乃至說我。亦不乖無我。乃至說事。亦不	通 乃 至 說 我 亦 不 乖 無 我 乃 至 說 事 亦 不 
T45n1857_001:0145a24	乖無事。以故不為言語之所轉也。夫鑄金為	乖 無 事 以 故 不 為 言 語 之 所 轉 也 夫 鑄 金 為 
T45n1857_001:0145a25	人。但觀其人。不覩其金。其名也迷。其相也	人 但 觀 其 人 不 覩 其 金 其 名 也 迷 其 相 也 
T45n1857_001:0145a26	惑。所以然者。皆失乎真。然則一切皆幻。虛妄	惑 所 以 然 者 皆 失 乎 真 然 則 一 切 皆 幻 虛 妄 
T45n1857_001:0145a27	不實。知幻是幻。守真抱一。不染外物。清虛太	不 實 知 幻 是 幻 守 真 抱 一 不 染 外 物 清 虛 太 
T45n1857_001:0145a28	一。其何有失。亡心喪意。體離眾疾。一相不	一 其 何 有 失 亡 心 喪 意 體 離 眾 疾 一 相 不 
T45n1857_001:0145a29	生。寂靜凶吉。吉猶不隨。凶何所為。吉凶之	生 寂 靜 凶 吉 吉 猶 不 隨 凶 何 所 為 吉 凶 之 
T45n1857_001:0145b01	事。二俱無依。夫入道之徑。內虛外淨。如水凝	事 二 俱 無 依 夫 入 道 之 徑 內 虛 外 淨 如 水 凝 
T45n1857_001:0145b02	澄。萬象光映。其意不沈。其心不浮。不出不	澄 萬 象 光 映 其 意 不 沈 其 心 不 浮 不 出 不 
T45n1857_001:0145b03	入。湛寂自如。內外不干。識物不關。各任其	入 湛 寂 自 如 內 外 不 干 識 物 不 關 各 任 其 
T45n1857_001:0145b04	一。復何用言。夫火不待日而熱。風不待月而	一 復 何 用 言 夫 火 不 待 日 而 熱 風 不 待 月 而 
T45n1857_001:0145b05	涼。堅石處水。天瞽猶光。明暗自爾。乾濕同	涼 堅 石 處 水 天 瞽 猶 光 明 暗 自 爾 乾 濕 同 
T45n1857_001:0145b06	方。物尚不相借。何況道乎。王以萬有為人。人	方 物 尚 不 相 借 何 況 道 乎 王 以 萬 有 為 人 人 
T45n1857_001:0145b07	歸於王。王依於人。合者同一。其名曰佛。三界	歸 於 王 王 依 於 人 合 者 同 一 其 名 曰 佛 三 界 
T45n1857_001:0145b08	獨尊。覺了無物。非作而作。所作已畢。天人之	獨 尊 覺 了 無 物 非 作 而 作 所 作 已 畢 天 人 之 
T45n1857_001:0145b09	師正遍知悉。權應形事。引導眾疾。理靜虛無。	師 正 遍 知 悉 權 應 形 事 引 導 眾 疾 理 靜 虛 無 
T45n1857_001:0145b10	光超慧日。普照十方。上同下吉。不欲異人。不	光 超 慧 日 普 照 十 方 上 同 下 吉 不 欲 異 人 不 
T45n1857_001:0145b11	欲異塵。不欲異義。不欲異因。平等不二。圓通	欲 異 塵 不 欲 異 義 不 欲 異 因 平 等 不 二 圓 通 
T45n1857_001:0145b12	一身。可謂大象之真。其理難見。假設方便。數	一 身 可 謂 大 象 之 真 其 理 難 見 假 設 方 便 數 
T45n1857_001:0145b13	詰言論。任物而現。夫欲外者塵。欲內者身。欲	詰 言 論 任 物 而 現 夫 欲 外 者 塵 欲 內 者 身 欲 
T45n1857_001:0145b14	聞者心。取塵者為欲界。依形身者為色界。依	聞 者 心 取 塵 者 為 欲 界 依 形 身 者 為 色 界 依 
T45n1857_001:0145b15	計心者為無色界。滅此三者。名為道諦。諦滅	計 心 者 為 無 色 界 滅 此 三 者 名 為 道 諦 諦 滅 
T45n1857_001:0145b16	者為道也。然此道者。權未正也。虛兮妄兮。三	者 為 道 也 然 此 道 者 權 未 正 也 虛 兮 妄 兮 三 
T45n1857_001:0145b17	界不實。幻兮夢兮。六道無物。不遣一法。不得	界 不 實 幻 兮 夢 兮 六 道 無 物 不 遣 一 法 不 得 
T45n1857_001:0145b18	一法。不修一法。不證一法。性淨天真。而謂大	一 法 不 修 一 法 不 證 一 法 性 淨 天 真 而 謂 大 
T45n1857_001:0145b19	道乎。是以遍觀天下。莫非真人。孰得此理。同	道 乎 是 以 遍 觀 天 下 莫 非 真 人 孰 得 此 理 同 
T45n1857_001:0145b20	其一倫。其學者希。其得者微。可謂渺漠而	其 一 倫 其 學 者 希 其 得 者 微 可 謂 渺 漠 而 
T45n1857_001:0145b21	難知。其知者師。其化者夷。無心動作。作而無	難 知 其 知 者 師 其 化 者 夷 無 心 動 作 作 而 無 
T45n1857_001:0145b22	為。無為而為。無所不為。和光任物。物無所	為 無 為 而 為 無 所 不 為 和 光 任 物 物 無 所 
T45n1857_001:0145b23	羈。夫天地之內。宇宙之間。中有一寶。祕在形	羈 夫 天 地 之 內 宇 宙 之 間 中 有 一 寶 祕 在 形 
