X58n1020_001:0589c06	斥謬	斥 謬 
X58n1020_001:0590b13	今實於理昭著既云昔權則法華以前皆昔權也如	今 實 於 理 昭 著 既 云 昔 權 則 法 華 以 前 皆 昔 權 也 如 
X58n1020_001:0590b14	何却云破會不盡以此驗之真不曉也然恐入道淺	何 却 云 破 會 不 盡 以 此 驗 之 真 不 曉 也 然 恐 入 道 淺 
X58n1020_001:0590b15	者猶豫故作斥謬以辨之。	者 猶 豫 故 作 斥 謬 以 辨 之 
X58n1020_001:0590b16	又云圓覺圭山判頓教為一乘者乃有所由似至相	又 云 圓 覺 圭 山 判 頓 教 為 一 乘 者 乃 有 所 由 似 至 相 
X58n1020_001:0590b17	孔目三一章頓教獨一所以判屬一乘諸主皆為至	孔 目 三 一 章 頓 教 獨 一 所 以 判 屬 一 乘 諸 主 皆 為 至 
X58n1020_001:0590b18	要之說此言非也彼約五乘有三種人天共一等頓	要 之 說 此 言 非 也 彼 約 五 乘 有 三 種 人 天 共 一 等 頓 
X58n1020_001:0590b19	教獨一一乘獨一上三與二種共下二但單約一種	教 獨 一 一 乘 獨 一 上 三 與 二 種 共 下 二 但 單 約 一 種 
X58n1020_001:0590b20	故云獨一豈是將頓教為一乘乎彼又曰楞伽為離	故 云 獨 一 豈 是 將 頓 教 為 一 乘 乎 彼 又 曰 楞 伽 為 離 
X58n1020_001:0590b21	相一乘且如教章乘教中列一乘有五豈謂教章以	相 一 乘 且 如 教 章 乘 教 中 列 一 乘 有 五 豈 謂 教 章 以 
X58n1020_001:0590b22	始終頓為一乘耶況孔目問答未甞曾將頓教為一	始 終 頓 為 一 乘 耶 況 孔 目 問 答 未 甞 曾 將 頓 教 為 一 
X58n1020_001:0590b23	乘又彼下文云若約頓教即一切行位皆不可說以	乘 又 彼 下 文 云 若 約 頓 教 即 一 切 行 位 皆 不 可 說 以 
X58n1020_001:0590b24	無相故此據三乘方便說何曾將頓教為一乘耶但	無 相 故 此 據 三 乘 方 便 說 何 曾 將 頓 教 為 一 乘 耶 但 
X58n1020_001:0590c01	寡參前哲耻於下問出言垂訓故多詿誤。	寡 參 前 哲 耻 於 下 問 出 言 垂 訓 故 多 詿 誤 
X58n1020_001:0590c02	又云西域立二宗以清涼敘西域云即令性相二宗	又 云 西 域 立 二 宗 以 清 涼 敘 西 域 云 即 令 性 相 二 宗 
X58n1020_001:0590c03	元出彼方謂那爛陀寺同時有二大德一名戒賢二	元 出 彼 方 謂 那 爛 陀 寺 同 時 有 二 大 德 一 名 戒 賢 二 
X58n1020_001:0590c04	名智光後圭山就此方立三宗法相宗破相宗法性	名 智 光 後 圭 山 就 此 方 立 三 宗 法 相 宗 破 相 宗 法 性 
X58n1020_001:0590c05	宗此說非也法界無差別等疏除小乘自有三宗一	宗 此 說 非 也 法 界 無 差 別 等 疏 除 小 乘 自 有 三 宗 一 
X58n1020_001:0590c06	真空無相宗依般若等經中百等論立三時教是龍	真 空 無 相 宗 依 般 若 等 經 中 百 等 論 立 三 時 教 是 龍 
X58n1020_001:0590c07	樹聖天等立二唯識法相宗依深密等經瑜伽等論	樹 聖 天 等 立 二 唯 識 法 相 宗 依 深 密 等 經 瑜 伽 等 論 
X58n1020_001:0590c08	亦立三時教是彌勒天親等立三法性宗依楞伽等	亦 立 三 時 教 是 彌 勒 天 親 等 立 三 法 性 宗 依 楞 伽 等 
X58n1020_001:0590c09	經起信等論所立是馬鳴堅慧等立上三皆西域所	經 起 信 等 論 所 立 是 馬 鳴 堅 慧 等 立 上 三 皆 西 域 所 
X58n1020_001:0590c10	宗也況圭山大疏全依清涼敘西域云性相二宗元	宗 也 況 圭 山 大 疏 全 依 清 涼 敘 西 域 云 性 相 二 宗 元 
X58n1020_001:0590c11	出彼方亦指戒賢智光略疏中如何却揀三宗之異	出 彼 方 亦 指 戒 賢 智 光 略 疏 中 如 何 却 揀 三 宗 之 異 
X58n1020_001:0590c12	又況清涼敘戒賢依深密等立三種教敘智光依般	又 況 清 涼 敘 戒 賢 依 深 密 等 立 三 種 教 敘 智 光 依 般 
X58n1020_001:0590c13	若等經亦立三時教清涼自云然此二三時並不能	若 等 經 亦 立 三 時 教 清 涼 自 云 然 此 二 三 時 並 不 能 
X58n1020_001:0590c14	斷一代時教以各有據互相違故既以智光為法性	斷 一 代 時 教 以 各 有 據 互 相 違 故 既 以 智 光 為 法 性 
X58n1020_001:0590c15	宗如何却云二三時並不斷一代時教然智光順性	宗 如 何 却 云 二 三 時 並 不 斷 一 代 時 教 然 智 光 順 性 
X58n1020_001:0590c16	乃合性宗非以宗為性也文理顯然何昧之甚也。	乃 合 性 宗 非 以 宗 為 性 也 文 理 顯 然 何 昧 之 甚 也 
X58n1020_001:0590c17	近人因說圓覺除圓頓稱性教外等學者問除幾教	近 人 因 說 圓 覺 除 圓 頓 稱 性 教 外 等 學 者 問 除 幾 教 
X58n1020_001:0590c18	答除一教他日又問答除兩教問答無凖今略決之	答 除 一 教 他 日 又 問 答 除 兩 教 問 答 無 凖 今 略 決 之 
X58n1020_001:0590c19	問文云除圓頓稱性教外自有三宗兼小乘為四總	問 文 云 除 圓 頓 稱 性 教 外 自 有 三 宗 兼 小 乘 為 四 總 
X58n1020_001:0590c20	名為漸如來藏緣起宗既屬於漸圓融具德宗乃事	名 為 漸 如 來 藏 緣 起 宗 既 屬 於 漸 圓 融 具 德 宗 乃 事 
X58n1020_001:0590c21	事無礙即華嚴經今圓覺退非漸教進非圓教未審	事 無 礙 即 華 嚴 經 今 圓 覺 退 非 漸 教 進 非 圓 教 未 審 
X58n1020_001:0590c22	屬何教耶答即除圓頓二教之外自有三宗然如來	屬 何 教 耶 答 即 除 圓 頓 二 教 之 外 自 有 三 宗 然 如 來 
X58n1020_001:0590c23	藏緣起宗自有二義一眾生相盡唯是法身二法身	藏 緣 起 宗 自 有 二 義 一 眾 生 相 盡 唯 是 法 身 二 法 身 
X58n1020_001:0590c24	緣起全是眾生起信立義分中謂如來藏心含於二	緣 起 全 是 眾 生 起 信 立 義 分 中 謂 如來藏心 含 於 二 
X58n1020_001:0591a01	義一約體絕相義即是真如門二隨緣起滅義即生	義 一 約 體 絕 相 義 即 是 真 如 門 二 隨 緣 起 滅 義 即 生 
X58n1020_001:0591a02	滅門隨緣起滅義即終教總名為漸今圓覺當約體	滅 門 隨 緣 起 滅 義 即 終 教 總 名 為 漸 今 圓 覺 當 約 體 
X58n1020_001:0591a03	絕相義為頓教略鈔云然法性宗有頓有漸而漸教	絕 相 義 為 頓 教 略 鈔 云 然 法 性 宗 有 頓 有 漸 而 漸 教 
X58n1020_001:0591a04	所依之經是法華涅槃等頓教所依之經華嚴圓覺	所 依 之 經 是 法 華 涅 槃 等 頓 教 所 依 之 經 華 嚴 圓 覺 
X58n1020_001:0591a05	之類其理自明但不考祖文義多臆說。	之 類 其 理 自 明 但 不 考 祖 文 義 多 臆 說 
X58n1020_001:0591a06	清涼云總所雙絕雙存為圓中同教可堂同教冊云	清 涼 云 總 所 雙 絕 雙 存 為 圓 中 同 教 可 堂 同 教 冊 云 
X58n1020_001:0591a07	若單取但離之終頓非同教也近代有云如行願鈔	若 單 取 但 離 之 終 頓 非 同 教 也 近 代 有 云 如 行 願 鈔 
X58n1020_001:0591a08	十禮中第八大悲禮單約終教亦得為同教演義約	十 禮 中 第 八 大 悲 禮 單 約 終 教 亦 得 為 同 教 演 義 約 
X58n1020_001:0591a09	恒沙性德為同教以恒沙性德正在終教豈非單取	恒 沙 性 德 為 同 教 以 恒 沙 性 德 正 在 終 教 豈 非 單 取 
X58n1020_001:0591a10	終教耶答十禮中後三門總為一乘圓教第八門猶	終 教 耶 答 十 禮 中 後 三 門 總 為 一 乘 圓 教 第 八 門 猶 
X58n1020_001:0591a11	是同教一乘義同於終教約能禮人一具一切故屬	是 同 教 一 乘 義 同 於 終 教 約 能 禮 人 一 具 一 切 故 屬 
X58n1020_001:0591a12	圓教未顯事事無礙故非圓中之別教也猶約能同	圓 教 未 顯 事 事 無 礙 故 非 圓 中 之 別 教 也 猶 約 能 同 
X58n1020_001:0591a13	同於所同故云同教豈單取終教乎演義恒沙性德	同 於 所 同 故 云 同 教 豈 單 取 終 教 乎 演 義 恒 沙 性 德 
X58n1020_001:0591a14	通於三教今云同教意亦約能同同彼豈單取終教	通 於 三 教 今 云 同 教 意 亦 約 能 同 同 彼 豈 單 取 終 教 
X58n1020_001:0591a15	耶若爾者清涼尚為所排足見識智高遠也。	耶 若 爾 者 清 涼 尚 為 所 排 足 見 識 智 高 遠 也 
X58n1020_001:0591a16	又云法華依清涼圭山判為漸教之終極故當終教	又 云 法 華 依 清 涼 圭 山 判 為 漸 教 之 終 極 故 當 終 教 
X58n1020_001:0591a17	既判法華為終教若依至相賢首孔目教章並將終	既 判 法 華 為 終 教 若 依 至 相 賢 首 孔 目 教 章 並 將 終 
X58n1020_001:0591a18	頓為三乘法華在孔目教章定屬三乘此說非也若	頓 為 三 乘 法 華 在 孔 目 教 章 定 屬 三 乘 此 說 非 也 若 
X58n1020_001:0591a19	終頓為三法華不在終頓孔目教章皆云此當同教	終 頓 為 三 法 華 不 在 終 頓 孔 目 教 章 皆 云 此 當 同 教 
X58n1020_001:0591a20	一乘如法華經說何甞判法華為三乘耶問孔目普	一 乘 如 法 華 經 說 何 甞 判 法 華 為 三 乘 耶 問 孔 目 普 
X58n1020_001:0591a21	賢章如何指法華為三乘答孔目因說普賢人解行	賢 章 如 何 指 法 華 為 三 乘 答 孔 目 因 說 普 賢 人 解 行 
X58n1020_001:0591a22	等以法華不顯無盡故相對料揀如經迴三歸一等	等 以 法 華 不 顯 無 盡 故 相 對 料 揀 如 經 迴 三 歸 一 等 
X58n1020_001:0591a23	即是趣向一乘之正解既云趣向一乘之正解豈判	即 是 趣 向 一 乘 之 正 解 既 云 趣 向 一 乘 之 正 解 豈 判 
X58n1020_001:0591a24	法華經為三乘清涼云誰敢判法華為不了耶豈不	法 華 經 為 三 乘 清 涼 云 誰 敢 判 法 華 為 不 了 耶 豈 不 
X58n1020_001:0591b01	招謗法之愆若以方便正乘言之當在何位若為方	招 謗 法 之 愆 若 以 方 便 正 乘 言 之 當 在 何 位 若 為 方 
X58n1020_001:0591b02	便法華乃開方便門豈居方便若在正乘則為同別	便 法 華 乃 開 方 便 門 豈 居 方 便 若 在 正 乘 則 為 同 別 
X58n1020_001:0591b03	一乘分判也或分本末法華乃攝末歸本末即餘經	一 乘 分 判 也 或 分 本 末 法 華 乃 攝 末 歸 本 末 即 餘 經 
X58n1020_001:0591b04	歸華嚴矣祖曰法華宗意在於一乘何惑之甚耶。	歸 華 嚴 矣 祖 曰 法 華 宗 意 在 於 一 乘 何 惑 之 甚 耶 
X58n1020_001:0591b05	又曰連珠不合將同別判心經其徒咸遵此說則有	又 曰 連 珠 不 合 將 同 別 判 心 經 其 徒 咸 遵 此 說 則 有 
X58n1020_001:0591b06	眼如盲連珠因引諸祖判般若具五教之義會通同	眼 如 盲 連 珠 因 引 諸 祖 判 般 若 具 五 教 之 義 會 通 同 
X58n1020_001:0591b07	別連珠自結云以戒賢智光所判真諦之空非第一	別 連 珠 自 結 云 以 戒 賢 智 光 所 判 真 諦 之 空 非 第 一 
X58n1020_001:0591b08	義空故不攝此義當後三故言實攝又引清涼無相	義 空 故 不 攝 此 義 當 後 三 故 言 實 攝 又 引 清 涼 無 相 
X58n1020_001:0591b09	宗含於三教今經正當頓實明若執炬數指何庀謬	宗 含 於 三 教 今 經 正 當 頓 實 明 若 執 炬 數 指 何 庀 謬 
X58n1020_001:0591b10	之太甚。	之 太 甚 
X58n1020_001:0591b11	又謂圓覺亦說三聖圓融故舉舍那普賢文殊配同	又 謂 圓 覺 亦 說 三 聖 圓 融 故 舉 舍 那 普 賢 文 殊 配 同 
X58n1020_001:0591b12	華嚴此言極謬華嚴乃十身盧舍那圓覺乃三身中	華 嚴 此 言 極 謬 華 嚴 乃 十 身 盧 舍 那 圓 覺 乃 三 身 中 
X58n1020_001:0591b13	報身尚且三十不分況為人師吾祖曰文殊三事融	報 身 尚 且 三 十 不 分 況 為 人 師 吾 祖 曰 文 殊 三 事 融 
X58n1020_001:0591b14	通隱隱即普賢三事涉入重重此二不一不異方為	通 隱 隱 即 普 賢 三 事 涉 入 重 重 此 二 不 一 不 異 方 為 
X58n1020_001:0591b15	普賢帝網之行圓覺大小疏鈔並無此說華嚴以普	普 賢 帝 網 之 行 圓 覺 大 小 疏 鈔 並 無 此 說 華 嚴 以 普 
X58n1020_001:0591b16	賢為長子今圓覺先舉文殊如何濫涉華嚴野諺曰	賢 為 長 子 今 圓 覺 先 舉 文 殊 如 何 濫 涉 華 嚴 野 諺 曰 
X58n1020_001:0591b17	師盲弟子瞽摘植難索路。	師 盲 弟 子 瞽 摘 植 難 索 路 
X58n1020_001:0591b18	又云教章云奘三藏依解深密經等立三種教即三	又 云 教 章 云 奘 三 藏 依 解 深 密 經 等 立 三 種 教 即 三 
X58n1020_001:0591b19	法輪是也又云此三法輪但攝小乘及三乘中始終	法 輪 是 也 又 云 此 三 法 輪 但 攝 小 乘 及 三 乘 中 始 終 
X58n1020_001:0591b20	二教探玄中云以深密第二第三時教同許定性二	二 教 探 玄 中 云 以 深 密 第二第三 時 教 同 許 定 性 二 
X58n1020_001:0591b21	乘俱不成佛故今合之總為一教即始教也何故在	乘 俱 不 成 佛 故 今 合 之 總 為 一 教 即 始 教 也 何 故 在 
X58n1020_001:0591b22	章通始終在探玄但云始教彼自通云此同立一音	章 通 始 終 在 探 玄 但 云 始 教 彼 自 通 云 此 同 立 一 音 
X58n1020_001:0591b23	教何者舉人不舉法舉法不舉人以唐三藏立三時	教 何 者 舉 人 不 舉 法 舉 法 不 舉 人 以 唐 三 藏 立 三 時 
X58n1020_001:0591b24	真諦立三輪舉唐三藏之名不舉唐三藏之法舉真	真 諦 立 三 輪 舉 唐 三 藏 之 名 不 舉 唐 三 藏 之 法 舉 真 
X58n1020_001:0591c01	諦之法不舉真諦之名此說有其二過一奘三藏立	諦 之 法 不 舉 真 諦 之 名 此 說 有 其 二 過 一 奘 三 藏 立 
X58n1020_001:0591c02	三輪者依彼自宗但許不變湛然之有非隨緣之有	三 輪 者 依 彼 自 宗 但 許 不 變 湛 然 之 有 非 隨 緣 之 有 
X58n1020_001:0591c03	也今判始終者以深密經三輪義寬非法相宗意二	也 今 判 始 終 者 以 深 密 經 三 輪 義 寬 非 法 相 宗 意 二 
X58n1020_001:0591c04	例同一音舉人不舉法者此昔人謬說今復古已出	例 同 一 音 舉 人 不 舉 法 者 此 昔 人 謬 說 今 復 古 已 出 
X58n1020_001:0591c05	則二祖各引一偈依流支引前偈依羅什引次偈復	則 二 祖 各 引 一 偈 依 流 支 引 前 偈 依 羅 什 引 次 偈 復 
X58n1020_001:0591c06	古若揚日月而行盲者不覩非日月之咎也。	古 若 揚 日 月 而 行 盲 者 不 覩 非 日 月 之 咎 也 
X58n1020_001:0591c07	又云易簡依圭山敘大乘與一乘異法相宗學人多	又 云 易 簡 依 圭 山 敘 大 乘 與 一 乘 異 法 相 宗 學 人 多 
X58n1020_001:0591c08	不信之故藏和尚製五教義章有十義差別等焚薪	不 信 之 故 藏 和 尚 製 五 教 義 章 有 十 義 差 別 等 焚 薪 
X58n1020_001:0591c09	引賢首與海東書以和尚義豐文簡致使後人多難	引 賢 首 與 海 東 書 以 和 尚 義 豐 文 簡 致 使 後 人 多 難 
X58n1020_001:0591c10	趣入等二師皆引祖據如何去取彼出意云在賢首	趣 入 等 二 師 皆 引 祖 據 如 何 去 取 彼 出 意 云 在 賢 首 
X58n1020_001:0591c11	雖有法相一宗苦未甚盛故賢首不辨圭山正謂法	雖 有 法 相 一 宗 苦 未 甚 盛 故 賢 首 不 辨 圭 山 正 謂 法 
X58n1020_001:0591c12	相繁興不得不辨此說謬矣賢首作章引二十餘部	相 繁 興 不 得 不 辨 此 說 謬 矣 賢 首 作 章 引 二 十 餘 部 
X58n1020_001:0591c13	經論證之却云不辨圭山出賢首意引多經論證者	經 論 證 之 却 云 不 辨 圭 山 出 賢 首 意 引 多 經 論 證 者 
X58n1020_001:0591c14	乃謂法相宗也不言為彼而作章則知二祖之意俱	乃 謂 法 相 宗 也 不 言 為 彼 而 作 章 則 知 二 祖 之 意 俱 
X58n1020_001:0591c15	失後之學者當審其是而已矣。	失 後 之 學 者 當 審 其 是 而 已 矣 
X58n1020_001:0591c17	斥謬(終)	斥 謬 終 
