X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0300a10	初建立之由(謂如)	初 建 立 之 由 謂 如 
X32n0618_001:0300a11	二建立之意(謂安)	二 建 立 之 意 謂 安 
X32n0618_001:0300a12	三正解經文(六)	三 正 解 經 文 六 
X32n0618_001:0300a13	初信成就(如是)	初 信 成 就 如 是 
X32n0618_001:0300a14	二聞成就(我聞)	二 聞 成 就 我 聞 
X32n0618_001:0300a15	三時成就(一時)	三 時 成 就 一 時 
X32n0618_001:0300a16	四主成就(佛)	四 主 成 就 佛 
X32n0618_001:0300a17	五處成就(住王)	五 處 成 就 住 王 
X32n0618_001:0300a18	六眾成就(二)	六 眾 成 就 二 
X32n0618_001:0300a19	初列眾(三)	初 列 眾 三 
X32n0618_001:0300a20	初聲聞眾(二)	初 聲 聞 眾 二 
X32n0618_001:0300a21	初比丘眾(二)	初 比 丘 眾 二 
X32n0618_001:0300a22	初無學眾(三)	初 無 學 眾 三 
X32n0618_001:0300a23	初舉類標數(與大)	初 舉 類 標 數 與 大 
X32n0618_001:0300a24	二明位歎德(皆是)	二 明 位 歎 德 皆 是 
X32n0618_001:0300a25	三列名總結(其名)	三 列 名 總 結 其 名 
X32n0618_001:0300a26	二有學眾(復有)	二 有 學 眾 復 有 
X32n0618_001:0300a27	二比丘尼(麻訶)	二 比 丘 尼 麻 訶 
X32n0618_001:0300a28	二菩薩眾(三)	二 菩 薩 眾 三 
X32n0618_001:0300a29	初舉類標數(菩薩)	初 舉 類 標 數 菩 薩 
X32n0618_001:0300a30	二明位歎德(皆於)	二 明 位 歎 德 皆 於 
X32n0618_001:0300a31	三列名總結(其名)	三 列 名 總 結 其 名 
X32n0618_001:0300a32	三八部眾(七)	三 八 部 眾 七 
X32n0618_001:0300a33	初諸天眾(爾時)	初 諸 天 眾 爾 時 
X32n0618_001:0300a34	二龍王眾(有八)	二 龍 王 眾 有 八 
X32n0618_001:0300a35	三緊那羅(有四)	三 緊 那 羅 有 四 
X32n0618_001:0300a36	四乾闥婆(有四)	四 乾 闥 婆 有 四 
X32n0618_001:0300a37	五阿脩羅(有四)	五 阿 脩 羅 有 四 
X32n0618_001:0300a38	六迦樓羅(有四)	六 迦 樓 羅 有 四 
X32n0618_001:0300a39	七人王眾(韋提)	七 人 王 眾 韋 提 
X32n0618_001:0300a40	二總結(各禮)	二 總 結 各 禮 
X32n0618_001:0300a41	二別序(五)	二 別 序 五 
X32n0618_001:0300a42	初眾集序(爾時)	初 眾 集 序 爾 時 
X32n0618_001:0300a43	二現瑞序(六)	二 現 瑞 序 六 
X32n0618_001:0300a44	初說法瑞(為諸)	初 說 法 瑞 為 諸 
X32n0618_001:0300a45	二入定瑞(佛說)	二 入 定 瑞 佛 說 
X32n0618_001:0300a46	三雨華瑞(是時)	三 雨 華 瑞 是 時 
X32n0618_001:0300a47	四地動瑞(普佛)	四 地 動 瑞 普 佛 
X32n0618_001:0300a48	五眾喜瑞(爾時)	五 眾 喜 瑞 爾 時 
X32n0618_001:0300a49	六放光瑞(爾時)	六 放 光 瑞 爾 時 
X32n0618_001:0300a50	三疑念序(二)	三 疑 念 序 二 
X32n0618_001:0300a51	初彌勒疑念(爾時)	初 彌 勒 疑 念 爾 時 
X32n0618_001:0300a52	二大眾疑念(爾時)	二 大 眾 疑 念 爾 時 
X32n0618_001:0300a53	四發問序(二)	四 發 問 序 二 
X32n0618_001:0300a54	初長行(爾時)	初 長 行 爾 時 
X32n0618_001:0301a01	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0301a02	初五十四行頌上問(二)	初 五 十 四 行 頌 上 問 二 
X32n0618_001:0301a03	初四行問此土(於是)	初 四 行 問 此 土 於 是 
X32n0618_001:0301a04	二五十行問他土(六)	二 五 十 行 問 他 土 六 
X32n0618_001:0301a05	初三行問六趣眾生(眉間)	初 三 行 問 六 趣 眾 生 眉 間 
X32n0618_001:0301a06	二四行問見諸佛及聞說法(又覩)	二 四 行 問 見 諸 佛 及 聞 說 法 又 覩 
X32n0618_001:0301a07	三三行問他土四眾得道(若人)	三 三 行 問 他 土 四 眾 得 道 若 人 
X32n0618_001:0301a08	四一行半結前起後(文殊)	四 一 行 半 結 前 起 後 文 殊 
X32n0618_001:0301a09	五卅一行半廣問他土菩薩種種因緣相皃(三)	五 卅 一 行 半 廣 問 他 土 菩 薩 種種因緣 相 皃 三 
X32n0618_001:0301a10	初一行總問(我見)	初 一 行 總 問 我 見 
X32n0618_001:0301a11	二十五行次第問(六)	二 十 五 行 次 第 問 六 
X32n0618_001:0301a12	初六行問檀度(或有)	初 六 行 問 檀 度 或 有 
X32n0618_001:0301a13	二二行問戒度(文殊)	二 二 行 問 戒 度 文 殊 
X32n0618_001:0301a14	三一行問忍度(或見)	三 一 行 問 忍 度 或 見 
X32n0618_001:0301a15	四一行問精進(又見)	四 一 行 問 精 進 又 見 
X32n0618_001:0301a16	五二行問禪度(又見)	五 二 行 問 禪 度 又 見 
X32n0618_001:0301a17	六三行問般若(復見)	六 三 行 問 般 若 復 見 
X32n0618_001:0301a18	二十五行半不次第問(七)	二 十 五 行 半 不 次 第 問 七 
X32n0618_001:0301a19	初二行問禪度(又見)	初 二 行 問 禪 度 又 見 
X32n0618_001:0301a20	二一行問精進(又見)	二 一 行 問 精 進 又 見 
X32n0618_001:0301a21	三一行問戒度(又見)	三 一 行 問 戒 度 又 見 
X32n0618_001:0301a22	四一行半問忍度(又見)	四 一 行 半 問 忍 度 又 見 
X32n0618_001:0301a23	五二行問禪度(又見)	五 二 行 問 禪 度 又 見 
X32n0618_001:0301a24	六五行問檀度(或見)	六 五 行 問 檀 度 或 見 
X32n0618_001:0301a25	七三行問般若(或見)	七 三 行 問 般 若 或 見 
X32n0618_001:0301a26	六七行問供舍利起塔(文殊)	六 七 行 問 供 舍 利 起 塔 文 殊 
X32n0618_001:0301a27	二八行請答(佛放)	二 八 行 請 答 佛 放 
X32n0618_001:0301a28	五問答序(二)	五 問 答 序 二 
X32n0618_001:0301a29	初長行(四)	初 長 行 四 
X32n0618_001:0301a30	初惟忖答(爾時)	初 惟 忖 答 爾 時 
X32n0618_001:0301a31	二略曾見答(諸善)	二 略 曾 見 答 諸 善 
X32n0618_001:0301a32	三廣曾見答(三)	三 廣 曾 見 答 三 
X32n0618_001:0301a33	初引一佛同(諸善)	初 引 一 佛 同 諸 善 
X32n0618_001:0301a34	二引二萬佛同(次復)	二 引 二 萬 佛 同 次 復 
X32n0618_001:0301a35	三最後一佛同(三)	三 最 後 一 佛 同 三 
X32n0618_001:0301a36	初曾見事與今已同(其最)	初 曾 見 事 與 今 已 同 其 最 
X32n0618_001:0301a37	二曾見事於今今同(二)	二 曾 見 事 於 今 今 同 二 
X32n0618_001:0301a38	初現相同(是時)	初 現 相 同 是 時 
X32n0618_001:0301a39	二疑念同(彌勒)	二 疑 念 同 彌 勒 
X32n0618_001:0301a40	三曾見事與今當同(六)	三 曾 見 事 與 今 當 同 六 
X32n0618_001:0301a41	初因人同(時有)	初 因 人 同 時 有 
X32n0618_001:0301a42	二說法同(是時)	二 說 法 同 是 時 
X32n0618_001:0301a43	三時節同(六十)	三 時 節 同 六 十 
X32n0618_001:0301a44	四唱滅同(日月)	四 唱 滅 同 日 月 
X32n0618_001:0301a45	五授記同(時有)	五 授 記 同 時 有 
X32n0618_001:0301a46	六通經同(三)	六 通 經 同 三 
X32n0618_001:0301a47	初滅後通經(佛授)	初 滅 後 通 經 佛 授 
X32n0618_001:0301a48	二教化弟子(日月)	二 教 化 弟 子 日 月 
X32n0618_001:0301a49	三結會古今(彌勒)	三 結 會 古 今 彌 勒 
X32n0618_001:0301a50	四分明判答(今見)	四 分 明 判 答 今 見 
X32n0618_001:0301a51	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0301a52	初四十三行頌上長行(二)	初 四 十 三 行 頌 上 長 行 二 
X32n0618_001:0301a53	初四十一行頌廣曾見答(二)	初 四 十 一 行 頌 廣 曾 見 答 二 
X32n0618_001:0301a54	初二行頌引一佛同(爾時)	初 二 行 頌 引 一 佛 同 爾 時 
X32n0618_001:0301a55	二三十九行頌最後一佛同(三)	二 三 十 九 行 頌 最 後 一 佛 同 三 
X32n0618_001:0301a56	初一行頌曾見已同(佛未)	初 一 行 頌 曾 見 已 同 佛 未 
X32n0618_001:0301a57	二十五行半頌曾見今同(三)	二 十 五 行 半 頌 曾 見 今 同 三 
X32n0618_001:0301a58	初四行頌此土瑞相(時佛)	初 四 行 頌 此 土 瑞 相 時 佛 
X32n0618_001:0301a59	二十行頌先照他土同(此光)	二 十 行 頌 先 照 他 土 同 此 光 
X32n0618_001:0301a60	三一行半頌疑念同(爾時)	三 一 行 半 頌 疑 念 同 爾 時 
X32n0618_001:0302a01	三廿二行半頌曾見當同(六)	三 廿 二 行 半 頌 曾 見 當 同 六 
X32n0618_001:0302a02	初二行半頌因人同(天人)	初 二 行 半 頌 因 人 同 天 人 
X32n0618_001:0302a03	二一行頌說經同(說是)	二 一 行 頌 說 經 同 說 是 
X32n0618_001:0302a04	三一行一句頌時節同(滿六)	三 一 行 一 句 頌 時 節 同 滿 六 
X32n0618_001:0302a05	四五行頌唱滅同(佛說)	四 五 行 頌 唱 滅 同 佛 說 
X32n0618_001:0302a06	五一行半頌授記同(是德)	五 一 行 半 頌 授 記 同 是 德 
X32n0618_001:0302a07	六十二行頌滅後通經同(三)	六 十 二 行 頌 滅 後 通 經 同 三 
X32n0618_001:0302a08	初三行頌滅後通經同(佛此)	初 三 行 頌 滅 後 通 經 同 佛 此 
X32n0618_001:0302a09	二八行頌教化弟子(是諸)	二 八 行 頌 教 化 弟 子 是 諸 
X32n0618_001:0302a10	三一行頌結會古今(彼佛)	三 一 行 頌 結 會 古 今 彼 佛 
X32n0618_001:0302a11	二二行頌分明判答(我見)	二 二 行 頌 分 明 判 答 我 見 
X32n0618_001:0302a12	二二行結勸待問(諸人)	二 二 行 結 勸 待 問 諸 人 
X32n0618_001:0302a13	二正宗○	二 正 宗 
X32n0618_001:0302a14	三流通○	三 流 通 
X32n0618_001:0302a15	一序分已竟。	一 序 分 已 竟 
X32n0618_001:0302a17	法華大成卷二科文	法 華 大 成 卷 二 科 文 
X32n0618_001:0302a19	方便品	方 便 品 
X32n0618_001:0302a21	○二正宗(四)	 二 正 宗 四 
X32n0618_001:0302a22	初方便品至法師品為開佛知見(二)	初 方 便 品 至 法 師 品 為 開 佛 知 見 二 
X32n0618_001:0302a23	初八品說三周法授三根記(二)	初 八 品 說 三 周 法 授 三 根 記 二 
X32n0618_001:0302a24	初略開三顯一動執生疑(二)	初 略 開 三 顯 一 動 執 生 疑 二 
X32n0618_001:0302a25	初略開三顯一(二)	初 略 開 三 顯 一 二 
X32n0618_001:0302a26	初長行(二)	初 長 行 二 
X32n0618_001:0302a27	初寄言歎二智(二)	初 寄 言 歎 二 智 二 
X32n0618_001:0302a28	初明諸佛權實(二)	初 明 諸 佛 權 實 二 
X32n0618_001:0302a29	初經家提起(爾時)	初 經 家 提 起 爾 時 
X32n0618_001:0302a30	二正歎權實(三)	二 正 歎 權 實 三 
X32n0618_001:0302a31	初雙歎二智(諸佛)	初 雙 歎 二 智 諸 佛 
X32n0618_001:0302a32	二雙釋二智(所以)	二 雙 釋 二 智 所 以 
X32n0618_001:0302a33	三雙結二智(成就)	三 雙 結 二 智 成 就 
X32n0618_001:0302a34	二明釋迦權實(三)	二 明 釋 迦 權 實 三 
X32n0618_001:0302a35	初歎權釋權(二)	初 歎 權 釋 權 二 
X32n0618_001:0302a36	初歎權智(舍利)	初 歎 權 智 舍 利 
X32n0618_001:0302a37	二釋權智(所以)	二 釋 權 智 所 以 
X32n0618_001:0302a38	二歎實釋實(二)	二 歎 實 釋 實 二 
X32n0618_001:0302a39	初歎實智(舍利)	初 歎 實 智 舍 利 
X32n0618_001:0302a40	二釋實智(無量)	二 釋 實 智 無 量 
X32n0618_001:0302a41	三結權結實(二)	三 結 權 結 實 二 
X32n0618_001:0302a42	初結權智(舍利)	初 結 權 智 舍 利 
X32n0618_001:0302a43	二結實智(舍利)	二 結 實 智 舍 利 
X32n0618_001:0302a44	二絕言歎二智(三)	二 絕 言 歎 二 智 三 
X32n0618_001:0302a45	初正絕言歎(止)	初 正 絕 言 歎 止 
X32n0618_001:0302a46	二徵釋絕言(所以)	二 徵 釋 絕 言 所 以 
X32n0618_001:0302a47	三釋權實相(所謂)	三 釋 權 實 相 所 謂 
X32n0618_001:0302a48	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0302a49	初十七行半頌上長行(二)	初 十 七 行 半 頌 上 長 行 二 
X32n0618_001:0302a50	初四行頌寄言歎二智(二)	初 四 行 頌 寄 言 歎 二 智 二 
X32n0618_001:0302a51	初二行合頌二佛二智(爾時)	初 二 行 合 頌 二 佛 二 智 爾 時 
X32n0618_001:0302a52	二二行合頌二佛釋歎結歎(本從)	二 二 行 合 頌 二 佛 釋 歎 結 歎 本 從 
X32n0618_001:0302a53	二十三行半頌絕言歎二智(五)	二 十 三 行 半 頌 絕 言 歎 二 智 五 
X32n0618_001:0303a01	初半行頌釋權實相(如是)	初 半 行 頌 釋 權 實 相 如 是 
X32n0618_001:0303a02	二半行頌徵釋絕言(我及)	二 半 行 頌 徵 釋 絕 言 我 及 
X32n0618_001:0303a03	三半行頌正絕言歎(是法)	三 半 行 頌 正 絕 言 歎 是 法 
X32n0618_001:0303a04	四十行半頌不知之人(七)	四 十 行 半 頌 不 知 之 人 七 
X32n0618_001:0303a05	初一行許信力能解(諸餘)	初 一 行 許 信 力 能 解 諸 餘 
X32n0618_001:0303a06	二一行半揀二乘不知(諸佛)	二 一 行 半 揀 二 乘 不 知 諸 佛 
X32n0618_001:0303a07	三一行揀身子不知(假使)	三 一 行 揀 身 子 不 知 假 使 
X32n0618_001:0303a08	四一行半揀大弟子不知(正使)	四 一 行 半 揀 大 弟 子 不 知 正 使 
X32n0618_001:0303a09	五二行揀辟支佛不知(辟支)	五 二 行 揀 辟 支 佛 不 知 辟 支 
X32n0618_001:0303a10	六二行半揀發心菩薩不知(新發)	六 二 行 半 揀 發 心 菩 薩 不 知 新 發 
X32n0618_001:0303a11	七一行揀不退菩薩不知(不退)	七 一 行 揀 不退菩薩 不 知 不 退 
X32n0618_001:0303a12	五一行半頌第一希有唯佛能知(又告)	五 一 行 半 頌 第一希有 唯 佛 能 知 又 告 
X32n0618_001:0303a13	二三行半略開三顯一(二)	二 三 行 半 略 開 三 顯 一 二 
X32n0618_001:0303a14	初一行半明諸佛顯實(舍利)	初 一 行 半 明 諸 佛 顯 實 舍 利 
X32n0618_001:0303a15	二二行明釋迦開三(告諸)	二 二 行 明 釋 迦 開 三 告 諸 
X32n0618_001:0303a16	二騰疑致請(二)	二 騰 疑 致 請 二 
X32n0618_001:0303a17	初經家敘疑(爾時)	初 經 家 敘 疑 爾 時 
X32n0618_001:0303a18	二當機正請(五)	二 當 機 正 請 五 
X32n0618_001:0303a19	一初請為自他求決(二)	一 初 請 為 自 他 求 決 二 
X32n0618_001:0303a20	初長行(二)	初 長 行 二 
X32n0618_001:0303a21	初陳疑(爾時)	初 陳 疑 爾 時 
X32n0618_001:0303a22	二陳請(我自)	二 陳 請 我 自 
X32n0618_001:0303a23	二偈頌(五)	二 偈 頌 五 
X32n0618_001:0303a24	初三行半頌疑二智(爾時)	初 三 行 半 頌 疑 二 智 爾 時 
X32n0618_001:0303a25	二三行總頌三乘四眾疑(無漏)	二 三 行 總 頌 三 乘 四 眾 疑 無 漏 
X32n0618_001:0303a26	三一行半別頌自己疑(於諸)	三 一 行 半 別 頌 自 己 疑 於 諸 
X32n0618_001:0303a27	四一行別頌三乘疑(佛口)	四 一 行 別 頌 三 乘 疑 佛 口 
X32n0618_001:0303a28	五二行總明同疑致請(諸天)	五 二 行 總 明 同 疑 致 請 諸 天 
X32n0618_001:0303a29	二二止為驚疑不信(爾時)	二 二 止 為 驚 疑 不 信 爾 時 
X32n0618_001:0303a30	三二請久植必解(舍利)	三 二 請 久 植 必 解 舍 利 
X32n0618_001:0303a31	四三止謗必墮苦(佛復)	四 三 止 謗 必 墮 苦 佛 復 
X32n0618_001:0303a32	五三請為利根得益(爾時)	五 三 請 為 利 根 得 益 爾 時 
X32n0618_001:0303a33	二廣開三顯一斷疑生信○	二 廣 開 三 顯 一 斷 疑 生 信 
X32n0618_001:0303a34	二法師品歎持經人與所持法○	二 法 師 品 歎 持 經 人 與 所 持 法 
X32n0618_001:0303a35	二寶塔天授二品為示佛知見○	二 寶 塔 天 授 二 品 為 示 佛 知 見 
X32n0618_001:0303a36	三持品至壽量四品為悟佛知見○	三 持 品 至 壽 量 四 品 為 悟 佛 知 見 
X32n0618_001:0303a37	四分別功德至常不輕四品為入佛知見○	四 分 別 功 德 至 常 不 輕 四 品 為 入 佛 知 見 
X32n0618_001:0303a38	初略開三顯一動執生疑已竟。	初 略 開 三 顯 一 動 執 生 疑 已 竟 
X32n0618_001:0303a40	○二廣開三顯一斷疑生信(三)	 二 廣 開 三 顯 一 斷 疑 生 信 三 
X32n0618_001:0303a41	初法說一周被上根(五)	初 法 說 一 周 被 上 根 五 
X32n0618_001:0303a42	初正法說(二)	初 正 法 說 二 
X32n0618_001:0303a43	初長行(三)	初 長 行 三 
X32n0618_001:0303a44	初許說(爾時)	初 許 說 爾 時 
X32n0618_001:0304a01	二受旨(舍利)	二 受 旨 舍 利 
X32n0618_001:0304a02	三正說(二)	三 正 說 二 
X32n0618_001:0304a03	初明四佛章廣上諸佛權實二智(二)	初 明 四 佛 章 廣 上 諸 佛 權 實 二 智 二 
X32n0618_001:0304a04	初總明諸佛(四)	初 總 明 諸 佛 四 
X32n0618_001:0304a05	初歎法希有(佛告)	初 歎 法 希 有 佛 告 
X32n0618_001:0304a06	二說無虗妄(舍利)	二 說 無 虗 妄 舍 利 
X32n0618_001:0304a07	三開方便門(舍利)	三 開 方 便 門 舍 利 
X32n0618_001:0304a08	四示真實相(四)	四 示 真 實 相 四 
X32n0618_001:0304a09	初標出世意(所以)	初 標 出 世 意 所 以 
X32n0618_001:0304a10	二重徵出世意(舍利)	二 重 徵 出 世 意 舍 利 
X32n0618_001:0304a11	三正明出世意(二)	三 正 明 出 世 意 二 
X32n0618_001:0304a12	初明大事因緣(諸佛)	初 明 大 事 因 緣 諸 佛 
X32n0618_001:0304a13	二明會權歸實(佛告)	二 明 會 權 歸 實 佛 告 
X32n0618_001:0304a14	四總結出世意(舍利)	四 總 結 出 世 意 舍 利 
X32n0618_001:0304a15	二別列三世佛(二)	二 別 列 三 世 佛 二 
X32n0618_001:0304a16	初別明三佛開權顯實(三)	初 別 明 三 佛 開 權 顯 實 三 
X32n0618_001:0304a17	初明過去佛(舍利)	初 明 過 去 佛 舍 利 
X32n0618_001:0304a18	二明未來佛(舍利)	二 明 未 來 佛 舍 利 
X32n0618_001:0304a19	三明現在佛(舍利)	三 明 現 在 佛 舍 利 
X32n0618_001:0304a20	二總結諸佛出現大事(舍利)	二 總 結 諸 佛 出 現 大 事 舍 利 
X32n0618_001:0304a21	二明釋迦章廣上釋迦權實二智(五)	二 明 釋 迦 章 廣 上 釋 迦 權 實 二 智 五 
X32n0618_001:0304a22	初開方便(舍利)	初 開 方 便 舍 利 
X32n0618_001:0304a23	二顯真實(舍利)	二 顯 真 實 舍 利 
X32n0618_001:0304a24	三舉五濁釋權(二)	三 舉 五 濁 釋 權 二 
X32n0618_001:0304a25	初標名顯相(舍利)	初 標 名 顯 相 舍 利 
X32n0618_001:0304a26	二乘時開三(舍利)	二 乘 時 開 三 舍 利 
X32n0618_001:0304a27	四揀偽敦信(二)	四 揀 偽 敦 信 二 
X32n0618_001:0304a28	初揀別真偽(二)	初 揀 別 真 偽 二 
X32n0618_001:0304a29	初不聞不知非真弟子(舍利)	初 不 聞 不 知 非 真 弟 子 舍 利 
X32n0618_001:0304a30	二聞不信受成增上慢(又舍)	二 聞 不 信 受 成 增 上 慢 又 舍 
X32n0618_001:0304a31	二開除釋疑(餘佛)	二 開 除 釋 疑 餘 佛 
X32n0618_001:0304a32	五說無虗妄(舍利)	五 說 無 虗 妄 舍 利 
X32n0618_001:0304a33	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0304a34	初四行一句頌上許荅(爾時)	初 四 行 一 句 頌 上 許 荅 爾 時 
X32n0618_001:0304a35	二百十六行三句頌上正法說(二)	二 百 十 六 行 三 句 頌 上 正 法 說 二 
X32n0618_001:0304a36	初七十三行一句頌四佛章(四)	初 七 十 三 行 一 句 頌 四 佛 章 四 
X32n0618_001:0304a37	初三十四行三句頌諸佛(五)	初 三 十 四 行 三 句 頌 諸 佛 五 
X32n0618_001:0304a38	初五行三句頌諸佛開權(諸佛)	初 五 行 三 句 頌 諸 佛 開 權 諸 佛 
X32n0618_001:0304a39	二十三行頌諸佛顯實(二)	二 十 三 行 頌 諸 佛 顯 實 二 
X32n0618_001:0304a40	初三行頌大事因緣(我設)	初 三 行 頌 大 事 因 緣 我 設 
X32n0618_001:0304a41	二十行頌會權歸實(有佛)	二 十 行 頌 會 權 歸 實 有 佛 
X32n0618_001:0304a42	三四行半頌諸佛勸信(三)	三 四 行 半 頌 諸 佛 勸 信 三 
X32n0618_001:0304a43	初二行半舉果勸(若人)	初 二 行 半 舉 果 勸 若 人 
X32n0618_001:0304a44	二二行舉因勸(舍利)	二 二 行 舉 因 勸 舍 利 
X32n0618_001:0304a45	四九行半頌諸佛五濁開三(四)	四 九 行 半 頌 諸 佛 五 濁 開 三 四 
X32n0618_001:0304a46	初一行總明五濁障大(若我)	初 一 行 總 明 五 濁 障 大 若 我 
X32n0618_001:0304a47	二六行別明五濁障大(五)	二 六 行 別 明 五 濁 障 大 五 
X32n0618_001:0304a48	初二行明眾生濁(我知)	初 二 行 明 眾 生 濁 我 知 
X32n0618_001:0304a49	二一行明命濁(受胎)	二 一 行 明 命 濁 受 胎 
X32n0618_001:0304a50	三一行明見濁(入邪)	三 一 行 明 見 濁 入 邪 
X32n0618_001:0304a51	四一行煩惱濁(深著)	四 一 行 煩 惱 濁 深 著 
X32n0618_001:0304a52	五一行明劫濁(於千)	五 一 行 明 劫 濁 於 千 
